species in Read et al.,APC species,replicate,vegetation,soil,N-fixer,leaf,leaf area (mm2),SLA (mm2/mg),thickness (mm),N (mg/g),Narea (g/m2),P (%),Parea (g/m2),site_name
Boronia capitata subsp. capitata,Boronia capitata subsp. capitata,5,shrubland,grey sand,,simple leaf,9.6,4.38,0.771,10.7,2.45,0.02,0.045,Tutanning Nature Reserve on grey sand soils
Daviesia incrassata subsp. teres,Daviesia incrassata,1,shrubland,grey sand,legume,simple leaf,14.8,2.06,1.015,14.2,6.9,0.03,0.145,Tutanning Nature Reserve on grey sand soils
Daviesia incrassata subsp. teres,Daviesia incrassata,2,shrubland,grey sand,legume,simple leaf,11.5,1.98,0.815,12,6.07,0.021,0.105,Tutanning Nature Reserve on grey sand soils
Daviesia incrassata subsp. teres,Daviesia incrassata,3,shrubland,grey sand,legume,simple leaf,14.2,2.28,0.914,15.8,6.92,0.017,0.075,Tutanning Nature Reserve on grey sand soils
Daviesia incrassata subsp. teres,Daviesia incrassata,4,shrubland,grey sand,legume,simple leaf,13.7,2.34,1.027,13.6,5.8,0.03,0.127,Tutanning Nature Reserve on grey sand soils
Daviesia incrassata subsp. teres,Daviesia incrassata,5,shrubland,grey sand,legume,simple leaf,10,2.12,1.177,17.3,8.16,0.024,0.114,Tutanning Nature Reserve on grey sand soils
Eucalyptus drummondii,Eucalyptus drummondii,1,shrubland,grey sand,,simple leaf,704,3.01,0.442,8.83,2.94,0.035,0.116,Tutanning Nature Reserve on grey sand soils
Eucalyptus drummondii,Eucalyptus drummondii,2,shrubland,grey sand,,simple leaf,895.2,2.63,0.472,8.38,3.18,0.035,0.132,Tutanning Nature Reserve on grey sand soils
Eucalyptus drummondii,Eucalyptus drummondii,3,shrubland,grey sand,,simple leaf,1279.8,3.01,0.493,8.62,2.86,0.036,0.12,Tutanning Nature Reserve on grey sand soils
Eucalyptus drummondii,Eucalyptus drummondii,4,shrubland,grey sand,,simple leaf,1387.8,2.87,0.526,11.8,4.11,0.039,0.135,Tutanning Nature Reserve on grey sand soils
Eucalyptus drummondii,Eucalyptus drummondii,5,shrubland,grey sand,,simple leaf,918.2,2.82,0.49,8.99,3.19,0.031,0.111,Tutanning Nature Reserve on grey sand soils
Dryandra sessilis var. sessilis,Banksia sessilis var. sessilis,1,shrubland,grey sand,,simple leaf,361,4.35,0.331,11.3,2.6,0.039,0.09,Tutanning Nature Reserve on grey sand soils
Dryandra sessilis var. sessilis,Banksia sessilis var. sessilis,2,shrubland,grey sand,,simple leaf,811.5,4.39,0.287,8.85,2.02,0.027,0.061,Tutanning Nature Reserve on grey sand soils
Dryandra sessilis var. sessilis,Banksia sessilis var. sessilis,3,shrubland,grey sand,,simple leaf,471.4,5.48,0.282,10.5,1.92,0.04,0.073,Tutanning Nature Reserve on grey sand soils
Dryandra sessilis var. sessilis,Banksia sessilis var. sessilis,4,shrubland,grey sand,,simple leaf,444.3,4.04,0.396,7.54,1.87,0.035,0.087,Tutanning Nature Reserve on grey sand soils
Dryandra sessilis var. sessilis,Banksia sessilis var. sessilis,5,shrubland,grey sand,,simple leaf,313.5,4.57,0.377,9.35,2.05,0.03,0.066,Tutanning Nature Reserve on grey sand soils
Leucopogon conostephioides,Leucopogon sp. 2,1,shrubland,grey sand,,simple leaf,8.8,5.48,0.187,10.9,1.99,0.032,0.058,Tutanning Nature Reserve on grey sand soils
Leucopogon conostephioides,Leucopogon sp. 2,2,shrubland,grey sand,,simple leaf,10.7,5.34,0.236,9.11,1.71,0.026,0.048,Tutanning Nature Reserve on grey sand soils
Leucopogon conostephioides,Leucopogon sp. 2,3,shrubland,grey sand,,simple leaf,9.7,5.42,0.238,8.17,1.51,0.03,0.054,Tutanning Nature Reserve on grey sand soils
Leucopogon conostephioides,Leucopogon sp. 2,4,shrubland,grey sand,,simple leaf,9.4,6.71,0.232,7.23,1.08,0.034,0.051,Tutanning Nature Reserve on grey sand soils
Leucopogon conostephioides,Leucopogon sp. 2,5,shrubland,grey sand,,simple leaf,9.2,6.16,0.269,9.75,1.58,0.033,0.053,Tutanning Nature Reserve on grey sand soils
Eremaea pauciflora var. pauciflora,Eremaea pauciflora var. pauciflora,1,shrubland,grey sand,,simple leaf,5.6,3.47,0.508,8.74,2.52,0.026,0.076,Tutanning Nature Reserve on grey sand soils
Eremaea pauciflora var. pauciflora,Eremaea pauciflora var. pauciflora,2,shrubland,grey sand,,simple leaf,4.7,4.1,0.397,8.81,2.15,0.029,0.071,Tutanning Nature Reserve on grey sand soils
Eremaea pauciflora var. pauciflora,Eremaea pauciflora var. pauciflora,3,shrubland,grey sand,,simple leaf,6.1,3.87,0.537,8.2,2.12,0.03,0.079,Tutanning Nature Reserve on grey sand soils
Eremaea pauciflora var. pauciflora,Eremaea pauciflora var. pauciflora,4,shrubland,grey sand,,simple leaf,5.2,4.48,0.437,7.25,1.62,0.023,0.052,Tutanning Nature Reserve on grey sand soils
Eremaea pauciflora var. pauciflora,Eremaea pauciflora var. pauciflora,5,shrubland,grey sand,,simple leaf,5.1,4.27,0.431,9.25,2.17,0.028,0.065,Tutanning Nature Reserve on grey sand soils
Gastrolobium spinosum,Gastrolobium spinosum,1,shrubland,grey sand,legume,simple leaf,781.5,2.99,0.497,12,4.01,0.019,0.064,Tutanning Nature Reserve on grey sand soils
Gastrolobium spinosum,Gastrolobium spinosum,2,shrubland,grey sand,legume,simple leaf,598.9,3.14,0.451,14,4.47,0.024,0.078,Tutanning Nature Reserve on grey sand soils
Gastrolobium spinosum,Gastrolobium spinosum,3,shrubland,grey sand,legume,simple leaf,535.7,3.66,0.406,11.1,3.04,0.021,0.057,Tutanning Nature Reserve on grey sand soils
Gastrolobium spinosum,Gastrolobium spinosum,4,shrubland,grey sand,legume,simple leaf,610.3,2.91,0.474,14.9,5.13,0.017,0.058,Tutanning Nature Reserve on grey sand soils
Gastrolobium spinosum,Gastrolobium spinosum,5,shrubland,grey sand,legume,simple leaf,679.4,3.43,0.472,15.1,4.4,0.026,0.074,Tutanning Nature Reserve on grey sand soils
Hakea ruscifolia,Hakea ruscifolia,1,shrubland,grey sand,,simple leaf,131.9,3.88,0.469,7.3,1.88,0.046,0.119,Tutanning Nature Reserve on grey sand soils
Hakea ruscifolia,Hakea ruscifolia,2,shrubland,grey sand,,simple leaf,182.3,5.06,0.367,7,1.38,0.028,0.055,Tutanning Nature Reserve on grey sand soils
Hakea ruscifolia,Hakea ruscifolia,3,shrubland,grey sand,,simple leaf,94.8,3.66,0.486,5.75,1.57,0.017,0.045,Tutanning Nature Reserve on grey sand soils
Hakea ruscifolia,Hakea ruscifolia,4,shrubland,grey sand,,simple leaf,100.6,3.59,0.512,6.84,1.9,0.025,0.069,Tutanning Nature Reserve on grey sand soils
Hakea ruscifolia,Hakea ruscifolia,5,shrubland,grey sand,,simple leaf,133.4,3.65,0.531,8.15,2.23,0.029,0.08,Tutanning Nature Reserve on grey sand soils
Hibbertia rupicola,Hibbertia rupicola,1,shrubland,grey sand,,simple leaf,6,5.68,0.364,10.7,1.88,0.035,0.062,Tutanning Nature Reserve on grey sand soils
Hibbertia rupicola,Hibbertia rupicola,2,shrubland,grey sand,,simple leaf,4.7,5.03,0.699,9.26,1.84,0.037,0.074,Tutanning Nature Reserve on grey sand soils
Hibbertia rupicola,Hibbertia rupicola,3,shrubland,grey sand,,simple leaf,5.9,4.61,0.399,10.2,2.21,0.043,0.094,Tutanning Nature Reserve on grey sand soils
Hibbertia rupicola,Hibbertia rupicola,4,shrubland,grey sand,,simple leaf,5.1,5.08,0.456,8.67,1.71,0.039,0.077,Tutanning Nature Reserve on grey sand soils
Hibbertia rupicola,Hibbertia rupicola,5,shrubland,grey sand,,simple leaf,4.8,5.86,0.565,11.3,1.93,0.051,0.087,Tutanning Nature Reserve on grey sand soils
Isopogon dubius,Isopogon dubius,1,shrubland,grey sand,,simple leaf,428.6,2.6,0.532,6.29,2.42,0.022,0.084,Tutanning Nature Reserve on grey sand soils
Isopogon dubius,Isopogon dubius,2,shrubland,grey sand,,simple leaf,361.5,2.2,0.808,7.28,3.3,0.018,0.08,Tutanning Nature Reserve on grey sand soils
Isopogon dubius,Isopogon dubius,3,shrubland,grey sand,,simple leaf,254.6,2.93,0.747,5.06,1.73,0.02,0.07,Tutanning Nature Reserve on grey sand soils
Isopogon dubius,Isopogon dubius,4,shrubland,grey sand,,simple leaf,273,3.03,0.818,5.12,1.69,0.014,0.047,Tutanning Nature Reserve on grey sand soils
Isopogon dubius,Isopogon dubius,5,shrubland,grey sand,,simple leaf,468.5,2.84,0.693,6.46,2.27,0.024,0.084,Tutanning Nature Reserve on grey sand soils
Melaleuca subtrigona,Melaleuca subtrigona,1,shrubland,grey sand,,simple leaf,4.6,2.91,0.757,7.19,2.47,0.029,0.099,Tutanning Nature Reserve on grey sand soils
Melaleuca subtrigona,Melaleuca subtrigona,2,shrubland,grey sand,,simple leaf,4.1,3.9,0.468,8.22,2.11,0.029,0.075,Tutanning Nature Reserve on grey sand soils
Melaleuca subtrigona,Melaleuca subtrigona,3,shrubland,grey sand,,simple leaf,5,3.21,0.474,10.2,3.17,0.032,0.1,Tutanning Nature Reserve on grey sand soils
Melaleuca subtrigona,Melaleuca subtrigona,4,shrubland,grey sand,,simple leaf,4,3.68,0.592,11,2.99,0.032,0.088,Tutanning Nature Reserve on grey sand soils
Melaleuca subtrigona,Melaleuca subtrigona,5,shrubland,grey sand,,simple leaf,3,3.72,0.391,7.81,2.1,0.022,0.058,Tutanning Nature Reserve on grey sand soils
Leptospermum erubescens,Leptospermum erubescens,1,shrubland,grey sand,,simple leaf,11.5,4.99,0.23,10.4,2.09,0.041,0.083,Tutanning Nature Reserve on grey sand soils
Leptospermum erubescens,Leptospermum erubescens,2,shrubland,grey sand,,simple leaf,10.9,6.6,0.227,10.8,1.64,0.078,0.119,Tutanning Nature Reserve on grey sand soils
Leptospermum erubescens,Leptospermum erubescens,3,shrubland,grey sand,,simple leaf,9.2,4.5,0.211,16.2,3.6,0.035,0.078,Tutanning Nature Reserve on grey sand soils
Leptospermum erubescens,Leptospermum erubescens,4,shrubland,grey sand,,simple leaf,10.1,4.78,0.26,14.8,3.09,0.07,0.147,Tutanning Nature Reserve on grey sand soils
Leptospermum erubescens,Leptospermum erubescens,5,shrubland,grey sand,,simple leaf,13.2,5.48,0.275,12.2,2.23,0.046,0.083,Tutanning Nature Reserve on grey sand soils
Persoonia quinquenervis,Persoonia quinquenervis,1,shrubland,grey sand,,simple leaf,175.6,2.37,0.649,8.01,3.37,0.052,0.22,Tutanning Nature Reserve on grey sand soils
Persoonia quinquenervis,Persoonia quinquenervis,2,shrubland,grey sand,,simple leaf,134.6,1.91,0.683,7.79,4.08,0.026,0.135,Tutanning Nature Reserve on grey sand soils
Persoonia quinquenervis,Persoonia quinquenervis,3,shrubland,grey sand,,simple leaf,85.1,3,0.652,7.5,2.5,0.035,0.117,Tutanning Nature Reserve on grey sand soils
Persoonia quinquenervis,Persoonia quinquenervis,4,shrubland,grey sand,,simple leaf,146,3.24,0.597,8.35,2.57,0.042,0.129,Tutanning Nature Reserve on grey sand soils
Persoonia quinquenervis,Persoonia quinquenervis,5,shrubland,grey sand,,simple leaf,148.9,2.71,0.733,7.58,2.8,0.031,0.113,Tutanning Nature Reserve on grey sand soils
Stirlingia latifolia,Stirlingia latifolia,1,shrubland,grey sand,,simple leaf,4818.2,2.83,0.635,6.87,2.43,0.03,0.106,Tutanning Nature Reserve on grey sand soils
Stirlingia latifolia,Stirlingia latifolia,2,shrubland,grey sand,,simple leaf,4401.7,2.28,0.718,7.55,3.32,0.023,0.099,Tutanning Nature Reserve on grey sand soils
Stirlingia latifolia,Stirlingia latifolia,3,shrubland,grey sand,,simple leaf,1855.7,2.89,0.635,7.12,2.46,0.026,0.09,Tutanning Nature Reserve on grey sand soils
Stirlingia latifolia,Stirlingia latifolia,4,shrubland,grey sand,,simple leaf,9075,2.31,0.67,6.51,2.82,0.048,0.207,Tutanning Nature Reserve on grey sand soils
Stirlingia latifolia,Stirlingia latifolia,5,shrubland,grey sand,,simple leaf,3595,2.93,0.721,8.79,3.01,0.028,0.094,Tutanning Nature Reserve on grey sand soils
