spp_abbrev,Family,Genus,Species,Growth_form,Raunkiaer_life_form,Height,Clonality,Physical_defence,Photosynthetic pathway,Specific_leaf_area,Laminar_unit_area,Leaf_phenology,Wood_density,Nutrient_uptake_strategy,Dispersal_mode,Seed_mass,Resprouting_capacity,Pollination_syndrome,Fruit_type,Lifespan,Maximum_propagule_longevity,1.1,1.2,2.1,2.2,3.1,3.2,4.2,5.2,unique families,unique. genera,species_name,site_name,nitrogen_fixing,seed_mass_duplicate,Seed_mass_filtered
Cras_crep,Asteraceae,Crassocephalum,crepidioides,Erect leafy,Therophyte,1,None,None,C3,NA,12000,NA,NA,Mycorrhizal,Wind,0.86,No,Hymenoptera (bees),"Dry dehiscent or indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",Annual,Long persistent in soil (more than 5 years),0,0,0,0,0,0,0,1,Flacourtiaceae,Neosepicaea,Crassocephalum crepidioides,Weiss,no,NA,0.86
Crot_pall,Fabaceae,Crotalaria,pallida var. obovata,Erect leafy,Phanerophyte,3,None,None,C3,NA,3300,NA,NA,NA,Passive,16,Yes,Hymenoptera (bees),Dry dehiscent or indehsicent without attractant or wing,Perennial,Short-lived (weeks),0,0,0,0,1,0,0,0,NA,Endiandra,Crotalaria pallida var. obovata,Mackay's,yes,NA,16
Cryp_clar,Lauraceae,Cryptocarya,clarksoniana,Tall tree,Phanerophyte,19,None,None,C3,NA,4500,NA,765,Mycorrhizal,Endozoochory,320,Yes,Beetles,"Fleshy (berry, pome, pepo, etc.)",Perennial,Intermediate (months to less than a year),0,0,0,1,1,0,1,0,NA,Entada,Cryptocarya clarksoniana,Henry's,no,NA,320
Cryp_hypo,Lauraceae,Cryptocarya,hypospodia,Tall tree,Phanerophyte,30,None,None,C3,NA,34545,NA,525,Mycorrhizal,Endozoochory,420,Yes,Beetles,"Fleshy (berry, pome, pepo, etc.)",Perennial,Intermediate (months to less than a year),0,1,0,0,0,0,0,0,NA,Mimosa,Cryptocarya hypospodia,McDonald's,no,NA,420
Cryp_laev,Lauraceae,Cryptocarya,laevigata,Short tree,Phanerophyte,7,None,None,C3,NA,5580,NA,725,Mycorrhizal,Endozoochory,1200,Yes,Beetles,"Fleshy (berry, pome, pepo, etc.)",Perennial,Intermediate (months to less than a year),0,0,0,0,1,0,0,0,NA,Pararchidendron,Cryptocarya laevigata,Mackay's,no,NA,1200
Cryp_mack,Lauraceae,Cryptocarya,mackinnoniana,Tall tree,Phanerophyte,25,None,None,C3,NA,17850,NA,717,Mycorrhizal,Endozoochory,380,Yes,Beetles,"Fleshy (berry, pome, pepo, etc.)",Perennial,Intermediate (months to less than a year),0,0,0,0,0,0,1,0,NA,Tetrasynandra,Cryptocarya mackinnoniana,Siam,no,NA,380
Cryp_murr,Lauraceae,Cryptocarya,murrayi,Tall tree,Phanerophyte,30,None,None,C3,NA,18900,NA,645,Mycorrhizal,Endozoochory,390,Yes,Beetles,"Fleshy (berry, pome, pepo, etc.)",Perennial,Short-lived (weeks),0,0,0,0,1,0,0,0,NA,Ficus,Cryptocarya murrayi,Mackay's,no,NA,390
Cryp_trip,Lauraceae,Cryptocarya,triplinervis var. riparia,Tall tree,Phanerophyte,20,None,None,C3,NA,4050,NA,637,Mycorrhizal,Endozoochory,160,Yes,Beetles,"Fleshy (berry, pome, pepo, etc.)",Perennial,Short-lived (weeks),0,1,0,0,1,0,1,0,NA,Maclura,Cryptocarya triplinervis var. riparia,McDonald's,no,NA,160
Cryp_vulg,Lauraceae,Cryptocarya,vulgaris,Tall tree,Phanerophyte,30,None,None,C3,NA,5040,NA,797,Mycorrhizal,Endozoochory,2200,Yes,Beetles,"Fleshy (berry, pome, pepo, etc.)",Perennial,Short-lived (weeks),0,0,0,0,1,0,1,0,NA,Streblus,Cryptocarya vulgaris,Mackay's,no,NA,2200
Cyan_cine,Asteraceae,Cyanthillium,cinereum,Erect leafy,Therophyte,1,None,None,C3,NA,2250,NA,NA,Mycorrhizal,Wind,0.86,No,Hymenoptera (bees),"Dry dehiscent or indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",Annual,Long persistent in soil (more than 5 years),0,0,0,1,1,0,0,0,Flagellariaceae,Pandorea,Cyanthillium cinereum,Henry's,no,NA,0.86
Cycl_mult,Rubiaceae,Cyclophyllum,multiflorum,Short tree,Phanerophyte,15,None,None,C3,NA,4680,NA,706,Mycorrhizal,Endozoochory,80,Yes,Moths,"Fleshy (berry, pome, pepo, etc.)",Perennial,Intermediate (months to less than a year),0,1,0,0,0,0,0,0,NA,NA,Cyclophyllum multiflorum,McDonald's,no,NA,80
Cype_arom,Cyperaceae,Cyperus,aromaticus,Tussock,Hemicryptophyte,0.5,Clonal belowground,None,C3,NA,450,NA,NA,Hairy root clusters,Passive,0.82,Yes,Wind,Dry dehiscent or indehsicent without attractant or wing,Perennial,Intermediate (months to less than a year),0,0,0,0,1,0,1,1,Polygonaceae,Elaeagnus,Cyperus aromaticus,Mackay's,no,NA,0.82
Cype_trin,Cyperaceae,Cyperus,trinervis,Tussock,Hemicryptophyte,0.4,Clonal belowground,None,C3,NA,600,NA,NA,Hairy root clusters,Passive,0.82,Yes,Wind,Dry dehiscent or indehsicent without attractant or wing,Perennial,Intermediate (months to less than a year),0,1,0,1,0,1,1,1,Polypodiaceae,Elaeocarpus,Cyperus trinervis,McDonald's,no,NA,0.82
Cyrt_oxyp,Poaceae,Cyrtococcum,oxyphyllum,Short basal,Hemicryptophyte,0.5,Clonal belowground,None,C3,NA,720,NA,NA,Mycorrhizal,Passive,0.73,Yes,Wind,Dry dehiscent or indehsicent without attractant or wing,Perennial,NA,0,0,0,0,1,0,0,0,NA,Trichospermum,Cyrtococcum oxyphyllum,Mackay's,no,NA,0.73
Darl_darl,Proteaceae,Darlingia,darlingiana,Tall tree,Phanerophyte,30,None,None,C3,NA,43500,NA,629,Hairy root clusters,Wind,200,Yes,Hymenoptera (bees),"Dry dehiscent or indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",Perennial,Short-lived (weeks),0,0,0,0,1,0,0,0,NA,Cissus,Darlingia darlingiana,Mackay's,no,Duplicate of Kew_2019_1_11660,NA
Davi_prur,Davidsoniaceae,Davidsonia,pruriens var. pruriens,Tall tree,Phanerophyte,18,None,None,C3,NA,44160,NA,786,Mycorrhizal,Endozoochory,600,Yes,Wind,"Fleshy (berry, pome, pepo, etc.)",Perennial,Short persistent soil (1 to 5 years),0,0,0,0,1,0,0,0,Ranunculaceae,Aleurites,Davidsonia pruriens var. pruriens,Mackay's,no,NA,600
Deca_humi,Myrtaceae,Decaspermum,humile,Tall tree,Phanerophyte,30,None,None,C3,NA,1920,NA,669,Mycorrhizal,Endozoochory,17,Yes,Beetles,"Fleshy (berry, pome, pepo, etc.)",Perennial,Short-lived (weeks),1,0,1,1,0,1,1,1,NA,Timonius,Decaspermum humile,Harney's,no,NA,17
Dend_moro,Urticaceae,Dendrocnide,moroides,Shrub,Phanerophyte,4,None,Stinging or irritant hairs,C3,NA,50400,NA,241,Mycorrhizal,Endozoochory,0.78,Yes,Wind,"Fleshy (berry, pome, pepo, etc.)",Perennial,Short persistent soil (1 to 5 years),0,1,0,1,1,1,0,0,NA,NA,Dendrocnide moroides,McDonald's,no,NA,0.78
Derr_Clau,Fabaceae,Derris,sp. (Claudie River L.J.Webb + 8348),Liana,Phanerophyte,NA,None,None,C3,NA,5850,NA,NA,NA,Wind,66,Yes,Hymenoptera (bees),Dry dehiscent or indehsicent without attractant or wing,Perennial,Short-lived (weeks),0,1,0,0,0,0,0,0,NA,Litsea,Derris sp. (Claudie River L.J.Webb + 8348),McDonald's,yes,NA,66
Derr_Dain,Fabaceae,Derris,sp. (Daintree D.E.Boyland + 469),Liana,Phanerophyte,NA,None,None,C3,NA,3240,NA,NA,NA,Wind,21,Yes,Hymenoptera (bees),Dry dehiscent or indehsicent without attractant or wing,Perennial,Short-lived (weeks),0,1,0,0,1,0,0,0,NA,Neolitsea,Derris sp. (Daintree D.E.Boyland + 469),McDonald's,yes,NA,21
Dill_alat,Dilleniaceae,Dillenia,alata,Short tree,Phanerophyte,15,None,None,C3,NA,17940,NA,525,Mycorrhizal,Endozoochory,21,Yes,Butterflies,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",Perennial,Short persistent soil (1 to 5 years),0,1,0,0,0,0,0,0,Rhamnaceae,Breynia,Dillenia alata,McDonald's,no,NA,21
Dioc_hexa,Fabaceae,Dioclea,hexandra,Liana,Phanerophyte,NA,None,None,C3,NA,9660,NA,NA,NA,Water,2000,Yes,Hymenoptera (bees),Dry dehiscent or indehsicent without attractant or wing,Perennial,Short-lived (weeks),0,0,0,0,0,0,1,0,NA,Barringtonia,Dioclea hexandra,Siam,yes,NA,2000
Dipl_diet,Athyriaceae,Diplazium,dietrichianum,Long basal,Phanerophyte,4,Clonal belowground,None,C3,NA,18600,NA,NA,Mycorrhizal,Wind,0.001,Yes,None,Spore,Perennial,Short-lived (weeks),0,1,0,0,0,0,0,0,Lecythidaceae,Canarium,Diplazium dietrichianum,McDonald's,no,NA,0.001
Dipl_diph,Sapindaceae,Diploglottis,diphyllostegia,Tall tree,Phanerophyte,30,None,None,C3,NA,13110,NA,692,Mycorrhizal,Endozoochory,87,Yes,Hymenoptera (bees),"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",Perennial,Short-lived (weeks),0,0,0,1,0,0,0,0,NA,NA,Diploglottis diphyllostegia,Henry's,no,Duplicate of Grubb_1996_130,NA
Dipl_palm,Cucurbitaceae,Diplocyclos,palmatus,Vine,Phanerophyte,NA,None,None,C3,NA,14280,NA,NA,Mycorrhizal,Endozoochory,20,No,Hymenoptera (bees),"Fleshy (berry, pome, pepo, etc.)",Perennial,Short persistent soil (1 to 5 years),1,0,0,1,0,0,0,0,Pittosporaceae,Cordyline,Diplocyclos palmatus,Harney's,no,NA,20
Dyso_alli,Meliaceae,Dysoxylum,alliaceum,Tall tree,Phanerophyte,38,None,None,C3,NA,16500,NA,549,Mycorrhizal,Endozoochory,3000,Yes,Beetles,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",Perennial,Short-lived (weeks),0,1,1,0,0,1,1,1,NA,Rhodomyrtus,Dysoxylum alliaceum,McDonald's,no,NA,3000
Dyso_moll,Meliaceae,Dysoxylum,mollissimum ssp. molle,Tall tree,Phanerophyte,35,None,None,C3,NA,5760,NA,616,Mycorrhizal,Endozoochory,130,Yes,Beetles,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",Perennial,Short-lived (weeks),1,1,1,0,0,0,0,0,NA,Syzygium,Dysoxylum mollissimum ssp. molle,Harney's,no,NA,130
Dyso_oppo,Meliaceae,Dysoxylum,oppositifolium,Tall tree,Phanerophyte,30,None,None,C3,NA,10560,NA,717,Mycorrhizal,Endozoochory,1000,Yes,Beetles,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",Perennial,Short-lived (weeks),0,1,0,0,1,0,0,0,NA,Arthropteris,Dysoxylum oppositifolium,McDonald's,no,NA,1000
Dyso_papu,Meliaceae,Dysoxylum,papuanum,Tall tree,Phanerophyte,40,None,None,C3,NA,3900,NA,605,Mycorrhizal,Endozoochory,320,Yes,Beetles,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",Perennial,Short-lived (weeks),0,0,0,1,0,0,0,0,NA,Pisonia,Dysoxylum papuanum,Henry's,no,Duplicate of Kew_2019_1_07399,NA
Dyso_para,Meliaceae,Dysoxylum,parasiticum,Tall tree,Phanerophyte,27,None,None,C3,NA,12000,NA,601,Mycorrhizal,Endozoochory,350,Yes,Beetles,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",Perennial,Short-lived (weeks),0,1,0,1,0,0,0,0,NA,Chionanthus,Dysoxylum parasiticum,McDonald's,no,Duplicate of Kew_2019_1_07400,NA
Dyso_pett,Meliaceae,Dysoxylum,pettigrewianum,Tall tree,Phanerophyte,35,None,None,C3,NA,12960,NA,709,Mycorrhizal,Endozoochory,530,Yes,Beetles,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",Perennial,Short-lived (weeks),1,0,1,1,0,0,0,1,NA,Ludwigia,Dysoxylum pettigrewianum,Harney's,no,Duplicate of Kew_2019_1_07402,NA
Ecli_pros,Asteraceae,Eclipta,prostrata,Erect leafy,Therophyte,1,None,None,C3,NA,1650,NA,NA,Mycorrhizal,Passive,1.3,No,Hymenoptera (bees),"Dry dehiscent or indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",Annual,Long persistent in soil (more than 5 years),0,0,0,0,1,0,0,0,Icacinaceae,Stenochlaena,Eclipta prostrata,Mackay's,no,NA,1.3
Elae_gran,Elaeocarpaceae,Elaeocarpus,grandis,Tall tree,Phanerophyte,35,None,None,C3,NA,4050,NA,413,Mycorrhizal,Endozoochory,3300,Yes,Hymenoptera (bees),"fleshy (berry, pome, pepo, etc.)",Perennial,Long persistent in soil (more than 5 years),0,0,0,0,1,0,0,0,Selaginellaceae,Eupomatia,Elaeocarpus grandis,Mackay's,no,NA,3300
Elae_trif,Elaeagnaceae,Elaeagnus,triflora,Liana,Phanerophyte,NA,None,Spines or thorns,C3,NA,5400,NA,NA,NA,Endozoochory,150,Yes,Hymenoptera (bees),"Fleshy (berry, pome, pepo, etc.)",Perennial,Intermediate (months to less than a year),1,1,1,1,0,1,1,0,Schizaeaceae,Mallotus,Elaeagnus triflora,Harney's,yes,Duplicate of Kew_2019_1_03429,NA
Eleu_rude,Asteraceae,Eleutheranthera,ruderalis,Erect leafy,Therophyte,1,None,None,C3,NA,1440,NA,NA,Mycorrhizal,Wind,0.95,No,Hymenoptera (bees),"Dry dehiscent or indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",Annual,Long persistent in soil (more than 5 years),0,0,0,0,1,0,0,0,Lamiaceae,Cordia,Eleutheranthera ruderalis,Mackay's,no,NA,0.95
Embe_caul,Myrsinaceae,Embelia,caulialata,Liana,Phanerophyte,NA,None,None,C3,NA,3510,NA,NA,Mycorrhizal,Endozoochory,8.2,Yes,Butterflies,"Fleshy (berry, pome, pepo, etc.)",Perennial,Intermediate (months to less than a year),1,0,1,1,1,0,1,1,NA,Morinda,Embelia caulialata,Harney's,no,NA,8.2
Endi_cowl,Lauraceae,Endiandra,cowleyana,Tall tree,Phanerophyte,30,None,None,C3,NA,2160,NA,613,Mycorrhizal,Endozoochory,1000,Yes,Beetles,"Fleshy (berry, pome, pepo, etc.)",Perennial,Short-lived (weeks),1,1,1,1,1,1,0,0,NA,Trophis,Endiandra cowleyana,Harney's,no,NA,1000
Endi_hypo,Lauraceae,Endiandra,hypotephra,Tall tree,Phanerophyte,30,None,None,C3,NA,4620,NA,845,Mycorrhizal,Endozoochory,9000,Yes,Beetles,"Fleshy (berry, pome, pepo, etc.)",Perennial,Short-lived (weeks),0,1,0,0,0,1,0,0,NA,Myristica,Endiandra hypotephra,McDonald's,no,NA,9000
Enta_rhee,Mimosaceae,Entada,rheedii,Liana,Phanerophyte,NA,None,None,C3,NA,1824,NA,NA,NA,Passive,8400,Yes,Hymenoptera (bees),Dry dehiscent or indehsicent without attractant or wing,Perennial,Intermediate (months to less than a year),1,0,1,0,0,0,0,0,NA,Platycerium,Entada rheedii,Harney's,yes,NA,8400
Epip_pinn,Araceae,Epipremnum,pinnatum,Vine,Phanerophyte,NA,None,None,C3,NA,240000,NA,NA,No obvious special uptake strategy,Endozoochory,18,No,Flies,"Fleshy (berry, pome, pepo, etc.)",Perennial,Short-lived (weeks),0,0,0,1,0,0,0,0,Cardiopteridaceae,Rhaphidophora,Epipremnum pinnatum,Henry's,no,NA,18
Eryc_cocc,Convolvulaceae,Erycibe,coccinea,Liana,Phanerophyte,NA,None,None,C3,NA,6930,NA,NA,Mycorrhizal,Endozoochory,490,Yes,Hymenoptera (bees),"Fleshy (berry, pome, pepo, etc.)",Perennial,Short persistent soil (1 to 5 years),0,0,0,0,0,0,1,0,Passifloraceae,Davidsonia,Erycibe coccinea,Siam,no,NA,490
Eupo_barb,Eupomatiaceae,Eupomatia,barbata,Shrub,Phanerophyte,1,None,None,C3,NA,10080,NA,687,No obvious special uptake strategy,Endozoochory,10,Yes,Beetles,"Fleshy (berry, pome, pepo, etc.)",Perennial,Intermediate (months to less than a year),0,0,0,0,1,0,0,0,NA,Clerodendrum,Eupomatia barbata,Mackay's,no,NA,10
Eupo_laur,Eupomatiaceae,Eupomatia,laurina,Short tree,Phanerophyte,10,None,None,C3,NA,9000,NA,495,No obvious special uptake strategy,Endozoochory,7.5,Yes,Beetles,"Fleshy (berry, pome, pepo, etc.)",Perennial,Intermediate (months to less than a year),0,0,0,0,0,0,1,0,NA,Faradaya,Eupomatia laurina,Siam,no,NA,7.5
Eust_lati,Philesiaceae,Eustrephus,latifolius,Vine,Phanerophyte,NA,None,None,C3,NA,3120,NA,NA,NA,Endozoochory,43,No,Hymenoptera (bees),"Fleshy (berry, pome, pepo, etc.)",Perennial,NA,0,0,0,1,1,1,0,1,NA,Commersonia,Eustrephus latifolius,Henry's,NA,NA,43
Fara_sple,Lamiaceae,Faradaya,splendida,Liana,Phanerophyte,NA,None,None,C3,NA,33930,NA,NA,Mycorrhizal,Endozoochory,8800,Yes,Bat,"Fleshy (berry, pome, pepo, etc.)",Perennial,Short persistent soil (1 to 5 years),0,1,0,1,1,0,0,0,NA,Pachygone,Faradaya splendida,McDonald's,no,NA,8800
Ficu_benj,Moraceae,Ficus,benjamina var. benjamina,Tall tree,Phanerophyte,20,None,None,C3,NA,4320,NA,533,Hairy root clusters,Endozoochory,0.3,Yes,Hymenoptera (bees),"Fleshy (berry, pome, pepo, etc.)",Perennial,Short persistent soil (1 to 5 years),0,0,1,1,0,0,0,0,NA,Clematis,Ficus benjamina var. benjamina,Zonta,no,NA,0.3
Ficu_cong,Moraceae,Ficus,congesta var. congesta,Short tree,Phanerophyte,6,Clonal belowground,None,C3,NA,21000,NA,430,Mycorrhizal,Endozoochory,0.32,Yes,Hymenoptera (bees),"Fleshy (berry, pome, pepo, etc.)",Perennial,Short persistent soil (1 to 5 years),0,1,0,0,0,0,0,0,NA,Alphitonia,Ficus congesta var. congesta,McDonald's,no,NA,0.32
Ficu_hisp,Moraceae,Ficus,hispida var. hispida,Short tree,Phanerophyte,13,None,None,C3,NA,42000,NA,519,Mycorrhizal,Endozoochory,0.88,Yes,Hymenoptera (bees),"Fleshy (berry, pome, pepo, etc.)",Perennial,Short persistent soil (1 to 5 years),0,0,1,1,0,1,1,1,NA,Gouania,Ficus hispida var. hispida,Zonta,no,NA,0.88
Ficu_lept,Moraceae,Ficus,leptoclada,Short tree,Phanerophyte,15,None,None,C3,NA,3780,NA,461,Mycorrhizal,Endozoochory,0.21,Yes,Hymenoptera (bees),"Fleshy (berry, pome, pepo, etc.)",Perennial,Short persistent soil (1 to 5 years),0,0,0,0,0,1,0,0,NA,Rhamnella,Ficus leptoclada,Shane's,no,Duplicate of Kew_2019_1_07544,NA
Ficu_pant,Moraceae,Ficus,pantoniana var. pantoniana,Vine,Phanerophyte,NA,Clonal aboveground,None,C3,NA,5460,NA,NA,Mycorrhizal,Endozoochory,0.88,No,Hymenoptera (bees),"Fleshy (berry, pome, pepo, etc.)",Perennial,Short persistent soil (1 to 5 years),0,0,0,0,1,0,1,0,NA,Sageretia,Ficus pantoniana var. pantoniana,Mackay's,no,NA,0.88
Ficu_race,Moraceae,Ficus,racemosa var. racemosa,Tall tree,Phanerophyte,35,None,None,C3,NA,10800,NA,333,Mycorrhizal,Endozoochory,0.13,Yes,Hymenoptera (bees),"Fleshy (berry, pome, pepo, etc.)",Perennial,Short persistent soil (1 to 5 years),0,0,0,0,0,0,0,1,NA,Ventilago,Ficus racemosa var. racemosa,Weiss,no,Duplicate of Kew_2019_1_07556,NA
Ficu_sept,Moraceae,Ficus,septica,Short tree,Phanerophyte,15,None,None,C3,NA,10500,NA,410,Mycorrhizal,Endozoochory,0.21,Yes,Hymenoptera (bees),"Fleshy (berry, pome, pepo, etc.)",Perennial,Short persistent soil (1 to 5 years),0,0,0,1,0,0,0,1,NA,Carallia,Ficus septica,Henry's,no,Duplicate of Grubb_1996_069,NA
Ficu_vari,Moraceae,Ficus,variegata var. variegata,Tall tree,Phanerophyte,30,None,None,C3,NA,24000,NA,276,Mycorrhizal,Endozoochory,0.47,Yes,Hymenoptera (bees),"Fleshy (berry, pome, pepo, etc.)",Perennial,Short persistent soil (1 to 5 years),0,0,1,0,1,0,1,1,NA,Antirhea,Ficus variegata var. variegata,Zonta,no,NA,0.47
Ficu_virg,Moraceae,Ficus,virgata var. virgata,Tall tree,Phanerophyte,30,None,None,C3,NA,19800,NA,513,Mycorrhizal,Endozoochory,0.88,Yes,Hymenoptera (bees),"Fleshy (berry, pome, pepo, etc.)",Perennial,Short persistent soil (1 to 5 years),1,0,1,1,1,0,0,1,NA,Atractocarpus,Ficus virgata var. virgata,Harney's,no,NA,0.88
Flag_indi,Flagellariaceae,Flagellaria,indica,Scrambler,Phanerophyte,2,Clonal belowground,None,C3,NA,6240,NA,NA,Mycorrhizal,Endozoochory,57,Yes,Beetles,"Fleshy (berry, pome, pepo, etc.)",Perennial,NA,0,1,0,0,0,0,0,0,NA,Dysoxylum,Flagellaria indica,McDonald's,no,NA,57
Flin_bray,Rutaceae,Flindersia,brayleyana,Tall tree,Phanerophyte,35,None,None,C3,NA,10080,NA,477,Mycorrhizal,Wind,54,Yes,Flies,"Dry dehiscent or indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",Perennial,Short-lived (weeks),0,0,0,0,1,0,0,0,NA,NA,Flindersia brayleyana,Mackay's,no,Duplicate of Kew_2019_1_12777,NA
Flin_scho,Rutaceae,Flindersia,schottiana,Tall tree,Phanerophyte,45,None,None,C3,NA,13728,NA,557,Mycorrhizal,Wind,76,Yes,Flies,"Dry dehiscent or indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",Perennial,Short-lived (weeks),0,1,0,0,1,0,0,0,NA,NA,Flindersia schottiana,McDonald's,no,NA,76
Gloc_harv,Euphorbiaceae,Glochidion,harveyanum var. harveyanum,Short tree,Phanerophyte,12,None,None,C3,NA,7980,NA,641,Mycorrhizal,Endozoochory,11,Yes,Hymenoptera (bees),"Fleshy (berry, pome, pepo, etc.)",Perennial,Long persistent in soil (more than 5 years),0,0,0,0,0,0,1,1,Symplocaceae,Derris,Glochidion harveyanum var. harveyanum,Siam,no,NA,11
Gloc_phil,Euphorbiaceae,Glochidion,philippicum,Tall tree,Phanerophyte,20,None,None,C3,NA,2400,NA,601,Mycorrhizal,Endozoochory,5.6,Yes,Wind,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",Perennial,Short persistent soil (1 to 5 years),0,0,0,0,1,0,0,0,Thelypteridaceae,Dioclea,Glochidion philippicum,Mackay's,no,Duplicate of Grubb_1996_005,NA
Gloc_sess,Euphorbiaceae,Glochidion,sessiliflorum var. pedicellatum,Short tree,Phanerophyte,15,None,None,C3,NA,1620,NA,643,Mycorrhizal,Endozoochory,5,Yes,Wind,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",Perennial,Short persistent soil (1 to 5 years),0,0,0,0,0,0,0,1,Tiliaceae,Millettia,Glochidion sessiliflorum var. pedicellatum,Weiss,no,NA,5
Gloc_suma,Euphorbiaceae,Glochidion,sumatranum,Tall tree,Phanerophyte,25,None,None,C3,NA,8100,NA,581,Mycorrhizal,Endozoochory,4.3,Yes,Hymenoptera (bees),"Fleshy (berry, pome, pepo, etc.)",Perennial,Long persistent in soil (more than 5 years),0,0,0,0,0,1,0,0,Urticaceae,Mucuna,Glochidion sumatranum,Shane's,no,NA,4.3
Glyc_trif,Rutaceae,Glycosmis,trifoliata,Short tree,Phanerophyte,8,None,None,C3,NA,6825,NA,500,Mycorrhizal,Endozoochory,82,Yes,Hymenoptera (bees),"Fleshy (berry, pome, pepo, etc.)",Perennial,NA,0,1,1,1,0,1,1,0,NA,NA,Glycosmis trifoliata,McDonald's,no,NA,82
Gomp_aust,Icacinaceae,Gomphandra,australiana,Tall tree,Phanerophyte,20,None,None,C3,NA,14400,NA,437,Mycorrhizal,Endozoochory,830,Yes,Beetles,"Fleshy (berry, pome, pepo, etc.)",Perennial,Intermediate (months to less than a year),0,1,0,1,1,1,0,0,NA,Melia,Gomphandra australiana,McDonald's,no,Duplicate of Kew_2019_1_13351,NA
Goss_myrs,Myrtaceae,Gossia,myrsinocarpa,Short tree,Phanerophyte,15,None,None,C3,NA,1728,NA,610,Mycorrhizal,Endozoochory,50,Yes,Beetles,"Fleshy (berry, pome, pepo, etc.)",Perennial,Short-lived (weeks),0,1,0,0,1,1,0,0,NA,Acronychia,Gossia myrsinocarpa,McDonald's,no,NA,50
Goua_aust,Rhamnaceae,Gouania,australiana,Liana,Phanerophyte,NA,None,Spines or thorns,C3,NA,7200,NA,NA,Mycorrhizal,Wind,0.78,Yes,Flies,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",Perennial,NA,0,1,0,0,0,0,0,0,NA,Alpinia,Gouania australiana,McDonald's,no,NA,0.78
Grev_hill,Proteaceae,Grevillea,hilliana,Tall tree,Phanerophyte,30,None,None,C3,NA,8640,NA,793,Hairy root clusters,Wind,24,Yes,Hymenoptera (bees),"Dry dehiscent or indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",Perennial,Short-lived (weeks),0,1,0,1,1,0,0,0,NA,Tetrastigma,Grevillea hilliana,McDonald's,no,NA,24
Guio_acut,Sapindaceae,Guioa,acutifolia,Tall tree,Phanerophyte,20,None,None,C3,NA,8400,NA,607,Mycorrhizal,Endozoochory,54,Yes,Hymenoptera (bees),"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",Perennial,Short-lived (weeks),0,0,0,1,0,0,0,0,NA,NA,Guioa acutifolia,Henry's,no,Duplicate of Kew_2019_1_13114,NA
Gyno_Hinc,Rubiaceae,Gynochtodes,sp. (Hinchinbrook Island A.S.Thorsborne + 337),Vine,Phanerophyte,NA,None,None,C3,NA,7980,NA,NA,Mycorrhizal,Endozoochory,20,Yes,Moths,"Fleshy (berry, pome, pepo, etc.)",Perennial,Intermediate (months to less than a year),0,1,0,0,1,0,1,0,NA,NA,Gynochtodes sp. (Hinchinbrook Island A.S.Thorsborne + 337),McDonald's,no,NA,20
Harp_rhyt,Sapindaceae,Harpullia,rhyticarpa,Short tree,Phanerophyte,6,None,None,C3,NA,15660,NA,494,Mycorrhizal,Endozoochory,320,Yes,Hymenoptera (bees),"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",Perennial,Short-lived (weeks),0,1,1,0,1,1,0,1,NA,NA,Harpullia rhyticarpa,McDonald's,no,NA,320
Hedy_auri,Rubiaceae,Hedyotis,auricularia var. melanesica,Erect leafy,Chamaephyte,0.5,None,None,C3,NA,1452,NA,NA,Mycorrhizal,Passive,0.86,No,Hymenoptera (bees),"Fleshy (berry, pome, pepo, etc.)",Perennial,NA,0,0,0,0,0,0,0,1,NA,NA,Hedyotis auricularia var. melanesica,Weiss,no,NA,0.86
Heli_nort,Proteaceae,Helicia,nortoniana,Tall tree,Phanerophyte,20,None,None,C3,NA,9690,NA,837,Hairy root clusters,Endozoochory,23,Yes,Hymenoptera (bees),"Fleshy (berry, pome, pepo, etc.)",Perennial,Short-lived (weeks),0,1,1,1,0,1,0,1,NA,Vittaria,Helicia nortoniana,McDonald's,no,NA,23
