Animal species binomial name,Animal genus,Animal subgenus,Animal species,Animal family,Animal subfamily,Animal common name,Animal class,Animal order,Pollinator match column,Pollinator match value
Melobasis gratiosissima,Melobasis,NA,gratiosissima,Buprestidae,Buprestinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Melobasis igniceps,Melobasis,NA,igniceps,Buprestidae,Buprestinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Melobasis inflammabilis,Melobasis,NA,inflammabilis,Buprestidae,Buprestinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Melobasis interstitialis,Melobasis,NA,interstitialis,Buprestidae,Buprestinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Melobasis nitidiventris,Melobasis,NA,nitidiventris,Buprestidae,Buprestinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Melobasis nobilitata,Melobasis,NA,nobilitata,Buprestidae,Buprestinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Melobasis nudipectus,Melobasis,NA,nudipectus,Buprestidae,Buprestinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Melobasis obscura,Melobasis,NA,obscura,Buprestidae,Buprestinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Melobasis obscurella,Melobasis,NA,obscurella,Buprestidae,Buprestinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Melobasis occidentalis,Melobasis,NA,occidentalis,Buprestidae,Buprestinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Melobasis purpurescens,Melobasis,NA,purpurescens,Buprestidae,Buprestinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Melobasis rothei,Melobasis,NA,rothei,Buprestidae,Buprestinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Melobasis soror,Melobasis,NA,soror,Buprestidae,Buprestinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Melobasis sp.,Melobasis,NA,NA,Buprestidae,Buprestinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Melobasis terminata,Melobasis,NA,terminata,Buprestidae,Buprestinae,Jewel beetle,Insecta,Coleoptera,Animal order,Coleoptera
Melobasis vittata,Melobasis,NA,vittata,Buprestidae,Buprestinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Melolonthinae,NA,NA,NA,Scarabaeidae,Melolonthinae,scarab beetle,Insecta,Coleoptera,Animal order,Coleoptera
Melolonthinae sp.,NA,NA,NA,Scarabaeidae,Melolonthinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Meriphus quitatus,Meriphus,NA,quitatus,Curculionidae,Curculioninae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Mesolita myrmecophila?,Mesolita,NA,myrmecophila?,Cerambycidae,Lamiinae,ant-longicorn beetle,Insecta,Coleoptera,Animal order,Coleoptera
Myllocerus sp.,Myllocerus,NA,NA,Curculionidae,Entiminae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Nascioides carissima,Nascioides,NA,carissima,Buprestidae,Buprestinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Neocuris sp.,Neocuris,NA,NA,Buprestidae,Buprestinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Neocuris viridiaurea,Neocuris,NA,viridiaurea,Buprestidae,Buprestinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Neophyllotocus spp.,Neophyllotocus,NA,spp.,Scarabaeidae,Melolonthinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Neospades sp.,Neospades,NA,NA,Buprestidae,Agrilinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Nitidulidae,Nitidulidae,NA,Nitidulidae,NA,NA,Sap beetles,Insecta,Coleoptera,Animal order,Coleoptera
Notobrachypterus sp.,Notobrachypterus,NA,NA,Kateretidae,NA,NA,Insecta,Coleoptera,Animal order,Coleoptera
Notosacantha dorsalis,Notosacantha,NA,dorsalis,Chrysomelidae,Cassidinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Paropsisterna chlorotica?,Paropsisterna,NA,chlorotica?,Chrysomelidae,Chrysomelinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Peltoschema dryope (=syn. Pyrgoides dryops),Peltoschema,NA,dryope,Chrysomelidae,Chrysomelinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Peltoschema hamadryas (=syn.) Pyrgoides hamadras,Peltoschema,NA,hamadryas,Chrysomelidae,Chrysomelinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Peltoschema orphana,Peltoschema,NA,orphana,Chrysomelidae,Chrysomelinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Peltoschema sp.,Peltoschema,NA,NA,Chrysomelidae,Chrysomelinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Pseudotaenia gigas,Pseudotaenia,NA,gigas,Buprestidae,Chrysochroinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Pseudotaenia spilota,Pseudotaenia,NA,spilota,Buprestidae,Chalcophorinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Rhytiphora pardalis,Rhytiphora,NA,pardalis,Cerambycidae,Lamiinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Scarabaeidae,NA,NA,NA,Scarabaeidae,NA,Scarab beetles,Insecta,Coleoptera,Animal order,Coleoptera
Scarabaeidae,NA,NA,NA,Scarabaeidae,NA,Darkling beetles,Insecta,Coleoptera,Animal order,Coleoptera
Sivanidae sp.,NA,NA,NA,Silvanidae,NA,NA,Insecta,Coleoptera,Animal order,Coleoptera
Sphaeroscelis sp.,Sphaeroscelis,NA,NA,Scarabaeidae,Melolonthinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Stigmodera gratiosa,Stigmodera,NA,gratiosa,Buprestidae,Buprestinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Syllitus rectus,Syllitus,NA,rectus,Cerambycidae,Cerambycinae,Longicorn beetle,Insecta,Coleoptera,Animal order,Coleoptera
Syllitus rectus,Syllitus,NA,rectus,Cerambycidae,Cerambycinae,Pinstripe Longicorn beetle,Insecta,Coleoptera,Animal order,Coleoptera
Tenebrionidae,NA,NA,NA,Tenebrionidae,NA,tebrionid beetle,Insecta,Coleoptera,Animal order,Coleoptera
Trogoderma sp.,Trogoderma,NA,NA,NA,NA,NA,Insecta,Coleoptera,Animal order,Coleoptera
Uracanthus dubius,Uracanthus,NA,dubius,Cerambycidae,Cerambycinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Uracanthus maculatus,Uracanthus,NA,maculatus,Cerambycidae,Cerambycinae,NA,Insecta,Coleoptera,Animal order,Coleoptera
Amphylaeus (Amphylaeus) morosus,Amphylaeus,Amphylaeus,morosus,Colletidae,Hylaeinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
Amphylaeus sp.,Amphylaeus,NA,NA,Colletidae,Hylaeinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
Brachyhesma (Brachyhesma) sulphurella,Brachyhesma,Brachyhesma,sulphurella,Colletidae,Euryglossinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
Brachyhesma (Brachyhesma) sulphurella?,Brachyhesma,Brachyhesma,sulphurella?,Colletidae,Euryglossinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
"Callohesma ""Purnululu1""",Callohesma,NA,"""Purnululu1""",Colletidae,Euryglossinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
Callohesma flavopicta,Callohesma,NA,flavopicta,Colletidae,Euryglossinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
Callomelitta perpicta,Callomelitta,NA,perpicta,Colletidae,Callomelittinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
Callomelitta sp.,Callomelitta,NA,NA,Colletidae,Callomelittinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
Colletidae,NA,NA,NA,Colletidae,NA,colletid bees,Insecta,Hymenoptera,Animal family,Colletidae
Dasyhesma aurea,Dasyhesma,NA,aurea,Colletidae,Euryglossinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
Dasyhesma sp.,Dasyhesma,NA,NA,Colletidae,Euryglossinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
"Euhesma ""DBCAPerthHills_2""",Euhesma,Euhesma,DBCAPerthHills_2,Colletidae,Euryglossinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
"Euhesma ""jacksonia""",Euhesma,NA,"""jacksonia""",Colletidae,Euryglossinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
"Euhesma ""jaffajacksonia""",Euhesma,NA,"""jaffajackosnia""",Colletidae,Euryglossinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
"Euhesma ""jaffajacksonia""",Euhesma,NA,"""jaffajacksonia""",Colletidae,Euryglossinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
"Euhesma ""KSP sp.54""",Euhesma,NA,"""KSP sp.54""",Colletidae,Euryglossinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
"Euhesma ""KSP sp.55""",Euhesma,NA,"""KSP sp.55""",Colletidae,Euryglossinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
"Euhesma ""KSPEuryglossinaesp2 Euhesma goodeniae-group""",Euhesma,NA,"""KSPEuryglossinaesp2 Euhesma goodeniae-group""",Colletidae,Euryglossinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
"Euhesma ""KSPsp2""",Euhesma,NA,"""KSPsp2""",Colletidae,Euryglossinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
"Euhesma ""Purnulu1""",Euhesma,NA,"""Purnulu1""",Colletidae,Euryglossinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
"Euhesma ""sp. J1""",Euhesma,NA,"""sp. J1""",Colletidae,Euryglossinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
"Euhesma ""sp. J3""",Euhesma,NA,"""sp. J3""",Colletidae,Euryglossinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
"Euhesma ""walkeriana-group""",Euhesma,NA,"""walkeriana-group""",Colletidae,Euryglossinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
"Euhesma (Euhesma) ""sp. 1""",Euhesma,NA,NA,Colletidae,Euryglossinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
Euhesma (Euhesma) atra,Euhesma,Euhesma,atra,Colletidae,Euryglossinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
Euhesma (Euhesma) balladonia,Euhesma,Euhesma,balladonia,Colletidae,Euryglossinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
Euhesma (Euhesma) bronzus,Euhesma,NA,bronzus,Colletidae,Euryglossinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
"Euhesma (Euhesma) cf. balladonia ""KSP. Sp.54""",Euhesma,Euhesma,"cf. balladonia ""KSP. Sp.54""",Colletidae,Euryglossinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
Euhesma (Euhesma) fasciatella,Euhesma,NA,fasciatella,Colletidae,Euryglossinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
Euhesma (Euhesma) wowine,Euhesma,Euhesma,wowine,Colletidae,Euryglossinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
Euhesma banksia?,Euhesma,NA,banksia?,Colletidae,Euryglossinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
Euhesma bronzus,Euhesma,NA,bronzus,Colletidae,Euryglossinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
Euhesma bronzus (walkeriana group),Euhesma,walkeriana group,bronzus,Colletidae,Euryglossinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
Euhesma cf. balladonia,Euhesma,NA,cf. balladonia,Colletidae,Euryglossinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
Euhesma maura,Euhesma,NA,maura,Colletidae,Euryglossinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
Euhesma micans,Euhesma,NA,micans,Colletidae,Euryglossinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
Euhesma sp.,Euhesma,NA,NA,Colletidae,Euryglossinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
Euhesma sp.?,Euhesma,NA,NA,Colletidae,Euryglossinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
Euhesma spinola,Euhesma,Euhesma,spinola,Colletidae,Euryglossinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
Euhesma sybilae,Euhesma,NA,sybilae,Colletidae,Euryglossinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
"Euhesma walkeriana-species group ""Allocasurina Euhesma""",Euhesma,NA,"walkeriana-species group ""Allocasurina Euhesma""",Colletidae,Euryglossinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
Euryglossa rubricata,Euryglossa,NA,rubricata,Colletidae,Euryglossinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
Euryglossa sp.,Euryglossa,NA,NA,Colletidae,Euryglossinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
"Euryglossina ""banksia""",Euryglossina,NA,"""banksia""",Colletidae,Euryglossinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
"Euryglossina ""CopperM_Purnululu""",Euryglossina,NA,"""CopperM_Purnululu""",Colletidae,Euryglossinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
"Euryglossina ""KSP sp.10""",Euryglossina,NA,"""KSP sp.10""",Colletidae,Euryglossinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
"Euryglossina ""Purnululu1""",Euryglossina,NA,"""Purnulu1""",Colletidae,Euryglossinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
"Euryglossina ""sp. M""",Euryglossina,NA,"""sp. M""",Colletidae,Euryglossinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
Euryglossina (Euryglossina) argocephala,Euryglossina,Euryglossina,argocephala,Colletidae,Euryglossinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
Euryglossina (Euryglossina) atra,Euryglossina,Euryglossina,atra,Colletidae,Euryglossinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
Euryglossina (Euryglossina) cf. douglasi?,Euryglossina,Euryglossina,cf. douglasi?,Colletidae,Euryglossinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
Euryglossina (Euryglossina) cockerelli,Euryglossina,Euryglossina,cockerelli,Colletidae,Euryglossinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
Euryglossina (Euryglossina) hypochroma,Euryglossina,Euryglossina,hypochroma,Colletidae,Euryglossinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
Euryglossina (Euryglossina) hypochroma?,Euryglossina,Euryglossina,hypochroma?,Colletidae,Euryglossinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
Euryglossina (Euryglossina) kellyi,Euryglossina,Euryglossina,kellyi,Colletidae,Euryglossinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
Euryglossina (Euryglossina) lynettae,Euryglossina,Euryglossina,lynettae,Colletidae,Euryglossinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
Euryglossina (Euryglossina) micheneri,Euryglossina,Euryglossina,micheneri,Colletidae,Euryglossinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
Euryglossina (Euryglossina) narifera,Euryglossina,Euryglossina,narifera,Colletidae,Euryglossinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
Euryglossina (Euryglossina) perpusilla,Euryglossina,Euryglossina,perpusilla,Colletidae,Euryglossinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
Euryglossina (Euryglossina) perpusilla,Euryglossina,Euryglossina,purpusilla,Colletidae,Euryglossinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
Euryglossina (Euryglossina) philoxantha,Euryglossina,Euryglossina,philoxantha,Colletidae,Euryglossinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
Euryglossina (Euryglossina) pseudoatomaria,Euryglossina,Euryglossina,pseudoatomaria,Colletidae,Euryglossinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
Euryglossina (Microdontura) mellea,Euryglossina,Microdontura,mellea,Colletidae,Euryglossinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
Euryglossina (Turnerella) argocephala,Euryglossina,Turnerella,argocephala,Colletidae,Euryglossinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
Euryglossina (Turnerella) atomaria,Euryglossina,Turnerella,atomaria,Colletidae,Euryglossinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
Euryglossina sp.,Euryglossina,NA,NA,Colletidae,Euryglossinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
"Euryglossinae ""Hyphesma? KSP sp.56""",Hyphesma,NA,"""KSP sp.56""",Colletidae,Euryglossinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
"Euryglossinae ""LkCl1 Euhesma""",Euhesma,NA,LkCl1 Euhes,Colletidae,Euryglossinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
Euryglossinae Euhesma (Euhesma) ?viridescens F [parasite under tergite!],Euhesma,Euhesma,?viridescens,Colletidae,Euryglossinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
Euryglossinae sp.,Euryglossinae,NA,NA,Colletidae,Euryglossinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
Euryglossinae sp.,NA,NA,NA,Colletidae,Euryglossinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
"Euryglossula ""metallicap""",Euryglossula,NA,"""metallicap""",Colletidae,Euryglossinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
Euryglossula aeneoceps,Euryglossula,NA,aeneoceps,Colletidae,Euryglossinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
Euryglossula carnarvonensis,Euryglossula,NA,carnarvonensis,Colletidae,Euryglossinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
Euryglossula elizabethae,Euryglossula,NA,elizabethae,Colletidae,Euryglossinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
Euryglossula eremophilae,Euryglossula,NA,eremophilae,Colletidae,Euryglossinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
Euryglossula flava,Euryglossula,NA,flava,Colletidae,Euryglossinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
Euryglossula fultoni,Euryglossula,NA,fultoni,Colletidae,Euryglossinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
Euryglossula incisa,Euryglossula,NA,incisa,Colletidae,Euryglossinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
Euryglossula kubinensis,Euryglossula,NA,kubinensis,Colletidae,Euryglossinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
Euryglossula laticeps,Euryglossula,NA,laticeps,Colletidae,Euryglossinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
Euryglossula microdonta,Euryglossula,NA,microdonta,Colletidae,Euryglossinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
Euryglossula pallida,Euryglossula,NA,pallida,Colletidae,Euryglossinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
Euryglossula pinnulata,Euryglossula,NA,pinnulata,Colletidae,Euryglossinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
Euryglossula purpurea,Euryglossula,NA,purpurea,Colletidae,Euryglossinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
Euryglossula purpurea?,Euryglossula,NA,purpurea?,Colletidae,Euryglossinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
Euryglossula scalaris,Euryglossula,NA,scalaris,Colletidae,Euryglossinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
Euryglossula storeyi,Euryglossula,NA,storeyi,Colletidae,Euryglossinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
Euryglossula variepicta,Euryglossula,NA,variepicta,Colletidae,Euryglossinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
Glossurocolletes bilobatus,Glossurocolletes,NA,bilobatus,Colletidae,Neopasiphaeinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
"Hylaeinae ""striped elegans""",Hylaeinae,NA,"""striped elegans""",Colletidae,Hylaeinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
"Hylaeus ""66 F Hylaeus (Prosopisteron) sp.""",Hylaeus,Prosopisteron,66 F Hylaeus (Prosopisteron) sp.,Colletidae,Hylaeinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
"Hylaeus ""DBCAPerthHills_1""",Hylaeus,NA,"""DBCAPerthHills_4""",Colletidae,Hylaeinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
"Hylaeus ""KSP sp.2 TFH A216/B200""",Hylaeus,NA,"""KSP sp.2 TFH A216/B200""",Colletidae,Hylaeinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
"Hylaeus ""LightningSwampBeaufortia""",Hylaeus,NA,"""LightningSwampBeaufortia""",Colletidae,Hylaeinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
"Hylaeus ""Walyarta sp.1""",Hylaeus,NA,"""Walyarta sp.1""",Colletidae,Hylaeinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
"Hylaeus ""Walyarta sp.2""",Hylaeus,NA,"""Walyarta sp.2""",Colletidae,Hylaeinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
Hylaeus (Euprosopis) elegans,Hylaeus,Euprosopis,elegans,Colletidae,Hylaeinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
Hylaeus (Euprosopis) honestus,Hylaeus,Euprosopis,honestus,Colletidae,Hylaeinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
Hylaeus (Euprosopis) husela,Hylaeus,Euprosopis,husela,Colletidae,Hylaeinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
Hylaeus (Euprosopis) violaceus,Hylaeus,Euprosopis,violaceus,Colletidae,Hylaeinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
Hylaeus (Euprosopoides) musgravei,Hylaeus,Euprosopoides,musgravei,Colletidae,Hylaeinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
Hylaeus (Euprosopoides) obtusatus,Hylaeus,Euprosopoides,obtusatus,Colletidae,Hylaeinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
Hylaeus (Euprosopoides) ruficeps kalamundae,Hylaeus,Euprosopoides,ruficeps kalamundae,Colletidae,Hylaeinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
Hylaeus (Euprosopoides) ruficeps kalamundae,Hylaeus,Euprosopoides,ruficeps,Colletidae,Hylaeinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
Hylaeus (Euprosopoides) ruficeps kalamundae,Hylaeus,Euprosopoides,kalamundae,Colletidae,Hylaeinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
Hylaeus (Euprosopoides) violaceus,Hylaeus,Euprosopoides,violaceus,Colletidae,Hylaeinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
Hylaeus (Gnathoprosopis) amiculus,Hylaeus,Gnathoprosopis,amiculus,Colletidae,Hylaeinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
Hylaeus (Gnathoprosopis) amiculus F [+ phoretic mites],Hylaeus,Gnathoprosopis,amiculus,Colletidae,Hylaeinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
Hylaeus (Gnathoprosopis) euxanthus,Hylaeus,Gnathoprosopis,euxanthus,Colletidae,Hylaeinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
Hylaeus (Heterapoides) digitatus,Hylaeus,Heterapoides,digitatus,Colletidae,Hylaeinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
Hylaeus (Hylaeorhiza) nubilosus,Hylaeus,Hylaeorhiza,nubilosus,Colletidae,Hylaeinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
Hylaeus (Hylaeteron),Hylaeus,Hylaeteron,NA,Colletidae,Hylaeinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
Hylaeus (Hylaeteron) sp.,Hylaeus,Hylaeteron,NA,Colletidae,Hylaeinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
Hylaeus (Macrohylaeus) alcyoneus,Hylaeus,Macrohylaeus,alcyoneus,Colletidae,Hylaeinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
Hylaeus (Prosopisteron),Hylaeus,Prosopisteron,NA,Colletidae,Hylaeinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
Hylaeus (Prosopisteron) ?bracteatus,Hylaeus,Prosopisteron,?bracteatus,Colletidae,Hylaeinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
"Hylaeus (Prosopisteron) ""amienanus""",Hylaeus,Prosopisteron,"""amienanus""",Colletidae,Hylaeinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
"Hylaeus (Prosopisteron) ""bicurvatus""",Hylaeus,Prosopisteron,"""bicurvatus""",Colletidae,Hylaeinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
"Hylaeus (Prosopisteron) ""breviscapatas""",Hylaeus,Prosopisteron,"""breviscapatas""",Colletidae,Hylaeinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
"Hylaeus (Prosopisteron) ""breviscapatus""",Hylaeus,Prosopisteron,"""breviscapatus""",Colletidae,Hylaeinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
"Hylaeus (Prosopisteron) ""breviscapatus""",Hylaeus,Prosopisteron,"""breviscapatas""",Colletidae,Hylaeinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
"Hylaeus (Prosopisteron) ""KSP sp.38"" (close to vittatafrons & chlorosoma)",Hylaeus,Prosopisteron,"""KSP sp.38"" (close to vittatafrons & chlorosoma)""",Colletidae,Hylaeinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
"Hylaeus (Prosopisteron) ""latifacies""",Hylaeus,Prosopisteron,"""latifacies""",Colletidae,Hylaeinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
"Hylaeus (Prosopisteron) ""sp.37""",Hylaeus,Prosopisteron,"""sp.37""",Colletidae,Hylaeinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
Hylaeus (Prosopisteron) aralis,Hylaeus,Prosopisteron,aralis,Colletidae,Hylaeinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
Hylaeus (Prosopisteron) baudinensis,Hylaeus,Prosopisteron,baudinensis,Colletidae,Hylaeinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
Hylaeus (Prosopisteron) bicoloratus,Hylaeus,Prosopisteron,bicoloratus,Colletidae,Hylaeinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
Hylaeus (Prosopisteron) bicurvatus,Hylaeus,Prosopisteron,bicurvatus,Colletidae,Hylaeinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
Hylaeus (Prosopisteron) bicurvatus,Hylaeus,NA,bicurvatus,Colletidae,Hylaeinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
Hylaeus (Prosopisteron) chlorosoma,Hylaeus,Prosopisteron,chlorosoma,Colletidae,Hylaeinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
Hylaeus (Prosopisteron) chlorosomus,Hylaeus,Prosopisteron,chlorosomus,Colletidae,Hylaeinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
Hylaeus (Prosopisteron) falcatus,Hylaeus,Prosopisteron,falcatus,Colletidae,Hylaeinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
Hylaeus (Prosopisteron) grevilleophilus,Hylaeus,Prosopisteron,grevilleophilus,Colletidae,Hylaeinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
Hylaeus (Prosopisteron) quadratus,Hylaeus,Prosopisteron,quadratus,Colletidae,Hylaeinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
Hylaeus (Prosopisteron) sanguinipictus,Hylaeus,Prosopisteron,sanguinipictus,Colletidae,Hylaeinae,NA,Insecta,Hymenoptera,Animal family,Colletidae
