species_name,Hmax(m),WD,SLA,minseedlength,maxseedlength,fruit size(min).mm2,fruit size(max).mm2,Fruit_Type_2,dispersalmode,dispersal2,Location.n,Rainforest.Type,sla.mean,sla.mean.site,sla.mean.multisite,sla.sd,individual.n,leaf.n,SLA_collection_Location Name,SLA_collection_Location Name_to_match,SLA_collection_Location.n,SLA_collection_QuadratName,SLA_collection_Latitude,SLA_collection_Longitude,SLA_collection_Additional Notes,SLA_no_site,wood_density_unique,plant_height_unique,seed_length_min_unique,seed_length_max_unique
Melicope elleryana,35,0.5,18.8,2,7,25,169,Capsule_R,AVf,Flying,4,WSTRf,18.80488107,18.80488107,NA,NA,1,3,MairyCairncross,MairyCairncross,4,M,-26.778623,152.882047,NA,NA,NA,NA,NA,NA
Niemeyera chartacea,20,0.63,11.24,15,15,200,325,Drupe,C,Flying,4,WSTRf,11.24480438,11.24480438,NA,NA,1,3,MairyCairncross,MairyCairncross,4,M,-26.778623,152.882047,NA,NA,0.63,NA,15,NA
Olea paniculata,30,0.73,25.66,10,14,40,192,Drupe,AVm,Flying,4,WSTRf,25.66408873,25.66408873,NA,10.24552681,2,5,MairyCairncross,MairyCairncross,4,M,-26.778623,152.882047,NA,NA,NA,NA,10,NA
Pilidiostigma glabrum,12,0.56,14.58,5,8,96,308,Berry,AVm,Flying,4,WSTRf,14.58314943,14.58314943,NA,NA,1,3,MairyCairncross,MairyCairncross,4,M,-26.778623,152.882047,NA,NA,0.56,NA,5,8
Syzygium hemilamprum,30,0.56,NA,7,17,121,484,Berry,AVf,Flying,4,WSTRf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.56,30,7,17
Syzygium hodgkinsoniae,25,0.6,14.69,NA,NA,NA,1600,Berry,AVm,Flying,4,WSTRf,14.69177328,14.69177328,NA,NA,1,3,MairyCairncross,MairyCairncross,4,M,-26.778623,152.882047,NA,NA,NA,NA,NA,NA
Tabernaemontana pandacaqui,4,0.47,19.01,4,7,120,550,Follicle_R,AVf,Flying,4,WSTRf,19.00814717,19.00814717,NA,NA,1,3,MairyCairncross,MairyCairncross,4,M,-26.778623,152.882047,NA,NA,0.47,NA,NA,NA
Toona ciliata,45,0.39,9.46,12,18,60,264,Capsule_W,W,Wind,4,WSTRf,9.458006385,9.458006385,NA,NA,1,1,MairyCairncross,MairyCairncross,4,M,-26.778623,152.882047,NA,NA,NA,NA,NA,NA
Wilkiea macrophylla,10,0.67,6.98,18,20,120,336,Drupe,AVf,Flying,4,WSTRf,6.982889785,6.982889785,NA,0.895990548,4,11,MairyCairncross,MairyCairncross,4,M,-26.778623,152.882047,NA,NA,0.67,NA,NA,NA
Aglaia australiensis,10,0.75,7.99,20,42,690,2200,Capsule_R,C,Non.flying,5,TDRf,7.992086087,7.992086087,NA,4.139310537,40,42,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,NA,NA,0.75,NA,NA,NA
Aglaia meridionalis,10,0.75,NA,15,30,625,1050,Capsule_R,C,Non.flying,5,TDRf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,NA,NA,NA
Aglaia tomentosa,8,0.8,14.89,15,18,192,476,Berry,AVm,Flying,5,TDRf,14.88964825,14.88964825,NA,1.897806557,11,25,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,NA,NA,0.8,NA,NA,NA
Argyrodendron peratelum,35,0.74,8.23,NA,NA,2240,4600,Samara,W,Wind,5,TDRf,8.225145342,8.225145342,NA,3.155298955,2,6,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,NA,NA,0.74,35,NA,NA
Argyrodendron sp.Boonji,20,0.74,5.43,NA,NA,1000,1600,Samara,W,Wind,5,TDRf,5.428362179,NA,5.428362179,0.136208259,3,7,Curtain FigNP & Quinkin & WooroonoranNP,Curtain FigNP,56,CF & Q & W,-17.283918,145.57121,NA,NA,0.74,20,NA,NA
Arytera divaricata,30,0.61,10.68,10,15,130,224,Capsule_R,AVm,Flying,5,TDRf,10.68406497,10.68406497,NA,3.590685941,3,7,Curtain FigNP,Curtain FigNP,5,CF,-17.283918,145.57121,NA,NA,0.61,NA,NA,NA
Attractocarpus merikin,5,0.8,9.91,7,7,540,1400,Drupe,AVf,Flying,5,TDRf,9.909365845,9.909365845,NA,NA,1,3,Curtain FigNP,Curtain FigNP,5,CF,-17.283918,145.57121,NA,NA,0.8,5,7,7
Cardwellia sublimis,35,0.46,6.47,60,70,4000,9000,Follicle_W,W,Wind,5,TDRf,6.469658859,6.469658859,NA,NA,1,1,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,NA,NA,NA,NA,NA,NA
Castanospora alphandii,45,0.58,8.24,20,30,750,1800,Berry,CHR,Non.flying,5,TDRf,8.238192025,NA,8.238192025,0.940302843,16,16,Curtain FigNP & Quinkin & WooroonoranNP,Curtain FigNP,56,CF & Q & W,-17.283918,145.57121,NA,NA,NA,NA,NA,NA
Celtis paniculata,20,0.58,14.74,NA,NA,63,132,Drupe,AVf,Flying,5,TDRf,14.74438082,14.74438082,NA,NA,1,3,Curtain FigNP,Curtain FigNP,5,CF,-17.283918,145.57121,NA,NA,0.58,NA,NA,NA
Codiaeum variegatum var moluccanum,5,0.49,12.91,5,5,25,90,Capsule_R,AVm,Flying,5,TDRf,12.90907406,12.90907406,NA,1.904017992,9,27,Quinkin,Quinkin,5,Q,-17.301913,145.580348,NA,NA,NA,NA,NA,NA
Croton triacros,8,0.5,13.56,3,5,20,56,Capsule_R,AVm,Flying,5,TDRf,13.55626998,13.55626998,NA,NA,1,3,Curtain FigNP,Curtain FigNP,5,CF,-17.283918,145.57121,NA,NA,NA,NA,NA,NA
Cryptocarya putida,25,0.54,7.67,10,13,168,300,Berry,AVf,Flying,5,TDRf,7.671685194,7.671685194,NA,NA,1,3,Curtain FigNP,Curtain FigNP,5,CF,-17.283918,145.57121,NA,NA,0.54,NA,NA,NA
Cupaniospsis flagelliformis,40,0.79,13.1,NA,NA,210,572,Capsule_R,AVm,Flying,5,TDRf,13.09941964,13.09941964,NA,0.359755247,2,3,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,NA,NA,0.79,40,NA,NA
Daphnandra rapandula,30,0.58,20.21,8,8,225,1225,Achene(plumed),W,Wind,5,TDRf,20.21471258,NA,20.21471258,2.927180771,7,21,Curtain FigNP & Quinkin & WooroonoranNP,Curtain FigNP,56,CF & Q & W,-17.283918,145.57121,NA,NA,0.58,30,8,8
Dendrocnide photinophylla,30,0.21,31.5,NA,NA,NA,NA,Nut,AVm,Flying,5,TDRf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.5,NA,NA,NA,NA
Diospyros cupulosa,12,0.84,7.58,NA,NA,30,195,Berry,AVm,Flying,5,TDRf,7.578984399,7.578984399,NA,NA,1,3,Curtain FigNP,Curtain FigNP,5,CF,-17.283918,145.57121,NA,NA,0.84,NA,NA,NA
Diploglottis diphyllostegia,30,0.42,7.55,10,10,120,476,Capsule_R,AVmCR,Flying,5,TDRf,7.545068634,7.545068634,NA,0.563154405,2,2,Curtain FigNP,Curtain FigNP,5,CF,-17.283918,145.57121,NA,NA,0.42,NA,NA,NA
Doryphora aromatica,40,0.46,14.02,15,23,225,529,Achene(plumed),W,Wind,5,TDRf,14.01690211,14.01690211,NA,2.963979772,7,21,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,NA,NA,NA,NA,15,23
Dysoxylum parasiticum,27,0.6,11.91,18,18,1600,1600,Capsule_R,AVm,Flying,5,TDRf,11.90766806,11.90766806,NA,NA,1,1,Curtain FigNP,Curtain FigNP,5,CF,-17.283918,145.57121,NA,NA,NA,NA,NA,NA
Dysoxylum pettigrewianum,35,0.71,14.98,20,24,750,1800,Capsule_R,AVmC,Flying,5,TDRf,14.98044774,14.98044774,NA,5.783098383,3,4,Curtain FigNP,Curtain FigNP,5,CF,-17.283918,145.57121,NA,NA,NA,NA,NA,NA
Endiandra cowleyana,30,0.64,24.23,20,28,336,561,Drupe,C,Non.flying,5,TDRf,24.23039849,24.23039849,NA,NA,1,3,Curtain FigNP,Curtain FigNP,5,CF,-17.283918,145.57121,NA,NA,NA,NA,NA,NA
Endiandra insignis,25,0.68,14.35150305,25,55,2500,9000,Drupe,CHR,Non.flying,5,TDRf,14.35150305,14.35150305,NA,NA,1,1,Curtain FigNP,Curtain FigNP,5,CF,-17.283918,145.57121,NA,NA,0.68,NA,NA,NA
Endiandra monothyra,35,0.68,12.74,27,34,450,800,Drupe,AVmFlHR,Flying,5,TDRf,12.73838168,NA,12.73838168,2.814143276,8,22,Curtain FigNP & WooroonoranNP,Curtain FigNP,56,CF & W,-17.283918,145.57121,NA,NA,0.68,35,27,34
Ficus congesta,6,0.43,NA,NA,NA,500,2520,Fig,CFl,Flying,5,TDRf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43,NA,NA,NA
Ficus copiosa,10,0.41,9.2,NA,NA,300,600,Fig,AVfCFl,Flying,5,TDRf,9.196521681,9.196521681,NA,NA,1,3,Quinkin,Quinkin,5,Q,-17.301913,145.580348,NA,NA,0.41,NA,NA,NA
Ficus fraserii,35,0.41,11.8577881,NA,NA,375,1200,Fig,AVm,Flying,5,TDRf,11.8577881,11.8577881,NA,NA,1,3,Quinkin,Quinkin,5,Q,-17.301913,145.580348,NA,NA,0.41,35,NA,NA
Ficus leptoclada,15,0.46,48.96,NA,NA,240,340,Fig,AVm,Flying,5,TDRf,48.95843748,48.95843748,NA,NA,1,3,Curtain FigNP,Curtain FigNP,5,CF,-17.283918,145.57121,NA,NA,NA,NA,NA,NA
Firmiana papuana,25,0.34,NA,6,8,980,2800,Follicle_N,P,Passive,5,TDRf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Flindersia brayleyana,35,0.48,7.13,65,65,3600,10000,Capsule_W,W,Wind,5,TDRf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.13,NA,NA,65,65
Flindersia schottiana,45,0.56,NA,45,50,6400,16900,Capsule_W,W,Wind,5,TDRf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,50
Gmelina fasciculiflora,30,0.47,8.34,15,15,100,900,Drupe,AVfC,Flying,5,TDRf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.34,NA,NA,NA,NA
Gossia dallachania,16,0.81,15.48,NA,NA,144,256,Berry,AVfC,Flying,5,TDRf,15.47501013,NA,15.47501013,2.872295485,3,9,Curtain FigNP & WooroonoranNP,Curtain FigNP,56,CF & W,-17.283918,145.57121,NA,NA,0.81,16,NA,NA
Haplosticanthus submontanus,4,0.76,12.72,7,9,121,304,Berry,AVf,Flying,5,TDRf,12.71753415,12.71753415,NA,2.18639595,3,9,Curtain FigNP,Curtain FigNP,5,CF,-17.283918,145.57121,NA,NA,0.76,4,7,9
Macaranga inoemena,10,0.46,15.05,3,4,36,66,Capsule_N,AVm,Flying,5,TDRf,15.04528826,NA,15.04528826,1.024139945,3,9,Curtain FigNP & WooroonoranNP,Curtain FigNP,56,CF & W,-17.283918,145.57121,NA,NA,0.46,10,3,4
Mallotsus polyadenos,28,0.62,13.45,3,4,40,60,Capsule_N,AVm,Flying,5,TDRf,13.44645706,13.44645706,NA,NA,1,3,Curtain FigNP,Curtain FigNP,5,CF,-17.283918,145.57121,NA,NA,0.62,28,3,4
Melia azedarch,45,0.39,NA,6,7,150,800,Drupe,AVmFl,Flying,5,TDRf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.39,45,6,7
Melicope vitaflora,40,0.51,15.8,3,5,25,25,Capsule_R,AVmR,Flying,5,TDRf,15.79955147,NA,15.79955147,3.424389579,4,9,Curtain FigNP & WooroonoranNP,Curtain FigNP,56,CF & W,-17.283918,145.57121,NA,NA,0.51,40,3,5
Myristica insipida,25,0.46,11.22,20,25,375,1200,Capsule_R,AVm,Flying,5,TDRf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.22,NA,NA,NA,NA
Pilidiostigma tropicum,20,0.63,16.37,4,8,96,308,Berry,AVmFl,Flying,5,TDRf,16.3658592,NA,16.3658592,3.3173174,5,15,Curtain FigNP & WooroonoranNP,Curtain FigNP,56,CF & W,-17.283918,145.57121,NA,NA,NA,NA,4,NA
Planchonella myrsinoidendron,25,0.65,9.18,12,25,60,750,Drupe,AVmFl,Flying,5,TDRf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.18,0.65,25,12,25
Polyalthia nitidissima,18,0.45,12.96,6,7,48,126,Berry,AVf,Flying,5,TDRf,12.95510903,12.95510903,NA,0.434799682,3,9,Curtain FigNP,Curtain FigNP,5,CF,-17.283918,145.57121,NA,NA,NA,NA,NA,NA
Polycias elegens,30,0.4,7.56,2,2,25,49,Drupe,AVm,Flying,5,TDRf,7.563266119,7.563266119,NA,NA,1,3,Quinkin,Quinkin,5,Q,-17.301913,145.580348,NA,NA,0.4,30,2,2
Tarrenia dallachania,20,0.76,24,3,3,16,81,Drupe,AVf,Flying,5,TDRf,24.00320029,24.00320029,NA,3.846571332,3,9,Curtain FigNP,Curtain FigNP,5,CF,-17.283918,145.57121,NA,NA,0.76,20,3,3
Ternstroemia cherryi,20,0.56,6.35,15,20,625,1750,Capsule_R,AVmPR,Flying,5,TDRf,6.354626291,6.354626291,NA,NA,1,3,Quinkin,Quinkin,5,Q,-17.301913,145.580348,NA,NA,0.56,NA,NA,NA
Wilkea longipes,15,0.52,14.87,13,15,150,280,Drupe,AVf,Flying,5,TDRf,14.86939338,14.86939338,NA,3.378964137,59,174,Curtain FigNP & Quinkin,Curtain FigNP,5,CF & Q,-17.283918,145.57121,NA,NA,0.52,15,13,15
Zanthoxylum ovatiflorum,6,0.61,12.72,5,5,36,49,Follicle_R,AVf,Flying,5,TDRf,12.71834372,12.71834372,NA,2.291507971,7,21,Quinkin,Quinkin,5,Q,-17.301913,145.580348,NA,NA,0.61,6,5,5
Zanthoxylum venicum,25,0.65,12.31,5,6,49,64,Follicle_R,AVf,Flying,5,TDRf,12.30616931,12.30616931,NA,1.487371316,5,14,Quinkin,Quinkin,5,Q,-17.301913,145.580348,NA,NA,0.65,25,5,6
Aceriatum sericoleopsis,15,0.57,26.58,12,12,180,570,Drupe,AVmR,Flying,6,WTRf,26.57589582,26.57589582,NA,NA,1,3,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,NA,NA,0.57,15,12,12
Acronychia parviflora,4,0.57,21.97,3,8,90,140,Drupe,AVf,Flying,6,WTRf,21.96664746,21.96664746,NA,NA,1,3,LamingtonNP,LamingtonNP,2,R,-28.196897,153.183639,"These samples were taken from nearby in Lamington National Park, rather than the border Border Ranges close to the Binna Bua area rather than R Kooymans plots. The Lats and Longs are approximate. We used these to fill missing SLA from the Border Randes plots",NA,0.57,NA,NA,NA
Acronychia vestita,20,0.58,16,5,5,225,576,Drupe,AVfHR,Flying,6,WTRf,16.00388733,16.00388733,NA,NA,1,3,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,NA,NA,NA,NA,5,NA
Aglaia sapindina,15,0.44,14.43,15,15,225,588,Berry,AVfC,Flying,6,WTRf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.43,NA,NA,NA,NA
Alphitonia petriei,40,0.43,8.3,2,5,49,120,Capsule_R,AVm,Flying,6,WTRf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.3,NA,NA,NA,NA
Alphitonia whitei,30,0.63,7.51,6,6,54,99,Capsule_R,AVm,Flying,6,WTRf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.51,0.63,NA,NA,NA
Alstonia scholaris,40,0.33,12.04,4,5,600,2700,Follicle_W,W,Wind,6,WTRf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.04,NA,NA,NA,NA
Antidesma erostre,20,0.73,11.65,NA,NA,15,70,Berry,AVf,Flying,6,WTRf,11.6491842,11.6491842,NA,NA,1,3,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,NA,NA,NA,NA,NA,NA
Apodytes brachystylis,20,0.54,14.4,10,13,48,90,Berry,AVm,Flying,6,WTRf,14.39884137,14.39884137,NA,1.93357045,18,54,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,NA,NA,0.54,NA,NA,NA
Archidendron lucyi,20,0.5,NA,10,17,1050,3000,Pod_N,AVm,Flying,6,WTRf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA
Archidendron vallantii,25,0.4374,13.32,NA,10,750,5400,Pod_N,AVm,Flying,6,WTRf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.32,0.4374,25,NA,10
Archidendron whitii,15,0.5,NA,9,10,1040,2250,Pod_N,AVm,Flying,6,WTRf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,15,9,10
Ardisia brevipedata,3,0.68,10.36,5,6,80,130,Berry,AVfC,Flying,6,WTRf,10.35874358,10.35874358,NA,2.304990052,2,6,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,NA,NA,0.68,NA,NA,NA
Athertonia diversifolia,30,0.56,8.61,NA,NA,1188,1558,Drupe,HR,Non.flying,6,WTRf,8.6086555,8.6086555,NA,NA,1,3,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,NA,NA,0.56,NA,NA,NA
Austromeullera trinervia,18,0.57,12,125,190,7700,12600,Follicle_W,W,Wind,6,WTRf,11.99928394,11.99928394,NA,1.695473477,3,3,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,NA,NA,0.57,18,125,190
Beilschmiedia bancroftii,30,0.65,10.3,NA,NA,1122,4650,Drupe,C,Non.flying,6,WTRf,10.30425684,10.30425684,NA,NA,1,3,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,NA,NA,NA,NA,NA,NA
Beilschmedia brunnea,35,0.45,NA,NA,NA,252,374,Drupe,AVf,Flying,6,WTRf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45,35,NA,NA
Beilschmiedia tooram,30,0.78,9.27,25,50,700,3135,Drupe,CHR,Non.flying,6,WTRf,9.265138438,9.265138438,NA,0.67929131,8,24,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,NA,NA,NA,NA,NA,NA
Brombya platynema,20,0.62,23.48,NA,NA,8,20,Capsule_N,AVf,Flying,6,WTRf,23.48063503,23.48063503,NA,NA,1,3,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,NA,NA,0.62,NA,NA,NA
Citronella smythii,25,0.56,14.14,10,14,108,192,Berry,AVfC,Flying,6,WTRf,14.14342386,14.14342386,NA,NA,1,3,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,NA,NA,NA,NA,NA,NA
Corynocarpus cribbianus,25,0.57,13.73,23,35,1200,2250,Drupe,CHR,Non.flying,6,WTRf,13.73270841,13.73270841,NA,0.313041614,2,6,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,NA,NA,0.57,NA,NA,NA
Cryptocarya grandis,35,0.71,12.8,9,13,182,440,Berry,AVf,Flying,6,WTRf,12.7951905,12.7951905,NA,2.13462009,3,9,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,NA,NA,0.71,NA,NA,NA
Cryptocarya mackinnoniana,25,0.72,9.01,15,20,247,476,Nut,AVmR,Flying,6,WTRf,9.006800483,9.006800483,NA,1.343871889,5,13,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,NA,NA,NA,NA,NA,NA
Cryptocarya pleurosperma,30,0.57,13.13,25,35,1107,3038,Nut,CHR,Non.flying,6,WTRf,13.13218376,13.13218376,NA,NA,1,3,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,NA,NA,0.57,NA,NA,NA
Darlingia ferrugenia,30,0.52,5.66,70,80,1750,2800,Follicle_W,W,Wind,6,WTRf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.66,0.52,30,70,80
Delarbrea micheana,8,0.63,8.6,NA,NA,210,350,Drupe,AVfCR,Flying,6,WTRf,8.602241779,8.602241779,NA,2.743160884,3,3,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,NA,NA,0.63,8,NA,NA
Diploglottis bracteata,25,0.81,7.94,25,30,900,4500,Capsule_R,AVfCH,Flying,6,WTRf,7.937390595,7.937390595,NA,1.499730634,8,8,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,NA,NA,0.81,25,NA,NA
Dysoxylum papuanum,40,0.63,15.86,NA,NA,300,675,Capsule_R,AVm,Flying,6,WTRf,15.86456783,15.86456783,NA,NA,1,2,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,NA,NA,0.63,NA,NA,NA
Elaeocarpus grandis,35,0.41,8.82,NA,NA,225,1089,Drupe,AVmFlHR,Flying,6,WTRf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.82,NA,NA,NA,NA
Endiandra bessaphila,35,0.8,7.29,21,23,200,390,Drupe,AVfC,Flying,6,WTRf,7.286490353,7.286490353,NA,NA,1,2,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,NA,NA,0.8,NA,21,23
Endiandra palmerstonii,30,0.65,7.64,30,40,2025,3900,Drupe,AVmR,Flying,6,WTRf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.64,0.65,NA,NA,NA
Endiandra sankeyana,30,0.71,10.06,17,45,475,2378,Drupe,CHR,Non.flying,6,WTRf,10.05520124,10.05520124,NA,NA,1,3,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,NA,NA,NA,NA,NA,NA
Endiandra wolfei,26,0.86,11.07,17,21,200,312,Drupe,AVf,Flying,6,WTRf,11.06538613,11.06538613,NA,NA,1,3,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,NA,NA,NA,26,NA,NA
Erythroxylon sp,25,0.81,9,NA,NA,77,120,Drupe,AVfC,Flying,6,WTRf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,0.81,25,NA,NA
Eupomatia laurina,10,0.54,16.4,4,6,360,1800,Berry,AVm,Flying,6,WTRf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.4,NA,NA,NA,NA
Fontainea picrosperma,25,0.46,19.52,20,26,384,1085,Drupe,CHR,Non.flying,6,WTRf,19.51886376,19.51886376,NA,NA,1,3,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,NA,NA,0.46,NA,NA,NA
Franciscodendron laurifolium,30,0.37,11.35,15,15,750,1400,Samara,W,Wind,6,WTRf,11.35169564,11.35169564,NA,1.187190474,9,21,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,NA,NA,0.37,NA,NA,NA
Garcinia gibbsiae,12,0.82,9.25,5,18,900,3600,Drupe,AVfCH,Flying,6,WTRf,9.252553958,9.252553958,NA,0.744069735,2,6,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,NA,NA,0.82,NA,NA,NA
Glochidian hylandii,15,0.66,NA,NA,NA,192,1080,Capsule_N,AVf,Flying,6,WTRf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.66,15,NA,NA
Gossia shepherdii,20,0.7,NA,NA,NA,25,100,Berry,AVf,Flying,6,WTRf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,NA,NA
Guioa lasioneura,15,0.53,13.2,7,8,80,308,Capsule_R,AVmFl,Flying,6,WTRf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.2,0.53,NA,NA,NA
Haplostichanthus johnsonii,5,0.62,12.79,4,9,80,288,Berry,AVf,Flying,6,WTRf,12.78876839,12.78876839,NA,NA,1,3,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,NA,NA,0.62,5,NA,NA
Harpulia rhytocarpa,6,0.74,9.23,12,14,375,1386,Capsule_R,AVm,Flying,6,WTRf,9.226280537,9.226280537,NA,NA,1,1,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,NA,NA,0.74,6,12,14
Hedycarya loxocarya?,25,0.59,15.51,5,7,42,90,Drupe,AVf,Flying,6,WTRf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.51,0.59,25,5,7
Hylandea dockrillii,30,0.46,8.45,12,18,700,1485,Nut,R,Non.flying,6,WTRf,8.447363217,8.447363217,NA,1.527188437,2,6,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,NA,NA,0.46,30,12,18
Irvingbaileya australis,20,0.41,12.62,20,24,378,500,Berry,AVmCFlHR,Flying,6,WTRf,12.6171256,12.6171256,NA,NA,1,3,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,NA,NA,NA,NA,NA,NA
Medicosma fareana,10,0.68,16.52,5,5,36,36,Capsule_N,P,Passive,6,WTRf,16.51661379,16.51661379,NA,NA,1,3,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,NA,NA,NA,NA,NA,NA
Mischocarpus lachnocarpus,20,0.64,11.67,7,8,78,400,Capsule_R,AVm,Flying,6,WTRf,11.66897457,11.66897457,NA,NA,1,3,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,NA,NA,NA,NA,NA,NA
Myristica globosa,30,0.5,11.22,10,22,375,750,Capsule_R,AVmH,Flying,6,WTRf,11.22220007,11.22220007,NA,0.595944472,2,6,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,NA,NA,0.5,NA,NA,NA
Niemeyera prunifera,16,0.66,12.94,16,38,840,2500,Drupe,CFlHR,Flying,6,WTRf,12.93930881,12.93930881,NA,0.125463468,2,6,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,NA,NA,0.66,NA,NA,NA
Opisthiolepus heterophylla,30,0.5,12.68,80,90,1125,4200,Follicle_W,W,Wind,6,WTRf,12.67833407,12.67833407,NA,NA,1,2,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,NA,NA,0.5,30,80,90
Oraniopsis appendiculata,30,0.17,NA,NA,22,540,1225,Drupe,CFlHR,Flying,6,WTRf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17,30,NA,22
Pittosporum rubiginosum,2,0.88,29.43,6,7,78,460,Capsule_R,CR,Flying,6,WTRf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.43,0.88,NA,NA,NA
Pouteria brownlessiana,30,0.66,11.11,18,18,320,320,Drupe,AVm,Flying,6,WTRf,11.1146849,11.1146849,NA,1.146172291,2,6,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,NA,NA,0.66,NA,NA,NA
Pouteria xylocarpa,15,0.58,12.74,20,25,150,286,Drupe,AVm,Flying,6,WTRf,12.74311794,12.74311794,NA,NA,1,3,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,NA,NA,0.58,15,NA,NA
Prunus turneriana,30,0.44,10.19,14,30,306,1443,Drupe,AVmFLHPR,Flying,6,WTRf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.19,NA,NA,NA,NA
