Species,CGO,Reference
Hypocalymma hirsutum,WR,Hypocalymma hirsutum Strid & Keighery; C.A. Gardner 13943 PERTH 02354047
Hypocalymma xanthopetalum,WR,Field collection LM180919/34
Kunzea micrantha subsp. petiolata,NC,Kunzea micrantha Schauer; L. Preiss 277 LD1005405
Leptospermum oligandrum,L,D’Agui (2017)
Leptospermum spinescens,L,Field collection LM300920/13
Melaleuca aspalathoides,L,Melaleuca aspalathoides Schauer; A. George 17772 PERTH 07813538
Melaleuca ciliosa,L,D’Agui (2017)
Melaleuca hamata,L,Melaleuca hamata Fielding & Gardner; W. O'Sullivan 1054 PERTH 05762057
Melaleuca hamulosa,L,Melaleuca hamulosa Turcz.; R. Hnatiuk 800195 PERTH 03598055
Melaleuca huegelii subsp. huegelii,NC,Melaleuca huegelii Endl. subsp. huegelii; R. Benken(5 PERTH 06454372
Melaleuca lateriflora,NC,"Melaleuca lateriflora Benth.; D. Rayner, S. Clune & L. Kelly JG807-27 PERTH 07844832"
Melaleuca leuropoma,NC,Field collection LM180919/44
Melaleuca marginata,L,Inferred from similar M. systena.
Melaleuca platycalyx,NC,Melaleuca platycalyx Diels; L. Strahan 404 PERTH 07456220
Melaleuca radula,NC,"Melaleuca radula Lindl.; D. Rayner, S. Clune & L. Kelly RH807-24 PERTH 07845081; L.A. Phillips 58 PERTH 07790775"
Melaleuca systena,L,Field collection LM190919/1
Melaleuca trichophylla,L,Field collection LM021020/18
Melaleuca urceolaris,NC,Melaleuca urceolaris Benth.; E.A. Griffin 2436 PERTH 06182976
Melaleuca viminea subsp. viminea,NC,Melaleuca viminea Lindl. subsp. viminea; R. Hart 4039 PERTH 06956165; R. Davis 10110 PERTH 06006124
Melaleuca zonalis,NC,Inferred from similar M. leuropoma
Phymatocarpus porphyrocephalus,NC,D’Agui (2017)
Pileanthus filifolius,L,Field collection LM021020/08
Scholtzia chapmanii,L,Rye (2019)
Scholtzia involucrata,L,"Scholtzia involucrata (Endl.) Druce; F. Hort (2474), PERTH 06938361"
Scholtzia laxiflora,L,Field collection LM180919/49
Scholtzia sp. Wongonderrah (M.E. & M.R. Trudgen MET 12000),L,Rye (2019)
Scholtzia trilocularis,NC,Rye (2019)
Scholtzia umbellifera,L,Field collection LM180919/60
Thryptomene hyporhytis,NC,Field collection LM180919/12
Thryptomene mucronulata,NC,Thryptomene mucronulata Turcz.; T. Sleigh TS095 PERTH 08593078
Thryptomene racemulosa,L,Thryptomene racemulosa Turcz.; B.L. Rye & M.E. Trudgen BLR239018 PERTH 06753124
Verticordia argentea,NC,George & George (2002)
Verticordia aurea,NC,George & George (2002)
Verticordia densiflora,NC,Field collection LM180919/19; Pate et al. (1990)
Verticordia grandis,L,Field collection LM170919/16
Verticordia monadelpha,NC,George & George (2002)
Verticordia nobilis,NC,George & George (2002)
Verticordia ovalifolia,L,George & George (2002)
Verticordia pennigera,L,George & George (2002)
Olax benthamiana,NC,"Griffin & Hopkins (1981); Pate, Kuo & Milburn (1990) "
Olax scalariformis,NC,"Griffin & Hopkins (1981); Pate, Kuo & Milburn (1990)"
Caladenia flava,T,Western Australian Herbarium (1998–). Florabase profile 1592 (Accessed 5 Oct 2021).
Leporella fimbriata,T,Western Australian Herbarium (1998–). Florabase profile 1653 (Accessed 5 Oct 2021).
Paracaleana dixonii,T,Western Australian Herbarium (1998–). Florabase profile 13867 (Accessed 5 Oct 2021).
Pheladenia deformis,T,Western Australian Herbarium (1998–). Florabase profile 20460 (Accessed 5 Oct 2021).
Pterostylis recurva,T,Western Australian Herbarium (1998–). Florabase profile 1693 (Accessed 5 Oct 2021).
Pyrorchis nigricans,T,Western Australian Herbarium (1998–). Florabase profile 16367 (Accessed 5 Oct 2021).
Phyllanthus calycinus,L,Phyllanthus calycinus Labill.; M. Hislop & M. Griffiths WW197-41 PERTH 07753853; N.D. Burrows MC 126 PERTH 07017456; Pate et al. (1990)
Poranthera microphylla,NC,Field collection LM180919/26
Amphipogon caricinus,HR,Amphipogon caricinus F.Muell.; T.D. Macfarlane 17397 PERTH 08509093
Amphipogon debilis,HR,Amphipogon debilis R.Br.; G.J & B.J. Keighery 845 PERTH 07816049
Amphipogon turbinatus,HR,Field collection LM190919/5
Aristida contorta,HR,Western Australian Herbarium (1998–). Florabase profile 207 (Accessed 5 Oct 2021).
Austrostipa compressa,NC,Austrostipa compressa (R.Br.) S.W.L.Jacobs & J.Everett; J. Cullity 32 PERTH 07812000
Austrostipa elegantissima,HR,Western Australian Herbarium (1998–). Florabase profile 17237 (Accessed 5 Oct 2021).
Austrostipa exilis,HR,"Austrostipa exilis (Vickery) S.W.L.Jacobs & J.Everett; J.A. Cochrane, S. Comer & G. Freebury JAC4720 PERTH 06708927"
Austrostipa hemipogon,HR,Austrostipa hemipogon (Benth.) S.W.L.Jacobs & J.Everett; J. Drummond 376 MEL59933
Austrostipa macalpinei,NC,Field collection LM190919/6
Neurachne alopecuroidea,HR,Field collection LM180919/54
Rytidosperma setaceum,HR,Rytidosperma setaceum (R.Br.) Connor & Edgar; T.D. Macfarlane 1407 PERTH 08883157
Comesperma acerosum,NC,Field collection LM180919/54
Comesperma calymega,NC,"Comesperma calymega Labill., R.C. Gunn TCD0010240"
Comesperma drummondii,NC,Keighery (2002)
Comesperma integerrimum,NC,Keighery (2002)
Calandrinia corrigioloides,NC,Obbens (2006)
Adenanthos cygnorum,NC,Adenanthos cygnorum Diels; R. Davis 9612 PERTH 05838479; Pate et al. (1990); D'Agui (2017)
Adenanthos drummondii,L,Western Australian Herbarium (1998–). Florabase profile 1779 (Accessed 13 Oct 2021).
Banksia armata,L,Western Australian Herbarium (1998–). Florabase profile 32682 (Accessed 13 Oct 2021).
Banksia attenuata,L,Griffin & Hopkins (1981)
Banksia bipinnatifida subsp. multifida,WR,Banksia bipinnatifida subsp. multifida (A.S.George) A.R.Mast & K.R.Thiele; M.G. Allen 1216 PERTH 04634160; E.A. Griffin 2415 PERTH 01805770
Banksia candolleana,L,Banksia candolleana Meisn.; A.S. George 2342 PERTH 01708244
Banksia carlinoides,NC,Field collection LM300920/06
Banksia chamaephyton,WR,Banksia chamaephyton A.S. George; A.S. George 16928 PERTH 06037976
Banksia cypholoba,WR,Banksia cypholoba (A.S.George) A.R.Mast & K.R.Thiele; J.E. Wajon 3044 PERTH 09140077; A.S. George 16777 PERTH 04110668
Banksia dallanneyi,L,Banksia dallanneyi A.R.Mast & K.R.Thiele; F. & J. Hort 1792 PERTH 06253784
Banksia elegans,WR,Banksia elegans Meisn.; S.D. Hopper 6355 PERTH 09204008
Banksia fraseri,L,Banksia fraseri (R.Br.) A.R.Mast & K.R.Thiele; R. Davis 7127 PERTH 05135648; M. Pieroni 97/4 PERTH 06069606
Banksia glaucifolia,NC,Banksia glaucifolia A.R.Mast & K.R.Thiele; A.S. George 16802 PERTH 04357531
Banksia grossa,L,Banksia grossa A.S. George; R. Hnatiuk 771549 PERTH 01731440
Banksia hookeriana,L,Field collection LM180919/09
Banksia incana,L,Banksia incana A.S. George; A.S. George 14424 PERTH 01732765
Banksia kippistiana,NC,Banksia kippistiana (Meisn.) A.R.Mast & K.R.Thiele; A.S. George PERTH 05128935; Griffin & Hopkins (1981)
Banksia lanata,NC,Field collection LM011020/11
Banksia menziesii,L,D’Agui (2017)
Banksia micrantha,L,Banksia micrantha A.S.George; A.S. George 14417 PERTH 01736272
Banksia nivea,NC,Western Australian Herbarium (1998–). Florabase profile 32203 (Accessed 13 Oct 2021).
Banksia prionotes,NC,Western Australian Herbarium (1998–). Florabase profile 1842 (Accessed 5 Oct 2021).
Banksia scabrella,L,Banksia scabrella A.S.George; R. Davis 2963 PERTH 04671457
Banksia sessilis,NC,Banksia sessilis (Knight) A.R.Mast & K.R.Thiele; B.J. Keighery 2334 PERTH 06569951
Banksia shuttleworthiana,L,Field collection LM180919/52
Banksia sphaerocarpa,L,Banksia sphaerocarpa R.Br.; K.R. Thiele 5321 PERTH 08813426
Banksia stenoprion,WR,Banksia stenoprion (Meisn.) A.R.Mast & K.R.Thiele; F. & J. Hort 1814 PERTH 06197140; R. Davis 3217 PERTH 04695836
Banksia tortifolia,WR,Banksia tortifolia (Meisn.) A.R.Mast & K.R.Thiele; A.S. George 16865 PERTH 05398592
Banksia tridentata,L,Field collection LM011020/03
Conospermum boreale,L,Conospermum boreale E.M.Benn.; E.M. Bennett 5085 PERTH
Conospermum crassinervium,NC,Western Australian Herbarium (1998–). Florabase profile 1864 (Accessed 13 Oct 2021).
Conospermum nervosum,NC,Conospermum nervosum Meisn.; R. Davis 3320 PERTH 04906594; D’Agui (2017)
Conospermum stoechadis,L,Conospermum stoechadis Endl.; R. Spjut & R. Smith 12445 PERTH 04612426
Conospermum unilaterale,NC,D’Agui (2017)
Conospermum wycherleyi,L,Field collection LM170919/18; Pate et al. (1990)
Grevillea biformis,NC,Grevillea biformis Meisn.; R. Davis 293 PERTH 07438516; R. Davis 3657 PERTH 04866401
Grevillea eriostachya,L,Field collection LM180919/27
Grevillea pinaster,L,Wilson (2000)
Grevillea rudis,L,D’Agui (2017)
Grevillea shuttleworthiana subsp. canarina,NC,Grevillea shuttleworthiana subsp. canarina Olde & Marriott; R. Davis 3265 PERTH 04869575
Grevillea synapheae,L,D’Agui (2017)
Hakea auriculata,L,Field collection LM170919/10
Hakea candolleana,L,Field collection LM011020/02
Hakea conchifolia,L,Field collection LM180919/03
Hakea costata,NC,Hakea costata Meisn.; R. Davis 3214 PERTH 04695798; D’Agui (2017)
Hakea cygna subsp. cygna,NC,Hakea cygnus Lamont subsp. cygnus; B. Lamont & B.J. Keighery PERTH 01777076
Hakea eneabba,L,Field collection LM170919/08
Hakea flabellifolia,L,Field collection LM180919/10
Hakea gilbertii,NC,Wilson (1999)
Hakea incrassata,L,Field collection LM180919/46
Hakea lissocarpha,L,"Hakea lissocarpha R.Br.; M. Hislop, & M. Griffiths WW 140-3 PERTH 06976611; R. Davis 4553 PERTH 04936493"
Hakea neospathulata,L,Hakea neospathulata I.M.Turner; R. Davis 3276 PERTH 04696239; D’Agui (2017)
Hakea polyanthema,NC,D’Agui (2017)
Hakea prostrata,L,Griffin & Hopkins (1981); Wilson (1999)
Hakea psilorrhyncha,NC,Field collection LM300920/05; Wilson (1999)
Hakea smilacifolia,NC,Hakea smilacifolia Meisn.; R. Davis 3335 PERTH 04939484; D’Agui (2017)
Hakea stenocarpa,L,Wilson (1999)
Hakea trifurcata,NC,Pate et al. (1990); Wilson (1999)
Isopogon adenanthoides,NC,Isopogon adenanthoides Meisn.; R. Davis 3317 PERTH 04906551; D’Agui (2017)
Isopogon divergens,NC,Isopogon divergens R.Br.; R. Davis RD 2094 PERTH 04583914
Isopogon dubius,L,Isopogon dubius (R.Br.) Druce; M.G. Allen 1554 PERTH 04654374
Isopogon inconspicuus,L,Isopogon inconspicuus (Meisn.) Foreman; R.V. Smith 66/198 PERTH 01864467
Isopogon linearis,L,Western Australian Herbarium (1998–). Florabase profile 2232 (Accessed 13 Oct 2021).
Isopogon tridens,L,D'Agui (2017)
Lambertia multiflora,L,Field collection LM300920/01
Persoonia acicularis,L,Field collection LM021020/09
Persoonia filiformis,L,Western Australian Herbarium (1998–). Florabase profile 14563 (Accessed 13 Oct 2021).
Persoonia rudis,L,McCarthy (1995)
Petrophile brevifolia,L,Petrophile brevifolia Lindl.; K.R Thiele 3500 PERTH 08150079
Petrophile drummondii,NC,Field collection LM170919/17
Petrophile linearis,L,Field collection LM180919/02
Petrophile macrostachya,L,Field collection LM011020/10
Petrophile megalostegia,L,Petrophile megalostegia F.Muell.; R. Davis 3288 PERTH 04869532; R.J Cranfield 8000 PERTH 01470760
Petrophile scabriuscula,NC,Petrophile scabriuscula Meisn.; R. Davis 3264 PERTH 04696182
Petrophile shuttleworthiana,L,Bowen (1991); D’Agui (2017)
Petrophile striata,L,Petrophile striata R.Br.; R. Davis 4378 PERTH 04929268; R. Davis 6933 PERTH 05135273
Stirlingia latifolia,L,Field collection LM180919/41
Strangea cynanchicarpa,L,Strangea cynanchicarpa (Meisn.) F.Muell.; C.A. Gardner PERTH 01708317; Bowen & Pate (2017)
Synaphea spinulosa,NC,Field collection LM180919/01
Xylomelum angustifolium,WR,McCarthy (1995)
Alexgeorgea nitens,HR,"Pate, Meney & Dixon (1991)"
Alexgeorgea subterranea,HR,"Alexgeorgea subterranea Carlquist; R.K. Brummitt, A.S. George & E.G.H Oliver RKB21167 PERTH 07001568; Pate, Meney & Dixon (1991)"
Chordifex sinuosus,HR,Field collection LM180919/21
Desmocladus asper,HR,"Pate et al., (1991); Briggs & Johnson (2001)"
Desmocladus elongatus,HR,"Pate et al., (1991); Briggs & Johnson (2001)"
Desmocladus flexuosus,HR,"Pate et al., (1991); Briggs & Johnson (2001)"
Desmocladus lateriticus,HR,Briggs & Johnson (2001)
Desmocladus parthenicus,HR,Briggs & Johnson (2001)
Desmocladus semiplanus,HR,"Pate et al., (1991); Briggs & Johnson (2001)"
Desmocladus virgatus,HR,Briggs & Johnson (2001)
Lepidobolus chaetocephalus,HR,"Field collection LM011020/09; Pate et al., (1991)"
Lepidobolus preissianus,HR,"Field collection LM180919/39; Pate et al., (1991)"
Lepidobolus quadratus,HR,"Pate et al., (1991); Meney et al., (1996)"
Cryptandra myriantha,NC,Rye (2007)
Cryptandra nutans,NC,Rye (2007)
Cryptandra scoparia,NC,Rye (2007)
Polianthion wichurae,NC,"Kellermann, Rye & Thiele (2006)"
Stenanthemum humile,NC,Stenanthemum humile Benth.; J. Drummond K000732089
Stenanthemum notiale,NC,Stenanthemum notiale Rye; R. Davis RD838 PERTH 04476565
Opercularia spermacocea,HR,Opercularia spermacocea Juss.; G.J. Keighery 15788 PERTH 05809193
Opercularia vaginata,HR,Opercularia vaginata Juss.; G.J. Keighery 17271 PERTH 09072926
Boronia cymosa,NC,Boronia cymosa Endl.; R. Davis 9878 PERTH 05918820
Cyanothamnus ramosus,L,Griffin & Hopkins (1981)
subsp. anethifolius,,
Cyanothamnus coerulescens,NC,Western Australian Herbarium (1998–). Florabase profile 50113 (Accessed 13 Oct 2021).
subsp. spicatus,,
Diplolaena eneabbensis,NC,Diplolaena eneabbensis Paul G.Wilson; R. Davis 10069 PERTH 05921597
Diplolaena ferruginea,NC,Diplolaena ferruginea Paul G.Wilson; G.J. Keighery 2557 PERTH 00916846
Geleznowia verrucosa,NC,D’Agui (2017)
Philotheca spicata,L,Philotheca spicata (A.Rich.) Paul G.Wilson; R.L. Barrett & K.L. Wilson RLB5314 PERTH 08727708
Santalum acuminatum,WR,"Tennakoon, Pate & Arthur (1997)"
Dodonaea divaricata,NC,West (1980)
Dodonaea ericoides,NC,West (1980)
Dodonaea pinifolia,NC,West (1980)
Levenhookia octomaculata,NC,Levenhookia octomaculata F.L.Erickson & J.H.Willis; J.A. Wege 2074 PERTH 08543712
Levenhookia pusilla,NC,Levenhookia pusilla R.Br.; J.A. Wege & C. Wilkins JAW2072 PERTH 08544042
Levenhookia stipitata,NC,Levenhookia stipitata (Benth.) Benth.; J.A. Wege 2075 PERTH 08544069
Stylidium adpressum,S,Stylidium adpressum Benth.; G. Byrne 4207 PERTH 08455007
Stylidium bicolor,HR,"Stylidium bicolor Lindl.; J. Drummond s.n, K000355198"
Stylidium burbidgeanum,S,"Stylidium burbidgeanum Lowrie & Kenneally; J.A. Wege, J.A. & W.S. Armbruster JAW1695 PERTH 08360561 "
Stylidium calcaratum,NC,Stylidium calcaratum R.Br.; R.L. Barrett & M.D. Barrett RLB5889 PERTH 09300392
Stylidium crossocephalum,S,Field collection LM021020/13; Stylidium crossocephalum F.Muell.; J. Drummond MEL2156185
Stylidium cygnorum,S,Stylidium cygnorum W.Fitzg.; W.V. Fitzgerald E00279232
Stylidium dichotomum,S,Stylidium dichotomum DC.; J.E. Wajon 3834 PERTH 09279296
Stylidium diuroides subsp. paucifoliatum,HR,Stylidium diuroides subsp. paucifoliatum Lowrie & Carlquist; A. Crawford 1422 PERTH 07823622; J. Drummond K000060598
Stylidium flagellum,S,"Stylidium flagellum Lowrie, A.H.Burb. & Kenneally; G.J & B.J. Keighery 1696 PERTH 08655936"
Stylidium maitlandianum,HR,Field collection LM180919/53
Stylidium miniatum,HR,Stylidium miniatum Mildbr.; J. Drummond 277 G00358809
Stylidium ponticulus,HR,Stylidium ponticulus Lowrie & Kenneally; J.A. Wege & C. Wilkins JAW612 PERTH 07812833
Stylidium purpureum,HR,Stylidium purpureum Wege; J.A. Wege 1868 PERTH 08542422
Stylidium repens,S,Field collection LM180919/59
Stylidium rigidulum,S,Stylidium rigidulum Sond.; A.F Oldfield K000060853
Stylidium scariosum,HR,Stylidium scariosum DC.; J. Drummond s.n. K000060223
Pimelea angustifolia,NC,Pimelea angustifolia R.Br.; W. Bayly AEB 7 PERTH 08498555
Pimelea floribunda,NC,D’Agui (2017)
Pimelea leucantha,NC,D’Agui (2017)
Pimelea suaveolens,NC,Pimelea suaveolens Meisn. subsp. suaveolens; D. Rooks DJR9 PERTH 07467524
Pimelea sulphurea,L,Herath (2008)
Hybanthus floribundus,NC,Western Australian Herbarium (1998–). Florabase profile 5221 (Accessed 13 Oct 2021).
Xanthorrhoea sp. Lesueur (G.J. Keighery 16404),NC,Western Australian Herbarium (1998–). Florabase profile 20658 (Accessed 13 Oct 2021).
Macrozamia sp. Eneabba (D.L. Jones 12402),NC,Western Australian Herbarium (1998–). Florabase profile 18119 (Accessed 13 Oct 2021).
