location_id,location_name,records,latitude (deg),longitude (deg),description
264,"Spotted Gum road, just north-west of intersection with Mount Agony road, Murramarang National Park.",8,-35.61608,150.2854,Open eucalypt forest
265,"Spotted Gum road, north-west of intersection with Mount Agony road, Murramarang National Park.",10,-35.61195,150.2825,Open eucalypt forest
266,"Spring Road, Alberton Forest.",22,-38.60535,146.5118,Open eucalypt forest
267,"Stanton Rock road, just west of Burragate road, Burragte.",44,-36.9687,149.6546,Open eucalypt forest
268,"Swanpool-Lima road, 575 m west of Midland Highway intersection.",11,-36.74931,145.9954,Eucalypt woodland
269,"Swanpool-Lima road, 865 m west of Midland Highway intersection.",29,-36.74897,145.9922,Eucalypt woodland
270,"Tawonga Gap road, 1 km west of Sullivan’s Lookout.",11,-36.71229,147.12,Open eucalypt forest
271,"Tawonga Gap road, 1.5 km west of Sullivan’s Lookout.",20,-36.71496,147.1176,Open eucalypt forest
272,"Tawonga Gap road, 850 m along road eastwards of German Creek Track turnoff.",8,-36.7139,147.1005,Open eucalypt forest
273,"TeachersTrack, Combienbar, E Gippsland",11,-37.41093,148.9385,Tall open eucalypt forest
274,"Telegraph Saddle Car Park, Wilson’s Promontory.",29,-39.03242,146.3558,Low open eucalypt forest
275,"Thomson Valley road, near Stronach’s camping area, north end of Baw Baw Naitonal Park.",11,-37.74789,146.2188,Open eucalypt forest
276,"Tidbinbilla Nature Reserve, along Bushland Meander walk from Black Flats car park.",33,-35.46203,148.9143,Open eucalypt forest
277,"Tidbinbilla Nature Reserve, along ring road, just east of Flints car park.",11,-35.4575,148.9222,Open eucalypt forest
278,"Tidbinbilla Nature Reserve, along ring road, just passed Eucalypt Forest car park.",22,-35.46154,148.9057,Open eucalypt forest
279,"Tidbinbilla Nature Reserve, along southernmost part of ring road, just passed Tinbidbilla River.",11,-35.47989,148.903,Open eucalypt forest
280,"Tidbinbilla Nature Reserve, along Xanthorrhoea loop walk from Dalsetta car park.",21,-35.44984,148.9312,Open eucalypt forest
281,"Tidbinbilla Nature Reserve, just north of Xanthorrhoea loop walk from Dalsetta car park.",31,-35.4496,148.9332,Open eucalypt forest
282,"Tindall’s Lane, Berry.",31,-34.76241,150.7258,Open eucalypt forest
283,"Tomboye road, between Princes Highway and Shortcut road. Just outside Murramarand National Park.",11,-35.59634,150.2541,Open eucalypt forest
284,"Tonimbuk road, just south of Bridal road, Tonimbuk.",11,-38.02115,145.7226,Open eucalypt forest
285,"Toolbrunup carpark, Stirling Range National Park.",22,-34.39187,118.0629,Jarrah eucalypt woodland
286,"Toolijooa Rd, Berry.",11,-34.77739,150.7433,Open eucalypt forest
287,"Track just north of Yalwal road, Bamarang Nature Reserve.",11,-34.89404,150.5325,Low eucalypt woodland
288,"Trafalgar Road, Tuross Head.",8,-36.06111,150.1274,Open eucalypt forest
289,"Trig Point, Salt lake Walking Track and Trig Point Track, Little Desert National Park",20,-36.48587,141.7848,Mallee heath
290,"Tynong North Road, just north of Princes Highway.",11,-38.06729,145.6201,Open eucalypt forest
291,"Unnamed road near Blores Hill, Glenmaggie area.",20,-37.92538,146.8211,Open eucalypt forest
292,"Unnamed track north of Seninis track and Moe-Walhalla road intersection, Moondarra.",51,-38.01388,146.3536,Open eucalypt forest
293,"W3 road, off Tyers-Walhalla Road, Tyers Park.",30,-38.11314,146.435,Open eucalypt forest
294,"Walhalla road, 6km north of Aberfeldy clearing.",11,-37.65665,146.3733,Open eucalypt forest
295,"Walhalla road, just south of Donnelly’s Creek road.",10,-37.7197,146.3706,Open eucalypt forest
296,"Wamban Road, just east of Wamban Creek where it splits off Moruya River.",11,-35.9329,150.0434,Open eucalypt forest
297,"Wamban Road, just west of Wamban Creek in riverside vegetation, just outside Deua National Park.",11,-35.95346,150.0238,Open eucalypt forest
298,"Warburton, Dammans Rd & Yarra River, 140m E of Mayers Bridge",5,-37.75439,145.6805,Tall open eucalypt forest
299,"Warburton, Mount Bridie Rd",10,-37.76885,145.6784,Tall open eucalypt forest
300,"Warburton, track to Mt Donna Buang",23,-37.75039,145.6873,Tall open eucalypt forest
301,"Warburton, Wellington Rd & Waterloo Ave",10,-37.74997,145.6864,Tall open eucalypt forest
302,"Wattamolla Rd, Woodhill",18,-34.72799,150.673,Open eucalypt forest
303,"West Cann Rd, Cann River Gippsland",19,-37.50317,149.1766,Eucalypt woodland
304,"Western Boundary road, Moruya State Forest.",36,-36.03508,150.0485,Open eucalypt forest
305,"Wogamia Nature Reserve, Shoalhaven River, West of Nowra.",117,-34.87676,150.522,Low eucalypt woodland
306,"Wondoomarook I60 Bushland Reserve, Strathbogie.",63,-36.85719,145.715,Open eucalypt forest
307,"Woodhill Mountain Rd, Berry",40,-34.73512,150.6916,Open eucalypt forest
308,"Woolshed Falls, Woolshed Falls Road, Beechworth.",11,-36.31863,146.6706,Open eucalypt forest
309,"Wright Forest Bushland Reserve, Tetratheka track.",20,-37.92955,145.4838,Open eucalypt forest
310,"Yalwal Road, Colymea State Conservation Area.",11,-34.90952,150.48,Low eucalypt woodland
311,"Yalwal Road, just west of Old Burrier Firetrail, Colymea State Conservation Area.",33,-34.91688,150.4111,Low eucalypt woodland
312,"Yankee Jims Ck, Wesburn,Upper Yarra Valleey.",11,-37.77019,145.6559,Tall open eucalypt forest
313,"Yarra state Forest, Brahams Rd",33,-37.72591,145.7777,Tall open eucalypt forest
314,"Yarra state Forest, Easment 130 m south of Brahams Rd, 450m S from C511.",22,-37.72591,145.7777,Tall open eucalypt forest
315,"Yarra state Forest, junction of Brahams Rd and Mississippi Rd",21,-37.76749,145.8129,Tall open eucalypt forest
316,"Yarra state Forest, Mississippi Rd",39,-37.77049,145.7899,Tall open eucalypt forest
317,"Yarrangobilly, Snowy Mountains Highway 150 m south of Goodmans Gully, track to west.",28,-35.67747,148.4861,Open eucalypt forest
318,"Yuonga Rd, Warburton.",2,-37.74311,145.7056,Tall open eucalypt forest
