species,resprouter,photosynthetic.pathway,life.history,bud.position,dim.1,dim.2
Lagurus ovatus,No,C3,Annual,NA,NA,NA
Parapholis incurva,No,C3,Annual,C,NA,NA
Poa annua,No,C3,Annual,C,NA,NA
Rostraria cristata,No,NA,Annual,NA,NA,NA
Vulpia ciliata,No,C3,Annual,C,NA,NA
Cynodon dactylon,Yes,NA,Perennial,R+S,1.954570327,-0.484119554
Arthraxon hispidus,No,C4,Annual,NA,NA,NA
Aristida ternipes,Yes,C4,Perennial,C,NA,NA
Echinopogon caespitosus,Yes,C3,Perennial,C,NA,NA
Ehrharta erecta,Yes,C3,Perennial,C,NA,NA
Eragrostis leptostachya,Yes,NA,Perennial,C,NA,NA
Pennisetum clandestinum,Yes,NA,Perennial,R+S,NA,NA
Setaria sphacelata,Yes,C4,Perennial,R,1.196788856,-0.511725454
Rytidosperma caespitosum,Yes,NA,Perennial,C,NA,NA
Rytidosperma setaceum,Yes,C3,Perennial,C,NA,NA
Stipa bigeniculata,Yes,C3,Perennial,C,NA,NA
Aira cupaniana,No,C3,Annual,NA,NA,NA
Vulpia bromoides,No,C3,Annual,NA,NA,NA
Ehrharta juncea,Yes,NA,Perennial,S,NA,NA
Nassella trichotoma,Yes,NA,Perennial,C,NA,NA
Nassella tenuissima,Yes,NA,Perennial,C,NA,NA
Cymbopogon marginatus,Yes,NA,Perennial,C,NA,NA
Geochloa lupulina,Yes,NA,Perennial,C,NA,NA
Ehrharta capensis,Yes,C3,Perennial,R,NA,NA
Ehrharta ottonis,Yes,NA,Perennial,R,NA,NA
Paspalum dilatatum,Yes,C4,Perennial,C,0.660813571,0.205746528
Sporobolus africanus,Yes,C4,Perennial,C,NA,NA
Tribolium hispidum,Yes,NA,Perennial,C,NA,NA
Tribolium uniolae,Yes,C3,Perennial,C,NA,NA
Ehrharta longiflora,No,C3,Annual,NA,NA,NA
Pentameris airoides,No,NA,Both,C,NA,NA
Agrostis canina,Yes,C3,Perennial,S,NA,NA
Aristida diffusa,Yes,C4,Perennial,C,-2.351057113,-1.166993288
Aristida junciformis,Yes,C4,Perennial,C,-1.283587465,-0.575844171
Tribolium curvum,Yes,NA,Perennial,S,NA,NA
Tenaxia disticha,Yes,NA,Perennial,C,NA,NA
Panicum aequinerve,Yes,C3,Both,NA,NA,NA
Pentameris pallida,Yes,NA,Perennial,C,NA,NA
Aristida adscensionis,No,C4,Both,NA,1.234411556,0.164533601
Bouteloua aristidoides,No,C4,Annual,C,NA,NA
Ampelodesmos mauritanicus,Yes,NA,Perennial,R,NA,NA
Stipa tenacissima,Yes,C3,Annual,C,-2.977213624,-2.439932868
Bromus rubens,No,C3,Annual,NA,NA,NA
Agrostis venusta,Yes,NA,Annual,C,NA,NA
Dichelachne crinita,Yes,C3,Perennial,C,NA,NA
Elymus scabrus,Yes,C3,Perennial,C,NA,NA
Pentapogon quadrifidus,Yes,NA,Perennial,NA,NA,NA
Themeda triandra,Yes,NA,Perennial,C,1.098513414,0.241086576
Andropogon distachyos,Yes,NA,Perennial,C,NA,NA
Bromus syriacus,Yes,C3,Perennial,C,NA,NA
Hordeum bulbosum,Yes,C3,Perennial,C,NA,NA
Hyparrhenia hirta,Yes,C4,Perennial,R,-0.675220553,-0.239950094
Phalaris aquatica,Yes,C3,Perennial,R,NA,NA
Stipa bromoides,Yes,C3,Perennial,R,NA,NA
Stipa capensis,No,C3,Annual,C,NA,NA
Anisopogon avenaceus,Yes,NA,Perennial,C,NA,NA
Poa alpina,Yes,C3,Perennial,C,NA,NA
Calamagrostis stricta,Yes,C3,Perennial,R,NA,NA
Eragrostis racemosa,Yes,C4,Perennial,C,NA,NA
Glyceria striata,Yes,C3,Perennial,C,NA,NA
Alopecurus pratensis,Yes,C3,Perennial,C,NA,NA
Loudetia simplex,Yes,C4,Perennial,C,-1.00017082,-0.114062739
Calamagrostis avenoides,No,C3,Perennial,C,NA,NA
Rytidosperma gracile,No,C3,Perennial,S,NA,NA
Bromus erectus,Yes,C3,Perennial,C,NA,NA
Amphipogon strictus,Yes,NA,Perennial,R,NA,NA
Avena sativa,No,NA,Annual,NA,NA,NA
Bromus sterilis,No,C3,Annual,NA,NA,NA
Gastridium phleoides,No,C3,Annual,NA,NA,NA
Brachypodium phoenicoides,Yes,C3,Perennial,NA,NA,NA
Chionochloa rigida,Yes,NA,Perennial,C,NA,NA
Nassella tenuis,Yes,NA,Perennial,C,NA,NA
Piptochaetium napostaense,Yes,C3,Perennial,C,NA,NA
Stipa ichu,Yes,C3,Perennial,C,0.049054515,-0.918190103
Holcus lanatus,Yes,C3,Perennial,C,NA,NA
Ammophila arenaria,Yes,C3,Perennial,R,NA,NA
Arrhenatherum elatius,Yes,C3,Perennial,C,NA,NA
Danthonia decumbens,Yes,C4orC3,Perennial,C,NA,NA
Briza media,No,C3,Perennial,R,NA,NA
Dasypyrum villosum,Yes,C3,Annual,C,NA,NA
Bromus laevipes,Yes,C3,Perennial,NA,NA,NA
Rytidosperma racemosum,Yes,C3,Perennial,C,NA,NA
Setaria parviflora,Yes,C4,Perennial,NA,NA,NA
Sorghum leiocladum,Yes,C4,Perennial,NA,NA,NA
Calamagrostis arundinacea,Yes,NA,Perennial,R,1.535442776,0.014499521
Stipa parviflora,Yes,C3,Perennial,C,NA,NA
Calamagrostis nutkaensis,Yes,C3,Perennial,R,NA,NA
Hordeum brachyantherum,Yes,C3,Perennial,C,NA,NA
Triodia scariosa,Yes,C4,Perennial,C,NA,NA
Andropogon gayanus,Yes,C4,Perennial,C,-1.064435987,0.896405872
Chondrosum eriopodum,Yes,C4,Perennial,S,0.009349143,-0.892685803
Axonopus compressus,Yes,C4,Perennial,S,-0.849087145,0.789308175
Panicum coloratum,Yes,C3,Perennial,C,NA,NA
Urochloa mosambicensis,Yes,C4,Perennial,S,1.951735012,-0.150217995
Ehrharta calycina,Yes,C3,Perennial,NA,NA,NA
Lolium perenne,Yes,C3,Perennial,C,NA,NA
Aegilops triuncialis,No,C3,Annual,C,NA,NA
Avena barbata,No,C3,Annual,NA,NA,NA
Nassella viridula,Yes,NA,Perennial,C,-1.166532694,-0.223807826
Briza minor,No,C3,Annual,C,NA,NA
Catapodium marinum,No,C3,Annual,NA,NA,NA
Spartina anglica,Yes,C4,Perennial,R,NA,NA
Poa costiniana,Yes,C3,Perennial,C,NA,NA
Rytidosperma nudiflorum,Yes,C3,Perennial,C,NA,NA
Trisetum spicatum,Yes,C3,Perennial,R,NA,NA
Poa fawcettiae,Yes,C3,Perennial,C,NA,NA
Chloris gayana,Yes,C4,Perennial,S,NA,NA
Nassella neesiana,Yes,NA,Perennial,C,-0.52960542,-0.90177127
Koeleria pyramidata,Yes,NA,Perennial,R,NA,NA
Vulpia unilateralis,No,C3,Annual,NA,NA,NA
Festuca lemanii,Yes,C3,Perennial,C,NA,NA
Koeleria vallesiana,Yes,C3,Perennial,C,NA,NA
Festuca nevadensis,Yes,NA,Perennial,R,NA,NA
Saccharum strictum,Yes,NA,Perennial,R,NA,NA
Avena sterilis subsp. ludoviciana,No,NA,NA,NA,NA,NA
Bromus intermedius,No,C3,Annual,NA,NA,NA
Chrysopogon gryllus,No,C4,Perennial,NA,NA,NA
Phleum exaratum,No,C3,Annual,NA,NA,NA
Festuca elegans,Yes,C3,Perennial,C,NA,NA
Helictotrichon lodunense,Yes,NA,Perennial,C,NA,NA
Polypogon viridis,Yes,C3,Perennial,S,NA,NA
Festuca paniculata,Yes,C3,Perennial,C,NA,NA
Festuca rubra,Yes,NA,Perennial,NA,NA,NA
Agrostis capillaris,No,C3,Perennial,R+S,2.195204211,-0.08213647
Aira caryophyllea,No,C3,Annual,NA,NA,NA
Arabidopsis thaliana,No,NA,NA,NA,NA,NA
Micropyrum tenellum,No,C3,Annual,NA,NA,NA
Deschampsia flexuosa,Yes,C3,Perennial,C,-0.602661674,0.321055038
Poa ensiformis,Yes,C3,Perennial,R,NA,NA
Poa clivicola,Yes,C3,Perennial,C,NA,NA
Poa hiemata,Yes,C3,Perennial,C,-0.139830485,0.817749334
Poa hookeri,Yes,C3,Perennial,C,NA,NA
Poa phillipsiana,Yes,NA,Perennial,C,NA,NA
Poa saxicola,Yes,C3,Perennial,C,NA,NA
Eragrostis intermedia,Yes,C4,Perennial,C,NA,NA
Deschampsia cespitosa,Yes,C3,Perennial,C,1.794335687,2.057519741
Stipagrostis uniplumis,Yes,C4,Perennial,NA,0.95242112,-0.969223194
Aristida schiedeana,Yes,C4,Perennial,C,NA,NA
Pennisetum alopecuroides,Yes,NA,Perennial,C,NA,NA
Agrostis clavata,No,C3,Annual,C,NA,NA
Apera interrupta,No,C3,Annual,NA,NA,NA
Apera spica-venti,No,C3,Annual,NA,NA,NA
Brachiaria fasciculata,No,C4,Annual,NA,NA,NA
Bromus arenarius,No,C3,Perennial,NA,NA,NA
Bromus arvensis,No,C3,Annual,NA,NA,NA
Bromus berteroanus,No,C3,Perennial,NA,NA,NA
Bromus commutatus,No,C3,Annual,NA,NA,NA
Bromus fasciculatus,No,C3,Annual,NA,NA,NA
Bromus ramosus,No,C3,Perennial,C,NA,NA
Bromus rigidus,No,C3,Annual,NA,NA,NA
Bromus secalinus,No,C3,Annual,NA,NA,NA
Crypsis schoenoides,No,NA,Annual,NA,NA,NA
Digitaria sanguinalis,No,C4,Annual,NA,NA,NA
Digitaria ternata,No,C4,Annual,C,NA,NA
Eleusine africana,No,NA,Annual,C,NA,NA
Eleusine indica,No,NA,Annual,C,NA,NA
Eragrostis barrelieri,No,C4,Annual,C,NA,NA
Eragrostis ciliaris,No,C4,Annual,C,2.128061378,0.064878851
Eragrostis mexicana,No,C4,Annual,C,NA,NA
Eragrostis minor,No,C4,Annual,C,NA,NA
Eragrostis pectinacea,No,C4,Annual,NA,NA,NA
Eragrostis pilosa,No,C4,Annual,C,NA,NA
Eragrostis tremula,No,C4,Annual,C,NA,NA
Gaudinia fragilis,No,C3,Annual,NA,NA,NA
Hordeum marinum,No,C3,Annual,NA,NA,NA
Hordeum secalinum,No,C3,Annual,NA,NA,NA
Leptochloa panicea,No,C4,Annual,C,NA,NA
Mibora minima,No,C3,Annual,C,NA,NA
Muhlenbergia ciliata,No,C4,Annual,C,NA,NA
Muhlenbergia microsperma,No,C4,Annual,C,NA,NA
Muhlenbergia minutissima,No,NA,Annual,C,NA,NA
Panicum capillare,No,C4,Annual,C,NA,NA
Panicum dichotomiflorum,No,C3,Annual,NA,NA,NA
Panicum hirticaule,No,NA,Annual,C,NA,NA
Panicum laetum,No,C3,Annual,NA,NA,NA
Panicum laevinode,No,C4,Annual,C,NA,NA
Phalaris canariensis,No,NA,Annual,C,NA,NA
Phalaris minor,No,C3,Annual,C,NA,NA
Phalaris paradoxa,No,C3,Annual,NA,NA,NA
Polypogon maritimus,No,C3,Annual,NA,NA,NA
Rostraria pumila,No,C3,Annual,C,NA,NA
Sacciolepis indica,No,C3,Annual,NA,NA,NA
Schismus arabicus,No,C3,Annual,C,NA,NA
Schmidtia kalahariensis,No,NA,Annual,C,1.711444406,-0.347555273
Schoenefeldia gracilis,No,C4,Annual,C,NA,NA
Setaria grisebachii,No,C4,Annual,NA,NA,NA
Setaria pumila,No,C4,Annual,C,NA,NA
Setaria verticillata,No,C4,Annual,C,NA,NA
Tragus berteronianus,No,NA,Annual,C,1.396051965,-0.009135292
Tragus racemosus,No,C4,Annual,C,1.723047708,-0.184966838
Urochloa brachyura,No,NA,Annual,C,NA,NA
Urochloa panicoides,No,NA,Annual,C,NA,NA
Vulpia fasciculata,No,C3,Annual,NA,NA,NA
Vulpia muralis,No,C3,Annual,NA,NA,NA
Panicum strigosum,Yes,C3,Perennial,NA,NA,NA
Distichlis distichophylla,Yes,C4,Perennial,R,NA,NA
Rytidosperma bipartitum,Yes,NA,Perennial,C,NA,NA
Rytidosperma carphoides,Yes,C3,Perennial,C,NA,NA
Rytidosperma duttonianum,Yes,NA,Perennial,C,NA,NA
Rytidosperma erianthum,Yes,C3,Perennial,C,NA,NA
Rytidosperma fulvum,Yes,NA,Perennial,C,NA,NA
Rytidosperma geniculatum,Yes,C3,Perennial,C,NA,NA
Rytidosperma indutum,Yes,C3,Perennial,C,NA,NA
Rytidosperma laeve,Yes,C3,Perennial,C,NA,NA
Rytidosperma pallidum,Yes,C3,Perennial,C,NA,NA
Rytidosperma pilosum,Yes,C3,Perennial,C,NA,NA
Rytidosperma semiannulare,Yes,C3,Perennial,C,NA,NA
Tetrarrhena juncea,No,NA,NA,NA,NA,NA
Enneapogon nigricans,Yes,NA,Perennial,NA,NA,NA
Glyceria australis,Yes,C3,Perennial,NA,NA,NA
Walwhalleya proluta,No,NA,NA,NA,NA,NA
Amphibromus nervosus,Yes,NA,NA,NA,NA,NA
Deyeuxia quadriseta,Yes,NA,NA,NA,NA,NA
Dichelachne sieberiana,No,NA,Perennial,C,NA,NA
Dryopoa dives,No,C3,Perennial,C,NA,NA
Stipa scabra,Yes,NA,Perennial,C,NA,NA
Stipa rudis,Yes,C3,Perennial,C,NA,NA
Anthosachne scabra,Yes,NA,NA,NA,NA,NA
Zoysia macrantha,Yes,NA,Perennial,R,NA,NA
Digitaria didactyla,Yes,C4,Perennial,R+S,NA,NA
Amphipogon amphipogonoides,Yes,C3,Perennial,R,NA,NA
Hemarthria altissima,No,C4,Perennial,S,NA,NA
Urochloa oligotricha,Yes,NA,Perennial,C,NA,NA
Tripsacum dactyloides,Yes,C4,Perennial,R,NA,NA
Tripsacum andersonii,Yes,C4,Perennial,R,NA,NA
Setaria incrassata,Yes,C4,Perennial,R,0.589883072,0.189502602
Paspalum atratum,Yes,NA,Perennial,R,NA,NA
Paspalum plicatulum,Yes,NA,Perennial,R,NA,NA
Paspalum notatum,Yes,C4,Perennial,R,0.658463723,-0.149825529
Paspalum guenoarum,No,C4,Perennial,NA,NA,NA
Megathyrsus maximus,Yes,NA,NA,NA,NA,NA
Ischaemum timorense,Yes,C4,Annual,NA,NA,NA
Echinochloa polystachya,Yes,C4,Perennial,NA,NA,NA
Digitaria milanjiana,Yes,C4,Perennial,R+S,0.040149473,0.325484466
Digitaria eriantha,Yes,C4,Perennial,S,0.021621651,0.138387445
Dichanthium aristatum,Yes,C4,Perennial,NA,NA,NA
Dichanthium caricosum,Yes,NA,Perennial,NA,NA,NA
Cenchrus pennisetiformis,Yes,NA,Both,NA,NA,NA
Bothriochloa pertusa,Yes,C4,Perennial,S,NA,NA
Bothriochloa insculpta,Yes,C4,Perennial,S,NA,NA
Bothriochloa ischaemum,Yes,C4,Perennial,C,0.553672813,0.033843988
Aristida spuria,Yes,C4,Perennial,C,NA,NA
Arundinella setosa,No,C4,Perennial,NA,NA,NA
Axonopus siccus,Yes,C4,Perennial,C,NA,NA
Brachiaria brizantha,Yes,C4,Perennial,C,NA,NA
Brachiaria distachya,No,C4,Annual,NA,NA,NA
Brachiaria lata,No,C4,Annual,NA,NA,NA
Bromus orcuttianus,No,C3,Perennial,C,NA,NA
Capillipedium spicigerum,Yes,C4,Perennial,C,NA,NA
Cenchrus biflorus,No,C4,Annual,C,0.291583088,-0.013004393
Cenchrus prieurii,No,C4,Annual,NA,NA,NA
Chasmopodium caudatum,No,C4,Annual,NA,NA,NA
Chloris barbata,Yes,C4,Both,C,NA,NA
Chloris lobata,No,C4,Annual,NA,NA,NA
Chloris pilosa,No,C4,Annual,NA,NA,NA
Chrysopogon aciculatus,Yes,C4,Perennial,S,0.413920253,0.923733797
Cleistochloa rigida,Yes,C3,Perennial,R,NA,NA
Ctenium aromaticum,Yes,C4,Perennial,C,NA,NA
Ctenium elegans,No,C4,Annual,C,NA,NA
Cymbopogon caesius,Yes,C4,Perennial,C,0.167155287,0.223131005
Cymbopogon citratus,Yes,C4,Perennial,R,NA,NA
Cymbopogon nardus,Yes,C4,Perennial,C,-1.556520539,0.255643789
Dactyloctenium giganteum,No,C4,Annual,C,1.603240472,0.636972364
Digitaria velutina,No,C4,Annual,NA,NA,NA
Echinolaena inflexa,Yes,C3,Perennial,R,-1.470886037,-0.263268695
Ehrharta villosa,Yes,C3,Perennial,R,NA,NA
Elionurus muticus,Yes,C4,Perennial,C,-1.52105628,-0.192937149
Eragrostis elliottii,No,C4,Perennial,C,NA,NA
Eragrostis porosa,No,C4,Annual,C,NA,NA
Euclasta condylotricha,No,C4,Annual,NA,NA,NA
Eulalia annua,No,C4,Annual,NA,NA,NA
Festuca scabra,Yes,C3,Perennial,R,NA,NA
Festuca tolucensis,Yes,C3,Perennial,C,NA,NA
Gymnopogon ambiguus,Yes,C4,Perennial,R,NA,NA
Harpochloa falx,Yes,C4,Perennial,C,NA,NA
Hygrochloa aquatica,No,C4,Annual,NA,NA,NA
Hyparrhenia filipendula,Yes,C4,Perennial,R,-0.536055509,0.447226965
Hyparrhenia involucrata,Yes,C4,Annual,NA,NA,NA
Hyparrhenia smithiana,Yes,C4,Perennial,C,-2.346129339,0.519686143
Hyparrhenia subplumosa,Yes,C4,Perennial,C,-1.234904469,0.546194368
Hyperthelia dissoluta,Yes,C4,Perennial,C,0.413583215,-0.150138739
Ichnanthus procurrens,Yes,C3,Both,NA,NA,NA
Lolium temulentum,No,C3,Annual,NA,NA,NA
Loudetia arundinacea,Yes,C4,Perennial,C,-0.310262788,2.818025252
Loudetia togoensis,No,C4,Annual,C,NA,NA
Megastachya mucronata,No,C3,Annual,C,NA,NA
Melica imperfecta,Yes,C3,Perennial,NA,NA,NA
Muhlenbergia capillaris,Yes,C4,Perennial,C,NA,NA
Muhlenbergia rigens,Yes,C4,Perennial,C,NA,NA
Oryza barthii,No,C3,Annual,C,NA,NA
Panicum verrucosum,Yes,C3,Annual,NA,NA,NA
Paspalum conjugatum,No,C4,Perennial,S,NA,NA
Paspalum multicaule,No,C4,Annual,C,NA,NA
Poa affinis,Yes,C3,Perennial,S,NA,NA
Rottboellia cochinchinensis,No,C4,Annual,NA,NA,NA
Saccharum giganteum,No,C4,Perennial,NA,NA,NA
Saccharum spontaneum,Yes,C4,Perennial,R,0.110756156,1.715130729
Schizachyrium condensatum,Yes,C4,Perennial,C,NA,NA
Schizachyrium exile,No,C4,Annual,C,NA,NA
Schizachyrium pachyarthron,No,C4,Annual,NA,NA,NA
Setaria dielsii,No,C4,Annual,S,NA,NA
Setaria vulpiseta,Yes,C4,Perennial,C,NA,NA
Sporobolus fertilis,Yes,C4,Perennial,C,NA,NA
Sporobolus natalensis,Yes,C4,Perennial,C,NA,NA
Stipa lemmonii,Yes,C3,Perennial,C,NA,NA
Thaumastochloa brassii,No,C4,Annual,NA,NA,NA
Themeda quadrivalvis,No,C4,Annual,NA,NA,NA
Triodia epactia,Yes,C4,Perennial,S,NA,NA
Uranthoecium truncatum,No,C4,Annual,C,NA,NA
