Species_reconciled with updates and additions,growth form,seed size categorical: <10mm,seed size categorical: >10mm,leaf type,leaves lobed,leaf longevity,wood density species,wood density genus,wood density family,Height (m),leaf length minimum (mm),leaf length maximum (mm),leaf width minimum (mm),leaf width maximum (mm),seed length minimum (mm),seed length maximum (mm),seed width minimum (mm),seed width maximum (mm),seed breadth (mm)
Vavaea australiana,tree,1,1,simple,no,evergreen,,,,8,60,210,30,95,8,10,8,10,3
Austromatthaea elegans,shrub,0,1,simple,no,evergreen,,,522,7,110,200,20,40,9,12,9,12,
Hedycarya angustifolia,tree,1,0,simple,no,evergreen,,,,20,50,100,15,50,1,2,1,2,
Hedycarya loxocarya,tree,1,0,simple,no,evergreen,560,560,522,25,50,190,23,70,5,7,4,5,
Wilkiea rigidifolia,tree,0,1,simple,no,evergreen,,,522,10,80,275,40,140,9,18,8,10,
Levieria acuminata,tree,1,0,simple,no,evergreen,,,522,20,50,130,17,50,5,9,4,5,
Steganthera cooperorum,tree,0,1,simple,no,evergreen,,,522,10,80,170,20,70,12,15,8,10,
Wilkiea McDowall-Range,shrub,0,1,simple,no,evergreen,,,522,2,45,85,15,40,8,10,6,7,
Steganthera australiana,tree,1,1,simple,no,evergreen,,,522,7,45,145,12,56,7,9,5,6,
Steganthera hirsuta,tree,1,1,simple,no,evergreen,,,,20,85,200,35,80,8,10,6,8,
Steganthera macooraia,tree,1,1,simple,no,evergreen,,,522,12,35,140,15,58,13,14,8,9,
Steganthera laxiflora_laxiflora,tree,1,1,simple,no,evergreen,,520,522,20,60,220,20,85,11,13,7,8,
Wilkiea longipes,tree,0,1,simple,no,evergreen,,520,522,15,80,260,40,120,13,15,9,11,
Steganthera laxiflora_lewisensis,tree,1,1,simple,no,evergreen,,520,522,10,50,155,18,45,11,12,7,8,
Wilkiea pubescens,tree,1,1,simple,no,evergreen,520,520,522,9,45,120,20,50,10,12,7,8,
Wilkiea angustifolia,tree,1,1,simple,no,evergreen,,,522,6,70,210,20,85,10,15,7,8,
Wilkiea austroqueenslandica,tree,1,1,simple,no,evergreen,571.9,,,7.8,60,200,20,70,6,8,5,6,
Wilkiea cordata,shrub,1,1,simple,no,evergreen,,,522,4,70,260,30,110,11,15,5,7,
Wilkiea huegeliana,tree,1,1,simple,no,evergreen,571.9,,,13.5,60,150,10,50,8,10,5,6,
Wilkiea macrophylla,tree,1,1,simple,no,evergreen,,,,10,80,220,30,90,8,10,5,6,
Wilkiea hylandii,shrub,0,1,simple,no,evergreen,,,522,3,70,150,30,70,12,14,8,10,
Hemmantia webbii,shrub,1,1,simple,no,evergreen,,,522,3,45,180,30,45,12,14,8,10,
Wilkiea MtLewis,tree,1,1,simple,no,evergreen,,,,15,60,110,20,50,15,16,7,8,
Wilkiea smithii,tree,1,1,simple,no,evergreen,,,522,10,60,145,22,60,10,11,7,9,
Wilkiea Palmerston,tree,1,1,simple,no,evergreen,,,522,10,70,160,28,50,10,12,6,8,
Wilkiea Russell-Gorge,tree,1,1,simple,no,evergreen,,,,6,220,380,58,115,10,12,6,8,
Endressia wardellii,tree,1,1,simple,no,evergreen,,,522,20,42,130,20,60,9,10,6,8,
Antiaris toxicaria,tree,0,1,simple,no,deciduous,,,522,35,50,190,27,100,18,30,12,15,
Artocarpus glaucus,tree,1,1,simple,no,evergreen,,,,20,100,180,50,80,5,6,5,6,
Ficus aculeata_indecora,tree,1,0,simple,no,deciduous,,394,522,15,45,160,40,90,1,1,1,1,
Ficus adenosperma,tree,1,0,simple,no,evergreen,,394,522,10,60,120,15,70,1,1,1,1,
Ficus albipila,tree,1,0,simple,no,evergreen,,394,522,45,100,190,45,110,1,1,1,1,
Ficus atricha,tree,1,0,simple,no,evergreen,,394,522,25,60,100,30,70,1,1,1,1,
Ficus benjamina,tree,1,0,simple,no,evergreen,,394,522,20,30,120,15,60,1,1,1,1,
Ficus brachypoda,tree,1,0,simple,no,evergreen,,394,522,25,45,60,20,30,1,1,1,1,
Ficus congesta,tree,1,0,simple,no,evergreen,,394,522,6,90,250,30,140,1,1,1,1,
Ficus coronata,tree,1,0,simple,no,deciduous,399.9,,,20,50,100,20,50,1,1,1,1,
Ficus crassipes,tree,1,0,simple,no,evergreen,,394,522,30,76,220,50,154,1,1,1,1,
Ficus cumingii-androbrota,tree,1,0,simple,no,evergreen,,394,522,3,60,120,35,60,1,1,1,1,
Ficus destruens,tree,1,0,simple,no,evergreen,,394,522,40,50,194,16,63,1,1,1,1,
Ficus drupacea,tree,1,0,simple,no,evergreen,,394,522,30,60,320,30,130,1,1,1,1,
Ficus fraseri,tree,1,0,simple,no,deciduous,390,394,522,35,50,140,25,65,1,1,1,1,
Ficus henneana,tree,1,0,simple,no,deciduous,,394,522,35,60,150,20,60,1,1,1,1,
Ficus hispida,tree,1,0,simple,no,evergreen,,394,522,13,90,350,40,200,1,1,1,1,
Ficus leptoclada,tree,1,0,simple,no,evergreen,,394,522,15,36,140,28,45,1,1,1,1,
Ficus macrophylla,tree,1,1,simple,no,evergreen,301,,,45,100,250,70,100,1,1,1,1,
Ficus melinocarpa-hololampra,tree,1,0,simple,no,evergreen,,394,522,35,40,200,25,90,1,1,1,1,
Ficus microcarpa,tree,1,0,simple,no,evergreen,,394,522,20,30,120,15,90,1,1,1,1,
Ficus mollior,tree,1,0,simple,no,evergreen,,394,522,15,95,180,45,90,1,1,1,1,
Ficus nodosa,tree,1,0,simple,no,deciduous,,394,522,20,120,240,95,180,1,1,1,1,
Ficus obliqua,tree,1,0,simple,no,evergreen,510,394,522,50,17,130,6,60,1,1,1,1,
Ficus opposita,tree,1,0,simple,no,evergreen,,394,522,10,45,160,40,90,1,1,1,1,
Ficus platypoda,tree,1,1,simple,no,evergreen,,,,30,80,130,40,90,1,1,1,1,
Ficus pleurocarpa,tree,1,0,simple,no,evergreen,390,394,522,30,130,280,50,110,1,1,1,1,
Ficus podocarpifolia,shrub,1,0,simple,no,evergreen,,,,3,20,100,2,16,1,1,1,1,
Ficus racemosa,tree,1,0,simple,no,deciduous,,394,522,35,50,200,30,90,1,1,1,1,
Ficus rubiginosa_rubiginosa,tree,1,0,simple,no,evergreen,,394,522,30,40,190,10,130,1,1,1,1,
Ficus rubiginosa_glabrescens,tree,1,0,simple,no,evergreen,,394,522,30,40,190,10,130,1,1,1,1,
Ficus scobina,tree,1,0,simple,no,evergreen,,,,8,40,160,20,80,1,1,1,1,
Ficus septica,tree,1,0,simple,no,evergreen,,394,522,15,80,250,40,70,1,1,1,1,
Ficus subnervosa,tree,1,0,simple,no,evergreen,,394,522,20,60,120,25,55,1,1,1,1,
Ficus subpuberula,tree,1,0,simple,no,evergreen,,,,20,60,120,30,65,1,1,1,1,
Ficus tinctoria,tree,1,0,simple,no,evergreen,,,,10,45,140,17,60,1,1,1,1,
Ficus triradiata,tree,1,0,simple,no,evergreen,,394,522,25,33,163,10,66,1,1,1,1,
Ficus variegata,tree,1,0,simple,no,evergreen,,394,522,30,110,250,75,160,1,1,1,1,
Ficus virens-sublanceolata,tree,1,0,simple,no,deciduous,340,394,522,40,40,190,25,90,1,1,1,1,
Ficus virens-virens,tree,1,0,simple,no,deciduous,340,394,522,40,40,190,25,90,1,1,1,1,
Ficus virgata,tree,1,0,simple,no,evergreen,,394,522,30,80,300,40,110,1,1,1,1,
Ficus watkinsiana,tree,1,0,simple,no,evergreen,370,394,522,40,50,250,20,100,1,1,1,1,
Maclura cochinchinensis,shrub,1,1,simple,no,evergreen,,,,15,30,80,10,30,4,5,1,2,
Streblus brunonianus,tree,1,0,simple,no,evergreen,650,650,522,30,10,140,10,55,4,4,3,4,
Streblus glaber,tree,1,0,simple,no,evergreen,,650,522,15,50,120,15,35,4,5,4,5,
Horsfieldia australiana,tree,0,1,simple,no,evergreen,,,460,30,110,280,30,60,14,22,10,12,
Myristica globosa,tree,0,1,simple,no,evergreen,,,,30,70,210,20,80,10,22,10,13,
Myristica insipida,tree,0,1,simple,no,evergreen,460,460,460,25,90,245,58,116,20,25,10,13,
Myristica lancifolia_australiana,tree,0,1,simple,no,evergreen,,,,15,60,200,20,80,15,18,8,10,
Syzygium divaricatum,tree,0,1,simple,no,evergreen,,559,653,30,60,210,20,85,30,40,30,40,
Syzygium graveolens,tree,0,1,simple,no,evergreen,,559,653,35,55,222,20,100,30,40,30,40,
Syzygium hemilamprum-hemilamprum,tree,1,1,simple,no,evergreen,,559,653,30,40,150,18,68,7,17,7,17,
Syzygium hemilamprum-orophilum,tree,1,1,simple,no,evergreen,,559,653,35,10,70,12,27,9,12,9,12,
Syzygium ingens,tree,0,1,simple,no,evergreen,464.4,,,45,60,180,20,50,20,25,10,12,
Syzygium mackinnonianum,tree,0,1,simple,no,evergreen,,559,653,30,50,95,27,50,20,30,20,30,
Syzygium resa,tree,1,1,simple,no,evergreen,,559,653,40,35,110,14,52,9,13,9,13,
Syzygium smithii,tree,1,0,simple,no,evergreen,530,559,653,20,25,167,7,70,5,12,5,12,
Syzygium claviflorum,tree,1,1,simple,no,evergreen,690,690,653,25,50,150,25,58,3,3,3,3,
Syzygium pringlei,tree,1,0,simple,no,evergreen,,690,653,10,55,110,18,38,2,9,4,7,
Allosyncarpia ternata,tree,1,0,simple,no,evergreen,,,,35,75,135,14,32,3,4,3,4,
Archirhodomyrtus beckleri,tree,1,0,simple,no,evergreen,,,653,10,30,110,10,33,0.5,1,0.5,1,
Asteromyrtus angustifolia,tree,1,0,simple,no,evergreen,,,653,10,12,65,3,7,1,2,1,1,
Asteromyrtus brassii,tree,1,0,simple,no,evergreen,,,653,25,40,100,5,15,1,2,1,1,
Austromyrtus dulcis,shrub,1,0,simple,no,evergreen,,,,1.5,10,30,3,11,3,4,3,4,
Backhousia angustifolia,tree,1,0,simple,no,evergreen,,775,653,15,15,50,3,10,2,3,2,3,
Backhousia bancroftii,tree,1,0,simple,no,evergreen,800,775,653,33,40,165,15,60,3,4,2,3,
Backhousia Belgamba,tree,1,0,simple,no,evergreen,,,,12,23,60,15,45,2,2,2,2,
Backhousia citriodora,tree,1,0,simple,no,evergreen,,,,25,35,150,10,50,2,2,1,2,
Backhousia hughesii,tree,1,0,simple,no,evergreen,,775,653,35,35,100,15,45,2,3,2,3,
Backhousia oligantha,tree,1,0,simple,no,evergreen,,,,12,10,30,6,12,1,1,1,1,
Backhousia sciadophora,tree,1,0,simple,no,evergreen,688,,,30,50,100,20,45,2,3,2,3,
Backhousia enata,tree,1,1,simple,no,evergreen,,,,12,15,38,10,20,2,3,2,3,
Baeckea gunniana,shrub,1,0,simple,no,evergreen,,,,1,2,4,1,1,0.5,1,0.5,1,
Barongia lophandra,tree,1,0,simple,no,evergreen,,,653,36,100,240,40,90,7,7,3,4,
Melaleuca recurvus,tree,1,0,simple,no,evergreen,,640,653,7,16,35,4,6,1,1,1,1,
Melaleuca salignus,tree,1,0,simple,no,evergreen,,,,15,60,90,5,14,1,2,1,2,
Melaleuca viminalis,tree,1,0,simple,no,evergreen,640,640,653,15,30,100,3,15,1,1,1,1,
Choricarpia leptopetala,tree,1,0,simple,no,evergreen,,,,20,50,130,15,55,1,1,1,1,
Choricarpia subargentea,tree,1,0,simple,no,evergreen,,,,30,50,110,20,40,1,1,1,1,
Corymbia intermedia,tree,1,0,simple,no,evergreen,770,768,653,30,80,150,15,30,6,8,1,2,
Corymbia tessellaris,tree,1,0,simple,no,evergreen,,768,653,20,65,200,7,30,1,3,1,1,
Corymbia torelliana,tree,1,0,simple,no,evergreen,720,768,653,30,80,150,14,42,2,3,1,2,
Decaspermum humile,tree,1,0,simple,no,evergreen,650,650,653,30,20,80,8,40,3,5,2,3,
Decaspermum struckoilicum,tree,1,0,simple,no,evergreen,,,,10,15,50,10,30,3,4,3,3,
Eucalyptus acmenoides,tree,1,0,simple,no,evergreen,868.6,,,45,80,120,15,25,1,1,1,1,
Eucalyptus campanulata,tree,1,0,simple,no,evergreen,825.6,,,45,90,180,10,25,1,1,1,1,
Eucalyptus crebra,tree,1,0,simple,no,evergreen,830,743,743,35,50,150,7,17,1,2,1,1,
Eucalyptus grandis,tree,1,0,simple,no,evergreen,597,743,743,70,80,170,17,40,1,2,1,2,
Eucalyptus houseana,tree,1,0,simple,no,evergreen,,,,25,80,150,15,35,1,1,1,1,
Eucalyptus macta,tree,1,0,simple,no,evergreen,,743,743,25,70,180,12,25,1,2,1,2,
Eucalyptus microcorys,tree,1,0,simple,no,evergreen,868.6,,,45,80,120,15,25,1,2,1,2,
Eucalyptus pellita,tree,1,0,simple,no,evergreen,807,743,743,30,95,160,20,40,1,2,1,2,
Eucalyptus pilularis,tree,1,0,simple,no,evergreen,799.8,,,45,90,160,15,30,1,2,1,2,
Eucalyptus tereticornis,tree,1,0,simple,no,evergreen,780,743,743,50,80,200,10,50,1,1,1,1,
Eugenia reinwardtiana,tree,1,1,simple,no,evergreen,,,653,6,17,90,6,50,7,12,5,6,
Gossia acmenoides,tree,1,0,simple,no,evergreen,,,,20,25,75,10,35,2,3,2,3,2
Gossia bamagensis,tree,1,0,simple,no,evergreen,,680,653,30,35,120,20,60,6,6,6,6,
Gossia bidwillii,tree,1,0,simple,no,evergreen,731,680,653,25,25,105,15,60,3,4,3,3,
Gossia dallachiana,tree,1,0,simple,no,evergreen,,680,653,15,80,200,40,120,3,4,2,3,
Gossia floribunda,tree,1,0,simple,no,evergreen,,680,653,15,20,75,10,40,4,5,4,5,
Gossia fragrantissima,tree,1,0,simple,no,evergreen,,,,12,15,50,8,25,2,3,2,3,
Gossia gonoclada,tree,1,0,simple,no,evergreen,,,,15,30,60,12,24,5,6,3,4,
Gossia grayii,tree,1,0,simple,no,evergreen,,680,653,18,60,150,30,80,3,4,2,3,
Gossia hillii,tree,1,0,simple,no,evergreen,,680,653,20,20,60,12,35,3,4,2,3,
Gossia inophloia,tree,1,0,simple,no,evergreen,,,,12,5,50,4,35,2,3,2,2,
Gossia lewisensis,tree,1,0,simple,no,evergreen,,680,653,30,28,70,15,30,3,4,3,4,
Gossia lucida,tree,1,0,simple,no,evergreen,,680,653,12,50,100,10,70,3,5,3,4,
Gossia macilwraithensis,tree,1,0,simple,no,evergreen,,680,653,15,20,58,12,38,,,,,
Gossia myrsinocarpa,tree,1,0,simple,no,evergreen,,680,653,15,35,80,14,36,3,5,3,4,
Gossia pubiflora,tree,1,0,simple,no,evergreen,,,,6,20,55,10,30,6,12,7,11,
Gossia punctata,tree,1,0,simple,no,evergreen,,,,12,20,55,12,35,4,5,2,3,
Gossia retusa,tree,1,0,simple,no,evergreen,,680,653,7,15,50,10,35,4,5,2,3,
Gossia sankowskiorum,tree,1,0,simple,no,evergreen,,680,653,10,14,60,8,30,3,6,3,4,
Gossia shepherdii,tree,1,0,simple,no,evergreen,,680,653,20,30,100,15,55,3,4,3,3,
Gossia Green-Bark,tree,1,0,simple,no,evergreen,,,,15,65,85,25,40,3,4,2,3,
Kunzea ericoides,tree,1,0,simple,no,evergreen,,,,10,10,15,4,6,1,1,1,1,
Lenwebbia Blackall-Range,tree,1,0,simple,no,evergreen,,,,10,35,120,15,40,2,3,1,2,
Lenwebbia lasioclada,tree,1,0,simple,no,evergreen,,680,653,10,30,120,10,45,2,3,1,2,
Lenwebbia Main-Range,tree,1,0,simple,no,evergreen,,,,5,35,120,10,45,2,3,1,2,
Leptospermum riparium,shrub,1,0,simple,no,evergreen,,,,4,10,25,2,4,1,2,1,1,
Leptospermum rupestre,shrub,1,0,simple,no,evergreen,,,,3,5,9,2,3,2,3,1,1,
Leptospermum wooroonooran,tree,1,0,simple,no,evergreen,,,653,15,12,22,2,6,2,2,1,2,
Lindsayomyrtus racemoides,tree,0,1,simple,no,evergreen,,,653,30,90,240,20,75,15,25,10,12,5
Lithomyrtus obtusa,shrub,1,0,simple,no,evergreen,,,653,2.5,15,45,3,15,4,6,2,3,
Melaleuca argentea,tree,1,0,simple,no,evergreen,,610,653,25,40,140,6,22,1,1,1,1,
Melaleuca bracteata,tree,1,0,simple,no,evergreen,,610,653,15,10,28,1.5,3,1,1,1,1,
Melaleuca cajuputi,tree,1,0,simple,no,evergreen,,,,35,25,150,7,40,1,1,1,1,
Melaleuca dealbata,tree,1,0,simple,no,evergreen,,610,653,25,42,130,10,30,1,1,1,1,
Melaleuca leucadendra,tree,1,0,simple,no,evergreen,610,610,653,40,55,230,7,37,1,1,1,1,
Melaleuca quinquenervia,tree,1,0,simple,no,evergreen,,,,35,30,100,7,26,1,1,1,1,
Melaleuca styphellioides,tree,1,0,simple,no,evergreen,,,,6,5,25,4,17,1,1,1,1,
Melaleuca viridiflora,tree,1,0,simple,no,evergreen,,610,653,20,55,220,10,60,1,1,1,1,
Neofabricia myrtifolia,tree,1,0,simple,no,evergreen,,,653,6,25,55,7,12,5,6,1,2,
Pilidiostigma glabrum,tree,0,1,simple,no,evergreen,619.2,,,12,20,100,10,35,4,5,3,4,
Pilidiostigma MtLewis,shrub,1,1,simple,no,evergreen,,,,4,50,130,22,46,8,11,4,5,
Pilidiostigma papuanum,shrub,1,1,simple,no,evergreen,,,,4,75,160,22,70,12,22,8,10,
Pilidiostigma rhytispermum,tree,1,0,simple,no,evergreen,,,,10,20,40,6,12,2,3,1,2,
Pilidiostigma tetramerum,shrub,1,1,simple,no,evergreen,,,653,4,30,70,12,25,7,10,6,7,
Rhodamnia acuminata,tree,1,0,simple,no,evergreen,,,,20,50,140,40,70,2,2,1,2,
Rhodamnia angustifolia,tree,1,0,simple,no,evergreen,,,,10,20,70,5,12,1,2,1,2,
Rhodamnia argentea,tree,1,0,simple,no,evergreen,718.1,,,40,40,130,25,60,3,4,1,3,
Rhodamnia australis,tree,1,0,simple,no,evergreen,,661,653,10,50,105,25,60,3,4,2,3,
Rhodamnia blairiana,tree,1,0,simple,no,evergreen,780,661,653,25,40,110,10,35,8,9,3,5,
Rhodamnia fordii,tree,1,0,simple,no,evergreen,,661,653,28,75,95,30,45,3,3,3,3,
Rhodamnia costata,tree,1,0,simple,no,evergreen,660,661,653,25,40,110,18,50,3,4,2,3,
Rhodamnia dumicola,tree,1,0,simple,no,evergreen,,,,12,30,60,22,45,4,5,2,3,
Rhodamnia glabrescens,tree,1,0,simple,no,evergreen,,,,5,60,105,35,55,3,4,2,3,
Rhodamnia sessiliflora,tree,1,0,simple,no,evergreen,760,661,653,10,50,200,25,55,3,3,1,2,
Rhodamnia spongiosa,tree,1,0,simple,no,evergreen,,661,653,26,40,150,20,60,4,5,2,3,
Rhodamnia hylandii,tree,1,0,simple,no,evergreen,,661,653,8,45,80,15,35,4,4,3,3,
Rhodamnia whiteana,tree,1,0,simple,no,evergreen,,,,20,50,95,15,30,3,5,2,3.5,2
Rhodomyrtus canescens,shrub,1,0,simple,no,evergreen,,710,653,4,30,120,15,35,2,2,1,1,
Rhodomyrtus effusa,shrub,1,0,simple,no,evergreen,,710,653,6,80,190,25,90,1,1,0.5,1,
Rhodomyrtus macrocarpa,tree,1,1,simple,no,evergreen,710,710,653,8,55,230,20,110,10,10,6,7,
Rhodomyrtus pervagata,tree,1,0,simple,no,evergreen,,710,653,10,50,180,20,70,2,2,1,1,
Rhodomyrtus psidioides,tree,1,1,simple,no,evergreen,778.3,,,20,60,160,25,65,2,3,1,2,
Rhodomyrtus sericea,tree,1,0,simple,no,evergreen,,710,653,15,25,130,12,37,1,2,1,1,
Rhodomyrtus trineura-capensis,tree,1,0,simple,no,evergreen,,710,653,6,50,135,15,40,2,2,1,1,
Rhodomyrtus trineura-trineura,shrub,1,0,simple,no,evergreen,,710,653,6,50,135,15,40,2,2,1,1,
Ristantia gouldii,tree,1,1,simple,no,evergreen,,650,653,30,40,100,20,55,6,8,4,5,
Ristantia pachysperma,tree,1,0,simple,no,evergreen,650,650,653,36,70,210,30,105,7,8,5,6,
Ristantia waterhousei,tree,1,0,simple,no,evergreen,,,,20,40,160,18,58,8,9,4,6,
Sphaerantia chartacea,tree,1,0,simple,no,evergreen,,,653,10,40,160,15,40,6,6,3,4,
Sphaerantia discolor,tree,1,0,simple,no,evergreen,,,653,25,80,140,30,60,5,5,3,4,
Stockwellia quadrifida,tree,0,1,simple,no,evergreen,,,653,40,50,145,20,60,8,11,4,5,
Syncarpia glomulifera,tree,1,0,simple,no,evergreen,740,740,743,25,30,110,14,45,2,2,1,1,
Syzygium alatoramulum,tree,1,0,simple,no,evergreen,,601,653,20,50,160,20,50,5,6,5,6,
Syzygium alliiligneum,tree,0,1,simple,no,evergreen,500,601,653,35,75,170,40,73,15,20,8,28,
Syzygium angophoroides,tree,1,0,simple,no,evergreen,755,601,653,30,30,140,15,50,7,9,4,5,
Syzygium anisatum,tree,1,0,simple,no,evergreen,,,,45,50,125,10,25,2,3,2,3,
Syzygium apodophyllum,tree,1,0,simple,no,evergreen,,601,653,20,30,105,10,45,8,9,5,6,
Syzygium aqueum,tree,1,1,simple,no,evergreen,,601,653,20,80,160,25,60,8,15,7,10,
Syzygium argyropedicum,tree,1,1,simple,no,evergreen,,601,653,24,40,85,15,28,12,22,15,20,
Syzygium armstrongii,tree,1,1,simple,no,evergreen,,,,20,55,145,14,39,7,9,4,6,
Syzygium australe,tree,1,1,simple,no,evergreen,590,601,653,24,30,100,10,40,7,12,4,6,
Syzygium bamagense,tree,0,1,simple,no,evergreen,,601,653,48,85,180,42,80,20,40,20,35,
Syzygium banksii,tree,1,1,simple,no,evergreen,,601,653,26,80,120,15,40,8,9,5,6,
Syzygium boonjee,tree,0,1,simple,no,evergreen,,601,653,25,50,120,17,45,20,30,20,25,
Syzygium Bora,tree,1,1,simple,no,evergreen,,,,8,95,210,22,60,8,9,6,7,
Syzygium branderhorstii,tree,0,1,simple,no,evergreen,,601,653,25,70,170,30,90,17,25,10,12,
Syzygium buettnerianum,tree,1,1,simple,no,evergreen,,601,653,25,40,140,20,65,10,15,10,12,
Syzygium bungadinnia,tree,0,1,simple,no,evergreen,,601,653,30,50,100,20,48,20,30,15,25,
Syzygium canicortex,tree,1,0,simple,no,evergreen,570,601,653,35,10,64,8,30,5,10,5,6,
Syzygium cormiflorum,tree,0,1,simple,no,evergreen,620,601,653,30,60,210,25,100,25,32,20,30,
Syzygium corynanthum,tree,1,1,simple,no,evergreen,580,601,653,30,37,130,24,56,6,8,6,8,
Syzygium crebrinerve,tree,1,0,simple,no,evergreen,632.1,,,45,50,140,15,50,5,6,5,7,
Syzygium dansiei,tree,0,1,simple,no,evergreen,,601,653,30,38,85,13,38,15,20,12,15,
Syzygium endophloium,tree,1,1,simple,no,evergreen,730,601,653,40,38,90,13,40,7,8,7,8,
Syzygium erythrocalyx,tree,0,1,simple,no,evergreen,,601,653,25,155,300,62,175,16,27,9,13,
Syzygium erythrodoxum,tree,0,1,simple,no,evergreen,,601,653,12,40,120,10,55,10,20,10,11,
Syzygium fibrosum,tree,1,1,simple,no,evergreen,,601,653,15,60,110,30,62,8,10,8,10,
Syzygium forte-forte,tree,0,1,simple,no,evergreen,560,601,653,30,60,165,35,112,10,25,10,25,
Syzygium forte-potamophilum,tree,0,1,simple,no,evergreen,560,601,653,20,77,140,25,60,10,25,10,25,
Syzygium francisii,tree,1,0,simple,no,evergreen,619.2,,,45,40,80,15,35,4,5,5,6,
Syzygium fratris,tree,1,0,simple,no,evergreen,,601,653,12,30,85,13,34,5,6,5,6,
Syzygium glenum,tree,0,1,simple,no,evergreen,,559,653,30,85,200,32,67,35,60,35,60,
Syzygium gustavioides,tree,0,1,simple,no,evergreen,571,601,653,40,50,155,20,75,50,80,40,60,
Syzygium hodgkinsoniae,tree,0,1,simple,no,evergreen,602,,,25,70,130,30,60,25,40,25,40,
Syzygium johnsonii,tree,1,0,simple,no,evergreen,650,601,653,25,35,120,15,70,10,10,5,7,
Syzygium kuranda,tree,0,1,simple,no,evergreen,656,601,653,35,63,125,24,55,20,25,15,17,
Syzygium luehmannii,tree,1,0,simple,no,evergreen,570,601,653,35,30,70,7,28,2,5,1,2,
Syzygium macilwraithianum,tree,0,1,simple,no,evergreen,,601,653,30,35,105,15,45,10,15,11,13,
Syzygium malaccense,tree,0,1,simple,yes,evergreen,,601,653,25,80,200,35,75,11,14,11,13,
Syzygium maraca,tree,0,1,simple,no,evergreen,,,,24,40,130,23,60,30,35,30,35,
Syzygium minutuliflorum,tree,1,1,simple,no,evergreen,,,,25,74,127,27,54,7,8,7,8,
Syzygium monimioides,tree,0,1,simple,no,evergreen,,601,653,30,37,106,12,45,12,16,12,17,
Syzygium monospermum,tree,0,1,simple,no,evergreen,,,,17,100,300,45,93,25,40,20,35,
Syzygium moorei,tree,0,1,simple,no,evergreen,,,,40,90,160,35,80,20,30,10,10,
Syzygium nervosum,tree,1,0,simple,no,evergreen,,,,25,80,130,32,58,6,8,6,8,
Syzygium Noah-Creek,tree,0,1,simple,no,evergreen,,,,20,55,90,25,45,23,40,20,25,
Syzygium oleosum,tree,1,0,simple,no,evergreen,790,601,653,12,30,110,10,40,5,9,6,8,
Syzygium paniculatum,tree,1,1,simple,no,evergreen,,,,15,45,100,15,30,10,15,4,5,
Syzygium papyraceum,tree,0,1,simple,no,evergreen,700,601,653,35,60,130,20,65,12,15,10,15,
Syzygium pseudofastigiatum,tree,0,1,simple,no,evergreen,,601,653,35,70,160,30,50,15,15,15,20,
Syzygium puberulum,tree,1,1,simple,no,evergreen,,601,653,12,135,260,40,70,20,20,22,25,
Syzygium rubrimolle,tree,0,1,simple,no,evergreen,,,,10,55,100,12,22,18,32,15,18,
Syzygium sayeri,tree,1,1,simple,no,evergreen,660,601,653,35,73,162,25,85,12,20,10,14,
Syzygium sharoniae,tree,0,1,simple,no,evergreen,,601,653,18,75,190,28,70,15,30,20,25,
Syzygium suborbiculare,tree,0,1,simple,no,evergreen,610,601,653,12,70,190,40,130,30,55,20,25,
Syzygium tierneyanum,tree,1,1,simple,no,evergreen,560,601,653,12,90,190,30,78,5,8,5,8,
Syzygium trachyphloium,tree,1,0,simple,no,evergreen,450,601,653,35,37,110,18,50,7,8,5,7,
Syzygium velarum,tree,0,1,simple,no,evergreen,,601,653,25,60,90,25,43,15,20,15,18,
Syzygium wesa,tree,1,0,simple,no,evergreen,400,601,653,35,35,100,10,50,7,7,7,10,
Syzygium wilsonii-cryptophlebium (epigaeum?),tree,1,0,simple,no,evergreen,400,601,653,30,50,170,13,50,5,7,4,7,
Syzygium wilsonii-wilsonii,shrub,1,0,simple,no,evergreen,400,601,653,6,80,190,22,54,7,8,5,7,
Syzygium xerampelinum,tree,1,1,simple,no,evergreen,,601,653,17,80,120,30,55,10,11,10,13,
Thaleropia queenslandica,tree,1,0,simple,no,evergreen,,,653,28,30,55,10,22,1,1,1,1,
Thryptomene oligandra,tree,1,0,simple,no,evergreen,,,653,8,2,7,1,3,1,1,1,1,
Tristaniopsis collina,tree,1,0,simple,no,evergreen,825.6,,,35,40,90,10,25,1,3,1,2,
Tristaniopsis exiliflora,tree,1,0,simple,no,evergreen,,,653,25,50,140,13,34,2,2,1,2,
Tristaniopsis laurina,tree,1,0,simple,no,evergreen,825.6,,,30,65,120,15,30,2,3,1,2,
Uromyrtus australis,tree,1,0,simple,no,evergreen,688,,,20,15,50,5,20,3,4,1,2,2
Uromyrtus lamingtonensis,tree,1,0,simple,no,evergreen,,,,5,15,25,3,7,3,4,1,2,2
Uromyrtus metrosideros,tree,1,0,simple,no,evergreen,,,653,13,20,70,8,23,3,3,2,2,
Uromyrtus tenella,tree,1,0,simple,no,evergreen,,,653,9,15,60,5,22,3,3,2,2,
Syzygium floribundum,tree,1,0,simple,no,evergreen,636.4,,,30,55,160,15,50,8,10,7,8,
Syzygium hedraiophyllum,tree,1,0,simple,no,evergreen,,590,653,30,75,180,20,65,4,5,4,5,
Syzygium mulgraveanum,tree,1,1,simple,no,evergreen,,590,653,25,70,130,22,60,6,8,7,8,
