Current Scientific Name,Species Code,Legal Status,Exotic,2010 Update,Notes on Name / Synonym as used in source reference,Family,Group,Life form,Fireresponse,Comments on regeneration,Resprout location,Seed storage,Seed dispersal mechanism,Seed dispersal distance,Seed weight / size,Seed viability,Dormancy,Germination cue,Fecundity,Seed predation,Post-fire recruitment,Establishment,Post-fire flowering,Flowering time,flowering_time_edited,fruiting_time_edited,Primary juvenile period,Secondary juvenile period,Seed set,Seed-bank developed,Fire tolerance,Life span,Seed-bank longevity,"""Maturity"" (from source)","""Extinction"" (from source)","""Rec. min fire interval"" (from source)","""Rec. max fire interval"" (from source)",NC,CC,SC,NT,CT,ST,NWS,CWS,SWS,NWP,SWP,NFWP,SFWP,Distribution: extra NSW,Vegetation,Rainforest,Wet Sclerophyll Forest (Shrubby),Wet Sclerophyll Forest (Grassy),Grassy Woodland,Grassland,Dry Sclerophyll Forest (Shrub/Grass),Dry Sclerophyll Forest (Shrubby),Heathland,Alpine Complex,Freshwater Wetland,Forested Wetlands,Saline Wetland,Semi-arid Woodland,Arid & Semi-arid Shrubland,NFRR data,Additional fire response data,Other data,VA group,Sensitivity: frequent,Sensitivity: infrequent,Minimum maturity,Maximum maturity,Lifespan > than,Lifespan < than,Lifespan + seed-bank,VA Data,Establishment Data,Maturity Data,Lifespan Data,Lifespan 2 Data,Seedbank Data
Craspedia sp. aff. crocata (Bogong Swamp),11656,,*,n,,Asteraceae,D,H,R,,,transient,,,,,,,,,,,,summer,Dec-Feb,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,V,moist grassland in subalpine areas?,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,VT,3,3,,,,,,2,2,4,4,5,4
Crassocephalum crepidioides,1421,,*,,,Asteraceae,D,H,S,,,,,,,,,,,,,,,,,,<1,,,,,annual,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8BW 8BX,,138,E,5,5,,,,,,5,4,4,2,5,4
Crassula decumbens var. decumbens,7745,,,,,Crassulaceae,D,H,S,,,,,,,,,,,,,,,,,,<1,,,,,annual,,,,,,-,1,1,1,-,1,1,1,1,-,1,-,-,V T SA WA,,,,,,1,,,,,,,,,,,VIII-1?; VIII-78,1,A,5,5,,,,,,5,4,2,2,5,4
Crassula multicava,2240,,*,,,Crassulaceae,D,H,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9BB,,,E,5,5,,,,,,5,4,4,4,5,4
Crassula peduncularis,6820,,,,,Crassulaceae,D,H,S,,,,,,,,,,,,,,,,,,1,,,,,annual,,,,,,-,1,-,1,-,1,1,-,1,-,1,-,1,V T SA WA,,,,,,,,,,,1,,,,,8C,,,A,5,5,,,,,,5,4,4,2,5,4
Crassula sieberiana,2242,,,,subsp. unspecified,Crassulaceae,D,H,Sr,Seeder and resprouter in subalpine treeless plain,,persistent soil,,,,,,,,,,,,,,,2-Jan,,,,,3-Jan,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,Q V T SA WA NT,OF,,,,,,1,,,,,,,1,,8C 8M 8MO 8P,VIII-38d; II-60; VIII-83,1; 9; 54; P,A,5,5,,,,,,5,4,1,1,1,4
Cratystylis conocephala,1422,E1,,,,Asteraceae,D,S,S,,,,,,,,,,,,,,,Sep-Dec,Sep-Dec,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,1,SA WA NT,Mallee,,,,,,,,,,,,,,1,8CE,,,C,1,4,,,,,,2,4,4,4,5,4
Crepidomanes venosum,12520,,,,,Hymenophyllaceae,F,F,S,Post-fire abundance decrease (M),,transient?,wind,,,,,,,,,,,,,,,,,,,indefinite,,,,,,1,1,1,1,1,1,-,-,-,-,-,-,-,Q V T,RF,1,,,,,,,,,,,,,,8BM 8CT 8M,,1; M,C,1,4,,,I,,100,2,4,4,2,1,2
Crepis capillaris,1423,,*,n,,Asteraceae,D,H,S/R,,,transient,,,,,,,,,,,,summer,Dec-Feb,,,1,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,T,"Weed of roadsides and disturbed areas, from Elands to Guthega area",-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,E,5,5,1,,,,,5,5,4,4,5,4
Crocosmia X crocosmiiflora,10271,,*,n,,Iridaceae,M,H,R,,stolon,,garden refuse,,capsule 7-10mm long (127),0%,,,,,fruiting 10 months post-fire,,,Jan-Mar,Jan-Mar,,,<1,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,LHI V T SA WA,Exotic W,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,U,4,4,2,,,,,1,4,4,4,5,4
Crotalaria cunninghamii,6901,E1,,,,Fabaceae: Faboideae,D,S,R,,,a-persistent soil,,,c. 4mm seed,,hard seed coat,heat,,,,,,irreguarly,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,1,-,Q NT SA WA,Mulga,,,,,,,,,,,,,,1,9PL,,56; 93b,VSI,2,1,,,,,,1,2,4,4,5,4
Crotalaria montana var. angustifolia,12020,,,,Crotalaria linifolia,Fabaceae: Faboideae,D,H,S,,,persistent soil,,,c. 2mm seed,,hard seed coat,heat,,,,,,summer-winter,Dec-Aug,,,,,,,annual,,,,,,1,-,-,1,-,-,1,-,-,-,-,-,-,Q NT,SF,,,,,,1,,,,,,,,,2SA 8HO,,56; 93b,A,5,5,,,,,,5,4,4,2,5,4
Croton verreauxii,2706,,,,,Euphorbiaceae,D,S,S,,,,explosive capsule / a-ant,,,,,,,,,,,Apr-Sep,Apr-Sep,,,,,,,>30,,,,,,1,1,1,1,-,-,-,-,-,-,-,-,-,Q NT V,RF F moist,1,,1,,,,,,,,,,,,8BB,,1; 68,C,1,4,,,30,,>30,2,4,4,2,3,2
Crowea exalata subsp. magnifolia,12205,P,,n,,Rutaceae,D,S,S,,,soil,,,,,,,,,,,,,,,,,,,,,,,,,,-,1,1,1,1,-,1,-,-,-,-,-,-,Q,,,,,,,1,1,1,,,,,,,,II-134,,G,1,4,,,,,,1,4,4,4,5,4
Crowea saligna,5775,P,,c,,Rutaceae,D,S,S,,,persistent soil,a-ant / explosive capsule,,,,,,,,Frequent seedlings 5 months post intense fire,,,"spring, Dec-Oct",all year,,,,,,,absent or rare in 10 yo heath,,,,,,-,1,-,-,-,-,-,-,-,-,-,-,-,-,SF,,,,,,,1,,,,,,,,2K,,46; 55; 68; 126,G,1,4,,,,10,20,1,4,4,3,3,2
Cryptandra amara,5554,,,,var. unspecified,Rhamnaceae,D,S,S/R,,basal,persistent soil,a-ant,,,,hard seed coat,a-heat,,,<1 seedling per adult,,,,,,2-Jan,,,,,20?,,,,,,1,1,1,1,1,1,1,1,1,1,1,-,-,Q V T SA,W H,,,,,,,1,1,,,,,1,,2S 8I,IXb-4; V-58; IX-100,9; 58; 68; 95c; 100,SI,2,1,1,2,20,,>50,3,2,1,3,3,2
Cryptandra amara var. amara,8611,,,,,Rhamnaceae,D,S,R,,basal,,a-ant,,0.6mg seed,,hard seed coat,a-heat,,,,,,Aug,Aug,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,-,-,Q V T SA,W H,,,,,,,1,1,,,,,1,,,V-1a,1; 68; 55,VI,2,1,,,,,,1,2,4,4,5,4
Cryptandra amara var. floribunda,8246,,,n,,Rhamnaceae,D,S,S,,,soil,,,,,,,,,,,,Jul-Sep,Jul-Sep,,3,,,,,,,,,,,-,1,-,1,1,1,1,1,-,1,1,-,-,Q V,,,,,,,,,1,,,,,,,,II,,SI,2,1,3,,,,,1,2,4,4,5,4
Cryptandra amara var. longiflora,8784,,,,,Rhamnaceae,D,S,R,,basal buds,,a-ant,,,,hard seed coat,a-heat,,,,,,Aug-Sep,Aug-Sep,,,,,,,,,,,,,1,1,-,1,1,1,1,1,1,-,1,-,-,Q V T,,,,,,,,,,,,,,,,9CN,IX-100; V-134,68,VI,2,1,,,,,,1,2,4,4,5,4
Cryptandra ericoides,5556,,,,,Rhamnaceae,D,S,S,,,persistent soil,ant,,0.4mg seed,,hard seed coat,a-heat,,,,I,,Feb-May,Feb-May,,3,,,,,"25-60 (1), common and flowering at 22 yo site (105)",,,,,,-,1,1,-,1,-,-,-,-,-,-,-,-,-,H,,,,,,,,1,,,,,,,2S 2K 8KE,II-2; II-4; VIII-70; VIII-R41,1; 9; 55; 105,SI,2,1,3,,25,60,90,1,1,1,2,1,2
Cryptandra lanosiflora,5557,,,,,Rhamnaceae,D,S,S,,,,a-ant,,,,hard seed coat,a-heat,,,,,,spring-summer,Sep-Feb,,,,,,,,,,,,,1,-,-,1,-,-,1,-,-,-,-,-,-,Q,H OF,,,,,,,1,1,,,,,,,,VIII-69; VIII-74; II-100,68; 69,SI,2,1,,,,,,2,2,4,4,5,4
Cryptocarya foetida,3477,V,,,,Lauraceae,D,T,R,Resprouts after mild fire (89),,transient,bird,,drupe c.10mm diam,seed viable for 2-3 wk,,,,,,,,"Dec-Feb, fruit ripe Feb",Dec-Feb,Feb,>10,,,,,,2-3 wk,,,,,1,-,-,-,-,-,-,-,-,-,-,-,-,Q,RF (Lit),1,,,,,,,,,,,,,,,IXc-89,56; 89,VD,4,4,,12,,,,1,4,2,4,5,1
Cryptocarya foveolata,3478,,,n,,Lauraceae,D,sT,R,,basal buds,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-,-,1,-,-,-,-,-,-,-,-,-,Q,warm and cool temperate RF,1,1,1,,,,,,,,,,,,,V-134,,V,4,4,,,,,,2,4,4,4,5,4
Cryptocarya glaucescens,3479,,,c,,Lauraceae,D,T,R,,basal,,vertebrate?,,,,,,,,,,,fruit ripe Mar-Jun,,Mar-Jun,,,,,,long,,,,,,1,1,1,1,1,-,-,-,-,-,-,-,-,Q,RF,1,,,,,,,,,,,,,,5BD,V-134,1,VD,4,4,,,L,,60,2,4,4,2,4,2
Cryptocarya meissneriana,8756,,,n,Cryptocarya meisneriana,Lauraceae,D,sT,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,1,-,-,-,-,-,-,-,-,-,Q,,1,1,,,,,,,,,,,,,,V-134,,V,4,4,,,,,,2,4,4,4,5,4
Cryptocarya microneura,3483,,,,,Lauraceae,D,sT,S,,,,vertebrate,,,,,,,,,,,fruit ripe Dec-Jul,,Dec-Jul,,,,,,long,,,,,,1,1,1,-,-,-,-,-,-,-,-,-,-,Q,RF (WT dry),1,,,,,,,,,,,,,,8BD,VIII-39?,1,D,4,4,,,L,,60,1,4,4,2,4,2
Cryptocarya rigida,3485,,,n,,Lauraceae,D,sT,R,,basal buds,,,,,,,,,,,,,,,,,6,,,,,,,,,,1,1,-,-,-,-,-,-,-,-,-,-,-,Q,Sub-tropical and warm temperate RF,1,1,1,,,,,,,,,,,,,V-134,,V,4,4,6,,,,,2,4,4,4,5,4
Cryptostylis erecta,4414,P,,,,Orchidaceae,M,H,R,,rhizome,,,,,,,,,,,,,Sep-Apr,Sep-Apr,,,,,,,,,,,,,1,1,1,-,1,-,-,-,-,-,-,-,-,V,DSF H,,,,,,,1,1,,,,,,,9CE,IV-105,,V,4,4,,,,,,1,4,4,4,5,4
Cryptostylis hunteriana,4415,V,,,,Orchidaceae,M,H,R,,rhizome,,,,,,,,,,yes,T (R35) / I (R41),,Sep-Apr,Sep-Apr,,,short,,,,,,,,,,1,1,1,1,-,-,-,-,-,-,-,-,-,V,S Swamp TF DSF H,,,1,,,,1,1,,1,1,,,,9CE,IX-R35; IV-R36; IX-R41,R35; R41,UT,3,3,2,,,,,1,3,2,4,5,4
Cryptostylis leptochila,4416,P,,,,Orchidaceae,M,H,R,,a-rhizome,,,,,,,,,,,,,Nov-Mar,Nov-Mar,,,,,,,,,,,,,-,1,1,1,1,1,-,-,-,-,-,-,-,Q V T,DSF,,,,,,,1,,,,,,,,9M,,,V,4,4,,,,,,1,4,4,4,5,4
Cryptostylis subulata,4417,P,,,,Orchidaceae,M,H,R,,rhizome,transient,,,,,,,,,,,,Oct-Mar,Oct-Mar,,,2,,,,indefinite,,,,,,1,1,1,1,1,1,-,-,-,-,-,-,-,Q V T SA,Swamp-Heath DSF W,,,,,,,1,,,1,1,,,,4K 9KE,IXd-2; IXd-4; IX-39; IXd-59; 130,9,VC,4,4,,,I,,100,1,4,4,2,1,2
Cucurbita maxima,2255,,*,,,Cucurbitaceae,D,H,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8BB,,,E,5,5,,,,,,5,4,4,4,5,4
Cullen cinereum,10668,,,,Psoralea cinerea,Fabaceae: Faboideae,D,H,S,,,a-persistent soil,,,,,hard seed coat,a-heat,,,,,,spring-autumn,Sep-May,,,,,,,annual,,,,,,-,-,-,-,-,-,-,1,-,1,1,1,1,SA WA,Swamp,,,,,,,,,,1,,,,,8CN,,,A,5,5,,,,,,5,4,4,2,5,4
Cullen microcephalum,10671,,,,Psoralea adscendens,Fabaceae: Faboideae,D,H or S,S,,,persistent soil,,,,,hard seed coat,a-heat,,,,I,,summer,Dec-Feb,,,,,,,,,,,,,-,-,1,-,-,1,-,-,-,-,-,-,-,V T,W,,,,1,,,1,,,,,,,,,II-R35,R35,SI,2,1,,,,,,1,1,4,4,5,4
Cullen parvum,9987,E1,,,,Fabaceae: Faboideae,D,S,R,,,a-persistent soil,,,,,hard seed coat,a-heat,,,,,,mostly summer; maybe related to rainfall,Dec-Feb,,,,,,,,,,,,,-,-,-,-,-,-,-,-,1,-,-,-,-,V SA,,,,,,,,,,,,,,,,9CE,IX-72,72,VSI,2,1,,,,,,1,2,4,4,5,4
Cullen patens,10673,,,c,Psoralea patens,Fabaceae: Faboideae,D,H,S,,,a-persistent soil,,,,,hard seed coat,a-heat,,,,,,winter-spring,Jun-Nov,,1,,,,,,,,,,,-,-,-,-,-,-,1,1,1,1,-,1,1,Q V SA WA NT,,,,,,,,,,,,,,,1,8CE,,139,SI,2,1,,,,,,2,2,4,4,5,4
Cullen tenax,10674,,,,Psoralea tenax,Fabaceae: Faboideae,D,H,S,,,persistent soil,,,190-198 sd/g,,hard seed coat,a-heat,,,,T,,most of year,all year,,,,,,,,,,,,,1,-,-,1,1,1,1,1,-,1,1,-,-,Q,F,,,,,1,,1,,,,,,1,,8CE,VIII-54; II-R40,93b; R40,ST,3,3,,,,,,1,1,4,4,5,4
Cupaniopsis anacardioides,5884,,,,,Sapindaceae,D,T,Rs,,,persistent soil,vertebrate,,,very good,hard seed coat,none,,,,seedlings shade tolerant,,,,,5,,,,,>30,long,,,,,1,1,-,-,-,-,-,-,-,-,-,-,-,Q,RF (Lit) S,1,,,,,,,1,,,,,,,9BO,IX-39; II-96,"93a,b; 96",VDT,3,3,5,,30,,60,3,1,1,2,3,2
Cupaniopsis newmanii,7384,,,,,Sapindaceae,D,S,R,,root suckers,transient?,,,,short?,none,,,,,,,"Aug-Oct, fruit Oct-Nov",Aug-Oct,Oct-Nov,,,,,,,short term viabilty?,,,,,1,-,-,-,-,-,-,-,-,-,-,-,-,Q,RF RF-margins,1,1,,,,,,,,,,,,,,IV-89,89,VC,4,4,,,,,,2,4,4,4,5,1
Cuscuta australis,2286,,,,,Convolvulaceae,D,P,S,,,persistent soil,,,,,hard seed coat,a-heat,,,,,,summer,Dec-Feb,,<1,,,,,annual,,,,,,1,1,-,-,-,-,1,-,-,-,-,-,-,Q V,"Swamp, parasitic on forbs",,,,,,,,,,1,,,,,8BB?,VIII-39; II-46,1,A,5,5,,,,,,5,4,2,2,5,4
Cuscuta campestris,2287,,*,,,Convolvulaceae,D,S,S,,,,,,,,,,,,,,,,,,,,,,,annual,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8BB,,,E,5,5,,,,,,5,4,4,2,5,4
Cuscuta victoriana,10187,,,,,Convolvulaceae,D,P,S,,,a-persistent soil,,,,,hard seed coat,a-heat,,,,,,autumn,Mar-May,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,1,-,1,-,Q V NT SA,parasitic on forbs,,,,,1,,,,,,,,,1,8CE,,,SI,2,1,,,,,,2,2,4,4,5,4
Cyanicula caerulea,11228,P,,,,Orchidaceae,M,H,R,Post-fire abundance decrease (P),basal,,,,,,,,,,no,,,Jun-Sep,Jun-Sep,,,1,,,,,,,,,,1,1,1,1,1,-,1,1,1,1,-,-,-,V WA,OW S,,,,,,,1,1,,,,,1,,11P 5PU,,P,UR,2,3,1,,,,,1,2,4,4,5,4
Cyathea australis,8074,P,,,,Cyatheaceae,F,TF,R,,rhizome or apical,,wind,,,spores retain viability for 10-15 years,probably no dormancy mechanism,,,,common,,,,,,,1,,,,300-400,,,,,,1,1,1,1,1,1,1,1,-,-,-,-,-,Q V T,RF WSF OF,1,1,1,,,,,,,,,,,,7BM 5CT 4WA 8M,IX-15; IX-39,1; 15; 48; M,U,4,4,1,,300,400,400,1,4,1,1,1,2
Cyathea cunninghamii,8077,P,,,,Cyatheaceae,F,TF,S,,,transient; requires reinvasion from unburnt sites,,,,,,,,,,R,,,,,c. 80,,,,,,,,,,,1,-,-,-,-,-,-,-,-,-,-,-,-,Q V T,RF (cool),1,,,,,,,,,,,,,,8CE,III-R38,R38; R40,CR,1,3,80,,,,,2,1,2,4,5,4
Cyathea leichhardtiana,8079,P,,,,Cyatheaceae,F,TF,Sr,,,transient,wind,wide,,,,,,,,"T (R35) / R (R38, R41)",,,,,,short,,,,,,,,,,1,1,1,1,1,-,-,-,-,-,-,-,-,Q V,RF (warm and cool) RF,1,1,,,,,,,,,,,,,8CT,IX-R35; III-R38; III-R41,1; R35; R38,DT,3,3,,,,,,3,3,3,4,5,4
Cyathochaeta diandra,2347,,,,,Cyperaceae,M,H,R,Mortality 0-32% (57),rhizome,persistent soil,,,nut 7mm long,,,,,,moderate,I,exclusive,Oct-Dec,Oct-Dec,,,0.3,,,,indefinite,,,,,,1,1,1,-,1,-,-,-,-,-,-,-,-,Q V,"DSW, WL",,,,,,1,1,1,,,,,,,9I 5K 9BN 9KE,IX-2; IXb-7; IV-8; IX-39; IV-52; IX-57; IX-91; V-105,7; 9; 57; 105,UGI,2,1,1,,I,,110,1,1,1,2,1,2
Cyclophyllum longipetalum,11599,,,,Canthium coprosmoides,Rubiaceae,D,sT or S,R,,basal,,a-vertebrate,,10mm fleshy fruit,,,scarification,,,,T,,Jan-Feb,Jan-Feb,,,,,,,,,,,,,1,1,1,1,-,-,-,-,-,-,-,-,-,Q,RF (Lit ST WT) moist F,1,,1,,,,,,,,,,,,,V-1a; V-35b,1; 35; 93b,VDT,3,3,,,,,,2,1,4,4,5,4
Cymbidium suave,4419,P,,,,Orchidaceae,M,H,R,Juveniles die (R35),,transient,,,,,,,,,,R,,,,,,,,,,present at 22 yo site,,,,,,1,1,1,1,1,-,1,1,-,-,-,-,-,Q,WSF DSW,,1,,,,,1,,,,,,,,,IXd-R35,105; R35,WCR,2,3,,,22,,>22,1,1,4,3,3,4
Cymbonotus lawsonianus,1426,,,,,Asteraceae,D,H,S,,,,,,,,,,,,,,,all year,all year,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,-,-,Q V T SA,DSF W,,,,1,,,1,,,,,,1,,8CE,,54,C,1,4,,,,,,2,4,4,4,5,4
Cymbonotus preissianus,1427,,,,,Asteraceae,D,H,R,,,,,,,,,,Appears to set little viable seed,,,,,Aug-Mar,Aug-Mar,,,,,,,long,,,,,,-,-,-,-,1,1,-,1,1,-,1,-,-,V SA WA,SF W,,,1,,,,1,,,,,,1,,,IX-40,40; 93a,V,4,4,,,L,,60,1,4,4,2,4,2
Cymbopogon ambiguus,7675,,,,,Poaceae,M,H,R,,basal,,,,,100%,,,,,,,,summer,Dec-Feb,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,1,1,-,Q NT SA WA,,,,,,,,,1,,,,,,1,5SA,,93b,V,4,4,,,,,,1,4,4,4,5,4
Cymbopogon refractus,4841,,,,,Poaceae,M,H,R,,,persistent soil,a-adhesion,,822 sd/g,42%,,none,,,,,,spring-autumn,Sep-May,,,0.3,,,,,,,,,,1,1,1,1,1,1,1,1,-,1,-,1,-,Q V NT,,,,,1,,1,1,1,,,,,,,,IXb-49; V-105,"54; 93a,b; 105",UG,4,4,1,,,,,1,4,1,4,5,4
Cynanchum viminale subsp. australe,14560,,,,Sarcostemma australe,Asclepiadaceae,D,S,S,,,,,,,,,,,,,,,spring-summer,Sep-Feb,,,,,,,,,,,,,1,-,-,-,-,-,1,-,-,1,1,1,1,Q SA WA NT,Saltbush Mulga,,,,,,,,,,,,,,1,8PL,,,C,1,4,,,,,,2,4,4,4,5,4
Cynodon dactylon,6540,,,,,Poaceae,M,H,R,,rhizome,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,9MO,,,E,5,5,,,,,,5,4,4,4,5,4
Cynoglossum suaveolens,1749,,,,,Boraginaceae,D,H,S/R,,rhizome,,,,,,,,,,,T,,spring-summer,Sep-Feb,,,1,,,,,,<1,,,,1,1,1,1,1,1,1,1,1,1,1,-,-,Q V T SA,W,,,,1,,,1,,,,,,1,,9W 4WA,VIII-38d,38; 48; 97,CT,1,3,1,,,,,2,1,1,4,5,4
Cynosurus echinatus,4845,,*,,,Poaceae,M,S,S,,,,,,,,,,,,,T,,,,,1,,,,,annual,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,VIII-38d,38,E,5,5,,,,,,5,1,2,2,5,4
Cyperus albostriatus,2348,,*,n,,Cyperaceae,M,H,R,,rhizome,persistent,,,nut 1mm long,,,,,,,,26 weeks post-fire,Oct-Nov,Oct-Nov,,,<1,,,,indefinite,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,Q,"Exotic, ",-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,V,4,4,1,,,,,2,4,4,4,5,4
Cyperus brevifolius,2353,,*,n,,Cyperaceae,M,H,R,,rhizome,persistent,in mud on cars,,nut 1mm long,,,,,,,,,Dec-Mar,Dec-Mar,,,0.2,,,,indefinite,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,LHI Q V NT SA WA,"Exotic, lawns WL",-,-,-,-,-,-,-,-,-,-,-,-,-,-,,IV,,U,4,4,1,,,,,1,4,4,4,5,4
Cyperus bulbosus,2354,,,,,Cyperaceae,M,H,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,1,-,1,-,Q NT SA WA,,,,,,,,,,,,,,,1,9PL,,,V,4,4,,,,,,1,4,4,4,5,4
Cyperus eragrostis,2364,,*,n,,Cyperaceae,M,H,R,,rhizome,persistent,"wind, water, animal, mud on cars",,nut 1mm long,,,,,,,,,Oct-Mar,Oct-Mar,,,0.4,,,,indefinite,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,LHI Q V SA WA,"Exotic, ",-,-,-,-,-,-,-,-,-,-,-,-,-,-,,IV,,U,4,4,1,,,,,1,4,4,4,5,4
Cyperus fulvus,2372,,,,,Cyperaceae,M,H,R,,basal,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,-,1,1,-,1,1,1,-,Q V,OW OF,,,,,,1,1,,,,,,1,,5SA,,,V,4,4,,,,,,1,4,4,4,5,4
Cyperus gracilis,2374,,,,,Cyperaceae,M,H,R,,,,,,,,,heat,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,-,1,1,-,1,1,-,-,Q V,OW G,,,,,1,1,1,,,,,,1,,9CN,,54; 110,V,4,4,,,,,,1,4,4,4,5,4
Cyperus laevigatus,2379,,,,,Cyperaceae,M,H,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,-,-,-,-,-,-,1,-,1,-,Q V SA WA NT,Sedgeland,,,,,,,,,,,,1,,,9VE,,,V,4,4,,,,,,1,4,4,4,5,4
Cyperus polystachyos,8483,,,,,Cyperaceae,M,H,S,,,persistent soil,,,,,,,,,,,,,,,,,,,,absent or rare in 10 yo heath,,,,,,1,1,1,-,-,-,1,1,-,-,-,-,-,Q V WA NT,,,,,,,,,,,,,,,,,II-46,46,A,5,5,,,,,,5,5,4,3,3,2
Cyperus sanguinolentus,2395,,,,,Cyperaceae,M,H,S,,,,,,,,,,,,,,,,,,,,,,,annual,,,,,,1,1,1,1,1,1,1,1,1,1,1,-,-,Q V SA WA,Swamp,,,,,,,,,,1,,,,,8P,,,A,5,5,,,,,,5,4,4,2,5,4
Cyperus semifertilis,9677,E1,,,,Cyperaceae,M,H,R,,,short-lived soil,wind / water / vertebrate,,,,,,,,,I,,,,,,,,,,,short,,,,,1,-,-,-,-,-,-,-,-,-,-,-,-,Q,,,,,,,,,,,,,,,,,IX-89,89,VDI,2,2,,,,,,1,1,4,4,5,1
Cyperus tenellus,7469,,*,,,Cyperaceae,M,H,S,,,,,,,,,,,,,T,,,,,1,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,VIII-38d,38,E,5,5,,,,,,5,1,1,4,5,4
Cyperus vaginatus,7617,,,,,Cyperaceae,M,H,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,-,1,-,-,1,1,-,1,-,-,-,Q V SA WA NT,,,,,,,,,,,1,1,,,,9PL,,,V,4,4,,,,,,1,4,4,4,5,4
Cyphanthera albicans subsp. albicans,7342,,,,,Solanaceae,D,S,S,,,,,,,,,,,,,,,spring-early summer,Sep-Dec,,,,,,,,,,,,,-,1,1,1,1,1,-,1,-,-,1,-,-,Q V,SF S,,,,,,,1,1,,,,,1,1,8CE,,,C,1,4,,,,,,2,4,4,4,5,4
Cytisus scoparius subsp. scoparius,11075,,*,,,Fabaceae,D,S,S,,,persistent soil,a-ant,,,,hard seed coat,,,,,,,,,,>3,,,,,>20,50,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2BF,II-95c,95,E,5,5,,,,,,5,4,2,3,5,1
Dactyloctenium aegyptium,9338,,*,,,Poaceae,M,H,S,,,persistent soil,,,,,,,,,,,,,,,,,,,,annual,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2SA,,,E,5,5,,,,,,5,4,4,2,5,4
Dampiera fusca,7440,E1,,,,Goodeniaceae,D,S,R,,root suckers,persistent soil,,,,,,,,,,I,,Dec-Jan,Dec-Jan,,,,,,,,,,,,,-,-,-,-,-,1,-,-,-,-,-,-,-,V,H,,,,,,,,1,,,,,,,9CN,IXb-3,9,VGI,2,1,,,,,,1,1,4,4,5,4
Dampiera lanceolata var. lanceolata,9745,,,,,Goodeniaceae,D,S,R,,,,,,,,,,,,,,,Aug-Jan,Aug-Jan,,,,,,,,,,,,,1,1,-,-,-,1,1,1,1,1,1,-,1,Q V SA,SF W,,,,,,,1,,,,,,1,,9E,,,V,4,4,,,,,,1,4,4,4,5,4
Dampiera purpurea,3172,,,,,Goodeniaceae,D,S,R,Stems killed (1),basal,,,,,,,,,,,I,,Aug-Jan,Aug-Jan,,,3-Jan,,,,,,,,,,1,1,1,1,1,1,1,1,1,-,-,-,-,Q V,SF H,,,,,,,1,1,,,,,,,5BD,IX-39,1,UI,2,1,2,3,,,,1,1,1,4,5,4
