genus_root,taxon_name,text,life_history_a,life_history_f,parasitic_a,parasitic_f,plant_growth_form_a,plant_growth_form_f,plant_growth_substrate_a,plant_growth_substrate_f,sex_type_a,sex_type_f,stem_growth_habit_a,stem_growth_habit_f,woodiness_a,woodiness_f,joined
Acacia,Acacia calcarata,spreading rigid shrub 0.5-1.5 m high.,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,spreading,spreading,woody,NA,Author: B.R. Maslin; Editor: P.G. Kodela; Contributor: P.G. Kodela (ed. February 2018); A.E. Orchard (ed. February 2018)
Acacia,Acacia calcicola,"rounded shrub or straggly tree 3-5 m high, often many-stemmed from base; canopy spreading and bushy.",perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,spreading bushy,spreading bushy,woody,NA,"Author: R.S. Cowan; Editor: P.G. Kodela & A.E. Orchard; Contributor: B.R. Maslin & J. Rogers (minor eds,  June 2012); P.G. Kodela (ed. February 2018); A.E. Orchard (ed. February 2018)"
Acacia,Acacia calligera,"spreading, glabrous, resinous shrub mostly 0.5-1.5 m high, sometimes flat-topped.",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,spreading,spreading,woody,NA,Author: B.R. Maslin; Editor: P.G. Kodela & A.E. Orchard; Contributor: P.G. Kodela (ed. February 2018); A.E. Orchard (ed. February 2018)
Acacia,Acacia calyculata,"shrub to 2.5 m high, multistemmed, glabrous.",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,NA,NA,woody,NA,"Author: M.D. Tindale & P.G. Kodela; Editor: B.R. Maslin, P.G. Kodela & A.E. Orchard; Contributor: B.R. Maslin (ed. June 2012); P.G. Kodela (ed. February 2018); A.E. Orchard (ed. February 2018)"
Acacia,Acacia cambagei,"tree 4-15 m high, malodorous, spreading; crown moderately dense.",perennial,inferred_from_growth_form,NA,NA,tree,tree,NA,NA,NA,NA,spreading dense,spreading dense,woody,NA,"Author: R.S. Cowan & P.G. Kodela; Editor: P.G. Kodela; Contributor: B.R. Maslin (ed. June 2012); P.G. Kodela (ed. February 2018, August 2019); A.E. Orchard (ed. February 2018)"
Acacia,Acacia camptoclada,spreading glabrous shrub normally 0.2-1 m tall.,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,spreading,spreading,woody,NA,Author: B.R. Maslin; Editor: P.G. Kodela & A.E. Orchard; Contributor: A.E. Orchard (ed. February 2018); P.G. Kodela (ed. February 2018)
Acacia,Acacia campylophylla,dense rigid shrub 0.1-0.6 m tall.,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,dense,dense,woody,NA,Author: R.S. Cowan &  B.R. Maslin; Editor: P.G. Kodela & A.E. Orchard; Contributor: P.G. Kodela (ed. February 2018); A.E. Orchard (ed. February 2018)
Acacia,Acacia cana,shrub or tree to 6 m high. with dense spreading crown.,perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,spreading dense,spreading dense,woody,NA,Author: R.S. Cowan & B.R. Maslin; Editor: P.G. Kodela & A.E. Orchard; Contributor: A.E. Orchard (ed. February 2018); P.G. Kodela (ed. February 2018)
Acacia,Acacia cangaiensis,shrub or tree 2-6 m high.,perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,NA,NA,woody,NA,Author: P.G. Kodela & M.D. Tindale; Editor: P.G. Kodela
Acacia,Acacia capillaris,"shrub to 40 cm tall, erect.",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,erect,erect,woody,NA,Author: A.S. George; Editor: P.G. Kodela; Contributor: P.G. Kodela (ed. February 2018)
Acacia,Acacia cardiophylla,"flat-topped shrub or tree 1-3.5 m high, often many-stemmed.",perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,NA,NA,woody,NA,Author: P.G. Kodela & M.D. Tindale; Editor: P.G. Kodela; Contributor: B.R. Maslin & J.E. Reid (ed. June 2012); A.E. Orchard (ed. February 2018); P.G. Kodela (ed. February 2018)
Acacia,Acacia carens,open b shrub to 0.6 m tall.,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,open,open,woody,NA,"Author: B.R. Maslin; Editor: A.E. Orchard (February 2018), P.G. Kodela (February 2018)"
Acacia,Acacia carneorum,straggly spreading gregarious shrub or tree to 5 m high; habit similar to some hakea spp. (e g leucoptera).,perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,spreading,spreading,woody,NA,Author: B.R. Maslin; Editor: P.G. Kodela; Contributor: A.E. Orchard (ed. March 2018); P.G. Kodela (ed. March 2018)
Acacia,Acacia carnosula,"spreading, domed or ±straggly shrub 0.5-1.5 m tall.",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,spreading,spreading,woody,NA,"Author: B.R. Maslin; Editor: J. Rogers (June 2012), P.G. Kodela (February 2018), A.E. Orchard (March 2018)"
Acacia,Acacia caroleae,"shrub or fastigiate tree to 7 m high, multistemmed.",perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,NA,NA,woody,NA,"Author: P.G. Kodela & M.D. Tindale; Editor: P.G. Kodela; Contributor: B.R. Maslin & J. Rogers (minor edits, June 2012); A.E. Orchard (editorial assistance, March 2018); P.G. Kodela (ed. March 2018)"
Acacia,Acacia cassicula,spreading shrub 1-2.5 m tall.,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,spreading,spreading,woody,NA,"Author: R.S. Cowan; Editor: J.E. Reid (June 2012), P.G. Kodela (February 2018), A.E. Orchard (March 2018)"
Acacia,Acacia castanostegia,"spreading, muchbranched, glabrous shrub, to 0.5 (-1) m tall and 0.6 (-1.5 ) m wide.",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,spreading,spreading,woody,NA,"Author: B.R. Maslin & P.G. Kodela; Editor: P.G. Kodela (February 2018), A.E. Orchard (February 2018)"
Acacia,Acacia cataractae,shrub to 2 m tall.,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,NA,NA,woody,NA,"Author: P.G. Kodela & M.D. Tindale; Editor: P.G. Kodela; Contributor: B.R. Maslin & J. Rogers (minor edits, June 2012); P.G. Kodela (ed. February 2018)"
Acacia,Acacia catenulata,tree to 15 m high;,perennial,inferred_from_growth_form,NA,NA,tree,tree,NA,NA,NA,NA,NA,NA,woody,NA,"Author: B.R. Maslin & L. Pedley; Editor: P.G. Kodela & A.E. Orchard; Contributor: P.G. Kodela (February 2018), A.E. Orchard (March 2018)"
Acacia,Acacia catenulata subsp. catenulata,tree to 15 m tall;,perennial,inferred_from_growth_form,NA,NA,tree,tree,NA,NA,NA,NA,NA,NA,woody,NA,"Author: B.R. Maslin; Editor: P.G. Kodela (February 2018), Tony Orchard (March 2018); Contributor: NA"
Acacia,Acacia catenulata subsp. occidentalis,tree to 8 (-10) m tall;,perennial,inferred_from_growth_form,NA,NA,tree,tree,NA,NA,NA,NA,NA,NA,woody,NA,Author: B.R. Maslin; Editor: P.G. Kodela; Contributor: P.G. Kodela (ed. February 2018)
Acacia,Acacia cavealis,sprawling shrub mostly 0.3-0.7 m tall.,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,sprawling,sprawling,woody,NA,"Author: R.S. Cowan & B.R. Maslin; Editor: Jemima Rogers (June 2012), P.G. Kodela (February 2018), A.E. Orchard (March 2018)"
Acacia,Acacia cedroides,dense shrub 0.3-1 m tall.,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,dense,dense,woody,NA,"Author: B.R. Maslin; Editor: Jemima Rogers (June 2012), P.G. Kodela (February 2018), A.E. Orchard (March 2018)"
Acacia,Acacia celastrifolia,glabrous shrub 1-3 m tall.,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,NA,NA,woody,NA,"Author: B.R. Maslin; Editor: B.R. Maslin & J. Rogers (June 2012), P.G. Kodela (February 2018), A.E. Orchard (March 2018)"
Acacia,Acacia celsa,"tree 8-30 m high, canopy grey green.",perennial,inferred_from_growth_form,NA,NA,tree,tree,NA,NA,NA,NA,NA,NA,woody,NA,"Author: B.R. Maslin & J.E. Reid; Editor: P.G. Kodela; Contributor: P.G. Kodela (ed. February 2018, February 2020)"
Acacia,Acacia centrinervia,erect or spreading shrub 0.3-1 m high.,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,erect spreading,erect spreading,woody,NA,Author: B.R. Maslin & P.G. Kodela; Editor: P.G. Kodela; Contributor: P.G. Kodela (ed. February 2018)
Acacia,Acacia cerastes,muchbranched intricate glabrous shrub to 1.5 m tall.,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,NA,NA,woody,NA,"Author: B.R. Maslin; Editor: Jemima Rogers (June 2012), P.G. Kodela (February 2018), A.E. Orchard (March 2018)"
Acacia,Acacia chalkeri,bushy shrub to 3 m high.,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,bushy,bushy,woody,NA,"Author: B.R. Maslin; Editor: P.G. Kodela; Contributor: P.G. Kodela (ed. March 2018, October 2019); A.E. Orchard (ed. March 2018)"
Acacia,Acacia chamaeleon,"crowned, glabrous shrub 2-3 m tall.",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,NA,NA,woody,NA,"Author: B.R. Maslin; Editor: Jemima Rogers (June 2012), P.G. Kodela (March 2018), A.E. Orchard (March 2018)"
Acacia,Acacia chapmanii,dense intricate shrub 0.5-2 m tall.,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,dense,dense,woody,NA,"Author: R.S. Cowan; Editor: B.R. Maslin & J.E. Reid (June 2012), A.E. Orchard (March 2018), P.G. Kodela (March 2018)"
Acacia,Acacia chartacea,glabrous shrub or tree 1.5-4 (-6) m tall.,perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,NA,NA,woody,NA,"Author: B.R. Maslin; Editor: J. Rogers (June 2012), P.G. Kodela (March 2018), A.E. Orchard (March 2018)"
Acacia,Acacia cheelii,"tree to 7 (-10) m high, slender, glaucous.",perennial,inferred_from_growth_form,NA,NA,tree,tree,NA,NA,NA,NA,NA,NA,woody,NA,"Author: P.G. Kodela & M.D. Tindale; Editor: B.R. Maslin, P.G. Kodela & A.E. Orchard; Contributor: B.R. Maslin (ed. June 2012); A.E. Orchard (ed. March 2018); P.G. Kodela (ed. March 2018)"
Acacia,Acacia chinchillensis,"multistemmed, glaucous shrub 0.3-2 m high.",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,NA,NA,woody,NA,"Author: P.G. Kodela & M.D. Tindale; Editor: P.G. Kodela; Contributor: B.R. Maslin & J.E. Reid (minor edits, June 2012); A.E. Orchard (ed. March 2018); P.G. Kodela (ed. March 2018); Acknowledgements: NA"
Acacia,Acacia chippendalei,"shrub usually to 0.5 m tall, spreading.",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,spreading,spreading,woody,NA,"Author: A.S. George; Editor: J.E. Reid (June 2012), A.E. Orchard (March 2018), P.G. Kodela (March 2018)"
Acacia,Acacia chisholmii,"shrub to 4 m tall, multistemmed, spreading, resinous.",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,spreading,spreading,woody,NA,"Author: M.D. Tindale & P.G. Kodela; Editor: J. Rogers (June 2012), A.E. Orchard (March 2018), P.G. Kodela (March (2018)"
Acacia,Acacia chrysella,muchbranched shrub to 3.5 m tall.,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,NA,NA,woody,NA,"Author: B.R. Maslin; Editor: Jemima Rogers (June 2012), P.G. Kodela (March 2018), A.E. Orchard (March 2018)"
Acacia,Acacia chrysocephala,compact subshrub 0.3-0.5 m tall.,NA,NA,NA,NA,subshrub,subshrub,NA,NA,NA,NA,compact,compact,NA,NA,"Author: B.R. Maslin; Editor: Jemima Rogers (June 2012), P.G. Kodela (March 2018), A.E. Orchard (March 2018)"
Acacia,Acacia chrysochaeta,"shrub to 1.5 m tall, erect, spindly.",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,erect spindly,erect spindly,woody,NA,"Author: M.D. Tindale & P.G. Kodela; Editor: J.E. Reid & J. Rogers (June 2012), P.G. Kodela (March 2018), A.E. Orchard (March 2018)"
Acacia,Acacia chrysopoda,compact densely branching shrub 0.3-1 m tall.,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,compact,compact,woody,NA,"Author: R.S. Cowan & B.R. Maslin; Editor: P.G. Kodela (March 2018), A.E. Orchard (March 2018)"
Acacia,Acacia chrysotricha,tree 6-15 (-21) m high;,perennial,inferred_from_growth_form,NA,NA,tree,tree,NA,NA,NA,NA,NA,NA,woody,NA,Author: P.G. Kodela & M.D. Tindale; Editor: P.G. Kodela; Contributor: P.G. Kodela (ed. March 2018)
Acacia,Acacia cincinnata,large shrub or tree 5-25 m high.,perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,NA,NA,woody,NA,"Author: P.G. Kodela & M.D. Tindale; Editor: B.R. Maslin, P.G. Kodela & A.E. Orchard; Contributor: B.R. Maslin & J. Rogers (ed. June 2012); A.E. Orchard (ed. March 2018); P.G. Kodela (ed. March 2018, February 2020)"
Acacia,Acacia cineramis,"spreading, sometimes erect single or multi-stemmed shrub 1-2 m high, 0.8-4 m wide.",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,erect spreading,erect spreading,woody,NA,Author: H.K. Orel and P.G. Kodela; Editor: P.G. Kodela
Acacia,Acacia citrinoviridis,"graceful  tree 5-15 m tall; crowns silvery green, greyish green or blue-grey.",perennial,inferred_from_growth_form,NA,NA,tree,tree,NA,NA,NA,NA,NA,NA,woody,NA,"Author: P.G. Kodela, B.R. Maslin & M.D. Tindale; Editor: B.R. Maslin (June 2012), P.G. Kodela (March 2018), A.E. Orchard (March 2018)"
Acacia,Acacia citriodora,"spreading, multi-stemmed, resinous, viscid, aromatic (citrus odour), glabrous shrub 0.5-2 m high and to 2 (-4) m across, much branched, flat-topped.",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,spreading,spreading,woody,NA,Author: P.G. Kodela & B.R. Maslin; Editor: P.G. Kodela
Acacia,Acacia clandullensis,open pendulous shrub to 1 (-2) m high;,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,open,open,woody,NA,Author: B.J. Conn & T.M. Tame; Editor: P.G. Kodela & A.E. Orchard; Contributor: P.G. Kodela (ed. March 2018); A.E. Orchard (ed. March 2018)
Acacia,Acacia clelandii,"shrub to 5 m tall, spreading.",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,spreading,spreading,woody,NA,"Author: L. Pedley; Editor: B.R. Maslin, P.G. Kodela & A.E. Orchard; Contributor: B.R. Maslin & J. Rogers (ed. June 2012); P.G. Kodela (ed. March 2018); A.E. Orchard (ed. March 2018)"
Acacia,Acacia clunies-rossiae,bushy shrub or tree 2-6 (-10) m high.,perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,bushy,bushy,woody,NA,Author: B.R. Maslin; Editor: P.G. Kodela; Contributor: A.E. Orchard (ed. March 2018); P.G. Kodela (ed. March 2018)
Acacia,Acacia clydonophora,glabrous open shrub to circa 1 m tall.,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,open,open,woody,NA,"Author: B.R. Maslin; Editor: J. Rogers (June 2012), P.G. Kodela (March 2018), A.E. Orchard (March 2018)"
Acacia,Acacia coatesii,"low-domed, intricately branched, compact, rigid, generally glabrous subshrub 20-40 cm high, forming hemispherical cushions.",NA,NA,NA,NA,subshrub,subshrub,NA,NA,NA,NA,cushion-forming compact,cushions compact,NA,NA,Author: B.R. Maslin; Editor: P.G. Kodela
Acacia,Acacia cochlearis,erect to sprawling shrub 0.5-3 m high.,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,erect sprawling,erect sprawling,woody,NA,Author: R.S. Cowan; Editor: P.G. Kodela; Contributor: B.R. Maslin & J.E. Reid (ed. June 2012); P.G. Kodela (ed. March 2018); A.E. Orchard (ed. March 2018)
Acacia,Acacia cochlocarpa,"shrub to 0.7 m tall, sprawling.",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,sprawling,sprawling,woody,NA,"Author: A.R. Chapman & B.R. Maslin; Editor: P.G. Kodela; Contributor: P.G. Kodela (ed. March 2018, March 2023); A.E. Orchard (editorial assistance, March 2018)"
Acacia,Acacia cockertoniana,"obconic shrub or tree 3-6 (-7) m high, main stems and upper branches slightly crooked,",perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,NA,NA,woody,NA,Author: B.R. Maslin & J.E. Reid; Editor: P.G. Kodela
Acacia,Acacia cognata,"shrub or tree 3-10 m high, ±viscid.",perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,NA,NA,woody,NA,Author: B.R. Maslin; Editor: P.G. Kodela & A.E. Orchard; Contributor: P.G. Kodela (ed. March 2018); A.E. Orchard (ed. March 2018)
Acacia,Acacia colei,spreading shrub 2-4 m high; occasionally a tree to 9 m high.,perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,spreading,spreading,woody,NA,Author: B.R. Maslin; Editor: P.G. Kodela; Contributor: P.G. Kodela (ed. March 2018); A.E. Orchard (ed. March 2018)
Acacia,Acacia colei var. colei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Author: B.R. Maslin; Editor: P.G. Kodela (March 2018), A.E. Orchard (March 2018)"
Acacia,Acacia colei var. ileocarpa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Author: B.R. Maslin; Editor: P.G. Kodela (March 2018), A.E. Orchard (March 2018)"
Acacia,Acacia collegialis,spreading shrub or tree 2.5-6 m high.,perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,spreading,spreading,woody,NA,Author: B.R. Maslin; Editor: P.G. Kodela
Acacia,Acacia colletioides,"shrub or tree 0.5-3 m high, rigid, diffuse to dense.",perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,dense,dense,woody,NA,"Author: R.S. Cowan; Editor: B.R. Maslin & P.G. Kodela; Contributor: B.R. Maslin & J.E. Reid (ed. June 2012); P.G. Kodela (ed. March 2018, August 2019); A.E. Orchard (ed. March 2018)"
Acacia,Acacia comans,spreading shrub 0.3-2 m high.,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,spreading,spreading,woody,NA,Author: R.S. Cowan & M.A. Lewington; Editor: P.G. Kodela & A.E. Orchard; Contributor: J.E. Reid (ED. June 2012); P.G. Kodela (ed. March 2018); A.E. Orchard (ed. March 2018)
Acacia,Acacia complanata,shrub or tree to 5 m high;,perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,NA,NA,woody,NA,"Author: R.S. Cowan & B.R. Maslin; Editor: P.G. Kodela; Contributor: P.G. Kodela (ed. March 2018); A.E. Orchard (editorial assistance, March 2018)"
Acacia,Acacia concolorans,harsh intricate sprawling or compact subshrub to 0.4 m tall.,NA,NA,NA,NA,subshrub,subshrub,NA,NA,NA,NA,sprawling compact,sprawling compact,NA,NA,"Author: B.R. Maslin; Editor: P.G. Kodela (March 2018), A.E. Orchard (March 2018)"
Acacia,Acacia concurrens,"shrub or tree to 10 m high, single-stemmed, ±glaucous, glabrous.",perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,NA,NA,woody,NA,"Author: M.D. Tindale & P.G. Kodela; Editor: B.R. Maslin, P.G. Kodela & A.E. Orchard; Contributor: B.R. Maslin (ed. June 2012); P.G. Kodela (ed. March 2018); A.E. Orchard (ed. March 2018)"
Acacia,Acacia conferta,shrub or tree to 4 m high.,perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,NA,NA,woody,NA,"Author: B.R. Maslin; Editor: P.G. Kodela; Contributor: A.E. Orchard (editorial assistance, March 2018); Acknowledgements: NA"
Acacia,Acacia confluens,shrub 2-3 m tall; crown spreading and umbr.,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,spreading,spreading,woody,NA,Author: B.R. Maslin; Editor: P.G. Kodela; Contributor: P.G. Kodela (ed. March 2018); A.E. Orchard (ed. March 2018)
Acacia,Acacia congesta,intricate spreading shrub 0.5-2.5 m high.,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,spreading,spreading,woody,NA,Author: B.R. Maslin; Editor: P.G. Kodela & A.E. Orchard; Contributor: Jemima Rogers (ed. June 2012); P.G. Kodela (ed. March 2018); A.E. Orchard (ed. March 2018)
Acacia,Acacia congesta subsp. cliftoniana,shrub 0.5-1 m high.,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,NA,NA,woody,NA,Author: B.R. Maslin; Editor: P.G. Kodela & A.E. Orchard; Contributor: P.G. Kodela (ed. March 2018); A.E. Orchard (ed. March 2018)
Acacia,Acacia congesta subsp. congesta,shrub 0.5-2.5 m high.,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,NA,NA,woody,NA,Author: B.R. Maslin; Editor: P.G. Kodela & A.E. Orchard; Contributor: Jemima Rogers (ed. June 2012); P.G. Kodela (ed. March 2018); A.E. Orchard (ed. March 2018)
Acacia,Acacia congesta subsp. wonganensis,shrub 1-2 m high.,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,NA,NA,woody,NA,Author: B.R. Maslin; Editor: P.G. Kodela & A.E. Orchard; Contributor: Jemima Rogers (ed. June 2012); P.G. Kodela (ed. March 2018); A.E. Orchard (ed. March 2018)
Acacia,Acacia conjunctifolia,"shrub to 2 m tall, glabrous, resinous.",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,NA,NA,woody,NA,"Author: M.D. Tindale & P.G. Kodela; Editor: B.R. Maslin & J. Rogers (June 2012), P.G. Kodela (March 2018), A.E. Orchard (March 2018)"
Acacia,Acacia conniana,"shrub 2-6 m tall, dense, bushy, glabrous.",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,dense bushy,dense bushy,woody,NA,"Author: M.D. Tindale & P.G. Kodela; Editor: J. Rogers (June 2012), P.G. Kodela (March 2018), A.E. Orchard (March 2018)"
Acacia,Acacia consanguinea,shrub 0.4-1.5 m tall.,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,NA,NA,woody,NA,"Author: R.S. Cowan; Editor: B.R. Maslin & J.E. Reid (June 2012), P.G. Kodela (March 2018), A.E. Orchard (March 2018)"
Acacia,Acacia consobrina,spreading shrub 0.5-1.3 m tall.,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,spreading,spreading,woody,NA,"Author: R.S. Cowan; Editor: J.E. Reid (June 2012), P.G. Kodela (March 2018), A.E. Orchard (March 2018)"
Acacia,Acacia conspersa,shrub or tree to 7.5 m tall.,perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,NA,NA,woody,NA,"Author: M.D. Tindale & P.G. Kodela; Acknowledgements: Michael Bedward, Stuart J. Davies, Clare Herscovitch, David A. Keith and David A. Morrison assisted with the preparation of Acacia treatments for the 'Flora of Australia' Volumes 11A & 11B (2001).; Editor: P.G. Kodela; Contributor: B.R. Maslin (June 2012), P.G. Kodela (March 2018), A.E. Orchard (March 2018)"
Acacia,Acacia constablei,straggling or erect shrub 1-3 (-5) m high.,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,erect,erect,woody,NA,Author: P.G. Kodela & M.D. Tindale; Editor: P.G. Kodela; Contributor: B.R. Maslin & J.E. Reid (ed. June 2012); P.G. Kodela (ed. March 2018); A.E. Orchard (ed. April 2018)
Acacia,Acacia continua,branching rigid shrub to 2 m high.,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,NA,NA,woody,NA,"Author: B.R. Maslin & R.S. Cowan; Editor: P.G. Kodela; Contributor: Jemima Rogers (minor eds, June 2012); P.G. Kodela (ed. March 2018, August 2019); A.E. Orchard (ed. April 2018)"
Acacia,Acacia convallium,tree to 6 m tall.,perennial,inferred_from_growth_form,NA,NA,tree,tree,NA,NA,NA,NA,NA,NA,woody,NA,"Author: L. Pedley; Editor: P.G. Kodela; Contributor: P.G. Kodela (March 2018, October 2018)"
Acacia,Acacia coolgardiensis,multi-stemmed shrub or tree 2-5 (-7) m tall;,perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,NA,NA,woody,NA,"Author: B.R. Maslin, J.E. Reid & R.S. Cowan; Editor: P.G. Kodela (March 2018), A.E.Orchard (April 2018)"
Acacia,Acacia coriacea,spreading shrub or tree 1-10 m high.,perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,spreading,spreading,woody,NA,"Author: R.S. Cowan, B.R. Maslin & J.E. Reid; Editor: P.G. Kodela & A.E. Orchard; Contributor: P.G. Kodela (ed. March 2018); A.E. Orchard (ed. April 2018)"
Acacia,Acacia coriacea subsp. coriacea,"dense spreading shrub or tree 1-3 (-4) m high, occasionally prostrate.",perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,prostrate spreading dense,prostrate spreading dense,woody,NA,"Author: R.S. Cowan, B.R. Maslin & J.E. Reid; Editor: P.G. Kodela & A.E. Orchard; Contributor: P.G. Kodela (ed. March 2018); A.E. Orchard (ed. April 2018)"
Acacia,Acacia coriacea subsp. pendens,"tree, rarely a shrub, 3-10 m high.",perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,NA,NA,woody,NA,"Author: R.S. Cowan, B.R. Maslin & J.E. Reid; Editor: P.G. Kodela & A.E. Orchard; Contributor: P.G. Kodela (ed. March 2018); A.E. Orchard (ed. April 2018)"
Acacia,Acacia costata,spreading shrub normally 0.2-0.5 m high.,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,spreading,spreading,woody,NA,Author: B.R. Maslin; Editor: P.G. Kodela & A.E. Orchard; Contributor: B.R. Maslin (ed. March 2018); P.G. Kodela (ed. April 2018); A.E. Orchard (ed. April 2018)
Acacia,Acacia costiniana,"weeping, multistemmed shrub 0.6-2.5 m high.",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,NA,NA,woody,NA,Author: B.R. Maslin; Editor: P.G. Kodela & A.E. Orchard; Contributor: P.G. Kodela (ed. April 2018); A.E. Orchard (ed. April 2018)
Acacia,Acacia courtii,"tree to 20 m high, sometimes a shrub.",perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,NA,NA,woody,NA,Author: A.B. Court; Editor: B.R. Maslin & P.G. Kodela; Editor: B.R. Maslin (ed. June 2012); P.G. Kodela (ed. April 2018); A.E. Orchard (ed. April 2018)
