leaf ID,site number,Site,Species,Date,leaf no,mean annual precipitation (mm),Canopy position,curve type,context,eucalypt?,Leaf area (mm2),leaf mass (g),Specific leaf area (m2 kg-1),leaf mass per area (g m-2),d13C (per mille),D13C (per mille),%C,%N,leaf P (mg g-1),leaf N area (mmol m-2),leaf P area (mmol m-2),N:P ratio (g g-1),Tleaf (deg C),Vcmax atTleaf (umol m-2 s-1),Vcmax at 25 deg C (umol m-2 s-1),J at Tleaf (umol e- m-2 s-1),J at 25 deg C (umol e- m-2 s-1),initial time (hrs),initial photosynthesis (umol m-2 s-1),initial conductance (mol m-2 s-1),initial ci/ca,phi- light curve (umol CO2 umol-1 PAR),Rd- light curve (umol m-2 s-1),Amax- light curve (umol m-2 s-1),theta- light curve,Canopy or understory.x,Asat_umol_m-2_s-1,g_at_Asat_mol_m-2_s-1,ci_at_Asat_umol_mol-1,trans_at_Asat_mmol_m-2_s-1,CO2_sample,ci_over_ca_at_Asat,Canopy or understory.y,Amax_umol_m-2_s-1,g_at_Amax_mol_m-2_s-1,ci_at_Amax_umol_mol-1,trans_at_Amax_mmol_m-2_s-1
70,5,Sturt Plains,Eucalyptus pruinosa,15-Sep-08,3,672,Canopy,A-Ci,Canopy leaves sampled for A-Ci curve,yes,4354,1.193,3.65,274,-29.36,22.01,46.68,1.05,0.467,205.5,4.13,22.48,32,161.2,88.1,139.7,93,8.7,14.3,0.219,0.665,0.0232,-0.6608,27.644,0.956,Canopy,14.3,0.219,248,5.57,373.09,0.664718968613471,Canopy,25.1,0.18,865,4.66
71,5,Sturt Plains,Eucalyptus pruinosa,15-Sep-08,4,672,Canopy,A-Ci,Canopy leaves sampled for A-Ci curve,yes,3816,1.033,3.69,270.7,-28.83,21.45,44.29,1.05,0.477,203,4.17,22,32.1,141.4,76.6,126.9,84,8.6,7.4,0.089,0.61,0.0178,-1.0496,20.617,0.997,Canopy,7.37,0.0893,233,2.39,382,0.609947643979058,Canopy,20.5,0.144,882,3.78
72,5,Sturt Plains,Eucalyptus pruinosa,15-Sep-08,5,672,Canopy,A-Ci,Canopy leaves sampled for A-Ci curve,yes,3845,1.086,3.54,282.4,-29.29,21.93,41.04,0.76,0.56,153.1,5.1,13.56,32,181.1,99,170.9,113.8,9.7,12.5,0.12,0.518,0.0569,-1.6978,39.426,0.137,Canopy,12.5,0.12,199,2.95,384.14,0.518040297808091,Canopy,29.8,0.121,696,2.97
73,5,Sturt Plains,Eucalyptus pruinosa,15-Sep-08,6,672,Canopy,A-Ci,Canopy leaves sampled for A-Ci curve,yes,3620,0.877,4.13,242.3,-28.83,21.45,46.62,1.04,0.607,180,4.75,17.13,32,153.5,83.9,144.4,96.2,9.6,11.8,0.184,0.676,0.0511,-1.8006,35.926,-0.228,Canopy,11.8,0.184,253,4.17,374.09,0.676307840359272,Canopy,24.4,0.121,757,2.86
74,5,Sturt Plains,Eucalyptus coolibah,15-Sep-08,1,672,Canopy,A-Ci,Canopy leaves sampled for A-Ci curve,yes,1592,0.292,5.45,183.4,-29.17,21.81,47.13,1.03,0.569,134.9,3.37,18.1,35.9,136.4,53.8,94.5,50.6,12.1,4.5,0.048,0.556,0.0434,-1.1485,18.471,0.335,Canopy,4.5,0.0475,216,1.74,388.16,0.556471558120363,Canopy,15.8,0.0376,708,1.53
75,5,Sturt Plains,Eucalyptus coolibah,15-Sep-08,2,672,Canopy,A-Ci,Canopy leaves sampled for A-Ci curve,yes,1621,0.334,4.85,206,-29.29,21.93,48.44,1.19,0.46,175.1,3.06,25.89,35.4,128.7,52.9,100.9,55.5,12.2,3.6,0.029,0.463,0.0548,-1.1444,20.85,0.087,Canopy,3.56,0.0293,181,0.857,390.9,0.463034024047071,Canopy,17.8,0.0346,569,1.1
76,5,Sturt Plains,Eucalyptus coolibah,15-Sep-08,3,672,Canopy,A-Ci,Canopy leaves sampled for A-Ci curve,yes,2337,0.47,4.97,201.1,-29.26,21.9,46.51,1.05,0.573,150.8,3.72,18.33,36.8,191.1,70.1,126.4,64.4,13.1,3.4,0.071,0.743,0.0511,-1.8507,20.04,0.171,Canopy,3.42,0.0712,289,2.83,389.13,0.742682394058541,Canopy,14.7,0.0639,1000,2.48
77,5,Sturt Plains,Eucalyptus coolibah,15-Sep-08,4,672,Canopy,A-Ci,Canopy leaves sampled for A-Ci curve,yes,1887,0.416,4.54,220.5,-29.19,21.83,45.93,0.99,0.492,156.4,3.5,20.2,36.3,180.5,69,101.1,53,13.2,2.5,0.028,0.586,0.0594,-1.3699,15.042,0.338,Canopy,2.51,0.0279,230,0.996,392.63,0.585793240455391,Canopy,12.9,0.029,687,1
78,5,Sturt Plains,Eucalyptus coolibah,15-Sep-08,5,672,Canopy,A-Ci,Canopy leaves sampled for A-Ci curve,yes,2182,0.559,3.9,256.2,-27.84,20.41,46.76,1.14,0.764,208.6,6.32,14.92,37,202.5,73.1,140.5,70.8,14.1,3.4,0.052,0.66,0.0443,-1.8603,22.539,0.472,Canopy,3.44,0.0516,257,2.4,389.63,0.659600133459949,Canopy,16.4,0.0492,832,2.09
79,5,Sturt Plains,Eucalyptus coolibah,15-Sep-08,6,672,Canopy,A-Ci,Canopy leaves sampled for A-Ci curve,yes,1918,0.465,4.12,242.4,-27.1,19.63,47.26,1.01,0.647,174.9,5.06,15.61,36.4,187.7,71.1,108.1,56.3,14.2,2.3,0.022,0.526,0.0555,-1.0561,16.063,0.537,Canopy,2.26,0.0218,207,0.878,393.75,0.525714285714286,Canopy,14.3,0.0271,552,1.03
80,6,Boulia,Corymbia terminalis,7-Dec-08,1,291,Canopy,A-Ci,Canopy leaves sampled for A-Ci curve,yes,3823,1.135,3.37,296.9,-27.51,20.06,47.59,0.66,0.298,138.9,2.86,21.96,35,290.2,123.4,210.7,118.6,8.8,12.2,0.128,0.552,0.0577,-1.367,39.341,0.25,Canopy,12.2,0.128,214,4.08,387.72,0.55194470236253,Canopy,29.7,0.139,733,4.13
81,6,Boulia,Corymbia terminalis,7-Dec-08,2,291,Canopy,A-Ci,Canopy leaves sampled for A-Ci curve,yes,1850,0.521,3.55,281.6,-28.05,20.63,51.3,0.7,0.297,140.6,2.7,23.53,36.2,309,119,260.9,137.4,9.8,7.1,0.074,0.54,0.0714,-1.3984,36.947,0.213,Canopy,7.1,0.0736,210,3.08,388.58,0.540429255237017,Canopy,31.5,0.113,637,4.27
82,6,Boulia,Corymbia terminalis,8-Dec-08,3,291,Canopy,A-Ci,Canopy leaves sampled for A-Ci curve,yes,2691,0.77,3.49,286.1,-27.65,20.21,47.78,0.61,0.295,125.3,2.72,20.78,37.4,231.6,80.9,158.3,78,10.6,3.3,0.036,0.564,0.054,-1.0241,23.551,0.547,Canopy,3.34,0.0363,223,1.68,395.25,0.564199873497786,Canopy,22.5,0.0653,545,2.99
83,6,Boulia,Corymbia terminalis,8-Dec-08,4,291,Canopy,A-Ci,Canopy leaves sampled for A-Ci curve,yes,2829,0.855,3.31,302.2,-26.36,18.86,49.56,0.62,0.679,134.5,6.62,9.17,34.1,228.1,104.5,184.7,109.3,8.9,19.2,0.262,0.621,0.0706,-2.1067,64.227,-0.983,Canopy,19.2,0.262,232,7.75,373.76,0.620719178082192,Canopy,29.1,0.276,924,7.3
84,6,Boulia,Corymbia terminalis,8-Dec-08,5,291,Canopy,A-Ci,Canopy leaves sampled for A-Ci curve,yes,2233,0.684,3.26,306.3,-26.58,19.09,43.19,0.6,0.618,130.4,6.11,9.65,35.2,345,144.3,266.9,148.6,9.8,14.4,0.163,0.566,0.0715,-2.0099,43.169,-0.134,Canopy,14.4,0.163,212,5.27,374.74,0.565725569728345,Canopy,35.7,0.165,723,5.54
85,6,Boulia,Corymbia terminalis,8-Dec-08,6,291,Canopy,A-Ci,Canopy leaves sampled for A-Ci curve,yes,2118,0.444,4.77,209.6,-26.68,19.19,46.09,0.51,1.072,75.8,7.25,4.72,36.6,229.9,85.7,167.8,86.5,10.9,8.2,0.088,0.552,0.0556,-1.6478,27.824,0.269,Canopy,8.16,0.088,213,3.7,385.62,0.552357242881593,Canopy,21.1,0.113,782,4.46
86,6,Boulia,Corymbia aparrerinja,5-Dec-08,1,291,Canopy,A-Ci,Canopy leaves sampled for A-Ci curve,yes,1288,0.306,4.21,237.6,-24.86,17.29,43.7,0.82,0.919,139.2,7.04,8.92,31.9,136.2,75,140.5,94.1,8.3,11,0.104,0.495,0.0551,-0.253,28.055,0.268,Canopy,11,0.104,182,2.71,367.5,0.495238095238095,Canopy,18.4,0.151,923,4.18
87,6,Boulia,Corymbia aparrerinja,5-Dec-08,2,291,Canopy,A-Ci,Canopy leaves sampled for A-Ci curve,yes,1720,0.412,4.17,239.5,-24.77,17.2,47.54,0.9,0.989,153.8,7.64,9.09,32,113.3,61.9,126,83.9,9.1,8.3,0.078,0.51,0.0572,-0.4086,29.187,0.225,Canopy,8.33,0.0776,195,2.02,382.72,0.509510869565217,Canopy,21.1,0.127,847,3.02
88,6,Boulia,Corymbia aparrerinja,5-Dec-08,3,291,Canopy,A-Ci,Canopy leaves sampled for A-Ci curve,yes,1828,0.377,4.85,206.2,-27.16,19.69,45.82,1,0.911,147,6.06,10.95,32,163.1,89.1,167.4,111.5,9.6,8.2,0.07,0.482,0.0605,-0.2756,35.625,-0.005,Canopy,8.15,0.0704,186,1.7,385.77,0.482152577960961,Canopy,26.1,0.129,796,3.1
89,6,Boulia,Corymbia aparrerinja,6-Dec-08,4,291,Canopy,A-Ci,Canopy leaves sampled for A-Ci curve,yes,1684,0.379,4.44,225.1,-27.7,20.26,46.43,0.96,0.648,153.8,4.7,14.78,32,154.4,84.4,162.8,108.4,10.5,8.4,0.083,0.536,0.0651,-0.5727,32.134,-0.662,Canopy,8.4,0.0834,204,1.97,380.51,0.536122572337126,Canopy,25.8,0.114,738,2.64
90,6,Boulia,Corymbia aparrerinja,6-Dec-08,5,291,Canopy,A-Ci,Canopy leaves sampled for A-Ci curve,yes,2552,0.601,4.25,235.5,-27.49,20.04,46.47,0.89,0.554,149.9,4.21,16.08,32,146.5,80.1,163.4,108.8,11.5,8.4,0.082,0.522,0.0567,-0.7142,31.111,0.017,Canopy,8.41,0.0822,196,2,375.13,0.522485538346707,Canopy,27.3,0.113,701,2.7
91,6,Boulia,Corymbia aparrerinja,6-Dec-08,6,291,Canopy,A-Ci,Canopy leaves sampled for A-Ci curve,yes,1804,0.384,4.7,212.9,-27.65,20.21,47.14,0.94,0.644,142.8,4.42,14.59,32,131.9,72.1,140.4,93.5,12.3,8.1,0.081,0.542,0.0611,-0.6397,30.007,-0.098,Canopy,8.06,0.081,208,2.13,383.65,0.542160823667405,Canopy,24.9,0.0949,683,2.5
