taxon rank,taxon_name,rain,flora,sporadic,flowering_cues_environmental,flooding,location context
Species,Brachyachne ciliaris,"distribution and occurrence: grows on red sandy and clay loam soils, usually in open grassland areas.nsw subdivisions: nfwp, sfwp other australian states: qld s.n.flowering: in response to rain.",NHNSW_2022,,rain,,
Species,Brachyachne convergens,"distribution and occurrence: usually grows in open areas subject to infrequent flooding.nsw subdivisions: cc, nwp, cws other australian states: qld w.n.flowering: in response to rain or flooding.",NHNSW_2022,,rain floods,flooding,
Species,Bromus arenarius,flowering: spring or in response to rain.,NHNSW_2022,,rain,,
Species,Bromus madritensis,flowering: spring or in response to rain.,NHNSW_2022,,rain,,
Species,Bromus rubens,*w.*s.flowering: spring or in response to rain.,NHNSW_2022,,rain,,
Species,Chloris divaricata,"distribution and occurrence: grows on many types of soil, favouring alluvial areas subject to periodic flooding.nsw subdivisions: nc, cc, nt, nws, cws, nwp, swp, nfwp other australian states: qld flowering: in response to rain or flooding, usually during the warmer months.",NHNSW_2022,,rain floods,flooding,
Species,Chloris divaricata var. divaricata,"distribution and occurrence: grows on many types of soil, favouring alluvial areas subject to periodic flooding.nsw subdivisions: nc, cc, nws, cws, nwp, swp, nfwp other australian states: qld flowering: in response to rain or flooding, usually during the warmer months.",NHNSW_2022,,rain floods,flooding,
Species,Chloris pectinata,"distribution and occurrence: grows in low-lying shallow waterholes and depressions, usually on clayey soils.nsw subdivisions: nwp, nfwp other australian states: qld w.s.n.flowering: in response to rain or flooding.",NHNSW_2022,,rain floods,flooding,
Species,Dactyloctenium radulans,w.s.n.flowering: in response to rain.,NHNSW_2022,,rain,,
Species,Diplachne parviflora,w.s.n.flowering: in response to rain or flooding.,NHNSW_2022,,rain floods,flooding,
Species,Distichlis distichophylla,flowering: spring or in response to rain.,NHNSW_2022,,rain,,
Species,Echinochloa lacunaria,flowering: in response to rain.,NHNSW_2022,,rain,,
Species,Elytrophorus spicatus,w.s.n.flowering: in response to rain or flooding.,NHNSW_2022,,rain floods,flooding,
Species,Enneapogon avenaceus,"distribution and occurrence: widespread in arid and semi-arid areas, in various habitats, preferring sandy soils.nsw subdivisions: cc, nwp, swp, nfwp, sfwp other australian states: qld w.s.n.flowering: in response to rain.",NHNSW_2022,,rain,,
Species,Enneapogon cylindricus,"distribution and occurrence: grows in open country, often on sandy or loamy red soils.nsw subdivisions: nws, swp, nfwp, sfwp other australian states: qld w.s.n.flowering: in response to rain.",NHNSW_2022,,rain,,
Species,Enneapogon intermedius,w.s.n.flowering: in response to rain.,NHNSW_2022,,rain,,
Species,Enneapogon lindleyanus,"distribution and occurrence: usually grows on loamy or sandy soils.nsw subdivisions: nws, sws, swp other australian states: qld w.n.flowering: in response to rain.",NHNSW_2022,,rain,,
Species,Enteropogon acicularis,w.s.flowering: summer or in response to rain.,NHNSW_2022,,rain,,
Species,Enteropogon ramosus,w.s.n.flowering: summer or in response to rain.,NHNSW_2022,,rain,,
Species,Eragrostis australasica,w.s.flowering: in response to rain.,NHNSW_2022,,rain,,
Species,Eragrostis barrelieri,"distribution and occurrence: grows on disturbed ground.nsw subdivisions: *nwp, *nfwp other australian states: *qld *s.*n.flowering: in response to rain.",NHNSW_2022,,rain,,
Species,Eragrostis brownii,w.s.flowering: summer or in response to rain.,NHNSW_2022,,rain,,
Species,Eragrostis dielsii,w.s.n.flowering: in response to rain.,NHNSW_2022,,rain,,
Species,Eragrostis elongata,w.s.n.flowering: in summer or in response to rain.,NHNSW_2022,,rain,,
Species,Eragrostis eriopoda,"distribution and occurrence: grows in red sandy areas of the inland.nsw subdivisions: nwp, swp, nfwp, sfwp other australian states: qld w.s.n.flowering: in response to rain.",NHNSW_2022,,rain,,
Species,Eragrostis falcata,"distribution and occurrence:  grows in sandy areas.nsw subdivisions: cws, nwp, nfwp, sfwp other australian states: qld w.s.n.flowering: flowers in response to rain.",NHNSW_2022,,rain,,
Species,Eragrostis kennedyae,"distribution and occurrence: grows in disturbed areas of the northern inland.nsw subdivisions: nwp, nfwp other australian states: qld w.s.n.flowering: in response to rain.",NHNSW_2022,,rain,,
Species,Eragrostis lacunaria,s.n.flowering: in response to rain.,NHNSW_2022,,rain,,
Species,Eragrostis laniflora,"distribution and occurrence: grows in red-brown sandy soil of drier areas.nsw subdivisions: nws, nwp, nfwp other australian states: qld s.n.flowering: in response to rain.",NHNSW_2022,,rain,,
Species,Eragrostis leptocarpa,"distribution and occurrence: grows on disturbed areas, floodways in drier areas.nsw subdivisions: nc, nwp, swp, nfwp other australian states: qld w.s.n.flowering: in response to rain.",NHNSW_2022,,rain,,
Species,Eragrostis megalosperma,"distribution and occurrence: grows in woodland and semi-arid native pasture.nsw subdivisions: nws, nwp other australian states: qld flowering: in response to rain.",NHNSW_2022,,rain,,
Species,Eragrostis parviflora,w.s.n.flowering: in response to rain.,NHNSW_2022,,rain,,
Species,Eragrostis pergracilis,"distribution and occurrence: grows on the margins of claypans in drier areas.nsw subdivisions: nwp, nfwp other australian states: qld w.s.flowering: in response to rain or flooding.",NHNSW_2022,,rain floods,flooding,
Species,Eragrostis setifolia,w.s.n.flowering: in response to rain.,NHNSW_2022,,rain,,
Species,Eragrostis speciosa,"distribution and occurrence: grows in sandy floodways and ephemeral creek beds of the semi-arid.nsw subdivisions: cws, nwp, nfwp other australian states: qld w.n.flowering: in response to rain or flooding.",NHNSW_2022,,rain floods,flooding,
Species,Eragrostis tenellula,w.s.n.flowering: in response to rain.,NHNSW_2022,,rain,,
Species,Eragrostis xerophila,distribution and occurrence: grows in stony deserts.nsw subdivisions: nfwp other australian states: qld w.s.n.flowering: in response to rain.,NHNSW_2022,,rain,,
Species,Eriachne helmsii,"distribution and occurrence: grows on sandy soils, common on slopes and flats of sandplains.nsw subdivisions: nws, nwp, nfwp other australian states: qld w.s.n.flowering: in response to rain.",NHNSW_2022,,rain,,
Species,Eriachne mucronata,"distribution and occurrence: grows on skeletal soils on hillsides with mulga, also found along dry watercourses.nsw subdivisions: nwp, nfwp other australian states: qld w.s.n.flowering: in response to rain.",NHNSW_2022,,rain,,
Species,Eriachne pulchella,distribution and occurrence: grows on sandy soils in flat and hilly country.nsw subdivisions: nfwp other australian states: qld n.s.w.flowering: in response to rain.,NHNSW_2022,,rain,,
Species,Oxychloris scariosa,"distribution and occurrence: grows along watercourses and in saline areas.nsw subdivisions: nwp, nfwp other australian states: qld w.s.n.flowering: in response to rain.",NHNSW_2022,,rain,,
Species,Paspalidium clementii,distribution and occurrence: grows on steep slopes of inland ranges.nsw subdivisions: nfwp other australian states: qld w.s.n.flowering: in reponse to rain.,NHNSW_2022,,rain,,
Species,Poa fax,"distribution and occurrence: in areas of moderately low rainfall and (probably) somewhat saline conditions.nsw subdivisions: nws, nwp, swp, nfwp, sfwp other australian states: vic. w.s.flowering: flowers in response to rain and flooding.",NHNSW_2022,,rain floods,flooding,
Species,Rytidosperma erianthum,flowering: flowers in response to rain.,NHNSW_2022,,rain,,
Species,Rytidosperma setaceum,flowering: in response to rain.,NHNSW_2022,,rain,,
Species,Schismus barbatus,*w.*s.flowering: in response to rain.,NHNSW_2022,,rain,,
Species,Thellungia advena,"distribution and occurrence: grows on black soil in semi-arid areas.nsw subdivisions: nws, nwp, nfwp other australian states: qld n.flowering: flowers in response to rain.",NHNSW_2022,,rain,,
Species,Thyridolepis xerophila," distribution and occurrence: grows in sandy and stony soils, often associated with mulga.nsw subdivisions: nws, cws, nwp, nfwp other australian states: qld w.s.n.flowering: flowers in response to rain.",NHNSW_2022,,rain,,
Species,Triodia mitchellii,"two varieties are recognised in n.s.nsw subdivisions: nws, cws, nwp other australian states: qld flowering: flowers in response to rain.",NHNSW_2022,,rain,,
Species,Triodia mitchellii var. breviloba,north from cobar area.nsw subdivisions: nwp other australian states: qld flowering: flowers in response to rain.,NHNSW_2022,,rain,,
Species,Triodia mitchellii var. pubivagina,"distribution and occurrence: grows on sandplains.nsw subdivisions: nws, cws, nwp other australian states: qld flowering: flowers in response to rain.",NHNSW_2022,,rain,,
Species,Triodia scariosa,s.w.flowering: flowers in response to rain.,NHNSW_2022,,rain,,
Species,Tripogon loliiformis,w.s.n.flowering: in response to rain.,NHNSW_2022,,rain,,
Species,Triraphis mollis, flowering: usually flowers in response to rain.,NHNSW_2022,,rain,,
Species,Verbena macrostachya,"collected from the margin of lakes and swamps.nsw subdivisions: nfwp, nwp other australian states: qld conn (2004) flowering: flowering period not known, possibly throughout the year in response to rain.",NHNSW_2022,,rain_all_year,,
Species, Acacia coriacea,"biology:no text flowering time: irregular periods throughout the year, usually after good rains.",SAH_2022,sporadically,rain_all_year,,
Species, Acacia cyperophylla,"biology:no text flowering time: at irregular periods, generally after good rains.",SAH_2022,sporadically,rain,,
Species, Acacia estrophiolata,biology:no text flowering time: at irregular periods throughout the year usually after good rain.,SAH_2022,sporadically,rain_all_year,,
Species, Acacia pickardii,"biology:no text flowering time: irregular periods, probably after good rains.",SAH_2022,sporadically,rain,,
Species, Acacia tarculensis,biology:no text flowering time: may - august or occasionally throughout the year after good rains.,SAH_2022,,rain_all_year,,
Species, Aeschynomene indica,"biology:the species is not grazed and it is suspected of causing deaths of horses and pigs being fed on grain contaminated with seed of this species. flowering time:  all the year round, depending on rainfall.",SAH_2022,,rain_all_year,,
Species, Psoralea australasica,"biology:no text flowering time:  apparently all the year round, depending on rainfall.",SAH_2022,,rain_all_year,,
Species, Psoralea cinerea,"biology:no text flowering time:  probably all year round, depending on rainfall.",SAH_2022,,rain_all_year,,
Species, Psoralea pallida,"biology:no text flowering time:  all year round, depending on rainfall.",SAH_2022,,rain_all_year,,
Species, Indigofera linnaei,biology:no text flowering time:  all the year round depending on rainfall.,SAH_2022,,rain_all_year,,
Species, Lotus cruentus,"biology:no text flowering time:  all the year round, apparently depending on rainfall.",SAH_2022,,rain_all_year,,
Species, Swainsona burkei,biology:no text flowering time:  apparently after good rains all the year round.,SAH_2022,,rain_all_year,,
Species, Swainsona microcalyx adenophylla,"biology:no text flowering time:  june - sept., and sometimes in summer after good rains.",SAH_2022,,rain_summer,,
Species, Swainsona oroboides,"flowering time:  july - oct., sometimes after good rains in summer.",SAH_2022,,rain_summer,,
Species, Swainsona laxa,"biology:no text flowering time:  probably all the year round, depending on rainfall.",SAH_2022,,rain_all_year,,
Species, Swainsona microphylla tomentosa,"biology:no text flowering time:  may - sept., and any time after good rain.",SAH_2022,,rain_all_year,,
Species, Tephrosia sphaerospora,biology:no text flowering time:  throughout the year when suitable rains occur.,SAH_2022,,rain_all_year,,
Species, Trigonella suavissima,"biology:no text flowering time:  probably most of the year, depending on rain.",SAH_2022,,rain_all_year,,
Species, Vicia monantha,"biology:no text flowering time:  probably the whole year round, depending on rainfall.",SAH_2022,,rain_all_year,,
Species, Eucalyptus terminalis,"biology:no text flowering time:  after rain, mainly autumn - winter.",SAH_2022,,rain_autumn rain_winter,,
Species, Eucalyptus gamophylla,biology:no text flowering time:  winter after rain.,SAH_2022,,rain_winter,,
Species, Eucalyptus gongylocarpa,biology:no text flowering time:  at all times of the year after rains.,SAH_2022,,rain_all_year,,
Species, Canthium lineare,biology:no text flowering time:  throughout the year depending on seasonal rains.,SAH_2022,,rain_all_year,,
Species, Glossostigma diandrum,"flowering time:  all months, dependent on rains.",SAH_2022,,rain_all_year,,
Species, Dipteracanthus australasicus,"biology:no text flowering time:  all year, depending on rains.",SAH_2022,,rain_all_year,,
Species, Ixiolaena chloroleuca,biology:no text flowering time:  evidently rainfall - dependent but mostly may - sept.,SAH_2022,,rain,,
Species, Ixiolaena leptolepis,flowering time:  much of the year (after rains) but mostly aug.,SAH_2022,,rain_all_year,,
Species,Abutilon fraseri subsp. fraseri,"flowers mainly summer, but at almost any time following suitable rains.",RBGV_2022,,rain_all_year,,
Species,Abutilon otocarpum,flowering after summer rains.,RBGV_2022,,rain_summer,,
Species,Aristida calycina var. calycina,"flowers mostly summer, but potentially throughout the year following rain.",RBGV_2022,,rain_all_year,,
Species,Aristida calycina var. praealta,"flowers may-june (1 record), or probably, after rains.",RBGV_2022,,rain,,
Species,Aristida holathera var. holathera,"flowers most of year, probably following rain.",RBGV_2022,,rain_all_year,,
Species,Aristida jerichoensis var. subspinulifera,flowers through the year following rains.,RBGV_2022,,rain_all_year,,
Species,Crassula colligata subsp. colligata," flowers sep.-jun., depending on the rainy season.",RBGV_2022,,rain,,
Species,Crassula muscosa var. muscosa, flowers virtually any time of year depending upon rain.,RBGV_2022,,rain_all_year,,
Species,Crassula sieberiana,"flowers sep.-jun., depending on the rainy season.",RBGV_2022,,rain,,
Species,Crassula tetramera,"flowers sep.-jun., depending on rainy season.",RBGV_2022,,rain,,
Genus,Cullen,apparently often flowering in response to rain.,VIC_flora,,,,
Species,Glossostigma diandrum,flowers throughout year (after rain).,RBGV_2022,,rain_all_year,,
Species,Leiocarpa websteri,flowers mainly spring (also sporadically throughout the year depending upon rain).,RBGV_2022,sporadic,rain_all_year,,
Species,Osteocarpum acropterum var. deminutum, fruits most of year following rain.,RBGV_2022,,rain_all_year,,
Species,Phyllanthus lacunellus,flowers most of year (depending on rains).,RBGV_2022,,rain_all_year,,
Species,Rumex crystallinus,(dependent on seasonal rains or river-levels).,RBGV_2022,,rain,,
Species,Sauropus trachyspermus,flowers most of year (depending on rains).,RBGV_2022,,rain,,
Species,Senecio runcinifolius,(largely dependent on good rains or flood).,RBGV_2022,,rain_obligate floods,flooding,
Genus,Sida,flowering times are often governed by rainfall rather than season.,VIC_flora,,,,
Species,Sporobolus caroli,"palea slightly shorter than lemma, splitting along the midline as the grain matures. flowers oct.-apr., following rains.",RBGV_2022,,rain_spring rain_summer rain_autumn,,
Species,Stemodia glabella,flower most of year (following rain).,RBGV_2022,,rain_all_year,,
Species,Swainsona adenophylla,(or in summer after good rains).,RBGV_2022,,rain_summer,,
Species,Vittadinia pterochaeta,(but probably dependent on summer rain).,RBGV_2022,,rain_summer,,
