scientificName,plant_growth_form,growth_habit,parasitic,life_history,regen_strategy,growth_medium,sex_type,...9,partially_woody
Correa glabra,NA,NA,NA,NA,NA,NA,NA,NA,NA
Correa glabra var. glabra,shrub,erect,NA,NA,NA,NA,NA,NA,NA
Correa lawrenceana,tree shrub,NA,NA,NA,NA,NA,NA,NA,NA
Correa lawrenceana var. cordifolia,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Correa lawrenceana var. genoensis,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Correa lawrenceana var. grampiana,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Correa lawrenceana var. latrobeana,tree shrub,NA,NA,NA,NA,NA,NA,NA,NA
Correa reflexa,shrub,prostrate erect spreading,NA,NA,NA,NA,NA,NA,NA
Correa reflexa var. angustifolia,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Correa reflexa var. lobata,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Correa reflexa var. reflexa,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Correa reflexa var. scabridula,shrub,erect spreading,NA,NA,NA,NA,NA,NA,NA
Correa reflexa var. speciosa,shrub,spreading,NA,NA,NA,NA,NA,NA,NA
Corrigiola,herb,decumbent,NA,annual perennial,NA,NA,NA,NA,NA
Corrigiola litoralis,NA,NA,NA,annual biennial,NA,NA,NA,NA,NA
Cortaderia,tussock,NA,NA,perennial,NA,NA,NA,NA,NA
Cortaderia selloana,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cortaderia selloana subsp. jubata,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cortaderia selloana subsp. selloana,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corunastylis,NA,NA,NA,NA,NA,terrestrial,NA,NA,NA
Corunastylis archeri,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corunastylis arrecta,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corunastylis capparina,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corunastylis ciliata,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corunastylis clivicola,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corunastylis densa,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corunastylis despectans,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corunastylis leptochila,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corunastylis morrisii,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corunastylis nuda,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corunastylis pumila,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corunastylis tepperi,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corybas,herb,NA,NA,NA,NA,terrestrial,NA,NA,NA
Corybas aconitiflorus,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corybas despectans,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corybas diemenicus,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corybas fimbriatus,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corybas fordhamii,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corybas grumulus,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corybas hispidus,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corybas incurvus,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corybas sp. aff. diemenicus (Coastal),NA,NA,NA,NA,NA,NA,NA,NA,NA
Corybas unguiculatus,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corybas x miscellus,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corymbia,tree,NA,NA,NA,NA,NA,NA,NA,NA
Corymbia citriodora,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corymbia citriodora subsp. citriodora,tree,NA,NA,NA,NA,NA,NA,NA,NA
Corymbia gummifera,tree mallee,NA,NA,NA,NA,NA,NA,NA,NA
Corymbia maculata,tree,NA,NA,NA,NA,NA,NA,NA,NA
Corynotheca,NA,tufted,NA,perennial,rhizome,NA,NA,NA,NA
Corynotheca licrota,NA,tufted,NA,NA,NA,NA,NA,NA,NA
Cotoneaster,tree shrub,NA,NA,NA,NA,NA,NA,NA,NA
Cotoneaster franchetii,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Cotoneaster glaucophyllus,shrub,erect,NA,NA,NA,NA,NA,NA,NA
Cotoneaster horizontalis,shrub,spreading procumbent,NA,NA,NA,NA,NA,NA,NA
Cotoneaster pannosus,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Cotoneaster simonsii,shrub,erect,NA,NA,NA,NA,NA,NA,NA
Cotoneaster x watereri,tree shrub,erect spreading,NA,NA,NA,NA,NA,NA,NA
Cotula,herb,NA,NA,annual perennial,NA,NA,NA,NA,NA
Cotula alpina,NA,stoloniferous rosette,NA,perennial,stolon,NA,NA,NA,NA
Cotula australis,NA,NA,NA,short_lived_perennial annual,NA,NA,NA,NA,NA
Cotula bipinnata,NA,erect,NA,annual,NA,NA,NA,NA,NA
Cotula coronopifolia,NA,erect spreading,NA,perennial,NA,NA,NA,NA,NA
Cotula vulgaris,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cotula vulgaris var. australasica,herb,erect,NA,annual,NA,NA,NA,NA,NA
Cotyledon,subshrub shrub,erect,NA,perennial,NA,NA,NA,NA,NA
Cotyledon orbiculata,shrub,spreading decumbent,NA,NA,NA,NA,NA,NA,NA
Cotyledon orbiculata var. oblonga,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cotyledon orbiculata var. orbiculata,NA,NA,NA,NA,NA,NA,NA,NA,NA
Craspedia,herb,NA,NA,annual perennial,NA,NA,NA,NA,NA
Craspedia adenophora,herb,erect,NA,NA,NA,NA,NA,NA,NA
Craspedia alba,herb,NA,NA,NA,rhizome,NA,NA,NA,NA
Craspedia aurantia,herb,NA,NA,NA,NA,NA,NA,NA,NA
Craspedia aurantia var. aurantia,NA,NA,NA,NA,NA,NA,NA,NA,NA
Craspedia aurantia var. jamesii,NA,NA,NA,NA,NA,NA,NA,NA,NA
Craspedia basaltica,NA,rosette,NA,perennial,NA,NA,NA,NA,NA
Craspedia canens,herb,NA,NA,NA,NA,NA,NA,NA,NA
Craspedia crocata,herb,NA,NA,NA,NA,NA,NA,NA,NA
Craspedia gracilis,herb,NA,NA,NA,NA,NA,NA,NA,NA
Craspedia haplorrhiza,NA,NA,NA,annual perennial,NA,NA,NA,NA,NA
Craspedia lamicola,NA,NA,NA,NA,NA,NA,NA,NA,NA
Craspedia maxgrayi,herb,NA,NA,NA,NA,NA,NA,NA,NA
Craspedia paludicola,herb,NA,NA,NA,NA,NA,NA,NA,NA
Craspedia sylvestris,NA,rosette,NA,perennial,NA,NA,NA,NA,NA
Craspedia variabilis,herb,erect,NA,NA,NA,NA,NA,NA,NA
Crassula,sub aquatic_herb,erect decumbent shrubby,NA,annual perennial,NA,aquatic,NA,NA,NA
Crassula alata,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crassula alata var. alata,NA,erect,NA,annual,NA,NA,NA,NA,NA
Crassula biplanata,NA,erect decumbent,NA,perennial,NA,NA,NA,NA,NA
Crassula closiana,NA,erect,NA,annual,NA,NA,NA,NA,NA
Crassula colligata,NA,erect,NA,annual,NA,NA,NA,NA,NA
Crassula colligata subsp. colligata,NA,erect spreading,NA,NA,NA,NA,NA,NA,NA
Crassula colligata subsp. lamprosperma,NA,erect spreading,NA,NA,NA,NA,NA,NA,NA
Crassula colorata,NA,erect,NA,annual,NA,NA,NA,NA,NA
Crassula colorata var. acuminata,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crassula colorata var. colorata,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crassula decumbens,NA,erect decumbent,NA,annual,NA,NA,NA,NA,NA
Crassula decumbens var. decumbens,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crassula ericoides,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crassula ericoides subsp. ericoides,shrub,spreading,NA,perennial,NA,NA,NA,NA,NA
Crassula exserta,NA,erect,NA,annual,NA,NA,NA,NA,NA
Crassula helmsii,semiaquatic aquatic_herb,decumbent,NA,perennial,NA,aquatic semiaquatic,NA,NA,NA
Crassula multicava,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crassula multicava subsp. multicava,NA,decumbent,NA,perennial,NA,NA,NA,NA,NA
Crassula muscosa,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crassula muscosa var. muscosa,NA,NA,NA,perennial,NA,NA,NA,NA,NA
Crassula natans,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crassula natans var. minus,semiaquatic,decumbent,NA,annual,NA,semiaquatic,NA,NA,NA
Crassula ovata,shrub,NA,NA,perennial,NA,NA,NA,NA,NA
Crassula peduncularis,herb,erect decumbent,NA,annual,NA,NA,NA,NA,NA
Crassula rubricaulis,subshrub,NA,NA,perennial,NA,NA,NA,NA,NA
Crassula sarmentosa,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crassula sarmentosa var. sarmentosa,NA,prostrate sprawling,NA,perennial,NA,NA,NA,NA,NA
Crassula sieberiana,NA,erect decumbent,NA,annual perennial,NA,NA,NA,NA,NA
Crassula spathulata,NA,prostrate decumbent scrambling,NA,perennial,NA,NA,NA,NA,NA
Crassula tetragona,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crassula tetragona subsp. robusta,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Crassula tetramera,NA,prostrate decumbent,NA,annual,NA,NA,NA,NA,NA
Crassulaceae,shrub herb,NA,NA,biennial,NA,NA,NA,NA,NA
Crataegus,tree shrub,NA,NA,NA,NA,NA,NA,NA,NA
Crataegus monogyna,tree shrub,NA,NA,NA,NA,NA,NA,NA,NA
Crataegus x sinaica,tree shrub,NA,NA,NA,NA,NA,NA,NA,NA
Cratystylis,shrub,NA,NA,NA,NA,NA,dioecious,NA,NA
Cratystylis conocephala,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Crepis,NA,NA,NA,annual biennial perennial,NA,NA,NA,NA,NA
Crepis capillaris,NA,stoloniferous,NA,annual biennial,rhizome stolon,NA,NA,NA,NA
Crepis foetida,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crepis foetida subsp. foetida,NA,NA,NA,annual biennial,NA,NA,NA,NA,NA
Crepis pusilla,NA,rosette,NA,annual,NA,NA,NA,NA,NA
Crepis setosa,NA,NA,NA,annual,NA,NA,NA,NA,NA
Crepis vesicaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crepis vesicaria subsp. taraxacifolia,NA,NA,NA,annual biennial,NA,NA,NA,NA,NA
Cressa,subshrub,NA,NA,perennial,NA,NA,NA,NA,NA
Cressa australis,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crinum,herb,NA,NA,perennial,NA,NA,NA,NA,NA
Crinum flaccidum,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crocosmia,herb,NA,NA,perennial,NA,NA,NA,NA,NA
Crocosmia x crocosmiiflora,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crotalaria,shrub herb,NA,NA,annual perennial,NA,NA,NA,NA,NA
Crotalaria agatiflora,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crotalaria agatiflora subsp. agatiflora,subshrub,NA,NA,NA,NA,NA,NA,NA,NA
Croton,tree shrub herb,NA,NA,NA,NA,NA,dioecious monoecious,NA,NA
Croton setiger,herb,mat_forming,NA,NA,NA,NA,NA,NA,NA
Crowea,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Crowea exalata,shrub,prostrate erect,NA,NA,NA,NA,NA,NA,NA
Crowea exalata subsp. exalata,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crowea exalata subsp. revoluta,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cryptandra,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Cryptandra amara,subshrub,prostrate erect,NA,NA,NA,NA,NA,NA,NA
Cryptandra ericoides,shrub,erect decumbent,NA,NA,NA,NA,NA,NA,NA
Cryptandra magniflora,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Cryptandra myriantha,shrub,erect decumbent,NA,NA,NA,NA,NA,NA,NA
Cryptandra sabulicola,shrub,decumbent,NA,NA,NA,NA,NA,NA,NA
Cryptandra speciosa,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cryptandra speciosa subsp. speciosa,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Cryptandra tomentosa,shrub,erect decumbent,NA,NA,NA,NA,NA,NA,NA
Cryptostylis,herb,NA,NA,NA,NA,terrestrial,NA,NA,NA
Cryptostylis erecta,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cryptostylis hunteriana,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cryptostylis leptochila,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cryptostylis subulata,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cucumis,herb,trailing,NA,annual perennial,NA,NA,dioecious monoecious,NA,NA
Cucumis myriocarpus,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cucumis myriocarpus subsp. myriocarpus,herb,NA,NA,annual,NA,NA,NA,NA,NA
Cucurbitaceae,herb,NA,NA,NA,NA,NA,dioecious monoecious,NA,NA
Cullen,tree subshrub herb,erect spreading,NA,annual perennial,NA,NA,NA,NA,NA
Cullen australasicum,shrub,erect,NA,NA,NA,NA,NA,NA,NA
Cullen cinereum,subshrub herb,erect,NA,annual perennial,NA,NA,NA,NA,NA
Cullen discolor,herb,prostrate,NA,perennial,NA,NA,NA,NA,NA
Cullen microcephalum,subshrub herb,trailing,NA,perennial,NA,NA,NA,NA,NA
Cullen pallidum,herb,erect decumbent,NA,perennial,NA,NA,NA,NA,NA
Cullen parvum,herb,trailing,NA,perennial,NA,NA,NA,NA,NA
Cullen patens,herb,prostrate,NA,perennial,NA,NA,NA,NA,NA
Cullen tenax,herb,trailing,NA,perennial,NA,NA,NA,NA,NA
Cunoniaceae,tree climber_woody shrub,NA,NA,NA,NA,NA,NA,NA,NA
Cupressaceae,tree shrub,NA,NA,perennial,NA,NA,dioecious monoecious,NA,NA
Cupressus,tree shrub,erect,NA,NA,NA,NA,monoecious,NA,NA
Cupressus sempervirens,tree,erect,NA,NA,NA,NA,NA,NA,NA
Cuscuta,herb,twining,parasitic,annual perennial,NA,NA,NA,NA,NA
Cuscuta australis,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cuscuta campestris,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cuscuta epilinum,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cuscuta epithymum,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cuscuta planiflora,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cuscuta suaveolens,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cuscuta tasmanica,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyanicula,herb,NA,NA,NA,NA,terrestrial,NA,NA,NA
Cyanicula caerulea,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyanothamnus,shrub herb,NA,NA,NA,NA,NA,NA,NA,NA
Cyanothamnus anemonifolius,shrub,erect,NA,NA,NA,NA,NA,NA,NA
Cyanothamnus anemonifolius subsp. anemonifolius,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Cyanothamnus anemonifolius subsp. aurifodinus,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Cyanothamnus anemonifolius subsp. variabilis,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Cyanothamnus coerulescens,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyanothamnus coerulescens subsp. coerulescens,shrub,spindly,NA,NA,NA,NA,NA,NA,NA
Cyanothamnus nanus,subshrub,prostrate procumbent,NA,NA,NA,NA,NA,NA,NA
Cyanothamnus nanus var. hyssopifolius,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyanothamnus nanus var. nanus,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyanothamnus nanus var. pubescens,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyanothamnus polygalifolius,subshrub,decumbent,NA,NA,NA,NA,NA,NA,NA
Cyanthillium,subshrub herb,NA,NA,annual perennial,NA,NA,NA,NA,NA
Cyanthillium cinereum,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyanthillium cinereum var. cinereum,herb,erect,NA,NA,NA,NA,NA,NA,NA
Cyathea,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyathea australis,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyathea australis subsp. australis,NA,erect,NA,NA,NA,NA,NA,NA,NA
Cyathea cooperi,NA,erect,NA,NA,NA,NA,NA,NA,NA
Cyathea cunninghamii,NA,erect,NA,NA,NA,NA,NA,NA,NA
Cyathea leichhardtiana,NA,erect,NA,NA,NA,NA,NA,NA,NA
Cyathea x marcescens,NA,erect,NA,NA,NA,NA,NA,NA,NA
Cyatheaceae,tree fern,erect,NA,NA,NA,NA,NA,NA,NA
Cyathochaeta,NA,NA,NA,perennial,rhizome,NA,NA,NA,NA
Cyathochaeta diandra,NA,tufted,NA,perennial,NA,NA,NA,NA,NA
Cycloloma,herb,erect spreading,NA,annual biennial,NA,NA,NA,NA,NA
Cycloloma atriplicifolium,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyclosorus,NA,NA,NA,NA,rhizome,NA,NA,NA,NA
Cyclosorus interruptus,NA,NA,NA,NA,rhizome,NA,NA,NA,NA
Cyclospermum,herb,NA,NA,annual,NA,NA,NA,NA,NA
Cyclospermum leptophyllum,herb,NA,NA,NA,NA,NA,NA,NA,NA
Cycnogeton,aquatic_submerged aquatic_herb,NA,NA,perennial,rhizome,aquatic,NA,NA,NA
Cycnogeton alcockiae,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cycnogeton dubium,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cycnogeton microtuberosum,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cycnogeton multifructum,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cycnogeton procerum,aquatic_herb,NA,NA,perennial,rhizome,aquatic,NA,NA,NA
Cycnogeton rheophilum,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cylindropuntia,tree shrub,erect spreading,NA,NA,NA,NA,NA,NA,NA
Cylindropuntia imbricata,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Cylindropuntia kleiniae,shrub,erect open,NA,NA,NA,NA,NA,NA,NA
Cylindropuntia pallida,shrub,erect spreading,NA,NA,NA,NA,NA,NA,NA
Cylindropuntia spinosior,shrub,erect spreading,NA,NA,NA,NA,NA,NA,NA
Cylindropuntia tunicata,shrub,spreading,NA,NA,NA,NA,NA,NA,NA
Cymbalaria,herb,NA,NA,perennial,NA,NA,NA,NA,NA
Cymbalaria muralis,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cymbalaria muralis subsp. muralis,herb,procumbent,NA,NA,NA,NA,NA,NA,NA
Cymbonotus,herb,rosette,NA,annual perennial,NA,NA,NA,NA,NA
Cymbonotus lawsonianus,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cymbonotus preissianus,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cymbopogon,NA,tufted,NA,annual perennial,NA,NA,NA,NA,NA
Cymbopogon obtectus,NA,tufted,NA,perennial,NA,NA,NA,NA,NA
Cymbopogon refractus,NA,tufted,NA,perennial,NA,NA,NA,NA,NA
Cymodoceaceae,aquatic_submerged aquatic_herb,NA,NA,perennial,rhizome,marine,dioecious,NA,NA
Cynara,herb,erect,NA,perennial,NA,NA,NA,NA,NA
Cynara cardunculus,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cynara cardunculus subsp. flavescens,herb,NA,NA,NA,NA,NA,NA,NA,NA
Cynodon,NA,stoloniferous,NA,perennial,stolon,NA,NA,NA,NA
Cynodon dactylon,NA,stoloniferous erect spreading,NA,perennial,rhizome stolon,NA,NA,NA,NA
Cynodon dactylon var. dactylon,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cynodon dactylon var. pulchellus,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cynodon transvaalensis,NA,stoloniferous,NA,perennial,stolon,NA,NA,NA,NA
Cynoglossum,herb,rosette,NA,annual perennial,NA,NA,NA,NA,NA
Cynoglossum australe,herb,NA,NA,NA,NA,NA,NA,NA,NA
Cynosurus,NA,tufted,NA,annual perennial,NA,NA,NA,NA,NA
Cynosurus cristatus,NA,tufted erect,NA,perennial,NA,NA,NA,NA,NA
Cynosurus echinatus,NA,tufted erect,NA,annual,NA,NA,NA,NA,NA
Cyperaceae,herb,stoloniferous tufted,NA,annual perennial,rhizome stolon,NA,dioecious monoecious,NA,NA
Cyperus,herb,tufted,NA,annual perennial,rhizome,NA,NA,NA,NA
Cyperus bifax,NA,NA,NA,perennial,rhizome,NA,NA,NA,woody_root
Cyperus brevifolius,NA,NA,NA,perennial,rhizome,NA,NA,NA,NA
Cyperus concinnus,NA,tufted,NA,perennial,rhizome,NA,NA,NA,NA
Cyperus congestus,NA,tufted,NA,annual perennial,rhizome,NA,NA,NA,NA
Cyperus difformis,NA,tufted,NA,annual,NA,NA,NA,NA,NA
Cyperus eragrostis,NA,tufted,NA,perennial,rhizome,NA,NA,NA,NA
Cyperus esculentus,NA,NA,NA,perennial,rhizome,NA,NA,NA,NA
Cyperus exaltatus,tussock,NA,NA,perennial,NA,NA,NA,NA,NA
Cyperus flaccidus,NA,tufted,NA,annual,NA,NA,NA,NA,NA
Cyperus flavidus,NA,tufted,NA,annual perennial,NA,NA,NA,NA,NA
Cyperus fulvus,NA,tufted,NA,perennial,NA,NA,NA,NA,NA
Cyperus gracilis,NA,tufted,NA,perennial,NA,NA,NA,NA,NA
Cyperus gunnii,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyperus gunnii subsp. gunnii,NA,tufted,NA,perennial,rhizome,NA,NA,NA,NA
Cyperus gymnocaulos,tussock,NA,NA,perennial,rhizome,NA,NA,NA,NA
Cyperus hamulosus,NA,tufted,NA,annual,NA,NA,NA,NA,NA
Cyperus leptocarpus,NA,NA,NA,annual,NA,NA,NA,NA,NA
Cyperus lhotskyanus,NA,NA,NA,perennial,rhizome,NA,NA,NA,NA
Cyperus lucidus,tussock,NA,NA,perennial,rhizome,NA,NA,NA,NA
Cyperus nervulosus,NA,tufted,NA,annual,NA,NA,NA,NA,NA
Cyperus polystachyos,NA,tufted,NA,annual perennial,rhizome,NA,NA,NA,NA
Cyperus pygmaeus,NA,tufted,NA,NA,NA,NA,NA,NA,NA
Cyperus reflexus,NA,NA,NA,perennial,rhizome,NA,NA,NA,NA
Cyperus rigidellus,NA,tufted,NA,annual perennial,NA,NA,NA,NA,NA
Cyperus rotundus,NA,NA,NA,annual perennial,rhizome,NA,NA,NA,woody_root
Cyperus sanguinolentus,NA,tufted,NA,annual perennial,NA,NA,NA,NA,NA
Cyperus sphaeroideus,NA,NA,NA,perennial,rhizome,NA,NA,NA,NA
Cyperus squarrosus,NA,tufted,NA,annual,NA,NA,NA,NA,NA
Cyperus subulatus,NA,tufted,NA,perennial,rhizome,NA,NA,NA,NA
Cyperus vaginatus,tussock,NA,NA,perennial,rhizome,NA,NA,NA,NA
Cyperus victoriensis,NA,NA,NA,perennial,rhizome,NA,NA,NA,woody_root
Cyphanthera,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Cyphanthera albicans,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyphanthera albicans subsp. albicans,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Cyphanthera anthocercidea,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Cyphanthera myosotidea,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtomium,NA,erect,NA,NA,rhizome,NA,NA,NA,NA
Cyrtomium falcatum 'Rochfordii',NA,NA,NA,NA,rhizome,NA,NA,NA,NA
Cyrtostylis,herb,NA,NA,NA,NA,terrestrial,NA,NA,NA
Cyrtostylis reniformis,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtostylis robusta,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cystopteridaceae,fern,NA,NA,NA,NA,terrestrial,NA,NA,NA
Cystopteris,NA,erect,NA,NA,rhizome,NA,NA,NA,NA
Cystopteris tasmanica,NA,NA,NA,NA,rhizome,NA,NA,NA,NA
Cytisus,shrub,NA,NA,perennial,NA,NA,NA,NA,NA
Cytisus multiflorus,shrub,erect,NA,NA,NA,NA,NA,NA,NA
Cytisus scoparius,shrub,erect procumbent,NA,NA,NA,NA,NA,NA,NA
Dactylis,NA,NA,NA,perennial,NA,NA,NA,NA,NA
Dactylis glomerata,NA,tufted,NA,NA,NA,NA,NA,NA,NA
Dactyloctenium,NA,prostrate tufted,NA,annual perennial,NA,NA,NA,NA,NA
Dactyloctenium radulans,NA,prostrate tufted,NA,annual,NA,NA,NA,NA,NA
Damasonium,herb,erect,NA,annual perennial,NA,NA,NA,NA,NA
Damasonium minus,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dampiera,subshrub herb,rosette,NA,perennial,NA,NA,NA,NA,NA
Dampiera dysantha,subshrub,decumbent,NA,NA,NA,NA,NA,NA,NA
Dampiera fusca,subshrub,NA,NA,NA,NA,NA,NA,NA,NA
Dampiera galbraithiana,subshrub,erect,NA,NA,NA,NA,NA,NA,NA
Dampiera lanceolata,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dampiera lanceolata var. lanceolata,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Dampiera marifolia,subshrub,NA,NA,perennial,NA,NA,NA,NA,NA
Dampiera purpurea,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Dampiera rosmarinifolia,subshrub,decumbent,NA,NA,NA,NA,NA,NA,NA
Dampiera stricta,subshrub,erect,NA,NA,NA,NA,NA,NA,NA
Danthonia,NA,caespitose,NA,perennial,NA,NA,NA,NA,NA
Danthonia decumbens,NA,tufted erect,NA,perennial,rhizome,NA,NA,NA,NA
Darwinia,shrub,prostrate,NA,NA,NA,NA,NA,NA,NA
Darwinia camptostylis,shrub,erect spreading dense,NA,NA,NA,NA,NA,NA,NA
Darwinia micropetala,shrub,erect open,NA,NA,NA,NA,NA,NA,NA
Dasypogonaceae,NA,erect shrubby dense,NA,perennial,rhizome,NA,NA,NA,NA
Datura,herb,NA,NA,short_lived_perennial annual,NA,NA,NA,NA,NA
Datura ferox,herb,NA,NA,NA,NA,NA,NA,NA,NA
Datura innoxia,herb,NA,NA,NA,NA,NA,NA,NA,NA
Datura stramonium,herb,NA,NA,NA,NA,NA,NA,NA,NA
Datura wrightii,herb,NA,NA,NA,NA,NA,NA,NA,NA
Daucus,NA,NA,NA,annual biennial,NA,NA,NA,NA,NA
Daucus carota,NA,erect,NA,biennial,NA,NA,NA,NA,NA
Daucus glochidiatus,herb,erect,NA,annual,NA,NA,NA,NA,NA
Davallia,NA,NA,NA,NA,rhizome,NA,NA,NA,NA
Davallia solida,NA,NA,NA,NA,NA,NA,NA,NA,NA
Davallia solida var. pyxidata,NA,erect,NA,NA,rhizome,NA,NA,NA,NA
Davalliaceae,fern epiphyte,NA,NA,NA,NA,epiphyte,NA,NA,NA
Daviesia,tree shrub,prostrate erect,NA,perennial,NA,NA,NA,NA,NA
Daviesia arenaria,shrub,spreading,NA,NA,NA,NA,NA,NA,NA
Daviesia brevifolia,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Daviesia buxifolia,shrub,open,NA,NA,NA,NA,NA,NA,NA
Daviesia devito,shrub,dense,NA,NA,NA,NA,NA,NA,NA
Daviesia genistifolia,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Daviesia laevis,shrub,erect,NA,NA,NA,NA,NA,NA,NA
