canonicalName,scientificNameAuthorship
Dopatrium junceum,(Roxb.) Buch.-Ham. ex Benth.
Gratiola nana,Benth.
Gratiola pedunculata,R.Br.
Gratiola peruviana,L.
Gratiola pubescens,R.Br.
Gratiola pumilo,F.Muell.
Kickxia commutata,(Bernh. ex Rchb.) Fritsch
Kickxia elatine,(L.) Dumort.
Kickxia spuria,(L.) Dumort.
Limnophila aromatica,(Lam.) Merr.
Limnophila australis,Wannan & J.T.Waterh.
Limnophila brownii,Wannan
Limnophila chinensis,(Osbeck) Merr.
Limnophila fragrans,(G.Forst.) Seem.
Linaria arvensis,(L.) Desf.
Linaria bordiana,Santa & Simonn.
Linaria dalmatica,(L.) Mill.
Linaria incarnata,(Vent.) Spreng.
Linaria nigricans,Lange
Linaria pelisseriana,(L.) Mill.
Linaria vulgaris,Mill.
Lophospermum erubescens,D.Don
Mecardonia procumbens,(Mill.) Small
Misopates orontium,(L.) Raf.
Nuttallanthus canadensis,(L.) D.A.Sutton
Nuttallanthus texanus,(Scheele) D.A.Sutton
Ourisia integrifolia,R.Br.
Plantago albicans,L.
Plantago alpestris,"B.G.Briggs, Carolin & Pulley"
Plantago antarctica,Decne.
Plantago arenaria,Waldst. & Kit.
Plantago australis,Lam.
Plantago bellardii,All.
Plantago bellidioides,Decne.
Plantago cladarophylla,"B.G.Briggs, Carolin & Pulley"
Plantago coronopus,L.
Plantago cretica,L.
Plantago cunninghamii,Decne.
Plantago daltonii,Decne.
Plantago debilis,R.Br.
Plantago drummondii,Decne.
Plantago euryphylla,"B.G.Briggs, Carolin & Pulley"
Plantago exilis,Decne.
Plantago gaudichaudii,Barneoud
Plantago glabrata,Hook.f.
Plantago glacialis,"B.G.Briggs, Carolin & Pulley"
Plantago gunnii,Hook.f.
Plantago hedleyi,Maiden
Plantago hispida,R.Br.
Plantago lanceolata,L.
Plantago major,L.
Plantago muelleri,Pilg.
Plantago multiscapa,B.G.Briggs
Plantago myosuros,Lam.
Plantago palustris,L.R.Fraser & Vickery
Plantago paradoxa,Hook.f.
Plantago sp. A (A.C.Robinson 704),SA Herbarium
Plantago sp. B (R.Bates 44765),SA Herbarium
Plantago sp. Mt Magnet (A.S.George 6793),WA Herbarium
Plantago tasmanica,Hook.f.
Plantago triandra,Berggr.
Plantago triantha,Spreng.
Plantago turrifera,"B.G.Briggs, Carolin & Pulley"
Plantago varia,R.Br.
Russelia equisetiformis,Schltdl. & Cham.
Scoparia dulcis,L.
Stemodia debilis,Benth.
Stemodia flaccida,W.Fitzg.
Stemodia florulenta,W.R.Barker
Stemodia glabella,W.R.Barker
Stemodia grossa,Benth.
Stemodia kingii,F.Muell.
Stemodia lathraia,W.R.Barker
Stemodia linophylla,F.Muell.
Stemodia lythrifolia,F.Muell. ex Benth.
Stemodia pubescens,(R.Br.) W.R.Barker
Stemodia sp. Battle Hill (A.L.Payne 1006),WA Herbarium
Stemodia sp. Haegii (J.Z.Weber 9055) W.R.Barker,
Stemodia sp. Manners Creek (T.S.Henshall 1779),NT Herbarium
Stemodia sp. Onslow (A.A.Mitchell 76/148),WA Herbarium
Stemodia sp. Tanami (P.K.Latz 8218),NT Herbarium
Stemodia tephropelina,W.R.Barker
Stemodia viscosa,Roxb.
Veronica anagallis-aquatica,L.
Veronica arcuata,(B.G.Briggs & Ehrend.) B.G.Briggs
Veronica arenaria,A.Cunn. ex Benth.
Veronica arvensis,L.
Veronica blakelyi,(B.G.Briggs & Ehrend.) B.G.Briggs
Veronica brownii,Roem. & Schult.
Veronica calycina,R.Br.
Veronica catenata,Pennell
Veronica ciliolata,(Hook.f.) Cheeseman
Veronica continua,B.G.Briggs
Veronica decorosa,F.Muell.
Veronica densifolia,(F.Muell.) F.Muell.
Veronica derwentiana,Andrews
Veronica distans,R.Br.
Veronica elliptica,G.Forst.
Veronica formosa,R.Br.
Veronica gracilis,R.Br.
Veronica grosseserrata,B.G.Briggs & Ehrend.
Veronica hederifolia,L.
Veronica hillebrandii,F.Muell.
Veronica lithophila,(B.G.Briggs & Ehrend.) B.G.Briggs
Veronica nivea,Lindl.
Veronica notabilis,F.Muell. ex Benth.
Veronica novae-hollandiae,Poir.
Veronica officinalis,L.
Veronica parnkalliana,J.M.Black
Veronica parviflora,Vahl
Veronica peregrina,L.
Veronica perfoliata,R.Br.
Veronica persica,Poir.
Veronica plebeia,R.Br.
Veronica scutellata,L.
Veronica serpyllifolia,L.
Veronica sobolifera,B.G.Briggs & Ehrend.
Veronica speciosa,R.Cunn. ex A.Cunn.
Veronica subtilis,B.G.Briggs & Ehrend.
Veronica velutina,(B.G.Briggs & Ehrend.) B.G.Briggs
Buddleja australis,Vell.
Buddleja davidii,Franch.
Buddleja dysophylla,(Benth.) Radlk.
Buddleja globosa,Hope
Buddleja lindleyana,Fortune
Buddleja madagascariensis,Lam.
Calamphoreus inflatus,(C.A.Gardner) Chinnock
Diocirea acutifolia,Chinnock
Diocirea microphylla,Chinnock
Diocirea ternata,Chinnock
Diocirea violacea,Chinnock
Dischisma arenarium,E.Mey.
Dischisma capitatum,Choisy
Eremophila bowmanii x Eremophila latrobei,F.Muell. x Eremophila latrobei F.Muell.
Eremophila abietina,Kraenzl.
Eremophila accrescens,Chinnock
Eremophila acrida,Chinnock
Eremophila adenotricha,(F.Muell. ex Benth.) F.Muell.
Eremophila alatisepala,Chinnock
Eremophila alternifolia,R.Br.
Eremophila annosocaulis,Chinnock
Eremophila anomala,Chinnock
Eremophila appressa,Chinnock
Eremophila arachnoides,Chinnock
Eremophila arbuscula,Chinnock
Eremophila arenaria,Chinnock
Eremophila arguta,Chinnock
Eremophila attenuata,Chinnock
Eremophila aureivisca,Chinnock
Eremophila ballythunnensis,Buirchell & A.P.Br.
Eremophila barbata,Chinnock
Eremophila battii,F.Muell.
Eremophila behriana,(F.Muell.) F.Muell.
Eremophila bignoniiflora,(Benth.) F.Muell.
Eremophila biserrata,Chinnock
Eremophila bowmanii,F.Muell.
Eremophila brevifolia,(Bartl.) F.Muell.
Eremophila buirchellii,A.P.Br.
Eremophila caerulea,(S.Moore) Diels
Eremophila caespitosa,Chinnock
Eremophila calcicola,R.W.Davis
Eremophila calorhabdos,Diels
Eremophila campanulata,Chinnock
Eremophila canaliculata,Chinnock
Eremophila caperata,Chinnock
Eremophila capricornica,Buirchell & A.P.Br.
Eremophila chamaephila,Diels
Eremophila christophori,F.Muell.
Eremophila ciliata,Chinnock
Eremophila citrina,Chinnock
Eremophila clarkei,Oldfield & F.Muell.
Eremophila clavata,Chinnock
Eremophila coacta,Chinnock
Eremophila compacta,S.Moore
Eremophila complanata,Chinnock
Eremophila compressa,Chinnock
Eremophila conferta,Chinnock
Eremophila congesta,Chinnock
Eremophila conglomerata,Chinnock
Eremophila cordatisepala,L.S.Sm.
Eremophila crassifolia,(F.Muell.) F.Muell.
Eremophila crenulata,Chinnock
Eremophila cryptothrix,Chinnock
Eremophila cuneata,Chinnock
Eremophila cuneifolia,Kraenzl.
Eremophila daddii,Buirchell & A.P.Br.
Eremophila dalyana,F.Muell.
Eremophila debilis,(Andrews) Chinnock
Eremophila decipiens,Ostenf.
Eremophila decussata,Chinnock
Eremophila delisseri,F.Muell.
Eremophila demissa,Chinnock
Eremophila dempsteri,F.Muell.
Eremophila dendritica,Chinnock
Eremophila densifolia,F.Muell.
Eremophila denticulata,F.Muell.
Eremophila deserti,(A.Cunn. ex Benth.) Chinnock
Eremophila dichroantha,Diels
Eremophila divaricata,(F.Muell.) F.Muell.
Eremophila drummondii,F.Muell.
Eremophila duttonii,F.Muell.
Eremophila elderi,F.Muell.
Eremophila enata,Chinnock
Eremophila eriocalyx,F.Muell.
Eremophila eversa,Chinnock
Eremophila exilifolia,F.Muell.
Eremophila falcata,Chinnock
Eremophila fallax,Chinnock
Eremophila fasciata,Chinnock
Eremophila ferricola,Buirchell & A.P.Br.
Eremophila flabellata,Chinnock
Eremophila flaccida,Chinnock
Eremophila foliosissima,Kraenzl.
Eremophila forrestii,F.Muell.
Eremophila fraseri,F.Muell.
Eremophila freelingii,F.Muell.
Eremophila galeata,Chinnock
Eremophila georgei,Diels
Eremophila gibbifolia,(F.Muell.) F.Muell.
Eremophila gibbosa,Chinnock
Eremophila gibsonii,F.Muell.
Eremophila gilesii,F.Muell.
Eremophila glabra,(R.Br.) Ostenf.
Eremophila glandulifera,Chinnock
Eremophila glutinosa,Chinnock
Eremophila goodwinii,F.Muell.
Eremophila graciliflora,F.Muell.
Eremophila gracillima,Chinnock
Eremophila grandiflora,A.P.Br. & Buirchell
Eremophila granitica,S.Moore
Eremophila hamulata,Buirchell & A.P.Br.
Eremophila hillii,E.A.Shaw
Eremophila hispida,Chinnock
Eremophila homoplastica,(S.Moore) C.A.Gardner
Eremophila hughesii,F.Muell.
Eremophila humilis,Chinnock
Eremophila hygrophana,Chinnock
Eremophila incisa,Chinnock
Eremophila interstans,(S.Moore) Diels
Eremophila ionantha,Diels
Eremophila jamesiorum,Buirchell & A.P.Br.
Eremophila jucunda,Chinnock
Eremophila koobabbiensis,Chinnock
Eremophila laanii,F.Muell.
Eremophila labrosa,Chinnock
Eremophila laccata,Buirchell & A.P.Br.
Eremophila lachnocalyx,C.A.Gardner
Eremophila lactea,Chinnock
Eremophila lanata,Chinnock
Eremophila lanceolata,Chinnock
Eremophila latrobei,F.Muell.
Eremophila lehmanniana,(Sond.) Chinnock
Eremophila linearis,Chinnock
Eremophila linsmithii,R.J.F.Hend.
Eremophila longifolia,(R.Br.) F.Muell.
Eremophila lucida,Chinnock
Eremophila macdonnellii,F.Muell.
Eremophila macgillivrayi,J.M.Black
Eremophila mackinlayi,F.Muell.
Eremophila macmillaniana,C.A.Gardner
Eremophila maculata,(Ker Gawl.) F.Muell.
Eremophila magnifica,Chinnock
Eremophila maitlandii,Benth.
Eremophila malacoides,Chinnock
Eremophila margarethae,S.Moore
Eremophila metallicorum,S.Moore
Eremophila micrantha,Chinnock
Eremophila microtheca,(F.Muell. ex Benth.) F.Muell.
Eremophila miniata,C.A.Gardner
Eremophila mirabilis,Chinnock
Eremophila mitchellii,Benth.
Eremophila muelleriana,C.A.Gardner
Eremophila neglecta,J.M.Black
Eremophila nivea,Chinnock
Eremophila obliquisepala,Chinnock
Eremophila oblonga,Chinnock
Eremophila obovata,L.S.Sm.
Eremophila occidens,Chinnock
Eremophila oldfieldii,F.Muell.
Eremophila oppositifolia,R.Br.
Eremophila ovata,Chinnock
Eremophila paisleyi,F.Muell.
Eremophila pallida,Chinnock
Eremophila pantonii,F.Muell.
Eremophila papillata,Chinnock
Eremophila parvifolia,J.M.Black
Eremophila pendulina,Chinnock
Eremophila pentaptera,J.M.Black
Eremophila perglandulosa,Chinnock
Eremophila petrophila,Chinnock
Eremophila phillipsii,F.Muell.
Eremophila phyllopoda,Chinnock
Eremophila physocalyx,Chinnock
Eremophila pilosa,Chinnock
Eremophila pinnatifida,Chinnock
Eremophila platycalyx,F.Muell.
Eremophila platythamnos,Diels
Eremophila polyclada,(F.Muell.) F.Muell.
Eremophila praecox,Chinnock
Eremophila prolata,Chinnock
Eremophila prostrata,Chinnock
Eremophila psilocalyx,F.Muell.
Eremophila pterocarpa,W.Fitzg.
Eremophila punctata,Chinnock
Eremophila pungens,Chinnock
Eremophila punicea,S.Moore
Eremophila purpurascens,Chinnock
Eremophila pusilliflora,Buirchell & A.P.Br.
Eremophila pustulata,S.Moore
Eremophila racemosa,(Endl.) F.Muell.
Eremophila ramiflora,Dell
Eremophila recurva,Chinnock
Eremophila regia,Buirchell & A.P.Br.
Eremophila resiliens,Buirchell & A.P.Br.
Eremophila resinosa,(Endl.) F.Muell.
Eremophila reticulata,Chinnock
Eremophila retropila,Chinnock
Eremophila revoluta,Chinnock
Eremophila rhegos,Chinnock
Eremophila rigens,Chinnock
Eremophila rigida,Chinnock
Eremophila rostrata,Chinnock
Eremophila rotundifolia,F.Muell.
Eremophila rugosa,Chinnock
Eremophila saligna,(S.Moore) C.A.Gardner
Eremophila santalina,(F.Muell.) F.Muell.
Eremophila sargentii,(S.Moore) Chinnock
Eremophila scaberula,W.Fitzg.
Eremophila scoparia,(R.Br.) F.Muell.
Eremophila scrobiculata,Buirchell & A.P.Br.
Eremophila serpens,Chinnock
Eremophila serrulata,(A.Cunn. ex A.DC.) Druce
Eremophila setacea,Chinnock
Eremophila shonae,Chinnock
Eremophila simulans,Chinnock
Eremophila sp. Arookara Range (P.K.Latz 14181),Chinnock
Eremophila spathulata,W.Fitzg.
Eremophila sp. Beverley (K.Kershaw KK 2438),WA Herbarium
Eremophila sp. Bulga Downs (D.A.Blood 3872),WA Herbarium
Eremophila sp. Byro (R.Wait 6128/97),WA Herbarium
Eremophila sp. Calvert Range (A.A.Burbidge 738),WA Herbarium
Eremophila sp. Carnarvon Range (D.J.Edinger Nats 24),WA Herbarium
Eremophila sp. Collier Range (M.Greeve 33),WA Herbarium
Eremophila spectabilis,C.A.Gardner
Eremophila sp. Great Victoria Desert (R.W.Davis 10621),WA Herbarium
Eremophila sp. Hamersley Range (K.Walker KW 136),WA Herbarium
Eremophila spinescens,Chinnock
Eremophila sp. Ironstone (G.Cockerton & B.McLean LCH 31311),WA Herbarium
Eremophila sp. Kalgoorlie (V.Clarke & A.Brown VTC 590),WA Herbarium
Eremophila sp. Katjarra South (N.Gibson et al. NG 7149),
Eremophila sp. Kennedy Range (M.J.Greeve 42),WA Herbarium
Eremophila sp. Landor (J.Start D7 33),WA Herbarium
Eremophila splendens,Chinnock
Eremophila sp. Little Sandy Desert (A.A.Mitchell PRP 1263),WA Herbarium
Eremophila sp. long pedicels (G.Cockerton 1975),WA Herbarium
Eremophila sp. Meekatharra (D.J.Edinger 4430),WA Herbarium
Eremophila sp. Mt Edward (D.E.Albrecht 10981),Chinnock
Eremophila sp. Mt Jackson (G.J.Keighery 4372),WA Herbarium
Eremophila sp. Murgoo (S.J.J.Davies s.n. 15/8/1960),WA Herbarium
Eremophila spongiocarpa,Chinnock
Eremophila sp. Ostrina (M.Officer 164),WA Herbarium
Eremophila sp. Plumridge Lakes (S.G.M.Carr 534),WA Herbarium
Eremophila sp. Rothsay (D.Coultas & J.Kelt s.n. PERTH 08200440),WA Herbarium
Eremophila sp. Rudall River (P.G.Wilson 10512),WA Herbarium
Eremophila sp. Snowy Mountain (S.van Leeuwen 3737),WA Herbarium
Eremophila sp. South Wubin (R.Davis 10648),WA Herbarium
Eremophila spuria,Chinnock
Eremophila sp. Warrego (K.L.Kay 38),
Eremophila sp. Weld Range (M.J.Greeve & J.D.Start D7 34),WA Herbarium
Eremophila sp. West Angelas (S.van Leeuwen 4068),WA Herbarium
Eremophila sp. Yarlarweelor (M.Greeve 41),WA Herbarium
Eremophila stenophylla,Chinnock
Eremophila strongylophylla,F.Muell.
Eremophila sturtii,R.Br.
Eremophila subfloccosa,Benth.
Eremophila subteretifolia,Chinnock
Eremophila succinea,Chinnock
Eremophila tenella,Chinnock
Eremophila ternifolia,Chinnock
Eremophila tetraptera,C.T.White
Eremophila tietkensii,F.Muell. & Tate
Eremophila undulata,Chinnock
Eremophila veneta,Chinnock
Eremophila vernicosa,Chinnock
Eremophila veronica,(S.Moore) C.A.Gardner
Eremophila verrucosa,Chinnock
Eremophila verticillata,Chinnock
Eremophila victoriae,Buirchell & A.P.Br.
Eremophila virens,C.A.Gardner
Eremophila viscida,Endl.
Eremophila viscimarginata,Chinnock
Eremophila warnesii,Chinnock
Eremophila weldii,F.Muell.
Eremophila willsii,F.Muell.
Eremophila woodiae,Edginton
Eremophila yinnetharrensis,Buirchell & A.P.Br.
Eremophila youngii,F.Muell.
Euphrasia alsa,F.Muell.
Euphrasia amphisysepala,W.R.Barker
Euphrasia arguta,R.Br.
Euphrasia bella,S.T.Blake
Euphrasia bowdeniae,W.R.Barker
Euphrasia caudata,(J.H.Willis) W.R.Barker
Euphrasia ciliolata,W.R.Barker
Euphrasia collina,R.Br.
Euphrasia crassiuscula,Gand.
Euphrasia eichleri,W.R.Barker
Euphrasia fragosa,W.R.Barker
Euphrasia gibbsiae,Du Rietz
Euphrasia hookeri,Wettst.
Euphrasia lasianthera,W.R.Barker
Euphrasia orthocheila,W.R.Barker
Euphrasia phragmostoma,W.R.Barker
Euphrasia ramulosa,W.R.Barker
Euphrasia ruptura,W.R.Barker
Euphrasia scabra,R.Br.
Euphrasia semipicta,W.R.Barker
Euphrasia sp. Bivouac Bay (W.R.Barker 7626 et al.),W.R.Barker
Euphrasia striata,R.Br.
Glycocystis beckeri,(F.Muell.) Chinnock
Hebenstretia dentata,L.
Limosella australis,R.Br.
Limosella curdieana,F.Muell.
Limosella granitica,W.R.Barker
Maurandya barclayana,Lindl.
Maurandya scandens,(Cav.) Pers.
Myoporum acuminatum,R.Br.
Myoporum bateae,F.Muell.
Myoporum betcheanum,L.S.Sm.
Myoporum boninense,Koidz.
Myoporum brevipes,Benth.
Myoporum caprarioides,Benth.
Myoporum cordifolium,(F.Muell.) Druce
Myoporum floribundum,A.Cunn. ex Benth.
Myoporum insulare,R.Br.
Myoporum montanum,R.Br.
Myoporum obscurum,Endl.
Myoporum oppositifolium,R.Br.
Myoporum parvifolium,R.Br.
Myoporum petiolatum,Chinnock
Myoporum platycarpum,R.Br.
Myoporum sp. Tinaroo Range (V.K.Moriarty 302),Qld Herbarium
Myoporum tetrandrum,(Labill.) Domin
Myoporum turbinatum,Chinnock
Myoporum velutinum,Chinnock
Myoporum viscosum,R.Br.
Nemesia strumosa,Benth.
Phyllopodium cordatum,(Thunb.) Hilliard
Polycarena rariflora,Benth.
Scrophularia auriculata,L.
Scrophularia nodosa,L.
Selago canescens,L.f.
Selago corymbosa,L.
Verbascum blattaria,L.
Verbascum creticum,(L.) Cav.
Verbascum sinuatum,L.
Verbascum thapsus,L.
Verbascum virgatum,Stokes
Zaluzianskya divaricata,(Thunb.) Walp.
Polypremum procumbens,L.
Citharexylum spinosum,L.
Duranta erecta,L.
Glandularia aristigera,(S.Moore) Tronc.
Lantana camara,L.
Lantana montevidensis,(Spreng.) Briq.
Lippia alba,(Mill.) N.E.Br. ex Britton & P.Wilson
Phyla canescens,(Kunth) Greene
Phyla nodiflora,(L.) Greene
Stachytarpheta x adulterina,Urb. & Ekman
Stachytarpheta australis,Moldenke
Stachytarpheta cayennensis,(Rich.) Vahl
Stachytarpheta jamaicensis,(L.) Vahl
Stachytarpheta mutabilis,(Jacq.) Vahl
Stachytarpheta x trimenii,Rech.
Verbena africana,(R.Fern. & Verdc.) P.W.Michael
Verbena bonariensis,L.
Verbena x brasiliensis,Vell.
Verbena caracasana,Kunth
Verbena gaudichaudii,(Briq.) P.W.Michael
Verbena hispida,Ruiz & Pav.
Verbena incompta,P.W.Michael
Verbena litoralis,Kunth
Verbena macrostachya,F.Muell.
Verbena officinalis,L.
Verbena quadrangularis,Vell.
Verbena rigida,Spreng.
Verbena supina,L.
Aniseia martinicensis,(Jacq.) Choisy
Argyreia nervosa,(Burm.f.) Bojer
Bonamia alatisemina,R.W.Johnson
Bonamia brevifolia,(Benth.) Myint
Bonamia deserticola,R.W.Johnson
Bonamia dietrichiana,Hallier f.
Bonamia erecta,R.W.Johnson
Bonamia fruticosa,R.W.Johnson
Bonamia linearis,(R.Br.) Hallier f.
Bonamia longipilosa,R.W.Johnson
Bonamia media,(R.Br.) Hallier f.
Bonamia multiflora,R.W.Johnson
Bonamia oblongifolia,Myint
Bonamia pannosa,(R.Br.) Hallier f.
Bonamia pilbarensis,R.W.Johnson
Bonamia rosea,(F.Muell.) Hallier f.
Bonamia sp. Croydon (K.R.McDonald KRM4000),Qld Herbarium
Bonamia toniae,R.W.Johnson
Bonamia wilsoniae,R.W.Johnson
Calystegia affinis,Endl.
Calystegia marginata,R.Br.
Calystegia sepium,(L.) R.Br.
Calystegia silvatica,(Kit.) Griseb.
Calystegia soldanella,(L.) Roem. & Schult.
Convolvulus angustissimus,R.Br.
Convolvulus arvensis,L.
Convolvulus clementii,Domin
Convolvulus crispifolius,F.Muell.
Convolvulus erubescens,Sims
Convolvulus eyreanus,R.W.Johnson
Convolvulus farinosus,L.
Convolvulus graminetinus,R.W.Johnson
Convolvulus microsepalus,R.W.Johnson
Convolvulus recurvatus,R.W.Johnson
Convolvulus remotus,R.Br.
Convolvulus sabatius,Viv.
Convolvulus tedmoorei,R.W.Johnson
Convolvulus wimmerensis,R.W.Johnson
Cressa australis,R.Br.
Cuscuta australis,R.Br.
Cuscuta campestris,Yunck.
Cuscuta chinensis,Lam.
Cuscuta epithymum,(L.) L.
Cuscuta planiflora,Ten.
Cuscuta suaveolens,Ser.
Cuscuta tasmanica,Engelm.
Cuscuta victoriana,Yunck.
Davenportia davenportii,(F.Muell.) R.W.Johnson
Dichondra repens,J.R.Forst. & G.Forst.
Dichondra sp. Inglewood (J.M.Dalby 86/93),Qld Herbarium
Duperreya commixta,(Staples) Staples
Duperreya halfordii,R.W.Johnson
Duperreya sericea,Gaudich.
Erycibe coccinea,(F.M.Bailey) Hoogland ex Ooststr.
Evolvulus alsinoides,(L.) L.
Evolvulus nummularius,(L.) L.
Ipomoea abrupta,R.Br.
Ipomoea aculeata,Blume
Ipomoea alba,L.
Ipomoea antonschmidii,R.W.Johnson
Ipomoea aquatica,Forssk.
Ipomoea argillicola,R.W.Johnson
Ipomoea batatas,(L.) Lam.
Ipomoea bracteolata,R.W.Johnson
Ipomoea brassii,C.T.White
Ipomoea brownii,Roem. & Schult.
Ipomoea cairica,(L.) Sweet
Ipomoea calobra,W.Hill & F.Muell.
Ipomoea carnea,Jacq.
Ipomoea coptica,(L.) Roth
Ipomoea costata,Benth.
Ipomoea densivestita,R.W.Johnson
Ipomoea diamantinensis,J.M.Black ex Eardley
Ipomoea diantha,Roem. & Schult.
Ipomoea diversifolia,R.Br.
Ipomoea dunlopii,R.W.Johnson
Ipomoea eriocarpa,R.Br.
Ipomoea gracilis,R.Br.
Ipomoea graminea,R.Br.
Ipomoea hastifolia,Domin
Ipomoea hederacea,Jacq.
Ipomoea hederifolia,L.
Ipomoea imperati,(Vahl) Griseb.
Ipomoea indica,(Burm.) Merr.
Ipomoea johnsoniana,R.L.Barrett
Ipomoea kalumburu,R.W.Johnson
Ipomoea limosa,R.W.Johnson
Ipomoea littoralis,Blume
Ipomoea lonchophylla,J.M.Black
Ipomoea macrantha,Roem. & Schult.
Ipomoea mauritiana,Jacq.
Ipomoea muelleri,Benth.
Ipomoea nil,(L.) Roth
Ipomoea obscura,(L.) Ker Gawl.
Ipomoea ochracea,(Lindl.) G.Don
Ipomoea pandurata,(L.) G.Mey.
Ipomoea pes-caprae,(L.) R.Br.
Ipomoea pes-tigridis,L.
Ipomoea plebeia,R.Br.
Ipomoea polpha,R.W.Johnson
Ipomoea polymorpha,Roem. & Schult.
Ipomoea purpurea,(L.) Roth
Ipomoea quamoclit,L.
Ipomoea racemigera,F.Muell. & Tate
Ipomoea saintronanensis,R.W.Johnson
Ipomoea sp. Nindigully (R.Roe 7694),Qld Herbarium
Ipomoea sp. Ramingining (J.Russell-Smith 2585),NT Herbarium
Ipomoea tiliacea,(Willd.) Choisy
Ipomoea tolmerana,R.W.Johnson
Ipomoea trichosperma,Blume
Ipomoea tricolor,Cav.
Ipomoea triloba,L.
Ipomoea velutina,R.Br.
Ipomoea versipellis,R.W.Johnson
Ipomoea wightii,(Wall.) Choisy
Ipomoea yardiensis,A.S.George
Jacquemontia browniana,Ooststr.
Jacquemontia paniculata,(Burm.f.) Hallier f.
Jacquemontia pannosa,(R.Br.) Mabb.
Jacquemontia sp. Beagle Bay (K.F.Kenneally 10628),Qld Herbarium
Jacquemontia sp. Borroloola (P.K.Latz 152b),Qld Herbarium
Jacquemontia sp. Broome (A.A.Mitchell 3028),Qld Herbarium
Jacquemontia sp. Darwin (G.Chippendale 7807),Qld Herbarium
Jacquemontia sp. Douglas Daly (C.R.Michell 1124),NT Herbarium
Jacquemontia sp. Fairview (R.W.Johnson 4026),Qld Herbarium
Jacquemontia sp. Karunji (D.Halford H37),Qld Herbarium
Jacquemontia sp. Keep River (J.L.Egan 5015),Qld Herbarium
Jacquemontia sp. Mitchell Plateau (A.S.George 14496),Qld Herbarium
Lepistemon urceolatus,(R.Br.) F.Muell.
Merremia aegyptia,(L.) Urb.
Merremia dissecta,(Jacq.) Hallier f.
Merremia gemella,(Burm.f.) Hallier f.
Merremia hederacea,(Burm.f.) Hallier f.
Merremia hirta,(L.) Merr.
Merremia incisa,(R.Br.) Hallier f.
Merremia kimberleyensis,R.W.Johnson
Merremia peltata,(L.) Merr.
Merremia quinata,(R.Br.) Ooststr.
Merremia quinquefolia,(L.) Hallier f.
Merremia tuberosa,(L.) Rendle
Merremia umbellata,(L.) Hallier f.
Operculina aequisepala,(Domin) R.W.Johnson
Operculina brownii,Ooststr.
Operculina riedeliana,(Oliv.) Ooststr.
Operculina sp. Cotton Island (J.Russell-Smith 5050),NT Herbarium
Operculina turpethum,(L.) Silva Manso
Polymeria ambigua,R.Br.
Polymeria angusta,F.Muell.
Polymeria calycina,R.Br.
Polymeria distigma,Benth.
Polymeria lanata,R.Br.
Polymeria longifolia,Lindl.
Polymeria marginata,Benth.
Polymeria mollis,(Benth.) Domin
Polymeria pusilla,R.Br.
Polymeria quadrivalvis,R.Br.
Polymeria sp. Broome (K.F.Kenneally 9759),WA Herbarium
Polymeria sp. West Tanami (D.E.Albrecht 7809),NT Herbarium
Polymeria subhirsuta,Domin
Porana volubilis,Burm.f.
Stictocardia queenslandica,(Domin) R.W.Johnson
Stictocardia tiliifolia,(Desr.) Hallier f.
Turbina corymbosa,(L.) Raf.
Wilsonia backhousei,Hook.f.
Wilsonia humilis,R.Br.
Wilsonia rotundifolia,Hook.
Xenostegia tridentata,(L.) D.F.Austin & Staples
Hydrolea zeylanica,(L.) J.Vahl
Alkekengi officinarum,Moench
Anthocercis angustifolia,F.Muell.
Anthocercis anisantha,Endl.
Anthocercis fasciculata,F.Muell.
Anthocercis genistoides,Miers
Anthocercis gracilis,Benth.
Anthocercis ilicifolia,Hook.
Anthocercis intricata,F.Muell.
Anthocercis littorea,Labill.
Anthocercis sp. Shark Bay (T.E.H.Aplin 3335),WA Herbarium
Anthocercis sylvicola,T.D.Macfarl. & Ward.-Johnson
Anthocercis x tenuipes,Gand.
Anthocercis viscosa,R.Br.
Anthotroche myoporoides,C.A.Gardner
Anthotroche pannosa,Endl.
Anthotroche walcottii,F.Muell.
Browallia americana,L.
Brugmansia x candida,Pers.
Brugmansia suaveolens,(Humb. & Bonpl. ex Willd.) Bercht. & J.Presl
Brunfelsia australis,Benth.
Calibrachoa parviflora,(Juss.) D'Arcy
Capsicum annuum,L.
Capsicum frutescens,L.
Cestrum aurantiacum,Lindl.
Cestrum x cultum,Francey
Cestrum elegans,(Brongn. ex Neumann) Schltdl.
Cestrum fasciculatum,(Schltdl.) Miers
Cestrum nocturnum,L.
Cestrum parqui,L'Hér.
Crenidium spinescens,Haegi
Cyphanthera albicans,(A.Cunn.) Miers
Cyphanthera anthocercidea,(F.Muell.) Haegi
Cyphanthera x cuneata,Miers
Cyphanthera x frondosa,Miers
Cyphanthera microphylla,Miers
Cyphanthera miersiana,Haegi
Cyphanthera myosotidea,(F.Muell.) Haegi
Cyphanthera odgersii,(F.Muell.) Haegi
Cyphanthera racemosa,(F.Muell.) Haegi
Cyphanthera scabrella,(Benth.) Miers
Cyphanthera tasmanica,Miers
Datura ferox,L.
Datura innoxia,Mill.
Datura leichhardtii,F.Muell. ex Benth.
Datura metel,L.
Datura stramonium,L.
Datura wrightii,Regel
Duboisia arenitensis,"Craven, Lepschi & Haegi"
Duboisia hopwoodii,(F.Muell.) F.Muell.
Duboisia leichhardtii,(F.Muell.) F.Muell.
