No #,Sample,name_matched,Category,Site,Property,Cleared/Remnant,Xylem,Date,Al mg/kg,B mg/kg,Ca mg/kg,Cu mg/kg,Fe mg/kg,K mg/kg,Mg mg/kg,Mn mg/kg,Na mg/kg,P mg/kg,S mg/kg,Zn mg/kg,%N,%C,15N,13C,native_status,C3C4,Nfixer,growth form,leaf_type,deciduous/evergreen
55,Ironbark (shrub),Eucalyptus melanophloia,Tree,10C,Summerdell,Cleared,NA,Nov,19,85,9742.876929,5,201,9143.4,3174.4,841,20,571.527503,871.0922042,7,0.7737,45.2344,0.12,-29.53,NA,NA,NA,NA,NA,NA
56,Ironbark (shrub),Eucalyptus melanophloia,Tree,10C,Summerdell,Cleared,NA,Nov,21,121,8501.387237,6,261,6813,4442.8,849,37,734.5422117,826.2980579,12,0.9206,46.0647,0.69,-28.58,NA,NA,NA,NA,NA,NA
57,Ironbark (shrub),Eucalyptus melanophloia,Tree,10C,Summerdell,Cleared,NA,Nov,37,87,7782.510772,9,312,6730.6,4477.2,1149,53,648.2569526,854.1911477,9,0.8692,46.247,0.74,-29.25,NA,NA,NA,NA,NA,NA
58,Ironwood (A excelsa),Acacia excelsa,Tree,10R,Summerdell,Remnant,NA,Nov,21,29,5051.984127,12,116,4326,3368.3,255,36,423.3134921,990.8730159,13,1.7061,51.8237,-0.62,-28.02,NA,NA,NA,NA,NA,NA
59,Ironwood (A excelsa),Acacia excelsa,Tree,10R,Summerdell,Remnant,NA,Nov,33,35,5105.749899,6,264,9730.1,1837.9,128,52,453.5585042,1017.39043,14,1.7218,48.6489,-0.6,-29.05,NA,NA,NA,NA,NA,NA
104,Panicum effusum,Panicum effusum,Grass,10R,Summerdell,Remnant,NA,Feb,161,16,2899.511798,9,391,13179.1,3708.4,49,52,722.1318145,1082.485761,28,1.2136,40.5106,-0.63,-13.75,NA,NA,NA,NA,NA,NA
105,Panicum effusum,Panicum effusum,Grass,10C,Summerdell,Cleared,NA,Feb,201,13,2357.684631,12,1853,16300.1,3329.3,56,123,1531.936128,1030.439122,20,1.2577,39.1122,0.95,-13.48,NA,NA,NA,NA,NA,NA
108,Panicum effusum,Panicum effusum,Grass,1.5R,Summerdell,Remnant,NA,Feb,890,12,2542.068273,14,2704,15723.1,2989.3,30,62,1003.413655,1136.445783,12,1.1755,38.7919,2.37,-13.07,NA,NA,NA,NA,NA,NA
61,Poplar box,Eucalyptus populnea,Tree,10C,Summerdell,Cleared,NA,Nov,11,95,15702.40481,9,187,10794.1,2568.2,2744,14,793.8877756,1156.312625,13,1.1597,46.6882,1.1,-27.83,NA,NA,NA,NA,NA,NA
62,Proteacea #1,Proteaceae,Tree,10R,Summerdell,Remnant,y,Nov,12,23,9400.863801,5,121,6418.1,3747.2,1034,210,321.4142226,3586.179188,8,0.7419,44.9666,4.01,-27.58,NA,NA,NA,NA,NA,NA
63,Proteacea #2,Proteaceae,Tree,10R,Summerdell,Remnant,y,Nov,10,20,6223.653396,5,167,8194.3,3030.5,1011,247,307.6697892,2654.274005,-1,0.6764,45.4052,4.04,-28,NA,NA,NA,NA,NA,NA
25,repeat Acacia #2 (24),Acacia excelsa,Tree,1.5R,Summerdell,Remnant,NA,Nov,172,34,7487.451362,31,71,11783.1,3573.2,22,235,485.311284,1019.747082,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,repeat Spinifex 11 (10R),Triodia sp.,Grass,10R,Summerdell,Remnant,NA,Nov,97,1,1254.233512,11,341,2679.3,275.3,320,105,455.2139037,1096.033868,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,Spinifex,Triodia sp.,Grass,10C,Summerdell,Cleared,NA,Nov,148,12,1374.624625,6,559,10632.1,1333.2,363,178,846.1899399,1362.518769,16,0.8441,42.7552,0.02,-14.05,NA,NA,NA,NA,NA,NA
11,Spinifex,Triodia sp.,Grass,10R,Summerdell,Remnant,NA,Nov,104,10,1206.662736,6,362,6022.6,786.5,319,193,478.4787736,1177.279874,7,0.7535,44.6194,-0.07,-14.85,NA,NA,NA,NA,NA,NA
14,Spinifex,Triodia sp.,Grass,1.5C,Summerdell,Cleared,NA,Nov,263,5,932.3575949,6,247,7580.6,990.2,160,145,648.0419304,1507.219146,8,0.6815,42.234,2.24,-13.6,NA,NA,NA,NA,NA,NA
15,Spinifex,Triodia sp.,Grass,1.5R,Summerdell,Remnant,NA,Nov,82,21,915.4,7,153,7003.1,743.8,92,270,706.6,1108.7,24,0.8640,43.467,1.32,-14.29,NA,NA,NA,NA,NA,NA
112,Spinifex,Triodia sp.,Grass,10C,Summerdell,Cleared,NA,Feb,55,5,2236.58441,5,84,11262.1,1251.3,204,374,612.6126126,1230.904818,7,0.7795,41.0552,-0.05,-13.77,NA,NA,NA,NA,NA,NA
113,Spinifex,Triodia sp.,Grass,10R,Summerdell,Remnant,NA,Feb,33,16,2294.099633,6,213,10360.1,1309.3,232,229,696.7129441,1569.109841,9,0.9131,41.0517,3.17,-13.81,NA,NA,NA,NA,NA,NA
116,Spinifex,Triodia sp.,Grass,1.5C,Summerdell,Cleared,NA,Feb,215,11,1548.88933,7,600,10491.1,912.3,145,482,604.7203491,1703.292344,9,0.9177,40.6086,2.77,-13.39,NA,NA,NA,NA,NA,NA
117,Spinifex,Triodia sp.,Grass,1.5R,Summerdell,Remnant,NA,Feb,200,6,2132.77605,7,798,9893.5,943,190,195,451.0108865,2267.398911,13,0.6011,39.3213,6.03,-13.48,NA,NA,NA,NA,NA,NA
120,Themeda triandra,Themeda triandra,Grass,10C,Summerdell,Cleared,NA,Feb,7,10,1729.356888,8,139,12267.1,1995.8,71,13,1056.173085,699.186185,7,0.9912,41.2881,0.67,-12.32,NA,NA,NA,NA,NA,NA
121,Themeda triandra,Themeda triandra,Grass,10R,Summerdell,Remnant,NA,Feb,69,18,3161.3,9,406,7223.1,3708.4,60,50,815.6,966.9,10,0.9857,38.9664,0.69,-12.64,NA,NA,NA,NA,NA,NA
123,Themeda triandra,Themeda triandra,Grass,1.5C,Summerdell,Cleared,NA,Feb,1758,10,2153.005464,17,5047,8602.2,2092,71,71,965.3916211,1056.807832,26,no sample vial,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,Themeda triandra,Themeda triandra,Grass,1.5R,Summerdell,Remnant,NA,Feb,132,11,2151.219992,9,1047,9407.8,3264.9,37,23,664.8957104,755.9031877,6,0.8047,39.4305,0.76,-12.88,NA,NA,NA,NA,NA,NA
65,Uniden (Acacia) - spikey,Acacia sp.,Tree,10R,Summerdell,Remnant,NA,Nov,170,260,12591.74312,9,334,9933.2,2734.2,298,379,612.7842042,1289.090546,46,1.0244,48.8113,-0.09,-28.44,NA,NA,NA,NA,NA,NA
66,Uniden (Acacia) - spikey,Acacia sp.,Tree,1.5R,Summerdell,Remnant,NA,Nov,26,168,12900.55249,11,86,18363.1,1778.9,178,115,512.726914,1817.778216,31,0.9365,46.6615,1.18,-28.65,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Acacia excelsa,NA,NA,Monklands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C3,Y,T,B,E
NA,NA,Allocasuarina luehmannii,NA,NA,Monklands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C3,N,T,N,E
NA,NA,Aristida calycina,NA,NA,Monklands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C4,N,G,B,E
NA,NA,Aristida holathera,NA,NA,Monklands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C4,N,G,B,E
NA,NA,Bothriochloa ewartiana,NA,NA,Monklands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C4,N,G,B,E
NA,NA,Chrysopogon fallax,NA,NA,Monklands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C4,N,G,B,E
NA,NA,Cymbopogon refractus,NA,NA,Monklands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C4,N,G,B,E
NA,NA,Digitaria ammophila,NA,NA,Monklands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C4,N,G,B,E
NA,NA,Eucalyptus Melanophloia,NA,NA,Monklands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C3,N,T,B,E
NA,NA,Hakea sp.,NA,NA,Monklands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C3,N,T,B,E
NA,NA,Panicum effusum,NA,NA,Monklands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C4,N,G,B,E
NA,NA,Themeda triandra,NA,NA,Monklands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C4,N,G,B,E
NA,NA,Triodia sp.,NA,NA,Monklands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C4,N,G,B,E
NA,NA,Acacia coriacea,NA,NA,Summerdell,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C3,Y,T,B,E
NA,NA,Acacia excelsa,NA,NA,Summerdell,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C3,Y,T,B,E
NA,NA,Allocasuarina luehmannii,NA,NA,Summerdell,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C3,N,T,N,E
NA,NA,Aristida holathera,NA,NA,Summerdell,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C4,N,G,B,E
NA,NA,Chrysopogon fallax,NA,NA,Summerdell,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C4,N,G,B,E
NA,NA,Cymbopogon refractus,NA,NA,Summerdell,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C4,N,G,B,E
NA,NA,Digitaria ammophila,NA,NA,Summerdell,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C4,N,G,B,E
NA,NA,Eucalyptus Melanophloia,NA,NA,Summerdell,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C3,N,T,B,E
NA,NA,Eucalyptus populnea,NA,NA,Summerdell,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C3,N,T,B,E
NA,NA,Hakea sp.,NA,NA,Summerdell,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C3,N,T,B,E
NA,NA,Heteropogon contortus,NA,NA,Summerdell,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C4,N,G,B,E
NA,NA,Panicum effusum,NA,NA,Summerdell,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C4,N,G,B,E
NA,NA,Themeda triandra,NA,NA,Summerdell,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C4,N,G,B,E
NA,NA,Triodia sp.,NA,NA,Summerdell,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C4,N,G,B,E
