Family,taxa,presowtreat,germmedium,germcond,germnotes,refdesc,germination_percent,seeds_sown,germination_treatment
COMPOSITAE,Erymophyllum ramosum subsp. ramosum,NA,germination medium: 1% agar,germination conditions: light 8/16; 25°C; 28 days,NA,"RBG Kew, Wakehurst Place.",90,20,NA
COMPOSITAE,Erymophyllum ramosum subsp. ramosum,NA,germination medium: 1% agar,germination conditions: light 8/16; 15°C; 35 days,NA,"RBG Kew, Wakehurst Place.",95,20,NA
COMPOSITAE,Euchiton sphaericus,NA,germination medium: 1% agar,germination conditions: light 8/16; 15°C; 14 days,NA,"RBG Kew, Wakehurst Place.",100,20,NA
COMPOSITAE,Euchiton sphaericus,NA,germination medium: 1% agar,germination conditions: light 8/16; 25/15°C (Therm 8/16); 42 days,NA,"RBG Kew, Wakehurst Place.",75,20,NA
COMPOSITAE,Euchiton sphaericus,NA,germination medium: 1% agar,germination conditions: light 8/16; 20°C; 56 days,NA,"RBG Kew, Wakehurst Place.",90,20,NA
COMPOSITAE,Euchiton traversii,NA,germination medium: 1% agar,germination conditions: light 10/14; 20°C; 14 days,NA,"RBG Kew, Wakehurst Place.",100,20,NA
COMPOSITAE,Euchiton traversii,NA,germination medium: 1% agar,germination conditions: light 10/14; 27/15°C (Therm 10/14); 21 days,NA,"RBG Kew, Wakehurst Place.",100,20,NA
COMPOSITAE,Euchiton traversii,NA,germination medium: 1% agar,germination conditions: light 10/14; 15°C; 28 days,NA,"RBG Kew, Wakehurst Place.",95,20,NA
COMPOSITAE,Flaveria trinervia,NA,germination medium: 1% agar,germination conditions: light 8/16; 10°C; 35 days,NA,"RBG Kew, Wakehurst Place.",100,10,NA
COMPOSITAE,Flaveria trinervia,NA,germination medium: 1% agar,germination conditions: light 8/16; 15°C; 14 days,NA,"RBG Kew, Wakehurst Place.",100,10,NA
COMPOSITAE,Flaveria trinervia,NA,germination medium: 1% agar,germination conditions: light 8/16; 25°C; 30 days,NA,"RBG Kew, Wakehurst Place.",100,10,NA
COMPOSITAE,Flaveria trinervia,NA,germination medium: 1% agar,germination conditions: light 8/16; 35/20°C (Therm 8/16); 9 days,NA,"RBG Kew, Wakehurst Place.",100,10,NA
COMPOSITAE,Flaveria trinervia,pre-sowing: mechanical manipulation (other covering structure (not seed coat) removed or partially removed. covering structure removed),germination medium: 1% agar,germination conditions: light 8/16; 20°C; 7 days,NA,"RBG Kew, Wakehurst Place.",100,19,scarify_fruit
COMPOSITAE,Flaveria trinervia,NA,germination medium: 1% agar,germination conditions: light 12/12; 16°C,NA,"RBG Kew, Wakehurst Place.",100,20,NA
COMPOSITAE,Flaveria trinervia,NA,germination medium: 1% agar,germination conditions: light 8/16; 15°C; 21 days,NA,"RBG Kew, Wakehurst Place.",100,20,NA
COMPOSITAE,Flaveria trinervia,pre-sowing: mechanical manipulation (other covering structure (not seed coat) removed or partially removed. covering structure removed),germination medium: 1% agar,germination conditions: light 8/16; 25°C; 7 days,NA,"RBG Kew, Wakehurst Place.",100,20,scarify_fruit
COMPOSITAE,Flaveria trinervia,NA,germination medium: 1% agar,germination conditions: light 8/16; 20°C; 49 days,NA,"RBG Kew, Wakehurst Place.",100,48,NA
COMPOSITAE,Flaveria trinervia,NA,germination medium: 1% agar,germination conditions: light 8/16; 25°C; 42 days,NA,"RBG Kew, Wakehurst Place.",100,49,NA
COMPOSITAE,Flaveria trinervia,NA,germination medium: 1% agar,germination conditions: light 8/16; 15°C; 14 days,NA,"RBG Kew, Wakehurst Place.",100,50,NA
COMPOSITAE,Flaveria trinervia,NA,germination medium: 1% agar,germination conditions: light 8/16; 10°C; 35 days,NA,"RBG Kew, Wakehurst Place.",84,50,NA
COMPOSITAE,Flaveria trinervia,NA,germination medium: 1% agar,germination conditions: light 8/16; 25°C; 35 days,NA,"RBG Kew, Wakehurst Place.",94,50,NA
COMPOSITAE,Flaveria trinervia,pre-sowing: mechanical manipulation (other covering structure (not seed coat) removed or partially removed. covering structure removed),germination medium: 1% agar,germination conditions: light 8/16; 15°C; 7 days,NA,"RBG Kew, Wakehurst Place.",95,20,scarify_fruit
COMPOSITAE,Flaveria trinervia,NA,germination medium: 1% agar,germination conditions: light 8/16; 15°C; 35 days,NA,"RBG Kew, Wakehurst Place.",96,50,NA
COMPOSITAE,Flaveria trinervia,NA,germination medium: 1% agar,germination conditions: light 8/16; 10°C; 98 days,NA,"RBG Kew, Wakehurst Place.",98,47,NA
COMPOSITAE,Gilberta tenuifolia,NA,germination medium: 1% agar,germination conditions: light 8/16; 25°C; 7 days,NA,"RBG Kew, Wakehurst Place.",100,20,NA
COMPOSITAE,Gilberta tenuifolia,NA,germination medium: 1% agar,germination conditions: light 8/16; 20°C; 42 days,NA,"RBG Kew, Wakehurst Place.",95,19,NA
COMPOSITAE,Gilberta tenuifolia,NA,germination medium: 1% agar,germination conditions: light 8/16; 15°C; 42 days,NA,"RBG Kew, Wakehurst Place.",95,20,NA
COMPOSITAE,Glossocardia bidens,NA,germination medium: 1% agar,germination conditions: light 8/16; 15°C; 35 days,NA,"RBG Kew, Wakehurst Place.",100,16,NA
COMPOSITAE,Glossocardia bidens,NA,germination medium: 1% agar,germination conditions: light 8/16; 35/20°C (Therm 8/16); 35 days,NA,"RBG Kew, Wakehurst Place.",100,16,NA
COMPOSITAE,Glossocardia bidens,NA,germination medium: 1% agar,germination conditions: light 8/16; 20°C; 21 days,NA,"RBG Kew, Wakehurst Place.",100,18,NA
COMPOSITAE,Glossocardia bidens,NA,germination medium: 1% agar,germination conditions: light 8/16; 25°C; 21 days,NA,"RBG Kew, Wakehurst Place.",100,18,NA
COMPOSITAE,Gnaphalium diamantinense,NA,germination medium: 1% agar,germination conditions: light 8/16; 20°C; 126 days,NA,"RBG Kew, Wakehurst Place.",71,17,NA
COMPOSITAE,Gnaphalium diamantinense,NA,germination medium: 1% agar,germination conditions: light 8/16; 35/20°C (Therm 8/16); 126 days,NA,"RBG Kew, Wakehurst Place.",91,22,NA
COMPOSITAE,Gnephosis angianthoides,NA,germination medium: 1% agar,germination conditions: light 8/16; 25°C; 252 days,NA,"RBG Kew, Wakehurst Place.",73,41,NA
COMPOSITAE,Gnephosis arachnoidea,NA,germination medium: 1% agar,germination conditions: light 8/16; 20°C; 42 days,NA,"RBG Kew, Wakehurst Place.",80,20,NA
COMPOSITAE,Gnephosis arachnoidea,NA,germination medium: 1% agar,germination conditions: light 8/16; 15°C; 42 days,NA,"RBG Kew, Wakehurst Place.",85,20,NA
COMPOSITAE,Gnephosis arachnoidea,NA,germination medium: 1% agar,germination conditions: light 8/16; 10°C; 42 days,NA,"RBG Kew, Wakehurst Place.",95,20,NA
COMPOSITAE,Gnephosis eriocarpa,NA,germination medium: 1% agar,germination conditions: light 8/16; 15°C; 7 days,NA,"RBG Kew, Wakehurst Place.",100,20,NA
COMPOSITAE,Gnephosis eriocarpa,NA,germination medium: 1% agar,germination conditions: light 8/16; 20°C; 7 days,NA,"RBG Kew, Wakehurst Place.",100,20,NA
COMPOSITAE,Gnephosis tenuissima,NA,germination medium: 1% agar,germination conditions: light 8/16; 15°C; 56 days,NA,"RBG Kew, Wakehurst Place.",50,20,NA
COMPOSITAE,Helichrysum calvertianum,NA,germination medium: 1% agar,germination conditions: light 8/16; 15°C; 49 days,NA,"RBG Kew, Wakehurst Place.",63,19,NA
COMPOSITAE,Helichrysum leucopsideum,NA,germination medium: 1% agar,germination conditions: light 8/16; 15°C; 14 days,NA,"RBG Kew, Wakehurst Place.",100,20,NA
COMPOSITAE,Helichrysum leucopsideum,NA,germination medium: 1% agar,germination conditions: light 8/16; 20°C; 14 days,NA,"RBG Kew, Wakehurst Place.",100,20,NA
COMPOSITAE,Helichrysum leucopsideum,NA,germination medium: 1% agar,germination conditions: light 8/16; 25°C; 56 days,NA,"RBG Kew, Wakehurst Place.",95,20,NA
COMPOSITAE,Hyalosperma demissum,NA,germination medium: 1% agar,germination conditions: light 8/16; 15°C; 49 days,NA,"RBG Kew, Wakehurst Place.",79,19,NA
COMPOSITAE,Hyalosperma glutinosum subsp. glutinosum,NA,germination medium: 1% agar,germination conditions: light 8/16; 15°C; 7 days,NA,"RBG Kew, Wakehurst Place.",100,20,NA
COMPOSITAE,Hyalosperma glutinosum subsp. glutinosum,NA,germination medium: 1% agar,germination conditions: light 8/16; 20°C; 49 days,NA,"RBG Kew, Wakehurst Place.",90,20,NA
COMPOSITAE,Ixiochlamys filicifolia,NA,germination medium: 1% agar,germination conditions: light 8/16; 20°C; 42 days,NA,"RBG Kew, Wakehurst Place.",100,17,NA
COMPOSITAE,Ixiochlamys filicifolia,NA,germination medium: 1% agar,germination conditions: light 8/16; 35/20°C (Therm 8/16); 42 days,NA,"RBG Kew, Wakehurst Place.",75,12,NA
COMPOSITAE,Ixiochlamys filicifolia,NA,germination medium: 1% agar,germination conditions: light 8/16; 15°C; 42 days,NA,"RBG Kew, Wakehurst Place.",92,12,NA
COMPOSITAE,Ixiochlamys filicifolia,NA,germination medium: 1% agar,germination conditions: light 8/16; 25°C; 42 days,NA,"RBG Kew, Wakehurst Place.",93,15,NA
COMPOSITAE,Ixiochlamys integerrima,NA,germination medium: 1% agar,germination conditions: light 8/16; 25°C; 28 days,NA,"RBG Kew, Wakehurst Place.",79,19,NA
COMPOSITAE,Ixiochlamys integerrima,NA,germination medium: 1% agar,germination conditions: light 8/16; 35/20°C (Therm 8/16); 28 days,NA,"RBG Kew, Wakehurst Place.",79,19,NA
COMPOSITAE,Ixiochlamys integerrima,NA,germination medium: 1% agar,germination conditions: light 8/16; 20°C; 28 days,NA,"RBG Kew, Wakehurst Place.",84,19,NA
COMPOSITAE,Ixiochlamys integerrima,NA,germination medium: 1% agar,germination conditions: light 8/16; 15°C; 28 days,NA,"RBG Kew, Wakehurst Place.",94,18,NA
COMPOSITAE,Ixodia flindersica,NA,germination medium: 1% agar,germination conditions: light 8/16; 10°C; 49 days,NA,"RBG Kew, Wakehurst Place.",61,18,NA
COMPOSITAE,Ixodia flindersica,NA,germination medium: 1% agar,germination conditions: light 8/16; 20°C; 49 days,NA,"RBG Kew, Wakehurst Place.",79,19,NA
COMPOSITAE,Ixodia flindersica,NA,germination medium: 1% agar,germination conditions: light 8/16; 15°C; 49 days,NA,"RBG Kew, Wakehurst Place.",80,20,NA
COMPOSITAE,Kippistia suaedifolia,NA,germination medium: 1% agar,germination conditions: light 8/16; 15°C; 35 days,NA,"RBG Kew, Wakehurst Place.",100,17,NA
COMPOSITAE,Kippistia suaedifolia,NA,germination medium: 1% agar,germination conditions: light 8/16; 25°C; 35 days,NA,"RBG Kew, Wakehurst Place.",63,19,NA
COMPOSITAE,Kippistia suaedifolia,NA,germination medium: 1% agar,germination conditions: light 8/16; 20°C; 35 days,NA,"RBG Kew, Wakehurst Place.",72,18,NA
COMPOSITAE,Lagenophora gracilis,NA,germination medium: 1% agar,germination conditions: light 8/16; 20°C; 21 days,NA,"RBG Kew, Wakehurst Place.",100,19,NA
COMPOSITAE,Lagenophora gracilis,NA,germination medium: 1% agar,germination conditions: light 8/16; 25°C; 21 days,NA,"RBG Kew, Wakehurst Place.",100,19,NA
COMPOSITAE,Lagenophora gracilis,NA,germination medium: 1% agar,germination conditions: light 8/16; 15°C; 14 days,NA,"RBG Kew, Wakehurst Place.",100,20,NA
COMPOSITAE,Lagenophora huegelii,NA,germination medium: 1% agar,germination conditions: light 8/16; 25°C; 42 days,NA,"RBG Kew, Wakehurst Place.",100,19,NA
COMPOSITAE,Lagenophora huegelii,NA,germination medium: 1% agar,germination conditions: light 8/16; 15°C; 21 days,NA,"RBG Kew, Wakehurst Place.",100,20,NA
COMPOSITAE,Lagenophora huegelii,NA,germination medium: 1% agar,germination conditions: light 8/16; 20°C; 21 days,NA,"RBG Kew, Wakehurst Place.",100,20,NA
COMPOSITAE,Lawrencella davenportii,NA,germination medium: 1% agar,germination conditions: light 8/16; 25°C; 28 days,NA,"RBG Kew, Wakehurst Place.",50,18,NA
COMPOSITAE,Lawrencella davenportii,NA,germination medium: 1% agar,germination conditions: light 8/16; 20°C; 49 days,NA,"RBG Kew, Wakehurst Place.",53,19,NA
COMPOSITAE,Lawrencella davenportii,NA,germination medium: 1% agar,germination conditions: light 8/16; 15°C; 28 days,NA,"RBG Kew, Wakehurst Place.",74,19,NA
COMPOSITAE,Lawrencella davenportii,NA,germination medium: 1% agar,germination conditions: light 8/16; 20°C; 28 days,NA,"RBG Kew, Wakehurst Place.",84,19,NA
COMPOSITAE,Lawrencella rosea,NA,germination medium: 1% agar,germination conditions: light 8/16; 15°C; 35 days,NA,"RBG Kew, Wakehurst Place.",75,20,NA
COMPOSITAE,Lawrencella rosea,NA,germination medium: 1% agar,germination conditions: light 8/16; 25°C; 35 days,NA,"RBG Kew, Wakehurst Place.",90,20,NA
COMPOSITAE,Lawrencella rosea,NA,germination medium: 1% agar,germination conditions: light 8/16; 20°C; 35 days,NA,"RBG Kew, Wakehurst Place.",95,20,NA
COMPOSITAE,Leiocarpa brevicompta,NA,germination medium: 1% agar,germination conditions: light 8/16; 15°C; 49 days,NA,"RBG Kew, Wakehurst Place.",100,19,NA
COMPOSITAE,Leiocarpa brevicompta,NA,germination medium: 1% agar,germination conditions: light 8/16; 25°C; 49 days,NA,"RBG Kew, Wakehurst Place.",61,18,NA
COMPOSITAE,Leiocarpa brevicompta,NA,germination medium: 1% agar,germination conditions: light 8/16; 10°C; 49 days,NA,"RBG Kew, Wakehurst Place.",88,16,NA
COMPOSITAE,Leiocarpa brevicompta,NA,germination medium: 1% agar,germination conditions: light 8/16; 20°C; 49 days,NA,"RBG Kew, Wakehurst Place.",89,19,NA
COMPOSITAE,Leiocarpa leptolepis,NA,germination medium: 1% agar,germination conditions: light 8/16; 15°C; 42 days,NA,"RBG Kew, Wakehurst Place.",100,15,NA
COMPOSITAE,Leiocarpa leptolepis,NA,germination medium: 1% agar,germination conditions: light 8/16; 10°C; 21 days,NA,"RBG Kew, Wakehurst Place.",100,20,NA
COMPOSITAE,Leiocarpa leptolepis,NA,germination medium: 1% agar,germination conditions: light 8/16; 20°C; 42 days,NA,"RBG Kew, Wakehurst Place.",50,14,NA
COMPOSITAE,Leiocarpa leptolepis,NA,germination medium: 1% agar,germination conditions: light 8/16; 15°C; 28 days,NA,"RBG Kew, Wakehurst Place.",89,18,NA
COMPOSITAE,Leiocarpa leptolepis,NA,germination medium: 1% agar,germination conditions: light 8/16; 20°C; 28 days,NA,"RBG Kew, Wakehurst Place.",94,18,NA
COMPOSITAE,Leiocarpa semicalva,NA,germination medium: 1% agar,germination conditions: light 8/16; 25°C; 28 days,NA,"RBG Kew, Wakehurst Place.",100,19,NA
COMPOSITAE,Leiocarpa semicalva,NA,germination medium: 1% agar,germination conditions: light 8/16; 20°C; 28 days,NA,"RBG Kew, Wakehurst Place.",89,19,NA
COMPOSITAE,Leiocarpa semicalva,NA,germination medium: 1% agar,germination conditions: light 8/16; 15°C; 14 days,NA,"RBG Kew, Wakehurst Place.",95,20,NA
COMPOSITAE,Leiocarpa semicalva subsp. semicalva,NA,germination medium: 1% agar,germination conditions: light 12/12; 15°C; 49 days,NA,"RBG Kew, Wakehurst Place.",86,51,NA
COMPOSITAE,Leiocarpa serpens,NA,germination medium: 1% agar,germination conditions: light 8/16; 20°C; 139 days,NA,"RBG Kew, Wakehurst Place.",54,26,NA
COMPOSITAE,Leiocarpa serpens,NA,germination medium: 1% agar,germination conditions: light 8/16; 15°C; 139 days,NA,"RBG Kew, Wakehurst Place.",79,33,NA
COMPOSITAE,Leiocarpa supina,NA,germination medium: 1% agar,germination conditions: light 8/16; 20°C; 42 days,NA,"RBG Kew, Wakehurst Place.",100,18,NA
COMPOSITAE,Leiocarpa supina,NA,germination medium: 1% agar,germination conditions: light 8/16; 15°C; 42 days,NA,"RBG Kew, Wakehurst Place.",100,19,NA
COMPOSITAE,Leiocarpa supina,NA,germination medium: 1% agar,germination conditions: light 8/16; 25°C; 84 days,NA,"RBG Kew, Wakehurst Place.",82,17,NA
COMPOSITAE,Leiocarpa websteri,NA,germination medium: 1% agar,germination conditions: light 8/16; 25°C; 42 days,NA,"RBG Kew, Wakehurst Place.",100,17,NA
COMPOSITAE,Leiocarpa websteri,NA,germination medium: 1% agar,germination conditions: light 8/16; 20°C; 14 days,NA,"RBG Kew, Wakehurst Place.",100,18,NA
COMPOSITAE,Leiocarpa websteri,NA,germination medium: 1% agar,germination conditions: light 8/16; 25°C; 42 days,NA,"RBG Kew, Wakehurst Place.",71,17,NA
COMPOSITAE,Leiocarpa websteri,NA,germination medium: 1% agar,germination conditions: light 8/16; 20°C; 42 days,NA,"RBG Kew, Wakehurst Place.",76,17,NA
COMPOSITAE,Leiocarpa websteri,NA,germination medium: 1% agar,germination conditions: light 8/16; 15°C; 42 days,NA,"RBG Kew, Wakehurst Place.",88,16,NA
COMPOSITAE,Leiocarpa websteri,NA,germination medium: 1% agar,germination conditions: light 8/16; 15°C; 42 days,NA,"RBG Kew, Wakehurst Place.",88,17,NA
COMPOSITAE,Leptorhynchos elongatus,NA,germination medium: 1% agar,germination conditions: light 8/16; 15°C; 7 days,NA,"RBG Kew, Wakehurst Place.",100,20,NA
COMPOSITAE,Leptorhynchos elongatus,NA,germination medium: 1% agar,germination conditions: light 8/16; 20°C; 21 days,NA,"RBG Kew, Wakehurst Place.",90,20,NA
COMPOSITAE,Leptorhynchos melanocarpus,NA,germination medium: 1% agar,germination conditions: light 8/16; 15°C; 49 days,NA,"RBG Kew, Wakehurst Place.",100,17,NA
COMPOSITAE,Leptorhynchos melanocarpus,NA,germination medium: 1% agar,germination conditions: light 8/16; 20°C; 35 days,NA,"RBG Kew, Wakehurst Place.",100,19,NA
COMPOSITAE,Leptorhynchos melanocarpus,NA,germination medium: 1% agar,germination conditions: light 8/16; 25/10°C (Therm 8/16); 49 days,NA,"RBG Kew, Wakehurst Place.",100,19,NA
COMPOSITAE,Leptorhynchos squamatus subsp. alpinus,NA,germination medium: 1% agar,germination conditions: light 8/16; 20°C; 42 days,NA,"RBG Kew, Wakehurst Place.",79,19,NA
COMPOSITAE,Leptorhynchos squamatus subsp. alpinus,NA,germination medium: 1% agar,germination conditions: light 8/16; 25°C; 42 days,NA,"RBG Kew, Wakehurst Place.",89,18,NA
COMPOSITAE,Leptorhynchos squamatus subsp. alpinus,NA,germination medium: 1% agar,germination conditions: light 8/16; 15°C; 42 days,NA,"RBG Kew, Wakehurst Place.",90,20,NA
COMPOSITAE,Leptorhynchos squamatus subsp. squamatus,NA,germination medium: 1% agar,germination conditions: light 8/16; 20°C; 42 days,NA,"RBG Kew, Wakehurst Place.",100,19,NA
COMPOSITAE,Leptorhynchos squamatus subsp. squamatus,NA,germination medium: 1% agar,germination conditions: light 8/16; 15°C; 28 days,NA,"RBG Kew, Wakehurst Place.",100,20,NA
COMPOSITAE,Leptorhynchos tenuifolius,NA,germination medium: 1% agar,germination conditions: light 8/16; 20°C; 35 days,NA,"RBG Kew, Wakehurst Place.",53,19,NA
COMPOSITAE,Leptorhynchos tenuifolius,NA,germination medium: 1% agar,germination conditions: light 8/16; 15°C; 35 days,NA,"RBG Kew, Wakehurst Place.",84,19,NA
COMPOSITAE,Leptorhynchos waitzia,NA,germination medium: 1% agar,germination conditions: light 8/16; 20°C; 154 days,NA,"RBG Kew, Wakehurst Place.",86,14,NA
COMPOSITAE,Leucochrysum stipitatum,NA,germination medium: 1% agar,germination conditions: light 8/16; 15°C; 42 days,NA,"RBG Kew, Wakehurst Place.",50,14,NA
COMPOSITAE,Leucochrysum stipitatum,NA,germination medium: 1% agar,germination conditions: light 8/16; 10°C; 42 days,NA,"RBG Kew, Wakehurst Place.",65,20,NA
COMPOSITAE,Leucochrysum stipitatum,NA,germination medium: 1% agar,germination conditions: light 8/16; 25°C; 42 days,NA,"RBG Kew, Wakehurst Place.",69,16,NA
COMPOSITAE,Leucochrysum stipitatum,NA,germination medium: 1% agar,germination conditions: light 8/16; 15°C; 42 days,NA,"RBG Kew, Wakehurst Place.",80,20,NA
COMPOSITAE,Leucochrysum stipitatum,NA,germination medium: 1% agar,germination conditions: light 8/16; 20°C; 42 days,NA,"RBG Kew, Wakehurst Place.",85,20,NA
COMPOSITAE,Leucochrysum stipitatum,NA,germination medium: 1% agar,germination conditions: light 8/16; 20°C; 42 days,NA,"RBG Kew, Wakehurst Place.",86,14,NA
COMPOSITAE,Leucophyta brownii,NA,germination medium: 1% agar,germination conditions: light 8/16; 25°C; 21 days,NA,"RBG Kew, Wakehurst Place.",100,20,NA
COMPOSITAE,Leucophyta brownii,NA,germination medium: 1% agar,germination conditions: light 8/16; 20°C; 28 days,NA,"RBG Kew, Wakehurst Place.",90,20,NA
COMPOSITAE,Leucophyta brownii,NA,germination medium: 1% agar,germination conditions: light 8/16; 15°C; 28 days,NA,"RBG Kew, Wakehurst Place.",95,20,NA
COMPOSITAE,Microseris lanceolata,NA,germination medium: 1% agar,germination conditions: light 8/16; 10°C; 56 days,NA,"RBG Kew, Wakehurst Place.",100,19,NA
COMPOSITAE,Microseris lanceolata,NA,germination medium: 1% agar,germination conditions: light 8/16; 20°C; 56 days,NA,"RBG Kew, Wakehurst Place.",65,17,NA
COMPOSITAE,Microseris lanceolata,NA,germination medium: 1% agar,germination conditions: light 8/16; 15°C; 56 days,NA,"RBG Kew, Wakehurst Place.",95,20,NA
COMPOSITAE,Millotia major,NA,germination medium: 1% agar,germination conditions: light 8/16; 20°C; 49 days,NA,"RBG Kew, Wakehurst Place.",50,20,NA
COMPOSITAE,Millotia major,NA,germination medium: 1% agar,germination conditions: light 8/16; 15°C; 49 days,NA,"RBG Kew, Wakehurst Place.",60,20,NA
COMPOSITAE,Minuria cunninghamii,NA,germination medium: 1% agar,germination conditions: light 8/16; 15°C; 7 days,NA,"RBG Kew, Wakehurst Place.",100,19,NA
COMPOSITAE,Minuria cunninghamii,NA,germination medium: 1% agar,germination conditions: light 8/16; 20°C; 7 days,NA,"RBG Kew, Wakehurst Place.",85,20,NA
COMPOSITAE,Minuria denticulata,NA,germination medium: 1% agar,germination conditions: light 8/16; 20°C; 21 days,NA,"RBG Kew, Wakehurst Place.",100,20,NA
COMPOSITAE,Minuria denticulata,NA,germination medium: 1% agar,germination conditions: light 8/16; 15°C; 56 days,NA,"RBG Kew, Wakehurst Place.",85,20,NA
COMPOSITAE,Minuria denticulata,NA,germination medium: 1% agar,germination conditions: light 8/16; 25°C; 56 days,NA,"RBG Kew, Wakehurst Place.",85,20,NA
COMPOSITAE,Minuria integerrima,NA,germination medium: 1% agar,germination conditions: light 8/16; 15°C; 42 days,NA,"RBG Kew, Wakehurst Place.",100,15,NA
COMPOSITAE,Minuria integerrima,NA,germination medium: 1% agar,germination conditions: light 8/16; 15°C; 14 days,NA,"RBG Kew, Wakehurst Place.",100,20,NA
COMPOSITAE,Minuria integerrima,NA,germination medium: 1% agar,germination conditions: light 8/16; 20°C; 7 days,NA,"RBG Kew, Wakehurst Place.",100,20,NA
COMPOSITAE,Minuria integerrima,NA,germination medium: 1% agar,germination conditions: light 8/16; 25°C; 14 days,NA,"RBG Kew, Wakehurst Place.",100,20,NA
COMPOSITAE,Minuria integerrima,NA,germination medium: 1% agar,germination conditions: light 8/16; 25°C; 70 days,NA,"RBG Kew, Wakehurst Place.",65,20,NA
COMPOSITAE,Minuria integerrima,NA,germination medium: 1% agar,germination conditions: light 8/16; 30°C; 70 days,NA,"RBG Kew, Wakehurst Place.",70,20,NA
COMPOSITAE,Minuria integerrima,NA,germination medium: 1% agar,germination conditions: light 8/16; 10°C; 42 days,NA,"RBG Kew, Wakehurst Place.",95,20,NA
COMPOSITAE,Minuria integerrima,NA,germination medium: 1% agar,germination conditions: light 8/16; 20°C; 70 days,NA,"RBG Kew, Wakehurst Place.",95,20,NA
COMPOSITAE,Minuria leptophylla,NA,germination medium: 1% agar,germination conditions: light 8/16; 15°C; 42 days,NA,"RBG Kew, Wakehurst Place.",54,13,NA
COMPOSITAE,Minuria leptophylla,NA,germination medium: 1% agar,germination conditions: light 8/16; 20°C; 42 days,NA,"RBG Kew, Wakehurst Place.",54,13,NA
COMPOSITAE,Minuria leptophylla,NA,germination medium: 1% agar,germination conditions: light 8/16; 25°C; 42 days,NA,"RBG Kew, Wakehurst Place.",76,17,NA
COMPOSITAE,Minuria multiseta,NA,germination medium: 1% agar,germination conditions: light 8/16; 15°C; 7 days,NA,"RBG Kew, Wakehurst Place.",100,20,NA
COMPOSITAE,Minuria multiseta,NA,germination medium: 1% agar,germination conditions: light 8/16; 25°C; 7 days,NA,"RBG Kew, Wakehurst Place.",100,20,NA
COMPOSITAE,Minuria multiseta,NA,germination medium: 1% agar,germination conditions: light 8/16; 20°C; 21 days,NA,"RBG Kew, Wakehurst Place.",95,20,NA
COMPOSITAE,Myriocephalus guerinae,NA,germination medium: 1% agar with 250mg/l Gibberellic acid (GA3),germination conditions: light 8/16; 20°C; 35 days,NA,"RBG Kew, Wakehurst Place.",85,20,NA
COMPOSITAE,Olearia arckaringensis,NA,germination medium: 1% agar,germination conditions: light 8/16; 15°C; 14 days,NA,"RBG Kew, Wakehurst Place.",100,48,NA
COMPOSITAE,Olearia arckaringensis,NA,germination medium: 1% agar,germination conditions: light 8/16; 20°C; 14 days,NA,"RBG Kew, Wakehurst Place.",96,46,NA
COMPOSITAE,Olearia erubescens,NA,germination medium: 1% agar,germination conditions: light 8/16; 25/10°C (Therm 8/16); 49 days,NA,"RBG Kew, Wakehurst Place.",100,17,NA
COMPOSITAE,Olearia erubescens,NA,germination medium: 1% agar,germination conditions: light 8/16; 20°C; 56 days,NA,"RBG Kew, Wakehurst Place.",67,18,NA
COMPOSITAE,Olearia erubescens,NA,germination medium: 1% agar,germination conditions: light 8/16; 15°C; 49 days,NA,"RBG Kew, Wakehurst Place.",89,19,NA
COMPOSITAE,Olearia exiguifolia,NA,germination medium: 1% agar,germination conditions: light 8/16; 15°C; 21 days,NA,"RBG Kew, Wakehurst Place.",100,16,NA
COMPOSITAE,Olearia exiguifolia,NA,germination medium: 1% agar,germination conditions: light 8/16; 20°C; 21 days,NA,"RBG Kew, Wakehurst Place.",100,18,NA
COMPOSITAE,Olearia exiguifolia,NA,germination medium: 1% agar,germination conditions: light 8/16; 25/10°C (Therm 8/16); 21 days,NA,"RBG Kew, Wakehurst Place.",94,18,NA
COMPOSITAE,Olearia frostii,NA,germination medium: 1% agar,germination conditions: light 8/16; 10°C; 147 days,NA,"RBG Kew, Wakehurst Place.",100,26,NA
COMPOSITAE,Olearia frostii,NA,germination medium: 1% agar,germination conditions: light 8/16; 5°C; 147 days,NA,"RBG Kew, Wakehurst Place.",100,27,NA
COMPOSITAE,Olearia frostii,NA,germination medium: 1% agar,germination conditions: light 8/16; 15°C; 147 days,NA,"RBG Kew, Wakehurst Place.",85,26,NA
COMPOSITAE,Olearia frostii,NA,germination medium: 1% agar,germination conditions: light 8/16; 20/5°C (Therm 24/0); 147 days,NA,"RBG Kew, Wakehurst Place.",85,26,NA
COMPOSITAE,Olearia glutinosa,NA,germination medium: 1% agar,germination conditions: light 8/16; 20°C; 49 days,NA,"RBG Kew, Wakehurst Place.",70,10,NA
COMPOSITAE,Olearia grandiflora,NA,germination medium: 1% agar,germination conditions: light 8/16; 15°C; 28 days,NA,"RBG Kew, Wakehurst Place.",90,10,NA
COMPOSITAE,Olearia iodochroa,NA,germination medium: 1% agar,germination conditions: light 8/16; 15°C; 42 days,NA,"RBG Kew, Wakehurst Place.",100,16,NA
COMPOSITAE,Olearia iodochroa,NA,germination medium: 1% agar,germination conditions: light 8/16; 20°C; 42 days,NA,"RBG Kew, Wakehurst Place.",100,18,NA
