species,trait_name,trait_value,number_records,percent_records,notes
Banksia elegans,growth_form,shrub,24,83,
Banksia elegans,growth_response,ground resprout,15,47,
Banksia elegans,growth_response,ground resprout and trunk resprout,15,27,
Banksia elegans,growth_response,trunk resprout,15,27,
Banksia elegans,flowering_response,occurred after fire,5,,
Banksia elegans,flowering_response,median time to flowering: 13-24 months,5,,
Banksia elegans,flowering_response,minimum time to flowering: 1-12 months,5,,
Banksia elegans,flowering_response,not occurred after fire,8,,
Banksia elegans,flowering_response,median time to no flowering: 13-24 months,8,,
Banksia elegans,flowering_response,maximum time to no flowering: 25-36 months,8,,
Banksia elegans,pollinator_type,no pollinator observed,6,100,
Banksia elegans,months_flowering_range,no 'fully open' records in the Atlas chart,,,text: 'Atlas contributors did not observe flowering plants nor pollinators though George (1981) recorded the flowering period as October and November.' The monthly chart shows only 'majority in bud' / 'recently finished' / 'unspecified' categories across all 12 months - zero months with a 'fully open' bar
Banksia elegans,months_flowering_peak,not observed by Atlas contributors; George (1981) reports October-November,,,"literature citation only, not supported by Atlas chart data"
Banksia elegans,months_fruiting_cones_present,none evident in chart,,,
Banksia epica,growth_form,tree,1,100,
Banksia epica,growth_response,no fire-response records,0,,
Banksia epica,pollinator_type,bird,1,100,
Banksia epica,specific_pollinator,New Holland Honeyeater,1,,
Banksia epica,specific_pollinator,thornbill (unspecified),1,,
Banksia epica,months_flowering_range,Apr-May,,,text: 'The entire flowering season is not known though flowers have been observed in April and May.' Only 1 total record (May); chart shows that single May record as 100% 'fully open'. THIN SAMPLE
Banksia epica,months_flowering_peak,May,,,THIN SAMPLE - only 1 record total
Banksia epica,months_fruiting_cones_present,not known,,,text: fruiting cone appearance is described but timing not discussed
Banksia ericifolia,growth_form,tree,565,21,
Banksia ericifolia,growth_form,shrub,565,75,
Banksia ericifolia,growth_form,unspecified,565,4,
Banksia ericifolia,growth_response,ground resprout,97,5,
Banksia ericifolia,growth_response,"killed, new seedlings",97,60,
Banksia ericifolia,growth_response,trunk resprout,97,2,
Banksia ericifolia,growth_response,"killed, no seedlings",97,3,
Banksia ericifolia,growth_response,"killed, no seedlings and killed, new seedlings",97,1,
Banksia ericifolia,growth_response,unspecified,97,29,
Banksia ericifolia,flowering_response,occurred after fire,32,,
Banksia ericifolia,flowering_response,median time to flowering: 13-24 months,32,,
Banksia ericifolia,flowering_response,minimum time to flowering: <1 month,32,,
Banksia ericifolia,flowering_response,not occurred after fire,32,,
Banksia ericifolia,flowering_response,median time to no flowering: 13-24 months,32,,
Banksia ericifolia,flowering_response,maximum time to no flowering: 49-60 months,32,,
Banksia ericifolia,pollinator_type,bird,372,15,
Banksia ericifolia,pollinator_type,"butterflies, moths",372,1,
Banksia ericifolia,pollinator_type,"bees, wasps, ants",372,8,
Banksia ericifolia,pollinator_type,flies,372,0.3,
Banksia ericifolia,pollinator_type,mammals,372,1,
Banksia ericifolia,pollinator_type,no pollinator observed,372,75,
Banksia ericifolia,specific_pollinator,honeyeater (unspecified),9,,
Banksia ericifolia,specific_pollinator,New Holland Honeyeater,17,,
Banksia ericifolia,specific_pollinator,Brown Honeyeater,1,,
Banksia ericifolia,specific_pollinator,White-cheeked Honeyeater,3,,
Banksia ericifolia,specific_pollinator,White-eared Honeyeater,11,,
Banksia ericifolia,specific_pollinator,White-plumed Honeyeater,1,,
Banksia ericifolia,specific_pollinator,Yellow-faced Honeyeater,3,,
Banksia ericifolia,specific_pollinator,Crescent Honeyeater,1,,
Banksia ericifolia,specific_pollinator,Tawny-crowned Honeyeater,1,,
Banksia ericifolia,specific_pollinator,Noisy Miner,2,,
Banksia ericifolia,specific_pollinator,wattlebird (unspecified),3,,
Banksia ericifolia,specific_pollinator,Little Wattlebird,10,,
Banksia ericifolia,specific_pollinator,Red Wattlebird,10,,
Banksia ericifolia,specific_pollinator,Eastern Spinebill,11,,
Banksia ericifolia,specific_pollinator,Black-faced Cuckoo-shrike,1,,
Banksia ericifolia,specific_pollinator,friarbird (unspecified),1,,
Banksia ericifolia,specific_pollinator,bee (unspecified),20,,
Banksia ericifolia,specific_pollinator,European honey bee,5,,
Banksia ericifolia,specific_pollinator,possum (unspecified),2,,
Banksia ericifolia,months_flowering_range,Mar-Oct,,,text: 'predominantly in winter with flowers recorded as early as February and as late as October'
Banksia ericifolia,months_flowering_peak,Jun,,,tallest 'fully open' bar in chart (~95%); Jul also high (~75%)
Banksia ericifolia,months_fruiting_cones_present,uncertain - not confidently isolated from chart,,,LOW CONFIDENCE - flag for manual check
Banksia ericifolia var. ericifolia,growth_form,tree,423,9,
Banksia ericifolia var. ericifolia,growth_form,shrub,423,90,
Banksia ericifolia var. ericifolia,growth_form,unspecified,423,1,
Banksia ericifolia var. ericifolia,growth_response,ground resprout,69,4,
Banksia ericifolia var. ericifolia,growth_response,"killed, new seedlings",69,58,
Banksia ericifolia var. ericifolia,growth_response,"killed, no seedlings",69,3,
Banksia ericifolia var. ericifolia,growth_response,"killed, no seedlings and killed, new seedlings",69,1,
Banksia ericifolia var. ericifolia,growth_response,unspecified,69,33,
Banksia ericifolia var. ericifolia,flowering_response,occurred after fire,24,,
Banksia ericifolia var. ericifolia,flowering_response,median time to flowering: 13-24 months,24,,
Banksia ericifolia var. ericifolia,flowering_response,minimum time to flowering: <1 month,24,,
Banksia ericifolia var. ericifolia,flowering_response,not occurred after fire,19,,
Banksia ericifolia var. ericifolia,flowering_response,median time to no flowering: 13-24 months,19,,
Banksia ericifolia var. ericifolia,flowering_response,maximum time to no flowering: 37-48 months,19,,
Banksia ericifolia var. ericifolia,pollinator_type,bird,305,13,
Banksia ericifolia var. ericifolia,pollinator_type,"bees, wasps, ants",305,4,
Banksia ericifolia var. ericifolia,pollinator_type,mammals,305,1,
Banksia ericifolia var. ericifolia,pollinator_type,no pollinator observed,305,82,
Banksia ericifolia var. ericifolia,specific_pollinator,honeyeater (unspecified),9,,
Banksia ericifolia var. ericifolia,specific_pollinator,New Holland Honeyeater,15,,
Banksia ericifolia var. ericifolia,specific_pollinator,White-cheeked Honeyeater,3,,
Banksia ericifolia var. ericifolia,specific_pollinator,White-eared Honeyeater,2,,
Banksia ericifolia var. ericifolia,specific_pollinator,White-plumed Honeyeater,1,,
Banksia ericifolia var. ericifolia,specific_pollinator,Yellow-faced Honeyeater,1,,
Banksia ericifolia var. ericifolia,specific_pollinator,Crescent Honeyeater,3,,
Banksia ericifolia var. ericifolia,specific_pollinator,Noisy Miner,2,,
Banksia ericifolia var. ericifolia,specific_pollinator,Red Wattlebird,10,,
Banksia ericifolia var. ericifolia,specific_pollinator,Little Wattlebird,5,,
Banksia ericifolia var. ericifolia,specific_pollinator,Eastern Spinebill,10,,
Banksia ericifolia var. ericifolia,specific_pollinator,friarbird (unspecified),1,,
Banksia ericifolia var. ericifolia,specific_pollinator,Rainbow Lorikeet,1,,
Banksia ericifolia var. ericifolia,specific_pollinator,bee (unspecified),8,,
Banksia ericifolia var. ericifolia,specific_pollinator,European honey bee,4,,
Banksia ericifolia var. ericifolia,months_flowering_range,May-Sep,,,text: 'flowering period is between May and September with a peak in July'
Banksia ericifolia var. ericifolia,months_flowering_peak,Jul,,,text states July; chart shows Jun and Jul both near-tallest (~95-100%)
Banksia ericifolia var. ericifolia,months_fruiting_cones_present,uncertain - not confidently isolated from chart,,,LOW CONFIDENCE - flag for manual check
Banksia ericifolia var. macrantha,growth_form,tree,76,26,
Banksia ericifolia var. macrantha,growth_form,shrub,76,71,
Banksia ericifolia var. macrantha,growth_form,unspecified,76,3,
Banksia ericifolia var. macrantha,growth_response,"killed, new seedlings",10,80,
Banksia ericifolia var. macrantha,growth_response,"killed, no seedlings",10,10,
Banksia ericifolia var. macrantha,growth_response,unspecified,10,10,
Banksia ericifolia var. macrantha,flowering_response,occurred after fire,2,,
Banksia ericifolia var. macrantha,flowering_response,median time to flowering: 1-12 months,2,,
Banksia ericifolia var. macrantha,flowering_response,minimum time to flowering: <1 month,2,,
Banksia ericifolia var. macrantha,flowering_response,not occurred after fire,6,,
Banksia ericifolia var. macrantha,flowering_response,median time to no flowering: 1-12 months,6,,
Banksia ericifolia var. macrantha,flowering_response,maximum time to no flowering: 25-36 months,6,,
Banksia ericifolia var. macrantha,pollinator_type,bird,29,34,
Banksia ericifolia var. macrantha,pollinator_type,"butterflies, moths",29,3,
Banksia ericifolia var. macrantha,pollinator_type,"bees, wasps, ants",29,21,
Banksia ericifolia var. macrantha,pollinator_type,no pollinator observed,29,41,
Banksia ericifolia var. macrantha,specific_pollinator,honeyeater (unspecified),2,,
Banksia ericifolia var. macrantha,specific_pollinator,Brown Honeyeater,1,,
Banksia ericifolia var. macrantha,specific_pollinator,White-cheeked Honeyeater,6,,
Banksia ericifolia var. macrantha,specific_pollinator,Tawny-crowned Honeyeater,1,,
Banksia ericifolia var. macrantha,specific_pollinator,Little Wattlebird,3,,
Banksia ericifolia var. macrantha,specific_pollinator,Eastern Spinebill,1,,
Banksia ericifolia var. macrantha,specific_pollinator,Black-faced Cuckoo-shrike,1,,
Banksia ericifolia var. macrantha,specific_pollinator,bee (unspecified),2,,
Banksia ericifolia var. macrantha,specific_pollinator,European honey bee,1,,
Banksia ericifolia var. macrantha,months_flowering_range,May-Sep,,,text: 'main flowering period is between May and September with a peak in July' (shared wording with var. ericifolia's account)
Banksia ericifolia var. macrantha,months_flowering_peak,Jul,,,"text and chart agree, tallest 'fully open' bar (~100%)"
Banksia ericifolia var. macrantha,months_fruiting_cones_present,uncertain - not confidently isolated from chart,,,LOW CONFIDENCE - flag for manual check
Banksia gardneri,growth_form,shrub,329,95,
Banksia gardneri,growth_form,unspecified,329,5,
Banksia gardneri,growth_response,ground resprout,46,43,
Banksia gardneri,growth_response,"ground resprout and killed, new seedlings",46,4,
Banksia gardneri,growth_response,unspecified,46,52,
Banksia gardneri,flowering_response,occurred after fire,36,,
Banksia gardneri,flowering_response,median time to flowering: 13-24 months,36,,
Banksia gardneri,flowering_response,minimum time to flowering: <1 month,36,,
Banksia gardneri,flowering_response,not occurred after fire,6,,
Banksia gardneri,flowering_response,median time to no flowering: 25-36 months,6,,
Banksia gardneri,flowering_response,maximum time to no flowering: 73-84 months,6,,
Banksia gardneri,pollinator_type,"bees, wasps, ants",88,5,
Banksia gardneri,pollinator_type,beetles,88,1,
Banksia gardneri,pollinator_type,mammals,88,1,
Banksia gardneri,pollinator_type,no pollinator observed,88,93,
Banksia gardneri,specific_pollinator,ant,3,,
Banksia gardneri,specific_pollinator,Honey-possum,1,,
Banksia gardneri,specific_pollinator,cockroach,1,,
Banksia gardneri,months_flowering_range,Jan-Nov,,,"from monthly chart - 'fully open' bars present in every month except Dec, ranging from ~10% to ~85%; no single Discussion sentence states a flowering season for the species as a whole (the two named varieties each have their own, narrower, season - see var. brevidentata)"
Banksia gardneri,months_flowering_peak,Nov,,,tallest 'fully open' bar (~85%); May is a secondary peak (~78%)
Banksia gardneri,months_fruiting_cones_present,uncertain - not confidently isolated from chart,,,LOW CONFIDENCE - flag for manual check
Banksia gardneri var. brevidentata,growth_form,shrub,29,100,
Banksia gardneri var. brevidentata,growth_response,ground resprout,8,50,
Banksia gardneri var. brevidentata,growth_response,"ground resprout and killed, new seedlings",8,12,
Banksia gardneri var. brevidentata,growth_response,unspecified,8,37,
Banksia gardneri var. brevidentata,flowering_response,occurred after fire,7,,
Banksia gardneri var. brevidentata,flowering_response,median time to flowering: 13-24 months,7,,
Banksia gardneri var. brevidentata,flowering_response,minimum time to flowering: <1 month,7,,
Banksia gardneri var. brevidentata,flowering_response,not occurred after fire,0,,
Banksia gardneri var. brevidentata,pollinator_type,"bees, wasps, ants",11,9,
Banksia gardneri var. brevidentata,pollinator_type,no pollinator observed,11,91,
Banksia gardneri var. brevidentata,months_flowering_range,"May-Jun, plus a minor record in Oct",,,"text: 'Flowering is from autumn to early winter'; chart shows 'fully open' at May (~85%), Jun (~35%) and a separate Oct bar (~65%) not mentioned in the text"
Banksia gardneri var. brevidentata,months_flowering_peak,May,,,"tallest 'fully open' bar in chart (~85%), though Jun carried the most total records (13 of 29)"
Banksia gardneri var. brevidentata,months_fruiting_cones_present,uncertain - not confidently isolated from chart,,,LOW CONFIDENCE - flag for manual check
Banksia gardneri var. gardneri,growth_form,shrub,180,99,
Banksia gardneri var. gardneri,growth_form,unspecified,180,1,
Banksia gardneri var. gardneri,growth_response,ground resprout,27,37,
Banksia gardneri var. gardneri,growth_response,unspecified,27,63,
Banksia gardneri var. gardneri,flowering_response,occurred after fire,21,,
Banksia gardneri var. gardneri,flowering_response,median time to flowering: 13-24 months,21,,
Banksia gardneri var. gardneri,flowering_response,minimum time to flowering: <1 month,21,,
Banksia gardneri var. gardneri,flowering_response,not occurred after fire,4,,
Banksia gardneri var. gardneri,flowering_response,median time to no flowering: 24-25 months,4,,
Banksia gardneri var. gardneri,flowering_response,maximum time to no flowering: 73-84 months,4,,
Banksia gardneri var. gardneri,pollinator_type,"bees, wasps, ants",55,5,
Banksia gardneri var. gardneri,pollinator_type,no pollinator observed,55,95,
Banksia gardneri var. gardneri,specific_pollinator,ant,3,,
Banksia gardneri var. gardneri,months_flowering_range,Sep-Nov,,,text: 'The main flowering period is from September to November'
Banksia gardneri var. gardneri,months_flowering_peak,Oct,,,tallest 'fully open' bar in chart (~92%); Nov also high (~75%)
Banksia gardneri var. gardneri,months_fruiting_cones_present,uncertain - not confidently isolated from chart,,,LOW CONFIDENCE - flag for manual check
Banksia gardneri var. hiemalis,growth_form,shrub,81,98,
Banksia gardneri var. hiemalis,growth_form,unspecified,81,2,
Banksia gardneri var. hiemalis,growth_response,ground resprout,2,100,
Banksia gardneri var. hiemalis,flowering_response,occurred after fire,2,,
Banksia gardneri var. hiemalis,flowering_response,median time to flowering: 13-24 months,2,,
Banksia gardneri var. hiemalis,flowering_response,minimum time to flowering: 1-12 months,2,,
Banksia gardneri var. hiemalis,flowering_response,not occurred after fire,0,,
Banksia gardneri var. hiemalis,pollinator_type,mammals,6,17,
Banksia gardneri var. hiemalis,pollinator_type,no pollinator observed,6,83,
Banksia gardneri var. hiemalis,specific_pollinator,Honey-possum,1,,
Banksia gardneri var. hiemalis,specific_pollinator,cockroach,1,,
Banksia gardneri var. hiemalis,months_flowering_range,Jun-Oct,,,"text: 'George (1981) stated that June-August is the flowering period of var. hiemalis... Atlas contributors [data] suggest a peak flowering time in July but with some plants flowering as late as October, whilst in November, 6 out of 11 recordings were stated to be in bud'"
Banksia gardneri var. hiemalis,months_flowering_peak,Jul,,,text: Atlas data 'suggest a peak flowering time in July'
Banksia gardneri var. hiemalis,months_fruiting_cones_present,uncertain - not confidently isolated from chart,,,LOW CONFIDENCE - flag for manual check
Banksia goodii,growth_form,shrub,17,94,
Banksia goodii,growth_form,unspecified,17,6,
Banksia goodii,growth_response,ground resprout,5,40,
Banksia goodii,growth_response,"killed, new seedlings",5,20,
Banksia goodii,growth_response,unspecified,5,40,
Banksia goodii,flowering_response,occurred after fire,3,,
Banksia goodii,flowering_response,median time to flowering: 13-24 months,3,,
Banksia goodii,flowering_response,minimum time to flowering: 1-12 months,3,,
Banksia goodii,flowering_response,not occurred after fire,1,,
Banksia goodii,flowering_response,maximum time to no flowering: 13-24 months,1,,
Banksia goodii,pollinator_type,no pollinator observed,3,100,
Banksia goodii,months_flowering_range,Sep-Nov,,,"text: 'The flowering season is short being mainly in November though plants were reported ""in bud"" as early as September'"
Banksia goodii,months_flowering_peak,Nov,,,text states flowering is 'mainly in November'
Banksia goodii,months_fruiting_cones_present,uncertain - not confidently isolated from chart,,,LOW CONFIDENCE - flag for manual check
Banksia grandis,growth_form,tree,1952,90,
Banksia grandis,growth_form,shrub,1952,9,
Banksia grandis,growth_form,unspecified,1952,1,
Banksia grandis,growth_response,ground resprout,385,9,
Banksia grandis,growth_response,"ground resprout and killed, new seedlings",385,2,
Banksia grandis,growth_response,ground resprout and trunk resprout,385,16,
Banksia grandis,growth_response,"killed, new seedlings",385,5,
Banksia grandis,growth_response,"killed, new seedlings and trunk resprout",385,2,
Banksia grandis,growth_response,trunk resprout,385,25,
Banksia grandis,growth_response,"killed, no seedlings and trunk resprout",385,1,
Banksia grandis,growth_response,"killed, no seedlings and killed, new seedlings",385,1,
Banksia grandis,growth_response,unspecified,385,40,
Banksia grandis,flowering_response,occurred after fire,197,,
Banksia grandis,flowering_response,median time to flowering: 1-12 months,197,,
Banksia grandis,flowering_response,minimum time to flowering: <1 month,197,,
Banksia grandis,flowering_response,not occurred after fire,76,,
Banksia grandis,flowering_response,median time to no flowering: 13-24 months,76,,
Banksia grandis,flowering_response,maximum time to no flowering: 61-72 months,76,,
Banksia grandis,pollinator_type,bird,914,6,
Banksia grandis,pollinator_type,"butterflies, moths",914,0.4,
Banksia grandis,pollinator_type,"bees, wasps, ants",914,7,
Banksia grandis,pollinator_type,flies,914,1,
Banksia grandis,pollinator_type,beetles,914,0.3,
Banksia grandis,pollinator_type,no pollinator observed,914,85,
Banksia grandis,specific_pollinator,honeyeater (unspecified),7,,
Banksia grandis,specific_pollinator,New Holland Honeyeater,13,,
Banksia grandis,specific_pollinator,Spiny-cheeked Honeyeater,1,,
Banksia grandis,specific_pollinator,wattlebird (unspecified),1,,
Banksia grandis,specific_pollinator,Red Wattlebird,13,,
Banksia grandis,specific_pollinator,Western Spinebill,6,,
Banksia grandis,specific_pollinator,Red-capped Parrot,2,,
Banksia grandis,specific_pollinator,Port Lincoln Parrot,4,,
Banksia grandis,specific_pollinator,Purple-crowned Lorikeet,3,,
Banksia grandis,specific_pollinator,Rufous Treecreeper,1,,
Banksia grandis,specific_pollinator,ant,19,,
Banksia grandis,specific_pollinator,bee (unspecified),43,,
Banksia grandis,specific_pollinator,native bee,3,,
Banksia grandis,specific_pollinator,European honey bee,6,,
Banksia grandis,specific_pollinator,blowfly,1,,
Banksia grandis,months_flowering_range,Aug-Jan,,,text: 'B. grandis flowers and produces new shoot growth from August to January'; chart shows low-level 'fully open' bars (~10-20%) present nearly year-round with a clear rise from Oct
Banksia grandis,months_flowering_peak,Nov-Dec,,,"tallest 'fully open' bars in chart (Nov ~65%, Dec ~60%)"
Banksia grandis,months_fruiting_cones_present,uncertain - not confidently isolated from chart,,,LOW CONFIDENCE - flag for manual check
Banksia grossa,growth_form,shrub,53,98,
Banksia grossa,growth_form,unspecified,53,2,
Banksia grossa,growth_response,no fire-response records,0,,
Banksia grossa,pollinator_type,no pollinator observed,14,100,
Banksia grossa,months_flowering_range,"Mar-May, plus a secondary record in Dec",,,text: 'Flowering is mainly in autumn ... though some flowers were recorded as early as December'
Banksia grossa,months_flowering_peak,Mar-Apr,,,"chart shows Mar and Apr both ~65% 'fully open', the tallest bars"
Banksia grossa,months_fruiting_cones_present,none evident in chart,,,text notes George (1981) recorded the species as lignotuberous; no fire-response records exist
Banksia hookeriana,growth_form,tree,36,3,
Banksia hookeriana,growth_form,shrub,36,94,
Banksia hookeriana,growth_form,unspecified,36,3,
Banksia hookeriana,growth_response,ground resprout,15,13,
Banksia hookeriana,growth_response,"ground resprout and killed, new seedlings",15,13,
Banksia hookeriana,growth_response,"killed, new seedlings",15,33,
Banksia hookeriana,growth_response,"killed, no seedlings",15,7,
Banksia hookeriana,growth_response,unspecified,15,33,
Banksia hookeriana,flowering_response,occurred after fire,9,,
Banksia hookeriana,flowering_response,median time to flowering: 13-24 months,9,,
Banksia hookeriana,flowering_response,minimum time to flowering: 1-12 months,9,,
Banksia hookeriana,flowering_response,not occurred after fire,4,,
Banksia hookeriana,flowering_response,median time to no flowering: 13-24 months,4,,
Banksia hookeriana,flowering_response,maximum time to no flowering: 13-24 months,4,,
Banksia hookeriana,pollinator_type,bird,12,33,
Banksia hookeriana,pollinator_type,"bees, wasps, ants",12,25,
Banksia hookeriana,pollinator_type,no pollinator observed,12,42,
Banksia hookeriana,specific_pollinator,New Holland Honeyeater,3,,
Banksia hookeriana,specific_pollinator,Brown Honeyeater,1,,
Banksia hookeriana,specific_pollinator,ant,2,,
Banksia hookeriana,specific_pollinator,bee (unspecified),1,,
Banksia hookeriana,months_flowering_range,May-Oct,,,"text: 'Flowering is from late autumn to spring'; chart shows 'fully open' bars at May, Jun, Jul, Aug and Oct (thin sample per month, several at 100% from a single record)"
Banksia hookeriana,months_flowering_peak,Jul-Aug,,,chart shows Jul and Aug both at ~100% 'fully open'; Oct also 100% but on a very small sample
Banksia hookeriana,months_fruiting_cones_present,uncertain - not confidently isolated from chart,,,LOW CONFIDENCE - flag for manual check
Banksia ilicifolia,growth_form,tree,557,96,
Banksia ilicifolia,growth_form,shrub,557,3,
Banksia ilicifolia,growth_form,unspecified,557,1,
Banksia ilicifolia,growth_response,ground resprout,99,4,
Banksia ilicifolia,growth_response,"ground resprout and killed, new seedlings",99,2,
Banksia ilicifolia,growth_response,ground resprout and trunk resprout,99,15,
Banksia ilicifolia,growth_response,"killed, new seedlings",99,4,
Banksia ilicifolia,growth_response,trunk resprout,99,31,
Banksia ilicifolia,growth_response,"killed, no seedlings and trunk resprout",99,1,
Banksia ilicifolia,growth_response,unspecified,99,42,
Banksia ilicifolia,flowering_response,occurred after fire,65,,
Banksia ilicifolia,flowering_response,median time to flowering: 13-24 months,65,,
Banksia ilicifolia,flowering_response,minimum time to flowering: <1 month,65,,
Banksia ilicifolia,flowering_response,not occurred after fire,18,,
Banksia ilicifolia,flowering_response,median time to no flowering: 13-24 months,18,,
Banksia ilicifolia,flowering_response,maximum time to no flowering: 37-48 months,18,,
Banksia ilicifolia,pollinator_type,bird,255,16,
Banksia ilicifolia,pollinator_type,"bees, wasps, ants",255,10,
Banksia ilicifolia,pollinator_type,flies,255,1,
Banksia ilicifolia,pollinator_type,beetles,255,2,
Banksia ilicifolia,pollinator_type,no pollinator observed,255,71,
Banksia ilicifolia,specific_pollinator,honeyeater (unspecified),6,,
Banksia ilicifolia,specific_pollinator,New Holland Honeyeater,20,,
Banksia ilicifolia,specific_pollinator,Brown Honeyeater,5,,
Banksia ilicifolia,specific_pollinator,White-cheeked Honeyeater,1,,
Banksia ilicifolia,specific_pollinator,Singing Honeyeater,2,,
Banksia ilicifolia,specific_pollinator,Silvereye,1,,
Banksia ilicifolia,specific_pollinator,Red Wattlebird,1,,
Banksia ilicifolia,specific_pollinator,Western Spinebill,8,,
Banksia ilicifolia,specific_pollinator,Port Lincoln Parrot,4,,
Banksia ilicifolia,specific_pollinator,ant,4,,
Banksia ilicifolia,specific_pollinator,bee (unspecified),16,,
Banksia ilicifolia,specific_pollinator,native bee,1,,
Banksia ilicifolia,specific_pollinator,European honey bee,2,,
Banksia ilicifolia,months_flowering_range,year-round (intermittent),,,"text: 'B. ilicifolia flowers intermittently in most months of the year with an apparent peak in July, August and September'"
Banksia ilicifolia,months_flowering_peak,Jul-Sep,,,text-stated peak
Banksia ilicifolia,months_fruiting_cones_present,uncertain - not confidently isolated from chart,,,LOW CONFIDENCE - flag for manual check
Banksia incana,growth_form,shrub,38,100,
Banksia incana,growth_response,no fire-response records,0,,
Banksia incana,pollinator_type,no pollinator observed,12,100,
Banksia incana,months_flowering_range,"Dec-Jan, plus a minor record in Mar",,,"text: 'Atlas records suggest a flowering season in summer. According to A.S. George (1981) the season may extend into autumn.' Chart shows 'fully open' concentrated at Jan (~100%) and Dec (~65%), with a small Mar record (~10%)"
Banksia incana,months_flowering_peak,Jan,,,tallest 'fully open' bar in chart (~100%)
Banksia incana,months_fruiting_cones_present,none evident in chart,,,no fire-response records; text notes George (1981) reported the species resprouts from its lignotuber when burnt
Banksia integrifolia,growth_form,tree,1736,75,
Banksia integrifolia,growth_form,shrub,1736,22,
Banksia integrifolia,growth_form,unspecified,1736,3,
Banksia integrifolia,growth_response,ground resprout,122,13,
Banksia integrifolia,growth_response,"ground resprout and killed, new seedlings",122,2,
Banksia integrifolia,growth_response,ground resprout and trunk resprout,122,7,
Banksia integrifolia,growth_response,"killed, new seedlings",122,7,
Banksia integrifolia,growth_response,"killed, new seedlings and trunk resprout",122,1,
Banksia integrifolia,growth_response,trunk resprout,122,17,
Banksia integrifolia,growth_response,trunk resprout and sucker resprout,122,1,
Banksia integrifolia,growth_response,"killed, no seedlings",122,2,
Banksia integrifolia,growth_response,"killed, no seedlings and ground resprout",122,1,
Banksia integrifolia,growth_response,unspecified,122,50,
Banksia integrifolia,flowering_response,occurred after fire,70,,
Banksia integrifolia,flowering_response,median time to flowering: 13-24 months,70,,
Banksia integrifolia,flowering_response,minimum time to flowering: <1 month,70,,
Banksia integrifolia,flowering_response,not occurred after fire,20,,
Banksia integrifolia,flowering_response,median time to no flowering: 1-12 months,20,,
Banksia integrifolia,flowering_response,maximum time to no flowering: 85-96 months,20,,
Banksia integrifolia,pollinator_type,bird,920,19,
Banksia integrifolia,pollinator_type,"butterflies, moths",920,1,
Banksia integrifolia,pollinator_type,"bees, wasps, ants",920,5,
Banksia integrifolia,pollinator_type,beetles,920,0.3,
Banksia integrifolia,pollinator_type,mammals,920,0.3,
Banksia integrifolia,pollinator_type,no pollinator observed,920,75,
Banksia integrifolia,specific_pollinator,honeyeater (unspecified),26,,
Banksia integrifolia,specific_pollinator,New Holland Honeyeater,25,,
Banksia integrifolia,specific_pollinator,White-eared Honeyeater,5,,
Banksia integrifolia,specific_pollinator,White-naped Honeyeater,1,,
Banksia integrifolia,specific_pollinator,Brown Honeyeater,13,,
Banksia integrifolia,specific_pollinator,White-cheeked Honeyeater,6,,
Banksia integrifolia,specific_pollinator,Singing Honeyeater,1,,
Banksia integrifolia,specific_pollinator,Tawny-crowned Honeyeater,1,,
Banksia integrifolia,specific_pollinator,White-plumed Honeyeater,3,,
Banksia integrifolia,specific_pollinator,Yellow-faced Honeyeater,4,,
Banksia integrifolia,specific_pollinator,White-throated Honeyeater,2,,
Banksia integrifolia,specific_pollinator,Blue-faced Honeyeater,2,,
Banksia integrifolia,specific_pollinator,Dusky Honeyeater,1,,
Banksia integrifolia,specific_pollinator,Bridled Honeyeater,1,,
Banksia integrifolia,specific_pollinator,Scarlet Honeyeater,1,,
Banksia integrifolia,specific_pollinator,Fuscous Honeyeater,1,,
Banksia integrifolia,specific_pollinator,Noisy Miner,9,,
Banksia integrifolia,specific_pollinator,Silvereye,7,,
Banksia integrifolia,specific_pollinator,wattlebird (unspecified),14,,
Banksia integrifolia,specific_pollinator,Red Wattlebird,21,,
Banksia integrifolia,specific_pollinator,Little Wattlebird,26,,
Banksia integrifolia,specific_pollinator,Eastern Spinebill,16,,
Banksia integrifolia,specific_pollinator,friarbird (unspecified),7,,
Banksia integrifolia,specific_pollinator,Noisy Friarbird,6,,
Banksia integrifolia,specific_pollinator,Little Friarbird,3,,
Banksia integrifolia,specific_pollinator,rosella (unspecified),2,,
Banksia integrifolia,specific_pollinator,lorikeet (unspecified),2,,
Banksia integrifolia,specific_pollinator,Rainbow Lorikeet,14,,
Banksia integrifolia,specific_pollinator,Black-faced Cuckoo-shrike,1,,
Banksia integrifolia,specific_pollinator,weavers and allies (unspecified),1,,
Banksia integrifolia,specific_pollinator,Striated Pardalote,1,,
Banksia integrifolia,specific_pollinator,thornbill (unspecified),1,,
Banksia integrifolia,specific_pollinator,Brown Thornbill,1,,
Banksia integrifolia,specific_pollinator,ant,4,,
Banksia integrifolia,specific_pollinator,bee (unspecified),18,,
Banksia integrifolia,specific_pollinator,native bee,2,,
Banksia integrifolia,specific_pollinator,European honey bee,14,,
Banksia integrifolia,specific_pollinator,European wasp,1,,
Banksia integrifolia,specific_pollinator,spider,1,,
Banksia integrifolia,specific_pollinator,possum (unspecified),2,,
Banksia integrifolia,months_flowering_range,Mar-Sep,,,text: 'a predominantly autumn- and winter- flowering species though some flowers have been recorded in all months of the year'
