IDmerg1,ID_all,species_name,species_abb,site_name,site_details,siteold,site_data_old,replicates_toughness,replicates_CN,spp_old,SLA_cm2_g_new,leaf_area_mm2_new,PSIpd,PSImd,Kh,Ks,Kl,LL,Gs,Amass,Aarea,RD_MASS,leaf_N_mass_new,leaf_P_mass_new,Cmass,leaf_N_area_g_m2_new,leaf_P_area_g_m2_new,max_ht,ci,ca_ci,wue,Aarea_gs,trans,trans_es,d15N,d13C,max_height_m,SPo,TLP,H2OTLP,symH2O,elast_mod,shootH20,ci_ca,SWCsap,SWCstem,SWCbark,BarkThick,n(bark),Wshear(Jm01),Toughness(Jm-2),leaf thickness,date,id,time1,par,PsmassUSE_raw,tleaf,PsAreaUse_raw,GsUSE_raw,gc_raw,ci_raw,CO2a_raw,wue_raw,SLA_raw
150,174,Beyeria opaca,beyopa,Round Hill mallee,loRloP,RHM,wnsw_loP,5,5,beyopa,6.27,28.8,NA,NA,1.36E-06,0.0709,2.50E-04,1.23,56,36.5,5.7,9.3,1.72,0.075,54.31,2.75,0.12,0.7,183,185,3.76,0.102,1.52,101.3,-2.6572,-25.7657,0.7,NA,NA,NA,NA,NA,NA,0.005405405,53.942,65.631,99.131,0.905,10,0.2,574,0.35,,,,,,,,,,,,,
,,Beyeria opaca,Beyopa,Round Hill mallee,loRloP,RHM,wnsw_loP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21198,1,910,1400,28.3404,26.59903,4.759307,55.32182,0.034573,220.1311,371,3.080516,59.54731
,,Beyeria opaca,Beyopa,Round Hill mallee,loRloP,RHM,wnsw_loP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21198,2,915,1400,44.20208,24.16891,6.603238,85.25202,0.053006,222.663,358,3.361147,66.94
,,Beyeria opaca,Beyopa,Round Hill mallee,loRloP,RHM,wnsw_loP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21198,3,935,1494,50.45618,27.22879,7.521679,48.09916,0.030096,105.8928,367,5.282677,67.08101
,,Beyeria opaca,Beyopa,Round Hill mallee,loRloP,RHM,wnsw_loP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21198,4,940,1450,34.72159,27.70358,5.429859,55.05816,0.034409,183.9638,355,3.213033,63.94565
,,Beyeria opaca,Beyopa,Round Hill mallee,loRloP,RHM,wnsw_loP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21198,5,948,1535,35.04696,26.80527,5.593055,43.7873,0.027419,161.1654,378,4.280739,62.66156
,,Beyeria opaca,Beyopa,Round Hill mallee,loRloP,RHM,wnsw_loP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21198,6,950,1645,23.11107,27.64047,3.346446,27.90674,0.017522,155.8559,360,3.742737,69.06154
,,Beyeria opaca,Beyopa,Round Hill mallee,loRloP,RHM,wnsw_loP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281098,a,1047,1400,39.54363,25.75125,6.836687,78.47343,0.048847,232.2568,385,3.379129,57.84034
66,75,Boronia ledifolia,borled,Kuring-gai NP lowP,hiRloP,sydloP,syd_loP,3,5,Borled,6.27,56.06,-0.83,-1.03,3.51E-06,0.383,4.63E-04,1.61,212,54.7,8.7,6.2,1.19,0.022,50.23,1.9,0.035,2,286,87,2.79,0.041,3.12,212.4,-6.9413,-30.7512,2,-1.79,-2.33,84.02,71.56,8.49,62.56,0.011494253,60.96,72.49,111.017,0.725,10,0.18,366,0.5,,,,,,,,,,,,,
,,Boronia ledifolia,Borled,Kuring-gai NP lowP,hiRloP,sydloP,syd_loP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151098,,1230,1550,32.14282,32.92119,8.181205,116.6564,0.072145,234.9169,366,1.926678,39.28862
,,Boronia ledifolia,Borled,Kuring-gai NP lowP,hiRloP,sydloP,syd_loP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21298,a,1030,1000,45.55365,23.24676,8.638459,234.81,0.142366,312.169,381,2.579323,52.73354
,,Boronia ledifolia,Borled,Kuring-gai NP lowP,hiRloP,sydloP,syd_loP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21298,b,1140,1000,51.57022,22.35325,10.16153,322.7718,0.192879,306.2577,367,2.200633,50.75044
,,Boronia ledifolia,Borled,Kuring-gai NP lowP,hiRloP,sydloP,syd_loP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31298,e,1005,1000,80.70851,21.58583,10.76578,277.6893,0.167173,323.3893,394,3.718689,74.96762
,,Boronia ledifolia,Borled,Kuring-gai NP lowP,hiRloP,sydloP,syd_loP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31298,f,1145,1000,47.76128,24.90279,6.447255,87.42031,0.054334,232.8606,360,4.148467,74.08003
,,Boronia ledifolia,Borled,Kuring-gai NP lowP,hiRloP,sydloP,syd_loP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91298,a,1022,1500,70.38725,25.72222,8.017246,234.8138,0.142368,308.7387,374,2.148405,87.7948
151,175,Bossiaea walkeri,boswal,Round Hill mallee,loRloP,RHM,wnsw_loP,5,5,Boswal,3.15,320.69,-4,-4.12,NA,NA,NA,4.73,162,28.5,11.1,6.7,1.21,0.038,48.51,3.86,0.121,2,229,135,3.04,0.069,3.66,291.4,-3.9581,-26.3706,2,-2.39,-3.32,81.31,63.95,23.39,43.38,0.007407407,46.507,49.678,56.202,1.32,10,3.78,6097,0.61,,,,,,,,,,,,,
,,Bossiaea walkeri,Boswal,Round Hill mallee,loRloP,RHM,wnsw_loP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281098,a,940,1638,17.20093,28.05989,8.111719,86.70998,0.053899,202.4269,367.5,2.94274,21.20504
,,Bossiaea walkeri,Boswal,Round Hill mallee,loRloP,RHM,wnsw_loP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281098,b,1001,1610,44.531,27.82381,10.56453,243.7906,0.147591,296.2541,384,1.506,42.15144
,,Bossiaea walkeri,Boswal,Round Hill mallee,loRloP,RHM,wnsw_loP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281098,c,1120,1690,22.45009,24.97701,11.33263,127.4217,0.07866,199.8548,354,3.960667,19.81013
,,Bossiaea walkeri,Boswal,Round Hill mallee,loRloP,RHM,wnsw_loP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281098,d,1212,1650,29.9127,24.52754,14.48111,189.6331,0.115845,215.5635,350,3.747746,20.65636
120,143,Brachychiton populneus,brapop,Round Hill woodland,loRhiP,RHW,wnsw_hiP,5,4-5,Brapop,7.66,1334.42,-1.01,-1.21,6.43E-06,0.948,1.19E-04,1.1,94,75.9,9.8,5.4,1.79,0.096,50.3,2.34,0.125,8.3,166,181,4.12,0.104,2.37,169.3,4.659,-24.1325,8.3,-1.75,-2.41,84.65,56.52,11.77,57.83,0.005524862,106.11,127.399,141.092,2.1125,6,0.38,1384,0.27,,,,,,,,,,,,,
152,176,Brachychiton populneus,brapop,Round Hill mallee,loRloP,RHM,wnsw_loP,5,5,Brapop,8.02,1263.52,-1,-1.29,NA,NA,NA,1.1,68,50.6,7.4,4.7,1.55,0.083,49.85,1.93,0.103,7,169,192,4.69,0.108,1.57,122.9,-0.4134,-24.2879,7,-2.01,-3.01,85.52,43.64,14.44,53.96,0.005208333,113.622,131.538,141.192,2.73611,9,0.38,1600,0.24,,,,,,,,,,,,,
,,Brachychiton populneus,Brapop_m,Round Hill mallee,loRloP,RHM,wnsw_loP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21198,,1040,1540,56.61673,24.64506,9.398248,72.37428,0.045098,148.9399,366,6.193735,60.2418
,,Brachychiton populneus,Brapop_m,Round Hill mallee,loRloP,RHM,wnsw_loP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281098,a,937,1560,65.20802,28.66585,7.625052,85.08068,0.052901,210.256,368,3.063246,85.51813
,,Brachychiton populneus,Brapop_m,Round Hill mallee,loRloP,RHM,wnsw_loP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281098,b,1043,1600,28.38054,25.70153,4.068093,34.04507,0.021354,177.0512,379,4.629818,69.76373
,,Brachychiton populneus,Brapop_m,Round Hill mallee,loRloP,RHM,wnsw_loP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281098,c,1105,1730,29.74388,26.06995,5.371478,40.06516,0.025104,132.59,357,5.017342,55.37374
,,Brachychiton populneus,Brapop_m,Round Hill mallee,loRloP,RHM,wnsw_loP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281098,d,1145,1780,72.89865,25.34876,10.34922,109.8877,0.068037,174.3959,335,4.561644,70.43877
,,Brachychiton populneus,Brapop_w,Round Hill woodland,loRhiP,RHW,wnsw_hiP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11198,a,1010,1587,78.46971,28.22116,9.054321,72.32854,0.04507,167.507,381,4.373902,86.66548
,,Brachychiton populneus,Brapop_w,Round Hill woodland,loRhiP,RHW,wnsw_hiP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11198,b,1009,1513,60.6332,28.09956,7.881643,67.3426,0.041999,151.9343,351,4.139278,76.92964
,,Brachychiton populneus,Brapop_w,Round Hill woodland,loRhiP,RHW,wnsw_hiP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11198,d,1038,1600,72.65723,27.63156,9.308202,97.33323,0.060393,177.5408,342,3.875308,78.05721
,,Brachychiton populneus,Brapop_w,Round Hill woodland,loRhiP,RHW,wnsw_hiP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271098,a,1017,1400,86.25257,27.70417,10.67516,115.186,0.071254,180.8266,341,3.77517,80.79748
,,Brachychiton populneus,Brapop_w,Round Hill woodland,loRhiP,RHW,wnsw_hiP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271098,b,1120,1630,47.92783,27.78219,9.024868,92.11023,0.057203,176.5924,345,3.867776,53.1064
,,Brachychiton populneus,Brapop_w,Round Hill woodland,loRhiP,RHW,wnsw_hiP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271098,c,1120,1750,109.6375,27.69385,12.62739,120.0267,0.074187,141.4617,320,4.715304,86.82514
121,144,Callitris glaucophylla,calgla,Round Hill woodland,loRhiP,RHW,wnsw_hiP,5,4-5,Calgla,4.24,NA,-2.58,-3.25,NA,NA,NA,2.58,88,26.9,6.3,4.2,1.2,0.087,52.64,2.83,0.205,12.1,232,133,2.81,0.072,2.25,158.6,2.9349,-25.869,12.1,-1.63,-2.74,77.05,56.75,6.57,49.87,0.007518797,80.287,90.684,102.964,1.4275,10,0.2,272,0.73,,,,,,,,,,,,,
153,177,Callitris glaucophylla,calgla,Round Hill mallee,loRloP,RHM,wnsw_loP,5,5,CalGla_m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.08,0.057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,
,,Callitris glaucophylla,Calgla_w,Round Hill woodland,loRhiP,RHW,wnsw_hiP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21198,,1200,1700,19.14863,25.30554,4.530066,63.67126,0.039734,230.8587,356,3.0055,42.2701
,,Callitris glaucophylla,Calgla_w,Round Hill woodland,loRhiP,RHW,wnsw_hiP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11198,a,910,1513,34.77116,28.40154,7.179135,59.63742,0.037242,178.8388,386,3.782714,48.43363
,,Callitris glaucophylla,Calgla_w,Round Hill woodland,loRhiP,RHW,wnsw_hiP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11198,b,910,1390,31.35476,28.29151,7.383572,109.9702,0.068087,238.6275,361,2.334,42.46558
,,Callitris glaucophylla,Calgla_w,Round Hill woodland,loRhiP,RHW,wnsw_hiP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11198,c,1014,1370,24.03237,25.88007,5.469736,80.40945,0.050036,234.8706,355,2.98159,43.93699
,,Callitris glaucophylla,Calgla_w,Round Hill woodland,loRhiP,RHW,wnsw_hiP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11198,d,1050,1320,30.94335,27.71608,7.726301,114.9262,0.071096,232.5531,353,2.702579,40.04938
,,Callitris glaucophylla,Calgla_w,Round Hill woodland,loRhiP,RHW,wnsw_hiP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11198,e,1200,1667,20.9088,25.9987,5.576533,100.1171,0.062091,278.6961,383,2.0505,37.49427
155,179,Cassinia laevis,caslae,Round Hill mallee,loRloP,RHM,wnsw_loP,5,5,Caslae,7.71,13.88,-2.83,-4.34,4.56E-06,0.292,3.73E-04,0.83,57,49.6,6.9,12.9,1.85,0.104,52,2.4,0.135,2.4,173,200,4.64,0.121,1.48,102.4,-2.317,-30.3447,2.4,-2.04,-3.2,65.87,93.86,6.08,62.18,0.005,63.557,76.117,108.298,0.8425,10,0.12,400,0.31,,,,,,,,,,,,,
,,Cassinia laevis,Caslae,Round Hill mallee,loRloP,RHM,wnsw_loP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311098,a,914,1230,85.73059,25.09573,10.55718,72.47526,0.04516,124.1907,367,6.353923,81.20593
,,Cassinia laevis,Caslae,Round Hill mallee,loRloP,RHM,wnsw_loP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311098,b,946,1570,20.30722,26.9752,2.652122,31.38373,0.019694,223.2453,371,3.057824,76.56969
,,Cassinia laevis,Caslae,Round Hill mallee,loRloP,RHM,wnsw_loP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311098,c,958,1612,44.11588,26.80209,6.635636,73.87428,0.046021,206.1684,362,3.518,66.48327
,,Cassinia laevis,Caslae,Round Hill mallee,loRloP,RHM,wnsw_loP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311098,d,1040,1513,67.4632,26.6127,10.13328,74.31654,0.046293,143.7203,373,5.4464,66.57587
,,Cassinia laevis,Caslae,Round Hill mallee,loRloP,RHM,wnsw_loP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311098,e,1101,1250,30.43033,26.75148,4.321834,32.43483,0.02035,165.8542,390.5,4.816643,70.41069
69,78,Corymbia gummifera,corgum,Kuring-gai NP lowP,hiRloP,sydloP,syd_loP,3,5,Corgum,5.35,2589.2,-0.64,-1.13,NA,NA,NA,1.22,233,58.7,13,5.7,0.81,0.03,51.26,1.52,0.056,15,241,105,7.15,0.056,1.82,232.9,-4.5245,-27.2178,15,-0.94,-1.57,88.84,30.63,12.54,53.72,0.00952381,78.94,98.04,127.581,1.485,10,1.55,4213,0.37,,,,,,,,,,,,,
,,Corymbia gummifera,Corgum,Kuring-gai NP lowP,hiRloP,sydloP,syd_loP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21298,a,952,1200,37.61223,24.3986,9.040148,96.32732,0.059779,170.6405,327,7.330531,41.60577
,,Corymbia gummifera,Corgum,Kuring-gai NP lowP,hiRloP,sydloP,syd_loP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21298,b,1025,1400,57.21873,25.45343,11.68595,183.269,0.112076,208.7631,317,6.905768,48.96369
,,Corymbia gummifera,Corgum,Kuring-gai NP lowP,hiRloP,sydloP,syd_loP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21298,c,1155,1000,65.82576,19.99973,13.89976,208.0368,0.126697,215.6343,328,11.2232,47.35747
,,Corymbia gummifera,Corgum,Kuring-gai NP lowP,hiRloP,sydloP,syd_loP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21298,d,1215,1700,60.25053,26.31604,14.13471,295.309,0.177265,257.1376,341,5.781324,42.62594
,,Corymbia gummifera,Corgum,Kuring-gai NP lowP,hiRloP,sydloP,syd_loP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31298,e,935,1000,59.2593,25.85706,13.81332,250.1608,0.151288,278.6157,375,5.874673,42.90011
,,Corymbia gummifera,Corgum,Kuring-gai NP lowP,hiRloP,sydloP,syd_loP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31298,f,953,1000,71.79409,23.45707,15.40499,364.5668,0.216374,317.421,393,5.770071,46.60444
13,14,Correa reflexa,corref,Kuring-gai NP hiP,hiRhiP,sydhiP,syd_hiP,5,5,CorRef,14.08,555.4,NA,NA,NA,NA,NA,0.97,105,70.3,4.5,4.6,1.26,0.047,43.23,0.89,0.033,0.5,281,83,3.11,0.043,1.44,104.6,-4.3053,-31.2691,0.5,NA,NA,NA,NA,NA,NA,0.012048193,,,,,,0.24,821,0.29,,,,,,,,,,,,,
,,Correa reflexa,Corref,Kuring-gai NP hiP,hiRhiP,sydhiP,syd_hiP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221098,,1235,1000,62.23556,22.16496,4.470289,93.58958,0.058107,284.469,369,3.30788,139.2204
,,Correa reflexa,Corref,Kuring-gai NP hiP,hiRhiP,sydhiP,syd_hiP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221098,,1230,1000,91.26151,23.82579,7.21337,94.44765,0.058631,242.4812,375,4.002935,126.5172
,,Correa reflexa,Corref,Kuring-gai NP hiP,hiRhiP,sydhiP,syd_hiP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221098,,1238,1000,104.4783,21.65778,5.692779,78.16574,0.048658,233.6192,357,5.410192,183.5279
,,Correa reflexa,Corref,Kuring-gai NP hiP,hiRhiP,sydhiP,syd_hiP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71298,a,1035,1560,50.14264,25.67039,2.874508,148.3406,0.09125,317.3571,358,1.163632,174.439
,,Correa reflexa,Corref,Kuring-gai NP hiP,hiRhiP,sydhiP,syd_hiP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91298,a,1253,1700,44.21921,25.57071,2.84603,61.06191,0.038122,275.2626,358,2.924614,155.3716
,,Correa reflexa,Corref,Kuring-gai NP hiP,hiRhiP,sydhiP,syd_hiP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91298,b,1255,1500,66.02443,24.52051,3.627312,105.7058,0.065495,313.8656,377,2.468227,182.0203
,,Correa reflexa,Corref,Kuring-gai NP hiP,hiRhiP,sydhiP,syd_hiP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91298,c,1255,1700,74.02621,24.30762,4.489323,150.6375,0.092627,302.046,357,2.461776,164.8939
15,16,Dodonaea triquetra,dodtri,Kuring-gai NP hiP,hiRhiP,sydhiP,syd_hiP,5,5,Dodtri,10.56,1353.48,-0.81,-0.78,NA,NA,NA,0.67,244,209.1,20.7,10,1.9,0.079,48.11,1.8,0.075,3.5,179,164,10.06,0.085,2.06,244,-3.0339,-28.5698,3.5,-1.97,-2.52,81.56,85.52,10.09,66.36,0.006097561,,,,,,0.09,370,0.25,,,,,,,,,,,,,
,,Dodonaea triquetra,Dodtri,Kuring-gai NP hiP,hiRhiP,sydhiP,syd_hiP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71298,a,1010,1560,303.3809,25.46617,25.29738,359.4163,0.213496,200.0763,322,9.010791,119.9258
,,Dodonaea triquetra,Dodtri,Kuring-gai NP hiP,hiRhiP,sydhiP,syd_hiP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71298,b,1010,1600,174.5885,25.96086,19.42921,418.0162,0.245959,250.8859,333,7.39066,89.85877
,,Dodonaea triquetra,Dodtri,Kuring-gai NP hiP,hiRhiP,sydhiP,syd_hiP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71298,c,1116,1425,206.1065,27.43831,19.14208,223.1496,0.135559,202.7623,349,7.746008,107.672
,,Dodonaea triquetra,Dodtri,Kuring-gai NP hiP,hiRhiP,sydhiP,syd_hiP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71298,d,1135,1500,189.7651,26.13417,18.78834,188.7547,0.115325,147.5829,314,10.74021,101.0016
,,Dodonaea triquetra,Dodtri,Kuring-gai NP hiP,hiRhiP,sydhiP,syd_hiP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71298,e,1141,1500,203.8186,27.59135,19.19652,201.2804,0.122721,187.4544,348,10.16234,106.1748
,,Dodonaea triquetra,Dodtri,Kuring-gai NP hiP,hiRhiP,sydhiP,syd_hiP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91298,a,1207,1500,197.7989,27.06948,22.39397,127.4511,0.078677,101.2271,392,11.42793,88.32685
,,Dodonaea triquetra,Dodtri,Kuring-gai NP hiP,hiRhiP,sydhiP,syd_hiP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91298,b,1243,1500,188.4183,24.1194,20.58436,190.2075,0.116184,164.5996,345,13.97309,91.53468
122,145,Dodonaea viscosa ssp angustissima,dodvia,Round Hill woodland,loRhiP,RHW,wnsw_hiP,5,4-5,Dodvian,5.95,39.31,-3.85,-4.8,3.98E-06,0.875,3.29E-04,0.66,239,75.7,12.2,20,1.86,0.113,47.43,3.12,0.19,4,263,100,2.28,0.051,5.34,429.8,2.3766,-27.5298,4,-2.12,-2.95,76.62,83.54,11.56,61.05,0.01,40.659,62.564,122.24,1.1575,10,0.12,344,0.37,,,,,,,,,,,,,
,,Dodonaea viscosa ssp.angustissima,Dodvian,Round Hill woodland,loRhiP,RHW,wnsw_hiP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11198,a,914,1480,81.88922,27.24875,12.96719,262.3436,0.158336,262.9866,357,2.095267,63.15108
,,Dodonaea viscosa ssp.angustissima,Dodvian,Round Hill woodland,loRhiP,RHW,wnsw_hiP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11198,b,1028,1530,109.3059,24.76342,14.565,276.6644,0.166584,261.0792,359,2.584732,75.047
,,Dodonaea viscosa ssp.angustissima,Dodvian,Round Hill woodland,loRhiP,RHW,wnsw_hiP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11198,c,1115,1664,91.67674,25.63881,14.4681,252.7092,0.152764,272.1706,380,2.35375,63.36475
,,Dodonaea viscosa ssp.angustissima,Dodvian,Round Hill woodland,loRhiP,RHW,wnsw_hiP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271098,a,955,1600,51.81624,27.84849,10.378,125.8058,0.077683,208.3819,354,3.124103,49.92893
,,Dodonaea viscosa ssp.angustissima,Dodvian,Round Hill woodland,loRhiP,RHW,wnsw_hiP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271098,b,956,1600,53.73047,26.96741,9.719241,253.2845,0.153097,290.2432,367,1.5718,55.28257
,,Dodonaea viscosa ssp.angustissima,Dodvian,Round Hill woodland,loRhiP,RHW,wnsw_hiP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271098,c,1001,1350,65.51889,25.78562,10.93529,261.8858,0.158071,283.2629,364,1.937138,59.91508
123,146,Dodonaea viscosa ssp cuneata,dodvic,Round Hill woodland,loRhiP,RHW,wnsw_hiP,5,4-5,Dodvicu,8.81,51.87,-4.38,-4.58,NA,NA,NA,0.82,103,94.6,10,18.2,1.98,0.097,51.13,2.24,0.11,2.2,189,181,3.96,0.098,2.54,184.6,-0.1611,-25.6237,2.2,-2.29,-3.19,78.27,76.62,10.07,53.49,0.005524862,52.045,66.874,113.879,0.9275,10,0.09,418,0.22,,,,,,,,,,,,,
,,Dodonaea viscosa ssp.cuneata,Dodvicu,Round Hill woodland,loRhiP,RHW,wnsw_hiP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271098,a,1232,1000,105.6519,28.41036,10.28216,119.1888,0.07368,220.0603,375,2.698263,102.7527
,,Dodonaea viscosa ssp.cuneata,Dodvicu,Round Hill woodland,loRhiP,RHW,wnsw_hiP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271098,b,1235,1000,101.4551,21.36119,11.42853,154.5721,0.094984,233.369,362,4.310115,88.77358
,,Dodonaea viscosa ssp.cuneata,Dodvicu,Round Hill woodland,loRhiP,RHW,wnsw_hiP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291098,a,941,1460,165.2438,26.69481,16.52144,164.9691,0.101196,186.9498,362,3.801571,100.0178
,,Dodonaea viscosa ssp.cuneata,Dodvicu,Round Hill woodland,loRhiP,RHW,wnsw_hiP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291098,b,1016,1500,49.82332,26.32188,5.983161,51.43707,0.032166,181.2108,380,4.08325,83.27256
,,Dodonaea viscosa ssp.cuneata,Dodvicu,Round Hill woodland,loRhiP,RHW,wnsw_hiP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291098,c,1100,1740,60.06143,26.1555,5.920312,54.92031,0.034324,187.5142,372,4.019935,101.4498
,,Dodonaea viscosa ssp.cuneata,Dodvicu,Round Hill woodland,loRhiP,RHW,wnsw_hiP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291098,d,1128,1680,85.10802,28.0076,10.10106,70.3139,0.043829,127.6944,370,4.842927,84.25651
124,147,Dodonaea viscosa ssp spatulata,dodvis,Round Hill woodland,loRhiP,RHW,wnsw_hiP,5,4-5,Dodvisp,7.58,265.52,-3.15,-4.12,NA,NA,NA,0.86,107,102.1,12.8,15.5,1.98,0.115,50.46,2.62,0.152,4,155,207,4.96,0.119,2.59,193.3,3.7328,-27.156,4,-2.33,-3.31,74.93,86.02,9.4,56.93,0.004830918,51.226,64.611,116.78,0.725,10,0.26,1079,0.24,,,,,,,,,,,,,
