family,genus,current_taxon,don_abbrev,abbrev,old_taxon,older_taxon,red_book_hmax_m,height_notes,leaflets,deciduous
Euphorbiaceae,Macaranga,Macaranga tanarius,NA,macatana,NA,NA,22,,1,0
Adoxaceae,Sambucus,Sambucus australasica,sambaust,sambaust,NA,NA,5,,1,0
Santalaceae,Santalum,Santalum lanceolatum,santlanc,santlanc,NA,NA,7,,1,0
Rutaceae,Sarcomelicope,Sarcomelicope simplicifolia,sarcsimp,sarcsimp,NA,NA,18,,1,0
Sapindaceae,Sarcopteryx,Sarcopteryx stipata,NA,sarcstip,NA,NA,40,,7,0
Cunoniaceae,Schizomeria,Schizomeria ovata,NA,schiovat,NA,NA,35,,1,0
Salicaceae,Scolopia,Scolopia braunii,scolbrau,scolbrau,NA,NA,30,,1,0
Celastraceae,Siphonodon,Siphonodon australis,NA,siphaust,NA,NA,30,,1,0
Elaeocarpaceae,Sloanea,Sloanea australis,NA,sloaaust,NA,NA,30,,1,0
Elaeocarpaceae,Sloanea,Sloanea woollsii,NA,sloawool,NA,NA,55,,1,0
Solanaceae,Solanum,Solanum inaequilaterum,NA,solainaq,NA,NA,3.5,,1,0
Solanaceae,Solanum,Solanum stupefactum,solastup,solastup,NA,NA,2,,1,0
Solanaceae,Solanum,Solanum aviculare,solaavic,solaavic,NA,NA,4,,1,0
Proteaceae,Stenocarpus,Stenocarpus salignus,NA,stensali,NA,NA,30,,1,0
Proteaceae,Stenocarpus,Stenocarpus sinuatus,NA,stensinu,NA,NA,40,,1,0
Malvaceae,Sterculia,Sterculia quadrifida,NA,sterquad,NA,NA,20,,1,1
Moraceae,Streblus,Streblus brunonianus,strebrun,strebrun,NA,NA,30,,1,0
Loganiaceae,Strychnos,Strychnos psilosperma,stryaxil,strypsil,Strychnos axillaris,NA,18,,1,0
Symplocaceae,Symplocos,Symplocos stawellii,NA,sympstaw,NA,NA,20,,1,0
Symplocaceae,Symplocos,Symplocos thwaitesii,sympthwa,sympthwa,NA,NA,20,,1,0
Meliaceae,Synoum,Synoum glandulosum,NA,synoglan,NA,NA,18,,7,0
Myrtaceae,Syzygium,Syzygium australe,syzyaust,syzyaust,NA,NA,25,,1,0
Myrtaceae,Syzygium,Syzygium corynanthum,syzycory,syzycory,NA,NA,30,,1,0
Myrtaceae,Syzygium,Syzygium crebrinerve,NA,syzycreb,NA,NA,40,,1,0
Myrtaceae,Syzygium,Syzygium francisii,NA,syzyfran,NA,NA,45,,1,0
Myrtaceae,Syzygium,Syzygium hodgkinsoniae,NA,syzyhodg,NA,NA,15,,1,0
Myrtaceae,Syzygium,Syzygium luehmannii,NA,syzylueh,NA,NA,30,,1,0
Myrtaceae,Syzygium,Syzygium oleosum,NA,syzyoleo,NA,NA,15,,1,0
Apocynaceae,Tabernaemontana,Tabernaemontana pandacaqui,NA,tabepand,Ervatamia angustisepala,NA,4,,1,0
Winteraceae,Tasmannia,Tasmannia insipida,NA,tasminsi,NA,NA,5,,1,0
Combretaceae,Terminalia,Terminalia porphyrocarpa,NA,termporp,NA,NA,18,,1,0
Sapindaceae,Toechima,Toechima tenax,NA,toectena,NA,NA,18,,4,0
Meliaceae,Toona,Toona ciliata,tooncili,tooncili,NA,NA,45,,14,1
Rubiaceae,Triflorensia,Triflorensia cameronii,tarecame,trifcame,Tarenna cameronii,NA,6,,1,0
Rubiaceae,Triflorensia,Triflorensia ixoroides,NA,trifixor,Diplospora ixoroides,Tarenna sp. Ka Ka Mundi,12,,1,0
Proteaceae,Triunia,Triunia youngiana,NA,triuyoun,NA,NA,4,,1,0
Meliaceae,Turraea,Turraea pubescens,turrpube,turrpube,Turraea brownii,NA,7,,1,1
Lamiaceae,Vitex,Vitex lignum-vitae,premlign,vitelign,Premna lignum-vitae,NA,30,,1,0
Lamiaceae,Vitex,Vitex melicopea,NA,vitemeli,Vitex acuminata,NA,15,used lower height in Red Book,3,1
Monimiaceae,Wilkiea,Wilkiea austroqueenslandica,NA,wilkaust,NA,NA,9,,1,0
Monimiaceae,Wilkiea,Wilkiea huegeliana,NA,wilkhueg,NA,NA,6,,1,0
Monimiaceae,Wilkiea,Wilkiea macrophylla,NA,wilkmacr,NA,NA,9,,1,0
Myrtaceae,Xanthostemon,Xanthostemon oppositifolius,NA,xantoppo,NA,NA,40,,1,0
Salicaceae,Xylosma,Xylosma terrae-reginae,NA,xyloterr,NA,NA,15,,1,0
Rutaceae,Zanthoxylum,Zanthoxylum brachyacanthum,zantbrac,zantbrac,NA,NA,15,,12,0
