genus_root,taxon_name,text,life_history_a,life_history_f,parasitic_a,parasitic_f,plant_growth_form_a,plant_growth_form_f,plant_growth_substrate_a,plant_growth_substrate_f,sex_type_a,sex_type_f,stem_growth_habit_a,stem_growth_habit_f,woodiness_a,woodiness_f,Source
Cajanus,Cajanus,perennial shrubs.,perennial,perennial,NA,NA,shrub,shrubs,NA,NA,NA,NA,NA,NA,woody,NA,Text by C. Gardner
Cajanus,Cajanus cajan,erect shrub to 3 m high;,perennial,inferred_from_genus,NA,NA,shrub,shrub,NA,NA,NA,NA,erect,erect,woody,NA,Text by C. Gardner; Taxon concept: Flora of NSW 2 (1991)
Cakile,Cakile,"annual, rarely perennial herbs, glabrous.",annual perennial,annual perennial,NA,NA,herb,herbs,NA,NA,NA,NA,NA,NA,herbaceous,NA,Text by L. Retter & G. J. Harden
Cakile,Cakile edentula,branched herb to 80 cm high.,NA,NA,NA,NA,herb,herb,NA,NA,NA,NA,NA,NA,herbaceous,NA,Text by L. Retter & G. J. Harden; updated Louisa Murray (April 2017); Taxon concept: Flora of NSW 1 (1990); Roger Cousens & Sara Ohadi (pers.comm)
Cakile,Cakile maritima subsp. maritima,as for species description.,NA,NA,NA,NA,herb,inferred_from_genus,NA,NA,NA,NA,NA,NA,herbaceous,NA,NA
Cakile,Cakile maritima,NA,NA,NA,NA,NA,herb,inferred_from_genus,NA,NA,NA,NA,NA,NA,herbaceous,NA,Text by L. Retter & G. J. Harden; updated Louisa Murray (April 2017); Taxon concept: Flora of NSW 1 (1990); Roger Cousens & Sara Ohadi (pers.comm)
Caladenia,Caladenia,"terrestrial herbs, sympodial;",perennial,inferred_from_family,NA,NA,herb,herbs,terrestrial,terrestrial,NA,NA,NA,NA,herbaceous,NA,"Text by P. Bernhardt (1993); edited by PH Weston (March 2007); Taxon concept: Hopper & Brown (2004, Australian Systematic Botany 17: 171-240)"
Caladenia,Caladenia catenata,terrestrial herb.,perennial,inferred_from_family,NA,NA,herb,herb,terrestrial,terrestrial,NA,NA,NA,NA,herbaceous,NA,Text by P. Bernhardt; Taxon concept: Flora of NSW 4 (1993)
Caladenia,Caladenia tentaculata,terrestrial herb.,perennial,inferred_from_family,NA,NA,herb,herb,terrestrial,terrestrial,NA,NA,NA,NA,herbaceous,NA,Text by P. Bernhardt
Caladenia,Caladenia cleistantha,terrestrial herb.,perennial,inferred_from_family,NA,NA,herb,herb,terrestrial,terrestrial,NA,NA,NA,NA,herbaceous,NA,Text by P. Bernhardt; Taxon concept: Flora of NSW 4 (1993)
Caladenia,Caladenia leptoclavia,terrestrial herb.,perennial,inferred_from_family,NA,NA,herb,herb,terrestrial,terrestrial,NA,NA,NA,NA,herbaceous,NA,Text by P. Bernhardt; Taxon concept: Flora of NSW 4 (1993)
Caladenia,Caladenia filamentosa,terrestrial herb.,perennial,inferred_from_family,NA,NA,herb,herb,terrestrial,terrestrial,NA,NA,NA,NA,herbaceous,NA,Text by P. Bernhardt
Caladenia,Caladenia verrucosa,terrestrial herb.,perennial,inferred_from_family,NA,NA,herb,herb,terrestrial,terrestrial,NA,NA,NA,NA,herbaceous,NA,NA
Caladenia,Caladenia hillmanii,terrestrial herb.,perennial,inferred_from_family,NA,NA,herb,herb,terrestrial,terrestrial,NA,NA,NA,NA,herbaceous,NA,Text by P. Bernhardt; Taxon concept: Flora of NSW 4 (1993)
Caladenia,Caladenia boweri,terrestrial tuberous herb.,perennial,inferred_from_family,NA,NA,herb,herb,terrestrial,terrestrial,NA,NA,NA,NA,herbaceous,NA,Text by Matt A.M. Renner based on Jones (2019); Taxon concept: Jones DL (2019) Two threatened new species of Orchidaceae from Mt Canobolas in central-western New South Wales. Australian Orchid Review 89(6): 36-41.
Caladenia,Caladenia clarkiae,terrestrial herb.,perennial,inferred_from_family,NA,NA,herb,herb,terrestrial,terrestrial,NA,NA,NA,NA,herbaceous,NA,Text by P. Bernhardt; Taxon concept: Flora of NSW 4 (1993)
Caladenia,Caladenia gracilis,terrestrial herb.,perennial,inferred_from_family,NA,NA,herb,herb,terrestrial,terrestrial,NA,NA,NA,NA,herbaceous,NA,Text by P. Bernhardt; Taxon concept: Flora of NSW 4 (1993)
Caladenia,Caladenia carnea,terrestrial herb.,perennial,inferred_from_family,NA,NA,herb,herb,terrestrial,terrestrial,NA,NA,NA,NA,herbaceous,NA,Text by P. Bernhardt
Caladenia,Caladenia tessellata,terrestrial herb.,perennial,inferred_from_family,NA,NA,herb,herb,terrestrial,terrestrial,NA,NA,NA,NA,herbaceous,NA,Text by P. Bernhardt; Taxon concept: Flora of NSW 4 (1993)
Caladenia,Caladenia concolor,terrestrial herb.,perennial,inferred_from_family,NA,NA,herb,herb,terrestrial,terrestrial,NA,NA,NA,NA,herbaceous,NA,Text by P. Bernhardt; Taxon concept: Flora of NSW 4 (1993)
Caladenia,Caladenia clavigera,terrestrial herb.,perennial,inferred_from_family,NA,NA,herb,herb,terrestrial,terrestrial,NA,NA,NA,NA,herbaceous,NA,Text by P. Bernhardt; Taxon concept: Flora of NSW 4 (1993)
Caladenia,Caladenia alpina,terrestrial herb.,perennial,inferred_from_family,NA,NA,herb,herb,terrestrial,terrestrial,NA,NA,NA,NA,herbaceous,NA,NA
Caladenia,Caladenia latifolia,terrestrial herb.,perennial,inferred_from_family,NA,NA,herb,herb,terrestrial,terrestrial,NA,NA,NA,NA,herbaceous,NA,Text by P. Bernhardt; Taxon concept: Flora of NSW 4 (1993)
Caladenia,Caladenia flaccida,terrestrial herb.,perennial,inferred_from_family,NA,NA,herb,herb,terrestrial,terrestrial,NA,NA,NA,NA,herbaceous,NA,Text by P. Bernhardt; Taxon concept: Flora of NSW 4 (1993)
Caladenia,Caladenia quadrifaria,terrestrial herb.,perennial,inferred_from_family,NA,NA,herb,herb,terrestrial,terrestrial,NA,NA,NA,NA,herbaceous,NA,Text by P. Bernhardt; Taxon concept: Flora of NSW 4 (1993)
Caladenia,Caladenia fuscata,terrestrial herb.,perennial,inferred_from_family,NA,NA,herb,herb,terrestrial,terrestrial,NA,NA,NA,NA,herbaceous,NA,Text by P. Bernhardt; Taxon concept: Flora of NSW 4 (1993)
Caladenia,Caladenia arenaria,terrestrial herb.,perennial,inferred_from_family,NA,NA,herb,herb,terrestrial,terrestrial,NA,NA,NA,NA,herbaceous,NA,Text by P. Bernhardt; Taxon concept: Flora of NSW 4 (1993)
Caladenia,Caladenia stellata,terrestrial herb.,perennial,inferred_from_family,NA,NA,herb,herb,terrestrial,terrestrial,NA,NA,NA,NA,herbaceous,NA,Text by P. Bernhardt; Taxon concept: Flora of NSW 4 (1993)
Caladenia,Caladenia hildae,terrestrial herb.,perennial,inferred_from_family,NA,NA,herb,herb,terrestrial,terrestrial,NA,NA,NA,NA,herbaceous,NA,Text by P. Bernhardt; Taxon concept: Flora of NSW 4 (1993)
Caladenia,Caladenia transitoria,terrestrial herb.,perennial,inferred_from_family,NA,NA,herb,herb,terrestrial,terrestrial,NA,NA,NA,NA,herbaceous,NA,Text by P. Bernhardt; Taxon concept: Flora of NSW 4 (1993)
Caladenia,Caladenia picta,terrestrial herb.,perennial,inferred_from_family,NA,NA,herb,herb,terrestrial,terrestrial,NA,NA,NA,NA,herbaceous,NA,Text by P. Bernhardt; Taxon concept: Flora of NSW 4 (1993)
Caladenia,Caladenia phaeoclavia,terrestrial herb.,perennial,inferred_from_family,NA,NA,herb,herb,terrestrial,terrestrial,NA,NA,NA,NA,herbaceous,NA,Text by P. Bernhardt; Taxon concept: Flora of NSW 4 (1993)
Caladenia,Caladenia concinna,terrestrial herb.,perennial,inferred_from_family,NA,NA,herb,herb,terrestrial,terrestrial,NA,NA,NA,NA,herbaceous,NA,Text by P. Bernhardt; Taxon concept: Flora of NSW 4 (1993)
Caladenia,Caladenia fitzgeraldii,terrestrial herb.,perennial,inferred_from_family,NA,NA,herb,herb,terrestrial,terrestrial,NA,NA,NA,NA,herbaceous,NA,Text by P. Bernhardt; Taxon concept: Flora of NSW 4 (1993)
Caladenia,Caladenia sp. A sensu Harden (1993),terrestrial herb.,perennial,inferred_from_family,NA,NA,herb,herb,terrestrial,terrestrial,NA,NA,NA,NA,herbaceous,NA,Text by P. Bernhardt; Taxon concept: Flora of NSW 4 (1993)
Caladenia,Caladenia congesta,"terrestrial herb, rarely forming extensive colonies.",perennial,inferred_from_family,NA,NA,herb,herb,terrestrial,terrestrial,NA,NA,NA,NA,herbaceous,NA,Text by P. Bernhardt; Taxon concept: Flora of NSW 4 (1993)
Caladenia,Caladenia pusilla,terrestrial herb.,perennial,inferred_from_family,NA,NA,herb,herb,terrestrial,terrestrial,NA,NA,NA,NA,herbaceous,NA,Text by P. Bernhardt; Taxon concept: Flora of NSW 4 (1993)
Caladenia,Caladenia alata,terrestrial herb.,perennial,inferred_from_family,NA,NA,herb,herb,terrestrial,terrestrial,NA,NA,NA,NA,herbaceous,NA,Text by P. Bernhardt; Taxon concept: Flora of NSW 4 (1993)
Caladenia,Caladenia testacea,terrestrial herb.,perennial,inferred_from_family,NA,NA,herb,herb,terrestrial,terrestrial,NA,NA,NA,NA,herbaceous,NA,Text by P. Bernhardt; Taxon concept: Flora of NSW 4 (1993)
Caladenia,Caladenia dimorpha,terrestrial herb.,perennial,inferred_from_family,NA,NA,herb,herb,terrestrial,terrestrial,NA,NA,NA,NA,herbaceous,NA,Text by P. Bernhardt; Taxon concept: Flora of NSW 4 (1993)
Caladenia,Caladenia aestiva,terrestrial herb.,perennial,inferred_from_family,NA,NA,herb,herb,terrestrial,terrestrial,NA,NA,NA,NA,herbaceous,NA,Text by P. Bernhardt; Taxon concept: Flora of NSW 4 (1993)
Caladenia,Caladenia cucullata,terrestrial herb.,perennial,inferred_from_family,NA,NA,herb,herb,terrestrial,terrestrial,NA,NA,NA,NA,herbaceous,NA,Text by P. Bernhardt; Taxon concept: Flora of NSW 4 (1993)
Caladenia,Caladenia curtisepala,terrestrial herb.,perennial,inferred_from_family,NA,NA,herb,herb,terrestrial,terrestrial,NA,NA,NA,NA,herbaceous,NA,Text by P. Bernhardt; Taxon concept: Flora of NSW 4 (1993)
Calandrinia,Calandrinia,succulent prostrate to erect annual [or perennial] herbs.,annual perennial,annual perennial,NA,NA,herb,herbs,NA,NA,NA,NA,erect prostrate,erect prostrate,herbaceous,NA,Text by J. G. West
Calandrinia,Calandrinia balonensis,herb with basal rosette of leaves and erect flowering-stems to 30 cm long.,NA,NA,NA,NA,herb,herb,NA,NA,NA,NA,erect rosette,erect rosette,herbaceous,NA,Text by J. G. West; Taxon concept: Flora of NSW 1 (1990)
Calandrinia,Calandrinia calyptrata,procumbent herb with stems to 20 cm long.,NA,NA,NA,NA,herb,herb,NA,NA,NA,NA,prostrate,procumbent,herbaceous,NA,Text by J. G. West; Taxon concept: Flora of NSW 1 (1990)
Calandrinia,Calandrinia ciliata,prostrate to decumbent herb with stems to 25 cm long.,NA,NA,NA,NA,herb,herb,NA,NA,NA,NA,decumbent prostrate,decumbent prostrate,herbaceous,NA,Text by J. G. West; Taxon concept: Flora of NSW 1 (1990) as Calandrinia menziesii
Calandrinia,Calandrinia disperma,decumbent herb with stems to 40 cm long.,NA,NA,NA,NA,herb,herb,NA,NA,NA,NA,decumbent,decumbent,herbaceous,NA,Text by J. G. West; Taxon concept: Flora of NSW 1 (1990)
Calandrinia,Calandrinia eremaea,decumbent herb with erect to spreading flowering-stems to 20 cm long.,NA,NA,NA,NA,herb,herb,NA,NA,NA,NA,erect decumbent spreading,erect decumbent spreading,herbaceous,NA,Text by J. G. West; Taxon concept: Flora of NSW 1 (1990)
Calandrinia,Calandrinia granulifera,erect to decumbent herb with stems to 5 cm long.,NA,NA,NA,NA,herb,herb,NA,NA,NA,NA,erect decumbent,erect decumbent,herbaceous,NA,Text by J. G. West; Taxon concept: Flora of NSW 1 (1990)
Calandrinia,Calandrinia pickeringii,decumbent to ascending herb with flowering-stems to 20 cm long.,NA,NA,NA,NA,herb,herb,NA,NA,NA,NA,decumbent,decumbent ascending,herbaceous,NA,Text by J. G. West; Taxon concept: Flora of NSW 1 (1990)
Calandrinia,Calandrinia ptychosperma,prostrate to decumbent herb with stems to 40 cm long with leaves basal and on flowering-stems.,NA,NA,NA,NA,herb,herb,NA,NA,NA,NA,decumbent prostrate,decumbent prostrate,herbaceous,NA,Text by J. G. West; Taxon concept: Flora of NSW 1 (1990)
Calandrinia,Calandrinia remota,herb with basal rosette of leaves and erect flowering-stems to 30 cm long.,NA,NA,NA,NA,herb,herb,NA,NA,NA,NA,erect rosette,erect rosette,herbaceous,NA,Text by J. G. West; Taxon concept: Flora of NSW 1 (1990)
Calandrinia,Calandrinia volubilis,spreading to erect herb with twining flowering-stems to 30 cm long.,NA,NA,NA,NA,herb,herb,NA,NA,NA,NA,erect spreading,erect spreading,herbaceous,NA,Text by J. G. West; Taxon concept: Flora of NSW 1 (1990)
Calandrinia,Calandrinia pumila,prostrate annual with stems to 10 cm long.,annual,annual,NA,NA,herb,inferred_from_genus,NA,NA,NA,NA,prostrate,prostrate,herbaceous,NA,Text by J. G. West; Taxon concept: Flora of NSW 1 (1990)
Calanthe,Calanthe,"terrestrial [or rarely epiphytic or epilithic] herbs, sympodial;",perennial,inferred_from_family,NA,NA,herb,herbs,epiphyte lithophyte terrestrial,epiphytic epilithic terrestrial,NA,NA,NA,NA,herbaceous,NA,Text by P. H. Weston
Calanthe,Calanthe triplicata,terrestrial to 1.5 m high;,perennial,inferred_from_family,NA,NA,herb,inferred_from_genus,terrestrial,terrestrial,NA,NA,NA,NA,herbaceous,NA,Text by P. H. Weston; Taxon concept: P.S. Green (1994)
Calceolaria,Calceolaria,"annual or [perennial herbs, vines or shrubs];",annual perennial,annual perennial,NA,NA,herb shrub climber_herbaceous,herbs shrubs vines,NA,NA,NA,NA,NA,NA,woody herbaceous,NA,"Text by W. R. Barker; distribution and occurence updated by Kerry Gibbons 18 Apr. 2023.; Taxon concept: Distribution and occurence: Kew Plants of the world Online, Australian Plant Census [both accessed 11 Apr. 2023]."
Calceolaria,Calceolaria tripartita,"decumbent or erect annual herb circa 20-40 cm high, glandular-villous, especially on vegetative parts.",annual,annual,NA,NA,herb,herb,NA,NA,NA,NA,erect decumbent,erect decumbent,herbaceous,NA,Text by W. R. Barker; Taxon concept: Flora of NSW 3 (1992)
Caleana,Caleana,"terrestrial herbs, sympodial;",perennial,inferred_from_family,NA,NA,herb,herbs,terrestrial,terrestrial,NA,NA,NA,NA,herbaceous,NA,"Text by P.H. Weston, updated by M.A.M. Renner (1 Nov 2019).; Taxon concept: S.D. Hopper & A.P. Brown (2006) Australian Systematic Botany 19: 211â€“244 (Paracaleana).  J.T. Miller & M.A. Clements (2014) Molecular phylogenetic analyses of Drakaeinae: Diurideae (Orchidaceae) based on DNA sequences of the internal transcribed spacer region. Australian Systematic Botany 27: 3-22 (Caleana sens. lat.)"
Caleana,Caleana major,terrestrial herb.,perennial,inferred_from_family,NA,NA,herb,herb,terrestrial,terrestrial,NA,NA,NA,NA,herbaceous,NA,"Text by P. Bernhardt, updated by M.A.M. Renner (1 Nov 2019); Taxon concept: Flora of NSW 4 (1993)"
Caleana,Caleana minor,terrestrial herb.,perennial,inferred_from_family,NA,NA,herb,herb,terrestrial,terrestrial,NA,NA,NA,NA,herbaceous,NA,"Text by P. Bernhardt, updated by M.A.M. Renner (1 Nov 2019); Taxon concept: Flora of NSW 4 (1993)"
Calendula,Calendula,"annual or perennial herbs,",annual perennial,annual perennial,NA,NA,herb,herbs,NA,NA,NA,NA,NA,NA,herbaceous,NA,Text by J. A. Scott
Calendula,Calendula arvensis,"annual herb 5-40 cm high, erect to ascending,",annual,annual,NA,NA,herb,herb,NA,NA,NA,NA,erect decumbent,erect ascending,herbaceous,NA,Text by J. A. Scott; Taxon concept: Flora of NSW 3 (1992)
Calendula,Calendula officinalis,"erect to procumbent annual herb, 15-50 cm high,",annual,annual,NA,NA,herb,herb,NA,NA,NA,NA,erect prostrate,erect procumbent,herbaceous,NA,Text by J. A. Scott; Taxon concept: Flora of NSW 3 (1992)
Calendula,Calendula palaestina,"annual herb, 20-40 cm high, erect, little branched,",annual,annual,NA,NA,herb,herb,NA,NA,NA,NA,erect,erect,herbaceous,NA,Text by J. A. Scott; Taxon concept: Flora of NSW 3 (1992)
Calibrachoa,Calibrachoa,"small annual or shortlivedperennial herbs with glandular hairs,",annual short_lived_perennial,annual shortlivedperennial,NA,NA,herb,herbs,NA,NA,NA,NA,NA,NA,herbaceous,NA,Text by B. J. Conn
Calibrachoa,Calibrachoa parviflora,"annual or shortlivedperennial herb, 5-25 cm high;",annual short_lived_perennial,annual shortlivedperennial,NA,NA,herb,herb,NA,NA,NA,NA,NA,NA,herbaceous,NA,Text by B. J. Conn; Taxon concept: Flora of NSW 3 (1992)
Callicarpa,Callicarpa,"small trees, shrubs or undershrubs;",NA,NA,NA,NA,subshrub shrub tree,undershrubs shrubs trees,NA,NA,NA,NA,NA,NA,woody,NA,Text by B. J. Conn
Callicarpa,Callicarpa pedunculata,shrub or small tree. mostly 3-4 m high.,perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,NA,NA,woody,NA,Text by B. J. Conn; Taxon concept: Flora of NSW 3 (1992)
Callicoma,Callicoma,trees or shrubs.,perennial,inferred_from_growth_form,NA,NA,shrub tree,shrubs trees,NA,NA,NA,NA,NA,NA,woody,NA,Text by G. J. Harden
Callicoma,Callicoma serratifolia,"tall shrub or tree to 20 m,",perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,NA,NA,woody,NA,Text by G. J. Harden; Taxon concept: Flora of NSW 1 (1990)
Callisia,Callisia,"perennial herb, lacking rhizomes, stems creeping or decumbent.",perennial,perennial,NA,NA,herb,herb,NA,NA,NA,NA,creeping decumbent rhizomatous,creeping decumbent rhizomes,herbaceous,NA,Text by Louisa Murray; Taxon concept: Flora of China Vol. 24.
Callisia,Callisia fragrans,"robust, stoloniferous, perennial herbs;",perennial,perennial,NA,NA,herb,herbs,NA,NA,NA,NA,stoloniferous,stoloniferous,herbaceous,NA,Text by Peter G. Wilson (2001); edited KL Wilson (Jan 2015); Taxon concept: Fl. North America vol. 22
Callisia,Callisia repens,description to be added,perennial,inferred_from_genus,NA,NA,herb,inferred_from_genus,NA,NA,NA,NA,NA,NA,herbaceous,NA,NA
Callistachys,Callistachys,"shrubs, erect to prostrate;",perennial,inferred_from_growth_form,NA,NA,shrub,shrubs,NA,NA,NA,NA,erect prostrate,erect prostrate,woody,NA,"Text by B. Wiecek, updated by R.L.Barrett, Aug. 2021"
Callistachys,Callistachys alpestris,procumbent or ascending shrub to 1.3 m high;,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,decumbent prostrate,ascending procumbent,woody,NA,Text by B. Wiecek
Callistachys,Callistachys procumbens,"procumbent or ascending shrub to 30 cm high with a thick woody rhizome, glabrescent.",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,decumbent prostrate rhizomatous,ascending procumbent rhizome,woody,NA,Text by B. Wiecek
Callistachys,Callistachys scandens,"prostrate to trailing shrub,",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,prostrate,prostrate trailing,woody,NA,"Text by B. Wiecek, updated by R.L. Barrett, Aug. 2021; Taxon concept: P.H. Weston & M.D. Crisp (1995)"
Callistemon,Callistemon,shrubs or small trees; new growth villous.,perennial,inferred_from_growth_form,NA,NA,shrub tree,shrubs trees,NA,NA,NA,NA,NA,NA,woody,NA,Text by R. D. Spencer & P. F. Lumley
Callistemon,Callistemon acuminatus,shrub 1-3 m high.,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,NA,NA,woody,NA,Text by R. D. Spencer & P. F. Lumley; Taxon concept: Flora of NSW 2 (1991)
Callistemon,Callistemon brachyandrus,"stiff shrub or small tree, usually 2-3 m high;",perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,NA,NA,woody,NA,Text by R. D. Spencer & P. F. Lumley; Taxon concept: Flora of NSW 2 (1991)
Callistemon,Callistemon citrinus,"stiff erect shrub, usually 1-3 m high.",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,erect,erect,woody,NA,Text by R. D. Spencer & P. F. Lumley; Taxon concept: Flora of NSW 2 (1991)
Callistemon,Callistemon comboynensis,"shrub, usually 1-2 m high, new growth pinkish.",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,NA,NA,woody,NA,Text by R. D. Spencer & P. F. Lumley; Taxon concept: Flora of NSW 2 (1991)
Callistemon,Callistemon flavovirens,"stiff, spreading shrub 1-1.5 m high; new growth silvery.",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,spreading,spreading,woody,NA,Text by R. D. Spencer & P. F. Lumley; Taxon concept: Flora of NSW 2 (1991)
Callistemon,Callistemon formosus,"shrub or small tree with pendulous branchlets, 1.5-5 (-10) m high;",perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,NA,NA,woody,NA,"Text by Peter G. Wilson, April 2017."
Callistemon,Callistemon linearifolius,shrub circa 3-4 m high.,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,NA,NA,woody,NA,Text by R. D. Spencer & P. F. Lumley; Taxon concept: Flora of NSW 2 (1991)
Callistemon,Callistemon linearis,stiff shrub to circa 3 m high.,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,NA,NA,woody,NA,Text by R. D. Spencer & P. F. Lumley; Taxon concept: Flora of NSW 2 (1991)
Callistemon,Callistemon megalongensis,shrub to 2.5 m high;,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,NA,NA,woody,NA,Text by Peter G. Wilson; Taxon concept: L.A. Craven; generic concept modified by Udovicic & Spencer (2012)
Callistemon,Callistemon montanus,erect shrub or small tree to 6 m high; new growth pinkish brown.,perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,erect,erect,woody,NA,Text by R. D. Spencer & P. F. Lumley; Taxon concept: Flora of NSW 2 (1991)
Callistemon,Callistemon pachyphyllus,dense straggling shrub to 1.5 m high.,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,dense,dense,woody,NA,Text by R. D. Spencer & P. F. Lumley; Taxon concept: Flora of NSW 2 (1991)
Callistemon,Callistemon pallidus,erect shrub to 5 m high;,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,erect,erect,woody,NA,Text by R. D. Spencer & P. F. Lumley; Taxon concept: Flora of NSW 2 (1991)
Callistemon,Callistemon pinifolius,erect or spreading shrub to circa 4 m high.,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,erect spreading,erect spreading,woody,NA,Text by R. D. Spencer & P. F. Lumley. Updated by Peter Wilson (2015); Taxon concept: Flora of NSW 2 (1991)
Callistemon,Callistemon pityoides,"shrub to 3 m high, new growth silvery-grey.",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,NA,NA,woody,NA,Text by R. D. Spencer & P. F. Lumley; Taxon concept: Flora of NSW 2 (1991)
Callistemon,Callistemon pungens,shrub or small tree 2-5 m high;,perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,NA,NA,woody,NA,Text by R. D. Spencer & P. F. Lumley; Taxon concept: Flora of NSW 2 (1991)
Callistemon,Callistemon pungens subsp. pungens,shrub or small tree 2-5 m high;,perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,NA,NA,woody,NA,"Text by R. D. Spencer & P. F. Lumley; modified by Peter G. Wilson, April 2017.; Taxon concept: From Lumley & Spencer (1990), modified to subspecies following Craven (2009)"
Callistemon,Callistemon pungens subsp. synoriensis,shrub to 3.5 m tall;,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,NA,NA,woody,NA,"Text by Peter G. Wilson, April 2017.; Taxon concept: Craven (2009 - described in Melaleuca)"
Callistemon,Callistemon purpurascens,shrub circa 3.5(-7) m high;,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,NA,NA,woody,NA,"Text by Peter G. Wilson, September 2016.; Taxon concept: Douglas & Wilson (2015)"
Callistemon,Callistemon rigidus,stiff erect shrub. mostly 2-3 m high.,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,erect,erect,woody,NA,Text by R. D. Spencer & P. F. Lumley; Taxon concept: Flora of NSW 2 (1991)
Callistemon,Callistemon sabrina,shrub or tree 1-4 m high with fibrous bark.,perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,NA,NA,woody,NA,Text by Peter G. Wilson; Taxon concept: Craven (2009) as Melaleuca
Callistemon,Callistemon salignus,large shrub or small tree 3-10 m high;,perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,NA,NA,woody,NA,Text by R. D. Spencer & P. F. Lumley; Taxon concept: Flora of NSW 2 (1991)
Callistemon,Callistemon serpentinus,"shrub 2.5-4 m high with firm, papery, flaky bark.",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,NA,NA,woody,NA,Text by Peter G. Wilson; Taxon concept: Craven (2009) as Melaleuca
Callistemon,Callistemon shiressii,"shrub or small tree, 1.5-12 m high;",perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,NA,NA,woody,NA,Text by R. D. Spencer & P. F. Lumley; Taxon concept: Flora of NSW 2 (1991)
Callistemon,Callistemon sieberi,shrub or small tree;,perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,NA,NA,woody,NA,Text by R. D. Spencer & P. F. Lumley; Taxon concept: Flora of NSW 2 (1991)
Callistemon,Callistemon subulatus,"low, spreading shrub mostly circa 1 m high;",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,spreading,spreading,woody,NA,Text by R. D. Spencer & P. F. Lumley; Taxon concept: Flora of NSW 2 (1991)
Callistemon,Callistemon viminalis,shrub or small tree to 8 m high;,perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,NA,NA,woody,NA,Text by R. D. Spencer & P. F. Lumley. Distribution updated February 2020 by Peter Wilson.; Taxon concept: Flora of NSW 2 (1991)
Callitriche,Callitriche,aquatic or semiaquatic delicate glabrous herbs. mostly monoecious.,NA,NA,NA,NA,herb,herbs,semiaquatic aquatic,semiaquatic aquatic,monoecious,monoecious,NA,NA,herbaceous,NA,Text by S. W. L. Jacobs
Callitriche,Callitriche umbonata,"spreading, submerged or semiaquatic glabrous herb.",NA,NA,NA,NA,herb,herb,semiaquatic aquatic,semiaquatic submerged,monoecious,inferred_from_genus,spreading submerged,spreading submerged,herbaceous,NA,Text by S. W. L. Jacobs; Taxon concept: Flora of NSW 3 (1992)
Callitriche,Callitriche muelleri,"spreading, light green, annual glabrous herb.",annual,annual,NA,NA,herb,herb,NA,NA,monoecious,inferred_from_genus,spreading,spreading,herbaceous,NA,Text by S. W. L. Jacobs; Taxon concept: Flora of NSW 3 (1992)
Callitriche,Callitriche stagnalis,"spreading, submerged or , semiaquatic glabrous herb.",NA,NA,NA,NA,herb,herb,semiaquatic aquatic,semiaquatic submerged,monoecious,inferred_from_genus,spreading submerged,spreading submerged,herbaceous,NA,Text by S. W. L. Jacobs; Taxon concept: Flora of NSW 3 (1992)
