genus,species,form,height,stem diameter,fruits,dispersers,dispersers_simple,min fruit length,max fruit length,min fruit width,max fruti width,min seed length,max seed length,species_name,flowering_span,fruiting_span
Cyathea,leichhardtiana,tree fern,7,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cyathea leichhardtiana,NA,NA
Cyathea,robertsiana,tree fern,7,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cyathea robertsiana,NA,NA
Cyathea,woollsiana,tree fern,6,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cyathea woollsiana,NA,NA
Cyathea,exilis,tree fern,4,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cyathea exilis,NA,NA
Cyathea,x marcescens,tree fern,9,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cyathea x marcescens,NA,NA
Cyathea,rebeccae,tree fern,6,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cyathea rebeccae,NA,NA
Cyathea,baileyana,tree fern,5,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cyathea baileyana,NA,NA
Cyathea,felina,tree fern,8,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cyathea felina,NA,NA
Cyathea,celebica,tree fern,6,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cyathea celebica,NA,NA
Cycas,media,cycad,6,NA,fleshy,Cassowary,cassowary,NA,NA,NA,NA,30,40,Cycas media,NA,1NNNNNN11111
Cycas,silvestris,cycad,9,NA,fleshy,NA,NA,NA,NA,NA,NA,20,35,Cycas silvestris,NA,NNNNN111NNNN
Tetrameles,nudiflora,tree,45,NA,capsule,NA,NA,4,5,NA,NA,1,1,Tetrameles nudiflora,NNNNNNNNN11N,NNNNNNNNNN11
Davidsonia,jerseyana,tree,10,NA,drupe,NA,NA,NA,50,NA,NA,NA,20,Davidsonia jerseyana,1NNNNNNNN111,11NNNNNNNNNN
Davidsonia,johnsonii,tree,18,0.65,drupe,NA,NA,30,40,40,55,NA,NA,Davidsonia johnsonii,NNNNNNNNN11N,N111NNNNNNNN
Davidsonia,pruriens pruriens,tree,18,NA,drupe,"Cassowary, Sulphur-crested Cockatoo & Double-eyed Fig-parrot",birds cassowary,30,55,32,46,NA,NA,Davidsonia pruriens pruriens,1.11111E+11,1.11111E+11
Dichapetalum,papuanum,vine/shrub,NA,NA,capsule,NA,NA,7,20,10,24,NA,NA,Dichapetalum papuanum,11NNNNNN1111,111111NNNNN1
Dichapetalum,timorense,vine,NA,NA,drupe,"Cassowary, Metallic Starling & Trumpet Manucode",birds cassowary,15,30,22,40,NA,NA,Dichapetalum timorense,NNNNNN1111NN,NNNNNN1111NN
Dicksonia,antarctica,tree fern,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dicksonia antarctica,NA,NA
Dicksonia,yungiae,tree fern,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dicksonia yungiae,NA,NA
Dicksonia,herbertii,tree fern,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dicksonia herbertii,NA,NA
Dillenia,alata,tree,15,NA,capsule,Eclectus Parrot,birds,NA,NA,40,55,4,4,Dillenia alata,1.11111E+11,11NNNNN11111
Hibbertia,banksii,shrub,3,NA,capsule,NA,NA,5,5,5,5,3,3,Hibbertia banksii,1.11111E+11,N111NNNNNNNN
Hibbertia,melhanioides,shrub,1.5,NA,capsule,NA,NA,3,3,NA,NA,2,2,Hibbertia melhanioides,1.11111E+11,NNNNNNNNNN1N
Hibbertia,pholidota,vine/shrub,2,NA,capsule,NA,NA,3,3,NA,NA,NA,NA,Hibbertia pholidota,NNNN111111NN,NA
Hibbertia,scandens,vine,NA,NA,capsule,Victoria's Riflebird & pigeons,birds,NA,NA,35,40,NA,NA,Hibbertia scandens,1.11111E+11,1111NNNNNNNN
Tetracera,daemeliana,vine,NA,NA,capsule,Eclectus Parrot,birds,5,5,3,3,4,4,Tetracera daemeliana,1111NNNNN111,11NNNNNNNN11
Tetracera,nordriana,vine/shrub,NA,NA,capsule,NA,NA,5,10,3,8,2,2,Tetracera nordriana,111NNNNNN111,11111NNNNNN1
Dioscorea,alata,vine,NA,NA,capsule,NA,NA,17,20,15,15,NA,NA,Dioscorea alata,NNNNN1NNNNNN,NNNN111NNNNN
Dioscorea,bulbifera,vine,NA,NA,capsule,Emerald Dove,birds,18,30,10,13,NA,NA,Dioscorea bulbifera,N111NNNNNNNN,N1111111NNNN
Dioscorea,transversa,vine,NA,NA,capsule,NA,NA,15,35,23,40,NA,NA,Dioscorea transversa,1111NNNN1111,1.11111E+11
Cordyline,cannifolia,shrub,2 (rarely to 5),NA,berry,"Cassowary, Cape York Rat & Fawn-footed Melomys",cassowary mammals,10,14,10,14,NA,NA,Cordyline cannifolia,NNN11111111N,1111111NNNNN
Cordyline,fruitcosa,shrub,3 (rarely to 5),NA,berry,NA,NA,10,10,10,10,NA,NA,Cordyline fruitcosa,1.11111E+11,NNNNN111NNNN
Cordyline,manners-suttoniae,shrub,5,NA,berry,NA,NA,8,15,8,15,4,4,Cordyline manners-suttoniae,N111111NNNNN,11111NNNNNN1
Cordyline,murchisoniae,shrub,1,NA,berry,NA,NA,10,10,10,10,NA,NA,Cordyline murchisoniae,NNNNNNN1111N,NNNNNNNN1111
Cordyline,petiolaris,shrub,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cordyline petiolaris,NA,NA
Cordyline,rubra,shrub,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cordyline rubra,NA,NA
Cordyline,stricta,shrub,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cordyline stricta,NA,NA
Pleomele,angustifolia,tree,8,NA,berry,NA,NA,10,16,10,15,8,12,Pleomele angustifolia,NN11111111NN,11NNN1111111
Drosera,adelae,herb,0.25,NA,capsule,NA,NA,NA,NA,NA,NA,NA,NA,Drosera adelae,NNNNNNN1NNNN,NNNNNNNNNN1N
Drosera,auriculata,herb,0.3,NA,capsule,NA,NA,2,2,2,2,NA,NA,Drosera auriculata,NNNNNNN1111N,NA
Drosera,prolifera,herb,0.05,NA,capsule,NA,NA,1,1,1,1,NA,NA,Drosera prolifera,1.11111E+11,NNNNNNNN1NNN
Drosera,schizandra,herb,0.15,NA,capsule,NA,NA,1,2,NA,NA,NA,NA,Drosera schizandra,NNNNNNNNN11N,NNNNNNNNN111
Drosera,spatulata,herb,0.25,NA,capsule,NA,NA,1.5,1.5,NA,NA,NA,NA,Drosera spatulata,111111NN1111,NNNNNNNNN111
Diospyros,(Baird LA),tree,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Diospyros (Baird LA),NNNNNNNN11NN,NA
Diospyros,(Bamaga),tree,6,NA,berry,NA,NA,9,11,10,14,9,9,Diospyros (Bamaga),NNN1NNNNNNNN,NNNNNNNNNNN1
Diospyros,(Kuranda),tree,5,NA,berry,NA,NA,12,12,12,12,10,10,Diospyros (Kuranda),N111111NNNNN,NNNNN1111111
Diospyros,(Millaa Millaa),tree,2,NA,berry,NA,NA,13,15,10,10,8,8,Diospyros (Millaa Millaa),1NNNNNNNNNN1,NNNN1111111N
Diospyros,(Mt Lewis),tree,20,NA,berry,NA,NA,12,14,8,12,10,10,Diospyros (Mt Lewis),NNNNNNNNNN11,NNNNNNN1111N
Diospyros,(Mt Spurgeon),tree,20,NA,berry,NA,NA,15,18,10,15,NA,NA,Diospyros (Mt Spurgeon),NNNNNNNNNN11,NNNNNNNN1111
Diospyros,(Mt White),tree,7,NA,berry,NA,NA,10,12,5,12,8,8,Diospyros (Mt White),NNNNNNN1111N,1111NNNNNNN1
Diospyros,(Swipers Flat),tree,18,NA,berry,NA,NA,20,20,20,20,NA,NA,Diospyros (Swipers Flat),NNNNNNNN11NN,NNNN1NNNNNNN
Diospyros,australis,tree,20,0.25,berry,Lewin's Honeyeater & Regent Bowerbird,birds,10,20,10,20,8,10,Diospyros australis,NNNNNNNNN111,N11111NNNNNN
Diospyros,calycantha,tree,20,NA,berry,NA,NA,12,14,12,14,10,12,Diospyros calycantha,NNN111NNNNNN,NNNNNNN111NN
Diospyros,compacta,tree,11,NA,berry,fruit-doves,birds,6,13,5,15,5,7,Diospyros compacta,NNNNNNNN111N,1111NNNNNNN1
Diospyros,cupulosa,tree,12,NA,berry,NA,NA,10,27,12,16,14,14,Diospyros cupulosa,N111111NNNNN,1NNN11111111
Diospyros,fasciculosa,tree,30,0.4,berry,Pied Currawong,birds,12,15,12,15,NA,NA,Diospyros fasciculosa,NNNNNNNN111N,11NNNNNNNN11
Diospyros,geminata,tree,10,NA,berry,NA,NA,10,11,8,11,8,8,Diospyros geminata,111NNN111111,N11111111111
Diospyros,hebecarpa,tree,20,NA,berry,Cassowary,cassowary,25,40,25,40,17,17,Diospyros hebecarpa,11NNNNNNNNNN,NN1111111111
Diospyros,humilis,tree,15,NA,berry,"Koel, Metallic Starling, Spotted Bowerbird, Great Bowerbird & pigeons",birds,12,14,10,10,6,9,Diospyros humilis,NNNNNNNNNN11,1.11111E+11
Diospyros,littorea,tree,15,NA,berry,NA,NA,14,14,8,10,8,10,Diospyros littorea,NNNNNNNNNN1N,1.11111E+11
Diospyros,mabacea,tree,25,0.3,berry,NA,NA,25,45,NA,NA,17,20,Diospyros mabacea,NNNNNNNN1NNN,N11NNNNNNNNN
Diospyros,major ebenus,shrub,3 (occassionally small tree to 6m),NA,berry,NA,NA,10,15,NA,NA,NA,NA,Diospyros major ebenus,1NNNNNNNNNNN,1NNNNNN11111
Diospyros,maritima,tree,15,NA,berry,Pied Imperial-Pigeon,birds,15,20,12,30,10,10,Diospyros maritima,11NNNNNNNNNN,NNN1111111NN
Diospyros,pentamera,tree,20,0.6,berry,many bird species,birds,12,16,10,15,7,10,Diospyros pentamera,1NNNNNNN1111,1111111NNNNN
Elaeagnus,triflora,vine/shrub,NA,NA,drupe,Spectacled Flying-fox & many bird species,birds bats,10,20,12,12,18,18,Elaeagnus triflora,NNNN1111111N,11NN11111111
Aceratium,concinnum,tree,25,NA,drupe,NA,NA,12,18,8,10,10,10,Aceratium concinnum,1111111NNNNN,NNNNNN111NNN
Aceratium,doggrellii,tree,35,NA,drupe,Cassowary,cassowary,25,35,15,20,NA,NA,Aceratium doggrellii,NNNNNNNN1111,11111NNNNN11
Aceratium,ferrugneum,tree,30,NA,drupe,Cassowary & Wompoo Fruit-dove,birds cassowary,30,45,18,38,NA,NA,Aceratium ferrugneum,11NNNNNNNNN1,1.11111E+11
Aceratium,megalospermum,tree,12,NA,drupe,"Cassowary, Black-faced Cuckoo-shrike & pigeons",birds cassowary,9,18,9,12,8,8,Aceratium megalospermum,N111111111NN,11NNNNNNN111
Aceratium,sericoleopsis,tree,15,NA,drupe,"Cassowary, Crimson Rosella & native rats",birds mammals cassowary,18,30,10,19,12,12,Aceratium sericoleopsis,11111NNNNNNN,1.11111E+11
Aristotelia,australasica,shrub,NA,NA,berry,NA,NA,NA,NA,NA,NA,NA,NA,Aristotelia australasica,NA,NA
Elaeocarpus,(Mossman Bluff),tree,15,NA,drupe,NA,NA,15,17,11,12,NA,NA,Elaeocarpus (Mossman Bluff),NA,NNNN11NNNNNN
Elaeocarpus,(Mt Bellenden Kerr),tree,35,NA,drupe,"Satin Bowerbird, Tooth-billed Bowerbird & Pied Currawong",birds,12,14,9,10,NA,NA,Elaeocarpus (Mt Bellenden Kerr),NNNNNNNN1111,N111NNNNNNNN
Elaeocarpus,(Mt Spurgeon),tree,30,NA,drupe,NA,NA,50,55,35,50,30,35,Elaeocarpus (Mt Spurgeon),1NNNNNNNNNNN,NN1NNNNNNNNN
Elaeocarpus,(Windsor Tableland),tree,20,NA,drupe,NA,NA,15,20,10,15,17,17,Elaeocarpus (Windsor Tableland),N1NNNNNNNNNN,11NNNNNNNN11
Elaeocarpus,(Minyon),tree,NA,NA,drupe,NA,NA,NA,NA,NA,NA,NA,NA,Elaeocarpus (Minyon),NA,NA
Elaeocarpus,arnhemicus,tree,35,NA,drupe,many bird species,birds,10,17,6,13,NA,NA,Elaeocarpus arnhemicus,NN1111NNNNNN,11NNNNNN1111
Elaeocarpus,bancroftii,tree,30,NA,drupe,"Cassowary, Spectacled Flying-fox & native rats",cassowary bats mammals,40,55,33,40,30,40,Elaeocarpus bancroftii,NNN111NNNNNN,1.11111E+11
Elaeocarpus,carolinae,tree,24,NA,drupe,NA,NA,10,15,9,14,10,12,Elaeocarpus carolinae,NN1111111NNN,N1NNNNNNNNNN
Elaeocarpus,coorangooloo,tree,35,NA,drupe,NA,NA,12,14,9,11,NA,NA,Elaeocarpus coorangooloo,NNNNN1111NNN,111NNNNNNNN1
Elaeocarpus,culminicola,tree,25,NA,drupe,Cassowary,cassowary,13,15,12,12,NA,NA,Elaeocarpus culminicola,1111111NNN11,1111NNNNNN11
Elaeocarpus,elliffii,tree,36,NA,drupe,NA,NA,12,14,10,11,NA,NA,Elaeocarpus elliffii,NNNNNNNNNN11,NNNN111111NN
Elaeocarpus,eumundi,tree,30,0.5,drupe,"Cassowary, Figbird, Spotted Catbird, Spectacled Flying-fox, Bush Rat & fruit-doves",birds bats mammals cassowary,14,20,10,12,NA,NA,Elaeocarpus eumundi,1N1111111111,1N1111111111
Elaeocarpus,ferruginiflorus,tree,25,NA,drupe,Cassowary,cassowary,17,17,11,11,NA,NA,Elaeocarpus ferruginiflorus,111NNNNNNN11,1NNNNNNNNN11
Elaeocarpus,foveolatus,tree,30,NA,drupe,"Cassowary, Tooth-billed Bowerbird, Golden Bowerbird & native rats",birds mammals cassowary,16,16,13,13,14,14,Elaeocarpus foveolatus,1NNNNNNNNN11,1NNNNN111111
Elaeocarpus,grahamii,tree,20,NA,drupe,"Black-faced Cuckoo-shrike, fruit-doves & pigeons",birds,7,11,6,8,7,9,Elaeocarpus grahamii,NNNNNNNNN11N,11NNNNNNNNNN
Elaeocarpus,grandis,tree,35,2,drupe,"Spectacled Flying-fox, Musky Rat-kangaroo, Bush Rat & many bird species",birds bats mammals,15,33,15,33,NA,NA,Elaeocarpus grandis,111NNNNNN111,1.11111E+11
Elaeocarpus,holopetalus,tree,25,2,drupe,NA,NA,9,9,NA,NA,NA,NA,Elaeocarpus holopetalus,NNNNNNNNNN11,NN11111111NN
Elaeocarpus,johnsonii,tree,18,NA,drupe,Cassowary & parrots,birds cassowary,27,40,14,25,NA,NA,Elaeocarpus johnsonii,NNNNNNNNN111,N111111NNNNN
Elaeocarpus,kirtonii,tree,45,2,drupe,fruit-doves,birds,10,15,11,11,NA,NA,Elaeocarpus kirtonii,111NNNNNNNNN,1NNNNNNNN111
Elaeocarpus,largiflorens largiflorens,tree,23,NA,drupe,many bird species,birds,16,21,10,14,18,18,Elaeocarpus largiflorens largiflorens,111NNNNNNN11,1111NNNN1111
Elaeocarpus,largiflorens retinervis,tree,25,NA,drupe,NA,NA,16,17,10,11,NA,NA,Elaeocarpus largiflorens retinervis,11NNNNNNNNNN,NNNNNN111111
Elaeocarpus,linsmithii,tree,7,NA,drupe,NA,NA,15,20,12,15,NA,NA,Elaeocarpus linsmithii,NNN1111111NN,NNNNNNNNN111
Elaeocarpus,obovatus,tree,45,1.5,drupe,many bird species,birds,6,12,7,9,NA,NA,Elaeocarpus obovatus,NNNNNNNN111N,1111NNNNNNNN
Elaeocarpus,reticulatus,tree,30,0.45,drupe,"Crimson Rosella, Figbird, Olive-backed Oriole, Regent Bowerbird, Wonga Pigeon & White-headed Pigeon",birds,8,13,NA,NA,NA,NA,Elaeocarpus reticulatus,1NNNNNNNN111,NNN1111111NN
Elaeocarpus,ruminatus,tree,30,NA,drupe,many bird species,birds,13,13,10,13,NA,NA,Elaeocarpus ruminatus,NNNNNNNNNN11,NN111111111N
Elaeocarpus,sericopetalus,tree,20,NA,drupe,Golden Bowerbird,birds,12,18,10,14,NA,NA,Elaeocarpus sericopetalus,1NNNNNNNNNN1,111NNNNNNNN1
Elaeocarpus,stellaris,tree,25,NA,drupe,Cassowary & native rats,cassowary mammals,43,65,50,60,45,57,Elaeocarpus stellaris,NNNNNNNNNN1N,1NNNNNN11111
Elaeocarpus,thelmae,tree,35,NA,drupe,NA,NA,19,23,12,13,NA,NA,Elaeocarpus thelmae,1NNNNNNNNNNN,11NNNNNNN111
Elaeocarpus,williamsianus,tree,15,0.18,drupe,NA,NA,20,30,20,30,15,18,Elaeocarpus williamsianus,NNNNNNNNNN11,NNNNNNNNNN11
Peripentadenia,mearsii,tree,30,NA,capsule,"Cassowary, King Parrot & Musky Rat-kangaroo",birds mammals cassowary,30,35,20,25,18,28,Peripentadenia mearsii,NNNNNNNNN1NN,111NNNNNNNN1
Peripentadenia,phelpsii,tree,35,NA,capsule,NA,NA,35,45,35,35,25,25,Peripentadenia phelpsii,NNNNNNN1NNNN,1NNNNNNNNNN1
Sloanea,australis,tree,35,0.6,capsule,many bird species,birds,15,20,15,20,9,10,Sloanea australis,NNNNNNNN11NN,11111NNNN111
Sloanea,langii,tree,25,NA,capsule,NA,NA,30,45,30,45,7,10,Sloanea langii,N1111111NNNN,NNNNN11NNNNN
Sloanea,macbrydei,tree,35,NA,capsule,Cassowary & Golden Bowerbird,birds cassowary,20,25,15,15,11,13,Sloanea macbrydei,NNNN1111111N,111NNNNN1111
Sloanea,woollsii,tree,55,2.5,capsule,"King Parrot, Brown Cuckoo-Dove, Green Catbird, Regent Bowerbird, Rose-crowned Fruit-Dove, Satin Bowerbird, Topknot Pigeion & Wompoo Fruit-Dove",birds,12,20,NA,NA,6,6,Sloanea woollsii,NNNNNNNN111N,N111111NNNNN
Trochocarpa,laurina,tree,13,0.45,drupe,Lewin's Honeyeater & Pied Currawong,birds,6,8,6,8,NA,NA,Trochocarpa laurina,NNNNN11NNNNN,NN11111111NN
Trochocarpa,sp.,tree,10,0.3,drupe,NA,NA,4,6,4,6,NA,NA,Trochocarpa sp.,NN11111NNNNN,11NNNNNNNN11
Acrotriche,aggregata,shrub,3,0.3,drupe,NA,NA,4,7,4,7,2,2,Acrotriche aggregata,11NN11111111,NN1111111111
Acrotriche,baileyana,shrub,4,NA,drupe,NA,NA,3,5,2,6,NA,NA,Acrotriche baileyana,NNNNNNNNN1NN,NN11111111NN
Dracophyllum,sayeri,tree,8,NA,capsule,NA,NA,3,3,3,5,1,1,Dracophyllum sayeri,1.11111E+11,11111N111111
Leucopogon,lavarackii,shrub,3,NA,drupe,NA,NA,3,5,2,3,2,4,Leucopogon lavarackii,1.11111E+11,NNNNNN1NNNNN
Leucopogon,malayanus,tree,15,NA,drupe,NA,NA,5,6,7,9,4,7,Leucopogon malayanus,NNNNN1111NNN,NNNNNNNNNNN1
Leucopogon,ruscifolius,shrub,5,NA,drupe,NA,NA,5,5,4,4,2,2,Leucopogon ruscifolius,1.11111E+11,N111111NNNNN
Leucopogon,spathaceus,tree,10,NA,drupe,Bridled Honeyeater,birds,2,3,3,5,3.5,3.5,Leucopogon spathaceus,111NNNNNN111,N111111111NN
Leucopogon,yorkensis,tree,10,NA,drupe,NA,NA,3,6,3,6,2,5,Leucopogon yorkensis,N1111111111N,N1111NNNNNNN
Trochocarpa,bellendenkerensis,tree,7,NA,drupe,NA,NA,4,5,5,8,NA,NA,Trochocarpa bellendenkerensis,1NNNNNNNN111,1.11111E+11
Agapetes,meiniana,vine/shrub,NA,NA,berry,NA,NA,10,11,8,10,NA,NA,Agapetes meiniana,NN11111111NN,11111NNNNNNN
Gaultheria,appressa,shrub,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gaultheria appressa,NA,NA
Gaultheria,(Point Lookout),shrub,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gaultheria (Point Lookout),NA,NA
Rhododendron,lochiae,shrub,1.5 (rarely to 6),NA,capsule,NA,NA,20,32,NA,NA,2,5,Rhododendron lochiae,11111NN11111,NNNN111111NN
Rhododendron,viriosum,shrub,3,NA,capsule,NA,NA,15,30,NA,NA,3,4,Rhododendron viriosum,111NNNN11111,NNNNN1111NNN
Erythroxylum,(Mosquito Pt),tree,7,NA,drupe,NA,NA,8,8,6,6,7,7,Erythroxylum (Mosquito Pt),NNN11NNNNNNN,NA
Erythroxylum,(Splityard Creek),tree,8,NA,drupe,NA,NA,7,7,3,3,NA,NA,Erythroxylum (Splityard Creek),NNN11NNNNNNN,111111NNNNN1
Erythroxylum,(Topaz),tree,25,NA,drupe,NA,NA,11,15,7,8,14,14,Erythroxylum (Topaz),11111NNNNN11,1111NNNNNNN1
Erythroxylum,australe,tree,8,NA,drupe,NA,NA,5,10,5,5,5,6,Erythroxylum australe,1111111NNNNN,11111NNNNNNN
Anopterus,macleayanus,tree,15,0.22,capsule,NA,NA,30,40,10,12,NA,25,Anopterus macleayanus,NNNNNNNNN111,NNN1111111NN
Corokia,whiteana,shrub,4,NA,drupe,NA,NA,NA,NA,NA,NA,NA,NA,Corokia whiteana,NA,NA
Cuttsia,viburnea,tree,18,0.25,capsule,NA,NA,3,3,NA,NA,0.5,0.5,Cuttsia viburnea,NNNNNNNNN111,NNN1111NNNNN
Quintinia,sieberi,tree,25,0.75,capsule,NA,NA,3,3,3,3,1,2,Quintinia sieberi,NNNNNNNNN11N,1NNNNNNNNNN1
Quintinia,verdonii,tree,17,0.3,capsule,NA,NA,1,2,1,2,NA,NA,Quintinia verdonii,NNNNNNNN111N,1NNNNNNNNNN1
Eucryphia,moorei,tree,30,0.8,capsule,NA,NA,10,15,NA,NA,3,4,Eucryphia moorei,111NNNNNNNNN,NN111NNNNNNN
Eucryphia,jinksii,tree,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucryphia jinksii,NA,NA
Eucryphia,wilkiei,shrub,6,NA,capsule,NA,NA,10,17,7,9,4,6,Eucryphia wilkiei,111NNNNNNNN1,NNNNNNN11NNN
Acalypha,capillipes,shrub,3,NA,capsule,NA,NA,2,2,3,4,2,2,Acalypha capillipes,11111NNNNNNN,NNNNNNNNN111
Acalypha,eremorum,shrub,4,NA,capsule,NA,NA,2,2,3,3,2,2,Acalypha eremorum,1.11111E+11,NNN1NNNNNNNN
Acalypha,lyonsii,shrub,4,NA,capsule,NA,NA,2,2,3,4,2,2,Acalypha lyonsii,11NNNNNNN111,1.11111E+11
Acalypha,nemorum,shrub,4,NA,capsule,NA,NA,2,3,4,4,2,2,Acalypha nemorum,1.11111E+11,1.11111E+11
Actephila,(Claudie River),shrub,3,NA,capsule,NA,NA,20,20,20,35,11,11,Actephila (Claudie River),NNNNNNNNNN1N,NNNNNNNNNN1N
Actephila,(Possum Scrub),shrub,4,NA,capsule,NA,NA,10,10,10,10,NA,NA,Actephila (Possum Scrub),NNNNNNNNNN11,NNNNNN1NNNNN
Actephila,(Rocky River),shrub,4 (rarely to 12),NA,capsule,NA,NA,17,25,12,16,10,14,Actephila (Rocky River),NNN111111111,1.11111E+11
Actephila,(Wooroonooran NP),shrub,3,NA,capsule,NA,NA,12,20,18,23,9,9,Actephila (Wooroonooran NP),NNNNNNNNN111,NNNNNN111111
Actephila,foetida,shrub,3,NA,capsule,NA,NA,12,12,15,20,10,10,Actephila foetida,NN111111111N,NNNNN1111111
Actephila,latifolia,tree,6,NA,capsule,NA,NA,14,16,14,18,8,9,Actephila latifolia,NN1NNNNNNNNN,NNNN1111111N
Actephila,lindleyi,tree,12,0.17,capsule,NA,NA,13,13,12,12,3,4,Actephila lindleyi,11NNNNN11111,NNN1111111NN
Actephila,petiolaris,tree,7,NA,capsule,NA,NA,20,20,25,25,13,13,Actephila petiolaris,NNNNNNNNNN1N,NN1111NNNNNN
Actephila,sessilifolia,shrub,6,NA,capsule,NA,NA,10,10,10,26,7,7,Actephila sessilifolia,NNNNNNNNN11N,NNN1111NNNNN
Alchornea,ilicifolia,tree,7,0.1,capsule,NA,NA,4,8,6,10,3,5,Alchornea ilicifolia,1111111NN111,11111NNN1111
Alchornea,rugosa,shrub,5,NA,capsule,NA,NA,5,8,9,10,3,6,Alchornea rugosa,NNNN11111111,11NNNN111111
Alchornea,thozetiana,tree,5,NA,capsule,NA,NA,5,8,8,10,5,6,Alchornea thozetiana,111NNNNNN111,111NNNNNN111
Aleurites,moluccana,tree,35,NA,capsule,NA,NA,40,45,40,60,20,20,Aleurites moluccana,NNNNNNNNN111,11NNNNNN1111
Aleurites,rockinghamensis,tree,40,NA,capsule,NA,NA,35,65,70,80,20,25,Aleurites rockinghamensis,111111NNN111,NN1111111111
Antidesma,bunius,tree,10,NA,berry,NA,NA,12,25,12,21,9,18,Antidesma bunius,11NNNN111111,N111111111NN
Antidesma,erostre,tree,20,NA,berry,NA,NA,5,10,3,7,5,7,Antidesma erostre,1111NNNNNN11,11111111111N
Antidesma,ghesaembilla,tree,11,NA,berry,NA,NA,4,8,2,8,NA,NA,Antidesma ghesaembilla,1.11111E+11,111111NN1111
Antidesma,hylandii,tree,8,NA,berry,NA,NA,3,5,3,5,NA,NA,Antidesma hylandii,11NNNNNNNNNN,N11NNNNNNNNN
Antidesma,parvifolium,tree,6,NA,berry,NA,NA,4,6,4,6,5,5,Antidesma parvifolium,1111111NN111,111111NNNNNN
Austrobuxus,swainii,tree,37,1,capsule,NA,NA,13,13,NA,NA,NA,NA,Austrobuxus swainii,NNN111NNNNNN,N11NNNNNNNNN
Austrobuxus (to be included in Picrodendraceae),megacarpus,tree,30,NA,capsule,NA,NA,18,23,15,20,9,10,Austrobuxus (to be included in Picrodendraceae) megacarpus,NNNN11NNNNNN,111111NNNN11
Baloghia,inophylla,tree,24,0.5,capsule,King Parrot & Crimson Rosella,birds,10,17,12,20,7,10,Baloghia inophylla,NN111111111N,N111111NNNNN
Baloghia,marmorata,tree,8,0.08,capsule,NA,NA,20,20,20,20,15,15,Baloghia marmorata,NNNNNN111NNN,NNNNNNN111NN
Baloghia,parviflora,tree,20,NA,capsule,NA,NA,10,12,12,16,7,9,Baloghia parviflora,1.11111E+11,111111NNNN11
Bertya,polystigma,tree,6,NA,capsule,NA,NA,6,8,4,4,5,5,Bertya polystigma,1111111N1111,1111111111NN
Beyeria,tristigma,shrub,4,NA,capsule,NA,NA,6,6,6,7,5,7,Beyeria tristigma,N11111111111,NNNNNN1111NN
Beyeria,viscosa,shrub in NSW & Qld (tree in Vic),11,0.25,capsule,NA,NA,8,12,8,12,2,3,Beyeria viscosa,NNNNNNNNNN11,NNNNNNN1111N
Bischofia,javanica,tree,30,NA,berry,NA,NA,8,10,9,10,5,5,Bischofia javanica,NNNNNNNN11NN,N11111NNNNNN
Breynia,cernua,shrub,5,NA,berry,"Lewin's Honeyeater, pigeons & doves",birds,3,12,4,10,3,5,Breynia cernua,1.11111E+11,1.11111E+11
Breynia,oblongifolia,tree,8,NA,berry,Brown Cuckoo-dove,birds,5,10,5,10,NA,NA,Breynia oblongifolia,1.11111E+11,1.11111E+11
Bridelia,exaltata,tree,35,0.9,drupe,NA,NA,10,10,10,10,NA,NA,Bridelia exaltata,NNNNNN1NNNNN,NN11111NNNNN
Bridelia,finalis,tree,10,NA,berry,NA,NA,5,6,4,6,5,6,Bridelia finalis,NA,NN11NNNNNNNN
Bridelia,insulana,tree,16,NA,berry,"Black Butcherbird, Metallic Starling & Figbird",birds,5,10,3,8,5,7,Bridelia insulana,NNNNNNNN1111,1111NNNN1111
Bridelia,leichhardtii,tree,15,NA,berry,NA,NA,3,7,3,7,5,5,Bridelia leichhardtii,1111111NN111,11111111NNNN
Bridelia,tomentosa,shrub,5,NA,berry,NA,NA,4,7,3,6,3,5,Bridelia tomentosa,N11111NNNNNN,NNNN1111NNNN
Choriceras,majus,tree,20,NA,capsule,NA,NA,8,10,8,10,NA,NA,Choriceras majus,1N1111111111,NNNNNNNN111N
