Merged Column,Original column,AusTraits_notes,AusTraits metadata or trait_name,grouping,data_type,Tabs Using This Column,Status,Merged/Renamed From,additional merges
_repsrouts_epicormic_??_REC,Myrtaceae: 'REC',_repsrouts_epicormic_??_REC,bud_bank location and maybe storage_organ,fire_ecology,binary,Myrtaceae,Retained as-is,,
Resprouts,Ericaceae: 'Resprouts',Resprouts,"trait = ""resprouting_capacity"" with trait value = ""resprouting"" if ""1"", fire_killed if 0",fire_ecology,binary,Ericaceae,Retained as-is,,
resprouts_from_lignotubers_roots_or_rhizomes_RLR,Fabaceae: 'RLR'; Myrtaceae: 'RLR'; Proteaceae: 'RLR',resprouts_from_lignotubers_roots_or_rhizomes_RLR,bud_bank location and maybe storage_organ,fire_ecology,binary,"Fabaceae, Myrtaceae, Proteaceae",Retained as-is,,
short-lived_after_fire_SAF,Fabaceae: 'SAF',short-lived_after_fire_SAF,"trait = ""life_history_ephemeral_class""",fire_ecology,binary,Fabaceae,Retained as-is,,
seed_germination_promoted_by_fire_SGP,Myrtaceae: 'SGP',seed_germination_promoted_by_fire_SGP,"trait = ""fire_cued_germination""",fire_ecology,binary,Myrtaceae,Retained as-is,,
secondary_pollen_presentation_SPP,Goodeniaceae: 'SPP'; Myrtaceae: 'SPP'; Proteaceae: 'SPP',secondary_pollen_presentation_SPP,,fire_ecology,count,"Goodeniaceae, Myrtaceae, Proteaceae",Retained as-is,,
soil_seed_bank_SSB,Myrtaceae: 'SSB'; Proteaceae: 'SSB',soil_seed_bank_SSB,"trait = ""seedbank_location""; value = ""soil_seedbank"" if 1",fire_ecology,binary,"Myrtaceae, Proteaceae",Retained as-is,,
Fire_response_Variable,Fabaceae: 'Variable',Fire_response_Variable,"trait = ""resprouting_capacity"" with trait value = ""partial_resprouting"" if ""1""",fire_ecology,binary,Fabaceae,Retained as-is,,
Fire_Notes,Apiaceae: 'Fire'; Euphorbiaceae: 'Fire'; Fabaceae: 'Fire Notes'; Myrtaceae: 'Fire notes'; Proteaceae: 'Fire notes',Fire_Notes,"info into life_history_ephemeral_class, resprouting_capacity, bud_bank_location, fire_cued_flowering, fire_cued_germination, etc. ",fire_ecology,verbal,"Fabaceae, Myrtaceae, Proteaceae, Apiaceae, Euphorbiaceae",Fire merged in,Fire,
Mycorrhizae,Myrtaceae: 'Mycorrhizae',Mycorrhizae,"trait = ""root_structure""",ecology,categorical,Myrtaceae,Retained as-is,,
Rare_Flora,Apiaceae: 'Rare Flora'; Araliaceae: 'Rare Flora'; Asteracea: 'Rare Flora'; Celastraceae: 'Rare Flora'; Haloragaceae: 'Rare Flora'; Lamiaceae: 'Rare Flora'; Pittosporaceae: 'Rare Flora'; Polygonaceae: 'Rare Flora'; Rutaceae: 'Rare Flora',Rare_Flora,,ecology_2,categorical,"Apiaceae, Araliaceae, Asteracea, Celastraceae, Haloragaceae, Lamiaceae, Pittosporaceae, Polygonaceae, Rutaceae",Retained as-is,,
southwest_SW,Myrtaceae: 'SW',southwest_SW,,distribution,binary,Myrtaceae,Retained as-is,,
Ecology,Apiaceae: 'Ecology'; Haemodoraceae: 'Ecology'; Orchidacae: 'Ecology'; Petaloid Monocots: 'Ecology'; Phyllanthaceae: 'Ecology',Ecology,"map across columns for vegetative_reproduction (if clonal), alternative energy acquisition, plant_growth_substrate, any other relevant ecological traits",ecology,verbal,"Apiaceae, Haemodoraceae, Orchidacae, Petaloid Monocots, Phyllanthaceae",Retained as-is,,
Ecology_ref,Orchidacae: 'Ecology ref',Ecology_ref,,ecology,verbal,Orchidacae,Retained as-is,,
Habitat_and_life_history,Araliaceae: 'Habitat'; Haloragaceae: 'Habitat',Habitat_and_life_history,,ecology,verbal,"Araliaceae, Haloragaceae",Retained as-is,,
Explosive,Proteaceae: 'Explosive',Explosive,"map into columns for dispersers, disperal appendage, dispersal syndrome",dispersal,binary,Proteaceae,Retained as-is,,
Dispersal_Wind_seeds,Proteaceae: 'Wind seeds',Dispersal_Wind_seeds,"map into columns for dispersers, disperal appendage, dispersal syndrome",dispersal,binary,Proteaceae,Retained as-is,,
Dispersal_Wing,Haloragaceae: 'Wing',Dispersal_Wing,"map into columns for dispersers, disperal appendage, dispersal syndrome",dispersal,binary,Haloragaceae,Retained as-is,,
Notes,Haemodoraceae: 'Notes'; Haloragaceae: 'Notes'; Lamiaceae: 'Notes'; Orchidacae: 'Notes'; Petaloid Monocots: 'Notes'; Phyllanthaceae: 'notes'; Pittosporaceae: 'Notes'; Thymelaeaceae: 'notes',Notes,,notes,verbal,"Haemodoraceae, Haloragaceae, Lamiaceae, Orchidacae, Petaloid Monocots, Phyllanthaceae, Pittosporaceae, Thymelaeaceae",Retained as-is,,
Photos,Haemodoraceae: 'Photos',Photos,,notes,verbal,Haemodoraceae,Retained as-is,,
Rare_status,Orchidacae: 'Rare status',Rare_status,,notes,verbal,Orchidacae,Retained as-is,,
References,Eremophila: 'References'; Haemodoraceae: 'Refs'; Petaloid Monocots: 'Refs'; Pittosporaceae: 'Refences',References,,notes,verbal,"Haemodoraceae, Petaloid Monocots, Pittosporaceae",Merged from 2 columns,Haemodoraceae (as 'Refs'); Petaloid Monocots (as 'Refs'); Pittosporaceae (as 'Refences'),
