"species","trait_name","trait_value","trait_name_standardised","trait_value_standardised","value_type","flowering_time_type","number_records","number_obs","percent_records","commonness","notes"
"Banksia ericifolia","specific_pollinator","possum (unspecified)","flower_visitor","marsupial",,,95,2,2,"rarely",""
"Banksia ericifolia","months_flowering_range","Mar-Oct","flowering_time","NNYYYYYYYYNN",,"full range",,,,,"text: 'predominantly in winter with flowers recorded as early as February and as late as October'"
"Banksia ericifolia","months_flowering_peak","Jun","flowering_time","NNNNNYNNNNNN",,"peak flowering",,,,,"tallest 'fully open' bar in chart (~95%); Jul also high (~75%)"
"Banksia ericifolia","months_fruiting_cones_present","uncertain - not confidently isolated from chart",,,,,,,,,"LOW CONFIDENCE - flag for manual check"
"Banksia ericifolia var. ericifolia","growth_form","tree","plant_growth_form","tree",,,423,,9,"rarely",""
"Banksia ericifolia var. ericifolia","growth_form","shrub","plant_growth_form","shrub",,,423,,90,"usually",""
"Banksia ericifolia var. ericifolia","growth_form","unspecified",,,,,423,,1,"rarely",""
"Banksia ericifolia var. ericifolia","growth_response","killed, new seedlings; killed, no seedlings; killed, no seedlings and killed, new seedlings","resprouting_capacity","fire_killed",,,46,43,93,,
"Banksia ericifolia var. ericifolia","growth_response","ground resprout","resprouting_capacity","resprouts",,,46,3,7,,
"Banksia ericifolia var. ericifolia","growth_response","killed, new seedlings; killed, no seedlings and killed, new seedlings","post_fire_recruitment","post_fire_recruitment",,,46,41,89,,
"Banksia ericifolia var. ericifolia","growth_response","killed, no seedlings; killed, no seedlings and killed, new seedlings","post_fire_recruitment","post_fire_recruitment_absent",,,46,3,7,,
"Banksia ericifolia var. ericifolia","growth_response","ground resprout","bud_bank_location","basal_buds",,,46,3,7,,
"Banksia ericifolia var. ericifolia","growth_response","unspecified",,,,,69,,33,,""
"Banksia ericifolia var. ericifolia","flowering_response","occurred after fire",,,,,24,,,,""
"Banksia ericifolia var. ericifolia","flowering_response","median time to flowering: 13-24 months","fire_time_from_fire_to_flowering","18.5","median",,24,,,,""
"Banksia ericifolia var. ericifolia","flowering_response","minimum time to flowering: <1 month","fire_time_from_fire_to_flowering","1","minimum",,24,,,,""
"Banksia ericifolia var. ericifolia","flowering_response","not occurred after fire",,,,,19,,,,""
"Banksia ericifolia var. ericifolia","flowering_response","median time to no flowering: 13-24 months","fire_time_from_fire_to_no_flowering","18.5","median",,19,,,,""
"Banksia ericifolia var. ericifolia","flowering_response","maximum time to no flowering: 37-48 months","fire_time_from_fire_to_no_flowering","42.5","maximum",,19,,,,""
"Banksia ericifolia var. ericifolia","pollinator_type","no pollinator observed",,,,,305,250,,,""
"Banksia ericifolia var. ericifolia","pollinator_type","bees, wasps, ants","flower_visitor","bee wasp ant",,,55,12,22,"occasionally",""
"Banksia ericifolia var. ericifolia","pollinator_type","bird","flower_visitor","bird",,,55,40,73,"usually",""
"Banksia ericifolia var. ericifolia","pollinator_type","mammals","flower_visitor","mammal",,,55,3,5,"rarely",""
"Banksia ericifolia var. ericifolia","specific_pollinator","bee (unspecified)","flower_visitor","bee",,,55,8,15,"occasionally",""
"Banksia ericifolia var. ericifolia","specific_pollinator","European honey bee","flower_visitor","honeybee",,,55,4,7,"rarely",""
"Banksia ericifolia var. ericifolia","specific_pollinator","honeyeater (unspecified); New Holland Honeyeater; White-cheeked Honeyeater; White-eared Honeyeater; White-plumed Honeyeater; Yellow-faced Honeyeater; Crescent Honeyeater; Noisy Miner; Red Wattlebird; Little Wattlebird; Eastern Spinebill; friarbird (unspecified)","flower_visitor","honeyeater",,,55,62,100,"usually",""
"Banksia ericifolia var. ericifolia","specific_pollinator","Rainbow Lorikeet","flower_visitor","parrot",,,55,1,2,"rarely",""
"Banksia ericifolia var. ericifolia","months_flowering_range","May-Sep","flowering_time","NNNNYYYYYNNN",,"full range",,,,,"text: 'flowering period is between May and September with a peak in July'"
"Banksia ericifolia var. ericifolia","months_flowering_peak","Jul","flowering_time","NNNNNNYNNNNN",,"peak flowering",,,,,"text states July; chart shows Jun and Jul both near-tallest (~95-100%)"
"Banksia ericifolia var. ericifolia","months_fruiting_cones_present","uncertain - not confidently isolated from chart",,,,,,,,,"LOW CONFIDENCE - flag for manual check"
"Banksia ericifolia var. macrantha","growth_form","tree","plant_growth_form","tree",,,76,,26,"commonly",""
"Banksia ericifolia var. macrantha","growth_form","shrub","plant_growth_form","shrub",,,76,,71,"usually",""
"Banksia ericifolia var. macrantha","growth_form","unspecified",,,,,76,,3,"rarely",""
"Banksia ericifolia var. macrantha","growth_response","killed, new seedlings; killed, no seedlings","resprouting_capacity","fire_killed",,,9,9,100,,
"Banksia ericifolia var. macrantha","growth_response","killed, new seedlings","post_fire_recruitment","post_fire_recruitment",,,9,8,89,,
"Banksia ericifolia var. macrantha","growth_response","killed, no seedlings","post_fire_recruitment","post_fire_recruitment_absent",,,9,1,11,,
"Banksia ericifolia var. macrantha","growth_response","killed, new seedlings; killed, no seedlings","bud_bank_location","none",,,9,9,100,,
"Banksia ericifolia var. macrantha","growth_response","unspecified",,,,,10,,10,,""
"Banksia ericifolia var. macrantha","flowering_response","occurred after fire",,,,,2,,,,""
"Banksia ericifolia var. macrantha","flowering_response","median time to flowering: 1-12 months","fire_time_from_fire_to_flowering","6.5","median",,2,,,,""
"Banksia ericifolia var. macrantha","flowering_response","minimum time to flowering: <1 month","fire_time_from_fire_to_flowering","1","minimum",,2,,,,""
"Banksia ericifolia var. macrantha","flowering_response","not occurred after fire",,,,,6,,,,""
"Banksia ericifolia var. macrantha","flowering_response","median time to no flowering: 1-12 months","fire_time_from_fire_to_no_flowering","6.5","median",,6,,,,""
"Banksia ericifolia var. macrantha","flowering_response","maximum time to no flowering: 25-36 months","fire_time_from_fire_to_no_flowering","30.5","maximum",,6,,,,""
"Banksia ericifolia var. macrantha","pollinator_type","no pollinator observed",,,,,29,12,,,""
"Banksia ericifolia var. macrantha","pollinator_type","bees, wasps, ants","flower_visitor","bee wasp ant",,,17,6,35,"commonly",""
"Banksia ericifolia var. macrantha","pollinator_type","bird","flower_visitor","bird",,,17,10,59,"usually",""
"Banksia ericifolia var. macrantha","pollinator_type","butterflies, moths","flower_visitor","lepidoptera",,,17,1,6,"rarely",""
"Banksia ericifolia var. macrantha","specific_pollinator","bee (unspecified)","flower_visitor","bee",,,17,2,12,"occasionally",""
"Banksia ericifolia var. macrantha","specific_pollinator","Black-faced Cuckoo-shrike","flower_visitor","bird",,,17,1,6,"rarely",""
"Banksia ericifolia var. macrantha","specific_pollinator","European honey bee","flower_visitor","honeybee",,,17,1,6,"rarely",""
"Banksia ericifolia var. macrantha","specific_pollinator","honeyeater (unspecified); Brown Honeyeater; White-cheeked Honeyeater; Tawny-crowned Honeyeater; Little Wattlebird; Eastern Spinebill","flower_visitor","honeyeater",,,17,14,82,"usually",""
"Banksia ericifolia var. macrantha","months_flowering_range","May-Sep","flowering_time","NNNNYYYYYNNN",,"full range",,,,,"text: 'main flowering period is between May and September with a peak in July' (shared wording with var. ericifolia's account)"
"Banksia ericifolia var. macrantha","months_flowering_peak","Jul","flowering_time","NNNNNNYNNNNN",,"peak flowering",,,,,"text and chart agree, tallest 'fully open' bar (~100%)"
"Banksia ericifolia var. macrantha","months_fruiting_cones_present","uncertain - not confidently isolated from chart",,,,,,,,,"LOW CONFIDENCE - flag for manual check"
"Banksia gardneri","growth_form","shrub","plant_growth_form","shrub",,,329,,95,"usually",""
"Banksia gardneri","growth_form","unspecified",,,,,329,,5,"rarely",""
"Banksia gardneri","growth_response","ground resprout and killed, new seedlings","resprouting_capacity","fire_killed",,,22,2,9,,
"Banksia gardneri","growth_response","ground resprout; ground resprout and killed, new seedlings","resprouting_capacity","resprouts",,,22,22,100,,
"Banksia gardneri","growth_response","ground resprout and killed, new seedlings","post_fire_recruitment","post_fire_recruitment",,,22,2,9,,
"Banksia gardneri","growth_response","ground resprout; ground resprout and killed, new seedlings","bud_bank_location","basal_buds",,,22,22,100,,
"Banksia gardneri","growth_response","unspecified",,,,,46,,52,,""
"Banksia gardneri","flowering_response","occurred after fire",,,,,36,,,,""
"Banksia gardneri","flowering_response","median time to flowering: 13-24 months","fire_time_from_fire_to_flowering","18.5","median",,36,,,,""
"Banksia gardneri","flowering_response","minimum time to flowering: <1 month","fire_time_from_fire_to_flowering","1","minimum",,36,,,,""
"Banksia gardneri","flowering_response","not occurred after fire",,,,,6,,,,""
"Banksia gardneri","flowering_response","median time to no flowering: 25-36 months","fire_time_from_fire_to_no_flowering","30.5","median",,6,,,,""
"Banksia gardneri","flowering_response","maximum time to no flowering: 73-84 months","fire_time_from_fire_to_no_flowering","78.5","maximum",,6,,,,""
"Banksia gardneri","pollinator_type","no pollinator observed",,,,,88,82,,,""
"Banksia gardneri","pollinator_type","bees, wasps, ants","flower_visitor","bee wasp ant",,,6,4,67,"usually",""
"Banksia gardneri","pollinator_type","beetles","flower_visitor","beetle",,,6,1,17,"occasionally",""
"Banksia gardneri","pollinator_type","mammals","flower_visitor","mammal",,,6,1,17,"occasionally",""
"Banksia gardneri","specific_pollinator","ant","flower_visitor","ant",,,6,3,50,"usually",""
"Banksia gardneri","specific_pollinator","cockroach","flower_visitor","cockroach",,,6,1,17,"occasionally",""
"Banksia gardneri","specific_pollinator","Honey-possum","flower_visitor","marsupial",,,6,1,17,"occasionally",""
"Banksia gardneri","months_flowering_range","Jan-Nov","flowering_time","YYYYYYYYYYYN",,"full range",,,,,"from monthly chart - 'fully open' bars present in every month except Dec, ranging from ~10% to ~85%; no single Discussion sentence states a flowering season for the species as a whole (the two named varieties each have their own, narrower, season - see var. brevidentata)"
"Banksia gardneri","months_flowering_peak","Nov","flowering_time","NNNNNNNNNNYN",,"peak flowering",,,,,"tallest 'fully open' bar (~85%); May is a secondary peak (~78%)"
"Banksia gardneri","months_fruiting_cones_present","uncertain - not confidently isolated from chart",,,,,,,,,"LOW CONFIDENCE - flag for manual check"
"Banksia gardneri var. brevidentata","growth_form","shrub","plant_growth_form","shrub",,,29,,100,"usually",""
"Banksia gardneri var. brevidentata","growth_response","ground resprout and killed, new seedlings","resprouting_capacity","fire_killed",,,5,1,20,,
"Banksia gardneri var. brevidentata","growth_response","ground resprout; ground resprout and killed, new seedlings","resprouting_capacity","resprouts",,,5,5,100,,
"Banksia gardneri var. brevidentata","growth_response","ground resprout and killed, new seedlings","post_fire_recruitment","post_fire_recruitment",,,5,1,20,,
"Banksia gardneri var. brevidentata","growth_response","ground resprout; ground resprout and killed, new seedlings","bud_bank_location","basal_buds",,,5,5,100,,
"Banksia gardneri var. brevidentata","growth_response","unspecified",,,,,8,,37,,""
"Banksia gardneri var. brevidentata","flowering_response","occurred after fire",,,,,7,,,,""
"Banksia gardneri var. brevidentata","flowering_response","median time to flowering: 13-24 months","fire_time_from_fire_to_flowering","18.5","median",,7,,,,""
"Banksia gardneri var. brevidentata","flowering_response","minimum time to flowering: <1 month","fire_time_from_fire_to_flowering","1","minimum",,7,,,,""
"Banksia gardneri var. brevidentata","flowering_response","not occurred after fire",,,,,0,,,,""
"Banksia gardneri var. brevidentata","pollinator_type","no pollinator observed",,,,,11,10,,,""
"Banksia gardneri var. brevidentata","pollinator_type","bees, wasps, ants","flower_visitor","bee wasp ant",,,1,1,100,"usually",""
"Banksia gardneri var. brevidentata","months_flowering_range","May-Jun, plus a minor record in Oct","flowering_time","NNNNYYNNNYNN",,"full range",,,,,"text: 'Flowering is from autumn to early winter'; chart shows 'fully open' at May (~85%), Jun (~35%) and a separate Oct bar (~65%) not mentioned in the text"
"Banksia gardneri var. brevidentata","months_flowering_peak","May","flowering_time","NNNNYNNNNNNN",,"peak flowering",,,,,"tallest 'fully open' bar in chart (~85%), though Jun carried the most total records (13 of 29)"
"Banksia gardneri var. brevidentata","months_fruiting_cones_present","uncertain - not confidently isolated from chart",,,,,,,,,"LOW CONFIDENCE - flag for manual check"
"Banksia gardneri var. gardneri","growth_form","shrub","plant_growth_form","shrub",,,180,,99,"usually",""
"Banksia gardneri var. gardneri","growth_form","unspecified",,,,,180,,1,"rarely",""
"Banksia gardneri var. gardneri","growth_response","ground resprout","resprouting_capacity","resprouts",,,10,10,100,,
"Banksia gardneri var. gardneri","growth_response","ground resprout","bud_bank_location","basal_buds",,,10,10,100,,
"Banksia gardneri var. gardneri","growth_response","unspecified",,,,,27,,63,,""
"Banksia gardneri var. gardneri","flowering_response","occurred after fire",,,,,21,,,,""
"Banksia gardneri var. gardneri","flowering_response","median time to flowering: 13-24 months","fire_time_from_fire_to_flowering","18.5","median",,21,,,,""
"Banksia gardneri var. gardneri","flowering_response","minimum time to flowering: <1 month","fire_time_from_fire_to_flowering","1","minimum",,21,,,,""
"Banksia gardneri var. gardneri","flowering_response","not occurred after fire",,,,,4,,,,""
"Banksia gardneri var. gardneri","flowering_response","median time to no flowering: 24-25 months","fire_time_from_fire_to_no_flowering","24.5","median",,4,,,,""
"Banksia gardneri var. gardneri","flowering_response","maximum time to no flowering: 73-84 months","fire_time_from_fire_to_no_flowering","78.5","maximum",,4,,,,""
"Banksia gardneri var. gardneri","pollinator_type","no pollinator observed",,,,,55,52,,,""
"Banksia gardneri var. gardneri","pollinator_type","bees, wasps, ants","flower_visitor","bee wasp ant",,,3,3,100,"usually",""
"Banksia gardneri var. gardneri","specific_pollinator","ant","flower_visitor","ant",,,3,3,100,"usually",""
"Banksia gardneri var. gardneri","months_flowering_range","Sep-Nov","flowering_time","NNNNNNNNYYYN",,"full range",,,,,"text: 'The main flowering period is from September to November'"
"Banksia gardneri var. gardneri","months_flowering_peak","Oct","flowering_time","NNNNNNNNNYNN",,"peak flowering",,,,,"tallest 'fully open' bar in chart (~92%); Nov also high (~75%)"
"Banksia gardneri var. gardneri","months_fruiting_cones_present","uncertain - not confidently isolated from chart",,,,,,,,,"LOW CONFIDENCE - flag for manual check"
"Banksia gardneri var. hiemalis","growth_form","shrub","plant_growth_form","shrub",,,81,,98,"usually",""
"Banksia gardneri var. hiemalis","growth_form","unspecified",,,,,81,,2,"rarely",""
"Banksia gardneri var. hiemalis","growth_response","ground resprout","resprouting_capacity","resprouts",,,2,2,100,,
"Banksia gardneri var. hiemalis","growth_response","ground resprout","bud_bank_location","basal_buds",,,2,2,100,,
"Banksia gardneri var. hiemalis","flowering_response","occurred after fire",,,,,2,,,,""
"Banksia gardneri var. hiemalis","flowering_response","median time to flowering: 13-24 months","fire_time_from_fire_to_flowering","18.5","median",,2,,,,""
"Banksia gardneri var. hiemalis","flowering_response","minimum time to flowering: 1-12 months","fire_time_from_fire_to_flowering","6.5","minimum",,2,,,,""
"Banksia gardneri var. hiemalis","flowering_response","not occurred after fire",,,,,0,,,,""
"Banksia gardneri var. hiemalis","pollinator_type","no pollinator observed",,,,,6,5,,,""
"Banksia gardneri var. hiemalis","pollinator_type","mammals","flower_visitor","mammal",,,1,1,100,"usually",""
"Banksia gardneri var. hiemalis","specific_pollinator","cockroach","flower_visitor","cockroach",,,1,1,100,"usually",""
"Banksia gardneri var. hiemalis","specific_pollinator","Honey-possum","flower_visitor","marsupial",,,1,1,100,"usually",""
"Banksia gardneri var. hiemalis","months_flowering_range","Jun-Oct","flowering_time","NNNNNYYYYYNN",,"full range",,,,,"text: 'George (1981) stated that June-August is the flowering period of var. hiemalis... Atlas contributors [data] suggest a peak flowering time in July but with some plants flowering as late as October, whilst in November, 6 out of 11 recordings were stated to be in bud'"
"Banksia gardneri var. hiemalis","months_flowering_peak","Jul","flowering_time","NNNNNNYNNNNN",,"peak flowering",,,,,"text: Atlas data 'suggest a peak flowering time in July'"
"Banksia gardneri var. hiemalis","months_fruiting_cones_present","uncertain - not confidently isolated from chart",,,,,,,,,"LOW CONFIDENCE - flag for manual check"
"Banksia goodii","growth_form","shrub","plant_growth_form","shrub",,,17,,94,"usually",""
"Banksia goodii","growth_form","unspecified",,,,,17,,6,"rarely",""
"Banksia goodii","growth_response","killed, new seedlings","resprouting_capacity","fire_killed",,,3,1,33,,
"Banksia goodii","growth_response","ground resprout","resprouting_capacity","resprouts",,,3,2,67,,
"Banksia goodii","growth_response","killed, new seedlings","post_fire_recruitment","post_fire_recruitment",,,3,1,33,,
"Banksia goodii","growth_response","ground resprout","bud_bank_location","basal_buds",,,3,2,67,,
"Banksia goodii","growth_response","unspecified",,,,,5,,40,,""
"Banksia goodii","flowering_response","occurred after fire",,,,,3,,,,""
"Banksia goodii","flowering_response","median time to flowering: 13-24 months","fire_time_from_fire_to_flowering","18.5","median",,3,,,,""
"Banksia goodii","flowering_response","minimum time to flowering: 1-12 months","fire_time_from_fire_to_flowering","6.5","minimum",,3,,,,""
"Banksia goodii","flowering_response","not occurred after fire",,,,,1,,,,""
"Banksia goodii","flowering_response","maximum time to no flowering: 13-24 months","fire_time_from_fire_to_no_flowering","18.5","maximum",,1,,,,""
"Banksia goodii","pollinator_type","no pollinator observed",,,,,3,3,,,""
"Banksia goodii","months_flowering_range","Sep-Nov","flowering_time","NNNNNNNNYYYN",,"full range",,,,,"text: 'The flowering season is short being mainly in November though plants were reported ""in bud"" as early as September'"
"Banksia goodii","months_flowering_peak","Nov","flowering_time","NNNNNNNNNNYN",,"peak flowering",,,,,"text states flowering is 'mainly in November'"
"Banksia goodii","months_fruiting_cones_present","uncertain - not confidently isolated from chart",,,,,,,,,"LOW CONFIDENCE - flag for manual check"
"Banksia grandis","growth_form","tree","plant_growth_form","tree",,,1952,,90,"usually",""
"Banksia grandis","growth_form","shrub","plant_growth_form","shrub",,,1952,,9,"rarely",""
"Banksia grandis","growth_form","unspecified",,,,,1952,,1,"rarely",""
"Banksia grandis","growth_response","ground resprout and killed, new seedlings; killed, new seedlings; killed, new seedlings and trunk resprout; killed, no seedlings and trunk resprout; killed, no seedlings and killed, new seedlings","resprouting_capacity","fire_killed",,,236,43,18,,
"Banksia grandis","growth_response","ground resprout; ground resprout and killed, new seedlings; ground resprout and trunk resprout; killed, new seedlings and trunk resprout; trunk resprout; killed, no seedlings and trunk resprout","resprouting_capacity","resprouts",,,236,213,90,,
"Banksia grandis","growth_response","ground resprout and killed, new seedlings; killed, new seedlings; killed, new seedlings and trunk resprout; killed, no seedlings and killed, new seedlings","post_fire_recruitment","post_fire_recruitment",,,236,39,17,,
"Banksia grandis","growth_response","killed, no seedlings and trunk resprout; killed, no seedlings and killed, new seedlings","post_fire_recruitment","post_fire_recruitment_absent",,,236,8,3,,
"Banksia grandis","growth_response","ground resprout; ground resprout and killed, new seedlings; ground resprout and trunk resprout","bud_bank_location","basal_buds",,,236,105,44,,
"Banksia grandis","growth_response","ground resprout and trunk resprout; killed, new seedlings and trunk resprout; trunk resprout; killed, no seedlings and trunk resprout","bud_bank_location","epicormic_buds",,,236,170,72,,
"Banksia grandis","growth_response","unspecified",,,,,385,,40,,""
"Banksia grandis","flowering_response","occurred after fire",,,,,197,,,,""
"Banksia grandis","flowering_response","median time to flowering: 1-12 months","fire_time_from_fire_to_flowering","6.5","median",,197,,,,""
"Banksia grandis","flowering_response","minimum time to flowering: <1 month","fire_time_from_fire_to_flowering","1","minimum",,197,,,,""
"Banksia grandis","flowering_response","not occurred after fire",,,,,76,,,,""
"Banksia grandis","flowering_response","median time to no flowering: 13-24 months","fire_time_from_fire_to_no_flowering","18.5","median",,76,,,,""
"Banksia grandis","flowering_response","maximum time to no flowering: 61-72 months","fire_time_from_fire_to_no_flowering","66","maximum",,76,,,,""
"Banksia grandis","pollinator_type","no pollinator observed",,,,,914,777,,,""
"Banksia grandis","pollinator_type","bees, wasps, ants","flower_visitor","bee wasp ant",,,135,64,47,"commonly",""
"Banksia grandis","pollinator_type","beetles","flower_visitor","beetle",,,135,3,2,"rarely",""
"Banksia grandis","pollinator_type","bird","flower_visitor","bird",,,135,55,41,"commonly",""
"Banksia grandis","pollinator_type","flies","flower_visitor","fly",,,135,9,7,"rarely",""
"Banksia grandis","pollinator_type","butterflies, moths","flower_visitor","lepidoptera",,,135,4,3,"rarely",""
"Banksia grandis","specific_pollinator","ant","flower_visitor","ant",,,135,19,14,"occasionally",""
"Banksia grandis","specific_pollinator","bee (unspecified); native bee","flower_visitor","bee",,,135,46,34,"commonly",""
"Banksia grandis","specific_pollinator","Rufous Treecreeper","flower_visitor","bird",,,135,1,0.7,"rarely",""
"Banksia grandis","specific_pollinator","blowfly","flower_visitor","carrion_fly",,,135,1,0.7,"rarely",""
"Banksia grandis","specific_pollinator","European honey bee","flower_visitor","honeybee",,,135,6,4,"rarely",""
"Banksia grandis","specific_pollinator","honeyeater (unspecified); New Holland Honeyeater; Spiny-cheeked Honeyeater; wattlebird (unspecified); Red Wattlebird; Western Spinebill","flower_visitor","honeyeater",,,135,41,30,"commonly",""
"Banksia grandis","specific_pollinator","Red-capped Parrot; Port Lincoln Parrot; Purple-crowned Lorikeet","flower_visitor","parrot",,,135,9,7,"rarely",""
"Banksia grandis","months_flowering_range","Aug-Jan","flowering_time","YNNNNNNYYYYY",,"full range",,,,,"text: 'B. grandis flowers and produces new shoot growth from August to January'; chart shows low-level 'fully open' bars (~10-20%) present nearly year-round with a clear rise from Oct"
"Banksia grandis","months_flowering_peak","Nov-Dec","flowering_time","NNNNNNNNNNYY",,"peak flowering",,,,,"tallest 'fully open' bars in chart (Nov ~65%, Dec ~60%)"
"Banksia grandis","months_fruiting_cones_present","uncertain - not confidently isolated from chart",,,,,,,,,"LOW CONFIDENCE - flag for manual check"
"Banksia grossa","growth_form","shrub","plant_growth_form","shrub",,,53,,98,"usually",""
"Banksia grossa","growth_form","unspecified",,,,,53,,2,"rarely",""
"Banksia grossa","growth_response","no fire-response records",,,,,0,,,,""
"Banksia grossa","pollinator_type","no pollinator observed",,,,,14,14,,,""
"Banksia grossa","months_flowering_range","Mar-May, plus a secondary record in Dec","flowering_time","NNYYYNNNNNNY",,"full range",,,,,"text: 'Flowering is mainly in autumn ... though some flowers were recorded as early as December'"
"Banksia grossa","months_flowering_peak","Mar-Apr","flowering_time","NNYYNNNNNNNN",,"peak flowering",,,,,"chart shows Mar and Apr both ~65% 'fully open', the tallest bars"
"Banksia grossa","months_fruiting_cones_present","none evident in chart",,,,,,,,,"text notes George (1981) recorded the species as lignotuberous; no fire-response records exist"
"Banksia hookeriana","growth_form","tree","plant_growth_form","tree",,,36,,3,"rarely",""
"Banksia hookeriana","growth_form","shrub","plant_growth_form","shrub",,,36,,94,"usually",""
"Banksia hookeriana","growth_form","unspecified",,,,,36,,3,"rarely",""
"Banksia hookeriana","growth_response","ground resprout and killed, new seedlings; killed, new seedlings; killed, no seedlings","resprouting_capacity","fire_killed",,,10,8,80,,
"Banksia hookeriana","growth_response","ground resprout; ground resprout and killed, new seedlings","resprouting_capacity","resprouts",,,10,4,40,,
"Banksia hookeriana","growth_response","ground resprout and killed, new seedlings; killed, new seedlings","post_fire_recruitment","post_fire_recruitment",,,10,7,70,,
"Banksia hookeriana","growth_response","killed, no seedlings","post_fire_recruitment","post_fire_recruitment_absent",,,10,1,10,,
"Banksia hookeriana","growth_response","ground resprout; ground resprout and killed, new seedlings","bud_bank_location","basal_buds",,,10,4,40,,
"Banksia hookeriana","growth_response","unspecified",,,,,15,,33,,""
"Banksia hookeriana","flowering_response","occurred after fire",,,,,9,,,,""
"Banksia hookeriana","flowering_response","median time to flowering: 13-24 months","fire_time_from_fire_to_flowering","18.5","median",,9,,,,""
"Banksia hookeriana","flowering_response","minimum time to flowering: 1-12 months","fire_time_from_fire_to_flowering","6.5","minimum",,9,,,,""
"Banksia hookeriana","flowering_response","not occurred after fire",,,,,4,,,,""
"Banksia hookeriana","flowering_response","median time to no flowering: 13-24 months","fire_time_from_fire_to_no_flowering","18.5","median",,4,,,,""
"Banksia hookeriana","flowering_response","maximum time to no flowering: 13-24 months","fire_time_from_fire_to_no_flowering","18.5","maximum",,4,,,,""
"Banksia hookeriana","pollinator_type","no pollinator observed",,,,,12,5,,,""
"Banksia hookeriana","pollinator_type","bees, wasps, ants","flower_visitor","bee wasp ant",,,7,3,43,"commonly",""
"Banksia hookeriana","pollinator_type","bird","flower_visitor","bird",,,7,4,57,"usually",""
"Banksia hookeriana","specific_pollinator","ant","flower_visitor","ant",,,7,2,29,"commonly",""
"Banksia hookeriana","specific_pollinator","bee (unspecified)","flower_visitor","bee",,,7,1,14,"occasionally",""
"Banksia hookeriana","specific_pollinator","New Holland Honeyeater; Brown Honeyeater","flower_visitor","honeyeater",,,7,4,57,"usually",""
"Banksia hookeriana","months_flowering_range","May-Oct","flowering_time","NNNNYYYYYYNN",,"full range",,,,,"text: 'Flowering is from late autumn to spring'; chart shows 'fully open' bars at May, Jun, Jul, Aug and Oct (thin sample per month, several at 100% from a single record)"
"Banksia hookeriana","months_flowering_peak","Jul-Aug","flowering_time","NNNNNNYYNNNN",,"peak flowering",,,,,"chart shows Jul and Aug both at ~100% 'fully open'; Oct also 100% but on a very small sample"
"Banksia hookeriana","months_fruiting_cones_present","uncertain - not confidently isolated from chart",,,,,,,,,"LOW CONFIDENCE - flag for manual check"
"Banksia ilicifolia","growth_form","tree","plant_growth_form","tree",,,557,,96,"usually",""
"Banksia ilicifolia","growth_form","shrub","plant_growth_form","shrub",,,557,,3,"rarely",""
"Banksia ilicifolia","growth_form","unspecified",,,,,557,,1,"rarely",""
"Banksia ilicifolia","growth_response","ground resprout and killed, new seedlings; killed, new seedlings; killed, no seedlings and trunk resprout","resprouting_capacity","fire_killed",,,57,7,12,,
"Banksia ilicifolia","growth_response","ground resprout; ground resprout and killed, new seedlings; ground resprout and trunk resprout; trunk resprout; killed, no seedlings and trunk resprout","resprouting_capacity","resprouts",,,57,53,93,,
"Banksia ilicifolia","growth_response","ground resprout and killed, new seedlings; killed, new seedlings","post_fire_recruitment","post_fire_recruitment",,,57,6,11,,
"Banksia ilicifolia","growth_response","killed, no seedlings and trunk resprout","post_fire_recruitment","post_fire_recruitment_absent",,,57,1,2,,
"Banksia ilicifolia","growth_response","ground resprout; ground resprout and killed, new seedlings; ground resprout and trunk resprout","bud_bank_location","basal_buds",,,57,21,37,,
"Banksia ilicifolia","growth_response","ground resprout and trunk resprout; trunk resprout; killed, no seedlings and trunk resprout","bud_bank_location","epicormic_buds",,,57,47,82,,
"Banksia ilicifolia","growth_response","unspecified",,,,,99,,42,,""
"Banksia ilicifolia","flowering_response","occurred after fire",,,,,65,,,,""
"Banksia ilicifolia","flowering_response","median time to flowering: 13-24 months","fire_time_from_fire_to_flowering","18.5","median",,65,,,,""
"Banksia ilicifolia","flowering_response","minimum time to flowering: <1 month","fire_time_from_fire_to_flowering","1","minimum",,65,,,,""
"Banksia ilicifolia","flowering_response","not occurred after fire",,,,,18,,,,""
"Banksia ilicifolia","flowering_response","median time to no flowering: 13-24 months","fire_time_from_fire_to_no_flowering","18.5","median",,18,,,,""
"Banksia ilicifolia","flowering_response","maximum time to no flowering: 37-48 months","fire_time_from_fire_to_no_flowering","42.5","maximum",,18,,,,""
"Banksia ilicifolia","pollinator_type","no pollinator observed",,,,,255,181,,,""
"Banksia ilicifolia","pollinator_type","bees, wasps, ants","flower_visitor","bee wasp ant",,,75,26,35,"commonly",""
"Banksia ilicifolia","pollinator_type","beetles","flower_visitor","beetle",,,75,5,7,"rarely",""
"Banksia ilicifolia","pollinator_type","bird","flower_visitor","bird",,,75,41,55,"usually",""
"Banksia ilicifolia","pollinator_type","flies","flower_visitor","fly",,,75,3,4,"rarely",""
"Banksia ilicifolia","specific_pollinator","ant","flower_visitor","ant",,,75,4,5,"rarely",""
"Banksia ilicifolia","specific_pollinator","bee (unspecified); native bee","flower_visitor","bee",,,75,17,23,"occasionally",""
"Banksia ilicifolia","specific_pollinator","European honey bee","flower_visitor","honeybee",,,75,2,3,"rarely",""
