species_name,original_name,Tasmania,Tasmania_rounded,Barlow,CPBR,GrassBase,RBGSYD,SAH,TMAG,WAH,Barlow_yes,CPBR_yes,GrassBase_yes,RBGSYD_yes,SAH_yes,TMAG_yes,WAH_yes,sum_matches,plant_height_outcome
Brunonia australis,Brunonia australis,0.5,0.5,0.35,NA,NA,0.175,NA,NA,0.225,0,NA,NA,0,NA,NA,0,0,keep
Bulbine bulbosa,Bulbine bulbosa,0.3,0.3,NA,NA,NA,0.51,0.26,NA,NA,NA,NA,NA,0,0,NA,NA,0,keep
Bulbine glauca,Bulbine glauca,1.1,1.1,NA,NA,NA,0.22,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,keep
Bulbine semibarbata,Bulbine semibarbata,0.5,0.5,NA,NA,NA,0.3335,0.3,NA,0.26,NA,NA,NA,0,0,NA,0,0,keep
Burchardia umbellata,Burchardia umbellata,0.6,0.6,0.65,NA,NA,NA,0.2575,NA,NA,0,NA,NA,NA,0,NA,NA,0,keep
Bursaria spinosa,Bursaria spinosa subsp spinosa,10,10,NA,NA,NA,5.3335,4.667,NA,NA,NA,NA,NA,0,0,NA,NA,0,keep
Caesia alpina,Caesia alpina,0.15,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Caesia calliantha,Caesia calliantha,0.5,0.5,0.7,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,keep
Caesia parviflora,Caesia parviflora,0.4,0.4,0.65,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,keep
Caladenia lyallii,Caladenia alpina,0.22,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Caladenia gracilis,Caladenia angustata,0.1,0.1,NA,NA,NA,NA,0.2325,NA,NA,NA,NA,NA,NA,0,NA,NA,0,keep
Caladenia carnea,Caladenia carnea,0.3,0.3,NA,NA,NA,NA,0.3035,NA,NA,NA,NA,NA,NA,0,NA,NA,0,keep
Caladenia catenata,Caladenia catenata,0.2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Caladenia caudata,Caladenia caudata,0.15,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Caladenia clavigera,Caladenia clavigera,0.4,0.4,NA,NA,NA,NA,0.156,NA,NA,NA,NA,NA,NA,0,NA,NA,0,keep
Caladenia congesta,Caladenia congesta,0.6,0.6,NA,NA,NA,NA,0.3075,NA,NA,NA,NA,NA,NA,0,NA,NA,0,keep
Caladenia cucullata,Caladenia cucullata,0.25,0.25,NA,NA,NA,NA,0.13,NA,NA,NA,NA,NA,NA,0,NA,NA,0,keep
Pheladenia deformis,Caladenia deformis,0.15,0.15,NA,NA,NA,NA,0.078,NA,0.15,NA,NA,NA,NA,0,NA,1,1,omit
Caladenia echidnachila,Caladenia echidnachila,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Caladenia filamentosa,Caladenia filamentosa,0.4,0.4,NA,NA,NA,NA,0.155,NA,NA,NA,NA,NA,NA,0,NA,NA,0,keep
Caladenia gracilis,Caladenia gracilis,0.4,0.4,NA,NA,NA,NA,0.2325,NA,NA,NA,NA,NA,NA,0,NA,NA,0,keep
Caladenia latifolia,Caladenia latifolia,0.4,0.4,NA,NA,NA,NA,0.1575,NA,0.325,NA,NA,NA,NA,0,NA,0,0,keep
Caladenia minor,Caladenia minor,0.30125,0.3,NA,NA,NA,NA,0.13,NA,NA,NA,NA,NA,NA,0,NA,NA,0,keep
Caladenia patersonii,Caladenia patersonii,0.35,0.35,NA,NA,NA,NA,0.26,NA,NA,NA,NA,NA,NA,0,NA,NA,0,keep
Caladenia pusilla,Caladenia pusilla,0.15,0.15,NA,NA,NA,NA,0.0465,NA,NA,NA,NA,NA,NA,0,NA,NA,0,keep
Caladenia tonellii,Caladenia tonellii,0.35,0.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Calandrinia calyptrata,Calandrinia calyptrata,0.2,0.2,NA,NA,NA,NA,NA,0.25,0.030000000000000002,NA,NA,NA,NA,NA,0,0,0,keep
Caleana major,Caleana major,0.5,0.5,NA,NA,NA,NA,0.1575,NA,NA,NA,NA,NA,NA,0,NA,NA,0,keep
Callistemon pallidus,Callistemon pallidus,5,5,NA,NA,NA,3.3335,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,keep
Callistemon viridiflorus,Callistemon viridiflorus,2.5,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Callitris oblonga,Callitris oblonga subsp oblonga,5,5,5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,omit
Callitris rhomboidea,Callitris rhomboidea,6,6,15,NA,NA,NA,6,NA,NA,0,NA,NA,NA,1,NA,NA,1,omit
Calocephalus citreus,Calocephalus citreus,0.6,0.6,NA,NA,NA,0.375,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,keep
Calochilus herbaceus,Calochilus herbaceus,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Calochilus paludosus,Calochilus paludosus,0.35,0.35,NA,NA,NA,NA,0.2575,NA,NA,NA,NA,NA,NA,0,NA,NA,0,keep
Calochilus robertsonii,Calochilus robertsonii,0.46,0.46,NA,NA,NA,NA,0.45,NA,NA,NA,NA,NA,NA,0,NA,NA,0,keep
Calochlaena dubia,Calochlaena dubia,1.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Calorophus elongatus,Calorophus elongatus,2.5,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Calorophus erostris,Calorophus erostris,2.5,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Psychrophila introloba,Caltha phylloptera,0.08,0.08,0.075,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,keep
Calytrix tetragona,Calytrix tetragona,2,2,NA,NA,NA,1.25,3,NA,0.85,NA,NA,NA,0,0,NA,0,0,keep
Campynema lineare,Campynema lineare,0.3,0.3,0.25,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,keep
Cardamine gunnii,Cardamine gunnii,0.25,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Cardamine lilacina,Cardamine lilacina,0.5,0.5,NA,NA,NA,0.3335,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,keep
Cardamine paucijuga,Cardamine paucijuga,0.4,0.4,NA,NA,NA,0.2665,0.4,NA,0.4,NA,NA,NA,0,1,NA,1,2,omit
Carex appressa,Carex appressa,0.45,0.45,NA,NA,NA,NA,1,NA,1.25,NA,NA,NA,NA,0,NA,0,0,keep
Carex archeri,Carex archeri,0.65,0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Carex breviculmis,Carex breviculmis,0.2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Carex viridula subsp. oedocarpa,Carex demissa,0.05,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Carex diandra,Carex diandra,0.05,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Carex pseudocyperus,Carex fascicularis,1,1,NA,NA,NA,NA,0.5,NA,1.05,NA,NA,NA,NA,0,NA,0,0,keep
Carex gaudichaudiana,Carex gaudichaudiana,0.9,0.9,NA,NA,NA,NA,0.6,NA,NA,NA,NA,NA,NA,0,NA,NA,0,keep
Carex gunniana,Carex gunniana,0.7,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Carex inversa,Carex inversa,0.5,0.5,NA,NA,NA,NA,0.305,NA,0.525,NA,NA,NA,NA,0,NA,0,0,keep
Carex iynx,Carex iynx,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Carex viridula subsp. brachyrhyncha,Carex lepidocarpa,1.2,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Carex longibrachiata,Carex longebrachiata,0.8,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Carex polyantha,Carex polyantha,0.8,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Carex raleighii,Carex raleighii,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Carex tasmanica,Carex tasmanica,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Carex tereticaulis,Carex tereticaulis,1.2,1.2,NA,NA,NA,NA,1,NA,0.7,NA,NA,NA,NA,0,NA,0,0,keep
Carpha alpina,Carpha alpina,0.1,0.1,NA,NA,NA,0.055,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,keep
Carpha curvata,Carpha curvata,0.45,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Carpha rodwayi,Carpha rodwayi,0.06,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Carpobrotus rossii,Carpobrotus rossii,0.1,0.1,NA,NA,NA,NA,NA,0.3,1,NA,NA,NA,NA,NA,0,0,0,keep
Cassinia aculeata,Cassinia aculeata,2.5,2.5,NA,NA,NA,1.75,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,keep
Cassytha glabella,Cassytha glabella,0.075,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Cassytha melantha,Cassytha melantha,0.075,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Cassytha pubescens,Cassytha pubescens,0.075,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Catapodium rigidum,Catapodium rigidum,0.4,0.4,NA,NA,NA,0.2,0.10250000000000001,NA,NA,NA,NA,NA,0,0,NA,NA,0,keep
Celmisia asteliifolia,Celmisia asteliifolia,0.3,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Celmisia saxifraga,Celmisia saxifraga,0.3,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Cenarrhenes nitida,Cenarrhenes nitida,10,10,10,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,omit
Centaurium tenuiflorum,Centaurium tenuiflorum,0.4,0.4,NA,NA,NA,0.30000000000000004,0.35,NA,NA,NA,NA,NA,0,0,NA,NA,0,keep
Centella cordifolia,Centella cordifolia,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Centipeda elatinoides,Centipeda elatinoides,0.3,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Centipeda minima,Centipeda minima,0.2,0.2,NA,NA,NA,0.15000000000000002,0.10500000000000001,NA,0.115,NA,NA,NA,0,0,NA,0,0,keep
Centrolepis aristata,Centrolepis aristata,0.1,0.1,NA,NA,NA,0.055,0.051000000000000004,NA,0.11,NA,NA,NA,0,0,NA,0,0,keep
Centrolepis fascicularis,Centrolepis fascicularis,0.05,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Centrolepis monogyna,Centrolepis monogyna,0.05,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Centrolepis muscoides,Centrolepis muscoides,0.07,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Centrolepis polygyna,Centrolepis polygyna,0.07,0.07,NA,NA,NA,0.04,0.03075,NA,0.04,NA,NA,NA,0,0,NA,0,0,keep
Centrolepis strigosa,Centrolepis strigosa,0.11,0.11,NA,NA,NA,0.065,0.036000000000000004,NA,0.06,NA,NA,NA,0,0,NA,0,0,keep
Chamaescilla corymbosa,Chamaescilla corymbosa,0.15,0.15,0.4,NA,NA,NA,0.08,NA,0.25,0,NA,NA,NA,0,NA,0,0,keep
Cheesemania radicata,Cheesemania radicata,0.491667,0.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Cheilanthes austrotenuifolia,Cheilanthes austrotenuifolia,0.3,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Cheilanthes sieberi,Cheilanthes sieberi,0.35,0.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Chiloglottis cornuta,Chiloglottis cornuta,0.05,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Chiloglottis grammata,Chiloglottis grammata,0.05,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Chiloglottis gunnii,Chiloglottis gunnii,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Chiloglottis reflexa,Chiloglottis reflexa,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Chiloglottis triceratops,Chiloglottis triceratops,0.05,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Gentianella diemensis,Chionogentias diemensis,0.36,0.36,NA,NA,NA,0.22499999999999998,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,keep
Gentianella eichleri,Chionogentias eichleri,0.36,0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Gentianella pleurogynoides,Chionogentias pleurogynoides,0.36,0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Chordifex hookeri,Chordifex hookeri,0.2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Chrysocephalum apiculatum,Chrysocephalum apiculatum,0.4,0.4,NA,NA,NA,0.33499999999999996,0.25675,NA,0.47500000000000003,NA,NA,NA,0,0,NA,0,0,keep
Chrysocephalum semipapposum,Chrysocephalum semipapposum,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Clematis aristata,Clematis aristata,6,6,15,NA,NA,4,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,keep
Clematis gentianoides,Clematis gentianoides,0.45,0.45,NA,NA,NA,NA,NA,0.65,NA,NA,NA,NA,NA,NA,0,NA,0,keep
Clematis microphylla,Clematis microphylla,6,6,5,NA,NA,2,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,keep
Colobanthus apetalus,Colobanthus apetalus,0.08,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Comesperma calymega,Comesperma calymega,0.5,0.5,NA,NA,NA,NA,0.2975,NA,0.3,NA,NA,NA,NA,0,NA,0,0,keep
Comesperma defoliatum,Comesperma defoliatum,0.4,0.4,NA,NA,NA,0.4,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,omit
Comesperma ericinum,Comesperma ericinum,1.5,1.5,NA,NA,NA,1.25,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,keep
Comesperma retusum,Comesperma retusum,1.5,1.5,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,keep
Comesperma volubile,Comesperma volubile,2,2,NA,NA,NA,NA,NA,NA,1.075,NA,NA,NA,NA,NA,NA,0,0,keep
Convolvulus angustissimus,Convolvulus angustissimus,0.1,0.1,NA,NA,NA,NA,NA,NA,0.31,NA,NA,NA,NA,NA,NA,0,0,keep
Convolvulus erubescens,Convolvulus erubescens,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Coprosma hirtella,Coprosma hirtella,2,2,NA,NA,NA,1.3335,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,keep
Coprosma moorei,Coprosma moorei,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Coprosma nitida,Coprosma nitida,2,2,NA,NA,NA,1.3335,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,keep
Coprosma perpusilla,Coprosma perpusilla,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Coprosma pumila,Coprosma pumila,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Coprosma quadrifida,Coprosma quadrifida,4,4,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,keep
Coronidium scorpioides,Coronidium scorpioides,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Correa alba,Correa alba,1.5,1.5,NA,NA,NA,1,NA,3,NA,NA,NA,NA,0,NA,0,NA,0,keep
Correa backhouseana,Correa backhousiana,2,2,NA,NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,0,0,keep
Correa lawrenceana,Correa lawrenceana,9,9,NA,NA,NA,0.75,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,keep
Correa reflexa,Correa reflexa,1.5,1.5,NA,NA,NA,1,NA,3,NA,NA,NA,NA,0,NA,0,NA,0,keep
Genoplesium archeri,Corunastylis archeri,0.15,0.15,NA,NA,NA,0.15000000000000002,0.1275,NA,NA,NA,NA,NA,0,0,NA,NA,0,keep
Corybas aconitiflorus,Corybas aconitiflorus,0.05,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Corybas diemenicus,Corybas diemenicus,0.04,0.04,NA,NA,NA,NA,0.02075,NA,NA,NA,NA,NA,NA,0,NA,NA,0,keep
Corybas incurvus,Corysanthes incurva,0.05,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Cotula alpina,Cotula alpina,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Cotula australis,Cotula australis,0.1,0.1,NA,NA,NA,NA,0.12,NA,0.11,NA,NA,NA,NA,0,NA,0,0,keep
Leptinella filicula,Cotula filicula,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Leptinella reptans,Cotula reptans,0.15,0.15,NA,NA,NA,NA,0.05,NA,NA,NA,NA,NA,NA,0,NA,NA,0,keep
Craspedia alpina,Craspedia alpina,0.3,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Craspedia glauca,Craspedia glauca,0.6,0.6,NA,NA,NA,NA,0.405,NA,NA,NA,NA,NA,NA,0,NA,NA,0,keep
Crassula decumbens,Crassula decumbens,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Crassula helmsii,Crassula helmsii,0.3,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Crassula peduncularis,Crassula peduncularis,0.06,0.06,NA,NA,NA,NA,NA,NA,0.255,NA,NA,NA,NA,NA,NA,0,0,keep
Crassula sieberiana,Crassula sieberiana,0.2,0.2,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,0,0,keep
Crepidomanes venosum,Crepidomanes venosum,0.1375,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Crocosmia x crocosmiiflora,Crocosmia Xcrocosmiiflora,1,1,NA,NA,NA,0.65,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,keep
Cryptandra amara,Cryptandra amara,1,1,NA,NA,NA,0.6665,1,NA,NA,NA,NA,NA,0,1,NA,NA,1,omit
Cryptostylis subulata,Cryptostylis subulata,0.35,0.35,NA,NA,NA,NA,0.465,NA,NA,NA,NA,NA,NA,0,NA,NA,0,keep
Ctenopteris heterophylla,Ctenopteris heterophylla,0.25,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Cyathea australis,Cyathea australis,12,12,NA,NA,NA,11.25,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,keep
Styphelia abietina,Cyathodes abietina,1.45,1.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Styphelia dealbata,Cyathodes dealbata,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Lissanthe divaricata,Cyathodes divaricata,0.9,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Cyathodes glauca,Cyathodes glauca,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Styphelia abietina,Cyathodes juniperina,1.45,1.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Styphelia parvifolia,Cyathodes parvifolia,1.2,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Leptecophylla pendulosa,Cyathodes pendulosa,1.45,1.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Planocarpa petiolaris,Cyathodes petiolaris,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Cyathodes straminea,Cyathodes straminea,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Cymbonotus preissianus,Cymbonotus preissianus,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Cynoglossum suaveolens,Cynoglossum suaveolens,0.5,0.5,NA,NA,NA,0.3335,0.4,NA,NA,NA,NA,NA,0,0,NA,NA,0,keep
Cyperus gunnii,Cyperus gunnii,1.5,1.5,NA,NA,NA,1,0.6,NA,NA,NA,NA,NA,0,0,NA,NA,0,keep
Cyphanthera tasmanica,Cyphanthera tasmanica,4,4,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,1,NA,1,omit
Cyrtostylis reniformis,Cyrtostylis reniformis,0.27,0.27,NA,NA,NA,0.16,0.0785,NA,0.2,NA,NA,NA,0,0,NA,0,0,keep
Cystopteris tasmanica,Cystopteris tasmanica,0.35,0.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Dampiera stricta,Dampiera stricta,0.6,0.6,0.4,NA,NA,0.4,NA,0.6,NA,0,NA,NA,0,NA,1,NA,1,omit
Danthonia decumbens,Danthonia decumbens,0.3,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Rytidosperma dimidiatum,Danthonia dimidiata,0.533333,0.53,NA,NA,0.275,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,keep
Rytidosperma fortunae-hibernae,Danthonia fortunae-hibernae,0.533333,0.53,NA,NA,0.29000000000000004,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,keep
Rytidosperma gracile,Danthonia gracilis,0.533333,0.53,NA,NA,0.425,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,keep
Rytidosperma nivicola,Danthonia nivicola,0.3,0.3,NA,NA,0.15000000000000002,0.2,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,keep
Rytidosperma nudiflorum,Danthonia nudiflora,0.533333,0.53,NA,NA,0.2,0.2665,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,keep
Rytidosperma pauciflorum,Danthonia pauciflora,0.533333,0.53,NA,NA,0.1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,keep
Rytidosperma semiannulare,Danthonia semiannularis,1,1,NA,NA,0.325,0.6,0.23500000000000001,NA,NA,NA,NA,0,0,0,NA,NA,0,keep
Daucus glochidiatus,Daucus glochidiatus,0.6,0.6,NA,NA,NA,0.33999999999999997,0.6,NA,0.125,NA,NA,NA,0,1,NA,0,1,omit
Daviesia latifolia,Daviesia latifolia,3,3,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,keep
Daviesia ulicifolia,Daviesia ulicifolia,2,2,NA,NA,NA,1.3335,1.0005,NA,NA,NA,NA,NA,0,0,NA,NA,0,keep
Veronica derwentiana,Derwentia derwentiana,1.5,1.5,NA,NA,NA,0.9335,2,NA,NA,NA,NA,NA,0,0,NA,NA,0,keep
Veronica nivea,Derwentia nivea,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Calamagrostis carinata,Deyeuxia carinata,0.5,0.5,NA,NA,0.375,0.3335,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,keep
Calamagrostis neocontracta,Deyeuxia contracta,0.9,0.9,NA,NA,0.7000000000000001,0.6,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,keep
Calamagrostis austrodensa,Deyeuxia densa,0.9,0.9,NA,NA,0.6,NA,0.525,NA,NA,NA,NA,0,NA,0,NA,NA,0,keep
Calamagrostis frigida,Deyeuxia frigida,1.5,1.5,NA,NA,1.15,0.83325,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,keep
Calamagrostis gunniana,Deyeuxia gunniana,0.4,0.4,NA,NA,0.23500000000000001,0.2665,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,keep
Deyeuxia innominata,Deyeuxia innominata,0.3,0.3,NA,NA,0.2,0.2,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,keep
Calamagrostis minor,Deyeuxia minor,0.62,0.62,NA,NA,0.265,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,keep
Deyeuxia monticola,Deyeuxia monticola,0.7,0.7,NA,NA,0.7250000000000001,0.46649999999999997,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,keep
Calamagrostis quadriseta,Deyeuxia quadriseta,1.2,1.2,NA,NA,0.6749999999999999,0.8,1,NA,NA,NA,NA,0,0,0,NA,NA,0,keep
Dianella amoena,Dianella amoena,0.45,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Dianella brevicaulis,Dianella brevicaulis,0.5,0.5,0.5,NA,NA,NA,NA,NA,0.5,1,NA,NA,NA,NA,NA,1,2,omit
Dianella revoluta,Dianella revoluta,1,1,0.8,NA,NA,0.6665,NA,NA,0.9,0,NA,NA,0,NA,NA,0,0,keep
Dianella tasmanica,Dianella tasmanica,0.8,0.8,0.9,NA,NA,0.6,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,keep
Dichelachne crinita,Dichelachne crinita,1.5,1.5,NA,NA,0.875,1,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,keep
