Family,Nameinfra,Fire_Response_Adult,Resprout_Type
RESTIONACEAE,Dapsilanthus ramosus,NA,NA
RESTIONACEAE,Dapsilanthus spathaceus,2,2
SOLANACEAE,Datura ferox,NA,NA
SOLANACEAE,Datura inoxia,NA,NA
SOLANACEAE,Datura leichhardtii,NA,NA
SOLANACEAE,Datura wrightii,NA,NA
APIACEAE,Daucus glochidiatus,1,NA
APIACEAE,Daucus glochidiatus var. indeterminate,1,NA
FABACEAE,Daviesia arthropoda,5,2
FABACEAE,Daviesia eremaea,5,2
FABACEAE,Daviesia reclinata,1,5
LORANTHACEAE,Decaisnina brittenii subsp. speciosa,NA,NA
LORANTHACEAE,Decaisnina petiolata subsp. angustata,NA,NA
LORANTHACEAE,Decaisnina petiolata subsp. indeterminate,NA,NA
LORANTHACEAE,Decaisnina petiolata subsp. petiolata,NA,NA
LORANTHACEAE,Decaisnina signata subsp. cardiophylla,NA,NA
LORANTHACEAE,Decaisnina signata subsp. indeterminate,NA,NA
LORANTHACEAE,Decaisnina signata subsp. signata,NA,NA
MALVACEAE,Decaschistia byrnesii subsp. byrnesii,NA,NA
MALVACEAE,Decaschistia byrnesii subsp. lavandulacea,NA,NA
MALVACEAE,Decaschistia occidentalis,NA,NA
AMARANTHACEAE,Deeringia amaranthoides,NA,NA
CAESALPINIACEAE,Delonix regia,NA,NA
ORCHIDACEAE,Dendrobium affine,1,4
ORCHIDACEAE,Dendrobium canaliculatum,NA,NA
ORCHIDACEAE,Dendrobium lobbii,2,4
ORCHIDACEAE,Dendrobium trilamellatum,NA,NA
FABACEAE,Dendrolobium multiflorum,NA,NA
FABACEAE,Dendrolobium polyneurum,NA,NA
FABACEAE,Dendrolobium stipatum,NA,NA
SANTALACEAE,Dendromyza reinwardtiana,NA,NA
LORANTHACEAE,Dendrophthoe acacioides subsp. acacioides,NA,NA
LORANTHACEAE,Dendrophthoe acacioides subsp. indeterminate,NA,NA
LORANTHACEAE,Dendrophthoe acacioides subsp. longifolia,NA,NA
LORANTHACEAE,Dendrophthoe glabrescens,NA,NA
LORANTHACEAE,Dendrophthoe odontocalyx,1,5
CELASTRACEAE,Denhamia obscura,2,6
RUBIACEAE,Dentella arnhemensis,NA,NA
RUBIACEAE,Dentella asperata,NA,NA
RUBIACEAE,Dentella browniana,NA,NA
RUBIACEAE,Dentella dioeca,NA,NA
RUBIACEAE,Dentella minutissima,NA,NA
RUBIACEAE,Dentella pulvinata,NA,NA
RUBIACEAE,Dentella repens,NA,NA
FABACEAE,Derris trifoliata,2,7
MIMOSACEAE,Desmanthus virgatus,NA,NA
POTTIACEAE,Desmatodon convolutus,NA,NA
FABACEAE,Desmodium brachypodum,NA,NA
FABACEAE,Desmodium brownii,1,5
FABACEAE,Desmodium campylocaulon,NA,NA
FABACEAE,Desmodium filiforme,NA,NA
FABACEAE,Desmodium flagellare,NA,NA
FABACEAE,Desmodium gangeticum,1,5
FABACEAE,Desmodium glareosum,1,5
FABACEAE,Desmodium hannii,NA,NA
FABACEAE,Desmodium heterocarpon var. strigosum,1,5
FABACEAE,Desmodium incanum,NA,NA
FABACEAE,Desmodium muelleri var. majus,2,2
FABACEAE,Desmodium pullenii,NA,NA
FABACEAE,Desmodium pullenii / glareosum,NA,NA
FABACEAE,Desmodium pycnotrichum,1,5
FABACEAE,Desmodium rhytidophyllum,NA,NA
FABACEAE,Desmodium scorpiurus,NA,NA
FABACEAE,Desmodium tiwiense,NA,NA
FABACEAE,Desmodium tortuosum,NA,NA
FABACEAE,Desmodium trichostachyum,1,5
FABACEAE,Desmodium triflorum,NA,NA
FABACEAE,Desmodium velutinum,1,5
ANNONACEAE,Desmos wardianus,3,2
LILIACEAE,Dianella longifolia var. longifolia,NA,NA
LILIACEAE,Dianella odorata,2,6
STERCULIACEAE,Dicarpidium monoicum,NA,NA
STERCULIACEAE,Dicarpidium sp. Arnhem Land (L.A.Craven 2494),1,5
STERCULIACEAE,Dicarpidium sp. Katherine Gorge (C.R.Dunlop 5225),1,5
POACEAE,Dichanthium annulatum,2,NA
POACEAE,Dichanthium aristatum,NA,NA
POACEAE,Dichanthium fecundum,NA,NA
POACEAE,Dichanthium sericeum subsp. humilius,1,NA
POACEAE,Dichanthium sericeum subsp. indeterminate,3,NA
POACEAE,Dichanthium sericeum subsp. polystachyum,NA,NA
POACEAE,Dichanthium sericeum subsp. sericeum,2,2
DICHAPETALACEAE,Dichapetalum timoriense,2,7
ASTERACEAE,Dichromochlamys dentatifolia,NA,NA
MIMOSACEAE,Dichrostachys cinerea subsp. malesiana,NA,NA
MIMOSACEAE,Dichrostachys spicata,2,7
ACANTHACEAE,Dicliptera armata,1,5
ACANTHACEAE,Dicliptera arnhemica,NA,NA
ACANTHACEAE,Dicliptera australis,NA,NA
ACANTHACEAE,Dicliptera ciliata,1,5
ACANTHACEAE,Dicliptera miscella,NA,NA
ACANTHACEAE,Dicliptera spicata,1,5
GLEICHENIACEAE,Dicranopteris linearis var. linearis,2,1
VERBENACEAE,Dicrastylis beveridgei subsp. beveridgei,NA,NA
VERBENACEAE,Dicrastylis beveridgei subsp. indeterminate,2,1
VERBENACEAE,Dicrastylis beveridgei subsp. revoluta,NA,NA
VERBENACEAE,Dicrastylis costelloi var. costelloi,NA,NA
VERBENACEAE,Dicrastylis costelloi var. eriantha,NA,NA
VERBENACEAE,Dicrastylis costelloi var. indeterminate,NA,NA
VERBENACEAE,Dicrastylis costelloi var. violacea,NA,NA
VERBENACEAE,Dicrastylis doranii,2,NA
VERBENACEAE,Dicrastylis exsuccosa subsp. exsuccosa,2,NA
VERBENACEAE,Dicrastylis exsuccosa subsp. indeterminate,NA,NA
VERBENACEAE,Dicrastylis gilesii var. bagotensis,NA,NA
VERBENACEAE,Dicrastylis gilesii var. gilesii,NA,NA
VERBENACEAE,Dicrastylis gilesii var. indeterminate,3,5
VERBENACEAE,Dicrastylis gilesii var. laxa,NA,NA
VERBENACEAE,Dicrastylis lewellinii,NA,NA
VERBENACEAE,Dicrastylis petermannensis,NA,NA
ORCHIDACEAE,Didymoplexis pallens,2,4
POACEAE,Digitaria ammophila,2,2
POACEAE,Digitaria benthamiana,NA,NA
POACEAE,Digitaria bicornis,1,5
POACEAE,Digitaria breviglumis,NA,NA
POACEAE,Digitaria brownii,2,2
POACEAE,Digitaria ciliaris,1,NA
POACEAE,Digitaria coenicola,2,2
POACEAE,Digitaria ctenantha,1,5
POACEAE,Digitaria decumbens,NA,NA
POACEAE,Digitaria gibbosa,1,5
POACEAE,Digitaria hystrichoides,NA,NA
POACEAE,Digitaria leucostachya,NA,NA
POACEAE,Digitaria longiflora,1,5
POACEAE,Digitaria mariannensis,NA,NA
POACEAE,Digitaria nematostachya,NA,NA
POACEAE,Digitaria oraria,NA,NA
POACEAE,Digitaria papposa,NA,NA
POACEAE,Digitaria setigera,NA,NA
POACEAE,Digitaria stenostachya,NA,NA
POACEAE,Digitaria violascens,NA,NA
DILLENIACEAE,Dillenia alata,2,7
POACEAE,Dimeria acinaciformis,NA,NA
POACEAE,Dimeria chloridiformis,NA,NA
POACEAE,Dimeria ornithopoda,NA,NA
EUPHORBIACEAE,Dimorphocalyx australiensis,NA,NA
ASTERACEAE,Diodontium filifolium,NA,NA
DIOSCOREACEAE,Dioscorea alata,NA,NA
DIOSCOREACEAE,Dioscorea bulbifera,2,4
DIOSCOREACEAE,Dioscorea esculenta,NA,NA
DIOSCOREACEAE,Dioscorea transversa,2,4
EBENACEAE,Diospyros calycantha,2,6
EBENACEAE,Diospyros compacta,2,6
EBENACEAE,Diospyros cordifolia,2,6
EBENACEAE,Diospyros humilis,2,6
EBENACEAE,Diospyros littorea,2,6
EBENACEAE,Diospyros maritima,2,6
LORANTHACEAE,Diplatia furcata,NA,NA
LORANTHACEAE,Diplatia grandibractea,1,5
CUCURBITACEAE,Diplocyclos palmatus,1,5
SAPINDACEAE,Diplopeltis stuartii var. glandulosa,NA,NA
SAPINDACEAE,Diplopeltis stuartii var. stuartii,NA,NA
THELOTREMATACEAE,Diploschistes actinostomus,NA,NA
ORCHIDACEAE,Dipodium stenocheilum,2,4
ACANTHACEAE,Dipteracanthus australasicus subsp. australasicus,4,2
ACANTHACEAE,Dipteracanthus australasicus subsp. dalyensis,NA,NA
ACANTHACEAE,Dipteracanthus bracteatus,NA,NA
CHENOPODIACEAE,Dissocarpus biflorus var. biflorus,NA,NA
CHENOPODIACEAE,Dissocarpus paradoxus,NA,NA
SAPINDACEAE,Distichostemon arnhemicus,3,NA
SAPINDACEAE,Distichostemon barklyanus,NA,NA
SAPINDACEAE,Distichostemon filamentosus,NA,NA
SAPINDACEAE,Distichostemon hispidulus var. aridus,NA,NA
SAPINDACEAE,Distichostemon hispidulus var. hispidulus,NA,NA
SAPINDACEAE,Distichostemon hispidulus var. indeterminate,2,6
SAPINDACEAE,Distichostemon hispidulus var. phyllopterus,NA,NA
ASTERACEAE,Dittrichia graveolens,NA,NA
SAPINDACEAE,Dodonaea coriacea,2,2
SAPINDACEAE,Dodonaea lanceolata var. indeterminate,1,5
SAPINDACEAE,Dodonaea lanceolata var. lanceolata,3,NA
SAPINDACEAE,Dodonaea microzyga var. microzyga,1,5
SAPINDACEAE,Dodonaea oxyptera,NA,NA
SAPINDACEAE,Dodonaea petiolaris,NA,NA
SAPINDACEAE,Dodonaea physocarpa,NA,NA
SAPINDACEAE,Dodonaea platyptera,1,5
SAPINDACEAE,Dodonaea polyzyga,1,5
SAPINDACEAE,Dodonaea stenophylla,3,NA
SAPINDACEAE,Dodonaea viscosa subsp. angustissima,3,2
SAPINDACEAE,Dodonaea viscosa subsp. indeterminate,NA,NA
SAPINDACEAE,Dodonaea viscosa subsp. mucronata,3,2
SAPINDACEAE,Dodonaea viscosa subsp. spatulata,NA,NA
SAPINDACEAE,Dodonaea viscosa subsp. viscosa,NA,NA
BIGNONIACEAE,Dolichandrone alternifolia,NA,NA
BIGNONIACEAE,Dolichandrone filiformis,2,2
BIGNONIACEAE,Dolichandrone heterophylla,2,2
BLECHNACEAE,Doodia caudata,NA,NA
SCROPHULARIACEAE,Dopatrium junceum,NA,NA
ADIANTACEAE,Doryopteris concolor,NA,NA
DROSERACEAE,Drosera banksii,NA,NA
DROSERACEAE,Drosera brevicornis,NA,NA
DROSERACEAE,Drosera burmanni,NA,NA
DROSERACEAE,Drosera darwinensis,NA,NA
DROSERACEAE,Drosera derbyensis,NA,NA
DROSERACEAE,Drosera dilatatopetiolaris,NA,NA
DROSERACEAE,Drosera falconeri,NA,NA
DROSERACEAE,Drosera fulva,NA,NA
DROSERACEAE,Drosera indica,1,5
DROSERACEAE,Drosera kenneallyi,NA,NA
DROSERACEAE,Drosera lanata,2,2
DROSERACEAE,Drosera ordensis,NA,NA
DROSERACEAE,Drosera paradoxa,NA,NA
DROSERACEAE,Drosera petiolaris,2,2
DROSERACEAE,Drosera subtilis,1,5
RUTACEAE,Drummondita calida,2,2
POLYPODIACEAE,Drynaria quercifolia,2,1
EUPHORBIACEAE,Drypetes deplanchei,2,7
SOLANACEAE,Duboisia arenitensis,NA,NA
SOLANACEAE,Duboisia hopwoodii,2,6
ELAEOCARPACEAE,Dubouzetia australiensis,NA,NA
FABACEAE,Dunbaria rotundifolia,NA,NA
FABACEAE,Dunbaria singuliflora,6,5
MELIACEAE,Dysoxylum acutangulum subsp. foveolatum,2,7
MELIACEAE,Dysoxylum latifolium,2,7
CHENOPODIACEAE,Dysphania glomulifera subsp. eremaea,NA,NA
CHENOPODIACEAE,Dysphania kalpari,1,5
CHENOPODIACEAE,Dysphania plantaginella,NA,NA
CHENOPODIACEAE,Dysphania platycarpa,NA,NA
CHENOPODIACEAE,Dysphania rhadinostachya subsp. indeterminate,NA,NA
CHENOPODIACEAE,Dysphania rhadinostachya subsp. inflata,NA,NA
CHENOPODIACEAE,Dysphania rhadinostachya subsp. rhadinostachya,NA,NA
CHENOPODIACEAE,Dysphania simulans,1,NA
CHENOPODIACEAE,Dysphania sphaerosperma,NA,NA
POACEAE,Echinochloa colona,1,5
POACEAE,Echinochloa crus-galli,NA,NA
POACEAE,Echinochloa dietrichiana,NA,NA
POACEAE,Echinochloa elliptica,NA,NA
POACEAE,Echinochloa esculenta,NA,NA
POACEAE,Echinochloa kimberleyensis,NA,NA
POACEAE,Echinochloa macrandra,NA,NA
POACEAE,Echinochloa polystachya,NA,NA
POACEAE,Echinochloa turneriana,NA,NA
BORAGINACEAE,Echium plantagineum,NA,NA
ASTERACEAE,Eclipta alatocarpa,NA,NA
ASTERACEAE,Eclipta platyglossa,NA,NA
ASTERACEAE,Eclipta prostrata,NA,NA
ASTERACEAE,Eclipta sp. Gove (J.L.Egan 2784),NA,NA
ASTERACEAE,Eclipta sp. Humpty Doo (H.S.McKee 8360),NA,NA
POACEAE,Ectrosia agrostoides,NA,NA
POACEAE,Ectrosia confusa,NA,NA
POACEAE,Ectrosia danesii,NA,NA
POACEAE,Ectrosia lasioclada,NA,NA
POACEAE,Ectrosia laxa,NA,NA
POACEAE,Ectrosia leporina var. indeterminate,1,5
POACEAE,Ectrosia leporina var. leporina,NA,NA
POACEAE,Ectrosia leporina var. micrantha,NA,NA
POACEAE,Ectrosia scabrida,NA,NA
POACEAE,Ectrosia schultzii var. annua,NA,NA
POACEAE,Ectrosia schultzii var. indeterminate,1,5
POACEAE,Ectrosia schultzii var. schultzii,NA,NA
BORAGINACEAE,Ehretia saligna var. indeterminate,2,2
BORAGINACEAE,Ehretia saligna var. membranifolia,NA,NA
BORAGINACEAE,Ehretia saligna var. saligna,NA,NA
PONTEDERIACEAE,Eichhornia crassipes,NA,NA
CHENOPODIACEAE,Einadia nutans subsp. eremaea,3,2
CHENOPODIACEAE,Einadia nutans subsp. indeterminate,NA,NA
CHENOPODIACEAE,Einadia nutans subsp. nutans,1,5
SCROPHULARIACEAE,Elacholoma hornii,NA,NA
ELAEOCARPACEAE,Elaeocarpus angustifolius,3,2
ELAEOCARPACEAE,Elaeocarpus arnhemicus,2,6
ELAEOCARPACEAE,Elaeocarpus culminicola,3,2
ELAEOCARPACEAE,Elaeocarpus miegei,3,2
ELATINACEAE,Elatine gratioloides,NA,NA
ELATINACEAE,Elatine macrocalyx,1,NA
CYPERACEAE,Eleocharis acutangula,NA,NA
CYPERACEAE,Eleocharis atropurpurea,NA,NA
CYPERACEAE,Eleocharis brassii,NA,NA
CYPERACEAE,Eleocharis caespitosissima,NA,NA
CYPERACEAE,Eleocharis dulcis,2,2
CYPERACEAE,Eleocharis geniculata,NA,NA
CYPERACEAE,Eleocharis Gleach 2723,NA,NA
CYPERACEAE,Eleocharis nuda,NA,NA
CYPERACEAE,Eleocharis ochrostachys,NA,NA
CYPERACEAE,Eleocharis pallens,5,2
CYPERACEAE,Eleocharis papillosa,2,15
CYPERACEAE,Eleocharis pusilla,NA,NA
CYPERACEAE,Eleocharis retroflexa,NA,NA
CYPERACEAE,Eleocharis setifolia,NA,NA
CYPERACEAE,Eleocharis sp. affin acutangula (S.T.Blake 17630),NA,NA
CYPERACEAE,Eleocharis sp. affin brassii (G.M.Chippendale 1486),NA,NA
CYPERACEAE,Eleocharis sp. Coonjimba Billabong (T.S.Henshall 3365),NA,NA
CYPERACEAE,Eleocharis sp. Nourlangie Creek (L.A.Craven 4652),NA,NA
CYPERACEAE,Eleocharis sphacelata,2,2
CYPERACEAE,Eleocharis spiralis,2,2
CYPERACEAE,Eleocharis sundaica,NA,NA
ASTERACEAE,Elephantopus scaber,1,5
ASTERACEAE,Elephantopus spicatus,NA,NA
POACEAE,Eleusine indica,NA,NA
ASTERACEAE,Eleutheranthera ruderalis,1,5
POACEAE,Elionurus citreus,NA,NA
POACEAE,Elytrophorus spicatus,1,5
MYRSINACEAE,Embelia curvinervia,2,6
POLYGONACEAE,Emex australis,NA,NA
ASTERACEAE,Emilia sonchifolia subsp. indeterminate,1,5
RHAMNACEAE,Emmenosperma cunninghamii,3,7
CHENOPODIACEAE,Enchylaena tomentosa var. glabra,NA,NA
CHENOPODIACEAE,Enchylaena tomentosa var. indeterminate,NA,NA
CHENOPODIACEAE,Enchylaena tomentosa var. tomentosa,4,2
LAURACEAE,Endiandra limnophila,3,2
VERRUCARIACEAE,Endocarpon helmsianum,NA,NA
EUPHORBIACEAE,Endospermum medullosum,3,2
HYDROCHARITACEAE,Enhalus acoroides,NA,NA
POACEAE,Enneapogon avenaceus,5,2
POACEAE,Enneapogon caerulescens var. caerulescens,NA,NA
POACEAE,Enneapogon clelandii,2,NA
POACEAE,Enneapogon cylindricus,2,2
POACEAE,Enneapogon decipiens,NA,NA
POACEAE,Enneapogon eremophilus,NA,NA
POACEAE,Enneapogon intermedius,NA,NA
POACEAE,Enneapogon lindleyanus,NA,NA
POACEAE,Enneapogon oblongus,2,2
POACEAE,Enneapogon pallidus,NA,NA
POACEAE,Enneapogon polyphyllus,1,5
POACEAE,Enneapogon purpurascens,1,5
POACEAE,Enneapogon robustissimus,NA,NA
MIMOSACEAE,Entada phaseoloides,NA,NA
MIMOSACEAE,Entada rheedii,2,2
POACEAE,Enteropogon acicularis,2,2
POACEAE,Enteropogon dolichostachyus,NA,NA
POACEAE,Enteropogon minutus,NA,NA
POACEAE,Enteropogon ramosus,2,NA
ARACEAE,Epipremnum amplissimum,1,5
POACEAE,Eragrostis amabilis,NA,NA
POACEAE,Eragrostis australasica,2,2
POACEAE,Eragrostis barrelieri,NA,NA
POACEAE,Eragrostis basedowii,NA,NA
POACEAE,Eragrostis brownii,NA,NA
POACEAE,Eragrostis cilianensis,NA,NA
POACEAE,Eragrostis concinna,NA,NA
POACEAE,Eragrostis confertiflora,1,NA
POACEAE,Eragrostis crateriformis,NA,NA
POACEAE,Eragrostis cumingii,1,5
POACEAE,Eragrostis D10558 islands,NA,NA
POACEAE,Eragrostis desertorum,2,NA
POACEAE,Eragrostis dielsii,8,2
POACEAE,Eragrostis ecarinata,NA,NA
POACEAE,Eragrostis elongata,NA,NA
POACEAE,Eragrostis eriopoda,2,2
POACEAE,Eragrostis exigua,NA,NA
POACEAE,Eragrostis falcata,2,NA
POACEAE,Eragrostis fallax,NA,NA
POACEAE,Eragrostis filicaulis,NA,NA
POACEAE,Eragrostis hirticaulis,NA,NA
POACEAE,Eragrostis infecunda,NA,NA
POACEAE,Eragrostis kennedyae,NA,NA
POACEAE,Eragrostis lacunaria,NA,NA
POACEAE,Eragrostis lanicaulis,2,2
POACEAE,Eragrostis laniflora,2,2
POACEAE,Eragrostis lanipes,NA,NA
POACEAE,Eragrostis leptocarpa,1,5
POACEAE,Eragrostis mexicana,NA,NA
POACEAE,Eragrostis minor,NA,NA
POACEAE,Eragrostis olida,2,2
POACEAE,Eragrostis parviflora,NA,NA
POACEAE,Eragrostis pergracilis,NA,NA
POACEAE,Eragrostis petraea,NA,NA
POACEAE,Eragrostis pilosa,NA,NA
POACEAE,Eragrostis potamophila,NA,NA
POACEAE,Eragrostis pubescens,NA,NA
POACEAE,Eragrostis rigidiuscula,NA,NA
POACEAE,Eragrostis schultzii,NA,NA
POACEAE,Eragrostis setifolia,2,2
POACEAE,Eragrostis sororia,NA,NA
POACEAE,Eragrostis sp. limestone (P.K.Latz 5921),2,NA
POACEAE,Eragrostis sp. Nitmiluk (C.R.Michell 3803),NA,NA
POACEAE,Eragrostis spartinoides,1,5
POACEAE,Eragrostis speciosa,NA,NA
POACEAE,Eragrostis stagnalis,NA,NA
POACEAE,Eragrostis stenostachya,NA,NA
POACEAE,Eragrostis sterilis,1,5
POACEAE,Eragrostis subtilis,NA,NA
POACEAE,Eragrostis superba,NA,NA
POACEAE,Eragrostis tenellula,1,5
POACEAE,Eragrostis tenuifolia,NA,NA
POACEAE,Eragrostis uvida,NA,NA
POACEAE,Eragrostis xerophila,2,2
ACANTHACEAE,Eranthemum pulchellum,NA,NA
CHENOPODIACEAE,Eremophea spinosa,1,5
MYOPORACEAE,Eremophila alternifolia,1,2
MYOPORACEAE,Eremophila battii,NA,NA
MYOPORACEAE,Eremophila bignoniiflora,NA,NA
MYOPORACEAE,Eremophila christophori,3,2
MYOPORACEAE,Eremophila clarkei,NA,NA
MYOPORACEAE,Eremophila cordatisepala,NA,NA
MYOPORACEAE,Eremophila dalyana,NA,NA
MYOPORACEAE,Eremophila duttonii,2,2
MYOPORACEAE,Eremophila elderi,NA,NA
MYOPORACEAE,Eremophila eriocalyx,NA,NA
MYOPORACEAE,Eremophila forrestii subsp. forrestii,2,NA
MYOPORACEAE,Eremophila freelingii,2,2
MYOPORACEAE,Eremophila gibsonii,NA,NA
MYOPORACEAE,Eremophila gilesii var. gilesii,3,2
MYOPORACEAE,Eremophila glabra subsp. glabra,NA,NA
MYOPORACEAE,Eremophila goodwinii subsp. ecapitata,NA,NA
MYOPORACEAE,Eremophila goodwinii subsp. goodwinii,NA,NA
MYOPORACEAE,Eremophila hughesii subsp. A28811 Bloods Range,NA,NA
MYOPORACEAE,Eremophila hughesii subsp. hughesii,NA,NA
MYOPORACEAE,Eremophila latrobei subsp. glabra,NA,NA
MYOPORACEAE,Eremophila latrobei subsp. indeterminate,2,2
MYOPORACEAE,Eremophila latrobei subsp. latrobei,2,14
MYOPORACEAE,Eremophila longiflora,NA,NA
MYOPORACEAE,Eremophila longifolia,2,14
MYOPORACEAE,Eremophila macdonnellii,2,2
MYOPORACEAE,Eremophila maculata subsp. brevifolia,NA,NA
MYOPORACEAE,Eremophila maculata subsp. maculata,NA,NA
MYOPORACEAE,Eremophila neglecta,NA,NA
MYOPORACEAE,Eremophila obovata subsp. glabriuscula,NA,NA
MYOPORACEAE,Eremophila obovata subsp. obovata,NA,NA
MYOPORACEAE,Eremophila ovata,3,2
MYOPORACEAE,Eremophila paisleyi subsp. glandulosa,NA,NA
MYOPORACEAE,Eremophila paisleyi subsp. indeterminate*,NA,NA
MYOPORACEAE,Eremophila platythamnos subsp. A80384 Mereeni,2,2
MYOPORACEAE,Eremophila polyclada,NA,NA
MYOPORACEAE,Eremophila rotundifolia,NA,NA
MYOPORACEAE,Eremophila serrulata,2,NA
MYOPORACEAE,Eremophila sp. Arookara Range (P.K.Latz 14181),NA,NA
MYOPORACEAE,Eremophila sp. MacDonnell Ranges (M.J.A.Barritt 693),NA,NA
MYOPORACEAE,Eremophila sp. Rainbow Valley (T.S.Henshall 1181),3,2
MYOPORACEAE,Eremophila sturtii,2,2
MYOPORACEAE,Eremophila tietkensii,NA,NA
MYOPORACEAE,Eremophila willsii subsp. integrifolia,NA,NA
MYOPORACEAE,Eremophila willsii subsp. Katapata (D.E.Albrecht 6677),2,NA
MYOPORACEAE,Eremophila willsii subsp. willsii,2,2
MYOPORACEAE,Eremophila youngii subsp. lepidota,NA,NA
POACEAE,Eriachne agrostidea,1,5
POACEAE,Eriachne aristidea,1,5
POACEAE,Eriachne armittii,1,5
POACEAE,Eriachne avenacea,1,5
POACEAE,Eriachne axillaris,NA,NA
POACEAE,Eriachne basalis,NA,NA
POACEAE,Eriachne basedowii,3,NA
POACEAE,Eriachne benthamii,NA,NA
POACEAE,Eriachne bleeseri,NA,NA
POACEAE,Eriachne burkittii,3,NA
POACEAE,Eriachne capillaris,1,5
POACEAE,Eriachne ciliata,1,5
POACEAE,Eriachne compacta,NA,NA
POACEAE,Eriachne fastigiata,1,5
POACEAE,Eriachne festucacea,NA,NA
POACEAE,Eriachne filiformis,1,5
POACEAE,Eriachne flaccida,NA,NA
POACEAE,Eriachne glandulosa,NA,NA
POACEAE,Eriachne glauca var. barbinodis,NA,NA
POACEAE,Eriachne glauca var. glauca,NA,NA
POACEAE,Eriachne glauca var. indeterminate,3,NA
POACEAE,Eriachne helmsii,2,2
POACEAE,Eriachne humilis,NA,NA
POACEAE,Eriachne major,NA,NA
POACEAE,Eriachne melicacea,NA,NA
POACEAE,Eriachne minuta,NA,NA
POACEAE,Eriachne mucronata,2,2
POACEAE,Eriachne nervosa,NA,NA
POACEAE,Eriachne nodosa,NA,NA
POACEAE,Eriachne obtusa,2,2
POACEAE,Eriachne ovata,NA,NA
POACEAE,Eriachne pallescens var. pallescens,3,2
POACEAE,Eriachne pauciflora,NA,NA
POACEAE,Eriachne pulchella subsp. dominii,NA,NA
POACEAE,Eriachne pulchella subsp. pulchella,1,5
POACEAE,Eriachne schultziana,NA,NA
POACEAE,Eriachne scleranthoides,NA,NA
POACEAE,Eriachne semiciliata,NA,NA
POACEAE,Eriachne squarrosa,NA,NA
POACEAE,Eriachne stipacea,NA,NA
POACEAE,Eriachne sulcata,3,NA
POACEAE,Eriachne triodioides,NA,NA
POACEAE,Eriachne triseta,3,NA
POACEAE,Eriachne vesiculosa,NA,NA
ERIOCAULACEAE,Eriocaulon australe,NA,NA
ERIOCAULACEAE,Eriocaulon brunonis,NA,NA
ERIOCAULACEAE,Eriocaulon carpentariae,NA,NA
ERIOCAULACEAE,Eriocaulon cinereum,NA,NA
ERIOCAULACEAE,Eriocaulon concretum,NA,NA
ERIOCAULACEAE,Eriocaulon depressum,NA,NA
ERIOCAULACEAE,Eriocaulon fistulosum,1,5
ERIOCAULACEAE,Eriocaulon inapertum,NA,NA
ERIOCAULACEAE,Eriocaulon lividum,NA,NA
ERIOCAULACEAE,Eriocaulon monoscapum,NA,NA
ERIOCAULACEAE,Eriocaulon nematophyllum,NA,NA
ERIOCAULACEAE,Eriocaulon odontospermum,NA,NA
ERIOCAULACEAE,Eriocaulon patericola,NA,NA
ERIOCAULACEAE,Eriocaulon pusillum,1,5
ERIOCAULACEAE,Eriocaulon pygmaeum,NA,NA
ERIOCAULACEAE,Eriocaulon schultzii,NA,NA
ERIOCAULACEAE,Eriocaulon scullionii,NA,NA
ERIOCAULACEAE,Eriocaulon setaceum,NA,NA
ERIOCAULACEAE,Eriocaulon sp. Arid Zone (D.Schunke 28/Aug/90),NA,NA
ERIOCAULACEAE,Eriocaulon spectabile,NA,NA
ERIOCAULACEAE,Eriocaulon tortuosum,NA,NA
ERIOCAULACEAE,Eriocaulon tricornum,NA,NA
ERIOCAULACEAE,Eriocaulon willdenovianum,NA,NA
ERIOCAULACEAE,Eriocaulon zollingerianum,NA,NA
CHENOPODIACEAE,Eriochiton sclerolaenoides,NA,NA
ASTERACEAE,Eriochlamys behrii,1,NA
POACEAE,Eriochloa australiensis,NA,NA
POACEAE,Eriochloa crebra,NA,NA
POACEAE,Eriochloa decumbens,NA,NA
POACEAE,Eriochloa procera,1,5
POACEAE,Eriochloa pseudoacrotricha,NA,NA
FABACEAE,Eriosema chinense,2,2
GERANIACEAE,Erodium angustilobum,1,NA
GERANIACEAE,Erodium aureum,1,NA
GERANIACEAE,Erodium botrys,NA,NA
GERANIACEAE,Erodium carolinianum,NA,NA
GERANIACEAE,Erodium cicutarium,NA,NA
GERANIACEAE,Erodium crinitum,1,NA
GERANIACEAE,Erodium cygnorum,1,5
CONVOLVULACEAE,Erycibe coccinea,3,2
APIACEAE,Eryngium supinum,NA,NA
FABACEAE,Erythrina variegata var. orientalis,3,2
FABACEAE,Erythrina vespertilio,5,6
CAESALPINIACEAE,Erythrophleum chlorostachys,2,6
ERYTHROXYLACEAE,Erythroxylum ellipticum,2,6
MYRTACEAE,Eucalyptus alba var. australasica,NA,NA
MYRTACEAE,Eucalyptus apodophylla subsp. apodophylla,NA,NA
MYRTACEAE,Eucalyptus apodophylla subsp. indeterminate,NA,NA
MYRTACEAE,Eucalyptus apodophylla subsp. provecta,NA,NA
MYRTACEAE,Eucalyptus arenaria,NA,NA
MYRTACEAE,Eucalyptus argillacea,NA,NA
MYRTACEAE,Eucalyptus barklyensis,NA,NA
MYRTACEAE,Eucalyptus bigalerita,2,3
MYRTACEAE,Eucalyptus brachyandra,2,3
MYRTACEAE,Eucalyptus brevifolia,3,7
MYRTACEAE,Eucalyptus byrnesii,NA,NA
