taxon_name,original_text,text,leaf_lamina_posture_a,leaf_lamina_posture_f,checked leaf_lamina_posture,leaf_margin_posture_a,leaf_margin_posture_f,checked leaf_margin_posture,plant_photsynthetic_organ_a,plant_photsynthetic_organ_f,checked photosynthetic_organ
Hygrophila costata,"Description: Herb to 2 m high, stems bluntly 4-angled, often reddish, glabrous, the lower nodes swollen and rooting where they contact the ground. Leaves lanceolate to elliptic, 3.5-18 cm long, 0.5-5 cm wide, apex acuminate, base attenuate, margins entire to undulate, cystoliths numerous on upper surface, less so on lower surface, sparsely hairy below on the nerves. Petiole up to 3.5 cm long, glabrous, sometimes absent. Inflorescences axillary, 3-4-flowered; flowers sessile; bracts 6-9 mm long, 1.5-3 mm wide, sparsely hairy. Calyx of 5, equal, linear lobes 5-9 mm long in flower, up to 12 mm long in fruit, sparsely hairy. Corolla white, 5.5-10 mm long. Capsule narrowly oblong, 8-13 mm long, sessile, glabrous."," leaves lanceolate to elliptic, 3.5-18 cm long, 0.5-5 cm wide, apex acuminate, base attenuate, margins entire to undulate, cystoliths numerous on upper surface, less so on lower surface. sparsely hairy below on the nerves. petiole up to 3.5 cm long, glabrous, . ",undulate,"undulate,",checked,undulate,"margins entire to undulate,",checked,leaf,leaves,checked
Parsonsia lilacina,"Description: Weak twiner with thin stems, sap watery. Leaves oblong-lanceolate, mostly 1.5-4 cm long, 5-20 mm wide, apex short-acuminate, base  cordate, margins finely undulate and turned under in each indentation, or flatter and finely toothed, upper surface glossy with major veins raised, lower surface paler; lamina thin, soft, glabrous; petiole 2-5 mm long. Flowers in short axillary panicles. Corolla lobes spreading, 2-3 mm long, about as long as tube. Anther cone slightly exserted, filaments not twisted. Capsule 5-8 cm long, slender."," leaves oblong-lanceolate, mostly 1.5-4 cm long, 5-20 mm wide, apex short-acuminate, base  cordate, margins finely undulate and turned under in each indentation, or flatter and finely toothed, upper surface glossy with major veins raised, lower surface paler; lamina thin, soft, glabrous; petiole 2-5 mm long. ",undulate,undulate,checked,undulate,margins finely undulate,checked,leaf,leaves,checked
Gaudium myrsinoides,"Description: Shrub 1-2 m high, bark firm, younger stems glabrescent. Leaves usually narrow-obovate to oblanceolate, 5-10 mm long, 1-3 mm wide; margins incurved and usually minutely tuberculate, glabrescent; apex acute, point blunt tending to recurve; base tapering to a short petiole. Flowers usually solitary, 10-15 mm diam., white or pink. Hypanthium c. 4 mm long, silky. Sepals c. 0.5 mm long, glabrous, (continuous with hypanthium). Petals 4-5 mm long. Stamens c. 4 mm long. Ovary 4- or 5-locular. Fruit 4-6 mm diam.; valves exerted."," leaves usually narrowlyobovate to oblanceolate, 5-10 mm long, 1-3 mm wide; margins incurved and usually minutely tuberculate, glabrescent; apex acute, point blunt tending to recurve; base tapering to a short petiole. ",involute,incurved,checked,involute,margins incurved,checked,leaf,leaves,checked
Pultenaea subternata,"Description: Erect shrub; stems spreading-pubescent. Leaves opposite or in whorls of 3, ovate, flat to concave, 5-8 mm long, 2-4 mm wide, apex aristate, margins incurved to involute, concolorous or upper surface slightly darker than lower; stipules c. 2 mm long. Inflorescences subterminal, lax, leafy; bracts absent. Flowers c. 10 mm long; pedicels 3-4 mm long; bracteoles c. 5 mm long, lacking stipules, linear- to narrow-ovate, bristly, hairy or rarely glabrous, attached at base or lower part of calyx tube. Calyx 5-7 mm long, moderately hairy; lobes acuminate. Ovary hairy only at apex. Pod c. 6 mm long, turgid."," leaves opposite or in whorls of 3, ovate, flat to concave, 5-8 mm long, 2-4 mm wide, apex aristate, margins incurved to involute, concolorous or upper surface slightly darker than lower; ",flat concave involute,"flat concave, incurved involute,",checked,involute,"margins incurved to involute, margins incurved",checked,leaf,leaves,checked
Pultenaea williamsii,"Description: Shrub to 3 m high; branchlets with sparse to moderately dense straight or crisped hairs. Leaves alternate, narrow-elliptic, flat to concave, 13.2-24 mm long, 1.8-3.8 mm wide, apex acute, mucronate, margins incurved, lower surface darker than upper; stipules 2.3-4.5 mm long. Inflorescences irregular, not terminal, lax, leafy; bracts absent. Flowers 9-11 mm long; pedicels 2.2-4.6 mm long; bracteoles 1.8-2.7 mm long, lacking stipules, lanceolate, acuminate, sparsely hairy, attached just above base of calyx tube. Calyx 4.6-6.2 mm long, sparsely hairy; lobes acuminate. Ovary glabrous. Pods 8-8.6 mm long, turgid."," leaves alternate, narrowlyelliptic, flat to concave, 13.2-24 mm long, 1.8-3.8 mm wide, apex acute, mucronate, margins incurved, lower surface darker than upper; ",flat concave involute,"flat concave, incurved,",checked,involute,"margins incurved,",checked,leaf,leaves,checked
Pultenaea mutabilis var. angusta,"Description: Erect shrub to 4 m; branchlets glabrous with loosely appressed hairs. Leaves alternate, oblanceolate, 6.1-18.3 mm long, 0.4-1.0 mm wide, apex acuminate, margins inrolled and channelled but dorsal surface visible, surfaces discolorous, lower surface bright green, darker than slightly glaucous-green upper surface; stipules c. 2.2 mm long. Inflorescence irregular, not terminal, dense but not contracted, leafy, the leaves often smaller and with slightly enlarged stipules; bracts absent. Flowers c. 10 mm long, pedicels to 2 mm long; bracteoles c. 1.5 mm long, lacking stipules, narrow-ovate to ovate, acuminate, sparesely appressed hairy, attached near base of calyx tube. Calyx c. 4.5 mm long; lobes acuminate. Ovary glabrous. Pods c. 5 mm long, turgid."," leaves alternate, oblanceolate, 6.1-18.3 mm long, 0.4-1.0 mm wide, apex acuminate, margins inrolled and channelled but dorsal surface visible, surfaces discolorous, lower surface bright green, darker than slightly glaucous-green upper surface; ",involute,inrolled,checked,involute,margins inrolled,checked,leaf,leaves,checked
Pultenaea furcata,"Description: Erect Shrub to 2.5 m; branchlets glabrous. Leaves alternate, linear, with abaxial surface cells each bearing a low triangular mamilla, 7.3-18.7 mm long, 0.4-1.0 mm wide, apex acuminate, margins involute, surfaces glaucous above, dull mid-green below, stipules c. 6.5 mm long. Inflorescence terminating leafy shoots, dense, leafy, the leaves often smaller and with slightly enlarged stipules; bracts absent. Flowers c. 12 mm long; pedicels c. 1 mm long; bracteoles c. 5 mm long, lacking stipules, narrow-ovate to ovate, acuminate, villose, attached at lower part of calyx tube. Calyx c. 6 mm long; lobes acuminate. Ovary glabrous. Pods not seen."," leaves alternate, linear, with abaxial surface cells each bearing a low triangular mamilla, 7.3-18.7 mm long, 0.4-1.0 mm wide, apex acuminate, margins involute, surfaces glaucous above, dull mid-green below, stipules circa 6.5 mm long. ",involute,"involute,",checked,involute,"margins involute,",checked,leaf,leaves,checked
Pultenaea sp. Werrikimbe NP (L.M. Copeland 4477),"Description: Procumbent shrub; stems appressed-pubescent. Leaves alternate, linear to oblanceolate, 8-15(-16) mm long, 1.1-1.6 mm wide, apex acuminate and partly recurved, margins mostly recurved, upper surface concave with a row of hairs along midrib, lower surface silky, hairs persistent; stipules 5.8-6.9 mm long. Inflorescences terminal, dense with 5-9 flowers; bracts imbricate, persistent, 3.1-5.7 mm long, not fused at apex, ovate to elliptic, glabrous with uniformly ciliate margins. Flowers 4.1-4.5 mm long; pedicels 0.7-1.1 mm long; bracteoles 2.5-4.0 mm long, lacking stipules, lanceolate, acuminate, weakly keeled, sparsely hairy, attached 0.2-0.7 mm above base of calyx tube. Calyx 3.1-4.2 mm long, moderately hairy; lobes acuminate. Ovary hairy. Not seen.","leaves alternate, linear to oblanceolate, 8-15(-16) mm long, 1.1-1.6 mm wide, apex acuminate and partly recurved, margins mostly recurved, upper surface concave with a row of hairs along midrib, lower surface silky, hairs persistent; ",concave recurved,"concave recurved,",checked,concave recurved,"margins mostly recurved, upper surface concave margins mostly recurved,",checked,leaf,leaves,checked
Bertya tasmanica variant Glabrous ovary,"Description: Erect to spreading, multistemmed shrub with a pale yellow indumentum. Leaves narrow-oblong to linear, 8-32 mm long, 1.2-1.6 mm wide; upper surface green to grey-green, sparsely to densely hairy, becoming glabrous with age, scabrous; lower surface white, densely hairy; margins recurved or revolute to midrib concealing lower surface; apex obtuse to acute. Flowers axillary, solitary or sometimes two together; peduncles 0.7-2 mm long; bracts 5-9, 1.2-3.4 mm long. Male flowers  sessile, androecium 1.6-3 mm long; stamens 15-55. Female flowers  sessile; calyx lobes sparsely hairy to glabrous; ovary glabrous; styles shortly united for up to 0.6 mm, limbs 3 or rarely 4, deeply 2-4 lobed. Capsule 6.4-8 mm long. Seed 4.5-5.2 mm long."," leaves narrowlyoblong to linear, 8-32 mm long, 1.2-1.6 mm wide; upper surface green to grey-green. sparsely to densely hairy, becoming glabrous with age, scabrous; lower surface white, densely hairy; margins recurved or revolute to midrib concealing lower surface; apex obtuse to acute. ",recurved revolute,recurved revolute,checked,revolute recurved,margins recurved or revolute margins recurved,checked,leaf,leaves,checked
Viburnum tinus,"Description: Evergreen shrub or small tree to c. 4 m high; stems slightly hairy or glabrous. Leaves lanceolate to elliptic, mostly 5-9 cm long and 1.5-4 cm wide, apex acute or obtuse, base often asymmetric, margins recurved to revolute, upper surface glossy dark green and glabrous, lower surface paler with hairs on veins; petioles 10-20 mm long. Inflorescences corymb-like, 5-8 cm diam., much-branched, axes often with simple and stellate hairs; bracts lanceolate to ovate, 1-2 mm long. Sepals broadly triangular, 1-2 mm long, ciliate; petals 3-4 mm long, connate to just below middle, white, sometimes tinged pink. Drupe ovoid, 5-10 mm long, metallic blue-black."," leaves lanceolate to elliptic, mostly 5-9 cm long and 1.5-4 cm wide, apex acute or obtuse, base often asymmetric, margins recurved to revolute, upper surface glossy dark green and glabrous, lower surface paler with hairs on veins; petioles 10-20 mm long. ",recurved revolute,"recurved revolute,",checked,revolute recurved,"margins recurved to revolute, margins recurved",checked,leaf,leaves,checked
Astrotricha linearis,"Description: Shrub to 1.5 m high; branchlets with a close non-floccose indumentum. Leaves linear, 2-6.5 cm long, 1.0-1.5 mm wide; apex obtuse, sometimes with a very short blunt mucro; margins recurved to revolute; upper surface variably rough, the projections subconical and c. 0.2 mm long (sometimes these only), and/or granulate and < 0.1 mm high; lower surface with a dense woolly indumentum; subsessile or petiole to 5 mm long. Inflorescences 3-12 cm long, several- to many-branched. Petals erect to spreading, whitish to pale cream-green. Fruit not winged."," leaves linear, 2-6.5 cm long, 1.0-1.5 mm wide; apex obtuse, sometimes with a very short blunt mucro; margins recurved to revolute; upper surface variably rough, the projections subconical and circa 0.2 mm long (sometimes these only), and/or granulate and < 0.1 mm high; lower surface with a dense woolly indumentum; subsessile or petiole to 5 mm long. ",recurved revolute,recurved revolute;,checked,revolute recurved,margins recurved to revolute; margins recurved,checked,leaf,leaves,checked
Pultenaea sp. New England (R.Coveny 16631),"Description: Erect to procumbent shrub; stems spreading- to appressed-hairy. Leaves alternate, narrow-elliptic to obovate, flat to concave, 3-12 mm long, 1-3 mm wide, apex obtuse and often slightly notched, margins recurved, upper surface darker than lower; stipules 1-1.5 mm long. Inflorescences terminal, dense; bracts imbricate, persistent, 2-4 mm long, 2-lobed, broad-ovate, acute, mostly glabrous with ciliate margins. Flowers 8-10 mm long; pedicels 0.5-1 mm long; bracteoles ca 2 mm long, lacking stipules, oblong to ovate, toothed near apex, acute, keeled, hairy, attached near centre or upper part of calyx tube. Calyx 4-6 mm long, densely hairy; lobes acuminate. Ovary hairy."," leaves alternate, narrowlyelliptic to obovate, flat to concave, 3-12 mm long, 1-3 mm wide, apex obtuse and often slightly notched, margins recurved, upper surface darker than lower; ",flat concave recurved,"flat concave, recurved,",checked,recurved,"margins recurved,",checked,leaf,leaves,checked
Diplaspis nivis,"Description: Perennial herb 2-12 mm long. Leaves with lamina ovate or  circular, 5-15 mm long and wide, base cordate; margins recurved, entire or finely crenate; thick and  fleshy, discolorous with the lower surface paler, both surfaces glabrous or upper surface sparsely bristly; petiole 1-7 cm long, usually glabrous. Umbels 10-20 flowered; peduncle 1-4 cm long, sparsely bristely below umbel, becoming elongated, hollow and to 5 mm diameter in fruit; bracts  linear, 4-5 mm long; pedicels 2-4 mm long. Flowers all bisexual. Petals 1-1.3 mm long, sometimes tinged red. Fruit much flattened, mericarps broad -ovate in outline, 2.5-3 mm long."," leaves with lamina ovate or  circular, 5-15 mm long and wide, base cordate; margins recurved, entire or finely crenate; thick and  fleshy, discolorous with the lower surface paler, both surfaces glabrous or upper surface sparsely bristly; petiole 1-7 cm long, usually glabrous. ",recurved,"recurved,",checked,recurved,"margins recurved,",checked,leaf,leaves,checked
Cascabela thevetia,"Description: Glabrous shrub or small tree to c. 9 m high. Leaves linear or linear-lanceolate, 7-15 cm long, 4-6 mm wide, apex acuminate, margins recurved, upper surface glossy, lower surface dull; petiole 2-3 mm long. Flowers c. 5 cm diam., yellow, fragrant, in few-flowered terminal pedunculate cymes. Corolla tube 2.5-4 cm long. Drupe compressed, bluntly angled, 15-20 mm long, 25-33 mm diam., with thin flesh, red but becoming black later, seeds usually 4."," leaves linear or linear-lanceolate, 7-15 cm long, 4-6 mm wide, apex acuminate, margins recurved, upper surface glossy, lower surface dull; petiole 2-3 mm long. ",recurved,"recurved,",checked,recurved,"margins recurved,",checked,leaf,leaves,checked
Marsdenia fraseri,"Description: Slender twiner, latex milky, stems glabrous. Leaves with lamina lanceolate to oblong-lanceolate, 2-7 cm long, 6-25 mm wide, apex gradually acute or acuminate or obtuse, base rounded, margins recurved; petiole 4-12 mm long, glabrous, lateral veins faint. Peduncle and pedicels sparsely hairy. Flowers 5-8 mm diam., white to yellowish outside. Corolla lobes spreading, red inside, ovate, 2-3 mm long, longer than tube, glabrous; tube 2-2.5 mm long, throat with a ring of hairs. Free part of corona segments shorter than anthers. Style head short, conical or umbonate, exserted a little above anthers. Follicles compressed, broad,  circular in outline, c. 3-3.5 cm across."," leaves with lamina lanceolate to oblong-lanceolate, 2-7 cm long, 6-25 mm wide, apex gradually acute or acuminate or obtuse, base rounded, margins recurved; petiole 4-12 mm long, glabrous, lateral veins faint. ",recurved,recurved;,checked,recurved,margins recurved;,checked,leaf,leaves,checked
Marsdenia suaveolens,"Description: Small erect shrub or slender climber, latex milky, stems shortly hairy. Leaves with lamina lanceolate to oblong-lanceolate, 2-7 cm long, 6-25 mm wide, apex gradually acute or acuminate or obtuse, base rounded, margins recurved; petiole 1-3.5 mm long, finely hairy. Umbels compact, peduncle and pedicels hairy. Flowers 4-5 mm diam., creamy. Corolla lobes slightly spreading, 2-2.5 mm long; tube 3-4 mm long, hairy inside to middle or higher. Free part of corona segments as long as or exceeding anthers. Style head short, covered by appressed anther appendages. Follicles narrow, acuminate, 5-10 cm long, 0.8-1.4 cm diam."," leaves with lamina lanceolate to oblong-lanceolate, 2-7 cm long, 6-25 mm wide, apex gradually acute or acuminate or obtuse, base rounded, margins recurved; petiole 1-3.5 mm long, finely hairy. ",recurved,recurved;,checked,recurved,margins recurved;,checked,leaf,leaves,checked
Astrotricha asperifolia,"Description: Erect diffuse shrub to c. 2 m high; branches with a dense, non-floccose indumentum. Leaves very narrow-elliptic to sublinear, 50-135 mm long, 2.1-4.8 mm wide; apex obtuse to subacute, occasionally with a slight mucro; margins recurved; upper surface rough, usually with both small granules and larger (to 0.2 mm high) subconical asperities, often the latter linked by short wandering ridges; lower surface densely hairy; petiole 2-3 mm long. Inflorescence 6-30 cm long, hairy throughout. Petals not reflexed, cream to very pale green. Fruit not winged."," leaves very narrowlyelliptic to sublinear, 50-135 mm long, 2.1-4.8 mm wide; apex obtuse to subacute, occasionally with a slight mucro; margins recurved; upper surface rough, usually with both small granules and larger (to 0.2 mm high) subconical asperities, often the latter linked by short wandering ridges; lower surface densely hairy; petiole 2-3 mm long. ",recurved,recurved;,checked,recurved,margins recurved;,checked,leaf,leaves,checked
Pultenaea praecipua subsp. praecipua,"Description: Erect shrub to 1 m; branchlets with short appressed hairs. Leaves alternate, oblanceolate, 9.2-21.6 mm long, 0.6-2.1 mm wide, apex acuminate, margins sometimes almost flat, but usually inrolled, surfaces discolorous, lower surface green, slightly darker than glaucous-green upper surface; stipules c. 4 mm long. Inflorescence irregular, not terminal, dense but not contracted, leafy, the leaves often smaller and with slightly enlarged stipules; bracts absent. Flowers c. 10 mm long, pedicels to 1 mm long; bracteoles c. 2 mm long, lacking stipules, narrow-ovate to ovate, acuminate, glabrous, attached near base of calyx tube. Calyx c. 6 mm long; lobes acute. Ovary glabrous. Pods not seen."," leaves alternate, oblanceolate, 9.2-21.6 mm long, 0.6-2.1 mm wide, apex acuminate, margins sometimes almost flat, but usually inrolled, surfaces discolorous, lower surface green, slightly darker than glaucous-green upper surface; ",flat involute,"flat, inrolled,",checked,flat involute,"margins sometimes almost flat, margins sometimes almost flat, but usually inrolled,",checked,leaf,leaves,checked
Pultenaea praecipua subsp. temperata,"Description: Erect shrub to 0.8 m; branchlets with short appressed hairs. Leaves alternate, oblanceolate, 9.2-21.6 mm long, 0.6-1.2 mm wide, apex acuminate, margins sometimes almost flat, but usually inrolled, surfaces discolorous, lower surface green, slightly darker than glaucous-green upper surface; stipules c. 4 mm long. Inflorescence irregular, not terminal, dense but not contracted, leafy, the leaves often smaller and with slightly enlarged stipules; bracts absent. Flowers not seen, pedicels to 1 mm long; bracteoles c. 2 mm long, lacking stipules, narrow-ovate to ovate, acuminate, glabrous, attached near base of calyx tube. Calyx c. 5 mm long; lobes acuminate. Pods not seen."," leaves alternate, oblanceolate, 9.2-21.6 mm long, 0.6-1.2 mm wide, apex acuminate, margins sometimes almost flat, but usually inrolled, surfaces discolorous, lower surface green, slightly darker than glaucous-green upper surface; ",flat involute,"flat, inrolled,",checked,flat involute,"margins sometimes almost flat, margins sometimes almost flat, but usually inrolled,",checked,leaf,leaves,checked
Pultenaea praecipua,"Description: Erect shrub to 1 m; branchlets with short appressed hairs. Leaves alternate, oblanceolate, 9.2-21.6 mm long, 0.6-2.1 mm wide, apex acuminate, margins sometimes almost flat, but usually inrolled, or tightly inrolled, surfaces discolorous, lower surface green, slightly darker than glaucous-green upper surface; stipules c. 4 mm long. Inflorescence irregular, not terminal, dense but not contracted, leafy, the leaves often smaller and with slightly enlarged stipules; bracts absent. Flowers c. 10 mm long, pedicels to 1 mm long; bracteoles c. 2 mm long, lacking stipules, narrow-ovate to ovate, acuminate, glabrous, attached near base of calyx tube. Calyx c. 6 mm long; lobes acute. Ovary glabrous. Pods not seen."," leaves alternate, oblanceolate, 9.2-21.6 mm long, 0.6-2.1 mm wide, apex acuminate, margins sometimes almost flat, but usually inrolled, or tightly inrolled, surfaces discolorous, lower surface green, slightly darker than glaucous-green upper surface; ",flat involute,"flat, inrolled,",checked,flat involute,"margins sometimes almost flat, margins sometimes almost flat, but usually inrolled, or tightly inrolled,",checked,leaf,leaves,checked
Pomaderris andromedifolia f. andromedifolia,"Description: Shrub 1-2 m high, young stems rusty-tomentose, hairs simple. Leaves usually elliptic to lanceolate, 2-5 cm long, 8-15 mm wide, apex and base rounded to acute; margins sometimes recurved; upper surface glabrous; lower surface whitish to rusty with veins and surface between veins with straight appressed or semi-appressed simple hairs, often appearing silky, above a whitish tomentum; secondary veins 7-12 pairs, distinct, often rusty. Flowers cream to yellow in terminal panicles 1-4 cm diam. Bracts of inflorescence usually falling before flowering. Sepals not persistent in fruit. Petals spathulate. Capsule, hypanthium and sepals with long whitish hairs."," leaves usually elliptic to lanceolate, 2-5 cm long, 8-15 mm wide, apex and base rounded to acute; margins sometimes recurved; upper surface glabrous; ",recurved,recurved;,checked,recurved,margins sometimes recurved;,checked,leaf,leaves,checked
Pomaderris andromedifolia f. narrow-leaved,"Description: Shrub 1-2 m high, young stems rusty-tomentose, hairs simple. Leaves variable, lanceolate or narrow-elliptic to elliptic or rarely oblanceolate, 1-5 cm long, 3-15 mm wide, apex acute to obtuse; margins sometimes recurved; upper surface glabrous; lower surface whitish to rusty with at least some forwardly appressed simple hairs above a whitish tomentum; secondary veins 7-12 pairs, distinct, often rusty. Flowers cream to yellow in terminal panicles 1-4 cm diam. Petals auriculate, margins toothed. Hypanthium, sepals and capsule with long whitish hairs; mericarps opening by a round aperture below the middle."," leaves variable, lanceolate or narrowlyelliptic to elliptic or rarely oblanceolate, 1-5 cm long, 3-15 mm wide, apex acute to obtuse; margins sometimes recurved; upper surface glabrous; lower surface whitish to rusty with at least some forwardly appressed simple hairs above a whitish tomentum; ",recurved,recurved;,checked,recurved,margins sometimes recurved;,checked,leaf,leaves,checked
Pomaderris andromedifolia f. small-leaved,"Description: Shrub 1-2 m high, young stems rusty-tomentose, hairs simple. Leaves usually elliptic to oblanceolate, 1-2 cm long, 3-6 mm wide, apex and base  obtuse; margins sometimes recurved; upper surface glabrous; lower surface whitish to rusty with veins and surface between veins with straight appressed or semi-appressed simple hairs, often appearing silky, above a whitish tomentum; secondary veins 7-12 pairs, distinct, often rusty. Flowers cream to yellow in terminal panicles 1-4 cm diam. Bracts of inflorescence usually falling before flowering. Sepals not persistent in fruit. Petals spathulate."," leaves usually elliptic to oblanceolate, 1-2 cm long, 3-6 mm wide, apex and base  obtuse; margins sometimes recurved; upper surface glabrous; ",recurved,recurved;,checked,recurved,margins sometimes recurved;,checked,leaf,leaves,checked
Melodinus australis,"Description: Woody climber with twining stems, sometimes tall, branchlets glabrous. Leaves oblong-lanceolate to narrow-elliptic, 4-10 cm long, 10-35 mm wide, apex bluntly acute or acuminate, margins sometimes undulate, glabrous; petiole 4-8 mm long. Flowers mostly 5-13 on each axillary peduncle. Calyx lobes ovate, ciliate, 1-1.5 mm long. Corolla orange-yellow or white; lobes broad, 2-3 mm long, obtuse; scales sometimes present at throat. Berry ovoid to ellipsoid, mostly 4-5 cm long, 1.5-3 cm diam., orange to red."," leaves oblong-lanceolate to narrowlyelliptic, 4-10 cm long, 10-35 mm wide, apex bluntly acute or acuminate, margins sometimes undulate, glabrous; petiole 4-8 mm long. ",undulate,"undulate,",checked,undulate,"margins sometimes undulate,",checked,leaf,leaves,checked
Rhyncharrhena linearis,"Description: Slender twiner with stems minutely pubescent to glabrous. Latex clear. Leaves linear, 2-10 cm long, 1-5 mm wide, glabrous except for scattered hairs near base and on petiole, margins thickened and usually revolute; petiole 1-3 mm long. Umbels mostly 3-7-flowered; peduncle 10-40 mm long; pedicels 10-20 mm long. Sepals c. 2 mm long, glabrous. Corolla greenish yellow becoming purple; tube 5-7 mm long; lobes  ovate, usually 3-5 mm long, margins ciliate. Follicles fusiform, 8-12 cm long, 3-8 mm wide; coma 15-30 mm long."," leaves linear, 2-10 cm long, 1-5 mm wide, glabrous except for  near base and on petiole, margins thickened and usually revolute; petiole 1-3 mm long. ",revolute,revolute;,checked,revolute,margins thickened and usually revolute;,checked,leaf,leaves,checked
Pultenaea tenebrosa,"Description: Erect shrub to 2 m; branchlets glabrous or with spreading hairs. Leaves alternate, linear to nearly terete, 5.7-16.6 mm long, 0.4-0.8 mm wide, apex acuminate, margins tightly inrolled but not enclosing upper surfaace, surfaces discolorous, lower surface green on sides with a dark red-brown medial stripe, darker than glaucous-green upper surface; stipules c. 5 mm long. Inflorescence irregular, not terminal, dense but not contracted, leafy, the leaves often smaller and with slightly enlarged stipules; bracts absent. Flowers c. 8 mm long, sessile; bracteoles c. 4 mm long, lacking stipules, narrow-ovate to ovate, acuminate, glabrous, attached near middle of calyx tube. Calyx 5-6 mm long; lobes acuminate. Ovary glabrous. Pods not Seen."," leaves alternate, linear to nearly terete, 5.7-16.6 mm long, 0.4-0.8 mm wide, apex acuminate, margins tightly inrolled but  upper surfaace, surfaces discolorous, lower surface green on sides with a dark red-brown medial stripe, darker than glaucous-green upper surface; ",involute,inrolled,checked,involute,margins tightly inrolled,checked,leaf,leaves,checked
Pultenaea aculeata,"Description: Erect to procumbent shrub to 4 m; branchlets spreading-pubescent. Leaves alternate, linear, crowded on upper parts of branches, apex prominently aristate, margins tightly inrolled, adaxial surface enclosed, so appearing terete with a groove on the upper surface, 3.6-14 mm long, 0.4-0.8 mm wide, surfaces discolorous, lower surface darker than upper; stipules 2-3 mm long. Inflorescence irregular, not terminal, dense but not contracted, leafy, the leaves often smaller and with slightly enlarged stipules; bracts absent. Flowers 8-9 mm long, pedicels 0.5-1.5 mm long; bracteoles c. 3 mm long, lacking stipules, narrow-ovate, aristate, sparsely appressed hairy, attached near base of calyx tube. Calyx 4-5 mm long; lobes acuminate. Ovary glabrous except at base of style. Pod 5-6 mm long, turgid."," leaves alternate, linear, crowded on upper parts of branches, apex prominently aristate, margins tightly inrolled, adaxial surface enclosed, so appearing terete with a groove on the upper surface, 3.6-14 mm long, 0.4-0.8 mm wide, surfaces discolorous, lower surface darker than upper; ",involute,"inrolled,",checked,involute,"margins tightly inrolled,",checked,leaf,leaves,checked
Pultenaea percussa,"Description: Erect shrub to 0.6 m; branchlets with long, spreading hairs. Leaves alternate, clavate, 2.3-3.9 mm long, 0.7-1.0 mm wide, apex rounded, margins tightly inrolled, surfaces discolorous, lower surface green, slightly darker than glaucous-green upper surface; stipules c. 1.5 mm long. Inflorescence irregular, not terminal, dense but not contracted, leafy, the leaves and stipules similar; bracts absent. Flowers c. 6 mm long, pedicels to 1 mm long; bracteoles c. 2 mm long, lacking stipules, narrow-ovate to ovate, acuminate, ciliate, attached near base of calyx tube. Calyx c. 4 mm long; lobes acute. Ovary not seen. Pods not seen."," leaves alternate, clavate, 2.3-3.9 mm long, 0.7-1.0 mm wide, apex rounded, margins tightly inrolled, surfaces discolorous, lower surface green, slightly darker than glaucous-green upper surface; ",involute,"inrolled,",checked,involute,"margins tightly inrolled,",checked,leaf,leaves,checked
Alstonia constricta,"Description: Erect shrub or tree to 12 m high, often suckering and forming thickets; bark fissured, corky. Leaves opposite, narrow-lanceolate to narrow-elliptic or oblong-elliptic, 6-18 cm long, 7-45 mm wide, apex  acuminate, margins undulate, soft and thin, glabrous to pubescent; petiole 1-5 cm long. Flowers whitish, scented. Calyx lobes 1 mm long. Corolla tube 2-3 mm long, lobes 6-10 mm long, narrow, obtuse. Follicles compressed, 6-24 cm long, c. 10 mm wide."," leaves opposite, narrowlylanceolate to narrowlyelliptic or oblong-elliptic, 6-18 cm long, 7-45 mm wide, apex  acuminate, margins undulate, soft and thin, glabrous to pubescent; petiole 1-5 cm long. ",undulate,"undulate,",checked,undulate,"margins undulate,",checked,leaf,leaves,checked
Catharanthus roseus,"Description: Erect perennial herb or subshrub to c. 70 cm high. Leaves elliptic, 2.5-8 cm long, 10-30 mm wide, apex rounded and minutely mucronate, margins undulate, glossy, sparsely hairy; petiole 2-10 mm long. Flowers 2.5-4 cm diam. Calyx 3-5 mm long. Corolla rose-pink or white, often with a red centre; tube 25-30 mm long; lobes 20-30 mm long. Follicles c. 25 mm long, erect, striated and often pubescent."," leaves elliptic, 2.5-8 cm long, 10-30 mm wide, apex rounded and minutely mucronate, margins undulate, glossy. sparsely hairy; petiole 2-10 mm long. ",undulate,"undulate,",checked,undulate,"margins undulate,",checked,leaf,leaves,checked
Ptilotus macrocephalus,"Description: Perennial to 50 cm high, glabrous or slightly hairy, with a woody rootstock. Leaves linear to narrow-lanceolate, to 5 cm long, c. 3 mm wide, apex mucronate, margins undulate. Inflorescence oblong to cylindrical, 5-12 cm long, 4.5-6 cm diam., terminal, yellowish green. Bracts glabrous, shining, elliptic, acute to acuminate, mucronate or entire. Perianth segments 25-30 mm long; outer surface long-hairy with glabrous apex; inner surface glabrous. Stamens 4, staminodes 1. Ovary sparsely pubescent; style with scattered long hairs mostly on one side for at least half its length."," leaves linear to narrowlylanceolate, to 5 cm long, circa 3 mm wide, apex mucronate, margins undulate. ",undulate,undulate.,checked,undulate,margins undulate.,checked,leaf,leaves,checked
