taxon_name,original_text,text,absolute_min,min,max,absolute_max,units,checked
Cleretum papulosum,"Description: Spreading annual to 15 cm high, covered with vesicular hairs. Leaves to 8 cm long, to 10 mm wide. Pedicel 5â€“15 mm long. Perianth lobes c. 3 mm long. Petaloid staminodes c. 1 mm wide, 3 mm long, yellow; stamens 10; styles 5. Capsule obconical, 3â€“7 mm long, 5â€“10 mm wide; seeds c. 1 mm long.",spreading annual to 15 cm high,,,15,,cm,checked
Colocasia esculenta,"Description: Robust herb to c. 1 m high; stem a tuberous creeping to decumbent rhizome, usually producing stolons [or tuberous offsets]. Leaves variable in size; lamina cordate, to c. 60 cm long, 30 cm wide, peltate, spreading to hanging, ± glaucous; petiole to c. 1 m long. Inflorescence to c. 30 cm long; spathe convolute and green in the lower part, the limb lanceolate, acuminate, not opening wide, yellow. Spadix much shorter than spathe, to c. 12 cm long, highly fragrant; appendix rudimentary to absent, and the male part of spadix ± clavate. Berry ellipsoid, 3â€“5 mm long, red; infructescence protected by lower part of spathe.",robust herb to circa 1 m high;,,,1,,m,checked
Cordyline,"Description: Erect or sprawling glabrous shrubs to 5 m high; stems woody with annular scars when young. Leaves tufted at end of branches, sometimes narrowed into a petiole, base widened into a sheath. Inflorescence a terminal or lateral panicle. Flowers actinomorphic, bisexual. Tepals fused at base, bluish to mauve or white. Stamens 6; filaments inserted at base of perianth. Ovary superior; ovules 2â€“16 in each loculus; stigma capitate or 3-lobed. Fruit a berry; seeds black, shining.",erect or sprawling glabrous shrubs to 5 m high;,,,5,,m,checked
Cordyline australis,"Description: Shrub or monocot much-branched 'tree' to 12 m or more (in native areas); tyoung unbranched stems 5â€“10 cm diam. but trunk to 1.5 m in very old plants. Leaves narrow-lanceolate, 30â€“100 cm long, 3â€“6 cm wide; lamina slightly narrowed towards base but without a distinct petiole. Panicles much-branched, 60â€“150 cm long. Perianth glabrous, white; tepals subequal, 5â€“6 mm long. Fruit c. 4 mm diam., whitish.",shrub or monocot muchbranched 'tree' to 12 m or more (in native areas);,,,12,,m,checked
Cordyline congesta,"Description: Shrub to 3 m high, sparsely branched. Leaves linear to narrow-lanceolate, 30â€“40 cm long, 2â€“4 cm wide; margins of petiole and lower part of lamina cartilaginous, irregularly toothed and rough; upper to mid-region margins of lamina scabrous with irregular prickles; lamina narrowed into a shallowly incurved petiole 10â€“20 cm long. Panicles 20â€“35 cm long; scape 10â€“25 cm long; pedicels 0.5â€“1 mm long. Perianth glabrous, bluish; tepals unequal, outer tepals 6.5â€“9.5 mm long, inner ones 8.5â€“10.5 mm long. Fruit 10â€“15 mm diam., orange-red.",shrub to 3 m high. sparsely branched.,,,3,,m,checked
Cordyline petiolaris,"Description: Shrub to 5 m high, often sprawling and branched. Leaves elliptic, 30â€“80 cm long, 4â€“12 cm wide, lamina often bent downwards about the middle and irregularly toothed or frayed and often split at apex, base narrowed into inrolled petiole; petiole 15â€“45 cm long, tubular in section. Panicles 20â€“40 cm long; scape 25â€“50 cm long, becoming pendulous; pedicels c. 0.5 mm long. Perianth glabrous, white to mauve; tepals equal, 6â€“7.5 mm long. Fruit 0.7â€“10 mm diam., red.",shrub to 5 m high often sprawling and branched.,,,5,,m,checked
Cordyline rubra,"Description: Shrub to 4 m high, sometimes branched. Leaves 15â€“50 cm long, 3â€“5.5 cm wide; lamina ± narrow-elliptic, gradually narrowed into a ± flat or slightly incurved petiole 5â€“20 cm long. Panicles 20â€“40 cm long; scape 10â€“30 cm long; pedicels 0.5â€“2 mm long. Perianth glabrous, bluish; tepals unequal, outer tepals 6â€“9 mm long, inner tepals 7â€“10 mm long. Fruit c. 10 mm diam., red.",shrub to 4 m high sometimes branched.,,,4,,m,checked
Cordyline stricta,"Description: Shrub to 5 m high, sometimes sprawling and branched towards base. Leaves linear, 30â€“50 cm long, 1â€“2 cm wide, not or scarcely narrowed towards base, margins smooth or breaking up irregularly with age towards base, lamina more or less flat; petiole not distinct from lamina. Panicles 20â€“40 cm long; scape 15â€“30 cm long; pedicels 1.5â€“2.5 mm long. Perianth glabrous, bluish; tepals unequal, outer tepals 4â€“8 mm long, inner ones 8â€“9.5 mm long. Fruit 10â€“15 mm diam., purple to black.",shrub to 5 m high sometimes sprawling and branched towards base.,,,5,,m,checked
Corokia carpodetoides,"Description: Shrub to 2 m high, or rarely tree-like to c. 5 m. Young stems covered in short felted hairs. Leaves alternate, somewhat crowded at ends of branches; lamina narrowly oblanceolate to narrowly elliptic, (2â€“) 3.5â€“6 cm long, (0.8â€“) 1â€“2 cm wide, attenuate onto petiole, dentate in upper half, acute to obtuse, apiculate, shortly felted-hairy when young, with indumentum persisting below along midrib and margin, shiny light green above, yellowish green below. Inflorescence terminal, corymbose, many-flowered. Sepals 5, triangular, 0.5â€“0.75 mm long. Petals 5, free, lanceolate, c. 3 mm long, acute, yellow. Ovary turbinate, 1.5â€“2 mm long, 1- or 2-locular. Fruit ovoid, c. 3 mm long, becoming dry and brown, 1-seeded.",shrub to 2 m high treelike to circa 5 m.,,,2,5,m,added absolute max
Corokia whiteana,"Description: Shrub to 4 m high, new growth covered with scattered T-shaped hairs, ± glabrescent with age; branchlets with prominent leaf scars. Leaves oblong-lanceolate to narrow-elliptic, mostly 2â€“7 cm long, 6â€“20 mm wide, apex tapering, base cuneate, margins entire or sometimes with 1â€“3 coarse teeth, lamina soft and thin, upper surface sprinkled with T-shaped hairs, lower surface paler, lateral veins faint, finer veins invisible; petiole 2â€“5 mm long. Flowers scented; pedicels 3â€“8 mm long. Sepals c. 2.5 mm long. Petals usually 4, c. 5 mm long, creamy. Drupe ovoid, 8â€“12 mm long, 3â€“5 mm diam., red, crowned by persistent calyx.",shrub to 4 m high,,,4,,m,checked
Crinum moorei,"Description: Herb to 1.4 m high; bulb to 20 cm diam., just under the soil surface but with an elongate neck extending 20â€“30 cm above ground and forming a pseudostem with the enclosing leaf bases. Leaves to 1 m long, to c. 20 cm wide, annual (dying back after flowering), emerging in an elongate rosette from the neck of the bulb. Inflorescence umbellate, on a long flowering scape to about 1.2 m; flowers 5â€“10, funnel-shaped, bilaterally symmetrical; tepals pale pink to whitish.",herb to 1.4 m high;,,,1.4,,m,checked
Crinum pedunculatum,"Description: Plant with pseudostem to 45 cm high. Leaves numerous on pseudostem, broad-linear, usually 50â€“120 cm long, 5â€“15 cm wide, margins smooth; upper leaves erect, lower leaves spreading. Scape to 150 cm high; umbel 10â€“40-flowered; bracts papery, to 15 cm long; pedicels 1.5â€“5 cm long. Flowers scented. Perianth tube 4â€“10 cm long; lobes lanceolate, 4â€“8 cm long, decurving, white. Stamens with filaments 3â€“6.5 cm long, pink, red or purple; anthers 10â€“25 mm long, straight, purple or black. Beak on ovary to 5 mm long.",plant with pseudostem to 45 cm high.,,,45,,cm,checked
Crithmum maritimum,"Description: Erect to decumbent perennial fleshy herb to 50 cm high, glabrous, sometimes glaucous. Stems solid, sometimes woody towards the base. Leaves 1â€“2-pinnate, 3â€“7 cm long; segments fleshy linear-oblanceolate, sub-terete, 3â€“5 mm wide, margins entire; petiole to 5 cm long. Umbels compound with 8â€“36 rays; 3â€“6 cm diam., peduncles ; bracts 5â€“8 mm long, entire. Sepals minute. Petals c. 1 mm long, yellow or yellow green. Fruit ovoid-oblong, 5â€“6 mm long, yellowish or purple, spongy when fresh; mericarps triangular in cross-section. Carpophore c. 5 mm long.","erect to decumbent perennial fleshy herb to 50 cm high glabrous, sometimes glaucous.",,,50,,cm,checked
Cynanchum floribundum,"Description: Shrubs with twining branches to c. 1 m high, new growth pubescent. Leaves with lamina ovate to narrow-lanceolate, 3â€“9 cm long, 10â€“30 mm wide, apex long-acuminate, base cuneate to cordate, glabrous, mostly with 2 basal glands; petiole 10â€“30 mm long. Inflorescence dense, ± umbellate. Calyx lobes c. 2 mm long. Corolla 5â€“8 mm long, creamy above, greenish to purplish below. Corona tubular with 20 narrow-acuminate lobes, longer than anthers and ± as long as corolla. Follicles ovoid, 3â€“5 cm long, acuminate, sometimes falcate, pubescent, thin-walled; seeds with coma 10â€“25 mm long.",shrubs with twining branches to circa 1 m high,,,1,,m,checked
Cynanchum viminale subsp. australe,"Description: Trailer or climber with stems to 6 m long, or sometimes a compact much-branched shrub to 2 m high; stems green or grey-green, young parts minutely hairy. Leaves opposite, scale-like, internodes long. Umbels 2â€“10-flowered; pedicels 3â€“6 mm long. Flowers 6â€“8 mm diam., pale yellow or whitish. Calyx lobes obtuse, 1â€“1.5 mm long. Corolla tube c. 2 mm long; lobes ovate-oblong, subacute, 4â€“5 mm long. Follicles slender, gradually tapered to apex, 5â€“14 cm long.",trailer or climber with stems to 6 m long or sometimes a compact muchbranched shrub to 2 m high;,,,2,,m,checked
Damasonium minus,"Description: Erect, emergent annual or short-lived perennial to 1 m high with floating and/or emergent leaves. Leaves with lamina lanceolate to ovate, 5â€“10 cm long, 1.5â€“4 cm wide, base obtuse to cordate, with 3â€“5 parallel veins connected by numerous finer transverse veins; petiole to c. 30 cm long. Inflorescence to 50 cm long; bracts not persistent. Flowers c. 6 mm diam. Sepals c. 1 mm long, green. Petals ovate, c. 6 mm long, white or pink. Follicles 5â€“6 mm long, 2-seeded, flattened, forming a star-shaped aggregate fruit 10â€“12 mm diam.; follicles eventually fall singly; seeds c. 1.5 mm long, partly transversely ridged and tuberculate.",erect emergent annual or shortlivedperennial to 1 m high with floating and/or emergent leaves.,,,1,,m,checked
Deeringia amaranthoides,"Description: Climber to 4 m high, or sometimes a small shrub, often flowering when quite small. Leaves ovate to lanceolate; lamina 5â€“25 cm long, to 6 cm wide; petiole 1â€“2 cm long. Flowers in interrupted spikes to 25 cm long in upper axils or in loose terminal panicles, bisexual. Bracts small and papery. Perianth segments ovate, scarcely 2 mm long, obtuse. Stamens 5, fused at the base. Ovary globose, glabrous; styles 3. Berry subglobose, 4â€“5 mm diam., red, 3-furrowed.","climber to 4 m high or sometimes a small shrub, often flowering when quite small.",,,4,,m,checked
Drimiopsis maculata,"Description: Perennial with bulbs to 2 cm diam. Plants to 30 cm high. Leaves with a distinct pseudopetiole 3â€“16 cm long; blade broad, more or less triangular, 4â€“12 cm long and 4â€“5 cm wide, usually with undulate margins, with dark green or purple spots. Inflorescence spike-like, with flowers all around. Pedicels less than 1 mm long. Perianth 4â€“5 mm long, not opening widely, appearing constricted at the apex; inner segments narrower than the outer segments, white at first, then turning green.",perennial with bulbs to 2 cm diam. plants to 30 cm high.,,,30,,cm,checked
Drosanthemum candens,"Description: Semi-erect shrub to 30 cm high, with trailing hirsute branches. Leaves clavate, 3â€“10 mm long, 1â€“2 mm wide, sessile, densely papillose. Flowers 3â€“6 mm diam. Perianth lobes semiterete, 7â€“10 mm long, dorsal horn 1â€“3 mm long. Petaloid staminodes 4â€“5 mm long, c. 0.5 mm wide, fused for half their length, white. Stamens usually c. 12â€“20, slightl y shorter than staminodes. Ovary faintly ribbed. Fruit shallowly obconical, 2â€“3 mm long, 4â€“5 mm wide; peduncle 12â€“28 mm long.",semi-erect shrub to 30 cm high,,,30,,cm,checked
Drosera lunata,"Description: Tuberous herb to 50 cm high, usually olive green; stems erect, usually simple, sometimes shortly branched, glabrous; tubers ovoid, up to 9 mm diam., white to red (on surface), often in a papery sheath; vertical stolon 2â€“6 cm long. Leaves often in a flat basal rosette and cauline. Basal leaves 3â€“27; lamina ovate to elliptic, 1.5â€“5 mm long, 3â€“7 mm wide; petiole linear, 4â€“14 mm long. Cauline leaves alternate; lamina crescent-shaped with acute angles, 0.7â€“3 mm long, 1â€“4.5 mm wide; petiole 1â€“16 mm long. Inflorescence a 1-sided raceme 1â€“10-flowered; peduncle 0.5â€“3 cm long; pedicels 1â€“12 mm long. Sepals ovate, elliptic, or rhombic, 1.4â€“4.2 mm long, 0.6â€“1.8 mm wide, glabrous; margin entire to serrulate or denticulate, or partially to fully fimbriate with hairs up to 0.6 mm long. Petals obovate or cuneate, 1â€“6mm long, 1â€“3.2mm wide, white or rarely pink. Styles 3, 0.4â€“1mm long, divided into c. 15â€“30 cylindrical segments. Seeds ovoid, 0.3â€“0.6mm long, up to 0.3mm diam.; testa shallowly reticulate.",tuberous herb to 50 cm high usually olive green;,,,50,,cm,checked
Drymophila cyanocarpa,"Description: Herb to 40 cm high, stems unbranched or more often with short lateral branches. Leaves lanceolate to falcate, 2.5â€“8 cm long, 5â€“15 mm wide, apex bluntly acute, both surfaces glabrous, midrib prominent, raised; petiole c. 1 mm long. Flowers 10â€“15 mm diam, white to pale mauve; pedicel 6â€“12 mm long. Tepals 5â€“8 mm long, inner ones slightly longer. Ovary 3-locular. Berry ± ovoid, 5â€“10 mm long, blue-purple; seeds numerous.",herb to 40 cm high,,,40,,cm,checked
Drymophila moorei,"Description: Herb to 30 cm high, aerial stems unbranched. Leaves elliptic to broad-lanceolate, 3â€“6 cm long, 10â€“20 mm wide, apex bluntly acute, both surfaces glabrous, midrib prominent, and raised; petiole c. 1 mm long. Flowers 10â€“15 mm diam., white to pale pink; pedicel 8â€“12 mm long. Tepals 5â€“8 mm long, inner ones slightly longer. Ovary 3- or 4-locular. Berry ± ovoid, 10â€“15 mm long, orange-yellow; seeds few.",herb to 30 cm high aerial stems unbranched.,,,30,,cm,checked
Eryngium maritimum,"Description: Robust perennial herb to 50 cm high. Basal leaves ± circular to broad-ovate, to 10 cm long, to 15 cm wide, deeply 3â€“5-lobed and coarsely spinose-toothed, with stout petiole to 15 cm long; stem leaves smaller, ± sessile. Inflorescence axillary, a compound dichasia, bracteate at each branching junction, the ultimate unit of the inflorescence a globose head; flower heads 13â€“22 mm long, 11â€“20 mm diam.; peduncle length variable; bracts 4â€“7, broad-ovate, deeply lobed and spinose-toothed, similar in size, texture and colour to the leaves. Flowers pale mauve. Fruit 4.5â€“6 mm long, densely covered with acutely pointed scales and crowned by the persistent sepals.",robust perennial herb to 50 cm high.,,,50,,cm,checked
Eryngium pandanifolium,"Description: Erect perennial herb to 4 m high. Basal leaves broad-linear, usually 100â€“250 cm long, usually 2â€“7 cm wide, apex acute, margins with slender spines, venation parallel, midvein usually more prominent. Inflorescence a panicle of compound umbels, the ultimate unit of the inflorescence a head; stalk of heads 14â€“33 mm long; heads ovoid to globose, 7.5â€“14 mm long, 6â€“9 mm diam.; bracts greenish, 6â€“8, ovate, acute, 2â€“3 mm long. Flowers greenish white. Fruit c. 2.5 mm long, covered with bladdery scales.",erect perennial herb to 4 m high.,,,4,,m,checked
Froelichia gracilis,"Description: Erect to ascending herb to 25 cm high with pubescent stems. Leaves linear or narrow-elliptic to narrow-oblong, 2â€“7 cm long, to 8 mm wide, acute, pubescent (to woolly on the undersurface). Spikes 1â€“3 cm long, scape leafless; bracts ovate, acute to obtuse, papery, sometimes dark-coloured. Perianth segments 3.5â€“4 mm long.",erect to ascending herb to 25 cm high with pubescent stems.,,,25,,cm,checked
Gaudium,"Description: Shrubs or small trees to c. 4 m. Leaves alternate, variable in size, margins entire; sometimes aromatic when crushed; sessile to shortly petiolate. Flowers usually solitary; ovary usually 3â€“6-locular. Fruits thin-walled and usually deciduous, but some species have fruits with a somewhat succulent hypanthium and are semi-persistent. Seeds with a reticulate surface and several vertical rows of loose cells that are sometimes expanded into a narrow wing (e.g. in G. laevigatum). Unfertilised ovules (â€œchaffâ€) are readily distinguishable from fertile seeds.",shrubs or small trees to circa 4 m.,,,4,,m,checked
Gaudium blakelyi,"Description: Shrub c. 1 m high, bark close, shed in strips, younger stems densely silky. Leaves obovate to broad-elliptic, often concave, 4â€“8 mm long, 2â€“5 mm wide, silky on base and margins; apex variably rounded to acute or acuminate, point blunt to pungent; base tapering ± gradually to a short slender petiole often broader at the base. Flowers 1â€“4 together, c. 7 mm diam., white or pink. Hypanthium c. 10 mm long, pedicel often at least 5 mm long, silky. Sepals 1â€“1.5 mm long, pubescent. Petals 2â€“2.5 mm long. Stamens c. 1 mm or less in length. Ovary 3- to 5-locular. Fruit 2â€“3.5 mm diam., glabrescent; pedicel mostly 6â€“8 mm long; valves not much exserted.","shrub circa 1 m high bark close, shed in strips, younger stems densely silky.",,,1,,m,checked
Gaudium brevipes,"Description: Shrub or small tree to 4 m or more high, bark close, younger stems with appressed fine persistent hairs. Leaves elliptic to narrow-oblanceolate or obovate, mostly 10â€“20 mm long, usually 2â€“5 mm wide, flat or recurved, silky or glabrous; apex obtuse or short-acuminate, usually recurved, point minute, pungent; base narrowing to a short petiole. Flowers solitary or 2 together, 6â€“8 mm diam. white. Hypanthium 4â€“7 mm long, pedicel 2â€“8 mm long, silky. Sepals 1â€“1.5 mm long, silky. Petals c. 3 mm long. Stamens c. 1 mm long. Ovary usually 5-locular. Fruit 3â€“4 mm diam.; pedicel 2â€“10 mm long, silky; valves rounded, exerted.",shrub or small tree to 4 m or more high bark close,,,4,,m,checked
Gaudium coriaceum,"Description: Shrub to 2 m, bark close, younger stems silky, soon glabrous. Leaves ovate to oblanceolate or elliptic, usually 10â€“20 mm long, 3â€“5 mm wide, glabrescent; apex acute to obtuse or short-acuminate, point short; base tapering to a short rounded petiole. Flowers usually 2 together, 12â€“15 mm diam., white. Hypanthium 2â€“3 mm long, glabrous or silky. Sepals 1.5â€“2 mm long, almost glabrous or silky. Petals 5â€“7 mm long. Stamens 1â€“2 mm long. Ovary mostly 4â€“7-locular. Fruit 5â€“8 mm diam. with a slightly fleshy outer surface; valves somewhat exserted but forming a flat-topped fruit. Seeds often broadly winged.","shrub to 2 m, bark close, younger stems silky, soon glabrous.",,,2,,m,checked
Gaudium deanei,"Description: Shrub to 5 m high, with bark peeling in long strips; younger stems silky or glabrous. Leaves narrow-elliptic to oblanceolate, 10â€“15 mm long, 1â€“2 mm wide, incurved, glabrous; apex broad-acute, infolded, point blunt, soft; base tapering; sessile. Flowers solitary, c. 8â€“10 mm diam., white. Hypanthium 3 mm long, mostly glabrous. Sepals c. 1.5 mm long, ciliate. Petals c. 5 mm long. Stamens 1â€“1.5 mm long. Ovary 4- or 5-locular. Fruit c. 3.5 mm diam., mostly glabrous; valves exerted after opening.",shrub to 5 m high,,,5,,m,checked
Gaudium laevigatum,"Description: Shrub or small tree to over 4 m high, with close bark that sheds in strips; younger stems silky but glabrescent. Leaves usually narrow-obovate, 15â€“30 mm long, 5â€“8 mm wide, flat, glabrescent; apex broad-obtuse, point small and often infolded; base tapering to a short rather flattened petiole. Flowers usually 2 together, usually 15â€“20 mm diam., white. Hypanthium 3â€“4 mm long, usually glabrous. Sepals c. 2 mm long, almost glabrous. Petals mostly 5â€“8 mm long. Stamens 1.5â€“2.5 mm long. Ovary usually 6â€“11-locular. Fruit usually 7â€“8 mm diam. with a slightly fleshy outer surface; valves somewhat exserted but forming a flat-topped fruit. Seeds usually winged.",shrub or small tree to over 4 m high,,,4,,m,checked
Gaudium multicaule,"Description: Shrub < 2 m high, often forming dense thickets, bark close, younger stems usually silky. Leaves variable, usually narrow- to broad-elliptic, 2â€“10 mm long, 1â€“3 mm wide, flat or concave, usually silky in part; apex shortly acute to acuminate, short point tending to recurve; base tapering into a short very broad petiole. Flowers usually solitary, 6â€“10 mm diam., white or pink. Hypanthium 2.5 mm long, pedicel < 1 mm, usually silky. Sepals 1â€“1.5 mm long, glabrous or pubescent usually ciliate. Petals c. 2.5 mm long. Stamens c.1.5 mm or less in length. Ovary usually 3-locular. Fruit c. 3.5 mm diam., silky; valves much exserted.","shrub less than  2 m high often forming dense thickets, bark close, younger stems usually silky.",,,2,,m,checked
Gaudium namadgiense,"Description: Shrub to c. 1 m high or lower and procumbent in exposed sites; bark shed in strips or flaky layers, younger stems silky. Leaves oblanceolate to elliptic, ± concave, 3.5â€“9 mm long, 1.5â€“3.7 mm wide, both surfaces silky, silvery to greyish green, or occasionally ± glabrous; apex acute or shortly acuminate; base tapering into petiole c. 1 mm long. Flowers 1 or 2 together, 6â€“10 mm diam., white or flushed pink. Hypanthium c. 2.5 mm long, tapering into pedicel, villous with spreading white hairs. Sepals c. 1.5 mm long, persistent, villous. Petals 2.5â€“3 mm long. Stamens to c. 1 mm long. Ovary 3-locular. Fruit 2â€“2.5 mm diam., villous, with base tapering into pedicel; valves not much exserted.",shrub to circa 1 m high or lower and procumbent in exposed sites;,,,1,,m,checked
Gaudium parvifolium,"Description: Shrub to 2 m, close bark flaking, younger stems with long fine spreading hairs or silky, persistent or glabrescent. Leaves usually narrow- to broad-obovate, mostly 3â€“8 mm long, 1â€“3 mm wide, usually glabrous; apex usually obtuse and rounded, flat or incurved; base tapering to a slender petiole c. 1 mm in length. Flowers solitary, c. 10 mm diam., white or pink. Hypanthium usually with dense, long, spreading hairs; hairs 2â€“3 mm long. Sepals 1â€“2 mm long, pubescent, ciliate. Petals c. 4 mm long. Stamens 1â€“1.5 mm long. Ovary 5-locular. Fruit often held through season, c. 4 mm diam., pubescent; valves well exserted.","shrub to 2 m, close bark flaking,",,,2,,m,checked
Gaudium polyanthum,"Description: Shrub or small tree to 5 m high, bark firm, furrowed, flaking; younger stems silky. Leaves elliptic to linear, 10â€“25 mm long, 2â€“4 mm wide, flat, glabrescent; apex obtuse or tapering, point blunt; base tapering to a slender petiole. Flowers solitary or occasionally 2 together, mostly 5â€“6 mm diam., white. Hypanthium c. 2 mm long, pedicel c. 1 mm long, usually glabrous. Sepals c. 0.7 mm long, glabrous. Petals c. 3 mm long. Stamens 1â€“1.5 mm long. Ovary mostly 5-locular. Fruit may persist until next flowering, usually c. 3 mm diam.; pedicel 1 mm long, glabrous; valves rounded, exerted.","shrub or small tree to 5 m high bark firm, furrowed, flaking;",,,5,,m,checked
Gaudium semibaccatum,"Description: Shrub usually to 0.5 m high, bark close or later flaking, younger stems pubescent. Leaves obovate to narrow-elliptic, mostly 5â€“10 mm long, 1.5â€“2.5 mm wide, usually flat, glabrous at maturity or pubescent near base of upper surface; apex usually obtuse and point blunt; base tapering to a broad flat petiole. Flowers solitary or 2 together, mostly 10â€“15 mm diam., white or pink. Hypanthium 3â€“4 mm long, usually silky. Sepals 1â€“2 mm long, pubescent or glabrous, ciliate. Stamens 1.5â€“2 mm long. Ovary mostly 5-locular. Fruit usually 4â€“6 mm diam., pubescent, valves exerted but forming a flat-topped fruit.",shrub usually to 0.5 m high bark close or later flaking,,,0.5,,m,checked
Gaudium subglabratum,"Description: Stout shrub to > 2 m high, bark flaking in thin layers, younger stems silky, glabrescent. Leaves oblanceolate to obovate, often falcate, 15â€“35 mm long, 3â€“7 mm wide, flat or slightly incurved, silky to almost glabrous at maturity: apex obtuse to broad-acute, short point usually blunt; base tapering to a short narrow rather flattened petiole. Flowers solitary, 10â€“15 mm diam., white. Hypanthium c. 3.5 mm long, glabrous except for silky pedicel; pedicel 1â€“1.5 mm long. Sepals 2.5â€“3.5 mm long, ciliate. Petals 5â€“6 mm long. Stamens 2â€“2.5 mm long. Ovary usually 5-locular. Fruit 4â€“7 mm diam.; pedicel silky; valves not exserted.","stout shrub to more than  2 m high bark flaking in thin layers, younger stems silky, glabrescent.",,,2,,m,checked
Gingidia harveyana,"Description: Plant erect, to 50 cm high, glabrous. Leaves pinnate, to 18 cm long; leaflets 9â€“11, lowermost dissected again; segments linear or linear-lanceolate, 1.6â€“4.8 cm long, 1.5â€“4 mm wide, apex acute, margins entire, glabrous; petiole to 20 cm long, basal sheath usually 2.5â€“4 cm long. Umbels with 5â€“9 very unequal rays, to 8.5 cm long; peduncles to 20 cm long; pedicels unequal, 7â€“20 mm long in fruit. Bracts 6â€“15 mm long, subulate; bracteoles 1.5â€“2.5 mm long, linear-subulate. Petals c. 0.6 mm long, white. Fruit ellipsoid or oblong, 6â€“10 mm long, with ± equal ribs.","plant erect to 50 cm high, glabrous.",,,50,,cm,checked
Gingidia rupicola,"Description: Herbaceous perennial to 50 cm tall, with a thick fleshy rootstock and erect stems. Leaves 6â€“10 per rosette up to 31.5 cm long, imparipinnate, leaflets 1â€“4 pairs, sometimes overlapping, the terminal pinnule sometimes 3-lobed, subcoriaceous, discolourous, upper surface grey-green, glaucous below, petiole 4.5â€“23.5 mm long, terete with a shallow channel on upper surface, sheathing at the base with marginal wings. Cauline leaves up to 9 cm long with 1â€“3 pairs of leaflets. Inflorescence axillary, 1â€“6 per plant each with a terminal compound umbel and 1â€“3 lateral compound umbels, 6â€“11 cm long; involucral bracts 5; primary rays 6â€“11. Simple umbels 10â€“14-flowered. Fruit a narrow-elliptic or narrow-ovate mericarp, 6.8â€“7.6mm long, 1.8â€“2.3mm wide, grey-brown, base rounded; dorsal surface convex with 5 ribs, 2 lateral ribs with wings 0.4â€“0.6mm wide; ventral surface flat; carpophore 4.5â€“6.8mm long",perennial herb to 50 cm tall,,,50,,cm,checked
Habranthus brachyandrus,"Description: Slender bulbous perennial to c. 30 cm high. Leaves grey-green, to 30 cm long, c. 10 mm wide. Inflorescence 1-flowered; perianth very dark purplish pink near base, pale pink or nearly white towards apex, 7.5â€“10 cm long; stigmas white.",slender bulbous perennial to circa 30 cm high.,,,30,,cm,checked
Harnieria hygrophiloides,"Description: Glabrescent shrub to 2 m high, branches hairy or hairs restricted to furrows. Leaves ± elliptic, 2â€“10 cm long, 10â€“30 mm wide, apex ± acute, margins entire to undulate, upper surface often drying black, venation obscure with dense linear cystoliths, lower surface paler; petiole 2â€“10 mm long. Axillary clusters 2â€“4-flowered, surrounded by obcordate bracts 5â€“7 mm long. Calyx 8â€“10 mm long. Corolla white or yellowish, with purple markings; tube c. 7 mm long; lips 5.5â€“6.5 mm long. Capsule 8â€“10 mm long, glabrous; usually 4-seeded.",glabrescent shrub to 2 m high,,,2,,m,checked
Hedera helix,"Description: Woody climber to 20 m or more high or creeper, occasionally becoming shrubby with age, usually with aerial roots along the stems, glabrous or with minute stellate to peltate hairs on the younger parts. Leaves shape and division variable, shallowly palmately 3â€“5-lobed, or margins entire and ± ovate, 3â€“10 cm long and wide, glabrous or nearly so, slightly discolorous with upper surface darker; petiole 2.5â€“11 cm long. Inflorescence a panicle of umbels, with an umbel terminating each inflorescence branch. Petals 5, sometimes apically united, greenish. Styles stout, c. 1.5 mm long, persistent. Fruit 5â€“10 mm diam., dull blue to black.","woodyclimber to 20 m or more high or creeper occasionally becoming shrubby with age, usually with aerial roots along the stems",,,20,,m,checked
Helosciadium nodiflorum,"Description: Perennial herb varying from amphibious to aquatic and up to 1.3 m high; glabrous; stems branched, hollow, grooved, rooting at lower nodes. Leaves with 3â€“17 leaflets. Leaflets ovate to lanceolate, serrate, sometimes lobed. Umbels 2â€“4 cm wide, with 4â€“14 rays and with 0â€“2 bracts at base of umbels and 4â€“8 bracteoles at base of umbellules. Petals c. 1 mm long, white. Fruit 1.5â€“2.5 mm long, ovoid, flattened, ribs slender to slightly thickened.",perennial herb varying from amphibious to aquatic and up to 1.3 m high; glabrous;,,,1.3,,m,checked
Hibbertia planifolia,"Description: Prostrate to decumbent shrub about 30 cm high, much branched, with leaves clustered terminally. Branches with distinctly raised leaf base; pubescent with dense multiangulate fascicled hairs. Leaves obtriangular, 3.5â€“5 x 1â€“1.5 mm, Flowers single, sessile in terminal clusters of leaves; Peduncle -/+ absent.",prostrate to decumbent shrub about 30 cm high much branched,,,30,,cm,checked
Howea belmoreana,"Description: Slender palm to 12 m high. Leaves pinnate, strongly arcuate, 2â€“3(-5) m long. Inflorescence of 1 pendulous spike, 1â€“1.8 m long. Male flowers creamy brown; stamens short, numerous. Female flowers developing a year after male flowers. Fruit an ovoid-ellipsoid drupe, 3â€“4 cm long, shortly and slightly beaked, brown-red.",slender palm to 12 m high.,,,12,,m,checked
