source,taxon_name,original_text,text,category,l_absolute_min,l_min,l_max,l_absolute_max,l_units,w_absolute_min,w_min,w_max,w_absolute_max,w_units,checked
missed_pn,Corokia carpodetoides,"Description: Shrub to 2 m high, or rarely tree-like to c. 5 m. Young stems covered in short felted hairs. Leaves alternate, somewhat crowded at ends of branches; lamina narrowly oblanceolate to narrowly elliptic, (2-) 3.5-6 cm long, (0.8-) 1-2 cm wide, attenuate onto petiole, dentate in upper half, acute to obtuse, apiculate, shortly felted-hairy when young, with indumentum persisting below along midrib and margin, shiny light green above, yellowish green below. Inflorescence terminal, corymbose, many-flowered. Sepals 5, triangular, 0.5-0.75 mm long. Petals 5, free, lanceolate, c. 3 mm long, acute, yellow. Ovary turbinate, 1.5-2 mm long, 1- or 2-locular. Fruit ovoid, c. 3 mm long, becoming dry and brown, 1-seeded."," fruit ovoid,   3 mm long, becoming dry and brown, 1-seeded.",fruit,,,3,,mm,,,,,,checked
missed_pn,Corokia whiteana,"Description: Shrub to 4 m high, new growth covered with scattered T-shaped hairs, Ã‚Â± glabrescent with age; branchlets with prominent leaf scars. Leaves oblong-lanceolate to narrow-elliptic, mostly 2-7 cm long, 6-20 mm wide, apex tapering, base cuneate, margins entire or sometimes with 1-3 coarse teeth, lamina soft and thin, upper surface sprinkled with T-shaped hairs, lower surface paler, lateral veins faint, finer veins invisible; petiole 2-5 mm long. Flowers scented; pedicels 3-8 mm long. Sepals c. 2.5 mm long. Petals usually 4, c. 5 mm long, creamy. Drupe ovoid, 8-12 mm long, 3-5 mm diam., red, crowned by persistent calyx."," drupe ovoid, 8-12 mm long, 3-5 mm diam., red, crowned by persistent calyx.",drupe,,8,12,,mm,,3,5,,mm,checked
missed_pn,Crithmum maritimum,"Description: Erect to decumbent perennial fleshy herb to 50 cm high, glabrous, sometimes glaucous. Stems solid, sometimes woody towards the base. Leaves 1-2-pinnate, 3-7 cm long; segments fleshy linear-oblanceolate, sub-terete, 3-5 mm wide, margins entire; petiole to 5 cm long. Umbels compound with 8-36 rays; 3-6 cm diam., peduncles ; bracts 5-8 mm long, entire. Sepals minute. Petals c. 1 mm long, yellow or yellow green. Fruit ovoid-oblong, 5-6 mm long, yellowish or purple, spongy when fresh; mericarp triangular in cross-section. Carpophore c. 5 mm long."," fruit ovoid-oblong, 5-6 mm long, yellowish or purple, spongy when fresh; mericarp triangular in cross-section. carpophore   5 mm long.",fruit,,5,6,,mm,,,,,,checked
missed_pn,Crithmum maritimum,"Description: Erect to decumbent perennial fleshy herb to 50 cm high, glabrous, sometimes glaucous. Stems solid, sometimes woody towards the base. Leaves 1-2-pinnate, 3-7 cm long; segments fleshy linear-oblanceolate, sub-terete, 3-5 mm wide, margins entire; petiole to 5 cm long. Umbels compound with 8-36 rays; 3-6 cm diam., peduncles ; bracts 5-8 mm long, entire. Sepals minute. Petals c. 1 mm long, yellow or yellow green. Fruit ovoid-oblong, 5-6 mm long, yellowish or purple, spongy when fresh; mericarp triangular in cross-section. Carpophore c. 5 mm long."," fruit ovoid-oblong, 5-6 mm long, yellowish or purple, spongy when fresh; mericarp triangular in cross-section. carpophore   5 mm long.",carpophore,,,5,,mm,,,,,,changed entity
missed_pn,Cyclospermum leptophyllum,"Description: Erect annual herb, 15-70 cm high, glabrous. Leaves usually 2.5-4 cm long, 3-4 times dissected; segments filiform, to 1 mm wide, glabrous; lower leaves petiolate; upper leaves sessile. Inflorescences with umbels 1.5-2.5 cm diameter; sessile or shortly pedunculate; rays 2-4, 8-16 mm long; umbellules 8-12 mm diameter; pedicels usually 6-20, 3-7 mm long. Flowers with petals c. 0.3 mm long, white. Fruit ovoid, 1-3 mm long, glabrous."," fruit ovoid, 1-3 mm long, glabrous.",fruit,,1,3,,mm,,,,,,checked
missed_pn,Cynanchum carnosum,"Description: Trailing herb with much-branched twining stems, glabrous or almost so; latex clear, watery. Leaves with lamina oblong-oblanceolate to obovate or elliptic, occasionally lanceolate or linear, 2-5.5 cm long, 5-30 mm wide, apex mucronate, rather thick, semi-succulent, faintly veined, glands absent from lamina; petiole 2-13 mm long. Flowers pale green or yellowish green, 15-16 mm diam. Calyx lobes c. 2 mm long. Corolla lobes 6-7 mm long. Corona of 5 conspicuous, whitish, erect distinct segments, the tips often recurved, longer than the column. Anthers red. Follicles 5-7 cm long; seeds with coma 10-20 mm long.", follicles 5-7 cm long;,follicle,,5,7,,cm,,,,,,checked
missed_pn,Cynanchum elegans,"Description: Climber or twiner with stems becoming corky, cream to fawn. Leaves with lamina broad-ovate to ovate, 1.5-5.5 cm long, 15-25 mm wide, apex short-acuminate, base truncate to scarcely cordate, mostly Ã‚Â± glabrous, 2 basal glands present; petiole 5-25 mm long. Inflorescences few-flowered, in clusters or umbels on branched peduncles. Calyx lobes c. 1 mm long. Corolla c. 5 mm long, 10-12 mm diam., white; tube about as long as calyx; lobes broad. Corona lobes abruptly acuminate, the apex short and curved inwards. Follicles narrow-ovoid, 6-7 cm long, apex long-acuminate, glabrous, thin-walled; seeds with coma 10-20 mm long."," follicles narrow-ovoid, 6-7 cm long, apex long-acuminate, glabrous, thin-walled;",follicle,,6,7,,cm,,,,,,checked
missed_pn,Cynanchum floribundum,"Description: Shrubs with twining branches to c. 1 m high, new growth pubescent. Leaves with lamina ovate to narrow-lanceolate, 3-9 cm long, 10-30 mm wide, apex long-acuminate, base cuneate to cordate, glabrous, mostly with 2 basal glands; petiole 10-30 mm long. Inflorescence dense, Ã‚Â± umbellate. Calyx lobes c. 2 mm long. Corolla 5-8 mm long, creamy above, greenish to purplish below. Corona tubular with 20 narrow-acuminate lobes, longer than anthers and Ã‚Â± as long as corolla. Follicles ovoid, 3-5 cm long, acuminate, sometimes falcate, pubescent, thin-walled; seeds with coma 10-25 mm long."," follicles ovoid, 3-5 cm long, acuminate, sometimes falcate, pubescent, thin-walled;",follicle,,3,5,,cm,,,,,,checked
missed_pn,Cynanchum viminale subsp. australe,"Description: Trailer or climber with stems to 6 m long, or sometimes a compact much-branched shrub to 2 m high; stems green or grey-green, young parts minutely hairy. Leaves opposite, scale-like, internodes long. Umbels 2-10-flowered; pedicels 3-6 mm long. Flowers 6-8 mm diam., pale yellow or whitish. Calyx lobes obtuse, 1-1.5 mm long. Corolla tube c. 2 mm long; lobes ovate-oblong, subacute, 4-5 mm long. Follicles slender, gradually tapered to apex, 5-14 cm long."," follicles slender, gradually tapered to apex, 5-14 cm long.",follicle,,5,14,,cm,,,,,,checked
missed_pn,Cynanchum viminale subsp. brunonianum,"Description: Trailer or climber with stems to 6 m long, becoming woody; stems bright green to grey-green, young parts minutely hairy. Leaves opposite, scale-like, internodes long. Umbels 2-10-flowered; pedicels 3-6 mm long. Flowers 6-8 mm diam., pale yellow or whitish. Calyx lobes obtuse, 1-1.5 mm long. Corolla tube c. 2 mm long; lobes ovate-oblong, subacute, 4-5 mm long. Follicles slender, gradually tapered to apex, 5-14 cm long."," follicles slender, gradually tapered to apex, 5-14 cm long.",follicle,,5,14,,cm,,,,,,checked
missed_pn,Damasonium minus,"Description: Erect, emergent annual or short-lived perennial to 1 m high with floating and/or emergent leaves. Leaves with lamina lanceolate to ovate, 5-10 cm long, 1.5-4 cm wide, base obtuse to cordate, with 3-5 parallel veins connected by numerous finer transverse veins; petiole to c. 30 cm long. Inflorescence to 50 cm long; bracts not persistent. Flowers c. 6 mm diam. Sepals c. 1 mm long, green. Petals ovate, c. 6 mm long, white or pink. Follicles 5-6 mm long, 2-seeded, flattened, forming a star-shaped aggregate fruit 10-12 mm diam.; follicles eventually fall singly; seeds c. 1.5 mm long, partly transversely ridged and tuberculate."," follicles 5-6 mm long, 2-seeded, flattened, forming a star-shaped aggregate fruit 10-12 mm diam.; follicles eventually fall singly;",follicle,,5,6,,mm,,,,,,checked
missed_pn,Damasonium minus,"Description: Erect, emergent annual or short-lived perennial to 1 m high with floating and/or emergent leaves. Leaves with lamina lanceolate to ovate, 5-10 cm long, 1.5-4 cm wide, base obtuse to cordate, with 3-5 parallel veins connected by numerous finer transverse veins; petiole to c. 30 cm long. Inflorescence to 50 cm long; bracts not persistent. Flowers c. 6 mm diam. Sepals c. 1 mm long, green. Petals ovate, c. 6 mm long, white or pink. Follicles 5-6 mm long, 2-seeded, flattened, forming a star-shaped aggregate fruit 10-12 mm diam.; follicles eventually fall singly; seeds c. 1.5 mm long, partly transversely ridged and tuberculate."," follicles 5-6 mm long, 2-seeded, flattened, forming a star-shaped aggregate fruit 10-12 mm diam.; follicles eventually fall singly;",fruit,,,,,,,10,12,,mm,checked
missed_pn,Daucus carota,"Description: Erect biennial herb 30-150 cm high, hispid especially on the primary stems, stems striate. Leaves 2-3-pinnate, to 15 cm long; segments ovate to lanceolate or linear; petiole of basal leaves shorter than lamina and with a long striate sheathing base. Umbels flat-topped or slightly convex in flower, 4-8 cm diam., with 30-60 rays; rays becoming rigid and incurved to form a concave infructescence; umbellules to 20-flowered, outer flowers white or pinkish, c. 2.5 mm diam., inner sterile; involucral bracts 7-13, pinnatifid, often shorter than rays; involucral bracteoles linear and entire or trifid. Fruit ovoid, 3-4 mm long, secondary ribs with mainly straight spines, only the apical ones barbellate, primary ribs with a row of short hairs."," rays becoming rigid and incurved to form a concave infructescence; fruit ovoid, 3-4 mm long, secondary ribs with mainly straight spines, only the apical ones barbellate, primary ribs with a row of short hairs.",fruit,,3,4,,mm,,,,,,checked
missed_pn,Daucus glochidiatus,"Description: Erect or ascending annual herb 8-60 cm high, hispid, often branched from base. Leaves 2-pinnate, 2-5 cm long, with ovate segments, lobes narrow-linear, hispid on primary and secondary veins and leaf edge; petiole of basal leaves about as long as lamina, slender and with a narrow sheathing base. Umbels irregular, almost sessile or with 2-5 unequal rays; umbellules 1-6-flowered, white or pink to crimson, c. 1.5 mm diam.; involucral bracts one to a few, linear to narrow-lanceolate, often with membranous margins and/or hispid, pinnatifid; involucral bracteoles narrow, entire. Fruit ovoid, usually 3-5 mm long, primary ribs with a row of short bristles that spread alternately on each side of the rib, the secondary ribs with hooked bristles."," fruit ovoid, usually 3-5 mm long, primary ribs with a row of short bristles that spread alternately on each side of the rib, the secondary ribs with hooked bristles.",fruit,,3,5,,mm,,,,,,checked
missed_pn,Deeringia amaranthoides,"Description: Climber to 4 m high, or sometimes a small shrub, often flowering when quite small. Leaves ovate to lanceolate; lamina 5-25 cm long, to 6 cm wide; petiole 1-2 cm long. Flowers in interrupted spikes to 25 cm long in upper axils or in loose terminal panicles, bisexual. Bracts small and papery. Perianth segments ovate, scarcely 2 mm long, obtuse. Stamens 5, fused at the base. Ovary globose, glabrous; styles 3. Berry subglobose, 4-5 mm diam., red, 3-furrowed."," berry subglobose, 4-5 mm diam., red, 3-furrowed.",berry,,4,5,,mm,,4,5,,mm,changed
missed_pn,Dichosciadium ranunculaceum,"Description: Perennial herb, with a basal rosette 10-20 cm diam., bristly with stiff spreading hairs; taproot has a parsnip-like smell when fresh. Leaves Ã‚Â± circular or obovate in outline, 11-24 mm long, 12-24 mm wide, often sparsely hispid, 3-7-lobed, the lobes deeply and irregularly incised-crenate; base broad-cuneate or rounded; petiole 2.7-7 cm long. Umbels usually 3-7-flowered; peduncle hispid, 3.5-4.5 cm long; bracts narrow-oblong, to 11 mm long; pedicels 8-20 mm long. Sepals and petals 2.5-3 mm long, white. Fruit elliptic, 2.5-7 mm long, the mericarp with outer faces flattened."," fruit elliptic, 2.5-7 mm long, the mericarp with outer faces flattened.",fruit,,2.5,7,,mm,,,,,,checked
missed_pn,Dichosciadium ranunculaceum var. ranunculaceum,"Description: Perennial herb, with a basal rosette 10-20 cm diam., bristly with stiff spreading hairs; taproot has a parsnip-like smell when fresh. Leaves Ã‚Â± circular or obovate in outline, 11-24 mm long, 12-24 mm wide, often sparsely hispid, 3-7-lobed, the lobes deeply and irregularly incised-crenate; base broad-cuneate or rounded; petiole 2.7-7 cm long. Umbels usually 3-7-flowered; peduncle hispid, 3.5-4.5 cm long; bracts narrow-oblong, to 11 mm long; pedicels 8-20 mm long. Sepals and petals 2.5-3 mm long, white. Fruit elliptic, 2.5-7 mm long, the mericarp with outer faces flattened."," fruit elliptic, 2.5-7 mm long, the mericarp with outer faces flattened.",fruit,,2.5,7,,mm,,,,,,checked
missed_pn,Diplaspis nivis,"Description: Perennial herb 2-12 mm long. Leaves with lamina ovate or Ã‚Â± circular, 5-15 mm long and wide, base cordate; margins recurved, entire or finely crenate; thick and Ã‚Â± fleshy, discolorous with the lower surface paler, both surfaces glabrous or upper surface sparsely bristly; petiole 1-7 cm long, usually glabrous. Umbels 10-20 flowered; peduncle 1-4 cm long, sparsely bristely below umbel, becoming elongated, hollow and to 5 mm diameter in fruit; bracts Ã‚Â± linear, 4-5 mm long; pedicels 2-4 mm long. Flowers all bisexual. Petals 1-1.3 mm long, sometimes tinged red. Fruit much flattened, mericarp broad -ovate in outline, 2.5-3 mm long."," fruit much flattened, mericarp broad -ovate in outline, 2.5-3 mm long.",mericarp,,2.5,3,,mm,,,,,,checked
missed_pn,Dipteracanthus australasicus,"Description: Woody herb or shrub 30-150 cm high or rarely prostrate or climbing, usually with spreading hairs; branches with linear cystoliths parallel to axis. Leaves Ã‚Â± ovate to elliptic, 8-25 mm long, 5-10 mm wide, apex acute to obtuse, base tapering or rounded, margins crenate or entire, cystoliths on both surfaces; petiole 1-8 mm long. Bracteoles leafy, 8-20 mm long. Calyx 5-13 mm long. Corolla blue or purple to white; tube 6-35 mm long; lobes mostly 3-15 mm long. Style Ã‚Â± persistent, >6 mm long. Capsule 7-17 mm long; seeds usually 6-10.", capsule 7-17 mm long;,capsule,,7,17,,mm,,,,,,checked
missed_pn,Dipteracanthus australasicus subsp. australasicus,"Description: Corolla tube 20-35 mm long, lobes 5-15 mm long; style 6-22 mm long; capsule 10-17 mm long. Shrub 30-100 cm high.", capsule 10-17 mm long.,capsule,,10,17,,mm,,,,,,checked
missed_pn,Dipteracanthus australasicus subsp. corynothecus,"Description: Corolla tube 6-14 mm long, lobes 3-6 mm long; style 6-7.5 mm long; capsule 7-13 mm long. Subshrub 10-25 cm high.", capsule 7-13 mm long.,capsule,,7,13,,mm,,,,,,checked
missed_pn,Dracaena trifasciata,"Description: Plant with very short stem, strongly stoloniferous; rhizome sympodial, yellow-red. Leaves 2-6 per plant, 40-175 cm long, 2.5-9 cm wide, dark green with conspicuous light or greyish green, irregularly defined transverse bands; often with a light green, yellowish or reddish margin. Raceme erect, 40-75 cm long including scape; flower clusters scattered or in groups; pedicels 6-8 mm long. Perianth 2.5-3 cm long, greenish white, scented, the segments broadening to greenish tip. Stamens 7-8 mm long; filaments 6-7 mm long; anthers 2 mm long. Style 15-18 mm long; stigma 0.5-1 mm long. Berry ± globose, 7-9 mm diam., orange; seeds usually 2, 6-7 mm long, c. 5 mm diam., cream-brown."," berry ± globose, 7-9 mm diam., orange;",berry,,7,9,,mm,,7,9,,mm,checked
missed_pn,Drosanthemum candens,"Description: Semi-erect shrub to 30 cm high, with trailing hirsute branches. Leaves clavate, 3-10 mm long, 1-2 mm wide, sessile, densely papillose. Flowers 3-6 mm diam. Perianth lobes semiterete, 7-10 mm long, dorsal horn 1-3 mm long. Petaloid staminodes 4-5 mm long, c. 0.5 mm wide, fused for half their length, white. Stamens usually c. 12-20, slightl y shorter than staminodes. Ovary faintly ribbed. Fruit shallowly obconical, 2-3 mm long, 4-5 mm wide; peduncle 12-28 mm long."," fruit shallowly obconical, 2-3 mm long, 4-5 mm wide;",fruit,,2,3,,mm,,4,5,,mm,checked
missed_pn,Drymophila cyanocarpa,"Description: Herb to 40 cm high, stems unbranched or more often with short lateral branches. Leaves lanceolate to falcate, 2.5-8 cm long, 5-15 mm wide, apex bluntly acute, both surfaces glabrous, midrib prominent, raised; petiole c. 1 mm long. Flowers 10-15 mm diam, white to pale mauve; pedicel 6-12 mm long. Tepals 5-8 mm long, inner ones slightly longer. Ovary 3-locular. Berry ± ovoid, 5-10 mm long, blue-purple; seeds numerous."," berry ± ovoid, 5-10 mm long, blue-purple;",berry,,5,10,,mm,,,,,,checked
missed_pn,Drymophila moorei,"Description: Herb to 30 cm high, aerial stems unbranched. Leaves elliptic to broad-lanceolate, 3-6 cm long, 10-20 mm wide, apex bluntly acute, both surfaces glabrous, midrib prominent, and raised; petiole c. 1 mm long. Flowers 10-15 mm diam., white to pale pink; pedicel 8-12 mm long. Tepals 5-8 mm long, inner ones slightly longer. Ovary 3- or 4-locular. Berry ± ovoid, 10-15 mm long, orange-yellow; seeds few."," berry ± ovoid, 10-15 mm long, orange-yellow;",berry,,10,15,,mm,,,,,,checked
missed_pn,Eryngium expansum,"Description: Erect to spreading short-lived perennial herb, 15-60 cm high, with dichotomous branching pattern. Basal leaves oblong or obovate, 5-8 cm long, 2-4 cm wide, with coarse spinose lobes and narrow petiole; stem leaves 10-20 mm long, deeply 3-5-lobed and spinose-toothed. Inflorescence axillary, Ã‚Â± sessile, with flower heads Ã‚Â± globose, 3-5 mm long and diam.; bracts greenish, narrow-lanceolate, 7-13.5 mm long, apex spinose. Flowers white or greenish. Fruit 2-2.5 mm long, covered with bladdery scales; sepals persistent but inconspicuous."," fruit 2-2.5 mm long, covered with bladdery scales;",fruit,,2,2.5,,mm,,,,,,checked
missed_pn,Eryngium maritimum,"Description: Robust perennial herb to 50 cm high. Basal leaves Ã‚Â± circular to broad-ovate, to 10 cm long, to 15 cm wide, deeply 3-5-lobed and coarsely spinose-toothed, with stout petiole to 15 cm long; stem leaves smaller, Ã‚Â± sessile. Inflorescence axillary, a compound dichasia, bracteate at each branching junction, the ultimate unit of the inflorescence a globose head; flower heads 13-22 mm long, 11-20 mm diam.; peduncle length variable; bracts 4-7, broad-ovate, deeply lobed and spinose-toothed, similar in size, texture and colour to the leaves. Flowers pale mauve. Fruit 4.5-6 mm long, densely covered with acutely pointed scales and crowned by the persistent sepals."," fruit 4.5-6 mm long, densely covered with acutely pointed scales and crowned by the persistent sepals.",fruit,,4.5,6,,mm,,,,,,checked
missed_pn,Eryngium ovinum,"Description: Stiffly erect annual or short-lived perennial herb, 15-60 cm high, upper parts often metallic blue in colour. Basal leaves pinnatisect, 10-25 cm long, segments linear, pungent; stem leaves 1-6 cm long, less divided. Inflorescence a compound dichasium, bracteate at each branching junction, bracts opposite, gradually decreasing in size up the inflorescence, deeply cleft with spinose tips; the ultimate inflorescence unit a head with spinose bracts scattered throughout; flower heads ovoid to globose, 6-13 mm long, 6-11 mm diam.; bracts linear, 5-20 mm long, rigid, pungent, greenish when immature becoming metallic blue. Flowers blue. Fruit 2.5-4 mm long, covered with acute bladdery scales and crowned by persistent sepals."," fruit 2.5-4 mm long, covered with acute bladdery scales and crowned by persistent sepals.",fruit,,2.5,4,,mm,,,,,,checked
missed_pn,Eryngium paludosum,"Description: Erect spreading annual or short-lived perennial herb, 15-50 cm high and wide. Leaves mainly basal, ovate or lanceolate, to 25 cm long, Ã‚Â± deeply divided into spinose segments; upper stem leaves to 7 cm long, becoming entire and linear, often reflexed. Inflorescence a compound dichasium, bracteate at each branching junction, bracts deeply divided into spinose Ã‚Â± linear segments; ultimate unit a head with spinose bracts mainly at base and apex; peduncles 10-30 mm long; flower heads cylindrical, 5-22 mm long, 3-12 mm diam. with linear, pungent, bracts 10-27 mm long, apical ones lanceolate and overtopping the flower heads. Flowers blue or mauve. Fruit 2.5-3 mm long, covered with blunt bladdery scales and crowned by persistent sepals."," fruit 2.5-3 mm long, covered with blunt bladdery scales and crowned by persistent sepals.",fruit,,2.5,3,,mm,,,,,,checked
missed_pn,Eryngium pandanifolium,"Description: Erect perennial herb to 4 m high. Basal leaves broad-linear, usually 100-250 cm long, usually 2-7 cm wide, apex acute, margins with slender spines, venation parallel, midvein usually more prominent. Inflorescence a panicle of compound umbels, the ultimate unit of the inflorescence a head; stalk of heads 14-33 mm long; heads ovoid to globose, 7.5-14 mm long, 6-9 mm diam.; bracts greenish, 6-8, ovate, acute, 2-3 mm long. Flowers greenish white. Fruit c. 2.5 mm long, covered with bladdery scales."," fruit   2.5 mm long, covered with bladdery scales.",fruit,,,2.5,,mm,,,,,,checked
missed_pn,Eryngium vesiculosum,"Description: Short-lived perennial herb with prostrate branches to 30 cm long. Basal leaves oblong or oblanceolate, to 15 cm long, 0.5-1.5 cm wide including petiole, with margins coarsely spinose-toothed; stem leaves shorter, cuneate, with 3-5 spinose teeth. Inflorescence basal or at branch nodes, Ã‚Â± sessile; flower heads ovoid, 6-10 mm long, 5-8 mm diam.; bracts greenish, 8-10, narrow-triangular, apex spinose, 8-20 mm long. Flowers blue. Fruit 5-6 mm long, covered with blunt bladdery scales."," fruit 5-6 mm long, covered with blunt bladdery scales.",fruit,,5,6,,mm,,,,,,checked
missed_pn,Euroschinus falcatus,"Description: Small to medium-sized tree, branchlets pubescent to glabrous. Leaves 12-30 cm long; leaflets mostly 4-10, opposite to alternate and without a true terminal one, 3.5-10 cm long, 15-40 mm wide, apex acuminate, base obtuse, asymmetric with curved midvein, upper surface glossy, both surfaces Ã‚Â± glabrous, sometimes with hairy domatia on lower surface (handlens needed); petiole 3-15 cm long, petiolules 5-12 mm long. Panicles 5-15 cm long, pubescent. c. 3 mm long, white to pink. Drupe obliquely ellipsoid to ovoid, 6-8 mm long, purple-black."," drupe obliquely ellipsoid to ovoid, 6-8 mm long, purple-black.",drupe,,6,8,,mm,,,,,,checked
missed_pn,Euroschinus falcatus var. falcatus,"Description: Small to medium-sized tree, branchlets pubescent to glabrous. Leaves 12-30 cm long; leaflets mostly 4-10, opposite to alternate and without a true terminal one, 3.5-10 cm long, 15-40 mm wide, apex acuminate, base obtuse, asymmetric with curved midvein, upper surface glossy, both surfaces Ã‚Â± glabrous, sometimes with hairy domatia on lower surface (handlens needed); petiole 3-15 cm long, petiolules 5-12 mm long. Panicles 5-15 cm long, pubescent. flowers c. 3 mm long, white ot pink. Drupe obliquely ellipsoid to ovoid, 6-8 mm long, purple-black."," drupe obliquely ellipsoid to ovoid, 6-8 mm long, purple-black.",drupe,,6,8,,mm,,,,,,checked
missed_pn,Euryops virgineus,"Description: Woody erect shrub, 1-1.5 metre high; branches long, slender, imbricate with leaves crowded all along to their apices. Branches with many leaf base scars on the woody branches. Leaves 4-5 mm long, 2-3 mm wide at the widest point, sessile, wedge-shaped and sharply and deeply 3-5-toothed. Flowers bright yellow, axillary but towards the apices of the branches; peduncles much longer than the leaves, 15-20 mm long; involuvcral bracts 5-7, oblong, subacute, connate below; recepticle conical; ray florets 6-7; disc florets c. 22. achene glabrous with longitudinal grooves, c. 1 mm long, pappus white, sparse plumose, with barbs, not persisting."," achene glabrous with longitudinal grooves,   1 mm long, pappus white, sparse plumose, with barbs, .",achene,,,1,,mm,,,,,,checked
missed_pn,Eustrephus latifolius,"Description: Vine with stems to 6 m long, sometimes much branched. Leaves with lamina variable in shape, elliptic or ovate to lanceolate or linear, mostly 3-10 cm long and 3-35 mm wide, apex acute, base ± cuneate, sometimes ± rounded, lamina ± discolorous, both surfaces dull, all veins equally distinct; petiole to 1 mm long. Pedicels clustered in leaf axils, 8-15 mm long. Tepals 5-8 mm long, pink to mauve or white. Capsule ± globose, 10-20 mm diam., yellow-orange; seeds numerous, black with a white aril, remaining attached to the placenta after valves have opened."," capsule ± globose, 10-20 mm diam., yellow-orange;",capsule,,10,20,,mm,,10,20,,mm,checked
missed_pn,Ficinia marginata,"Description: Small tufted annual. Culms filiform, to 10 cm high. Leaves with blade shorter than culms, to 4 cm long. Spikelets 1-6 (rarely to 12) per inflorescence, 3-7 mm long; involucral bract erect or spreading, longer than spikelets. Glumes rather rigid, with stout midrib, sides shining with 4-6 conspicuous nerves, 1.5-2 mm long, straw-coloured, often with red-brown to blackish patches. Stamens 3. Style 3-fid. Nut equally trigonous, obovoid to ellipsoid or broad-ellipsoid, angles subacute, about two thirds the length of glume, 0.8-1.2 mm long, 0.5-0.7 mm diam., minutely roughened or reticulate, ± shining, straw-coloured to dark brown."," nut equally trigonous, obovoid to ellipsoid or broad-ellipsoid, angles subacute, about two thirds the length of glume, 0.8-1.2 mm long, 0.5-0.7 mm diam., minutely roughened or reticulate, ± shining, straw-coloured to dark brown.",nut,,0.8,1.2,,mm,,0.5,0.7,,mm,checked
missed_pn,Foeniculum vulgare,"Description: Erect, biennial or annual herb, 1-2.5 m high, strongly liquorice-scented; stems striate, glabrous, glaucous. Leaves 3-4-pinnate, 30-50 cm long, feathery, repeatedly dissected into numerous thread-like segments, 5-10 cm long. Compound umbels 7-15 cm diam.; peduncle to 12 cm long; rays 8-30, to 6 cm long; umbellules 5-15 mm diam., 10-30-flowered; pedicels 1-7 mm long. Petals c. 1 mm long, yellow. Fruit ovoid-oblong, 4-10.5 mm long; mericarp dorsally flattened with 5 prominent equal ribs."," fruit ovoid-oblong, 4-10.5 mm long; mericarp dorsally flattened with 5 prominent equal ribs.",fruit,,4,10.5,,mm,,,,,,checked
missed_pn,Fraxinus chinensis,"Description: Tree 3-20 m high. Branchlets glabrous, variously hairy. Buds broadly ovoid or conical, brown tomentose. Leaves 12-35 cm; petiole 3-9 cm; axis puberulent or pilose at first, leaflet joint glabrous or densely tomentose. Leaflets 3-9; petiolule 2-15 mm long; blades broad-ovate, ovate, to lanceolate or elliptic to obovate-lanceolate, 4-16 cm long, 2-7 cm wide (terminal much larger), papery to somewhat leathery, glabrous or villous, sometimes villous only along veins abaxially, base blunt or cuneate, margin regularly serrate to crenate-serrate, sometimes entire in lower half, apex acute to long acuminate or caudate; primary veins 5-10 on each side of midrib Panicles terminal or lateral, 5-10 cm. Flowers dioecious, opening with leaves. Staminate flowers congested; calyx cupular, 1-1.5 mm; corolla absent. Pistillate flowers lax; calyx tubular, 2-3 mm. Fruit a samara, spathulate to very narrowly so, 2.5-4 cm long, 3-7(-15) mm wide; wing decurrent to middle or lower part of nutlet."," fruit a samara, spathulate to very narrowly so, 2.5-4 cm long, 3-7 -15  mm wide; wing decurrent to middle or lower part of nutlet.",samara,,2.5,4,,cm,,3,7,15,mm,checked
missed_pn,Galenia pubescens,"Description: Prostrate to decumbent Ã‚Â± woody herb. Leaves ovate to spathulate, to 35 mm long and 15 mm wide, villous when young. Perianth 2-3 mm long, hairy on outside, white inside, often with a pinkish tinge, yellowing with age. Anthers pink, yellow or orange, often changing colour with age. Capsule c. 3 mm long; seeds c. 1 mm long, shiny, black.", capsule   3 mm long;,capsule,,,3,,mm,,,,,,checked
missed_pn,Gaudium blakelyi,"Description: Shrub c. 1 m high, bark close, shed in strips, younger stems densely silky. Leaves obovate to broad-elliptic, often concave, 4-8 mm long, 2-5 mm wide, silky on base and margins; apex variably rounded to acute or acuminate, point blunt to pungent; base tapering Ã‚Â± gradually to a short slender petiole often broader at the base. Flowers 1-4 together, c. 7 mm diam., white or pink. Hypanthium c. 10 mm long, pedicel often at least 5 mm long, silky. Sepals 1-1.5 mm long, pubescent. Petals 2-2.5 mm long. Stamens c. 1 mm or less in length. Ovary 3- to 5-locular. Fruit 2-3.5 mm diam., glabrescent; pedicel mostly 6-8 mm long; valves not much exserted."," fruit 2-3.5 mm diam., glabrescent; valves  exserted.",fruit,,,,,,,2,3.5,,mm,checked
