TRY Data Explorer Output	2020-5-28
Trait List

TraitID	Trait	ObsNum	ObsGRNum	AccSpecNum	
2193	Fine root (absorptive) growth: fraction of absorptive fine root number that has elongated since last	58	58	1	
2060	Fine root (absorptive) iron (Fe) content per absorptive fine root dry mass	18	18	18	
2061	Fine root (absorptive) lead (Pb) content per absorptive fine root dry mass	18	18	6	
2280	Fine root (absorptive) length density (RLD): absorptive fine root length per ground area	79	79	16	
2265	Fine root (absorptive) length fraction in respective root order	121	121	8	
2062	Fine root (absorptive) length per absorptive fine root dry mass (specific absorptive fine root lengt	2406	2315	734	
2283	Fine root (absorptive) length per minirhizotron screen area	15	15	1	
2281	Fine root (absorptive) length per soil volume	73	73	27	
2186	Fine root (absorptive) length relative growth rate	40	40	4	
2230	Fine root (absorptive) length: distance from absorptive fine root base to tip	700	698	231	
2170	Fine root (absorptive) lifespan: fraction of absorptive fine roots that live to the age in “absorpti	173	173	3	
2171	Fine root (absorptive) lifespan: fraction of absorptive fine roots that survive over the course of a	16	16	2	
2129	Fine root (absorptive) lignin carbon (C) content per absorptive fine root carbon (C) content	3	3	1	
2040	Fine root (absorptive) lignin content per absorptive fine root dry mass	8	8	4	
2128	Fine root (absorptive) lignin phenol content per absorptive fine root carbon (C) content	21	21	1	
2288	Fine root (absorptive) lignin phenol vegetation index	3	3	1	
2102	Fine root (absorptive) link length (segments between two nodes or a node and a tip)	34	34	34	
2143	Fine root (absorptive) lipid content per absorptive fine root dry mass	8	8	1	
2063	Fine root (absorptive) magnesium (Mg) content per absorptive fine root dry mass	185	185	83	
2071	Fine root (absorptive) manganese (Mn) content per absorptive fine root dry mass	128	128	31	
2176	Fine root (absorptive) mortality: absorptive fine root dry mass mortality per ground area and time	6	6	1	
2180	Fine root (absorptive) mortality: absorptive fine root length mortality per ground area and year	15	15	1	
2064	Fine root (absorptive) nickel (Ni) content per absorptive fine root dry mass	18	18	6	
2035	Fine root (absorptive) nitrogen (N) content per absorptive fine root dry mass	1750	1630	613	
2113	Fine root (absorptive) nitrogen (N) content per absorptive fine root length	34	34	34	
2036	Fine root (absorptive) nitrogen (N) isotope signature (delta 15N)	3	3	1	
2276	Fine root (absorptive) nitrogen (N) per soil dry mass	3	3	1	
3243	Fine root (absorptive) number of phellem layers	58	58	1	
3244	Fine root (absorptive) number of vessels per cross-section	61	61	29	
3247	Fine root (absorptive) number of vessels per cross-sectional area	53	53	26	
2136	Fine root (absorptive) p-hydroxy phenol content per absorptive fine root carbon (C) content	3	3	1	
2094	Fine root (absorptive) passage cell number in exodermis per absorptive fine root circumference	18	8	6	
2065	Fine root (absorptive) persistence (lifespan, longevity)	500	500	84	
3260	Fine root (absorptive) phenols chlorogenic acid molarity per absorptive fine root mass	90	90	1	
2073	Fine root (absorptive) phenols content per absorptive fine root dry mass	25	25	25	
2049	Fine root (absorptive) phosphorus (P) content per absorptive fine root dry mass	313	313	90	
2248	Fine root (absorptive) phosphorus (P) uptake rate per absorptive fine root surface area	18	18	6	
2042	Fine root (absorptive) porosity (volume of root air space)	40	40	4	
2066	Fine root (absorptive) potassium (K) content per absorptive fine root dry mass	189	189	81	
2151	Fine root (absorptive) ratio of 3,5-dihydroxybenzoic acid groups to vanillyl phenols	3	3	1	
2154	Fine root (absorptive) ratio of lignin to nitrogen (N)	8	8	4	
2152	Fine root (absorptive) ratio of mass of non-acid hydrolysable compounds to mass of nitrogen	105	105	35	
2149	Fine root (absorptive) ratio of number of acid groups to number of aldehyde groups in syringyl pheno	3	3	1	
2150	Fine root (absorptive) ratio of number of acid groups to number of aldehyde groups in vanillyl pheno	3	3	1	
2153	Fine root (absorptive) ratio of of cinnamyl phenol to vanillyl phenol	3	3	1	
2157	Fine root (absorptive) ratio of of syringyl phenol to vanillyl phenol	3	3	1	
2158	Fine root (absorptive) ratio of vanillyl phenol to lignin phenol	3	3	1	
2047	Fine root (absorptive) respiration rate per absorptive fine root dry mass	352	352	78	
2253	Fine root (absorptive) respiration rate per absorptive fine root length	36	36	36	
3265	Fine root (absorptive) root hair density	15	15	1	
3266	Fine root (absorptive) root hair diameter	15	15	1	
2067	Fine root (absorptive) sodium (Na) content per absorptive fine root dry mass	8	8	1	
2118	Fine root (absorptive) sodium (Na+) ion content per absorptive fine root dry mass	6	6	1	
3261	Fine root (absorptive) starch content per dry mass	90	90	1	
2081	Fine root (absorptive) stele diameter	258	258	131	
2080	Fine root (absorptive) stele fraction: stele diameter divided by absorptive fine root diameter	217	217	131	
2068	Fine root (absorptive) sulfur (S) content per absorptive fine root dry mass	18	18	18	
2266	Fine root (absorptive) surface area fraction in respective root order	27	27	7	
2069	Fine root (absorptive) surface area per absorptive fine root dry mass (specific absorptive fine root	304	279	85	
2142	Fine root (absorptive) syringyl phenol content per absorptive fine root carbon (C) content	3	3	1	
2037	Fine root (absorptive) tissue density (absorptive fine root dry mass per absorptive fine root volume	1357	1266	481	
2048	Fine root (absorptive) total non-structural carbon (TNC) content per absorptive fine root dry mass	265	265	21	
2214	Fine root (absorptive) turnover rate during growing season	16	16	2	
2144	Fine root (absorptive) vanillyl phenol content per absorptive fine root carbon (C) content	3	3	1	
2044	Fine root (absorptive) vessel diameter	160	160	126	
2147	Fine root (absorptive) water soluble sugar content per absorptive fine root dry mass	16	16	1	
2087	Fine root (absorptive) xylem vessel density in stele: number of xylem vessels per square millimeter 	113	113	97	
2070	Fine root (absorptive) zinc (Zn) content per absorptive fine root dry mass	36	36	24	
2034	Fine root (absorptive)/shoot ratio	48	48	5	
2310	Fine root (transport) arsenic (As) content per transport fine root dry mass	12	12	6	
2353	Fine root (transport) branching intensity 1(branching ratio): number of transport fine roots per hig	84	84	66	
2311	Fine root (transport) cadmium (Cd) content per transport fine root dry mass	12	12	6	
2312	Fine root (transport) calcium (Ca) content per transport fine root dry mass	8	8	1	
2390	Fine root (transport) carbon (C) content not hydrolyzable in acid extractives per transport fine roo	18	18	13	
2529	Fine root (transport) carbon (C) content per ground area	19	19	3	
2528	Fine root (transport) carbon (C) content per soil dry mass	3	3	1	
2295	Fine root (transport) carbon (C) content per transport fine root dry mass	62	62	17	
2313	Fine root (transport) carbon/nitrogen (C/N) ratio	251	251	36	
2364	Fine root (transport) cellulose carbon (C) content per transport fine root carbon (C) content	2	2	1	
2314	Fine root (transport) chromium (Cr) content per transport fine root dry mass	12	12	6	
2373	Fine root (transport) Cl- ion content per transport fine root dry mass	2	2	1	
2349	Fine root (transport) conduit cell wall thickness	27	27	14	
2342	Fine root (transport) conduit density: number of conduits per stele cross-section area	9	9	5	
2345	Fine root (transport) conduit diameter	11	11	6	
2315	Fine root (transport) copper (Cu) content per transport fine root dry mass	12	12	6	
2331	Fine root (transport) cortex thickness	32	32	19	
2338	Fine root (transport) cross-sectional fraction of stele area to transport fine root area	9	9	4	
2543	Fine root (transport) debris decomposition rate constant	8	8	8	
3300	Fine root (transport) decomposition: fraction nitrogen (N) remaining	44	44	9	
2421	Fine root (transport) decomposition: fraction of transport fine root dry mass not decomposed to orig	44	44	9	
2294	Fine root (transport) diameter	845	815	161	
2519	Fine root (transport) dry mass fraction in respective root order	99	99	29	
2307	Fine root (transport) dry mass per ground area	234	234	29	
2467	Fine root (transport) dry mass turnover rate	25	25	5	
2446	Fine root (transport) growth: transport fine root dry mass production per ground area per duration o	39	39	4	
2444	Fine root (transport) growth: transport fine root dry mass production per ground area per year	13	13	5	
2455	Fine root (transport) growth: transport fine root length production per minirhizotron surface area p	15	15	1	
2317	Fine root (transport) lead (Pb) content per transport fine root dry mass	12	12	6	
2536	Fine root (transport) length density (RLD): transport fine root length per ground area	42	42	4	
2521	Fine root (transport) length fraction in respective root order	36	36	8	
2537	Fine root (transport) length per soil volume	8	8	1	
2318	Fine root (transport) length per transport fine root dry mass (specific transport fine root length, 	522	522	126	
2486	Fine root (transport) length: distance from transport fine root base to tip	285	285	109	
2385	Fine root (transport) lignin carbon (C) content per transport fine root carbon (C) content	2	2	1	
2327	Fine root (transport) manganese (Mn) content per transport fine root dry mass	8	8	1	
2436	Fine root (transport) mortality: transport fine root length mortality per ground area and year	15	15	1	
2320	Fine root (transport) nickel (Ni) content per transport fine root dry mass	12	12	6	
2291	Fine root (transport) nitrogen (N) content per transport fine root dry mass	450	450	101	
2292	Fine root (transport) nitrogen (N) isotope signature (delta 15N)	2	2	1	
2532	Fine root (transport) nitrogen (N) per soil dry mass	3	3	1	
3280	Fine root (transport) number of phellem layers	129	129	1	
2321	Fine root (transport) persistence (lifespan, longevity)	44	44	14	
3297	Fine root (transport) phenols chlorogenic acid molarity per transport fine root mass	122	122	1	
2305	Fine root (transport) phosphorus (P) content per transport fine root dry mass	42	42	3	
2322	Fine root (transport) potassium (K) content per transport fine root dry mass	8	8	1	
2303	Fine root (transport) respiration rate per transport fine root dry mass	137	137	18	
3302	Fine root (transport) root hair density	5	5	1	
3303	Fine root (transport) root hair diameter	5	5	1	
2323	Fine root (transport) sodium (Na) content per transport fine root dry mass	8	8	1	
2374	Fine root (transport) sodium (Na+) ion content per transport fine root dry mass	2	2	1	
3298	Fine root (transport) starch content per dry mass	136	136	1	
2337	Fine root (transport) stele diameter	90	90	37	
2336	Fine root (transport) stele fraction: stele diameter divided by transport fine root diameter	63	63	30	
2522	Fine root (transport) surface area fraction in respective root order	9	9	7	
2325	Fine root (transport) surface area per transport fine root dry mass (specific transport fine root ar	37	37	14	
2293	Fine root (transport) tissue density (transport fine root dry mass per transport fine root volume)	378	378	107	
2304	Fine root (transport) total non-structural carbon (TNC) content per transport fine root dry mass	238	238	7	
2300	Fine root (transport) vessel diameter	4	4	1	
2403	Fine root (transport) water soluble sugar content per transport fine root dry mass	8	8	1	
2343	Fine root (transport) xylem vessel density in stele: number of xylem vessels per square millimeter o	2	2	1	
2326	Fine root (transport) zinc (Zn) content per transport fine root dry mass	12	12	6	
1864	Fine root acid hydrolyzable extractives per fine root dry mass	35	35	26	
1975	Fine root acid phosphatase activity per fine root dry mass	351	351	38	
1904	Fine root alkyl carbon (C) content per fine root carbon (C) content	4	4	4	
1797	Fine root aluminium (Al) content per fine root dry mass	132	114	15	
3220	Fine root aluminium (Al) content per fine root fresh mass	6	6	1	
1986	Fine root ammonium (NH4+) uptake per fine root dry mass per hour	4	4	1	
1987	Fine root ammonium (NH4+) uptake per fine root fresh mass per hour	6	6	3	
1953	Fine root annual loss of nitrogen (N) through fine root mortality as a fraction of plant N storage	3	3	1	
1865	Fine root arabinans content per fine root dry mass	7	7	7	
2012	Fine root area index (RAI): fine root surface area per ground area	225	225	4	
1906	Fine root aromatic carbon (C) content per fine root carbon (C) content	4	4	4	
1798	Fine root arsenic (As) content per fine root dry mass	22	22	7	
1863	Fine root ash carbon (C) content per fine root carbon (C) content	11	11	11	
1866	Fine root ash content per fine root dry mass	25	25	25	
1860	Fine root boron (B) content per fine root dry mass	12	12	3	
1841	Fine root branching intensity 1 (branching ratio): number of fine roots per higher order root	27	27	2	
3213	Fine root branching intensity 3: number of root tips per total fine root length	561	561	84	
1799	Fine root cadmium (Cd) content per fine root dry mass	9	9	7	
1800	Fine root calcium (Ca) content per fine root dry mass	769	356	80	
3215	Fine root calcium (Ca) content per fine root fresh mass	6	6	1	
1878	Fine root carbon (C) content not hydrolyzable in acid extractives per fine root carbon (C) content	34	34	19	
471	Fine root carbon (C) content per fine root dry mass	1646	901	423	
2004	Fine root carbon (C) content to leaf carbon (C) content ratio	70	54	23	
2017	Fine root carbon content per ground area	119	119	9	
2016	Fine root carbon content per soil dry mass	6	6	2	
167	Fine root carbon/nitrogen (C/N) ratio	1238	887	292	
1855	Fine root cellulose and hemicellulose content per fine root dry mass	3	3	3	
423	Fine root cellulose carbon (C) content per fine root carbon (C) content	12		12	
1785	Fine root cellulose content per fine root dry mass	148	148	103	
1802	Fine root chromium (Cr) content per fine root dry mass	14	14	7	
1971	Fine root color	43	43	5	
3222	Fine root condensed tannins	15	15	15	
1833	Fine root conduit diameter	12	12	6	
1856	Fine root construction cost per fine root dry mass	28	28	28	
1803	Fine root copper (Cu) content per fine root dry mass	443	57	17	
1819	Fine root cortex thickness	13	13	7	
1818	Fine root cross-sectional fraction of aerenchyma	13	13	13	
1826	Fine root cross-sectional fraction of stele area to fine root area	13	13	13	
2031	Fine root debris decomposition rate constant 	401	399	132	
3225	Fine root decomposition: fraction carbon (C) remaining	18	18	2	
3226	Fine root decomposition: fraction nitrogen (N) remaining	555	555	25	
2015	Fine root density on screen: number of fine roots per area of in-growth screen	86	86	1	
896	Fine root diameter	5652	5226	877	
1848	Fine root dichotomous branching index (DBI)	4	4	1	
2006	Fine root dry mass fraction in respective root diameter class	255	255	88	
2011	Fine root dry mass fraction that is taproot (taproot dry mass per fine root dry mass)	13	13	13	
1877	Fine root dry mass not hydrolyzable in acid extractives per fine root dry mass	25	25	16	
695	Fine root dry mass per fine root fresh mass (fine root dry matter content; RDMC)	1099	1096	243	
1795	Fine root dry mass per ground area	6561	6336	193	
2013	Fine root dry mass per soil volume	667	653	97	
1876	Fine root dry mass soluble in neutral solution per fine root dry mass	2	2	2	
1879	Fine root dry mass soluble in nonpolar extractives per fine root dry mass	36	36	29	
1882	Fine root dry mass soluble in polar extractives per fine root dry mass	10	10	10	
2003	Fine root dry mass to leaf dry mass ratio	1715	1715	105	
1954	Fine root dry mass turnover	21	21	1	
1957	Fine root dry mass turnover during dry season	8	8	1	
1956	Fine root dry mass turnover during wet season	8	8	1	
1955	Fine root dry mass turnover rate	573	558	99	
1869	Fine root ethanol soluble compounds per fine root dry mass	3	3	3	
1820	Fine root exodermal wall thickness	9	4	6	
1821	Fine root exodermis passage cell frequency per length of fine root circumference	9	4	6	
1849	Fine root external path length (Pe; sum of links in all paths from each external link to the base li	1005	1005	33	
1977	Fine root exudation: carbon (C) exudation as fraction of fine root dry mass	4	4	1	
1847	Fine root forks per fine root dry mass (specific fine root forks density, SRFD)	12	12	2	
1845	Fine root fractal dimension	1112	1112	32	
1827	Fine root fraction of metaxylem cell wall thickness to vessel diameter	3	3	1	
1828	Fine root fraction of protoxylem cell wall thickness to vessel diameter	3	3	1	
1871	Fine root galactans content per fine root dry mass	7	7	7	
1946	Fine root growth: amplitude of monthly net fine root production	3	3	1	
1927	Fine root growth: cumulative new fine root length growth per ground area per exposition period	46	46	2	
1931	Fine root growth: fine root carbon (C) production per ground area and time	139	139	3	
1935	Fine root growth: fine root dry mass production per ground area per day	20	20	1	
1934	Fine root growth: fine root dry mass production per ground area per duration of exposition	174	174	6	
1933	Fine root growth: fine root dry mass production per ground area per month	87	87	2	
1932	Fine root growth: fine root dry mass production per ground area per year	893	870	91	
1936	Fine root growth: fine root dry mass production per soil volume and time	108	108	10	
1938	Fine root growth: fine root elongation	107	107	1	
1940	Fine root growth: fine root length production per ground area per exposition period	45	45	2	
1941	Fine root growth: fine root length production per ground area per year	236	228	12	
1939	Fine root growth: fine root length production per minirhizotron frame per exposition period	32	32	1	
1942	Fine root growth: fine root length production per minirhizotron surface area per day	272	272	6	
1943	Fine root growth: fine root length production per minirhizotron surface area per year	13	13	2	
1950	Fine root growth: fine root surface area produced per ground area per year	31	31	7	
1937	Fine root growth: fraction of fine root number that has elongated since last measurement to total nu	108	108	1	
1928	Fine root growth: new fine root length growth per ground area per year	44	44	2	
1945	Fine root growth: number of fine roots born per area of in-growth screen per time	16	16	1	
1947	Fine root growth: probability that monthly net fine root production is greater than 0	12	12	1	
1929	Fine root growth: relative fine root production: ratio fine root production rate at given time to ma	126	126	6	
1854	Fine root hemicellulose content per fine root dry mass	135	135	95	
1844	Fine root intact branch length	4	4	1	
1804	Fine root iron (Fe) content per fine root dry mass	459	66	16	
422	Fine root labile carbon (C) compound content per fine root carbon (C) content	12		12	
1805	Fine root lead (Pb) content per fine root dry mass	22	22	10	
2008	Fine root length fraction in respective root diameter class	142	142	44	
2009	Fine root length fraction in respective root order	50	50	9	
1822	Fine root length fraction that contains fungal/mycorrhizal arbuscules	4	4	1	
1823	Fine root length fraction that contains fungal/mycorrhizal vesicles	4	4	1	
614	Fine root length per fine root dry mass (specific fine root length, SRL)	6058	5165	1083	
2024	Fine root length per ground area	3534	3342	40	
2022	Fine root length per minirhizotron frame	32	32	1	
2027	Fine root length per minirhizotron screen area	276	276	26	
2025	Fine root length per soil volume	540	540	51	
1930	Fine root length relative growth rate	60	60	1	
1974	Fine root length: distance from fine root base to tip	72	72	7	
1914	Fine root lifespan: fraction of fine roots that live to the age in “fine root age”	190	190	5	
1915	Fine root lifespan: fraction of fine roots that survive over the course of a growing season	12	12	4	
1916	Fine root lifespan: fraction of fine roots that survive the exposition period	24	24	4	
424	Fine root lignin carbon (C) content per fine root carbon (C) content	47	35	47	
1784	Fine root lignin content per fine root dry mass	359	357	160	
1839	Fine root link branching angle: angle between a link and the extension of the link before it	1116	1116	33	
1846	Fine root link length (segments between two nodes or a node and a tip)	1152	1152	36	
1887	Fine root lipid content per fine root dry mass	6	6	6	
1807	Fine root magnesium (Mg) content per fine root dry mass	732	323	64	
3217	Fine root magnesium (Mg) content per fine root fresh mass	6	6	1	
1815	Fine root manganese (Mn) content per fine root dry mass	502	114	32	
3221	Fine root manganese (Mn) content per fine root fresh mass	6	6	1	
1875	Fine root mannans content per fine root dry mass	7	7	7	
1835	Fine root metaxylem cell wall thickness	3	3	1	
1832	Fine root metaxylem vessel diameter	3	3	1	
1970	Fine root microbial relations: phospholipid fatty acid 18.2omega6.9 degradation during soil incubati	15	15	3	
1968	Fine root microbial relations: ratio of fungal rRNA gene copy number to bacterial rRNA gene copy num	16	16	2	
1969	Fine root microbial relations: soil ergosterol content per soil dry mass or growth medium dry mass	7	7	4	
1908	Fine root monthly decomposition rate	6	6	1	
1920	Fine root mortality: fine root dry mass mortality per ground area and time	77	65	4	
1918	Fine root mortality: fine root dry mass mortality per soil volume and time	102	102	2	
1924	Fine root mortality: fine root length mortality per ground area and year	112	100	5	
1921	Fine root mortality: fine root length mortality per minirhizotron frame and time	28	28	1	
1922	Fine root mortality: fine root length mortality per minirhizotron surface per day	234	234	2	
1923	Fine root mortality: fine root length mortality per minirhizotron surface per year	18	18	2	
1925	Fine root mortality: fine root number mortality per in-growth screen area and time	16	16	1	
1926	Fine root mortality: fraction of fine root screen contacts lost during exposition	28	28	1	
2018	Fine root necromass (dead dry mass) per ground area for specified soil depth increment	993	879	25	
2030	Fine root necromass to biomass ratio	1235	1111	87	
1808	Fine root nickel (Ni) content per fine root dry mass	21	21	8	
475	Fine root nitrogen (N) content per fine root dry mass	2890	2078	569	
1857	Fine root nitrogen (N) content per fine root length	145	145	69	
468	Fine root nitrogen (N) content per ground area	221	200	5	
2020	Fine root nitrogen (N) content per soil dry mass	6	6	2	
1984	Fine root nitrogen (N) turnover per ground area per year	26	26	3	
3233	Fine root nitrogen (N) uptake of molar 15N-Glycine per shoot dry mass	5	5	5	
3234	Fine root nitrogen (N) uptake of molar 15NH4+ per shoot dry mass	5	5	5	
3235	Fine root nitrogen (N) uptake of molar 15NO3- per shoot dry mass	5	5	5	
3237	Fine root nitrogen (N) uptake of molar inorganic N uptake per fine root area	5	5	5	
3238	Fine root nitrogen (N) uptake of molar NH4+ uptake per fine root area	5	5	5	
3239	Fine root nitrogen (N) uptake of molar NO3- uptake per fine root area	5	5	5	
3240	Fine root nitrogen (N) uptake of molar organic N uptake per fine root area	5	5	5	
3236	Fine root nitrogen (N) uptake of molar total 15N per shoot dry mass	5	5	5	
1985	Fine root nitrogen (N) uptake per ground area during exposition period	20	20	1	
1988	Fine root nitrogen (N) uptake per ground area per year	98	98	2	
1994	Fine root nitrogen (N) uptake preference: ammonium (NH4+), nitrate (NO3-), organic nitrogen (N)	11	11	8	
3011	Fine root nitrogen/phosphorus (N/P) ratio	18	18	5	
3214	Fine root number of forks per length.	24		1	
1840	Fine root number of tips per branch	4	4	1	
1829	Fine root number of tracheary elements per crossection	4	4	1	
1905	Fine root o-alkyl carbon (C) content per fine root carbon (C) content	4	4	4	
1838	Fine root passage cell number in exodermis per fine root circumference	9	4	6	
1809	Fine root persistence (lifespan, longevity)	562	562	31	
699	Fine root pH	35	35	35	
1817	Fine root phenols content per fine root dry mass	15	15	15	
1978	Fine root phosphatase activity per fine root dry mass	14	14	1	
1979	Fine root phosphatase activity per fine root length	13	13	13	
1990	Fine root phosphate (H2PO4) uptake rate	4	4	1	
698	Fine root phosphorus (P) content per fine root dry mass	1453	717	206	
3218	Fine root phosphorus (P) content per fine root fresh mass	6	6	1	
1859	Fine root phosphorus (P) content per fine root length	13	13	13	
1991	Fine root phosphorus (P) uptake rate per fine root dry mass	12	12	2	
1980	Fine root phosphorus (P) uptake relative to maximum fine root phosphorus (P) uptake	22	22	2	
1883	Fine root polyphenol content per fine root dry mass	12	12	10	
1786	Fine root porosity (volume of root air space)	5	5	1	
1810	Fine root potassium (K) content per fine root dry mass	810	418	75	
3216	Fine root potassium (K) content per fine root fresh mass	6	6	1	
1981	Fine root potassium (K) uptake in depth interval relative to total fine root potassium (K) uptake	15	15	3	
1836	Fine root protoxylem cell wall thickness	3	3	1	
1834	Fine root protoxylem vessel diameter	3	3	1	
1898	Fine root ratio of lignin to nitrogen (N)	54	54	47	
1900	Fine root ratio of polyphenol to nitrogen (N)	3	3	3	
1791	Fine root respiration rate per fine root dry mass	328	328	107	
1997	Fine root respiration rate per fine root length	7	7	7	
1884	Fine root rhamnans content per fine root dry mass	3	3	3	
3228	Fine root root hair density	5	5	1	
3229	Fine root root hair diameter	5	5	1	
1972	Fine root root hair incidence: fraction of fine root intersections that contain root hairs	62	62	1	
1777	Fine root rooting depth	823	823	78	
2803	Fine root rooting depth where most of the root activity of interest occurs	201	201	1	
2029	Fine root rooting depth: fraction of fine root dry mass contained in depth interval	326	326	21	
1996	Fine root rubidium (Rb) uptake rate per fine root dry mass per hour	19	19	3	
1995	Fine root rubidium (Rb) uptake rate per fine root fresh mass per hour	19	19	3	
1816	Fine root silicon (Si) content per fine root dry mass	8	8	4	
1811	Fine root sodium (Na) content per fine root dry mass	439	56	16	
2014	Fine root species abundance: fraction of total fine root dry mass composed of respective species	42	42	9	
1973	Fine root specific root hair cylinder volume: volume of root hairs per fine root dry mass	28	28	14	
3224	Fine root starch content per dry mass	21	21	2	
1825	Fine root stele diameter	21	21	8	
1824	Fine root stele fraction: stele diameter divided by fine root diameter	9	9	2	
1812	Fine root sulfur (S) content per fine root dry mass	456	77	20	
3219	Fine root sulfur (S) content per fine root fresh mass	6	6	1	
1813	Fine root surface area per fine root dry mass (specific fine root area)	1744	1741	223	
1850	Fine root tips per minirhizotron frame	36	36	1	
1781	Fine root tissue density (fine root dry mass per fine root volume)	3826	3490	699	
1851	Fine root topological index (TI): Slope of linear regression of external path length against number 	1116	1116	33	
1792	Fine root total non-structural carbon (TNC) content per fine root dry mass	35	35	6	
2028	Fine root volume per ground area	155	155	7	
1889	Fine root water or ethanol soluble compounds per fine root dry mass	29	29	18	
1890	Fine root water soluble compounds per fine root dry mass	137	137	94	
1891	Fine root water soluble sugar content per fine root dry mass	22	22	16	
2000	Fine root water uptake rate per fine root surface area	9	9	1	
1892	Fine root xylans content per fine root dry mass	3	3	3	
1814	Fine root zinc (Zn) content per fine root dry mass	68	68	16	
1778	Fine root/shoot ratio	352	352	77	
207	Flower color	20077		10507	
581	Flower conspicuous	2202		2183	
913	Flower corolla length	50	50	5	
2936	Flower corolla type	5618		5079	
3008	Flower hairy	145	145	97	
914	Flower heteromorphy	58		44	
209	Flower heterostyly	56		43	
204	Flower insemination autogamous or xenogamous	2777		2679	
210	Flower number of pollen per ovule	370		253	
2999	Flower number per plant	968	968	24	
2956	Flower onset of flowering (first flowering date, flowering beginning)	48	48	32	
2937	Flower petal number	6863		5314	
205	Flower pollinator and type of reward	9880		3506	
2991	Flower presence	102		1	
213	Flower sex	15675	435	13735	
212	Flower sex timing	2911		2375	
211	Flower sexual self-incompatibility mechanism	4211		2985	
915	Flower sexual syndrome (dichogamy, cleistogamy, dioecious, monoecious)	5418		1617	
2938	Flower stamen number	6050		5676	
2935	Flower symmetry type (flower shape)	6583	369	5733	
215	Flower UV light reflectance	2781		905	
597	Flowering requirement (requirement for fertility)	2226		2208	
2940	Fruit dehiscence type	5573		5257	
917	Fruit diameter	93	93	81	
918	Fruit length	212	165	194	
919	Fruit mass	93	93	81	
3048	Fruit palatability	72	72	36	
2939	Fruit pericarp type	5144		4823	
2941	Fruit surface type	4226		3654	
99	Fruit type	12835	269	9573	
605	Fruit/seed abundance	2001		1986	
585	Fruit/seed color	2073		2056	
586	Fruit/seed conspicuous	2185		2166	
920	Inflorescence diameter at base	546	546	22	
921	Inflorescence diameter at top	561	561	23	
2817	Inflorescence length (height)	640	640	29	
1257	Inflorescence nectar sugar concentration	520	520	21	
922	Inflorescence nectar volume	520	520	21	
923	Inflorescence percentage of flowers open	517	517	22	
924	Inflorescence position at the shoot axis	36		35	
2934	Inflorescence type	8578		5924	
2947	Inflorescence: number of flowers per inflorescence	135	135	5	
249	Leaf aluminium (Al) content per leaf dry mass	5629	3150	1681	
474	Leaf and fine root turnover	129		26	
3073	Leaf and leaf-structures fresh to dry shrinkage ratio (length, width, thickness, area)	3334	3334	20	
3074	Leaf and leaf-structures fresh to dry shrinkage ratio (mass)	1454	1454	20	
3	Leaf angle (inclination, orientation)	62081	61316	5663	
810	Leaf anthocyanin content per leaf area	48	48	46	
731	Leaf anthocyanin content per leaf dry mass	48	48	46	
546	Leaf antimony (Sb) content per leaf dry mass	1224	10	375	
3054	Leaf area (cotyledons)	65	65	11	
3114	Leaf area (in case of compound leaves undefined if leaf or leaflet, undefined if petiole is in- or e	24912	14829	5898	
3108	Leaf area (in case of compound leaves: leaf, petiole excluded)	26540	26228	2171	
3110	Leaf area (in case of compound leaves: leaf, petiole included)	50351	49771	3181	
3112	Leaf area (in case of compound leaves: leaf, undefined if petiole in- or excluded)	13161	12909	6625	
3109	Leaf area (in case of compound leaves: leaflet, petiole excluded)	28960	23236	4659	
3111	Leaf area (in case of compound leaves: leaflet, petiole included)	18586	14604	2583	
3113	Leaf area (in case of compound leaves: leaflet, undefined if petiole is in- or excluded)	46133	45719	11149	
490	Leaf area fraction in given age class	12	12	2	
926	Leaf area index (LAI) of a single plant	790	411	111	
174	Leaf area index (LAI) total per LAI projected 	166	155	15	
3056	Leaf area per dry mass (cotyledons, specific leaf area (SLA) of cotyledons)	65	65	11	
3086	Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA) petiole, rhachis and midrib excluded	645	645	403	
3115	Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded	64838	53275	7558	
3116	Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included	88490	79896	7068	
3117	Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or exclu	146315	127020	13101	
125	Leaf area per leaf fresh mass (specific leaf area (SLA or 1/LMA) based on leaf fresh mass)	13300	12770	743	
3037	Leaf area per leaf perimeter	225		51	
399	Leaf area per metamer dry mass	82	82	72	
410	Leaf area per plant	16418	14953	706	
109	Leaf area per plant dry mass (leaf area ratio; LAR)	4364	2756	359	
927	Leaf area total at given shoot height 	1766		25	
928	Leaf area-specific conductivity (leaf specific conductivity)	861	828	543	
929	Leaf aromatic	5377	5377	1034	
541	Leaf arsenic (As) content per leaf dry mass	590	98	422	
333	Leaf ash content per leaf dry mass	2249	2150	862	
251	Leaf barium (Ba) content per leaf dry mass	3057	1186	995	
250	Leaf boron (B) content per leaf dry mass	2688	2524	776	
542	Leaf bromine (Br) content per leaf dry mass	2153		639	
545	Leaf cadmium (Cd) content per leaf dry mass	508	98	312	
547	Leaf caesium (Cs) content per leaf dry mass	1719		650	
2995	Leaf calcium (Ca) content per leaf	683	683	2	
