taxon_name,entity_type,entity_context,location_code,trait,trait_value_raw,trait_value,value_type,unit,error_type,error_value,n,context,source_section,notes
Thysanotus sp. Coastal plain,species,"voucher N.H. Brittan 66/63; referred to in the paper as ""Thysanotus sp.""",,number_of_hand_crosses,24,,raw,{count},,,,pollen donor = Thysanotus tenellus,"Table 2, p.8","candidate trait, no existing AusTraits match; number of hand pollinations performed with heterospecific pollen"
Thysanotus sp. Coastal plain,species,"voucher N.H. Brittan 66/63; referred to in the paper as ""Thysanotus sp.""",,heterospecific_cross_fruit_seed_set,Small,small,mode,,,,,pollen donor = Thysanotus tenellus,"Table 2, p.8","candidate trait, no existing AusTraits match; qualitative fruit-and-seed-set outcome from Table 2 (""0"" = zero fruit and seed set)"
Thysanotus triandrus,species,,,number_of_hand_crosses,39,,raw,{count},,,,pollen donor = Thysanotus multiflorus,"Table 2, p.8","candidate trait, no existing AusTraits match; number of hand pollinations performed with heterospecific pollen"
Thysanotus triandrus,species,,,heterospecific_cross_fruit_seed_set,Small,small,mode,,,,,pollen donor = Thysanotus multiflorus,"Table 2, p.8","candidate trait, no existing AusTraits match; qualitative fruit-and-seed-set outcome from Table 2 (""0"" = zero fruit and seed set)"
Thysanotus multiflorus,species,,,number_of_hand_crosses,25,,raw,{count},,,,pollen donor = Thysanotus triandrus,"Table 2, p.8","candidate trait, no existing AusTraits match; number of hand pollinations performed with heterospecific pollen"
Thysanotus multiflorus,species,,,heterospecific_cross_fruit_seed_set,0,none,mode,,,,,pollen donor = Thysanotus triandrus,"Table 2, p.8","candidate trait, no existing AusTraits match; qualitative fruit-and-seed-set outcome from Table 2 (""0"" = zero fruit and seed set)"
Thysanotus triandrus,species,,,number_of_fruit_from_hybrid_pollination,1,,raw,{count},,,,"39 hybrid pollinations, T. multiflorus pollen donor, T. triandrus as female","Discussion, p.7","candidate trait, no existing AusTraits match; source: ""there was only one fruit with one seed produced from 39 hybrid pollinations with T. triandrus as the female"""
Thysanotus triandrus,species,,,seeds_per_fruit,1,,raw,{count},,,,"the single fruit from 39 hybrid pollinations, T. multiflorus pollen donor","Discussion, p.7","source: ""one fruit with one seed produced from 39 hybrid pollinations"""
Thysanotus triandrus,species,Amegilla chlorocyanea (blue-banded bee),,flower_visitor,Blue-banded bees (Amegilla chlorocyanea) visit T. triandrus and T. multiflorus indiscriminately,bee,mode,,,,,,"Results, p.6","source records bees moving between T. triandrus and T. multiflorus flowers 11 times during 500 min (2700 flower-hours) of observation; visits to T. multiflorus observed on 2 occasions, to T. triandrus on 1 occasion"
Thysanotus multiflorus,species,Amegilla chlorocyanea (blue-banded bee),,flower_visitor,Blue-banded bees (Amegilla chlorocyanea) visit T. triandrus and T. multiflorus indiscriminately,bee,mode,,,,,,"Results, p.6",
Thysanotus tenellus,species,"small black beetle, ~2 mm long, unidentified",,flower_visitor,small black beetles (c. 2 mm long),beetle,mode,,,,,,"Results, p.6","source: ""The only other occasional flower visitors were small black beetles (c. 2 mm long) that mostly did not contact the anther pores or stigmas and did not seem to be involved in pollination"" (stated for ""the other two species"", i.e. T. tenellus and Thysanotus sp.)"
Thysanotus sp. Coastal plain,species,"small black beetle, ~2 mm long, unidentified",,flower_visitor,small black beetles (c. 2 mm long),beetle,mode,,,,,,"Results, p.6",see T. tenellus row for full source quote
Thysanotus tenellus,species,,,flowering_period_start_2013,"first to flower (September, austral spring)",September,raw,,,,,,"Results, p.6","approximate start of the 2013 flowering season; source: ""Thysanotus tenellus and Thysanotus sp. are the first to flower"", flowering starting September. Exact daily flower counts are only given graphically in Fig. 2 (Step 1a, not extracted)"
Thysanotus sp. Coastal plain,species,"voucher N.H. Brittan 66/63; referred to in the paper as ""Thysanotus sp.""",,flowering_period_start_2013,"first to flower (September, austral spring)",September,raw,,,,,,"Results, p.6",see T. tenellus row for full source quote
Thysanotus multiflorus,species,,,flowering_period_start_2013,early October,October,raw,,,,,,"Results, p.6","source: ""followed by T. multiflorus in early October"""
Thysanotus triandrus,species,,,flowering_period_start_2013,early November,November,raw,,,,,,"Results, p.6","source: ""and T. triandrus in early November"""
