species,Measured_quantity,Value,Units,Source,Sample_type,Instrument,Age_class,Region,Measurement_Site,Longitude,Latitude,site
Casuarina glauca,Oven dried at 80C for 48hrs,0.629,g/cm3,own field data,core (only hardwood),"5.15-mm-diame- ter, triple-threaded increment borer (Haglof, Sweden)",adult,Australia,"-29.467, 152.981",152.981,-29.467,site_-29.467_152.981
Casuarina glauca,Oven dried at 80C for 48hrs,0.574,g/cm3,own field data,core (only hardwood),"5.15-mm-diame- ter, triple-threaded increment borer (Haglof, Sweden)",adult,Australia,"-29.467, 152.981",152.981,-29.467,site_-29.467_152.981
Duboisia myoporoides,Oven dried at 80C for 48hrs,0.365,g/cm3,own field data,core (only hardwood),"5.15-mm-diame- ter, triple-threaded increment borer (Haglof, Sweden)",adult,Australia,"-29.467, 152.981",152.981,-29.467,site_-29.467_152.981
Duboisia myoporoides,Oven dried at 80C for 48hrs,0.464,g/cm3,own field data,core (only hardwood),"5.15-mm-diame- ter, triple-threaded increment borer (Haglof, Sweden)",adult,Australia,"-29.467, 152.981",152.981,-29.467,site_-29.467_152.981
Melaleuca quinquenervia,Oven dried at 80C for 48hrs,0.815,g/cm3,own field data,core (only hardwood),"5.15-mm-diame- ter, triple-threaded increment borer (Haglof, Sweden)",adult,Australia,"-29.467, 152.981",152.981,-29.467,site_-29.467_152.981
Melaleuca quinquenervia,Oven dried at 80C for 48hrs,0.687,g/cm3,own field data,core (only hardwood),"5.15-mm-diame- ter, triple-threaded increment borer (Haglof, Sweden)",adult,Australia,"-29.467, 152.981",152.981,-29.467,site_-29.467_152.981
Eucalyptus radiata,Oven dried at 80C for 48hrs,0.576,g/cm3,own field data,core (only hardwood),"5.15-mm-diame- ter, triple-threaded increment borer (Haglof, Sweden)",adult,Australia,"-35.421, 148.731",148.731,-35.421,site_-35.421_148.731
Eucalyptus radiata,Oven dried at 80C for 48hrs,0.605,g/cm3,own field data,core (only hardwood),"5.15-mm-diame- ter, triple-threaded increment borer (Haglof, Sweden)",adult,Australia,"-35.421, 148.731",148.731,-35.421,site_-35.421_148.731
Eucalyptus vimnalis,Oven dried at 80C for 48hrs,0.61,g/cm3,own field data,core (only hardwood),"5.15-mm-diame- ter, triple-threaded increment borer (Haglof, Sweden)",adult,Australia,"-35.421, 148.731",148.731,-35.421,site_-35.421_148.731
Eucalyptus vimnalis,Oven dried at 80C for 48hrs,0.489,g/cm3,own field data,core (only hardwood),"5.15-mm-diame- ter, triple-threaded increment borer (Haglof, Sweden)",adult,Australia,"-35.421, 148.731",148.731,-35.421,site_-35.421_148.731
Acacia dealbata,Oven dried at 80C for 48hrs,0.47,g/cm3,own field data,core (only hardwood),"5.15-mm-diame- ter, triple-threaded increment borer (Haglof, Sweden)",adult,Australia,"-35.421, 148.731",148.731,-35.421,site_-35.421_148.731
Acacia dealbata,Oven dried at 80C for 48hrs,0.434,g/cm3,own field data,core (only hardwood),"5.15-mm-diame- ter, triple-threaded increment borer (Haglof, Sweden)",adult,Australia,"-35.421, 148.731",148.731,-35.421,site_-35.421_148.731
Glochidion ferdinandi,Oven dried at 80C for 48hrs,0.731,g/cm3,own field data,core (only hardwood),"5.15-mm-diame- ter, triple-threaded increment borer (Haglof, Sweden)",adult,Australia,"-33.246, 151.389",151.389,-33.246,site_-33.246_151.389
Glochidion ferdinandi,Oven dried at 80C for 48hrs,0.599,g/cm3,own field data,core (only hardwood),"5.15-mm-diame- ter, triple-threaded increment borer (Haglof, Sweden)",adult,Australia,"-33.246, 151.389",151.389,-33.246,site_-33.246_151.389
Commersonia fraseri,Oven dried at 80C for 48hrs,0.372,g/cm3,own field data,core (only hardwood),"5.15-mm-diame- ter, triple-threaded increment borer (Haglof, Sweden)",adult,Australia,"-33.246, 151.389",151.389,-33.246,site_-33.246_151.389
Acmena smithii,Oven dried at 80C for 48hrs,0.649,g/cm3,own field data,core (only hardwood),"5.15-mm-diame- ter, triple-threaded increment borer (Haglof, Sweden)",adult,Australia,"-33.246, 151.389",151.389,-33.246,site_-33.246_151.389
Acmena smithii,Oven dried at 80C for 48hrs,0.667,g/cm3,own field data,core (only hardwood),"5.15-mm-diame- ter, triple-threaded increment borer (Haglof, Sweden)",adult,Australia,"-33.246, 151.389",151.389,-33.246,site_-33.246_151.389
Eucalyptus tereticornis,Oven dried at 80C for 48hrs,0.691,g/cm3,own field data,core (only hardwood),"5.15-mm-diame- ter, triple-threaded increment borer (Haglof, Sweden)",adult,Australia,"-33.246, 151.389",151.389,-33.246,site_-33.246_151.389
Eucalyptus tereticornis,Oven dried at 80C for 48hrs,0.784,g/cm3,own field data,core (only hardwood),"5.15-mm-diame- ter, triple-threaded increment borer (Haglof, Sweden)",adult,Australia,"-33.246, 151.389",151.389,-33.246,site_-33.246_151.389
Eucalyptus resinifera,Oven dried at 80C for 48hrs,0.588,g/cm3,own field data,core (only hardwood),"5.15-mm-diame- ter, triple-threaded increment borer (Haglof, Sweden)",adult,Australia,"-33.246, 151.389",151.389,-33.246,site_-33.246_151.389
Eucalyptus resinifera,Oven dried at 80C for 48hrs,0.612,g/cm3,own field data,core (only hardwood),"5.15-mm-diame- ter, triple-threaded increment borer (Haglof, Sweden)",adult,Australia,"-33.246, 151.389",151.389,-33.246,site_-33.246_151.389
