taxon_name,genus,family,life_history_scored,scoring,source,citation,notes,citation2,ABRS_2022,ATRP_2020,NHNSW_2022,NTH_2022,RBGV_2022,SAH_2022,WAH_2022_1,WAH_2022_2
Cyperus isabellinus,Cyperus,Cyperaceae,annual short_lived_perennial,species description,floras-scraped,,,,,,annual short_lived_perennial,,,,,
Cyperus ixiocarpus,Cyperus,Cyperaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Cyperus javanicus,Cyperus,Cyperaceae,perennial,species description,floras-scraped,,,,,perennial,,perennial,,,,perennial
Cyperus kyllingia,Cyperus,Cyperaceae,perennial,species description,website,https://www.cabidigitallibrary.org/doi/10.1079/cabicompendium.115089,,,,,,,,,,
Cyperus laevigatus,Cyperus,Cyperaceae,perennial,species description,floras-scraped,,,,,,perennial,,,,,perennial
Cyperus laevis,Cyperus,Cyperaceae,perennial,species description,floras-scraped,,,,,,perennial,,,,,
Cyperus latzii,Cyperus,Cyperaceae,annual perennial,species description,taxonomic literature,"Wilson 1990, Telopea 4(3): 361-496",,,,,,,,,,annual perennial
Cyperus laxus,Cyperus,Cyperaceae,perennial,species description,website,tropical.theferns.info; ATRP,"POWO, Wikipedia referring to a South American species",,,,,,,,,
Cyperus leiocaulon,Cyperus,Cyperaceae,perennial,species description,floras-scraped,,,,,,perennial,,,,,
Cyperus leptocarpus,Cyperus,Cyperaceae,annual,species description,floras-scraped,,,,,,annual,,annual,annual,,annual
Cyperus lhotskyanus,Cyperus,Cyperaceae,perennial,species description,floras-scraped,,,,,,perennial,,perennial,perennial,,
Cyperus lucidus,Cyperus,Cyperaceae,perennial,species description,floras-scraped,,,,,,perennial,,perennial,perennial,,
Cyperus macrostachyos,Cyperus,Cyperaceae,annual,species description,floras-scraped,,,,,,,annual,,,,perennial
Cyperus malaccensis,Cyperus,Cyperaceae,perennial,species description,floras-scraped,,,,,,,perennial,,,,
Cyperus melanospermus,Cyperus,Cyperaceae,perennial,species description,website,POWO,,,,,,,,,,
Cyperus metzii,Cyperus,Cyperaceae,annual,species description,website,POWO,,,,,,,,,,
Cyperus microcephalus,Cyperus,Cyperaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Cyperus microcephalus subsp. chersophilus,Cyperus,Cyperaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Cyperus microcephalus subsp. microcephalus,Cyperus,Cyperaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Cyperus microcephalus subsp. saxicola,Cyperus,Cyperaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Cyperus mirus,Cyperus,Cyperaceae,perennial,species description,floras-scraped,,,,,perennial,perennial,,,,,
Cyperus multispiceus,Cyperus,Cyperaceae,perennial,species description,taxonomic literature,"Booth 2009, Austrobaileya 8(1): 35-46",,,,perennial,,,,,,
Cyperus nervulosus,Cyperus,Cyperaceae,annual,species description,floras-scraped,,,,,,,,annual,,,annual
Cyperus nutans,Cyperus,Cyperaceae,perennial,species description,floras-scraped,,,,,,perennial,,,,,perennial
Cyperus nutans subsp. eleusinoides,Cyperus,Cyperaceae,perennial,species description,floras-scraped,,,,,,perennial,,,,,perennial
Cyperus odoratus,Cyperus,Cyperaceae,annual perennial,species description,floras-scraped,,,,,,annual perennial,,,,,
Cyperus ohwii,Cyperus,Cyperaceae,perennial,species description,floras,Flora of Southeast Qld,,,,,,,,,,
Cyperus orgadophilus,Cyperus,Cyperaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Cyperus oxycarpus,Cyperus,Cyperaceae,perennial,species description,floras-scraped,,,,,,,perennial,,,,perennial
Cyperus paniceus,Cyperus,Cyperaceae,perennial,species description,floras-scraped,,,,,perennial,,,,,,
Cyperus papyrus,Cyperus,Cyperaceae,perennial,species description,floras-scraped,,,,,,perennial,,,,,perennial
Cyperus pedunculatus,Cyperus,Cyperaceae,perennial,species description,taxonomic literature,"Booth 2009, Austrobaileya 8(1): 35-46",,,,,,,,,,
Cyperus pedunculosus,Cyperus,Cyperaceae,perennial,species description,floras-scraped,,,,,perennial,,,,,,
Cyperus perangustus,Cyperus,Cyperaceae,perennial,species description,floras,Flora of Southeast Qld,,,,,,,,,,
Cyperus pilosus,Cyperus,Cyperaceae,annual short_lived_perennial,species description,floras-scraped,,,,,annual short_lived_perennial,perennial,,,,,
Cyperus platystylis,Cyperus,Cyperaceae,perennial (annual),species description,floras,,,,,,perennial,annual,,,,
Cyperus polystachyos,Cyperus,Cyperaceae,annual perennial,species description,floras-scraped,,,,,perennial,annual perennial,annual perennial,annual perennial,,perennial,annual perennial
Cyperus portae-tartari,Cyperus,Cyperaceae,perennial (annual),species description,floras,"Wilson 1980, Telopea 1 (6): 457-467",,,,,,,,,,annual perennial
Cyperus procerus,Cyperus,Cyperaceae,perennial (annual),species description,floras,,,,,,perennial,annual,,,,
Cyperus prolifer,Cyperus,Cyperaceae,perennial,species description,floras-scraped,,,,,,perennial,,,,,
Cyperus pulchellus,Cyperus,Cyperaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Cyperus pumilus,Cyperus,Cyperaceae,annual,species description,floras-online,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=242357705 ; POWO,,,,,,,,,,
Cyperus pygmaeus,Cyperus,Cyperaceae,annual,species description,floras-scraped,,,,,,annual,,annual,annual,,annual
Cyperus ramosus,Cyperus,Cyperaceae,perennial,species description,website,POWO,,,,,,,,,,
Cyperus reflexus,Cyperus,Cyperaceae,perennial,species description,floras-scraped,,,,,,perennial,,perennial,,,
Cyperus rigens,Cyperus,Cyperaceae,perennial,species description,floras-scraped,,,,,,perennial,,,,,
Cyperus rigidellus,Cyperus,Cyperaceae,annual perennial,species description,floras-scraped,,,,,,annual perennial,,annual perennial,annual perennial,,annual short_lived_perennial
Cyperus rotundus,Cyperus,Cyperaceae,perennial,species description,floras-scraped,,,,,,perennial,,perennial,perennial,perennial,perennial
Cyperus rubicundus,Cyperus,Cyperaceae,annual perennial,species description,floras-online; website,POWO; https://sites.google.com/site/efloraofindia/species/a---l/cl/cyperaceae/cyperus/cyperus-rubicundus,,,,,,,,,,
Cyperus rupicola,Cyperus,Cyperaceae,perennial,species description,floras-scraped,,,,,,perennial,,,,,
Cyperus sanguinolentus,Cyperus,Cyperaceae,annual perennial,species description,floras-scraped,,,,,,annual perennial,,annual perennial,annual,,
Cyperus scaber,Cyperus,Cyperaceae,perennial,species description,floras-scraped,,,,,,perennial,,,,,
Cyperus scariosus,Cyperus,Cyperaceae,perennial,species description,floras-scraped,,,,,,,perennial,,,,perennial
Cyperus sculptus,Cyperus,Cyperaceae,perennial,species description,floras-scraped,,,,,,perennial,,,,,
Cyperus secubans,Cyperus,Cyperaceae,perennial,species description,floras-scraped,,,,,,perennial,,,,,
Cyperus semifertilis,Cyperus,Cyperaceae,perennial,species description,floras-scraped,,,,,,perennial,,,,,
Cyperus serotinus,Cyperus,Cyperaceae,annual,species description,floras-scraped,,,,,,,annual,,,,
Cyperus sesquiflorus,Cyperus,Cyperaceae,annual perennial,species description,floras-scraped,,,,,,annual perennial,,,,,
Cyperus sexflorus,Cyperus,Cyperaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Cyperus sharpei,Cyperus,Cyperaceae,perennial,species description,taxonomic literature,"Booth 2009, Austrobaileya 8(1): 35-46",,,,,,,,,,
Cyperus sp. Coleman River (J.R.Clarkson 3455),Cyperus,Cyperaceae,,(unknown-phrase name),undescribed species,,,,,,,,,,,
Cyperus sp. Edith River (M.Lazarides 124),Cyperus,Cyperaceae,,(unknown-phrase name),undescribed species,,,,,,,,,,,
Cyperus sp. Eungella NP (P.R.Sharpe+ 5052),Cyperus,Cyperaceae,,(unknown-phrase name),undescribed species,,,,,,,,,,,
Cyperus sp. Katherine Gorge NP (C.Dunlop 4505),Cyperus,Cyperaceae,,(unknown-phrase name),undescribed species,,,,,,,,,,,
Cyperus sp. Mission Beach (N.Byrnes MB14),Cyperus,Cyperaceae,,(unknown-phrase name),undescribed species,,,,,,,,,,,
Cyperus sp. Red base (C.R.Michell 3073),Cyperus,Cyperaceae,,(unknown-phrase name),undescribed species,,,,,,,,,,,
Cyperus sphacelatus,Cyperus,Cyperaceae,perennial,species description,floras-scraped,,,,,,,perennial,,,,
Cyperus sphaeroideus,Cyperus,Cyperaceae,perennial,species description,floras-scraped,,,,,,perennial,,perennial,,,
Cyperus sporobolus,Cyperus,Cyperaceae,perennial,species description,website,POWO,,,,,,,,,,
Cyperus squarrosus,Cyperus,Cyperaceae,annual,species description,floras-scraped,,,,,,annual,,annual,annual,,annual
Cyperus stolonifer,Cyperus,Cyperaceae,perennial,species description,website,tropical.theferns.info; POWO,,,,,,,,,,
Cyperus stradbrokensis,Cyperus,Cyperaceae,perennial,species description,floras-scraped,,,,,,perennial,,,,,
Cyperus subulatus,Cyperus,Cyperaceae,perennial,species description,floras-scraped,,,,,,perennial,,perennial,,,
Cyperus sulcinux,Cyperus,Cyperaceae,annual,species description,floras-scraped,,,,,annual,,,,,,annual
Cyperus surinamensis,Cyperus,Cyperaceae,annual short_lived_perennial,species description,floras-online,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=242357722,,,,,,,,,,
Cyperus tenuiculmis,Cyperus,Cyperaceae,perennial,species description,floras,Flora of Southeast Qld,,,,,,,,,,
Cyperus tenuiflorus,Cyperus,Cyperaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Cyperus tenuispica,Cyperus,Cyperaceae,annual,species description,floras-scraped,,,,,,,annual,,,,annual
Cyperus tetracarpus,Cyperus,Cyperaceae,perennial,species description,floras,Flora of Southeast Qld,,,,,,,,,,
Cyperus tetraphyllus,Cyperus,Cyperaceae,perennial,species description,floras-scraped,,,,,perennial,perennial,,,,,
Cyperus triceps,Cyperus,Cyperaceae,perennial,species description,floras-scraped,,,,,perennial,,,,,,
Cyperus trinervis,Cyperus,Cyperaceae,perennial,species description,floras-scraped,,,,,perennial,perennial,,,,,
Cyperus tuberosus,Cyperus,Cyperaceae,perennial,species description,floras,Flora of Southeast Qld,,,,,,,,,,
Cyperus unioloides,Cyperus,Cyperaceae,perennial,species description,floras-scraped,,,,,,perennial,perennial,,,,
Cyperus vaginatus,Cyperus,Cyperaceae,perennial,species description,floras-scraped,,,,,,perennial,,perennial,perennial,,perennial
Cyperus victoriensis,Cyperus,Cyperaceae,perennial,species description,floras-scraped,,,,,,perennial,,perennial,perennial,,perennial
Cyperus viscidulus,Cyperus,Cyperaceae,perennial,species description,floras-scraped,,,,,,,perennial,,,,perennial
Cyperus vorsteri,Cyperus,Cyperaceae,perennial,species description,floras-scraped,,,,,,perennial,,,,,
Cyperus zollingeri,Cyperus,Cyperaceae,annual,species description,floras-scraped,,,,,annual,,,,,,annual
Diplacrum caricinum,Diplacrum,Cyperaceae,annual,species description,floras-online,http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=200026721,,,,,,,,,,
Eleocharis acuta,Eleocharis,Cyperaceae,perennial,species description,floras-scraped,,,,,,perennial,,perennial,,,perennial
Eleocharis acutangula,Eleocharis,Cyperaceae,perennial,species description,floras-scraped,,,,,,,perennial,,,,
Eleocharis acutangula subsp. acutangula,Eleocharis,Cyperaceae,perennial,scored from species (infraspecific taxon),floras-scraped,,,,,,,,,,,
Eleocharis atricha,Eleocharis,Cyperaceae,perennial,species description,floras-scraped,,,,,,perennial,,perennial,,,
Eleocharis atropurpurea,Eleocharis,Cyperaceae,annual,species description,floras-scraped,,,,,,,annual,,,,annual
Eleocharis blakeana,Eleocharis,Cyperaceae,perennial,species description,floras-scraped,,,,,,perennial,,,,,
Eleocharis brassii,Eleocharis,Cyperaceae,perennial,species description,floras-scraped,,,,,,,perennial,,,,perennial
Eleocharis caespitosissima,Eleocharis,Cyperaceae,annual,species description,floras-scraped,,,,,,,annual,,,,annual
Eleocharis cylindrostachys,Eleocharis,Cyperaceae,perennial,species description,floras-scraped,,,,,,perennial,,,,,
Eleocharis dietrichiana,Eleocharis,Cyperaceae,perennial,species description,floras-scraped,,,,,,perennial,,,,,
Eleocharis dulcis,Eleocharis,Cyperaceae,perennial,species description,floras-scraped,,,,,,perennial,annual perennial,,,,perennial
Eleocharis equisetina,Eleocharis,Cyperaceae,perennial,species description,floras-scraped,,,,,,perennial,,,,,
Eleocharis geniculata,Eleocharis,Cyperaceae,annual (perennial),species description,floras-scraped,Flora of Southeast Qld; PlantNet; NT,,,,,annual,annual perennial,,,,annual
Eleocharis gracilis,Eleocharis,Cyperaceae,perennial,species description,floras-scraped,,,,,,perennial,,perennial,,,
Eleocharis jacobsiana,Eleocharis,Cyperaceae,annual perennial,species description,taxonomic literature,"Wilson 2011, Telopea 13(1–2): 295–312",,,,,,,,,,
Eleocharis keigheryi,Eleocharis,Cyperaceae,perennial,species description,taxonomic literature,"Wilson 1997, Nuytsia 11(2): 269-282",,,,,,,,,,perennial
Eleocharis macbarronii,Eleocharis,Cyperaceae,perennial,species description,floras-scraped,,,,,,perennial,,perennial,,,
Eleocharis minuta,Eleocharis,Cyperaceae,perennial,species description,floras-scraped,,,,,,perennial,,perennial,,,
Eleocharis nuda,Eleocharis,Cyperaceae,annual perennial,species description,floras-scraped,,,,,,,annual perennial,,,,
Eleocharis obicis,Eleocharis,Cyperaceae,perennial,species description,floras-scraped,,,,,,perennial,,perennial,,,
Eleocharis ochrostachys,Eleocharis,Cyperaceae,perennial,species description,floras-scraped,,,,,perennial,,perennial,,,,perennial
Eleocharis pachycarpa,Eleocharis,Cyperaceae,perennial,species description,floras-scraped,,,,,,perennial,,,,,
Eleocharis pallens,Eleocharis,Cyperaceae,perennial,species description,floras-scraped,,,,,,perennial,,perennial,,,perennial
Eleocharis papillosa,Eleocharis,Cyperaceae,annual,species description,floras-scraped,,,,,,,annual,,,,annual
Eleocharis parodii,Eleocharis,Cyperaceae,perennial,species description,floras-scraped,,,,,,perennial,,,,,
Eleocharis parvula,Eleocharis,Cyperaceae,perennial,species description,floras-scraped,,,,,,,,perennial,,,
Eleocharis philippinensis,Eleocharis,Cyperaceae,perennial,species description,floras-scraped,,,,,,perennial,,,,,perennial
Eleocharis plana,Eleocharis,Cyperaceae,perennial,species description,floras-scraped,,,,,,perennial,,perennial,,,
Eleocharis pusilla,Eleocharis,Cyperaceae,perennial,species description,floras,Flora of Southeast Qld; PlantNet; VicFlora,,,,,perennial,,perennial,,,annual
Eleocharis retroflexa,Eleocharis,Cyperaceae,annual,species description,floras-scraped,,,,,,,annual,,,,
Eleocharis rivalis,Eleocharis,Cyperaceae,annual perennial,species description,taxonomic literature,"Wilson 2011, Telopea 13(1–2): 295–312",,,,,,,,,,perennial
Eleocharis sanguinolenta,Eleocharis,Cyperaceae,perennial,species description,taxonomic literature,"Wilson 2011, Telopea 13(1–2): 295–312",,,,,,,,,,perennial
Eleocharis setifolia,Eleocharis,Cyperaceae,annual perennial,species description,taxonomic literature,"Simpson 1988, Kew Bulletin 43(3): 423-430",,,,,,,,,,
Eleocharis setifolia subsp. setifolia,Eleocharis,Cyperaceae,annual perennial,species description,taxonomic literature,"Simpson 1988, Kew Bulletin 43(3): 423-430",,,,,,,,,,
Eleocharis sphacelata,Eleocharis,Cyperaceae,perennial,species description,floras-scraped,,,,,,perennial,perennial,perennial,,,perennial
Eleocharis spiralis,Eleocharis,Cyperaceae,perennial,species description,floras-scraped,,,,,,,perennial,,,,perennial
Eleocharis sundaica,Eleocharis,Cyperaceae,annual perennial,species description,floras-scraped,,,,,,,annual perennial,,,,perennial
Eleocharis tetraquetra,Eleocharis,Cyperaceae,perennial,species description,floras-scraped,,,,,,perennial,,,,,
Eleocharis triquetra,Eleocharis,Cyperaceae,annual perennial,species description,taxonomic literature,"Wilson 2011, Telopea 13(1–2): 295–312",,,,,,,,,,
Evandra aristata,Evandra,Cyperaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Evandra pauciflora,Evandra,Cyperaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Exocarya scleroides,Exocarya,Cyperaceae,perennial,scored from genus,floras-scraped,,,,,,,,,,,
Ficinia nodosa,Ficinia,Cyperaceae,perennial,species description,floras-scraped,,,,,,perennial,,perennial,,,perennial
Fimbristylis acicularis,Fimbristylis,Cyperaceae,annual,species description,floras,,,,,,,annual,,,,perennial
Fimbristylis acuminata,Fimbristylis,Cyperaceae,annual perennial,species description,floras-scraped,,,,,,,annual perennial,,,,perennial
Fimbristylis adjuncta,Fimbristylis,Cyperaceae,annual,species description,taxonomic literature,"Blake 1947, Notes on Australian Cyperaceae, VII. Proceedings of the Royal Society of Queensland 58(2): 43 ",,,,,,,,,,
Fimbristylis aestivalis,Fimbristylis,Cyperaceae,annual,species description,floras-scraped,,,,,,annual,annual,annual,annual,,annual
Fimbristylis aestivalis var. aestivalis,Fimbristylis,Cyperaceae,annual,species description,floras,Flora of Southeast Qld,,,,,,,,,,
Fimbristylis aestivalis var. macrostachya,Fimbristylis,Cyperaceae,annual,species description,floras,Flora of Southeast Qld,,,,,,,,,,
Fimbristylis ammobia,Fimbristylis,Cyperaceae,annual,species description,floras-scraped,,,,,,,,,,,annual
Fimbristylis arnhemensis,Fimbristylis,Cyperaceae,annual,species description,taxonomic literature,"Latz 1990, Nuytsia 7(2): 161-182",,,,,,,,,,
Fimbristylis bisumbellata,Fimbristylis,Cyperaceae,annual,species description,floras-scraped,,,,,,annual,,,,,
Fimbristylis blakei,Fimbristylis,Cyperaceae,annual perennial,species description,floras-scraped,,,,,,,annual perennial,,,,perennial
Fimbristylis blepharolepis,Fimbristylis,Cyperaceae,annual,species description,floras-scraped,,,,,,,,,,,annual
Fimbristylis buchananensis,Fimbristylis,Cyperaceae,perennial,species description,taxonomic literature,"Booth & Sharp 2017, Austrobaileya 10(1): 47–58",,,,,,,,,,
Fimbristylis caespitosa,Fimbristylis,Cyperaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Fimbristylis caloptera,Fimbristylis,Cyperaceae,annual,species description,taxonomic literature,"Latz 1990, Nuytsia 7(2): 161-182",,,,,,,,,,
Fimbristylis cardiocarpa,Fimbristylis,Cyperaceae,annual,species description,floras-scraped,,,,,,,,,,,annual
Fimbristylis carolinii,Fimbristylis,Cyperaceae,annual,species description,taxonomic literature,"Latz 1990, Nuytsia 7(2): 161-182",,,,,,,,,,
Fimbristylis cephalophora,Fimbristylis,Cyperaceae,annual,species description,floras-scraped,,,,,,,,,,,annual
Fimbristylis cinnamometorum,Fimbristylis,Cyperaceae,perennial,species description,floras-scraped,,,,,,perennial,,,,,perennial
Fimbristylis clavata,Fimbristylis,Cyperaceae,annual,species description,floras-scraped,,,,,,,annual,,,,
Fimbristylis compacta,Fimbristylis,Cyperaceae,perennial,species description,website,POWO,,,,,,,,,,
Fimbristylis complanata,Fimbristylis,Cyperaceae,perennial,species description,floras-online,http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=200026773,,,,,,,,,,
Fimbristylis corynocarya,Fimbristylis,Cyperaceae,annual perennial,species description,floras-scraped,,,,,,,,,,,annual perennial
Fimbristylis costiglumis,Fimbristylis,Cyperaceae,perennial,species description,website,POWO,,,,,,,,,,
Fimbristylis cymosa,Fimbristylis,Cyperaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Fimbristylis densa,Fimbristylis,Cyperaceae,annual,species description,taxonomic literature,"Blake 1940, Monographic Studies in the Genus F imbrislJ)lis
(Cyperaceae).-Part 1, University of Queensland Papers, Department of Biology 13(1): 1-14",,,,,,,,,,
Fimbristylis denudata,Fimbristylis,Cyperaceae,perennial,species description,floras-scraped,,,,,,,perennial,,,,perennial
Fimbristylis depauperata,Fimbristylis,Cyperaceae,annual,species description,floras-scraped,,,,,annual,,annual,,,,annual
Fimbristylis dichotoma,Fimbristylis,Cyperaceae,perennial,species description,floras-scraped,,,,,perennial,perennial,perennial,perennial,perennial,,perennial
Fimbristylis dictyocolea,Fimbristylis,Cyperaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Fimbristylis dipsacea,Fimbristylis,Cyperaceae,annual,species description,floras-online,http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=200026782,,,,,,,,,,
Fimbristylis distincta,Fimbristylis,Cyperaceae,annual,species description,taxonomic literature,"Blake 1940, Monographic Studies in the Genus F imbrislJ)lis
(Cyperaceae).-Part 1, University of Queensland Papers, Department of Biology 13(1): 1-14",,,,,,,,,,
Fimbristylis dolera,Fimbristylis,Cyperaceae,annual,species description,taxonomic literature,"Blake 1940, Monographic Studies in the Genus F imbrislJ)lis
(Cyperaceae).-Part 1, University of Queensland Papers, Department of Biology 13(1): 1-14",,,,,,,,,,
Fimbristylis dunlopii,Fimbristylis,Cyperaceae,annual,species description,floras-scraped,,,,,,,annual,,,,
Fimbristylis elegans,Fimbristylis,Cyperaceae,annual,species description,floras-scraped,,,,,,,,,,,annual
Fimbristylis eragrostis,Fimbristylis,Cyperaceae,perennial,species description,floras-online,http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=200026783,,,,,,,,,,
Fimbristylis eremophila,Fimbristylis,Cyperaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Fimbristylis ferruginea,Fimbristylis,Cyperaceae,perennial,species description,floras-scraped,"Booth & Sharp 2017, Austrobaileya 10(1): 47–58",,,,,perennial,perennial,,,,perennial
Fimbristylis fimbristyloides,Fimbristylis,Cyperaceae,annual,species description,floras-online,http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=242422465,,,,,,,,,,
Fimbristylis furva,Fimbristylis,Cyperaceae,perennial,species description,floras,Flora of Southeast Qld,,,,,,,,,,
Fimbristylis fusca,Fimbristylis,Cyperaceae,perennial,species description,floras-online,http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=200026787,,,,,,,,,,
Fimbristylis helicophylla,Fimbristylis,Cyperaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Fimbristylis insignis,Fimbristylis,Cyperaceae,perennial,species description,floras-online,http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=250095656,,,,,,,,,,
Fimbristylis lanceolata,Fimbristylis,Cyperaceae,perennial,species description,floras-scraped,,,,,,,perennial,,,,perennial
Fimbristylis laxiglumis,Fimbristylis,Cyperaceae,annual,species description,floras-scraped,,,,,,,,,,,annual
Fimbristylis leucocolea,Fimbristylis,Cyperaceae,annual,species description,floras-scraped,,,,,,,,,,,annual
Fimbristylis littoralis,Fimbristylis,Cyperaceae,annual,species description,floras-scraped,,,,,,,annual,,,,annual
Fimbristylis macassarensis,Fimbristylis,Cyperaceae,annual,species description,floras-scraped,,,,,,,,,,,annual
Fimbristylis macrantha,Fimbristylis,Cyperaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Fimbristylis merrillii,Fimbristylis,Cyperaceae,annual,species description,taxonomic literature,"Kern 1955, Florae Malesianae Precursores X. Notes on Malaysian and some S.E.Asian Cyperaceae III. Blumea 8(1): 110-169",,,,,,,,,,
Fimbristylis micans,Fimbristylis,Cyperaceae,annual,species description,taxonomic literature,"Blake 1940, Monographic Studies in the Genus F imbrislJ)lis
(Cyperaceae).-Part 1, University of Queensland Papers, Department of Biology 13(1): 1-14",,,,,,,,,,
Fimbristylis microcarya,Fimbristylis,Cyperaceae,annual,species description,floras-scraped,Fimbristylis (Cyperaceae) Part 1,,,,annual,,annual,,,,annual
Fimbristylis modesta,Fimbristylis,Cyperaceae,perennial,species description,taxonomic literature,"Blake 1940, Monographic Studies in the Genus F imbrislJ)lis
(Cyperaceae).-Part 1, University of Queensland Papers, Department of Biology 13(1): 1-14",,,,,,,,,,
Fimbristylis neilsonii,Fimbristylis,Cyperaceae,perennial,species description,floras-scraped,,,,,,perennial,,,,,perennial
Fimbristylis nuda,Fimbristylis,Cyperaceae,annual,species description,floras-scraped,,,,,,,,,,,annual
Fimbristylis nutans,Fimbristylis,Cyperaceae,perennial,species description,floras-scraped,,,,,,perennial,,,,,perennial
Fimbristylis odontocarpa,Fimbristylis,Cyperaceae,perennial,species description,taxonomic literature,"Blake 1940, Monographic Studies in the Genus F imbrislJ)lis
(Cyperaceae).-Part 1, University of Queensland Papers, Department of Biology 13(1): 1-14",,,,,,,,,,
Fimbristylis oxystachya,Fimbristylis,Cyperaceae,annual,species description,floras-scraped,,,,,,,,,,,annual
Fimbristylis pachyptera,Fimbristylis,Cyperaceae,annual,species description,floras-scraped,,,,,,,,,,,annual
Fimbristylis pallida,Fimbristylis,Cyperaceae,perennial,species description,taxonomic literature,"Blake 1947, Notes on Australian Cyperaceae, VII. Proceedings of the Royal Society of Queensland 58(2): 43 ",scored from close relative F. nutans,,,,,,,,,
Fimbristylis pauciflora,Fimbristylis,Cyperaceae,annual perennial,species description,floras-scraped,,,,,perennial,,annual perennial,,,,annual perennial
Fimbristylis phaeoleuca,Fimbristylis,Cyperaceae,annual,species description,floras-scraped,,,,,,,annual,,,,annual
Fimbristylis pilifera,Fimbristylis,Cyperaceae,annual,species description,floras-scraped,,,,,,,,,,,annual
Fimbristylis polytrichoides,Fimbristylis,Cyperaceae,perennial,species description,floras-scraped,Flora of Southeast Qld; PlantNet; NT,,,,,perennial,perennial,,,,annual perennial
Fimbristylis pterigosperma,Fimbristylis,Cyperaceae,annual,species description,floras-scraped,FloraBase,,,,,,,,,,annual
Fimbristylis pubisquama,Fimbristylis,Cyperaceae,annual,species description,taxonomic literature,"Wangwasit 2012, Thai Forestry Bulletin 40: 141–143",,,,,,,,,,
Fimbristylis punctata,Fimbristylis,Cyperaceae,annual,species description,floras-scraped,,,,,,,,,,,annual
Fimbristylis quinquangularis,Fimbristylis,Cyperaceae,annual short_lived_perennial,species description,floras-online,http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=200026807,,,,,,,,,,
Fimbristylis rara,Fimbristylis,Cyperaceae,annual short_lived_perennial,species description,floras-scraped,,,,,,,annual short_lived_perennial,,,,annual biennial
Fimbristylis recta,Fimbristylis,Cyperaceae,perennial,species description,taxonomic literature,"Blake 1947, Notes on Australian Cyperaceae, VII. Proceedings of the Royal Society of Queensland 58(2): 43 ",,,,,,,,,,
Fimbristylis rupestris,Fimbristylis,Cyperaceae,annual,species description,floras-scraped,,,,,,,,,,,annual
Fimbristylis schoenoides,Fimbristylis,Cyperaceae,perennial,species description,floras-online,http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=200026812,,,,,,,,,,
Fimbristylis schultzii,Fimbristylis,Cyperaceae,annual,species description,floras-scraped,,,,,,,,,,,annual
Fimbristylis sericea,Fimbristylis,Cyperaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Fimbristylis sieberiana,Fimbristylis,Cyperaceae,annual (perennial),species description,floras-scraped,"Booth & Sharp 2017, Austrobaileya 10(1): 47–58","*annual in Sharp & Booth 2017, perennial in floras",,,,,,,perennial,,perennial
Fimbristylis signata,Fimbristylis,Cyperaceae,annual,species description,floras-scraped,,,,,,,,,,,annual
Fimbristylis simplex,Fimbristylis,Cyperaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Fimbristylis simulans,Fimbristylis,Cyperaceae,annual,species description,floras-scraped,,,,,,,,,,,annual
Fimbristylis solidifolia,Fimbristylis,Cyperaceae,annual,species description,floras-scraped,,,,,,,,,,,annual
Fimbristylis sp. A Kimberley Flora (A.S.George 13584),Fimbristylis,Cyperaceae,annual,species description,floras-scraped,,,,,,,,,,,annual
Fimbristylis sp. B Kimberley Flora (K.A.Menkhorst 767),Fimbristylis,Cyperaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Fimbristylis sp. Bachsten Creek (M.D.Barrett MDB 695),Fimbristylis,Cyperaceae,,(unknown-phrase name),undescribed species,,,,,,,,,,,
