Species,Site,Species_code,Sample,Area(cm2),fresh_weight(g),dry_weight(g),leaf_mass_per_area(g/cm2),ldmc(g/g),"Remark(area,weight)",Height(cm),Cover(%),Remark2,Date,Treatment,root_density,root_branching_intensity,specific_root_length,RDMC,root_air_porosity
Lepidosperma concavum,S8,CONCA,S3,3.682,0.1664,0.1017,0.027620858,0.611177885,NA,20,10,NA,1/10/2017,BD,,,,,
Entolasia stricta,S8,ENTO,S1,0.678,0.0175,0.0059,0.008702065,0.337142857,NA,23,2,NA,1/10/2017,BD,,,,,
Entolasia stricta,S8,ENTO,S2,1.012,0.0256,0.0083,0.008201581,0.32421875,NA,17,2,NA,1/10/2017,BD,,,,,
Entolasia stricta,S8,ENTO,S3,0.373,0.0102,0.0046,0.01233244,0.450980392,NA,10,2,NA,1/10/2017,BD,,,,,
Hypolaena fastigiata,S8,HYPO,S1,4.181,0.0442,0.2391,0.057187276,5.409502262,longer,26,1,NA,1/10/2017,BD,,,,,
Hypolaena fastigiata,S8,HYPO,S2,2.116,0.0442,0.0662,0.031285444,1.497737557,NA,34,1,NA,1/10/2017,BD,,,,,
Hypolaena fastigiata,S8,HYPO,S3,2.033,0.1526,0.0853,0.041957698,0.55897772,right,28,1,NA,1/10/2017,BD,,,,,
Lomandra obliqua,S8,LOMA,S1,0.102,0.0019,0.0014,0.01372549,0.736842105,NA,7,0,NA,1/10/2017,BD,,,,,
Lomandra obliqua,S8,LOMA,S2,0.391,0.0086,0.0051,0.013043478,0.593023256,NA,9,0,NA,1/10/2017,BD,,,,,
Lomandra obliqua,S8,LOMA,S3,0.407,0.008,0.004,0.00982801,0.5,NA,14,0,NA,1/10/2017,BD,,,,,
Haemodorum planifolium,S8,PLAN,S1,lost,lost,lost,,,lost,61,5,NA,1/10/2017,BD,,,,,
Haemodorum planifolium,S8,PLAN,S2,30.023,4.4321,1.3374,0.044545848,0.301753119,NA,72,5,NA,1/10/2017,BD,,,,,
Haemodorum planifolium,S8,PLAN,S3,?,4.7406,1.1296,#VALUE!,0.238282074,NA,58,5,NA,1/10/2017,BD,,,,,
Banksia serrata,S8,SERR,S1,12.054,0.4946,0.249,0.020657043,0.503437121,NA,195,3,NA,1/10/2017,BD,,,,,
Banksia serrata,S8,SERR,S2,13.547,0.4752,0.1831,0.013515908,0.385311448,NA,190,3,NA,1/10/2017,BD,,,,,
Banksia serrata,S8,SERR,S3,20.592,0.9077,0.4531,0.022003691,0.499173736,NA,185,3,NA,1/10/2017,BD,,,,,
Cyathochaeta diandra,S9,CYA,S1,10.118,0.767,0.3909,0.038634117,0.509647979,NA,62,6,NA,2/1/2017,UW,,,,,
Cyathochaeta diandra,S9,CYA,S2,10.331,0.5852,0.2699,0.026125254,0.461209843,NA,25,6,NA,2/1/2017,UW,,,,,
Cyathochaeta diandra,S9,CYA,S3,9.893,1.1278,0.5236,0.052926312,0.464266714,NA,18,6,NA,2/1/2017,UW,,,,,
Entolasia stricta,S9,ENTO,S1,0.274,0.0021,0.0019,0.006934307,0.904761905,NA,24,1,NA,2/1/2017,UW,,,,,
Entolasia stricta,S9,ENTO,S2,0.823,0.0055,0.0036,0.004374241,0.654545455,NA,11,1,NA,2/1/2017,UW,,,,,
Entolasia stricta,S9,ENTO,S3,0.159,0.0026,0.0024,0.01509434,0.923076923,NA,15,1,NA,2/1/2017,UW,,,,,
Banksia ericifolia,S9,ERIC,S1,0.107,0.0053,0.003,0.028037383,0.566037736,NA,270,7,NA,2/1/2017,UW,,,,,
Banksia ericifolia,S9,ERIC,S2,0.119,0.0047,0.0027,0.022689076,0.574468085,NA,280,7,NA,2/1/2017,UW,,,,,
Banksia ericifolia,S9,ERIC,S3,0.185,0.0081,0.0045,0.024324324,0.555555556,NA,200,7,NA,2/1/2017,UW,,,,,
Leptospermum squarrosum,S9,LEPTO,S1,0.106,0.0026,0.0015,0.014150943,0.576923077,NA,400,6,NA,2/1/2017,UW,,,,,
Leptospermum squarrosum,S9,LEPTO,S2,0.208,0.004,0.0035,0.016826923,0.875,NA,50,6,NA,2/1/2017,UW,,,,,
Leptospermum squarrosum,S9,LEPTO,S3,0.225,0.0047,0.0024,0.010666667,0.510638298,NA,25,6,NA,2/1/2017,UW,,,,,
Lepyrodia scariosa,S9,LEPY,S1,8.484,0.7206,0.3676,0.043328619,0.510130447,NA,65,2,NA,2/1/2017,UW,,,,,
Lepyrodia scariosa,S9,LEPY,S2,6.539,0.4634,0.2732,0.041780089,0.58955546,NA,45,2,NA,2/1/2017,UW,,,,,
Lepyrodia scariosa,S9,LEPY,S3,7.805,0.5379,0.2755,0.035297886,0.512176985,NA,51,2,NA,2/1/2017,UW,,,,,
Lomandra obliqua,S9,LOMA,S1,0.142,0.0028,0.0021,0.014788732,0.75,NA,25,1,NA,2/1/2017,UW,,,,,
Lomandra obliqua,S9,LOMA,S2,0.073,0.0009,0.0006,0.008219178,0.666666667,NA,14,1,NA,2/1/2017,UW,,,,,
Lomandra obliqua,S9,LOMA,S3,0.182,0.003,0.002,0.010989011,0.666666667,NA,15,1,NA,2/1/2017,UW,,,,,
Ptilothrix deusta,S9,PTI,S1,2.41,0.056,0.0457,0.018962656,0.816071429,NA,21,6,NA,2/1/2017,UW,,,,,
Ptilothrix deusta,S9,PTI,S2,0.615,0.0186,0.0125,0.020325203,0.672043011,NA,20,6,NA,2/1/2017,UW,,,,,
Ptilothrix deusta,S9,PTI,S3,1.073,0.0316,0.0231,0.021528425,0.731012658,NA,12,6,NA,2/1/2017,UW,,,,,
Leptocarpus tenax,S9,TENAX,S1,8.35,0.604,0.3795,0.045449102,0.628311258,NA,73,1,NA,2/1/2017,UW,,,,,
Leptocarpus tenax,S9,TENAX,S2,6.908,0.5769,0.3466,0.050173712,0.600797365,NA,74,1,NA,2/1/2017,UW,,,,,
Leptocarpus tenax,S9,TENAX,S3,7.149,0.4482,0.2296,0.03211638,0.512271307,NA,45,1,NA,2/1/2017,UW,,,,,
Gonocarpus tetragynus,S9,TETRA,S1,0.779,0.0208,0.0046,0.005905006,0.221153846,NA,15,1,NA,2/1/2017,UW,,,,,
Gonocarpus tetragynus,S9,TETRA,S2,0.946,0.0278,0.0066,0.006976744,0.237410072,NA,19,1,NA,2/1/2017,UW,,,,,
Gonocarpus tetragynus,S9,TETRA,S3,0.541,0.0123,0.0038,0.00702403,0.308943089,NA,12,1,NA,2/1/2017,UW,,,,,
Xyris bracteata,S9,XYR,S1,3.882,0.133,0.0403,0.010381247,0.303007519,NA,19,10,NA,2/1/2017,UW,,,,,
Xyris bracteata,S9,XYR,S2,6.393,0.1884,0.0498,0.00778977,0.26433121,NA,21,10,NA,2/1/2017,UW,,,,,
Xyris bracteata,S9,XYR,S3,7.953,0.2031,0.0861,0.010826103,0.423929099,NA,44,10,NA,2/1/2017,UW,,,,,
Empodisma minus,S10,EMP,S1,7.563,0.5748,0.236,0.031204548,0.410577592,NA,34,6,NA,2/1/2017,UW,,,,,
Empodisma minus,S10,EMP,S2,2.39,0.1045,0.0407,0.017029289,0.389473684,NA,27,6,NA,2/1/2017,UW,,,,,
Empodisma minus,S10,EMP,S3,3.423,0.1607,0.0603,0.017616126,0.375233354,NA,21,6,NA,2/1/2017,UW,,,,,
Entolasia stricta,S10,ENTO,S1,0.143,0.0008,0.0007,0.004895105,0.875,NA,38,2,NA,2/1/2017,UW,,,,,
Entolasia stricta,S10,ENTO,S2,1.627,0.0251,0.0064,0.00393362,0.25498008,NA,9,2,NA,2/1/2017,UW,,,,,
Entolasia stricta,S10,ENTO,S3,2.426,0.0205,0.0084,0.00346249,0.409756098,NA,6,2,NA,2/1/2017,UW,,,,,
Banksia ericifolia,S10,ERIC,S1,0.147,0.0071,0.0038,0.02585034,0.535211268,NA,180,25,NA,2/1/2017,UW,,,,,
Banksia ericifolia,S10,ERIC,S2,0.107,0.0054,0.0027,0.025233645,0.5,NA,190,25,NA,2/1/2017,UW,,,,,
Banksia ericifolia,S10,ERIC,S3,0.129,0.0075,0.0034,0.026356589,0.453333333,NA,100,25,NA,2/1/2017,UW,,,,,
Gonocarpus micranthus,S10,GONO,S1,0.27,0.0043,0.0017,0.006296296,0.395348837,NA,3,1,NA,2/1/2017,UW,,,,,
Gonocarpus micranthus,S10,GONO,S2,0.56,0.0095,0.0019,0.003392857,0.2,NA,4,1,NA,2/1/2017,UW,,,,,
Gonocarpus micranthus,S10,GONO,S3,0.489,0.0068,0.0017,0.003476483,0.25,NA,2,1,NA,2/1/2017,UW,,,,,
Lepidosperma neesii,S10,NEE,S1,8.106,0.3467,0.2434,0.03002714,0.70204788,NA,60,7,NA,2/1/2017,UW,,,,,
Lepidosperma neesii,S10,NEE,S2,6.311,0.3898,0.21,0.033275234,0.538737814,NA,55,7,NA,2/1/2017,UW,,,,,
Lepidosperma neesii,S10,NEE,S3,6.905,0.3855,0.2085,0.03019551,0.540856031,NA,35,7,NA,2/1/2017,UW,,,,,
Ptilothrix deusta,S10,PTI,S1,3.326,0.0789,0.0611,0.018370415,0.774397972,NA,27,12,NA,2/1/2017,UW,,,,,
Ptilothrix deusta,S10,PTI,S2,3.391,0.1122,0.0607,0.017900324,0.540998217,NA,16,12,NA,2/1/2017,UW,,,,,
Ptilothrix deusta,S10,PTI,S3,6.887,0.1825,0.1434,0.020821838,0.785753425,NA,41,12,NA,2/1/2017,UW,,,,,
Leptocarpus tenax,S10,TENAX,S1,12.887,0.9166,0.4717,0.036602778,0.514619245,NA,53,1,NA,2/1/2017,UW,,,,,
Caustis pentandra,S11,CAUSTUS,S1,1.835,0.1209,0.0553,0.03013624,0.457402812,NA,117,20,adult,1/10/2017,UD,,,,,
Caustis pentandra,S11,CAUSTUS,S2,4.327,0.4755,0.2061,0.047631153,0.433438486,NA,74,20,adult,1/10/2017,UD,,,,,
Caustis pentandra,S11,CAUSTUS,S3,1.357,0.0718,0.0372,0.027413412,0.51810585,NA,100,20,adult,1/10/2017,UD,,,,,
Lepidosperma concavum,S11,CONCA,S1,3.449,0.0847,0.0441,0.012786315,0.520661157,NA,20,3,NA,1/10/2017,UD,,,,,
Lepidosperma concavum,S11,CONCA,S2,5.923,0.2055,0.1023,0.017271653,0.497810219,NA,45,3,NA,1/10/2017,UD,,,,,
Lepidosperma concavum,S11,CONCA,S3,2.935,0.0546,0.0411,0.014003407,0.752747253,NA,17,3,NA,1/10/2017,UD,,,,,
Hypolaena fastigiata,S11,HYPO,S1,?,0.0404,0.2075,,5.136138614,NA,30,2,NA,1/10/2017,UD,,,,,
Hypolaena fastigiata,S11,HYPO,S2,?,0.0746,0.062,#VALUE!,0.831099196,NA,43,2,NA,1/10/2017,UD,,,,,
Hypolaena fastigiata,S11,HYPO,S3,0.155,0.0358,0.0197,0.127096774,0.55027933,NA,44,2,NA,1/10/2017,UD,,,,,
Lomandra obliqua,S11,LOMA,S1,0.346,0.0069,0.0028,0.008092486,0.405797101,NA,7,0,NA,1/10/2017,UD,,,,,
Lomandra obliqua,S11,LOMA,S2,0.144,0.0026,0.0019,0.013194444,0.730769231,NA,28,0,NA,1/10/2017,UD,,,,,
Lomandra obliqua,S11,LOMA,S3,0.183,0.0046,0.0031,0.016939891,0.673913043,NA,21,0,NA,1/10/2017,UD,,,,,
Banksia serrata,S11,SERR,S1,19.119,0.9733,0.3252,0.017009258,0.334121032,NA,170,5,NA,1/10/2017,UD,,,,,
Banksia serrata,S11,SERR,S2,12.365,0.5652,0.2288,0.018503841,0.404812456,NA,126,5,NA,1/10/2017,UD,,,,,
Banksia serrata,S11,SERR,S3,15.383,0.5778,0.3329,0.021640772,0.576150917,NA,116,5,NA,1/10/2017,UD,,,,,
Caustis pentandra,S12,CAUSTUS,S1,1.738,0.108,0.0581,0.033429229,0.537962963,NA,106,15,NA,1/10/2017,UD,,,,,
Caustis pentandra,S12,CAUSTUS,S2,0.935,0.0548,0.0275,0.029411765,0.501824818,NA,73,15,NA,1/10/2017,UD,,,,,
Caustis pentandra,S12,CAUSTUS,S3,0.871,0.0598,0.03,0.034443169,0.501672241,NA,100,15,NA,1/10/2017,UD,,,,,
Lepidosperma concavum,S12,CONCA,S1,1.751,0.0442,0.0383,0.021873215,0.866515837,NA,9,1,NA,1/10/2017,UD,,,,,
Lepidosperma concavum,S12,CONCA,S2,3.662,0.0442,0.0834,0.02277444,1.886877828,NA,20,1,NA,1/10/2017,UD,,,,,
Lepidosperma concavum,S12,CONCA,S3,10.927,0.39,0.1811,0.016573625,0.464358974,NA,30,1,NA,1/10/2017,UD,,,,,
Hypolaena fastigiata,S12,HYPO,S1,1.521,0.1043,0.0692,0.045496384,0.663470757,NA,20,5,NA,1/10/2017,UD,,,,,
Hypolaena fastigiata,S12,HYPO,S2,1.665,0.0568,0.0339,0.02036036,0.596830986,NA,28,5,NA,1/10/2017,UD,,,,,
Hypolaena fastigiata,S12,HYPO,S3,1.834,0.0963,0.0612,0.033369684,0.635514019,NA,30,5,NA,1/10/2017,UD,,,,,
Lomandra obliqua,S12,LOMA,S1,0.176,0.0042,0.0029,0.016477273,0.69047619,NA,20,0,NA,1/10/2017,UD,,,,,
Lomandra obliqua,S12,LOMA,S2,0.369,0.0065,0.0033,0.008943089,0.507692308,2 S3-We can pick one S3 as S2,10,0,NA,1/10/2017,UD,,,,,
Lomandra obliqua,S12,LOMA,S3,0.145,0.003,0.0017,0.011724138,0.566666667,2 S3,11,0,NA,1/10/2017,UD,,,,,
Banksia serrata,S12,SERR,S1,12.754,0.5433,0.3221,0.025254822,0.592858458,NA,172,20,NA,1/10/2017,UD,,,,,
Banksia serrata,S12,SERR,S2,10.375,0.4431,0.0836,0.008057831,0.188670729,NA,171,20,NA,1/10/2017,UD,,,,,
Banksia serrata,S12,SERR,S3,22.403,0.0442,0.1548,0.006909789,3.502262443,NA,252,20,NA,1/10/2017,UD,,,,,
Caustis pentandra,S13,CAUSTUS,S1,2.341,0.1739,0.0828,0.0353695,0.47613571,NA,115,4,adult,1/10/2017,BD,,,,,
Caustis pentandra,S13,CAUSTUS,S2,0.625,0.0248,0.0077,0.01232,0.310483871,NA,19,4,seedling,1/10/2017,BD,,,,,
Caustis pentandra,S13,CAUSTUS,S3,0.382,0.0153,0.0049,0.012827225,0.320261438,NA,16,4,seedling,1/10/2017,BD,,,,,
Lepidosperma concavum,S13,CONCA,S1,9.871,0.3496,0.1986,0.020119542,0.568077803,NA,28,5,NA,1/10/2017,BD,,,,,
Lepidosperma concavum,S13,CONCA,S2,3.771,0.155,0.0859,0.022779104,0.554193548,NA,23,5,NA,1/10/2017,BD,,,,,
Lepidosperma concavum,S13,CONCA,S3,5.803,0.2257,0.1163,0.020041358,0.515285778,NA,29,5,NA,1/10/2017,BD,,,,,
Hypolaena fastigiata,S13,HYPO,S1,0.783,0.0447,0.023,0.029374202,0.514541387,NA,39,4,NA,1/10/2017,BD,,,,,
Hypolaena fastigiata,S13,HYPO,S2,0.649,0.0288,0.0171,0.026348228,0.59375,NA,18,4,NA,1/10/2017,BD,,,,,
Hypolaena fastigiata,S13,HYPO,S3,1.366,0.0442,0.0284,0.02079063,0.642533937,NA,17,4,NA,1/10/2017,BD,,,,,
Lomandra obliqua,S13,LOMA,S1,0.369,0.0081,0.0053,0.014363144,0.654320988,NA,9,5,NA,1/10/2017,BD,,,,,
Lomandra obliqua,S13,LOMA,S2,0.207,0.0053,0.0032,0.015458937,0.603773585,NA,14,5,NA,1/10/2017,BD,,,,,
Lomandra obliqua,S13,LOMA,S3,0.434,0.0097,0.0045,0.010368664,0.463917526,NA,9,5,NA,1/10/2017,BD,,,,,
Haemodorum planifolium,S13,PLAN,S1,10.51,1.1512,0.3068,0.029191246,0.266504517,NA,26,3,NA,1/10/2017,BD,,,,,
Haemodorum planifolium,S13,PLAN,S2,10.706,1.6666,0.3656,0.034149075,0.219368775,NA,25,3,NA,1/10/2017,BD,,,,,
Haemodorum planifolium,S13,PLAN,S3,7.61,1.0977,0.2854,0.037503285,0.259998178,NA,70,3,NA,1/10/2017,BD,,,,,
Banksia serrata,S13,SERR,S1,16.843,0.5695,0.0029,0.000172178,0.005092186,NA,225,5,NA,1/10/2017,BD,,,,,
Banksia serrata,S13,SERR,S2,5.977,0.1809,0.003,0.000501924,0.016583748,NA,20,5,reshoot,1/10/2017,BD,,,,,
Banksia serrata,S13,SERR,S3,9.04,0.3181,0.0023,0.000254425,0.007230431,NA,24,5,reshoot,1/10/2017,BD,,,,,
Cyathochaeta diandra,S14,CYA,S1,6.312,0.4748,0.167,0.026457541,0.351727043,NA,39,1,NA,1/23/2017,BI,,,,,
Cyathochaeta diandra,S14,CYA,S2,1.248,0.0428,0.0294,0.023557692,0.686915888,NA,81,1,NA,1/23/2017,BI,,,,,
Cyathochaeta diandra,S14,CYA,S3,2.212,0.0744,0.051,0.023056058,0.685483871,NA,66,1,NA,1/23/2017,BI,,,,,
Entolasia stricta,S14,ENTO,S1,1.389,0.0219,0.0057,0.004103672,0.260273973,NA,13,5,NA,1/23/2017,BI,,,,,
Entolasia stricta,S14,ENTO,S2,0.272,0.0039,0.0021,0.007720588,0.538461538,NA,17,5,NA,1/23/2017,BI,,,,,
Entolasia stricta,S14,ENTO,S3,1.61,0.0329,0.0077,0.004782609,0.234042553,NA,19,5,NA,1/23/2017,BI,,,,,
Banksia ericifolia,S14,ERIC,S1,0.126,0.0042,0.0017,0.013492063,0.404761905,NA,17,1,NA,1/23/2017,BI,,,,,
Banksia ericifolia,S14,ERIC,S2,0.156,0.0055,0.0021,0.013461538,0.381818182,NA,10,1,NA,1/23/2017,BI,,,,,
Banksia ericifolia,S14,ERIC,S3,0.212,0.0059,0.0017,0.008018868,0.288135593,NA,9,1,NA,1/23/2017,BI,,,,,
Gonocarpus micranthus,S14,GONO,S1,0.397,0.0076,0.0022,0.005541562,0.289473684,NA,2,1,NA,1/23/2017,BI,,,,,
Gonocarpus micranthus,S14,GONO,S2,0.225,0.0061,0.0025,0.011111111,0.409836066,NA,5,1,NA,1/23/2017,BI,,,,,
Gonocarpus micranthus,S14,GONO,S3,0.436,0.01,0.0032,0.00733945,0.32,NA,4,1,NA,1/23/2017,BI,,,,,
Leptospermum squarrosum,S14,LEPTO,S1,0.161,0.0035,0.0014,0.008695652,0.4,NA,14,0,NA,1/23/2017,BI,,,,,
Leptospermum squarrosum,S14,LEPTO,S2,0.179,0.0039,0.0014,0.007821229,0.358974359,NA,16,0,NA,1/23/2017,BI,,,,,
Leptospermum squarrosum,S14,LEPTO,S3,0.175,0.0044,0.0016,0.009142857,0.363636364,NA,9,0,NA,1/23/2017,BI,,,,,
Lepyrodia scariosa,S14,LEPY,S1,5.171,0.2438,0.1017,0.019667376,0.417145201,NA,22,0,NA,1/23/2017,BI,,,,,
Lepyrodia scariosa,S14,LEPY,S2,3.843,0.1806,0.0848,0.022066094,0.469545958,NA,21,0,NA,1/23/2017,BI,,,,,
Lepyrodia scariosa,S14,LEPY,S3,5.26,0.3847,0.1196,0.022737643,0.310891604,NA,39,0,NA,1/23/2017,BI,,,,,
Lomandra obliqua,S14,LOMA,S1,0.2,0.0055,0.0023,0.0115,0.418181818,NA,4,0,NA,1/23/2017,BI,,,,,
Lomandra obliqua,S14,LOMA,S2,0.384,0.0088,0.004,0.010416667,0.454545455,NA,14,0,NA,1/23/2017,BI,,,,,
Lomandra obliqua,S14,LOMA,S3,0.207,0.0068,0.0028,0.01352657,0.411764706,NA,8,0,NA,1/23/2017,BI,,,,,
Lepidosperma neesii,S14,NEE,S1,4.332,0.2378,0.115,0.02654663,0.483599664,NA,72,4,NA,1/23/2017,BI,,,,,
Lepidosperma neesii,S14,NEE,S2,6.277,0.2391,0.173,0.027560937,0.723546633,NA,88,4,NA,1/23/2017,BI,,,,,
Lepidosperma neesii,S14,NEE,S3,1.559,0.0558,0.0323,0.020718409,0.578853047,NA,63,4,NA,1/23/2017,BI,,,,,
Plinthanthesis paradoxa,S14,PLIN,S1,0.848,0.0249,0.0087,0.010259434,0.34939759,NA,5,4,NA,1/23/2017,BI,,,,,
Plinthanthesis paradoxa,S14,PLIN,S2,1.216,0.0215,0.013,0.010690789,0.604651163,NA,5,4,NA,1/23/2017,BI,,,,,
Plinthanthesis paradoxa,S14,PLIN,S3,2.576,0.0467,0.0123,0.004774845,0.263383298,NA,4,4,NA,1/23/2017,BI,,,,,
Ptilothrix deusta,S14,PTI,S1,1.773,0.1246,0.063,0.035532995,0.505617978,NA,42,4,NA,1/23/2017,BI,,,,,
Ptilothrix deusta,S14,PTI,S2,4.603,0.2923,0.1549,0.033651966,0.529934998,NA,50,4,NA,1/23/2017,BI,,,,,
Ptilothrix deusta,S14,PTI,S3,2.975,0.1548,0.0714,0.024,0.46124031,NA,38,4,NA,1/23/2017,BI,,,,,
Leptocarpus tenax,S14,TENAX,S1,5.89,0.2286,0.1305,0.022156197,0.570866142,NA,55,0,NA,1/23/2017,BI,,,,,
Leptocarpus tenax,S14,TENAX,S2,5.13,0.2513,0.117,0.022807018,0.465578989,NA,45,0,NA,1/23/2017,BI,,,,,
Leptocarpus tenax,S14,TENAX,S3,9.672,0.6059,0.3029,0.031317204,0.499917478,NA,50,0,NA,1/23/2017,BI,,,,,
Gonocarpus tetragynus,S14,TETRA,S1,0.291,0.0073,0.002,0.006872852,0.273972603,NA,7,2,NA,1/23/2017,BI,,,,,
Gonocarpus tetragynus,S14,TETRA,S2,0.158,0.002,0.0008,0.005063291,0.4,NA,5,2,NA,1/23/2017,BI,,,,,
Gonocarpus tetragynus,S14,TETRA,S3,0.478,0.0095,0.0028,0.005857741,0.294736842,NA,9,2,NA,1/23/2017,BI,,,,,
Cyathochaeta diandra,S15,CYA,S1,14.432,0.6122,0.3716,0.025748337,0.606991179,NA,65,3,NA,1/23/2017,UI,,,,,
Cyathochaeta diandra,S15,CYA,S2,2.245,0.0305,0.0233,0.010378619,0.763934426,NA,9,3,NA,1/23/2017,UI,,,,,
Cyathochaeta diandra,S15,CYA,S3,1.599,0.0599,0.0395,0.024702939,0.659432387,NA,3,3,NA,1/23/2017,UI,,,,,
Empodisma minus,S15,EMP,S1,3.407,0.0461,0.0273,0.008012915,0.592190889,NA,50,5,NA,1/23/2017,UI,,,,,
Empodisma minus,S15,EMP,S2,1.962,0.125,0.0736,0.037512742,0.5888,NA,37,5,NA,1/23/2017,UI,,,,,
Empodisma minus,S15,EMP,S3,1.578,0.0823,0.0439,0.027820025,0.533414338,NA,30,5,NA,1/23/2017,UI,,,,,
Entolasia stricta,S15,ENTO,S1,0.28,0.0861,0.0396,0.141428571,0.459930314,NA,17,2,NA,1/23/2017,UI,,,,,
Entolasia stricta,S15,ENTO,S2,0.424,0.0052,0.0014,0.003301887,0.269230769,NA,50,2,NA,1/23/2017,UI,,,,,
Entolasia stricta,S15,ENTO,S3,0.113,0.0051,0.0017,0.015044248,0.333333333,NA,22,2,NA,1/23/2017,UI,,,,,
Banksia ericifolia,S15,ERIC,S1,0.106,0.0013,0.0007,0.006603774,0.538461538,NA,300,55,NA,1/23/2017,UI,,,,,
Banksia ericifolia,S15,ERIC,S2,0.128,0.0044,0.0023,0.01796875,0.522727273,NA,290,55,NA,1/23/2017,UI,,,,,
Banksia ericifolia,S15,ERIC,S3,0.162,0.0058,0.0028,0.017283951,0.482758621,NA,300,55,NA,1/23/2017,UI,,,,,
Eurychorda complanata,S15,EURY,S1,9.849,0.0042,0.0024,0.00024368,0.571428571,NA,63,3,NA,1/23/2017,UI,,,,,
Eurychorda complanata,S15,EURY,S2,1.965,0.6331,0.1923,0.097862595,0.303743484,NA,30,3,NA,1/23/2017,UI,,,,,
Eurychorda complanata,S15,EURY,S3,3.902,0.1139,0.0354,0.009072271,0.310798946,NA,42,3,NA,1/23/2017,UI,,,,,
Lepyrodia scariosa,S15,LEPY,S1,12.29,0.2232,0.0593,0.004825061,0.265681004,NA,80,1,NA,1/23/2017,UI,,,,,
Lepyrodia scariosa,S15,LEPY,S2,3.792,0.5933,0.3172,0.083649789,0.534636777,NA,20,1,NA,1/23/2017,UI,,,,,
Lepyrodia scariosa,S15,LEPY,S3,3.139,0.2412,0.1249,0.039789742,0.517827529,NA,23,1,NA,1/23/2017,UI,,,,,
Lomandra obliqua,S15,LOMA,S1,0.047,0.1525,0.0912,1.940425532,0.598032787,NA,28,1,NA,1/23/2017,UI,,,,,
Lomandra obliqua,S15,LOMA,S2,0.092,0.0008,0.0005,0.005434783,0.625,NA,25,1,NA,1/23/2017,UI,,,,,
Lomandra obliqua,S15,LOMA,S3,0.186,0.002,0.001,0.005376344,0.5,NA,17,1,NA,1/23/2017,UI,,,,,
Banksia oblongifolia,S15,OBL,S1,7.276,0.0036,0.0019,0.000261132,0.527777778,NA,12,1,NA,1/23/2017,UI,,,,,
Banksia oblongifolia,S15,OBL,S2,7.333,0.2889,0.161,0.021955543,0.557286258,NA,32,1,NA,1/23/2017,UI,,,,,
Banksia oblongifolia,S15,OBL,S3,2.487,0.2665,0.1613,0.064857258,0.605253283,NA,19,1,NA,1/23/2017,UI,,,,,
Ptilothrix deusta,S15,PTI,S1,2.94,0.0873,0.0506,0.017210884,0.579610538,NA,11,3,NA,1/23/2017,UI,,,,,
Ptilothrix deusta,S15,PTI,S2,0.989,0.0675,0.0374,0.037815976,0.554074074,NA,6,3,NA,1/23/2017,UI,,,,,
Ptilothrix deusta,S15,PTI,S3,?,0.0248,0.0126,#VALUE!,0.508064516,NA,3,3,NA,1/23/2017,UI,,,,,
Leptocarpus tenax,S15,TENAX,S1,16.735,0.9379,0.4945,0.02954885,0.52724171,NA,46,2,NA,1/23/2017,UI,,,,,
Leptocarpus tenax,S15,TENAX,S2,3.973,0.2211,0.1156,0.029096401,0.522840344,NA,30,2,NA,1/23/2017,UI,,,,,
Leptocarpus tenax,S15,TENAX,S3,5.681,0.5988,0.3396,0.059778208,0.567134269,NA,66,2,NA,1/23/2017,UI,,,,,
Xyris bracteata,S15,XYR,S1,10.119,0.3809,0.1007,0.009951576,0.264373851,NA,31,2,NA,1/23/2017,UI,,,,,
Xyris bracteata,S15,XYR,S2,11.642,0.3514,0.0937,0.008048445,0.266647695,NA,16,2,NA,1/23/2017,UI,,,,,
Xyris bracteata,S15,XYR,S3,7.517,0.2522,0.0799,0.01062924,0.316812054,NA,25,2,NA,1/23/2017,UI,,,,,
Cyathochaeta diandra,S16,CYA,S1,4.37,0.3073,0.1834,0.041967963,0.596810934,NA,48,7,NA,1/23/2017,UI,,,,,
Cyathochaeta diandra,S16,CYA,S2,7.267,0.6653,0.2716,0.037374432,0.408236886,NA,45,7,NA,1/23/2017,UI,,,,,
Cyathochaeta diandra,S16,CYA,S3,4.15,0.2415,0.142,0.034216867,0.587991718,NA,60,7,NA,1/23/2017,UI,,,,,
Entolasia stricta,S16,ENTO,S1,0.302,0.0107,0.006,0.01986755,0.560747664,NA,31,2,NA,1/23/2017,UI,,,,,
Entolasia stricta,S16,ENTO,S2,1.189,0.0281,0.0096,0.008074012,0.341637011,NA,27,2,NA,1/23/2017,UI,,,,,
Entolasia stricta,S16,ENTO,S3,0.651,0.0117,0.0052,0.007987711,0.444444444,NA,18,2,NA,1/23/2017,UI,,,,,
Banksia ericifolia,S16,ERIC,S1,0.145,0.0071,0.0036,0.024827586,0.507042254,NA,155,0,NA,1/23/2017,UI,,,,,
Banksia ericifolia,S16,ERIC,S2,0.142,0.007,0.0037,0.026056338,0.528571429,NA,190,0,NA,1/23/2017,UI,,,,,
Banksia ericifolia,S16,ERIC,S3,1.047,0.0246,0.0098,0.009360076,0.398373984,NA,13,0,NA,1/23/2017,UI,,,,,
Eurychorda complanata,S16,EURY,S1,9.633,0.6629,0.3243,0.033665525,0.489214059,NA,57,0,NA,1/23/2017,UI,,,,,
