site_id,site_TEXT,name_original,TRAIT Growth Form CATEGORICAL EP epiphyte (mistletoe) F fern G grass H herb S shrub T tree V vine,TRAIT SLA UNITS mm2/g,TRAIT Leaf Size UNITS mm2,TRAIT Leaf Dry Mass UNITS g,TRAIT LeafWidth UNITS mm,TRAIT Height UNITS m
28,Emmdale,Callitris glaucophylla,T,3.6,18,0.005,0.9,6
28,Emmdale,Dissocarpus paradoxa,H,3.7,9.2,0.003,1.3,0.5
28,Emmdale,Dodonaea attenuata,S,5.5,67.6,0.012,2.5,1.7
28,Emmdale,Enchylaena tomentosa,S,5,8.8,0.002,0.9,0.7
28,Emmdale,Salsola kali,S,6,15,0.003,1,1
28,Emmdale,Sclerolaena diacantha,S,3.4,7.7,0.002,1.1,1
28,Emmdale,Senna artemisioides zygophylla,S,2.6,35.1,0.014,1.2,1.5
29,Brummagen Creek,Acacia homalophylla,T,3.1,313,0.102,8.4,3
29,Brummagen Creek,Brachychiton populneus,T,8.5,1198.4,0.141,30.8,3.5
29,Brummagen Creek,Callitris glaucophylla,T,3.3,22.3,0.007,1,6
29,Brummagen Creek,Cassinia uncata,S,3.9,10.5,0.003,0.6,1.5
29,Brummagen Creek,Chenopodium desertorum,S,7.7,24.6,0.003,4.4,0.2
29,Brummagen Creek,Einadia nutans,S,8.6,22.7,0.003,4,0.2
29,Brummagen Creek,Enchylaena tomentosa,S,4.9,4.7,0.001,0.9,0.2
29,Brummagen Creek,Eucalyptus dealbata,T,6.1,1198.2,0.195,16,10
29,Brummagen Creek,Eucalyptus populnea,T,4.8,1078.6,0.224,22.7,13
29,Brummagen Creek,Eucalyptus sp,T,6.2,988.9,0.16,16.4,13
29,Brummagen Creek,Lomandra effusa,G,0.6,314.2,0.538,1.6,0.55
29,Brummagen Creek,Maireana microphylla,S,7.4,1.7,0,0.4,0.5
29,Brummagen Creek,Marrubium vulgare,H,8.6,128.6,0.015,11,0.2
29,Brummagen Creek,Minuria denticulata,H,10.1,9.2,0.001,1.7,0.15
29,Brummagen Creek,Salsola kali,S,1.7,4.9,0.003,0.8,0.4
29,Brummagen Creek,Sclerolaena quinquecuspis,,7.7,4.2,0.001,1.3,0.8
29,Brummagen Creek,Sida rhombifolia,H,7.6,63.4,0.008,6.4,0.2
29,Brummagen Creek,unk29_15 sp,,5.9,62.7,0.011,0.7,0.45
29,Brummagen Creek,unk29_17 sp,,11.1,89.7,0.008,1.9,0.35
29,Brummagen Creek,unk29_18 sp,,10.5,44.5,0.004,0.7,0.3
29,Brummagen Creek,unk29_19 sp,,5,39.4,0.008,0.7,0.3
29,Brummagen Creek,unk29_25 sp,,7,61.5,0.009,1.4,0.65
3,Burbie,Acacia decora,S,7.1,77.2,0.011,4.6,1.5
3,Burbie,Acrotriche rigida,S,13.4,27.5,0.002,2.2,0.15
3,Burbie,Brachychiton populneus,T,9.1,1292.1,0.142,34.1,4.5
3,Burbie,Brachyloma daphnoides,S,5,57.9,0.011,4.3,2
3,Burbie,Bursaria spinosa,S,30.1,52.4,0.002,5.6,0.4
3,Burbie,Callitris columellaris,T,1.9,25.1,0.013,1.2,8
3,Burbie,Callitris endlicheri,T,1.6,43.1,0.027,1.6,5
3,Burbie,Cymbidium canaliculatum,,1.8,1903.5,1.064,9.5,1
3,Burbie,Danthonia setacea,G,2.3,153.3,0.067,1.3,1
3,Burbie,Dianella longifolia,H,2.4,343.4,0.146,3.4,1.3
3,Burbie,Dodonaea viscosa,S,7,328.8,0.047,9.6,2
3,Burbie,Exocarpos cupressiformis,T,1.1,41.5,0.038,1.6,2.5
3,Burbie,Gompholobium foliolosum,S,3.9,29.5,0.008,1.6,0.3
3,Burbie,Hibbertia linearis,S,5.1,75.3,0.015,5.7,1
3,Burbie,Lepidosperma laterale,G,3,347.6,0.115,3.4,0.5
3,Burbie,Lomandra filiformis,G,5,162.3,0.032,1.9,0.2
3,Burbie,Loranthaceae sp,V,3.1,1125.9,0.363,15.4,4
3,Burbie,Olearia elliptica,S,7.6,461.8,0.061,12.9,1.5
3,Burbie,Persoonia cuspidifera,S,3.8,14,0.004,2.6,4
3,Burbie,Santalum acuminatum,T,5.4,532.6,0.099,9.1,3
3,Burbie,Styphelia triflora,S,27.7,173.9,0.006,6,0.5
30,Kayrunnera,Acacia tetragonophylla,T,3.7,15.5,0.004,0.9,2
30,Kayrunnera,Dissocarpus paradoxa,H,3.7,9.2,0.003,1.3,0.5
30,Kayrunnera,Euphorbia drummondii,H,10.4,16.2,0.002,3.5,0.05
30,Kayrunnera,Lysiana murrayi,,3,19.9,0.007,1.2,
30,Kayrunnera,Maireana pyramidata,S,5.7,5.4,0.001,1.6,1
30,Kayrunnera,Sclerolaena obliquicuspis,S,5.7,11.1,0.002,1.4,0.05
30,Kayrunnera,Sclerolaena sp,S,4.6,8.8,0.002,1.4,0.05
30,Kayrunnera,Sida limestone,H,6.5,66.9,0.01,7.8,0.05
30,Kayrunnera,unk30_5 sp,,11.1,22.6,0.002,0.4,0.1
31,Copper Mine,Acacia clivicola,,2,46.4,0.024,1.5,3
31,Copper Mine,Calotis cuneifolia,H,11.1,50.3,0.005,5.8,0.05
31,Copper Mine,Enchylaena tomentosa,S,4.7,13.3,0.003,1.1,0.3
31,Copper Mine,Eragrostis sp,G,9.7,17.6,0.002,0.9,0.2
31,Copper Mine,Eremophila latrobei,S,5.5,14.8,0.003,2.1,0.8
31,Copper Mine,Myriocephalus rhizocephalus,H,16.1,12.2,0.001,0.6,0.05
31,Copper Mine,Ptilotus obovatus,S,8.5,106.7,0.013,9.6,0.3
31,Copper Mine,Rhagodia spinescens,S,10.2,106.9,0.011,9.5,0.1
31,Copper Mine,Rutidosis helichrysoides,S,21.9,64,0.003,3.4,0.2
31,Copper Mine,Sclerolaena convexula,S,6.8,6.3,0.001,1.2,0.2
31,Copper Mine,Sida limestone,H,8.8,127.2,0.015,10.8,0.05
31,Copper Mine,Solanum quadriloculatum,H,7.1,1039.6,0.147,24.9,0.1
31,Copper Mine,unk31_12 sp,,10.1,35.2,0.003,3.5,0.2
31,Copper Mine,unk31_15 sp,,20.2,34.1,0.002,1.4,0.2
31,Copper Mine,unk31_8 sp,,12.2,67.8,0.006,5,0.05
32,West Copper Mine,Acacia brachystachya,T,8.9,28.3,0.003,0.7,4
32,West Copper Mine,Atriplex pseudocampanulata,S,9.1,96.1,0.011,8.7,0.2
32,West Copper Mine,Maireana pyramidata,S,4.1,2.5,0.001,0.7,1.1
32,West Copper Mine,Poaceae sp,G,2.3,120.1,0.052,1.6,0.1
32,West Copper Mine,Portulaca oleracea,H,8.8,32.1,0.004,3.7,0.05
32,West Copper Mine,Rhagodia spinescens,S,12.6,107.2,0.009,9.3,0.5
32,West Copper Mine,Rhagodia ulicina,S,8.1,32.6,0.004,5.2,1
32,West Copper Mine,Sclerolaena decurrens,S,6.4,15,0.002,1.6,0.3
32,West Copper Mine,Sclerolaena divaricata,S,6.8,5.4,0.001,0.7,0.2
32,West Copper Mine,Sclerolaena eriacantha,S,6.7,23,0.003,1.6,0.2
32,West Copper Mine,Sclerolaena patenticuspis,S,4.3,17.5,0.004,1.4,0.2
32,West Copper Mine,Sida sp,H,14.1,50.5,0.004,6.4,0.05
32,West Copper Mine,Solanum ellipticum,S,4.7,847.1,0.181,23.5,0.3
32,West Copper Mine,Solanum petrophilum,H,10,336.1,0.034,10.8,0.05
32,West Copper Mine,unk32_2 sp,,17.5,79.3,0.005,6.2,0.05
33,South White Cliffs,Acacia cana,S,2.5,131.2,0.052,2.3,1
33,South White Cliffs,Acacia paradoxa,S,5.8,33.7,0.006,2.6,0.2
33,South White Cliffs,Alectryon oleifolius,T,4.2,199.5,0.048,6.3,4
33,South White Cliffs,Amyema lucasii,H,2.6,383.8,0.15,12.7,
33,South White Cliffs,Chenopodiaceae sp,S,5.9,13,0.002,1.1,0.6
33,South White Cliffs,Chenopodium desertorum,S,7.3,34.5,0.005,5.6,0.5
33,South White Cliffs,Dodonaea filifolia,S,4.1,21.6,0.005,1,3
33,South White Cliffs,Enchylaena tomentosa,S,5.6,9.8,0.002,1,0.6
33,South White Cliffs,Flindersia maculosa,T,5.4,250.1,0.046,7.7,10
33,South White Cliffs,Hakea tephrosperma,T,1.7,59.4,0.035,1.5,5
33,South White Cliffs,Lysiana exocarpi,,2.9,203.1,0.07,4,
33,South White Cliffs,Maireana pyramidata,S,4.8,1.7,0,1,1
33,South White Cliffs,Maireana triptera,S,5.2,13.8,0.003,1.3,0.5
33,South White Cliffs,Pimelea pauciflora,S,8.2,35.6,0.004,2.3,1
33,South White Cliffs,Senna artemisioides artemisioides,S,3,27.3,0.009,0.9,2
33,South White Cliffs,unk33_7 sp,,5.1,84.6,0.017,6.6,2
34,White Cliffs,Einadia nutans,S,8.6,49.5,0.006,4.6,0.5
34,White Cliffs,Maireana astrotricha,S,3.9,16.8,0.004,2.4,0.6
34,White Cliffs,Maireana pyramidata,S,4.3,4.8,0.001,1.6,0.8
34,White Cliffs,Poaceae sp,G,9.3,18.8,0.002,1,0.07
34,White Cliffs,Portulaca oleracea,H,12,49.5,0.004,5,0.05
34,White Cliffs,Rhagodia spinescens,S,9.6,65.1,0.007,7.7,0.3
34,White Cliffs,Rhodanthe polygalifolia,H,22.6,68.8,0.003,5.5,0.1
34,White Cliffs,Salsola kali,S,5.6,13,0.002,0.7,0.4
34,White Cliffs,Sclerolaena divaricata,S,6,11.2,0.002,1.3,0.3
34,White Cliffs,Sclerolaena eriacantha,S,8.4,9.4,0.001,1.3,0.2
34,White Cliffs,unk34_13 sp,,16.7,108.3,0.006,7.2,0.05
35,Matakana,Acacia colletioides,S,2.1,33.9,0.016,1.3,2
35,Matakana,Acacia hakeoides,S,3.5,261,0.075,5.6,4
35,Matakana,Acacia lineata,S,4.6,13.5,0.003,1.1,1.1
35,Matakana,Acacia tindaleae,S,5.3,9.8,0.002,1.6,1.5
35,Matakana,Beyeria opaca,S,6.1,25.9,0.004,2.3,1.5
35,Matakana,Callitris preissii,T,4.1,24.3,0.006,1,4
35,Matakana,Dodonaea peduncularis,S,6.3,5.9,0.001,1.7,0.6
35,Matakana,Eucalyptus dumosa,T,2.7,1013.9,0.372,20.1,6
35,Matakana,Eucalyptus gracilis,T,2.8,476.9,0.17,10.5,6
35,Matakana,Eucalyptus socialis,T,3.6,577.8,0.161,12.3,6
35,Matakana,Melaleuca uncinata,S,2.9,16.5,0.006,0.9,4
35,Matakana,Triodia scariosa,G,2.8,58.5,0.021,0.9,0.4
36,Narriah Mountain,Acacia deanei,T,5.2,8.1,0.002,0.8,6
36,Narriah Mountain,Brachychiton populneus,T,12.4,1083.5,0.088,25.4,8
36,Narriah Mountain,Callitris columellaris,T,4.2,21,0.005,0.8,10
36,Narriah Mountain,Cheilanthes tenuifolia,F,7.9,231.1,0.029,10,0.2
36,Narriah Mountain,Einadia nutans,S,12.2,9.6,0.001,1.8,0.2
36,Narriah Mountain,Eucalyptus melliodora,T,5.1,1648.2,0.325,21.1,13
36,Narriah Mountain,Eucalyptus populnea,T,5.1,1491.8,0.29,34,12
36,Narriah Mountain,Myoporum montanum,S,3.2,418.5,0.133,5.5,4
36,Narriah Mountain,unk36_1 sp,,16,35.8,0.002,3.2,0.05
36,Narriah Mountain,unk36_14 sp,,12.1,11.8,0.001,2.2,0.1
36,Narriah Mountain,unk36_15 sp,,18.8,647.3,0.034,20.2,0.05
36,Narriah Mountain,unk36_16 sp,,9.9,8.2,0.001,2,0.01
36,Narriah Mountain,unk36_17 sp,,10.1,16.5,0.002,2.6,0.01
36,Narriah Mountain,unk36_18 sp,,14.2,143.1,0.01,6.9,0.3
36,Narriah Mountain,unk36_20 sp,,16.8,123.5,0.007,4.9,0.1
37,Lake Mere,Acacia aneura,T,2.3,104.9,0.046,2.8,6
37,Lake Mere,Actinobole uliginosum,H,19,11.3,0.001,2.2,0.01
37,Lake Mere,Alyssum linifolium,H,10.2,5.4,0.001,0.9,0.06
37,Lake Mere,Aristida obscura,G,10.5,127.7,0.012,2.2,0.22
37,Lake Mere,Arthropodium minus,H,16.4,92.7,0.006,2.1,0.09
37,Lake Mere,Brachyscome ciliaris,,15.2,28.7,0.002,1.8,0.1
37,Lake Mere,Calandrinia eremaea,H,12.6,80.2,0.006,4,0.1
37,Lake Mere,Calotis cuneifolia,H,13.8,182.8,0.013,11.2,0.1
37,Lake Mere,Calotis hispidula,H,13.3,22.3,0.002,2.5,0.07
37,Lake Mere,Cheilanthes tenuifolia,F,7.9,231.1,0.029,10,0.19
37,Lake Mere,Cuphonotus humistratus,H,10.1,13.8,0.001,1.3,0.08
37,Lake Mere,Cynoglossum australe,H,16.4,226.3,0.014,8.6,0.17
37,Lake Mere,Daucus glochidiatus,H,13.8,217.8,0.016,1.7,0.18
37,Lake Mere,Einadia nutans,S,10.7,67.9,0.006,4.3,0.16
37,Lake Mere,Eragrostis microcarpa,G,7.6,24,0.003,0.6,0.23
37,Lake Mere,Eremophila duttonii,S,5.7,134.8,0.024,4.2,1.8
37,Lake Mere,Eremophila longifolia,S,4.8,184,0.038,3.5,1.5
37,Lake Mere,Eremophila sturtii,S,4.4,36.8,0.008,1.3,1.3
37,Lake Mere,Euphorbia drummondii,H,16.1,5.2,0,1.7,0.01
37,Lake Mere,Goodenia cycloptera,H,8.6,158.9,0.018,7,0.18
37,Lake Mere,Harmsiodoxa blennodioides,H,14,13.1,0.001,2.2,0.08
37,Lake Mere,Rhodanthe floribunda,H,15.4,37.8,0.002,2.1,0.1
37,Lake Mere,Hyalosperma semisterile,H,12.7,5,0,0.6,0.1
37,Lake Mere,Isoetopsis graminifolia,H,10.8,18.9,0.002,0.7,0.04
37,Lake Mere,Lepidium hyssopifolium,H,11.9,48.8,0.004,2.3,0.07
37,Lake Mere,Maireana villosa,S,7.9,12,0.002,1.2,0.2
37,Lake Mere,Omphalolappula concava,H,13.8,15.9,0.001,1.7,0.12
37,Lake Mere,Parsonsia eucalyptophylla,V,5.7,279,0.049,5.6,0.55
37,Lake Mere,Poaceae sp,G,10.9,33.5,0.003,0.6,0.16
37,Lake Mere,Ptilotus gaudichaudii,H,17,16.6,0.001,1.6,0.17
37,Lake Mere,Senna artemisioides artemisioides,S,2.1,20.6,0.01,1.1,1.4
37,Lake Mere,Sida cunninghamii,H,6.4,127.6,0.02,9.3,0.02
37,Lake Mere,Solanum ferocissimum,S,8.6,224.9,0.026,6,0.16
37,Lake Mere,Tetragonia tetragonioides,H,16.3,561.9,0.034,20.6,0.06
37,Lake Mere,unk37_21 sp,,18.9,366.8,0.019,18.1,0.17
37,Lake Mere,unk37_24 sp,,16,86.8,0.005,9,0.03
38,Tundalya,Alyssum linifolium,H,12.8,29.7,0.002,1.9,0.25
38,Tundalya,Atriplex holocarpa,S,13.7,266.4,0.02,14.6,0.13
38,Tundalya,Atriplex leptocarpa,S,18.8,572.3,0.03,22.1,0.22
38,Tundalya,Atriplex pseudocampanulata,S,15.2,114.3,0.008,9.5,0.12
38,Tundalya,Brachyscome curvicarpa,,12.6,48.3,0.004,2.6,0.24
38,Tundalya,Brassica tournefortii,H,10.6,308,0.029,10.7,0.32
38,Tundalya,Bulbine semibarbata,,14.7,354,0.024,4.8,0.14
38,Tundalya,Chenopodium sp,S,19.6,105.6,0.005,6.3,0.3
38,Tundalya,Cynoglossum australe,H,11.7,522.2,0.045,12.2,0.11
38,Tundalya,Einadia nutans,S,11.1,36.2,0.003,3,0.14
38,Tundalya,Eragrostis setifolia,G,8.9,32.7,0.004,0.6,0.26
38,Tundalya,Erodium cicutarium,H,36.4,47.4,0.001,4.2,0.15
38,Tundalya,Eucalyptus microtheca,T,5.3,877.2,0.167,18.5,15
38,Tundalya,Euphorbia drummondii,H,16.1,5.2,0,1.7,0.02
38,Tundalya,Harmsiodoxa puberula,H,15.5,376.1,0.024,8.3,0.45
38,Tundalya,Rhodanthe microglossa,H,12.6,229.6,0.018,5.3,0.13
38,Tundalya,Rhodanthe stricta,H,14,63.5,0.005,4.8,0.28
38,Tundalya,Hordeum leporinum,G,18.2,156.9,0.009,3.6,0.24
38,Tundalya,Ixiolaena leptolepis,H,20.6,135.1,0.007,5.6,0.22
38,Tundalya,Lepidium sp,H,18.5,91.3,0.005,3,0.35
38,Tundalya,Maireana sclerolaenoides,S,11.9,8.9,0.001,1.2,0.15
38,Tundalya,Panicum sp,G,12.7,79.7,0.006,3.2,0.17
38,Tundalya,Phlegmatospermum cochlearinum,H,17.5,61.3,0.004,4,0.9
38,Tundalya,Poaceae sp,G,17.7,33.3,0.002,1,0.08
38,Tundalya,Portulaca oleracea,H,15.6,53,0.003,5.5,0.03
38,Tundalya,Pycnosorus chrysanthus,H,20.8,49.8,0.002,1.9,0.32
38,Tundalya,Sclerolaena calcarata,S,8.6,9.2,0.001,1.1,0.09
38,Tundalya,Sclerolaena intricata,S,9.4,29.8,0.003,1.8,0.1
38,Tundalya,Sclerolaena muricata,S,9.5,22.9,0.002,2.7,0.25
38,Tundalya,Senecio glossanthus,H,13.6,112.9,0.008,3.8,0.3
38,Tundalya,Swainsona phacoides,S,18.5,69.2,0.004,6.2,0.1
38,Tundalya,Tetragonia tetragonioides,H,16.3,561.9,0.034,20.6,0.18
38,Tundalya,Threlkeldia proceriflora,,11.7,23.4,0.002,1.6,0.15
38,Tundalya,unk38_29 sp,,9.4,178.8,0.019,7.9,0.08
38,Tundalya,Zygophyllum iodocarpum,H,10.6,87.1,0.008,7.1,0.29
4,Cox's Gap,Acacia cheelii/melanoxylon,,3.1,1887.5,0.615,16.5,4
4,Cox's Gap,Acacia doratoxylon,T,3.1,549.6,0.177,5.1,6
4,Cox's Gap,Acacia penninervis,T,4.5,654.9,0.144,13.3,2
4,Cox's Gap,Acrotriche rigida,S,3.7,6,0.002,1.2,0.3
4,Cox's Gap,Allocasuarina littoralis,T,2.1,37,0.018,0.8,5
4,Cox's Gap,Amyema miquelii,EP,2.2,881.1,0.404,13.3,3
4,Cox's Gap,Callitris endlicheri,T,1.6,24.1,0.015,1.3,8
4,Cox's Gap,Cassinia cunninghamii,S,3.3,6.6,0.002,0.7,0.5
4,Cox's Gap,Dianella revoluta,H,1.4,236.1,0.172,3.1,0.3
4,Cox's Gap,Dodonaea triangularis,S,5.1,193.8,0.038,10.6,0.5
4,Cox's Gap,Entolasia stricta,G,5.4,35.2,0.007,1.1,0.6
4,Cox's Gap,Eucalyptus oblonga,T,3.5,1254.8,0.355,18.3,9
4,Cox's Gap,Eucalyptus propinqua,T,4.7,1610.4,0.342,19.7,10
4,Cox's Gap,Eucalyptus sp,T,4.1,2372.4,0.584,27.4,10.5
4,Cox's Gap,Exocarpos cupressiformis,T,3.9,95,0.024,1.9,2.5
4,Cox's Gap,Goodenia sp,H,3.5,185.3,0.053,12.2,0.05
4,Cox's Gap,Hardenbergia violacea,V,7.1,772,0.109,13.1,1
4,Cox's Gap,Hovea lanceolata,S,3.9,454.8,0.117,9.8,2.5
4,Cox's Gap,Leucopogon sp,S,5,20.8,0.004,2.8,1.5
4,Cox's Gap,Lomandra confertifolia,G,1.4,221.3,0.159,2.2,0.75
4,Cox's Gap,Lomandra glauca,G,20,172.2,0.009,2.7,0.25
4,Cox's Gap,Persoonia linearis,S,4,123.9,0.031,3.3,1.5
4,Cox's Gap,Phebalium squamulosum,S,5.3,104.3,0.02,5.2,1.5
4,Cox's Gap,unk4_1 sp,,4.5,5.2,0.001,1.3,0.15
4,Cox's Gap,unk4_1a sp,,5.8,338.2,0.058,16.3,1.5
4,Cox's Gap,unk4_1b sp,,3.3,4.1,0.001,1.1,1
42,Myall Lakes,Acacia suaveolens,S,5.8,309.9,0.053,2.7,0.3
42,Myall Lakes,Acacia ulicifolia,T,16.3,23.5,0.001,2.6,1
42,Myall Lakes,Actinotus helianthi,H,9,36.6,0.004,3.7,0.3
42,Myall Lakes,Angophora costata,T,1.3,311.8,0.236,8.8,10
42,Myall Lakes,Banksia serrata,T,1.1,893.5,0.785,16,5
42,Myall Lakes,Brachyloma sp,S,34.7,38.2,0.001,4.8,0.75
42,Myall Lakes,Conospermum taxifolium,S,6.7,44.9,0.007,3.2,1.5
42,Myall Lakes,Epacris pulchella,S,15.5,13,0.001,3.1,0.75
42,Myall Lakes,Eucalyptus pilularis,T,1.1,666.6,0.603,15.1,15
42,Myall Lakes,Gompholobium grandiflorum,S,7.1,37.9,0.005,1.9,1.5
42,Myall Lakes,Leptospermum laevigatum,S,6.5,34.1,0.005,2.8,2
42,Myall Lakes,Leucopogon esquamatus,S,7.6,14.4,0.002,2,1.5
42,Myall Lakes,Monotoca elliptica,S,5.3,13.5,0.003,1.9,0.5
42,Myall Lakes,Persoonia levis,S,1.4,755.8,0.541,17.2,2
42,Myall Lakes,Pimelea linifolia,S,11.2,27.2,0.002,2.4,1
42,Myall Lakes,Platysace lanceolata,S,8.2,64.3,0.008,3.1,1
42,Myall Lakes,Styphelia viridis,S,8.1,149.8,0.019,6.7,1.5
42,Myall Lakes,Xanthorrhoea sp,S,0.5,649.4,1.283,2.8,1.5
43,Copeland,Acacia irrorata,T,15.6,1.6,0,0.5,10
43,Copeland,Amyema pendulum pendulum,EP,3.8,1048.1,0.277,8.1,1.5
43,Copeland,Amyema sp,EP,3.8,802.3,0.213,12.4,0.4
43,Copeland,Angophora sp,,9.2,1362.1,0.149,20.5,1.5
43,Copeland,Bursaria spinosa,S,12,51.8,0.004,5.3,7
43,Copeland,Cissus antarctica,V,11.1,3537.9,0.319,52.1,0.8
43,Copeland,Desmodium sp,T,25.8,20.4,0.001,3.9,0.1
43,Copeland,Dianella caerulea,H,4,770.2,0.194,3.5,0.35
43,Copeland,Diospyros australis,S,6.1,1424.9,0.235,27.4,2
43,Copeland,Eucalyptus obliqua,T,7.5,1678.8,0.225,26.6,25
43,Copeland,Eucalyptus saligna,T,7.2,3648.7,0.504,36.4,25
43,Copeland,Eupomatia laurina,T,10.3,3428.1,0.333,41.9,7
43,Copeland,Eustrephus latifolius,V,27.3,286.6,0.01,8.4,0.39
43,Copeland,Exocarpos cupressiformis,T,5.2,15.7,0.003,0.6,8
43,Copeland,Galium propinquum,H,49.4,5.3,0,1.6,0.05
43,Copeland,Helichrysum elatum,S,24.4,637.4,0.026,18.1,0.35
43,Copeland,Hibbertia dentata,V,12,463,0.039,15.9,0.05
43,Copeland,Hibbertia scandens,V,10.9,1145,0.105,24.3,0.3
43,Copeland,Lomandra longifolia,G,1.8,2812.5,1.542,3.8,0.8
43,Copeland,Ochrosia moorei,,8.7,2497.7,0.287,36.1,3
43,Copeland,Olearia erubescens,S,17.9,627,0.035,14,1.5
43,Copeland,Pandorea pandorana,V,24.3,20.9,0.001,3.7,0.5
43,Copeland,Pratia purpurascens,H,35.7,48,0.001,5.6,0.05
43,Copeland,Psychotria loniceroides,S,10.2,1648.9,0.162,29.4,1.15
43,Copeland,Pteridium esculentum,F,8.3,389.5,0.047,3.1,1.2
43,Copeland,Rubus hillii,V,12.8,1439.9,0.113,30.8,0.35
43,Copeland,Santalum obtusifolium,T,6.5,311.9,0.048,7.4,4.5
43,Copeland,Smilax glyciphylla,V,22.6,917.8,0.041,26,0.05
43,Copeland,Synoum glandulosum,S,10.4,1045.6,0.1,23.1,5
43,Copeland,Tristaniopsis collina,T,8.2,905.6,0.111,20.2,7
43,Copeland,Trochocarpa laurina,T,7.6,735,0.096,20,6
43,Copeland,unk43_24 sp,,18.5,164.3,0.009,0.6,0.35
43,Copeland,Veronica plebeia,H,21.1,30.3,0.001,4.2,0.04
43,Copeland,Viola hederacea,H,21.7,149.9,0.007,9.3,0.1
43,Copeland,Zieria smithii,S,16.4,438.1,0.027,13.7,3
44,Strickland,Adiantum formosum,F,29.2,59.7,0.002,4.7,0.4
44,Strickland,Alphitonia excelsa,T,17,1758.7,0.103,30.1,35
44,Strickland,Archontophoenix cunninghamiana,T,12.2,6753.1,0.555,24.8,3
44,Strickland,Blechnum patersonii,F,16.2,3716.2,0.229,15.4,0.4
44,Strickland,Canthium coprosmoides,S,8.5,1353.6,0.16,27.8,1.4
44,Strickland,Ceratopetalum apetalum,T,12.4,2575.2,0.208,31.2,30
44,Strickland,Cissus antarctica,V,19,6504.8,0.343,72.3,2
44,Strickland,Cissus hypoglauca,V,8.5,1259,0.148,32.1,15
44,Strickland,Citriobatus pauciflorus,S,18,39.7,0.002,6.2,2
44,Strickland,Croton verreauxii,S,11.4,12631.4,1.109,73,1.3
44,Strickland,Cryptocarya microneura,S,11,2467.8,0.225,34.2,1.2
44,Strickland,Cyathea australis,F,17.2,717.6,0.042,2.9,3
44,Strickland,Doryphora sassafras,T,11.4,2152.6,0.189,34.1,10
44,Strickland,Diospyros australis,S,8.3,2231.3,0.269,28.4,2
44,Strickland,Eucalyptus saligna,T,7.2,3648.7,0.504,36.4,45
44,Strickland,Flagellaria indica,V,18.5,1438.2,0.078,7.8,2
44,Strickland,Gymnostachys anceps,,3,15586.6,5.255,13.1,1.2
44,Strickland,Lastreopsis decomposita,F,30.5,128.5,0.004,4.2,0.5
44,Strickland,Livistona australis,T,7.8,8574.5,1.106,22,25
44,Strickland,Marsdenia rostrata,V,30.8,2554.8,0.083,39.1,1.8
44,Strickland,Morinda jasminoides,V,31.9,986.1,0.031,24.1,20
44,Strickland,Neolitsea dealbata,S,13.6,3840.6,0.283,49.8,1.65
44,Strickland,Palmeria scandens,,18.7,3924,0.21,48.2,0.6
44,Strickland,Piper novae-hollandiae,V,11.2,2291.5,0.205,45.3,1.3
44,Strickland,Polyosma cunninghamii,S,17.1,2562.1,0.149,35.4,2
44,Strickland,Psychotria loniceroides,S,15.6,4005.7,0.257,46.2,1
44,Strickland,Ripogonum fawcettianum,V,14.4,1077.7,0.075,24.2,4.17
44,Strickland,Rubus moorei,H,25.5,1724,0.068,37.1,0.5
44,Strickland,Sloanea australis,T,18,3190.4,0.177,45.8,4.5
44,Strickland,Smilax glyciphylla,V,18.5,2406.1,0.13,34.7,1
44,Strickland,Syncarpia glomulifera,T,8.8,2450.2,0.277,36.1,35
44,Strickland,Synoum glandulosum,S,14.2,2510,0.177,36.1,3
44,Strickland,Syzygium oleosum,T,13,913.9,0.07,26.9,8
44,Strickland,Tasmannia insipida,S,13.2,2782.6,0.211,29.2,1.8
44,Strickland,Trochocarpa laurina,T,12,1410.5,0.117,31.7,1.8
44,Strickland,unk44_33 sp,,22.1,2270,0.103,33.9,0.35
44,Strickland,unk44_39 sp,,13,1009.2,0.078,11.3,0.6
44,Strickland,Wilkiea huegeliana,S,9.2,3500.1,0.381,42.5,2
45,Macquarie Pass,Alectryon subcinereus,T,13.3,4919.3,0.37,58.4,1.5
45,Macquarie Pass,Alocasia brisbanensis,,46.8,6249.4,0.134,61.6,0.25
45,Macquarie Pass,Alphitonia excelsa,T,9.9,2092.8,0.211,28.8,20
45,Macquarie Pass,Arthropteris tenella,,24.2,324.6,0.013,11.7,0.1
45,Macquarie Pass,Ceratopetalum apetalum,T,17.4,2738.5,0.157,34.2,1.6
45,Macquarie Pass,Citriobatus pauciflorus,S,16.3,46.9,0.003,6.9,3
45,Macquarie Pass,Claoxylon australe,,27.5,1674.9,0.061,30.3,2
45,Macquarie Pass,Clematis sp,V,36.7,1009.3,0.028,24.3,0.1
45,Macquarie Pass,Diospyros australis,S,7.4,1928,0.261,34.7,0.08
45,Macquarie Pass,Diploglottis cunninghamii,,10.2,9546.9,0.939,72.8,15
45,Macquarie Pass,Doryphora sassafras,T,11.1,1848.1,0.166,33.4,15
45,Macquarie Pass,Eustrephus latifolius,V,21.6,1278.4,0.059,23.9,3
45,Macquarie Pass,Gymnostachys anceps,,3,11223.8,3.699,11,1.7
45,Macquarie Pass,Hippocratea barbata,V,38.7,713.8,0.018,15.6,1.3
