site,name_edited,leaf_type(B/N),evergreen/deciduous(E/D),photosynthetic_pathway,plant_growth_form,GrowthForm2 (woody/herbaceuous),N-fixer (Y/N),delta_13C,collector,latitude,longitude,vegetation,MAP (mm),date,name_original,rep,age,lab_or_tree_number,notes,NRA pkat/g fw wo NO3,NRA pkat/g fw w NO3,family
Gambubal,Argyrodendron trifoliatum,NA,NA,NA,NA,NA,NA,-31.82,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Argyrodendron trifoliatum,2,intermed,Sus 92 4,NA,NA,NA,NA
Gambubal,Baloghia inophylla,NA,NA,NA,NA,NA,NA,-30.52,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Baloghia lucida,2,intermed,2,NA,NA,NA,NA
Gambubal,Cedrela aclerata,NA,NA,NA,NA,NA,NA,-28.51,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Cedrela aclerata,2,low,3,NA,NA,NA,NA
Gambubal,Citriobatus lancifolius,NA,NA,NA,NA,NA,NA,-31.76,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Citriobatus lancifolius,2,sapling,6,NA,NA,NA,NA
Gambubal,Dubosia myoporoides,NA,NA,NA,vine,NA,NA,-29.48,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Dubosia myoporoides,2,NA,767,herbs/shrubs/samples from ecotone,NA,NA,NA
Gambubal,Elaeocarpus angustifolius,NA,NA,NA,vine,NA,NA,-28.45,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Elaeocarpus grandis,2,NA,762,herbs/shrubs/samples from ecotone,NA,NA,NA
Gambubal,Eucalyptus campanulata,NA,NA,NA,NA,NA,NA,-31.58,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Eucalyptus campanulata,2,NA,674,herbs/shrubs/samples from ecotone,NA,NA,NA
Gambubal,Eucalyptus saligna,NA,NA,NA,vine,NA,NA,-28.86,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Eucalyptus saligna,2,NA,781,herbs/shrubs/samples from ecotone,NA,NA,NA
Gambubal,Geijera salicifolia,NA,NA,NA,NA,NA,NA,-33.15,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Geijera salicifolia,2,NA,764,herbs/shrubs/samples from ecotone,NA,NA,NA
Gambubal,Gmelina leichhardii,NA,NA,NA,shrub,NA,NA,-27.53,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Gmelina leichhardii,2,NA,765,herbs/shrubs/samples from ecotone,NA,NA,NA
Gambubal,Khaya nyastica,NA,NA,NA,NA,NA,NA,-28.57,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Khaya nyastica,2,NA,766,herbs/shrubs/samples from ecotone,NA,NA,NA
Gambubal,Lomatia arborescens,NA,NA,NA,NA,NA,NA,-28.66,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Lomatia arborescens,2,NA,770,herbs/shrubs/samples from ecotone,NA,NA,NA
Gambubal,Orites excelsus,NA,NA,NA,NA,NA,NA,-31.72,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Orytes excelsa,2,NA,771,herbs/shrubs/samples from ecotone,NA,NA,NA
Gambubal,Orites excelsus,NA,NA,NA,NA,NA,NA,-30.55,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Orytes excelsa,2,NA,772,herbs/shrubs/samples from ecotone,NA,NA,NA
Gambubal,Pennatia cunninghamii,NA,NA,NA,NA,NA,NA,-33.88,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Pennatia cunninghamii,2,NA,773,herbs/shrubs/samples from ecotone,NA,NA,NA
Gambubal,Sloanea woollsii,NA,NA,NA,NA,NA,NA,-27.01,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Sloanea woollsii,2,NA,782,herbs/shrubs/samples from ecotone,NA,NA,NA
Gambubal,Sloanea woollsii,NA,NA,NA,NA,NA,NA,-27.17,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Sloanea woollsii,2,NA,768,NA,NA,NA,NA
Gambubal,Sloanea woollsii,NA,NA,NA,NA,NA,NA,-30.07,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Sloanea woollsii,2,NA,775,NA,NA,NA,NA
Gambubal,Sloanea woollsii,NA,NA,NA,NA,NA,NA,-31.34,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Sloanea woollsii,2,sapling,15,NA,NA,NA,NA
Gambubal,Palmeria scandens,NA,NA,NA,NA,NA,NA,-31.31,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Palmeria scandens,2,sapling,16,NA,NA,NA,NA
Gambubal,Morinda jasminoides,NA,NA,NA,NA,NA,NA,-31.91,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Merinda jasminoides,2,sapling,17,NA,NA,NA,NA
Gambubal,Morinda jasminoides,NA,NA,NA,NA,NA,NA,-31.74,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Merinda jasminoides,2,NA,670,NA,NA,NA,NA
Gambubal,Cissus hypoglauca,NA,NA,NA,NA,NA,NA,-28.31,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Cissus hypoglauca,2,NA,777,NA,NA,NA,NA
Gambubal,Pandorea jasminoides ?,NA,NA,NA,NA,NA,NA,-31.27,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Pimelea? jasminoides,2,NA,778,NA,NA,NA,NA
Gambubal,Rubus moluccanus,NA,NA,NA,NA,NA,NA,-32.44,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Rubus mollucanus,2,NA,780,NA,NA,NA,NA
Gambubal,Rubus rosifolius,NA,NA,NA,NA,NA,NA,-33.04,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Rubus rosifolius,2,NA,672,NA,NA,NA,NA
Gambubal,Rubus moluccanus,NA,NA,NA,NA,NA,NA,-26.29,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Rubus mollucanus,2,NA,671,NA,NA,NA,NA
Gambubal,Rubus moluccanus,NA,NA,NA,NA,NA,NA,-27.37,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Rubus mollucanus,2,NA,783,NA,NA,NA,NA
Gambubal,Geranium solanderi,NA,NA,NA,NA,NA,NA,-30.8,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Geranium solanderi,2,NA,761,NA,NA,NA,NA
Gambubal,Geranium solanderi,NA,NA,NA,NA,NA,NA,-30.16,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Geranium solanderi,2,NA,779,NA,NA,NA,NA
Gambubal,Khaya nyastica,NA,NA,NA,NA,NA,NA,-25.89,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Khaya nyastica,2,NA,668,NA,NA,NA,NA
Gambubal,Acacia falcata,NA,NA,NA,NA,NA,NA,-31.32,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Acacia falcata,3,NA,769,NA,NA,NA,NA
Gambubal,Acacia melanoxylon,NA,NA,NA,NA,NA,NA,-29.73,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Acacia melanoxylon,3,NA,774,NA,NA,NA,NA
Gambubal,Achmena ingens,NA,NA,NA,NA,NA,NA,-33.21,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Achmena ingens,3,NA,673,NA,NA,NA,NA
Gambubal,Achmena ingens,NA,NA,NA,NA,NA,NA,-30.79,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Achmena ingens,3,NA,669,NA,NA,NA,NA
Gambubal,Achmena ingens,NA,NA,NA,NA,NA,NA,-28.5,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Achmena ingens,3,NA,784,NA,NA,NA,NA
Gambubal,Acmena ingens,NA,NA,NA,NA,NA,NA,-28.62,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Acmena ingens,3,NA,776,NA,NA,NA,NA
Gambubal,Acmena smithii,NA,NA,NA,NA,NA,NA,-28.94,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Acmena smithii,3,sapling,12,NA,NA,NA,NA
Gambubal,Acmena smithii,NA,NA,NA,NA,NA,NA,-27.62,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Acmena smithii,3,sapling,14,NA,NA,NA,NA
Gambubal,Acmena smithii,NA,NA,NA,NA,NA,NA,-30.99,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Acmena smithii,3,NA,675,NA,NA,NA,NA
Gambubal,Argyrodendron trifoliatum,NA,NA,NA,NA,NA,NA,-31.81,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Argyrodendron trifoliatum,3,intermed,Sus 92 4,NA,NA,NA,NA
Gambubal,Baloghia inophylla,NA,NA,NA,NA,NA,NA,-30.59,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Baloghia lucida,3,intermed,2,NA,NA,NA,NA
Gambubal,Cedrela aclerata,NA,NA,NA,NA,NA,NA,-28.52,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Cedrela aclerata,3,low,3,NA,NA,NA,NA
Gambubal,Citriobatus lancifolius,NA,NA,NA,NA,NA,NA,-31.76,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Citriobatus lancifolius,3,sapling,6,NA,NA,NA,NA
Gambubal,Dubosia myoporoides,NA,NA,NA,vine,NA,NA,-29.46,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Dubosia myoporoides,3,NA,767,herbs/shrubs/samples from ecotone,NA,NA,NA
Gambubal,Elaeocarpus angustifolius,NA,NA,NA,vine,NA,NA,-28.46,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Elaeocarpus grandis,3,NA,762,herbs/shrubs/samples from ecotone,NA,NA,NA
Gambubal,Eucalyptus campanulata,NA,NA,NA,NA,NA,NA,-31.55,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Eucalyptus campanulata,3,NA,674,herbs/shrubs/samples from ecotone,NA,NA,NA
Gambubal,Eucalyptus saligna,NA,NA,NA,vine,NA,NA,-28.9,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Eucalyptus saligna,3,NA,781,herbs/shrubs/samples from ecotone,NA,NA,NA
Gambubal,Geijera salicifolia,NA,NA,NA,NA,NA,NA,-33.09,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Geijera salicifolia,3,NA,764,herbs/shrubs/samples from ecotone,NA,NA,NA
Gambubal,Gmelina leichhardii,NA,NA,NA,shrub,NA,NA,-27.54,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Gmelina leichhardii,3,NA,765,herbs/shrubs/samples from ecotone,NA,NA,NA
Gambubal,Khaya nyastica,NA,NA,NA,NA,NA,NA,-28.55,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Khaya nyastica,3,NA,766,herbs/shrubs/samples from ecotone,NA,NA,NA
Gambubal,Lomatia arborescens,NA,NA,NA,NA,NA,NA,-28.68,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Lomatia arborescens,3,NA,770,herbs/shrubs/samples from ecotone,NA,NA,NA
Gambubal,Orites excelsus,NA,NA,NA,NA,NA,NA,-31.56,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Orytes excelsa,3,NA,771,herbs/shrubs/samples from ecotone,NA,NA,NA
Gambubal,Orites excelsus,NA,NA,NA,NA,NA,NA,-30.7,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Orytes excelsa,3,NA,772,herbs/shrubs/samples from ecotone,NA,NA,NA
Gambubal,Pennatia cunninghamii,NA,NA,NA,NA,NA,NA,-33.86,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Pennatia cunninghamii,3,NA,773,herbs/shrubs/samples from ecotone,NA,NA,NA
Gambubal,Sloanea woollsii,NA,NA,NA,NA,NA,NA,-27.05,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Sloanea woollsii,3,NA,782,herbs/shrubs/samples from ecotone,NA,NA,NA
Gambubal,Sloanea woollsii,NA,NA,NA,NA,NA,NA,-27.09,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Sloanea woollsii,3,NA,NA,NA,NA,NA,NA
Gambubal,Sloanea woollsii,NA,NA,NA,NA,NA,NA,-30,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Sloanea woollsii,3,NA,NA,NA,NA,NA,NA
Gambubal,Sloanea woollsii,NA,NA,NA,NA,NA,NA,-31.36,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Sloanea woollsii,3,NA,NA,NA,NA,NA,NA
Gambubal,Palmeria scandens,NA,NA,NA,NA,NA,NA,-31.25,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Palmeria scandens,3,NA,NA,NA,NA,NA,NA
Gambubal,Morinda jasminoides,NA,NA,NA,NA,NA,NA,-31.98,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Merinda jasminoides,3,NA,NA,NA,NA,NA,NA
Gambubal,Morinda jasminoides,NA,NA,NA,NA,NA,NA,-31.66,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Merinda jasminoides,3,NA,NA,NA,NA,NA,NA
Gambubal,Cissus hypoglauca,NA,NA,NA,NA,NA,NA,-28.26,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Cissus hypoglauca,3,NA,NA,NA,NA,NA,NA
Gambubal,Pandorea jasminoides ?,NA,NA,NA,NA,NA,NA,-31.27,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Pimelea? jasminoides,3,NA,NA,NA,NA,NA,NA
Gambubal,Rubus moluccanus,NA,NA,NA,NA,NA,NA,-32.45,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Rubus mollucanus,3,NA,NA,NA,NA,NA,NA
Gambubal,Rubus rosifolius,NA,NA,NA,NA,NA,NA,-33.02,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Rubus rosifolius,3,NA,NA,NA,NA,NA,NA
Gambubal,Rubus moluccanus,NA,NA,NA,NA,NA,NA,-26.39,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Rubus mollucanus,3,NA,NA,NA,NA,NA,NA
Gambubal,Rubus moluccanus,NA,NA,NA,NA,NA,NA,-27.34,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Rubus mollucanus,3,NA,NA,NA,NA,NA,NA
Gambubal,Geranium solanderi,NA,NA,NA,NA,NA,NA,-30.94,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Geranium solanderi,3,NA,NA,NA,NA,NA,NA
Gambubal,Geranium solanderi,NA,NA,NA,NA,NA,NA,-30.36,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Geranium solanderi,3,NA,NA,NA,NA,NA,NA
Gambubal,Khaya nyastica,NA,NA,NA,NA,NA,NA,-25.66,Brett Kuskopf,-28.03,152.83,Subtropical forest,1199,early 1993,Khaya nyastica,3,NA,NA,NA,NA,NA,NA
Idalia,Acacia aneura,NA,NA,NA,NA,NA,NA,-25.5,NA,-24.08,145,Tropical woodland,450,1992,A. aneura,1,NA,NA,NA,NA,NA,NA
Idalia,Acacia aneura,NA,NA,NA,NA,NA,NA,-25.6,NA,-24.08,145,Tropical woodland,450,1992,A. aneura,2,NA,NA,NA,NA,NA,NA
Idalia,Acacia aneura,NA,NA,NA,NA,NA,NA,-25.5,NA,-24.08,145,Tropical woodland,450,1992,A. aneura,3,NA,NA,NA,NA,NA,NA
Idalia,Acacia catenulata,NA,NA,NA,NA,NA,NA,-26.4,NA,-24.08,145,Tropical woodland,450,1992,Bendi Host,1,NA,NA,host,NA,NA,NA
Idalia,Acacia catenulata,NA,NA,NA,NA,NA,NA,-26.4,NA,-24.08,145,Tropical woodland,450,1992,Bendi Host,2,NA,NA,host,NA,NA,NA
Idalia,Acacia catenulata,NA,NA,NA,NA,NA,NA,-26.4,NA,-24.08,145,Tropical woodland,450,1992,Bendi Host,3,NA,NA,host,NA,NA,NA
Idalia,Acacia harpophylla,NA,NA,NA,NA,NA,NA,-28.8,NA,-24.08,145,Tropical woodland,450,1992,A.harpophylla,1,NA,NA,NA,NA,NA,NA
Idalia,Acacia harpophylla,NA,NA,NA,NA,NA,NA,-28.8,NA,-24.08,145,Tropical woodland,450,1992,A.harpophylla,2,NA,NA,NA,NA,NA,NA
Idalia,Acacia harpophylla,NA,NA,NA,NA,NA,NA,-28.9,NA,-24.08,145,Tropical woodland,450,1992,A.harpophylla,3,NA,NA,NA,NA,NA,NA
Idalia,Acacia harpophylla Host,NA,NA,NA,NA,NA,NA,-29,NA,-24.08,145,Tropical woodland,450,1992,Acacia harpophylla Host,1,NA,NA,host,NA,NA,NA
Idalia,Acacia harpophylla Host,NA,NA,NA,NA,NA,NA,-29,NA,-24.08,145,Tropical woodland,450,1992,Acacia harpophylla Host,2,NA,NA,host,NA,NA,NA
Idalia,Acacia harpophylla Host,NA,NA,NA,NA,NA,NA,-29,NA,-24.08,145,Tropical woodland,450,1992,Acacia harpophylla Host,3,NA,NA,host,NA,NA,NA
Idalia,Alectryon oleifolius,NA,NA,NA,NA,NA,NA,-26.7,NA,-24.08,145,Tropical woodland,450,1992,Heterodendron obifolium Host,1,NA,NA,host,NA,NA,NA
Idalia,Alectryon oleifolius,NA,NA,NA,NA,NA,NA,-26.9,NA,-24.08,145,Tropical woodland,450,1992,Heterodendron obifolium Host,2,NA,NA,host,NA,NA,NA
Idalia,Alectryon oleifolius,NA,NA,NA,NA,NA,NA,-26.5,NA,-24.08,145,Tropical woodland,450,1992,Heterodendron obifolium Host,3,NA,NA,host,NA,NA,NA
Idalia,Amyema maidenii,NA,NA,NA,NA,NA,NA,-29.5,NA,-24.08,145,Tropical woodland,450,1992,Ameana maidenii,1,NA,NA,NA,NA,NA,NA
Idalia,Amyema maidenii,NA,NA,NA,NA,NA,NA,-29.6,NA,-24.08,145,Tropical woodland,450,1992,Ameana maidenii,2,NA,NA,NA,NA,NA,NA
Idalia,Amyema maidenii,NA,NA,NA,NA,NA,NA,-29.6,NA,-24.08,145,Tropical woodland,450,1992,Ameana maidenii,3,NA,NA,NA,NA,NA,NA
Idalia,Amyema quandang,NA,NA,NA,NA,NA,NA,-27.7,NA,-24.08,145,Tropical woodland,450,1992,Ameana quondong,1,NA,NA,NA,NA,NA,NA
Idalia,Amyema quandang,NA,NA,NA,NA,NA,NA,-27.8,NA,-24.08,145,Tropical woodland,450,1992,Ameana quondong,2,NA,NA,NA,NA,NA,NA
Idalia,Amyema quandang,NA,NA,NA,NA,NA,NA,-27.5,NA,-24.08,145,Tropical woodland,450,1992,Ameana quondong,3,NA,NA,NA,NA,NA,NA
Idalia,Apophyllum anomalum,NA,NA,NA,NA,NA,NA,-26.9,NA,-24.08,145,Tropical woodland,450,1992,Apophyllum,1,NA,NA,NA,NA,NA,NA
Idalia,Apophyllum anomalum,NA,NA,NA,NA,NA,NA,-27,NA,-24.08,145,Tropical woodland,450,1992,Apophyllum,2,NA,NA,NA,NA,NA,NA
Idalia,Apophyllum anomalum,NA,NA,NA,NA,NA,NA,-27.1,NA,-24.08,145,Tropical woodland,450,1992,Apophyllum,3,NA,NA,NA,NA,NA,NA
Idalia,Arachodendropsis Host,NA,NA,NA,NA,NA,NA,-26.4,NA,-24.08,145,Tropical woodland,450,1992,Arachodendropsis Host,1,NA,NA,host,NA,NA,NA
Idalia,Arachodendropsis Host,NA,NA,NA,NA,NA,NA,-26.4,NA,-24.08,145,Tropical woodland,450,1992,Arachodendropsis Host,2,NA,NA,host,NA,NA,NA
Idalia,Arachodendropsis Host,NA,NA,NA,NA,NA,NA,-26.6,NA,-24.08,145,Tropical woodland,450,1992,Arachodendropsis Host,3,NA,NA,host,NA,NA,NA
Idalia,Archidendropsis basaltica,NA,NA,NA,NA,NA,NA,-25.3,NA,-24.08,145,Tropical woodland,450,1992,Archedindro,1,NA,NA,NA,NA,NA,NA
Idalia,Archidendropsis basaltica,NA,NA,NA,NA,NA,NA,-25.4,NA,-24.08,145,Tropical woodland,450,1992,Archedindro,2,NA,NA,NA,NA,NA,NA
Idalia,Archidendropsis basaltica,NA,NA,NA,NA,NA,NA,-25.4,NA,-24.08,145,Tropical woodland,450,1992,Archedindro,3,NA,NA,NA,NA,NA,NA
Idalia,Atalaya hemiglauca,NA,NA,NA,NA,NA,NA,-24.6,NA,-24.08,145,Tropical woodland,450,1992,Attabia hemiglauca HOst,1,NA,NA,host,NA,NA,NA
Idalia,Atalaya hemiglauca,NA,NA,NA,NA,NA,NA,-25.3,NA,-24.08,145,Tropical woodland,450,1992,Attabia hemiglauca Host,1,NA,NA,host,NA,NA,NA
Idalia,Atalaya hemiglauca,NA,NA,NA,NA,NA,NA,-24.8,NA,-24.08,145,Tropical woodland,450,1992,Attabia hemiglauca HOst,2,NA,NA,host,NA,NA,NA
Idalia,Atalaya hemiglauca,NA,NA,NA,NA,NA,NA,-25.3,NA,-24.08,145,Tropical woodland,450,1992,Attabia hemiglauca Host,2,NA,NA,host,NA,NA,NA
Idalia,Atalaya hemiglauca,NA,NA,NA,NA,NA,NA,-24.9,NA,-24.08,145,Tropical woodland,450,1992,Attabia hemiglauca HOst,3,NA,NA,host,NA,NA,NA
Idalia,Atalaya hemiglauca,NA,NA,NA,NA,NA,NA,-25,NA,-24.08,145,Tropical woodland,450,1992,Attabia hemiglauca Host,3,NA,NA,host,NA,NA,NA
Idalia,Atriplex lindegi,NA,NA,CAM,NA,NA,NA,-14.9,NA,-24.08,145,Tropical woodland,450,1992,Atriplex lindegi,1,NA,NA,NA,NA,NA,NA
Idalia,Atriplex lindegi,NA,NA,NA,NA,NA,NA,-15,NA,-24.08,145,Tropical woodland,450,1992,Atriplex lindegi,2,NA,NA,NA,NA,NA,NA
Idalia,Atriplex lindegi,NA,NA,NA,NA,NA,NA,-15,NA,-24.08,145,Tropical woodland,450,1992,Atriplex lindegi,3,NA,NA,NA,NA,NA,NA
Idalia,Capparis lasiantha,NA,NA,NA,NA,NA,NA,-26.5,NA,-24.08,145,Tropical woodland,450,1992,Caparis lavintha,1,NA,NA,NA,NA,NA,NA
Idalia,Capparis lasiantha,NA,NA,NA,NA,NA,NA,-26.7,NA,-24.08,145,Tropical woodland,450,1992,Caparis lavintha,2,NA,NA,NA,NA,NA,NA
Idalia,Capparis lasiantha,NA,NA,NA,NA,NA,NA,-26.5,NA,-24.08,145,Tropical woodland,450,1992,Caparis lavintha,3,NA,NA,NA,NA,NA,NA
Idalia,Capparis mitchellii,NA,NA,NA,NA,NA,NA,-24.9,NA,-24.08,145,Tropical woodland,450,1992,Caparis mitchelli,1,NA,NA,NA,NA,NA,NA
Idalia,Capparis mitchellii,NA,NA,NA,NA,NA,NA,-24.9,NA,-24.08,145,Tropical woodland,450,1992,Caparis mitchelli,2,NA,NA,NA,NA,NA,NA
Idalia,Capparis mitchellii,NA,NA,NA,NA,NA,NA,-24.8,NA,-24.08,145,Tropical woodland,450,1992,Caparis mitchelli,3,NA,NA,NA,NA,NA,NA
Idalia,Carissa ovata,NA,NA,NA,NA,NA,NA,-26.6,NA,-24.08,145,Tropical woodland,450,1992,Carissa ovata,1,NA,NA,NA,NA,NA,NA
Idalia,Carissa ovata,NA,NA,NA,NA,NA,NA,-26.6,NA,-24.08,145,Tropical woodland,450,1992,Carissa ovata,2,NA,NA,NA,NA,NA,NA
Idalia,Carissa ovata,NA,NA,NA,NA,NA,NA,-26.6,NA,-24.08,145,Tropical woodland,450,1992,Carissa ovata,3,NA,NA,NA,NA,NA,NA
Idalia,Cassia artemisioides,NA,NA,NA,NA,NA,NA,-25.5,NA,-24.08,145,Tropical woodland,450,1992,Cassia artemisioides,1,NA,NA,NA,NA,NA,NA
Idalia,Cassia artemisioides,NA,NA,NA,NA,NA,NA,-25.5,NA,-24.08,145,Tropical woodland,450,1992,Cassia artemisioides,2,NA,NA,NA,NA,NA,NA
Idalia,Cassia artemisioides,NA,NA,NA,NA,NA,NA,-25.4,NA,-24.08,145,Tropical woodland,450,1992,Cassia artemisioides,3,NA,NA,NA,NA,NA,NA
Idalia,Cassia nemophylla var. nemophylla,NA,NA,NA,NA,NA,NA,-25.6,NA,-24.08,145,Tropical woodland,450,1992,Cassia nemophylla var. nemophylla,1,NA,NA,NA,NA,NA,NA
Idalia,Cassia nemophylla var. nemophylla,NA,NA,NA,NA,NA,NA,-25.4,NA,-24.08,145,Tropical woodland,450,1992,Cassia nemophylla var. nemophylla,2,NA,NA,NA,NA,NA,NA
Idalia,Cassia nemophylla var. nemophylla,NA,NA,NA,NA,NA,NA,-25.4,NA,-24.08,145,Tropical woodland,450,1992,Cassia nemophylla var. nemophylla,3,NA,NA,NA,NA,NA,NA
Idalia,Cassia nemophylla var. zygophylla,NA,NA,NA,NA,NA,NA,-25.5,NA,-24.08,145,Tropical woodland,450,1992,Cassia nemophylla var. zygophylla,1,NA,NA,NA,NA,NA,NA
Idalia,Cassia nemophylla var. zygophylla,NA,NA,NA,NA,NA,NA,-25.5,NA,-24.08,145,Tropical woodland,450,1992,Cassia nemophylla var. zygophylla,2,NA,NA,NA,NA,NA,NA
Idalia,Cassia nemophylla var. zygophylla,NA,NA,NA,NA,NA,NA,-25.7,NA,-24.08,145,Tropical woodland,450,1992,Cassia nemophylla var. zygophylla,3,NA,NA,NA,NA,NA,NA
Idalia,Cassia oligophylla,NA,NA,NA,NA,NA,NA,-25.5,NA,-24.08,145,Tropical woodland,450,1992,Cassia oligophylla,1,NA,NA,NA,NA,NA,NA
Idalia,Cassia oligophylla,NA,NA,NA,NA,NA,NA,-25.3,NA,-24.08,145,Tropical woodland,450,1992,Cassia oligophylla,2,NA,NA,NA,NA,NA,NA
Idalia,Cassia oligophylla,NA,NA,NA,NA,NA,NA,-25.5,NA,-24.08,145,Tropical woodland,450,1992,Cassia oligophylla,3,NA,NA,NA,NA,NA,NA
Idalia,Cassia phylodinia,NA,NA,NA,NA,NA,NA,-26.2,NA,-24.08,145,Tropical woodland,450,1992,Cassia phylodinia,1,NA,NA,NA,NA,NA,NA
Idalia,Cassia phylodinia,NA,NA,NA,NA,NA,NA,-26.2,NA,-24.08,145,Tropical woodland,450,1992,Cassia phylodinia,2,NA,NA,NA,NA,NA,NA
Idalia,Cassia phylodinia,NA,NA,NA,NA,NA,NA,-26.4,NA,-24.08,145,Tropical woodland,450,1992,Cassia phylodinia,3,NA,NA,NA,NA,NA,NA
Idalia,Enchylaena tomentosa,NA,NA,NA,NA,NA,NA,-24.9,NA,-24.08,145,Tropical woodland,450,1992,Enchylaena tormentosa,1,NA,NA,NA,NA,NA,NA
Idalia,Enchylaena tomentosa,NA,NA,NA,NA,NA,NA,-25,NA,-24.08,145,Tropical woodland,450,1992,Enchylaena tormentosa,2,NA,NA,NA,NA,NA,NA
Idalia,Enchylaena tomentosa,NA,NA,NA,NA,NA,NA,-24.9,NA,-24.08,145,Tropical woodland,450,1992,Enchylaena tormentosa,3,NA,NA,NA,NA,NA,NA
