taxon,longevity ,growth form,leaf longevity,height (m) ,leaf type,leaf length (mm),leaf width (mm) ,leaf shape,seed shape,seed length (mm),seed width (mm) ,seed breadth (mm),flowering ,fruiting,dispersal mode
Stylidium graminifolium,perennial ,herb,evergreen ,,simple,50-300,1.5-5,linear,ellipsoid,1,,,sep-may,oct-may,
Zieria veronicea subsp. Veronicea,perennial ,shrub,evergreen ,0.6,simple,5-18,1-4,lanceolate,,,,,aug-nov,oct-nov,
Australina pusilla subsp. Muelleri,perennial ,herb,evergreen ,0.6,simple,35,,elliptic,,,,,oct-nov,oct-nov,
Calandrinia granulifera,annual,herb,,,simple,10,2-5,oblanceolate,obovate,0.5,,,sep-nov,oct-nov,
Atherosperma moschatum,perennial ,tree,evergreen ,30,simple,25-110,8-50,lanceolate,,,,,jun-oct,sep-apr,
Correa alba,perennial ,shrub,evergreen ,3,simple,7-46,4.5-28.5,elliptic,,,,,mar-dec,sep-apr,
Correa alba var. alba,perennial ,shrub,evergreen ,3,simple,7-46,4.5-28.5,elliptic,,,,,mar-dec,sep-apr,
Correa alba var. rotundifolia,perennial ,shrub,evergreen ,3,simple,5-28,2.5-27,elliptic,,,,,mar-dec,sep-apr,
Ptilotus spathulatus,perennial ,herb,,,simple,,,,,,,,sep-apr,sep-apr,
Dichondra repens,perennial ,herb,evergreen ,0.1,simple,5-25,5-35,reniform,ellipsoid,1-1.5,,,sep-apr,sep-apr,
Drosera pygmaea,perennial ,herb,evergreen ,,simple,1-2.5,1-2.5,peltate,oblong,0.4,,,sep-apr,sep-apr,
Pelargonium australe,perennial ,herb,evergreen ,,simple,20-100,20-100,orbicular,,,,,sep-apr,sep-apr,
Oxalis radicosa,perennial ,herb,evergreen ,0.35,compound,4-15,5-15,obcordate,,,,,sep-apr,sep-apr,
Ranunculus crassipes,perennial ,herb,evergreen ,0.3,compound,1.5-23,3-35,orbicular,,,,,sep-apr,sep-apr,
Ranunculus pumilio var. pumilio,perennial ,herb,evergreen ,0.4,simple,3-30,4-40,lanceolate,,,,,aug-dec,sep-dec,
Cassytha melantha,perennial ,vine,evergreen ,,,,,,globose,0.5,0.5,0.5,jun-dec,sep-dec,
Hibbertia obtusifolia,perennial ,shrub,evergreen ,,simple,10-20,1.5-5,oblanceolate,,,,,sep-dec,sep-dec,
Geranium retrorsum,perennial ,herb,evergreen ,,simple,10-45,10-45,orbicular,,,,,sep-dec,sep-dec,
Goodenia pinnatifida,perennial ,herb,evergreen ,0.35,simple,20-80,4-20,ovate,,,,,sep-dec,sep-dec,
Boronia hemichiton,perennial ,shrub,evergreen ,0.3,compound,2-9,0.5-1,linear,,,,,sep-dec,sep-dec,
Tetratheca procumbens,perennial ,shrub,evergreen ,,simple,2-8,0.5-2,linear,oblong,,,,sep-feb,sep-feb,
Ranunculus diminutus,perennial ,herb,evergreen ,0.3,compound,6-12,1-1.5,elliptic,,,,,sep-feb,sep-feb,
Hibbertia serpyllifolia,perennial ,shrub,evergreen ,,simple,1.5-6.5,0.5-1.2,linear,,,,,sep-jan,sep-jan,
Drosera foliosa,perennial ,herb,evergreen ,,simple,7-11,7-11,orbicular,cylindrical,0.3-0.4,,,sep-jan,sep-jan,
Tetratheca pilosa,perennial ,shrub,evergreen ,0.6,simple,2-15,1-5,linear,oblong,,,,sep-jan,sep-jan,
Tetratheca pilosa subsp. Pilosa,perennial ,shrub,evergreen ,0.6,simple,2-15,1-1.5,linear,,,,,sep-jan,sep-jan,
Tetratheca pilosa subsp. Latifolia,perennial ,shrub,evergreen ,0.5,simple,5-11,1-5,elliptic,,,,,sep-jan,sep-jan,
Trithuria submersa,annual,herb,,,,,,,,,,,sep-jan,sep-jan,
Muehlenbeckia adpressa,perennial ,shrub,evergreen ,,simple,15-70,10-50,orbicular,,,,,sep-jan,sep-jan,
Goodenia ovata,perennial ,shrub,evergreen ,2,simple,20-80,4-20,ovate,,,,,sep-jun,sep-jun,
Viola cleistogamoides,perennial ,herb,evergreen ,0.3,simple,5-15,5-50,ovate,ovoid,1-1.5,1-1.5,,sep-dec,sep-mar,
Hemichroa pentandra,perennial ,herb,,0.2,simple,8-16,,linear,,,,,sep-mar,sep-mar,
Hibbertia procumbens,perennial ,shrub,evergreen ,0.3,simple,3-15,0.5-2,linear,,,,,sep-mar,sep-mar,
Pelargonium inodorum,perennial ,herb,evergreen ,,simple,,,,,,,,sep-mar,sep-mar,
Urtica incisa,perennial ,herb,evergreen ,,simple,150,5-50,lanceolate,,,,,sep-mar,sep-mar,
Tasmannia lanceolata,perennial ,shrub,evergreen ,5,simple,15-130,5-40,elliptic,,,,,sep-nov,sep-may,
Drosera glanduligera,annual,herb,,,simple,8-20,,,spherical ,0.4,0.4,0.4,sep-nov,sep-nov,
Tetratheca gunnii,perennial ,shrub,evergreen ,0.3,simple,2-6,0.5-1.5,,,,,,sep-nov,sep-nov,
Hibbertia calycina,perennial ,shrub,evergreen ,1,simple,3.5-15,0.5-1,linear,,,,,apr-jun,sep-oct,
Cassytha pedicellosa,perennial ,vine,evergreen ,,,,,,,2.5,2.3,,,,
