taxon_name,trait_name,value_type,value,unit,retain,entity,measurement_remarks,original_name,observation_id,form,leaf,seed,original_text
Cassia fistula,seed_width,minimum,8,mm,good,,,Cassia fistula,0501,"tree to 20 m tall, deciduous, glabrous except for the pubescent ovary.","leaves 10-50 cm long including petiole 4-7 cm long; leaflets in 2-7 pairs, folded together upwards, oblong-elliptic to ovate, 5-9 cm long, 4-9 cm wide, increasing distally, usually acuminate and acute at the apex.","seeds transverse, 1-seriate, circa 8 mm diam., embedded in blackish pulp, smooth, glossy.","Tree to 20 m tall, deciduous, glabrous except for the pubescent ovary. Leaves 10-50 cm long including petiole 4-7 cm long; stipules caducous; leaflets in 2-7 pairs, folded together upwards, oblong-elliptic to ovate, 5-9 cm long, 4-9 cm wide, increasing distally, usually acuminate and acute at the apex. Inflorescence of 20-75 flowers, 15-65 cm long, pendulous, fragrant; pedicels 3-7 cm long; bracts and bracteoles caducous as the pedicel begins to elongate. Petals 20-30 mm long. Fertile stamens 7, with 3 adaxial staminodes; filaments unequal; shortest adaxial ones c. 5 mm long; longest abaxial ones 25-45 mm long, sigmoidally curved, not nodose; anthers unequal, 2-5 mm long. Pod cylindric, 30-60 cm long, 1.5-2.5 cm diam. Seeds transverse, 1-seriate, c. 8 mm diam., embedded in blackish pulp, smooth, glossy."
Cassia queenslandica,seed_length,minimum,7,mm,good,,,Cassia queenslandica,0502,"shrubs to tall trees, pubescent, but leaves, petals and stamens glabrous.","leaves 20-25 cm long including petiole; leaflets in 5-8 pairs, elliptic to obovate or ovate, 4-8 cm long, 3-4 cm wide, often slightly larger distally, rounded at the apex, discolorous.","seeds transverse, 1-seriate, circa 7 mm long, each enveloped in a dry suberous disc, smooth, reddish.","Shrubs to tall trees, pubescent, but leaves, petals and stamens glabrous. Leaves 20-25 cm long including petiole; stipules caducous; leaflets in 5-8 pairs, elliptic to obovate or ovate, 4-8 cm long, 3-4 cm wide, often slightly larger distally, rounded at the apex, discolorous. Inflorescence of 50-80 flowers, 25-35 cm long; pedicels c. 30 mm long; bracts and bracteoles persistent until anthesis. Petals 15-20 mm long. Fertile stamens 7 with 3 adaxial staminodes; filaments unequal; shorter adaxial ones c. 5 mm long; longer abaxial ones c. 15 mm long, sigmoidally curved, with a swelling above the mid-point; anthers subequal, 2-3 mm long. Pod compressed-cylindric, with or without transverse grooves, 35-50 cm long, 1.5-2 cm diam. Seeds transverse, 1-seriate, c. 7 mm long, each enveloped in a dry suberous disc, smooth, reddish."
Cassia tomentella,leaf_width,minimum,20,mm,good,,,Cassia brewsteri var. tomentella,0611,,,,
Cassytha muelleri,leaf_length,minimum,0.5,mm,good,,,Cassytha muelleri,0633,,"leaves triangular, basifixed, 0.5-1.5 x 0.8 mm.",,"Stem 0.3-1 mm thick, glabrescent to pubescent, light yellow-green or brownish to dark green. Leaves triangular, basifixed, 0.5-1.5 x 0.8 mm. Inflorescence a loose raceme or head, 4-8-flowered, single, paired or fasciculate, sometimes paniculate; peduncle 3-30 mm long, glabrescent to pubescent. Pedicel 1-10 mm long. Floral bracts triangular, inserted in 2 planes; bract c. 1.5 x c. 0.8 mm, glabrescent, ciliate, dark brown (dried); bracteoles smaller, persistent in fruit. Flowers ovoid, 1-2 mm long, white to greenish yellow, pubescent. Sepals triangular-ovate, c. 0.6 mm, pubescent to glabrescent, ciliate. Petals ovate to bluntly acute, 1-1.8 mm long, pubescent to glabrescent outside, with appressed white hairs inside. Fertile stamens 6; stamens of outer whorl spathulate, 1-1.5 x c. 0.7 mm; stamens of second whorl opposite petals sterile, filiform, c. 1 mm long, often adhering to petal; stamens of inner whorl narrowly obovate. Staminodes conical, c. 0.5 mm, white, turning brown, occasionally with white apex; glands ovoid. Ovary fusiform, 1-1.5 x c. 0.5 mm, pubescent. Fruit pyriform, 8-9 x 4-5 mm, smooth, glabrescent, drying dark green to brown, glandular rim well-developed on top, basal obconical portion gradually narrowing into the distinct pedicel."
Cassytha muelleri,leaf_length,maximum,1.5,mm,good,,,Cassytha muelleri,0633,,"leaves triangular, basifixed, 0.5-1.5 x 0.8 mm.",,"Stem 0.3-1 mm thick, glabrescent to pubescent, light yellow-green or brownish to dark green. Leaves triangular, basifixed, 0.5-1.5 x 0.8 mm. Inflorescence a loose raceme or head, 4-8-flowered, single, paired or fasciculate, sometimes paniculate; peduncle 3-30 mm long, glabrescent to pubescent. Pedicel 1-10 mm long. Floral bracts triangular, inserted in 2 planes; bract c. 1.5 x c. 0.8 mm, glabrescent, ciliate, dark brown (dried); bracteoles smaller, persistent in fruit. Flowers ovoid, 1-2 mm long, white to greenish yellow, pubescent. Sepals triangular-ovate, c. 0.6 mm, pubescent to glabrescent, ciliate. Petals ovate to bluntly acute, 1-1.8 mm long, pubescent to glabrescent outside, with appressed white hairs inside. Fertile stamens 6; stamens of outer whorl spathulate, 1-1.5 x c. 0.7 mm; stamens of second whorl opposite petals sterile, filiform, c. 1 mm long, often adhering to petal; stamens of inner whorl narrowly obovate. Staminodes conical, c. 0.5 mm, white, turning brown, occasionally with white apex; glands ovoid. Ovary fusiform, 1-1.5 x c. 0.5 mm, pubescent. Fruit pyriform, 8-9 x 4-5 mm, smooth, glabrescent, drying dark green to brown, glandular rim well-developed on top, basal obconical portion gradually narrowing into the distinct pedicel."
Cassytha muelleri,leaf_width,minimum,0.8,mm,good,,,Cassytha muelleri,0633,,"leaves triangular, basifixed, 0.5-1.5 x 0.8 mm.",,"Stem 0.3-1 mm thick, glabrescent to pubescent, light yellow-green or brownish to dark green. Leaves triangular, basifixed, 0.5-1.5 x 0.8 mm. Inflorescence a loose raceme or head, 4-8-flowered, single, paired or fasciculate, sometimes paniculate; peduncle 3-30 mm long, glabrescent to pubescent. Pedicel 1-10 mm long. Floral bracts triangular, inserted in 2 planes; bract c. 1.5 x c. 0.8 mm, glabrescent, ciliate, dark brown (dried); bracteoles smaller, persistent in fruit. Flowers ovoid, 1-2 mm long, white to greenish yellow, pubescent. Sepals triangular-ovate, c. 0.6 mm, pubescent to glabrescent, ciliate. Petals ovate to bluntly acute, 1-1.8 mm long, pubescent to glabrescent outside, with appressed white hairs inside. Fertile stamens 6; stamens of outer whorl spathulate, 1-1.5 x c. 0.7 mm; stamens of second whorl opposite petals sterile, filiform, c. 1 mm long, often adhering to petal; stamens of inner whorl narrowly obovate. Staminodes conical, c. 0.5 mm, white, turning brown, occasionally with white apex; glands ovoid. Ovary fusiform, 1-1.5 x c. 0.5 mm, pubescent. Fruit pyriform, 8-9 x 4-5 mm, smooth, glabrescent, drying dark green to brown, glandular rim well-developed on top, basal obconical portion gradually narrowing into the distinct pedicel."
Cassytha muelleri,leaf_width,maximum,0.8,mm,good,,,Cassytha muelleri,0633,,"leaves triangular, basifixed, 0.5-1.5 x 0.8 mm.",,"Stem 0.3-1 mm thick, glabrescent to pubescent, light yellow-green or brownish to dark green. Leaves triangular, basifixed, 0.5-1.5 x 0.8 mm. Inflorescence a loose raceme or head, 4-8-flowered, single, paired or fasciculate, sometimes paniculate; peduncle 3-30 mm long, glabrescent to pubescent. Pedicel 1-10 mm long. Floral bracts triangular, inserted in 2 planes; bract c. 1.5 x c. 0.8 mm, glabrescent, ciliate, dark brown (dried); bracteoles smaller, persistent in fruit. Flowers ovoid, 1-2 mm long, white to greenish yellow, pubescent. Sepals triangular-ovate, c. 0.6 mm, pubescent to glabrescent, ciliate. Petals ovate to bluntly acute, 1-1.8 mm long, pubescent to glabrescent outside, with appressed white hairs inside. Fertile stamens 6; stamens of outer whorl spathulate, 1-1.5 x c. 0.7 mm; stamens of second whorl opposite petals sterile, filiform, c. 1 mm long, often adhering to petal; stamens of inner whorl narrowly obovate. Staminodes conical, c. 0.5 mm, white, turning brown, occasionally with white apex; glands ovoid. Ovary fusiform, 1-1.5 x c. 0.5 mm, pubescent. Fruit pyriform, 8-9 x 4-5 mm, smooth, glabrescent, drying dark green to brown, glandular rim well-developed on top, basal obconical portion gradually narrowing into the distinct pedicel."
Cassytha racemosa,leaf_length,minimum,1.5,mm,good,,,Cassytha racemosa,0641,,"leaves ovate-peltate, 1.5-2.5 x 0.5-0.8 mm.",,"Stem (0.3-) 0.7-2 mm thick, glabrescent to pubescent, light yellow-green or brownish to dark green. Leaves ovate-peltate, 1.5-2.5 x 0.5-0.8 mm. Inflorescence a loose raceme or head (1-) 4-8 (-10)-flowered, single, paired or fasciculate, sometimes paniculate; peduncles 3-30 x 0.5-1 mm, glabrescent to pubescent. Pedicel 1-2 x 0.3-0.8 mm, pubescent or glabrescent. Floral bracts inserted at 2 levels; bract ovate and peltate, 0.5-1.2 x 0.3-0.5 mm, pubescent to glabrescent, ciliate; bracteoles smaller, persistent in fruit. Flowers ovoid, 1-2 x 0.9-1.5 mm, white to greenish yellow, pubescent. Sepals triangular-ovate to round, 0.5-0.7 mm, pubescent to glabrescent, ciliate. Petals ovate, 1-1.8 x 0.8-1.5 mm, pubescent to glabrescent outside, appressed white-hairy inside. Fertile stamens 6, first and third whorl light-yellow or white; stamens of second whorl (opposite petals) reduced to staminodes, filiform and c. 1 x 0.3 mm, often adhering to petals throughout length. Staminodes conical, c. 0.5 x c. 0.35 mm, commonly white, occasionally white-tipped; glands ovoid, c. 0.5 mm, occasionally white-tipped. Ovary fusiform, 1-1.5 x c. 0.5 mm, pubescent all over or only in a transverse median ring."
Cassytha racemosa,leaf_length,maximum,2.5,mm,good,,,Cassytha racemosa,0641,,"leaves ovate-peltate, 1.5-2.5 x 0.5-0.8 mm.",,"Stem (0.3-) 0.7-2 mm thick, glabrescent to pubescent, light yellow-green or brownish to dark green. Leaves ovate-peltate, 1.5-2.5 x 0.5-0.8 mm. Inflorescence a loose raceme or head (1-) 4-8 (-10)-flowered, single, paired or fasciculate, sometimes paniculate; peduncles 3-30 x 0.5-1 mm, glabrescent to pubescent. Pedicel 1-2 x 0.3-0.8 mm, pubescent or glabrescent. Floral bracts inserted at 2 levels; bract ovate and peltate, 0.5-1.2 x 0.3-0.5 mm, pubescent to glabrescent, ciliate; bracteoles smaller, persistent in fruit. Flowers ovoid, 1-2 x 0.9-1.5 mm, white to greenish yellow, pubescent. Sepals triangular-ovate to round, 0.5-0.7 mm, pubescent to glabrescent, ciliate. Petals ovate, 1-1.8 x 0.8-1.5 mm, pubescent to glabrescent outside, appressed white-hairy inside. Fertile stamens 6, first and third whorl light-yellow or white; stamens of second whorl (opposite petals) reduced to staminodes, filiform and c. 1 x 0.3 mm, often adhering to petals throughout length. Staminodes conical, c. 0.5 x c. 0.35 mm, commonly white, occasionally white-tipped; glands ovoid, c. 0.5 mm, occasionally white-tipped. Ovary fusiform, 1-1.5 x c. 0.5 mm, pubescent all over or only in a transverse median ring."
Cassytha racemosa,leaf_width,minimum,0.5,mm,good,,,Cassytha racemosa,0641,,"leaves ovate-peltate, 1.5-2.5 x 0.5-0.8 mm.",,"Stem (0.3-) 0.7-2 mm thick, glabrescent to pubescent, light yellow-green or brownish to dark green. Leaves ovate-peltate, 1.5-2.5 x 0.5-0.8 mm. Inflorescence a loose raceme or head (1-) 4-8 (-10)-flowered, single, paired or fasciculate, sometimes paniculate; peduncles 3-30 x 0.5-1 mm, glabrescent to pubescent. Pedicel 1-2 x 0.3-0.8 mm, pubescent or glabrescent. Floral bracts inserted at 2 levels; bract ovate and peltate, 0.5-1.2 x 0.3-0.5 mm, pubescent to glabrescent, ciliate; bracteoles smaller, persistent in fruit. Flowers ovoid, 1-2 x 0.9-1.5 mm, white to greenish yellow, pubescent. Sepals triangular-ovate to round, 0.5-0.7 mm, pubescent to glabrescent, ciliate. Petals ovate, 1-1.8 x 0.8-1.5 mm, pubescent to glabrescent outside, appressed white-hairy inside. Fertile stamens 6, first and third whorl light-yellow or white; stamens of second whorl (opposite petals) reduced to staminodes, filiform and c. 1 x 0.3 mm, often adhering to petals throughout length. Staminodes conical, c. 0.5 x c. 0.35 mm, commonly white, occasionally white-tipped; glands ovoid, c. 0.5 mm, occasionally white-tipped. Ovary fusiform, 1-1.5 x c. 0.5 mm, pubescent all over or only in a transverse median ring."
Cassytha racemosa,leaf_width,maximum,0.8,mm,good,,,Cassytha racemosa,0641,,"leaves ovate-peltate, 1.5-2.5 x 0.5-0.8 mm.",,"Stem (0.3-) 0.7-2 mm thick, glabrescent to pubescent, light yellow-green or brownish to dark green. Leaves ovate-peltate, 1.5-2.5 x 0.5-0.8 mm. Inflorescence a loose raceme or head (1-) 4-8 (-10)-flowered, single, paired or fasciculate, sometimes paniculate; peduncles 3-30 x 0.5-1 mm, glabrescent to pubescent. Pedicel 1-2 x 0.3-0.8 mm, pubescent or glabrescent. Floral bracts inserted at 2 levels; bract ovate and peltate, 0.5-1.2 x 0.3-0.5 mm, pubescent to glabrescent, ciliate; bracteoles smaller, persistent in fruit. Flowers ovoid, 1-2 x 0.9-1.5 mm, white to greenish yellow, pubescent. Sepals triangular-ovate to round, 0.5-0.7 mm, pubescent to glabrescent, ciliate. Petals ovate, 1-1.8 x 0.8-1.5 mm, pubescent to glabrescent outside, appressed white-hairy inside. Fertile stamens 6, first and third whorl light-yellow or white; stamens of second whorl (opposite petals) reduced to staminodes, filiform and c. 1 x 0.3 mm, often adhering to petals throughout length. Staminodes conical, c. 0.5 x c. 0.35 mm, commonly white, occasionally white-tipped; glands ovoid, c. 0.5 mm, occasionally white-tipped. Ovary fusiform, 1-1.5 x c. 0.5 mm, pubescent all over or only in a transverse median ring."
Celastrus subspicatus,leaf_length,minimum,50,mm,good,,no text from David,Celastrus subspicata,0549,,,,
Celastrus subspicatus,leaf_length,maximum,140,mm,good,,no text from David,Celastrus subspicata,0549,,,,
Celastrus subspicatus,leaf_width,minimum,20,mm,good,,no text from David,Celastrus subspicata,0549,,,,
Celastrus subspicatus,leaf_width,maximum,70,mm,good,,no text from David,Celastrus subspicata,0549,,,,
Celastrus subspicatus,seed_length,minimum,4.5,mm,good,,no text from David,Celastrus subspicata,0549,,,,
Celastrus subspicatus,seed_length,maximum,6,mm,good,,no text from David,Celastrus subspicata,0549,,,,
Chamaexeros fimbriata,plant_height,maximum,0.7,m,good,leaf_length,,Chamaexeros fimbriata,0686,,"leaves narrowly linear, terete, to 70 cm long, the margins evident against midrib as 2 fine grooves, very finely scarious; leaves tightly imbricate at base with lacerated scarious margins.",seed circa 3 mm diam.,"Leaves narrowly linear, terete, to 70 cm long, the margins evident against midrib as 2 fine grooves, very finely scarious; leaves tightly imbricate at base with lacerated scarious margins. Inflorescence an open panicle to 60 cm long; bracts c. 1 mm long, acute; pedicels 3-15 mm long; flowers cream, scented. Sepals and petals 2-3 mm long. Capsule 4-6 mm long; often only 1 carpel fertile; perianth persistent. Seed c. 3 mm diam."
Chamaexeros fimbriata,seed_length,minimum,3,mm,good,,,Chamaexeros fimbriata,0572,,"leaves narrowly linear, terete, to 70 cm long, the margins evident against midrib as 2 fine grooves, very finely scarious; leaves tightly imbricate at base with lacerated scarious margins.",seed circa 3 mm diam.,"Leaves narrowly linear, terete, to 70 cm long, the margins evident against midrib as 2 fine grooves, very finely scarious; leaves tightly imbricate at base with lacerated scarious margins. Inflorescence an open panicle to 60 cm long; bracts c. 1 mm long, acute; pedicels 3-15 mm long; flowers cream, scented. Sepals and petals 2-3 mm long. Capsule 4-6 mm long; often only 1 carpel fertile; perianth persistent. Seed c. 3 mm diam."
Chamaexeros fimbriata,seed_length,maximum,3,mm,good,,,Chamaexeros fimbriata,0572,,"leaves narrowly linear, terete, to 70 cm long, the margins evident against midrib as 2 fine grooves, very finely scarious; leaves tightly imbricate at base with lacerated scarious margins.",seed circa 3 mm diam.,"Leaves narrowly linear, terete, to 70 cm long, the margins evident against midrib as 2 fine grooves, very finely scarious; leaves tightly imbricate at base with lacerated scarious margins. Inflorescence an open panicle to 60 cm long; bracts c. 1 mm long, acute; pedicels 3-15 mm long; flowers cream, scented. Sepals and petals 2-3 mm long. Capsule 4-6 mm long; often only 1 carpel fertile; perianth persistent. Seed c. 3 mm diam."
Chamaexeros fimbriata,seed_width,minimum,3,mm,good,,,Chamaexeros fimbriata,0572,,"leaves narrowly linear, terete, to 70 cm long, the margins evident against midrib as 2 fine grooves, very finely scarious; leaves tightly imbricate at base with lacerated scarious margins.",seed circa 3 mm diam.,"Leaves narrowly linear, terete, to 70 cm long, the margins evident against midrib as 2 fine grooves, very finely scarious; leaves tightly imbricate at base with lacerated scarious margins. Inflorescence an open panicle to 60 cm long; bracts c. 1 mm long, acute; pedicels 3-15 mm long; flowers cream, scented. Sepals and petals 2-3 mm long. Capsule 4-6 mm long; often only 1 carpel fertile; perianth persistent. Seed c. 3 mm diam."
Choretrum glomeratum,leaf_length,minimum,1,mm,good,,,Choretrum glomeratum,0690,shrub mostly 1-2.5 m tall;,"leaves subulate, circa 1 mm long, appressed to slightly spreading.",,"Shrub mostly 1-2.5 m tall; branches erect. Stems striate, almost terete to angular; flowering branchlets 0.5-1.5 mm diam. Leaves subulate, c. 1 mm long, appressed to slightly spreading. Inflorescences clustered, 2-5-flowered; bracts similar to vegetative leaves; peduncle 2-3 mm long, with 1-3 bracts; pedicels less than 0.5 mm long, each with 3 involucral bracteoles. Flowers cylindrical. Tepals 1-1.75 mm long, 0.75-1 mm wide, white or yellow, closely appressed when dry. Stamens without appendages; anther lobes approximately equal. Drupe globose, 4-5 mm long."
Choretrum pauciflorum,leaf_length,minimum,0.5,mm,good,,,Choretrum pauciflorum,0694,"small decumbent to ascending shrub, mostly 30-100 cm tall.","leaves triangular-subulate, appressed to slightly spreading, 0.5-1 (rarely to 2) mm long.",,"Small decumbent to ascending shrub, mostly 30-100 cm tall. Stems not or slightly striate, terete; flowering branchlets 1-1.5 mm diam. Leaves triangular-subulate, appressed to slightly spreading, 0.5-1 (rarely to 2) mm long. Flowers solitary; bracts similar to vegetative leaves, spreading to horizontal; pedicels c. 0.5 mm long with 8-10 bracteoles, 4 of which are involucral. Flowers cylindrical. Tepals c. 1 mm long and 0.75 mm wide, white to cream, mostly tightly appressed when dry. Stamens with posterior hair-like appendages; anther lobes approximately equal. Drupe globose, 4-5 mm long."
Conospermum acerosum,leaf_length,minimum,100,mm,good,,not a min,Conospermum acerosum,0718,erect or straggly shrub to 1.5 m tall.,"leaves acicular to filiform, to 10 cm long, 0.5-1 mm wide, ±terete, pungent-pointed.",,"Erect or straggly shrub to 1.5 m tall. Leaves acicular to filiform, to 10 cm long, 0.5-1 mm wide, ±terete, pungent-pointed. Inflorescence paniculate, condensed, spicate or capitate in upper axils, exceeding or shorter than leaves; bracteoles rotund, 2-4 mm long, 1-4 mm wide, dark brown to black, with a raised midvein and a black, cuspidate apex. Perianth white or pink, glabrous; tube 3.5-5 mm long with short, red hairs; upper lip acute to obtuse, 4.5-5.5 mm long, 1.5-2 mm wide; lower lip united for 1-1.5 mm; lobes 3-3.5 mm long, 0.75-1.25 mm wide, oblong, with an acute apex. Nut 2.5-3.5 mm long, c. 2.8 mm wide, rusty- or golden-velutinous; circumference hairs 2-3 mm long, reddish brown; central tuft, 1-2 mm long, rusty."
Conospermum capitatum subsp. capitatum,leaf_width,maximum,2,mm,good,,,Conospermum capitatum subsp. capitatum,0742,,"leaves less than 2 mm wide, typically puberulous.",,"Leaves less than 2 mm wide, typically puberulous. Peduncle distinct, to 7 cm long. Perianth tomentose."
Conospermum capitatum subsp. glabratum,leaf_width,minimum,2,mm,good,,,Conospermum capitatum subsp. glabratum,0743,,"leaves more than 2 mm wide, typically glabrous.",,"Leaves more than 2 mm wide, typically glabrous. Peduncle 4-5 mm long. Perianth tomentose."
Conospermum capitatum subsp. glabratum,leaf_width,maximum,2,mm,good,,,Conospermum capitatum subsp. glabratum,0743,,"leaves more than 2 mm wide, typically glabrous.",,"Leaves more than 2 mm wide, typically glabrous. Peduncle 4-5 mm long. Perianth tomentose."
Conospermum galeatum,leaf_width,minimum,0.5,mm,good,,,Conospermum galeatum,0768,open shrub to 70 cm tall.,"leaves filiform, 4-5 cm long, circa 0.5 mm wide, curved, canaliculate, acute.",,"Open shrub to 70 cm tall. Leaves filiform, 4-5 cm long, c. 0.5 mm wide, curved, canaliculate, acute. Inflorescence a panicle of spikes; axis an extension of the branch; peduncle 16-20 cm long, glabrous, striate; rachis glabrous; bracteoles ovate, 2.5-3 mm long, 2-3 mm wide, blue, woolly at base and sides, acute. Perianth white, woolly; tube 5-8 mm long; upper lip ovate, 1-1.5 mm long, c. 2 mm wide, blue, glabrous, with ±scattered white hairs on midline, woolly at base; apex acute, recurved; lower lip united for c. 1 mm; lobes oblong, 0.75-1 mm long, 0.25 mm wide, short- woolly, recurved. Nut not seen."
Conospermum longifolium subsp. angustifolium,leaf_width,maximum,4,mm,good,,,Conospermum longifolium subsp. angustifolium,0777,,broadest leaves less than 4 mm wide.,,Broadest leaves less than 4 mm wide.
Conospermum longifolium subsp. longifolium,leaf_width,maximum,8,mm,good,,not a max,Conospermum longifolium subsp. longifolium,0778,,"leaves more than 8 mm wide, 3-veined;",,"Leaves more than 8 mm wide, 3-veined; cross-veins prominent; margin undulate."
Conostylis aculeata,plant_height,maximum,0.6,m,good,leaf_length,,Conostylis aculeata,0806,plant tufted or proliferous.,"leaves flat, 10-60 cm long, 1-10 mm wide, green or rarely bluish-green; margins with hard bristles widely spaced, rarely smooth.",,"Plant tufted or proliferous. Leaves flat, 10-60 cm long, 1-10 mm wide, green or rarely bluish-green; margins with hard bristles widely spaced, rarely smooth. Scape simple or branched, 3-45 cm long, shorter than, equal to or slightly exceeding leaves, green; bracts green or brown and scarious, glabrous. Perianth 5-12 mm long, yellow outside and inside the tube; lobes 3-9 mm long, creamy white inside. Stamens erect; anthers 1-4 mm long; filaments 0.5-1.5 mm long."
Conostylis aculeata subsp. aculeata,plant_height,maximum,0.1,m,good,leaf_length,,Conostylis aculeata subsp. aculeata,0807,usually tufted;,"leaves 20-50 cm long, 3-7.5 mm wide, in loosely flattened, narrowly fan-shaped clusters; marginal nerve inconspicuous; bristles along whole margin, spreading upwards, usually 2-3 mm long.",,"Usually tufted; stems very short, occasionally to 10 cm long. Leaves 20-50 cm long, 3-7.5 mm wide, in loosely flattened, narrowly fan-shaped clusters; marginal nerve inconspicuous; bristles along whole margin, spreading upwards, usually 2-3 mm long. Inflorescence a loose cyme or raceme; scape simple or branched, usually much shorter than leaves, rarely nearly as long. Flowers 9-15 mm long."
Conostylis aculeata subsp. breviflora,plant_height,maximum,0.16,m,good,leaf_length,,Conostylis aculeata subsp. breviflora,0808,proliferous;,"leaves 10-18 cm long, usually 1.5-2.5 mm wide, in loosely flattened, narrowly fan-shaped clusters; marginal nerve inconspicuous; bristles along whole margin, spreading upwards, 1-2.5 mm long.",,"Proliferous; stems 4-16 cm long. Leaves 10-18 cm long, usually 1.5-2.5 mm wide, in loosely flattened, narrowly fan-shaped clusters; marginal nerve inconspicuous; bristles along whole margin, spreading upwards, 1-2.5 mm long. Inflorescence a capitate cyme on a simple or once-divided scape up to 20 cm long, equal to or somewhat longer than leaves. Flowers 6-10 mm long."
Conostylis aculeata subsp. cygnorum,plant_height,maximum,0.09,m,good,leaf_length,,Conostylis aculeata subsp. cygnorum,0810,tufted or shortly proliferous;,"leaves usually 20-45 cm long, 3-10 mm wide, in loosely flattened, narrowly fan-shaped clusters; marginal nerve inconspicuous to distinct but rarely as prominent as in subsp bromelioides ; bristles 1-2 mm long, confined to upper part of mature leaves, spreading upwards, rarely absent or along most of margin.",,"Tufted or shortly proliferous; stems 3-9 cm long. Leaves usually 20-45 cm long, 3-10 mm wide, in loosely flattened, narrowly fan-shaped clusters; marginal nerve inconspicuous to distinct but rarely as prominent as in subsp. bromelioides ; bristles 1-2 mm long, confined to upper part of mature leaves, spreading upwards, rarely absent or along most of margin. Inflorescence a dense globular head; scape simple or with a smaller scape arising from an upper bract, c. equal to leaves. Flowers 10-14 mm long."
Conostylis aculeata subsp. echinissima,plant_height,maximum,0.09,m,good,leaf_length,,Conostylis aculeata subsp. echinissima,0811,proliferous;,"leaves 6-25 cm long, usually 1 mm wide, in loosely flattened, sometimes broadly fan-shaped clusters; marginal nerve inconspicuous; bristles 2-3 mm long, along whole margin, spreading.",,"Proliferous; stems 3-9 cm long. Leaves 6-25 cm long, usually 1 mm wide, in loosely flattened, sometimes broadly fan-shaped clusters; marginal nerve inconspicuous; bristles 2-3 mm long, along whole margin, spreading. Inflorescence a loose capitate cyme on a simple scape 10-13 cm long, usually exceeding leaves. Flowers 8-10 mm long."
Conostylis aculeata subsp. echinissima,leaf_width,minimum,1,mm,good,,,Conostylis aculeata subsp. echinissima,0811,proliferous;,"leaves 6-25 cm long, usually 1 mm wide, in loosely flattened, sometimes broadly fan-shaped clusters; marginal nerve inconspicuous; bristles 2-3 mm long, along whole margin, spreading.",,"Proliferous; stems 3-9 cm long. Leaves 6-25 cm long, usually 1 mm wide, in loosely flattened, sometimes broadly fan-shaped clusters; marginal nerve inconspicuous; bristles 2-3 mm long, along whole margin, spreading. Inflorescence a loose capitate cyme on a simple scape 10-13 cm long, usually exceeding leaves. Flowers 8-10 mm long."
Conostylis aculeata subsp. gracilis,plant_height,maximum,0.1,m,good,leaf_length,,Conostylis aculeata subsp. gracilis,0812,tufted or shortly proliferous;,"leaves 10-25 cm long, 1-2 mm wide, in loosely flattened, narrowly fan-shaped clusters; marginal nerve inconspicuous; bristles 0.5-2 mm long, along whole margin, spreading.",,"Tufted or shortly proliferous; stems 4-10 cm long. Leaves 10-25 cm long, 1-2 mm wide, in loosely flattened, narrowly fan-shaped clusters; marginal nerve inconspicuous; bristles 0.5-2 mm long, along whole margin, spreading. Inflorescence a shortly cymose head; scape shorter than leaves. Flowers 9-12 mm long."
Conostylis aculeata subsp. preissii,plant_height,maximum,0.15,m,good,leaf_length,,Conostylis aculeata subsp. preissii,0813,proliferous;,"leaves 10-25 cm long, 2-3 mm wide, in loosely flattened, narrowly fan-shaped clusters; marginal nerve inconspicuous; bristles along whole margin, spreading, 1-3 mm long.",,"Proliferous; stems 4-15 cm long. Leaves 10-25 cm long, 2-3 mm wide, in loosely flattened, narrowly fan-shaped clusters; marginal nerve inconspicuous; bristles along whole margin, spreading, 1-3 mm long. Inflorescence densely to loosely racemose; scape usually simple, slightly shorter than leaves. Flowers 9-12 mm long."
Conostylis aculeata subsp. rhipidion,plant_height,maximum,0.15,m,good,leaf_length,,Conostylis aculeata subsp. rhipidion,0814,proliferous;,"leaves 10-17 cm long, 2.5-4 mm wide, in markedly flattened, broadly fan-shaped clusters; marginal nerve inconspicuous; bristles along the whole margin, spreading, 1-2 mm long.",,"Proliferous; stems 5-15 cm long. Leaves 10-17 cm long, 2.5-4 mm wide, in markedly flattened, broadly fan-shaped clusters; marginal nerve inconspicuous; bristles along the whole margin, spreading, 1-2 mm long. Inflorescence densely capitate; scape equal to or somewhat longer than leaves. Flowers 10-13 mm long."
Conostylis aculeata subsp. septentrionora,plant_height,maximum,0.09,m,good,leaf_length,,Conostylis aculeata subsp. septentrionora,0815,shortly proliferous;,"leaves 6-30 cm long, 2-4 mm wide, in loosely to strongly flattened, narrow to broadly fan-shaped clusters; marginal nerve inconspicuous to distinct but not as prominent as in subsp bromelioides ; bristles 1-3 mm long, along whole margin, spreading upwards.",,"Shortly proliferous; stems 3-9 cm long. Leaves 6-30 cm long, 2-4 mm wide, in loosely to strongly flattened, narrow to broadly fan-shaped clusters; marginal nerve inconspicuous to distinct but not as prominent as in subsp. bromelioides ; bristles 1-3 mm long, along whole margin, spreading upwards. Inflorescence a capitate cyme on a simple or once-divided scape 10-30 cm long, usually longer than leaves. Flowers 6-10 mm long."
