species_name,leaf_width_min_GrassBase_2014,leaf_width_min_Metcalfe_2020_2,leaf_width_min_SAH_2014,leaf_width_min_Wheeler_2002,leaf_width_min_to_keep,original_name
Iseilema vaginiflorum,2.5,2.5,NA,NA,omit,Iseilema vaginiflorum
Iseilema windersii,3,3,NA,NA,omit,Iseilema windersii
Leersia hexandra,2,2,NA,NA,omit,Leersia hexandra
Leptaspis banksii,9,9,NA,NA,omit,Leptaspis banksii
Leptaspis tararaensis,4,4,NA,NA,omit,Scrotochloa tararaensis
Leptaspis urceolata,40,40,NA,NA,omit,Scrotochloa urceolata
Leptochloa asthenes,NA,2,NA,NA,keep,Leptochloa decipiens subsp. asthenes
Leptochloa decipiens,NA,2,NA,NA,keep,Leptochloa decipiens
Leptochloa decipiens,NA,2,NA,NA,keep,Leptochloa decipiens subsp. decipiens
Leptochloa digitata,2,2,NA,NA,omit,Leptochloa digitata
Leptochloa divaricatissima,1.5,1.5,NA,NA,omit,Leptochloa divaricatissima
Leptochloa fusca,3,0.8,NA,NA,keep,Leptochloa fusca
Leptochloa fusca,3,0.8,NA,NA,keep,Leptochloa fusca subsp. fusca
Leptochloa fusca subsp. uninervia,NA,0.8,NA,NA,keep,Leptochloa fusca subsp. uninervia
Leptochloa ligulata,3,3,NA,NA,omit,Leptochloa ligulata
Leptochloa neesii,2,2,NA,NA,omit,Leptochloa neesii
Leptochloa panicea subsp. brachiata,1.5,1,NA,NA,keep,Leptochloa panicea subsp. brachiata
Lepturus copeanus,4,4,NA,NA,omit,Lepturus copeanus
Lepturus minutus,1,1,NA,NA,omit,Lepturus minutus
Lepturus repens,2,2,NA,NA,omit,Lepturus repens
Lepturus xerophilus,0.5,0.5,NA,NA,omit,Lepturus xerophilus
Lolium perenne,NA,2,NA,NA,keep,Lolium perenne
Lophatherum gracile,14,14,NA,NA,omit,Lophatherum gracile
Melinis minutiflora,NA,3,NA,NA,keep,Melinis minutiflora
Melinis repens,NA,2,2,NA,omit,Melinis repens
Micraira subulifolia,0.3,0.3,NA,NA,omit,Micraira subulifolia
Microstegium nudum,NA,2,NA,NA,keep,Microstegium nudum
Mnesithea formosa,1,1,NA,NA,omit,Mnesithea formosa
Mnesithea pilosa,1,1,NA,NA,omit,Mnesithea pilosa
Neololeba atra,45,45,NA,NA,omit,Bambusa forbesii
Ophiuros exaltatus,10,10,NA,NA,omit,Ophiuros exaltatus
Oplismenus burmanni,NA,5,NA,NA,keep,Oplismenus burmannii
Oplismenus compositus,8,8,NA,NA,omit,Oplismenus compositus
Oplismenus hirtellus,NA,4,NA,NA,keep,Oplismenus aemulus
Oplismenus hirtellus,NA,4,NA,NA,keep,Oplismenus hirtellus subsp. imbecillis
Oryza australiensis,3,3,NA,NA,omit,Oryza australiensis
Oryza rufipogon,5,5,NA,NA,omit,Oryza meridionalis
Oryza rufipogon,5,5,NA,NA,omit,Oryza rufipogon
Oryza sativa,NA,4,NA,NA,keep,Oryza sativa
Ottochloa gracillima,1.5,1.5,NA,NA,omit,Ottochloa gracillima
Ottochloa nodosa,2,2,NA,NA,omit,Ottochloa nodosa
Oxychloris scariosa,0.5,0.5,NA,NA,omit,Oxychloris scariosa
Panicum antidotale,NA,2.5,NA,NA,keep,Panicum antidotale
Panicum bombycinum,2,2,NA,NA,omit,Panicum bombycinum
Panicum chillagoanum,2,2,NA,NA,omit,Panicum chillagoanum
Panicum coloratum,NA,2,NA,NA,keep,Panicum coloratum
Panicum decompositum,2.5,2.5,NA,NA,omit,Panicum decompositum
Panicum decompositum,2.5,2.5,NA,NA,omit,Panicum decompositum var. tenuius
Panicum decompositum var. decompositum,2.5,2.5,NA,NA,omit,Panicum decompositum var. decompositum
Panicum effusum,2,2,2,NA,omit,Panicum effusum
Panicum incomtum,10,7,NA,NA,keep,Panicum incomtum
Panicum lachnophyllum,3,3,NA,NA,omit,Panicum lachnophyllum
Panicum laevinode,2.5,2.5,3,NA,omit,Panicum laevinode
Panicum larcomianum,2,2,NA,NA,omit,Panicum larcomianum
Panicum maximum,NA,4,NA,NA,keep,Megathyrsus maximus
Panicum maximum,NA,4,NA,NA,keep,Megathyrsus maximus var. maximus
Panicum maximum,NA,4,NA,NA,keep,Megathyrsus maximus var. maximus cv. Hamil
Panicum maximum,NA,4,NA,NA,keep,Megathyrsus maximus var. coloratus
Panicum maximum,NA,4,NA,NA,keep,Megathyrsus maximus var. pubiglumis
Panicum miliaceum,NA,6,NA,NA,keep,Panicum miliaceum
Panicum mindanaense,1.5,1.5,NA,NA,omit,Panicum mindanaense
Panicum mitchellii,6,6,NA,NA,omit,Panicum mitchellii
Panicum paludosum,5,5,NA,NA,omit,Panicum paludosum
Panicum pygmaeum,1,1,NA,NA,omit,Panicum pygmaeum
Panicum queenslandicum var. queenslandicum,1,1,NA,NA,omit,Panicum queenslandicum var. queenslandicum
Panicum robustum,NA,5,NA,NA,keep,Panicum robustum
Panicum seminudum,3,3,NA,NA,omit,Panicum seminudum
Panicum seminudum,3,3,NA,NA,omit,Panicum seminudum var. cairnsianum
Panicum seminudum var. seminudum,3,3,NA,NA,omit,Panicum seminudum var. seminudum
Panicum simile,1,1,NA,NA,omit,Panicum simile
Panicum trachyrhachis,3,3,NA,NA,omit,Panicum trachyrhachis
Panicum trichoides,NA,5,NA,NA,keep,Panicum trichoides
Paraneurachne muelleri,2,2,NA,NA,omit,Paraneurachne muelleri
Paspalidium albovillosum,1,1,NA,NA,omit,Paspalidium albovillosum
Paspalidium aversum,3,3,NA,NA,omit,Paspalidium aversum
Paspalidium caespitosum,1,1,NA,NA,omit,Paspalidium caespitosum
Paspalidium clementii,2,2,NA,NA,omit,Paspalidium clementii
Paspalidium constrictum,1,1,NA,NA,omit,Paspalidium constrictum
Paspalidium criniforme,1,1,NA,NA,omit,Paspalidium criniforme
Paspalidium disjunctum,NA,2,NA,NA,keep,Paspalidium disjunctum
Paspalidium distans,1,1,NA,NA,omit,Paspalidium distans
Paspalidium flavidum,4,4,NA,NA,omit,Paspalidium flavidum
Paspalidium gausum,2,2,NA,NA,omit,Paspalidium gausum
Paspalidium globoideum,3,3,NA,NA,omit,Paspalidium globoideum
Paspalidium gracile,1,1,1,NA,omit,Paspalidium gracile
Paspalidium jubiflorum,2.5,2.5,3,NA,omit,Paspalidium jubiflorum
Paspalidium rarum,1,1,NA,NA,omit,Paspalidium rarum
Paspalidium retiglume,3,3,NA,NA,omit,Paspalidium retiglume
Paspalidium scabrifolium,NA,4,NA,NA,keep,Paspalidium scabrifolium
Paspalidium spartellum,0.1,0.1,NA,NA,omit,Paspalidium spartellum
Paspalidium udum,5,5,NA,NA,omit,Paspalidium udum
Paspalum conjugatum,NA,5,NA,NA,keep,Paspalum conjugatum
Paspalum dilatatum,NA,3,NA,NA,keep,Paspalum dilatatum
Paspalum distichum,NA,2,2,NA,omit,Paspalum distichum
Paspalum longifolium,3,3,NA,NA,omit,Paspalum longifolium
Paspalum mandiocanum,NA,8,NA,NA,keep,Paspalum mandiocanum
Paspalum notatum,NA,3,NA,NA,keep,Paspalum notatum
Paspalum paniculatum,NA,6,NA,NA,keep,Paspalum paniculatum
Paspalum plicatulum,NA,2,NA,NA,keep,Paspalum plicatulum
Paspalum scrobiculatum,3,3,NA,NA,omit,Paspalum scrobiculatum
Paspalum urvillei,NA,4,NA,NA,keep,Paspalum urvillei
Paspalum vaginatum,NA,1,1,NA,omit,Paspalum vaginatum
Paspalum virgatum,NA,10,NA,NA,keep,Paspalum virgatum
Pennisetum alopecuroides,NA,3,NA,NA,keep,Pennisetum alopecuroides
Pennisetum basedowii,NA,5,NA,NA,keep,Pennisetum basedowii
Pennisetum glaucum,NA,7,NA,NA,keep,Pennisetum glaucum
Pennisetum pedicellatum,NA,4,NA,NA,keep,Pennisetum pedicellatum subsp. pedicellatum
Pennisetum pedicellatum subsp. unispiculum,NA,4,NA,NA,keep,Pennisetum pedicellatum subsp. unispiculum
Pennisetum polystachion,NA,3,NA,NA,keep,Pennisetum polystachion
Pennisetum purpureum,NA,20,NA,NA,keep,Pennisetum purpureum
Pennisetum setaceum,NA,1,NA,NA,keep,Pennisetum setaceum
Pennisetum villosum,NA,2,NA,NA,keep,Pennisetum villosum
Perotis clarksonii,1.7,1.7,NA,NA,omit,Perotis clarksonii
Perotis indica,NA,2,NA,NA,keep,Perotis indica
Perotis rara,1,1,NA,NA,omit,Perotis rara
Phalaris canariensis,NA,4,NA,NA,keep,Phalaris canariensis
Pheidochloa gracilis,0.2,0.2,NA,NA,omit,Pheidochloa gracilis
Phragmites australis,8,8,1.5,NA,omit,Phragmites australis
Phragmites vallatoria,NA,10,NA,NA,keep,Phragmites vallatoria
Phyllostachys bambusoides,NA,12,NA,NA,keep,Phyllostachys bambusoides
Poa annua,1,1,NA,NA,omit,Poa annua
Poa labillardierei,0.6,0.6,NA,NA,omit,Poa labillardieri var. labillardieri
Pogonatherum crinitum,1,1,NA,NA,omit,Pogonatherum crinitum
Polytrias indica,NA,2,NA,NA,keep,Polytrias indica
Pseudoraphis paradoxa,2,2,NA,NA,omit,Pseudoraphis paradoxa
Pseudoraphis spinescens,4,1,NA,NA,keep,Pseudoraphis spinescens
Rottboellia cochinchinensis,NA,5,NA,NA,keep,Rottboellia cochinchinensis
Saccharum officinarum,NA,30,NA,NA,keep,Saccharum officinarum
Saccharum spontaneum,NA,3,NA,NA,keep,Saccharum spontaneum
Sacciolepis indica,1,1,NA,NA,omit,Sacciolepis indica
Sacciolepis myosuroides,1.2,1.2,NA,NA,omit,Sacciolepis myosuroides
Sarga angustum,NA,2,NA,NA,keep,Sarga angustum
Sarga leiocladum,NA,1.5,NA,NA,keep,Sarga leiocladum
Sarga plumosum,NA,4,NA,NA,keep,Sarga plumosum
Sarga timorense,NA,5,NA,NA,keep,Sarga timorense
Schizachyrium crinizonatum,0.9,0.9,NA,NA,omit,Schizachyrium crinizonatum
Schizachyrium dolosum,0.8,0.8,NA,NA,omit,Schizachyrium dolosum
Schizachyrium fragile,1,1,NA,NA,omit,Schizachyrium fragile
Schizachyrium occultum,0.6,0.6,NA,NA,omit,Schizachyrium occultum
Schizachyrium pachyarthron,0.8,0.8,NA,NA,omit,Schizachyrium pachyarthron
Schizachyrium perplexum,1,1,NA,NA,omit,Schizachyrium perplexum
Schizachyrium pseudeulalia,0.8,0.8,NA,NA,omit,Schizachyrium pseudeulalia
Sehima nervosum,2,2,NA,NA,omit,Sehima nervosum
Setaria apiculata,2,2,NA,NA,omit,Setaria apiculata
Setaria australiensis,5,5,NA,NA,omit,Setaria australiensis
Setaria barbata,NA,5,NA,NA,keep,Setaria barbata
Setaria dielsii,3.5,3.5,3,NA,omit,Setaria dielsii
Setaria italica,NA,5,6,NA,keep,Setaria italica
Setaria oplismenoides,4,4,NA,NA,omit,Setaria oplismenoides
Setaria palmifolia,NA,15,NA,NA,keep,Setaria palmifolia
Setaria pumila,NA,2,3,NA,keep,Setaria pumila
Setaria pumila,NA,2,3,NA,keep,Setaria pumila subsp. pumila
Setaria pumila subsp. pallidefusca,NA,2,NA,NA,keep,Setaria pumila subsp. pallidefusca
Setaria queenslandica,2,2,NA,NA,omit,Setaria queenslandica
Setaria sphacelata,NA,2,NA,NA,keep,Setaria sphacelata
Setaria sphacelata,NA,2,NA,NA,keep,Setaria sphacelata var. sericea
Setaria sphacelata,NA,2,NA,NA,keep,Setaria sphacelata var. splendida
Setaria surgens,1,1,NA,NA,omit,Setaria surgens
Setaria verticillata,NA,3,5,NA,keep,Setaria verticillata
Sorghum arundinaceum,NA,5,NA,NA,keep,Sorghum arundinaceum
Sorghum bicolor,NA,5,NA,NA,keep,Sorghum bicolor
Sorghum halepense,NA,5,NA,NA,keep,Sorghum halepense
Sorghum nitidum,4,4,NA,NA,omit,Sorghum nitidum
Sorghum nitidum,4,4,NA,NA,omit,Sorghum nitidum forma nitidum
Sorghum nitidum,4,4,NA,NA,omit,Sorghum nitidum forma aristatum
Sorghum propinquum,10,10,NA,NA,omit,Sorghum propinquum
Sorghum x almum,NA,25,NA,NA,keep,Sorghum x almum
Sorghum x drummondii,NA,8,NA,NA,keep,Sorghum x drummondii
Spinifex hirsutus,5,5,NA,9,omit,Spinifex hirsutus
Spinifex longifolius,1.5,1.5,NA,1.5,omit,Spinifex longifolius
Spinifex sericeus,NA,4,NA,NA,keep,Spinifex sericeus
Sporobolus actinocladus,3,3,NA,NA,omit,Sporobolus actinocladus
Sporobolus africanus,NA,1,NA,NA,keep,Sporobolus africanus
Sporobolus australasicus,4,4,NA,NA,omit,Sporobolus australasicus
Sporobolus carolii,3,3,NA,NA,omit,Sporobolus caroli
Sporobolus contiguus,2,2,NA,NA,omit,Sporobolus contiguus
Sporobolus coromandelianus,NA,2,NA,NA,keep,Sporobolus coromandelianus
Sporobolus creber,2,2,NA,NA,omit,Sporobolus creber
Sporobolus disjunctus,4,4,NA,NA,omit,Sporobolus disjunctus
Sporobolus elongatus,1,1,NA,NA,omit,Sporobolus elongatus
Sporobolus fertilis,NA,1.5,NA,NA,keep,Sporobolus fertilis
Sporobolus laxus,0.8,0.8,NA,NA,omit,Sporobolus laxus
Sporobolus lenticularis,2,2,NA,NA,omit,Sporobolus lenticularis
Sporobolus mitchellii,2,2,NA,NA,omit,Sporobolus mitchellii
Sporobolus natalensis,NA,2,NA,NA,keep,Sporobolus natalensis
Sporobolus pulchellus,0.5,0.5,NA,NA,omit,Sporobolus pulchellus
Sporobolus pyramidalis,NA,2.5,NA,NA,keep,Sporobolus jacquemontii
Sporobolus pyramidalis,NA,2.5,NA,NA,keep,Sporobolus pyramidalis
Sporobolus scabridus,2,2,NA,NA,omit,Sporobolus scabridus
Sporobolus sessilis,0.5,0.5,NA,NA,omit,Sporobolus sessilis
Sporobolus virginicus,1,1,NA,0.5,omit,Sporobolus virginicus
Stenotaphrum micranthum,4,4,NA,NA,omit,Stenotaphrum micranthum
Stenotaphrum secundatum,NA,4,NA,NA,keep,Stenotaphrum secundatum
Stipa ramosissima,1,1,NA,NA,omit,Austrostipa ramosissima
Stipa rudis,NA,2,NA,NA,keep,Austrostipa rudis subsp. rudis
Thaumastochloa brassii,3,3,NA,NA,omit,Thaumastochloa brassii
Thaumastochloa major,1.5,1.5,NA,NA,omit,Thaumastochloa major
Thaumastochloa monilifera,2,2,NA,NA,omit,Thaumastochloa monilifera
Thaumastochloa pubescens,1.5,1.5,NA,NA,omit,Thaumastochloa pubescens
Thaumastochloa rariflora,2,2,NA,NA,omit,Thaumastochloa rariflora
Thaumastochloa x heteromorpha,NA,1,NA,NA,keep,Thaumastochloa x heteromorpha
Themeda arguens,4,4,NA,NA,omit,Themeda arguens
Themeda avenacea,1,1,NA,NA,omit,Themeda avenacea
Themeda intermedia,4,4,NA,NA,omit,Themeda intermedia
Themeda quadrivalvis,NA,1,NA,NA,keep,Themeda quadrivalvis
Themeda triandra,1,1,NA,1,omit,Themeda triandra
Thuarea involuta,3,3,NA,NA,omit,Thuarea involuta
Thyridolepis mitchelliana,3,3,2.5,NA,omit,Thyridolepis mitchelliana
Thyridolepis xerophila,1,1,1.4,NA,omit,Thyridolepis xerophila
Tragus australianus,2.5,2.5,NA,NA,omit,Tragus australianus
Triodia bitextura,0.5,0.5,NA,NA,omit,Triodia bitextura
Triodia claytonii,0.5,1,NA,NA,keep,Triodia claytonii
Triodia longiceps,0.9,0.9,NA,NA,omit,Triodia longiceps
Triodia microstachya,0.5,0.5,NA,NA,omit,Triodia microstachya
Triodia mitchellii,0.7,0.7,NA,NA,omit,Triodia mitchellii
Triodia pungens,0.8,0.8,NA,NA,omit,Triodia pungens
Triodia stenostachya,0.6,0.6,NA,NA,omit,Triodia stenostachya
Triodia triaristata,0.8,0.8,NA,NA,omit,Triodia triaristata
Tripogon loliiformis,0.5,0.5,NA,NA,omit,Tripogon loliiformis
Triraphis mollis,1,1,NA,NA,omit,Triraphis mollis
Uranthoecium truncatum,2,2,NA,NA,omit,Uranthoecium truncatum
Urochloa mosambicensis,NA,3,NA,NA,keep,Urochloa mosambicensis
Urochloa panicoides,NA,3,NA,NA,keep,Urochloa panicoides var. panicoides
Urochloa panicoides,NA,3,NA,NA,keep,Urochloa panicoides var. pubescens
Vacoparis laxiflorum,NA,3,NA,NA,keep,Vacoparis laxiflorum
Whiteochloa airoides,1.5,1.5,NA,NA,omit,Whiteochloa airoides
Whiteochloa semitonsa,3,3,NA,NA,omit,Whiteochloa semitonsa
Xerochloa imberbis,0.8,0.8,NA,NA,omit,Xerochloa imberbis
Yakirra australiensis,0.5,0.5,NA,NA,omit,Yakirra australiensis var. australiensis
Yakirra majuscula,NA,2,NA,NA,keep,Yakirra majuscula
Yakirra muelleri,1,1,NA,NA,omit,Yakirra muelleri
Yakirra pauciflora,1.5,1.5,NA,NA,omit,Yakirra pauciflora
Zea mexicana,NA,50,NA,NA,keep,Zea mexicana
Zoysia matrella,NA,1,NA,NA,keep,Zoysia matrella
