ID,Ref,Long,Lat,leaf_area_m2,dry_mass_g,LMA_g/m2,N_per_area_g/m2,N_per_dry_mass_g/g,thickness_m,water_per_leaf_area_g/m2,liquid_content_%,taxonomy,Species,Country,Common name,Comments
264,13,149.2,-35.3,,,227,,0.0159,,,51,D,Eucalyptus blakelyi,Australia,,"7 Apr 83, H"""
265,13,149.2,-35.3,,,186,,0.0173,,,54,D,Eucalyptus blakelyi,Australia,,"7 Apr 83, D"""
266,13,149.2,-35.3,,,222,,0.0163,,,51,D,Eucalyptus blakelyi,Australia,,"4 May 83, H"""
267,13,149.2,-35.3,,,191,,0.0185,,,52.2,D,Eucalyptus blakelyi,Australia,,"4 May 83, D"""
268,13,149.2,-35.3,,,213,,0.0173,,,52.8,D,Eucalyptus blakelyi,Australia,,"14 Jun 83, H"""
269,13,149.2,-35.3,,,195,,0.019,,,53.1,D,Eucalyptus blakelyi,Australia,,"14 Jun 83, D"""
270,13,149.2,-35.3,,,234,,0.0178,,,48.9,D,Eucalyptus blakelyi,Australia,,"25 Jul 83, H"""
271,13,149.2,-35.3,,,202,,0.0192,,,50.5,D,Eucalyptus blakelyi,Australia,,"25 Jul 83, D"""
272,13,149.2,-35.3,,,225,,0.0176,,,51.8,D,Eucalyptus blakelyi,Australia,,"7 Sep 83, H"""
273,13,149.2,-35.3,,,189,,0.0186,,,53.8,D,Eucalyptus blakelyi,Australia,,"7 Sep 83, D"""
274,13,149.2,-35.3,,,166,,0.0218,,,60.2,D,Eucalyptus blakelyi,Australia,,"12 Nov 83, H"""
275,13,149.2,-35.3,,,126,,0.0244,,,62.8,D,Eucalyptus blakelyi,Australia,,"12 Nov 83, D"""
276,13,149.2,-35.3,,,150,,0.0175,,,61.2,D,Eucalyptus blakelyi,Australia,,"5 Jan 84, H"""
277,13,149.2,-35.3,,,117,,0.0189,,,64,D,Eucalyptus blakelyi,Australia,,"5 Jan 84, D"""
278,13,149.2,-35.3,,,175,,0.0159,,,57.5,D,Eucalyptus blakelyi,Australia,,"1 Mar 84, H"""
279,13,149.2,-35.3,,,165,,0.0159,,,55.1,D,Eucalyptus blakelyi,Australia,,"1 Mar 84, D"""
280,13,149.2,-35.3,,,193,,0.016,,,53.7,D,Eucalyptus blakelyi,Australia,,"11 May 84, H"""
281,13,149.2,-35.3,,,167,,0.0162,,,54.7,D,Eucalyptus blakelyi,Australia,,"11 May 84, D"""
282,13,149.2,-35.3,,,205,,0.0143,,,52.3,D,Eucalyptus blakelyi,Australia,,"3 Aug 84, H"""
283,13,149.2,-35.3,,,179,,0.0155,,,52.6,D,Eucalyptus blakelyi,Australia,,"3 Aug 84, D"""
284,13,149.2,-35.3,,,212,,0.012,,,49.9,D,Eucalyptus blakelyi,Australia,,"24 Sep 84, H"""
285,13,149.2,-35.3,,,186,,0.0119,,,50.9,D,Eucalyptus blakelyi,Australia,,"24 Sep 84, D"""
286,13,149.2,-35.3,,,198,,0.0102,,,53.5,D,Eucalyptus blakelyi,Australia,,"8 Jan 85, H"""
287,13,149.2,-35.3,,,167,,0.0123,,,55.6,D,Eucalyptus blakelyi,Australia,,"8 Jan 85, D"""
,,,,,,,,,,,,,,,,
