narrow endemic,victoria,tasmania,forest,family,species name,ht (m),ll (mm),lw (mm),leaf form,habit,notes,notes2,Tasmania,Tassie_no_climbers,Victoria_forest,Victoria_no_climbers,in_Tasmania,in_Victoria,sites
1,0,1,1,Rutaceae,Philotheca freyciana,0.4,13,13,simple,shrub,NA,NA,Tasmania,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,1,Sapindaceae,Dodonaea filiformis,2,20,1,simple,shrub,NA,NA,Tasmania,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,1,Solanaceae,Cyphanthera tasmanica,4,40,12,simple,shrub,NA,NA,Tasmania,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,1,Thymeleaceae,Pimelea cinerea,2,40,10,simple,shrub,NA,NA,Tasmania,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,1,Thymeleaceae,Pimelea nivea,2.5,15,10,simple,shrub,NA,NA,Tasmania,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,1,Veronicaceae (Veroniceae),Veronica formosa,2,15,3,simple,shrub,NA,NA,Tasmania,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
1,0,1,NA,Asteraceae,Ozothamnus selaginoides,1,3.5,1,simple,shrub,NA,NA,NA,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,1,0,0,Aviceniaceae,Avicennia marina,4,120,40,simple,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,0,Chenopodiaceae,Echylaena tomentosa,1.5,20,1.5,simple,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,0,Chenopodiaceae,Halosarcia halocnemoides,0.3,5,3,scale,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,0,Chenopodiaceae,Halosarcia indica,0.4,10,3,scale,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,0,Chenopodiaceae,Halosarcia lylei,1,3,3,scale,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,0,Chenopodiaceae,Halosarcia pergranulata,0.5,5,3,scale,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,0,Chenopodiaceae,Halosarcia pruinosa,0.5,8,3,scale,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,0,Chenopodiaceae,Halosarcia pterygosperma,1,5,3,scale,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,0,Chenopodiaceae,Halosarcia syncarpa,1,8,3,scale,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,0,Chenopodiaceae,Maireana aphylla,1,4,1,simple,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,0,Chenopodiaceae,Maireana appressa,0.7,8,1,simple,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,0,Chenopodiaceae,Maireana brevifolia,1.3,5,2,simple,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,0,Chenopodiaceae,Maireana decalvans,0.4,11,1,simple,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,0,Chenopodiaceae,Maireana erioclada,0.6,15,2.5,simple,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,0,Chenopodiaceae,Maireana georgei,0.8,13,1,simple,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,0,Chenopodiaceae,Maireana microphylla,1,4,1,simple,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,0,Chenopodiaceae,Maireana oppositifolia,0.8,3,2,simple,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,0,Chenopodiaceae,Maireana pentatropis,0.6,15,1.5,simple,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,0,Chenopodiaceae,Maireana pyramidata,1,6,1.5,simple,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,0,Chenopodiaceae,Maireana radiata,0.75,4,1.5,simple,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,0,Chenopodiaceae,Maireana rohrlachii,1,8,1.5,simple,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,0,Chenopodiaceae,Maireana sedifolia,1,9,2,simple,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,0,Chenopodiaceae,Maireana trichoptera,0.5,12,1,simple,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,0,Chenopodiaceae,Maireana triptera,0.5,20,1.5,simple,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,0,Chenopodiaceae,Maireana turbinata,0.5,8,1,simple,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,0,Chenopodiaceae,Pachycornia triandra,0.5,5,2,scale,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,0,Chenopodiaceae,Sclerolaena birchii,1,15,6,simple,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,0,Chenopodiaceae,Sclerolaena decurrens,0.3,10,1,simple,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,0,Chenopodiaceae,Sclerolaena divaricata,0.7,10,1.5,simple,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,0,Chenopodiaceae,Sclerolaena muricata,1.5,15,3,simple,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,0,Chenopodiaceae,Sclerolaena tricuspis,0.8,15,1,simple,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,0,Chenopodiaceae,Sclerostegia moniliformis,1,6,3,scale,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,0,Ericaceae,Astroloma conostephioides,1,25,2,simple,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,0,Ericaceae,Epacris glacialis,0.3,3.5,2.5,simple,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,0,Ericaceae,Richea continentis,1,40,7,simple,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
1,1,0,0,Ericaceae,Richea victoriana,2,100,11,simple,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,0,Frankeniaceae,Frankenia foliosa,0.15,5,1.4,simple,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,0,Frankeniaceae,Frankenia sessilis,0.15,4,1.7,simple,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,0,Proteaceae,Banksia canei,3,50,10,simple,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,0,Proteaceae,Banksia ornata,3,100,25,simple,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,0,Rhamnaceae,Discaria nitida,5,20,7,simple,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,1,Alseuosmiaceae,Wittsteinia vaccinacea,0.4,52,30,simple,shrub,NA,NA,NA,NA,Victoria_forest,Victoria_no_climbers,,Victoria,Victoria
0,1,0,1,Aphanopetalaceae,Aphanopetalum resinosum,5,100,40,simple,shrub,often scandent or sprawling,NA,NA,NA,Victoria_forest,Victoria_no_climbers,,Victoria,Victoria
1,1,0,1,Araliaceae,Polyscias sambucifolia,6,200,170,compound,shrub,NA,NA,NA,NA,Victoria_forest,Victoria_no_climbers,,Victoria,Victoria
0,1,0,1,Asteraceae,Cassinia longifolia,3,95,5,simple,shrub,NA,NA,NA,NA,Victoria_forest,Victoria_no_climbers,,Victoria,Victoria
0,1,0,1,Ericaceae,Gaultheria apressa,1.6,90,25,simple,shrub,NA,NA,NA,NA,Victoria_forest,Victoria_no_climbers,,Victoria,Victoria
0,1,0,1,Ericaceae,Trochocarpa clarkei,0.3,11,3.5,simple,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,1,Proteaceae,Banksia spinulosa,5,70,5,simple,shrub,NA,NA,NA,NA,Victoria_forest,Victoria_no_climbers,,Victoria,Victoria
0,1,0,1,Santalaceae,Choretrum spicatum,2,3,1,scale,shrub,NA,NA,NA,NA,Victoria_forest,Victoria_no_climbers,,Victoria,Victoria
0,1,0,1,Malvaceae,Howittia trilocularis,3,120,80,simple,shrub,NA,NA,NA,NA,Victoria_forest,Victoria_no_climbers,,Victoria,Victoria
0,1,0,NA,Adoxaceae,Sambucus australasica,5,100,30,compound,shrub,NA,NA,NA,NA,Victoria_forest,Victoria_no_climbers,,Victoria,Victoria
0,1,0,NA,Araliaceae,Astrotricha asperifolia,2.5,120,7,simple,shrub,NA,NA,NA,NA,Victoria_forest,Victoria_no_climbers,,Victoria,Victoria
0,1,0,NA,Araliaceae,Astrotricha asperifolia,2.5,120,7,simple,shrub,NA,NA,NA,NA,Victoria_forest,Victoria_no_climbers,,Victoria,Victoria
0,1,0,NA,Araliaceae,Astrotricha asperifolia,2.5,120,7,simple,shrub,NA,NA,NA,NA,Victoria_forest,Victoria_no_climbers,,Victoria,Victoria
0,1,0,NA,Araliaceae,Astrotricha asperifolia,2.5,120,7,simple,shrub,NA,NA,NA,NA,Victoria_forest,Victoria_no_climbers,,Victoria,Victoria
0,1,0,NA,Araliaceae,Astrotricha ledifolia,1,35,8,simple,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,NA,Araliaceae,Astrotricha linearis,2,71,2,simple,shrub,NA,NA,NA,NA,Victoria_forest,Victoria_no_climbers,,Victoria,Victoria
0,1,0,NA,Araliaceae,Astrotricha parvifolia,1.8,31,2,simple,shrub,NA,NA,NA,NA,Victoria_forest,Victoria_no_climbers,,Victoria,Victoria
0,1,0,NA,Araliaceae,Astrotricha sp 2,4.2,133,18,simple,shrub,NA,NA,NA,NA,Victoria_forest,Victoria_no_climbers,,Victoria,Victoria
0,1,0,NA,Araliaceae,Astrotricha sp. 1,2,70,7,simple,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
1,1,0,NA,Araliaceae,Astrotricha sp. 3,1.5,42,3,simple,shrub,NA,NA,NA,NA,Victoria_forest,Victoria_no_climbers,,Victoria,Victoria
0,1,0,NA,Araliaceae,Astrotricha sp. 4,1.5,35,1.5,simple,shrub,NA,NA,NA,NA,Victoria_forest,Victoria_no_climbers,,Victoria,Victoria
0,1,0,NA,Araliaceae,Astrotricha sp. 5,1,40,2,simple,shrub,NA,NA,NA,NA,Victoria_forest,Victoria_no_climbers,,Victoria,Victoria
0,1,0,NA,Asteraceae,Cassinia arcuata,2,12,0.5,simple,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
1,1,0,NA,Asteraceae,Cassinia rugata,3,25,4.5,simple,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,NA,Asteraceae,Cassinia uncata,3,30,1.5,simple,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,NA,Asteraceae,Cratostylis conocephala,1.8,10,5,simple,shrub,NA,NA,NA,NA,NA,NA,,,state not specified
0,1,0,NA,Asteraceae,Haeckeria ozothamnoides,3,85,2,simple,shrub,NA,NA,NA,NA,Victoria_forest,Victoria_no_climbers,,Victoria,Victoria
0,1,0,NA,Asteraceae,Ixodia achilleoides,2,100,10,simple,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,NA,Asteraceae,Kippistis suaedifolia,0.4,10,1,simple,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,NA,Asteraceae,Olearia adenophora,1,35,2.5,simple,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,NA,Asteraceae,Olearia aglossa,2.5,90,27,simple,shrub,NA,NA,NA,NA,NA,NA,,,state not specified
0,1,0,NA,Asteraceae,Olearia alpicola,2,130,12,simple,shrub,NA,NA,NA,NA,Victoria_forest,Victoria_no_climbers,,Victoria,Victoria
1,1,0,NA,Asteraceae,Olearia astroloba,0.5,18,10,simple,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,NA,Asteraceae,Olearia astrotricha,2,30,6,simple,shrub,NA,NA,NA,NA,Victoria_forest,Victoria_no_climbers,,Victoria,Victoria
0,1,0,NA,Asteraceae,Olearia calcarea,0.8,15,10,simple,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,NA,Asteraceae,Olearia decurrens,1.8,30,5,simple,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
1,1,0,NA,Asteraceae,Olearia frostii,0.4,30,13,simple,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,NA,Asteraceae,Olearia iodochroa,1,12,3.5,simple,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,NA,Asteraceae,Olearia lanuginosa,1,2,1.3,simple,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,NA,Asteraceae,Olearia magniflora,1,25,10,simple,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,NA,Asteraceae,Olearia megalophylla,1.5,130,35,simple,shrub,NA,NA,NA,NA,Victoria_forest,Victoria_no_climbers,,Victoria,Victoria
0,1,0,NA,Asteraceae,Olearia minor,1,8,2.5,simple,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,NA,Asteraceae,Olearia muelleri,1,14,8,simple,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,NA,Asteraceae,Olearia pannosa,1,120,65,simple,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,NA,Asteraceae,Olearia passerinoides,2,25,1,simple,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,NA,Asteraceae,Olearia picridifolia,0.5,65,9,simple,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,NA,Asteraceae,Olearia pimeleoides,1,15,6,simple,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,NA,Asteraceae,Olearia rudis,1.3,45,18,simple,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,NA,Asteraceae,Olearia rugosa,2.5,80,25,simple,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,NA,Asteraceae,Olearia sp. 1,2.5,8,2,simple,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,NA,Asteraceae,Olearia sp. 2,0.5,4.5,1.5,simple,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,NA,Asteraceae,Olearia speciosa,1,80,40,simple,shrub,NA,NA,NA,NA,Victoria_forest,Victoria_no_climbers,,Victoria,Victoria
0,1,0,NA,Asteraceae,Olearia subspicata,1.5,22,2,simple,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,NA,Asteraceae,Olearia tenuifolia,2,25,2,simple,shrub,NA,NA,NA,NA,Victoria_forest,Victoria_no_climbers,,Victoria,Victoria
0,1,0,NA,Asteraceae,Olearia teretifolia,1.5,5,0.5,simple,shrub,NA,NA,NA,NA,Victoria_forest,Victoria_no_climbers,,Victoria,Victoria
0,1,0,NA,Asteraceae,Olearia tomentosa,2,70,45,simple,shrub,NA,NA,NA,NA,Victoria_forest,Victoria_no_climbers,,Victoria,Victoria
0,1,0,NA,Asteraceae,Olearia tubuliflora,2.5,8,2,simple,shrub,NA,NA,NA,NA,Victoria_forest,Victoria_no_climbers,,Victoria,Victoria
0,1,0,NA,Asteraceae,Ozothamnus adnatus,2,4,1,simple,shrub,NA,NA,NA,NA,Victoria_forest,Victoria_no_climbers,,Victoria,Victoria
0,1,0,NA,Asteraceae,Ozothamnus alpinus,1,10,3,simple,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,NA,Asteraceae,Ozothamnus conditus,2.5,28,2.5,simple,shrub,NA,NA,NA,NA,Victoria_forest,Victoria_no_climbers,,Victoria,Victoria
0,1,0,NA,Asteraceae,Ozothamnus cuneifolius,2,35,9.5,simple,shrub,NA,NA,NA,NA,Victoria_forest,Victoria_no_climbers,,Victoria,Victoria
0,1,0,NA,Asteraceae,Ozothamnus decurrens,0.5,8,1,simple,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,NA,Asteraceae,Ozothamnus pholitotus,2,4,1.5,simple,shrub,NA,NA,NA,NA,NA,NA,,,state not specified
0,1,0,NA,Asteraceae,Ozothamnus retusus,1.5,18,2.5,simple,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,NA,Asteraceae,Ozothamnus rogersianus,2.5,28,2,simple,shrub,NA,NA,NA,NA,Victoria_forest,Victoria_no_climbers,,Victoria,Victoria
0,1,0,NA,Asteraceae,Ozothamnus secundiflorus,2,25,3.5,simple,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,NA,Asteraceae,Ozothamnus sp. 1,1.2,4,2,simple,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,NA,Asteraceae,Ozothamnus stirlingii,2,120,30,simple,shrub,NA,NA,NA,NA,Victoria_forest,Victoria_no_climbers,,Victoria,Victoria
0,1,0,NA,Asteraceae,Senecio cunninghamii,1.2,150,4,simple,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,NA,Boraginaceae,Halgania andromedifolia,1.3,25,6,simple,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,NA,Boraginaceae,Halgania cyanea,0.6,25,5,simple,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,NA,Brassicaceae,Arabidella trisecta,0.3,40,3,simple,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,NA,Brassicaceae,Lepidium leptopetalum,0.6,50,1.5,simple,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,NA,Brassicaceae,Lepidium pseudopapillosum,0.15,40,3,simple,shrub,NA,NA,NA,NA,Victoria_forest,Victoria_no_climbers,,Victoria,Victoria
1,1,0,NA,Casuarinaceae,Allocasuarina grampiana,4,0.5,0.5,scale,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,NA,Casuarinaceae,Allocasuarina mackliniana,3,2,1,scale,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
1,1,0,NA,Casuarinaceae,Allocasuarina media,3,0.5,0.5,scale,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,NA,Casuarinaceae,Allocasuarina misera,2,0.8,0.8,scale,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,NA,Casuarinaceae,Allocasuarina muelleriana,3,0.6,0.5,scale,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,NA,Casuarinaceae,Allocasuarina nana,2,0.6,0.5,scale,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,NA,Casuarinaceae,Allocasuarina paradoxa,2,2,1,scale,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,NA,Casuarinaceae,Allocasuarina pusilla,2,0.5,0.5,scale,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,NA,Chenopodiaceae,Atriplex acutibractea,0.5,30,20,simple,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,NA,Chenopodiaceae,Atriplex nummularia,3,40,40,simple,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,NA,Chenopodiaceae,Atriplex pseudocampanulata,0.3,20,20,simple,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,NA,Chenopodiaceae,Atriplex rhagodioides,2.5,40,30,simple,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,NA,Chenopodiaceae,Atriplex stipitata,1,20,15,simple,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,NA,Chenopodiaceae,Rhagodia crassifolia,1.5,25,2.5,simple,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,NA,Chenopodiaceae,Rhagodia parabolica,2,40,25,simple,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,NA,Chenopodiaceae,Rhagodia spinescens,1,20,15,simple,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,NA,Chenopodiaceae,Rhagodia ulicina,1,5,3,simple,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,NA,Chenopodiaceae,Sclerochlamys brachyptera,0.15,12,1,simple,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,NA,Chenopodiaceae,Stelligera endecaspinis,0.5,10,1,simple,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,NA,Cunoniaceae,Bauera sessiliflora,2,15,5,compound,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,NA,Dilleniaceae,Hibbertia cistiflora,1.5,18,1.1,simple,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,NA,Dilleniaceae,Hibbertia diffusa,0.2,28,14,simple,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,NA,Dilleniaceae,Hibbertia exutacies,0.5,10.4,1.3,simple,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,NA,Dilleniaceae,Hibbertia hermanniifolia,0.5,15.4,7.6,simple,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,NA,Dilleniaceae,Hibbertia humifusa,0.1,14,3,simple,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,NA,Dilleniaceae,Hibbertia incana,0.8,13.6,3.3,simple,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,NA,Dilleniaceae,Hibbertia pedunculata,0.4,5.8,1.3,simple,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,NA,Dilleniaceae,Hibbertia sessiliflora,0.3,9.6,3.2,simple,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,NA,Dilleniaceae,Hibbertia spathulata,1.5,14.5,7.3,simple,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,NA,Dilleniaceae,Hibbertia torulosa,0.6,6.2,1,simple,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,NA,Ericaceae,Acrothamnus macraei,3,8,4,simple,shrub,NA,NA,NA,NA,Victoria_forest,Victoria_no_climbers,,Victoria,Victoria
0,1,0,NA,Ericaceae,Acrotriche depressa,0.8,5,3,simple,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,NA,Ericaceae,Acrotriche leucocarpa,1.3,14,3.5,simple,shrub,NA,NA,NA,NA,Victoria_forest,Victoria_no_climbers,,Victoria,Victoria
0,1,0,NA,Ericaceae,Acrotriche prostrata,0.15,16,8,simple,shrub,NA,NA,NA,NA,Victoria_forest,Victoria_no_climbers,,Victoria,Victoria
0,1,0,NA,Ericaceae,Brachyloma daphnoides,1,11,4.5,simple,shrub,NA,NA,NA,NA,Victoria_forest,Victoria_no_climbers,,Victoria,Victoria
0,1,0,NA,Ericaceae,Brachyloma ericoides,0.6,13,1.5,simple,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,NA,Ericaceae,Epacris breviflora,1.5,10,5,simple,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,NA,Ericaceae,Epacris celata,0.6,4,2.5,simple,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,NA,Ericaceae,Epacris microphylla,2,6,3.5,simple,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,NA,Ericaceae,Leucopogon attenuatus,0.4,7,2,simple,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,NA,Ericaceae,Leucopogon clelandii,0.3,6,1.8,simple,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,NA,Ericaceae,Leucopogon cordifolius,1.5,7,8,simple,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,NA,Ericaceae,Leucopogon costatus,0.5,5,3.5,simple,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,NA,Ericaceae,Leucopogon fletcheri,1.5,17,3,simple,shrub,NA,NA,NA,NA,Victoria_forest,Victoria_no_climbers,,Victoria,Victoria
0,1,0,NA,Ericaceae,Leucopogon fraseri,0.3,8,2.5,simple,shrub,NA,NA,NA,NA,Victoria_forest,Victoria_no_climbers,,Victoria,Victoria
0,1,0,NA,Ericaceae,Leucopogon gelidus,2,25,6.5,simple,shrub,NA,NA,NA,NA,Victoria_forest,Victoria_no_climbers,,Victoria,Victoria
0,1,0,NA,Ericaceae,Leucopogon glacialis,0.6,12,1.3,simple,shrub,NA,NA,NA,NA,NA,Victoria_no_climbers,,Victoria,Victoria
0,1,0,NA,Ericaceae,Leucopogon juniperinus,1,12,2.5,simple,shrub,NA,NA,NA,NA,Victoria_forest,Victoria_no_climbers,,Victoria,Victoria
0,1,0,NA,Ericaceae,Leucopogon microphyllus,1,6,1,simple,shrub,NA,NA,NA,NA,Victoria_forest,Victoria_no_climbers,,Victoria,Victoria
0,1,0,NA,Ericaceae,Leucopogon neurophyllus,2,45,8,simple,shrub,NA,NA,NA,NA,Victoria_forest,Victoria_no_climbers,,Victoria,Victoria
