taxon_name,plant_growth_form,growth_habit,parasitic,life_history,regen_strategy,growth_medium,sex_type
Jacksonia thesioides,,,,,,,
Jacksonia ramosissima,,,,,,,
Blainvillea calcicola,,,,,,,
Tephrosia baueri,,,,,,,
Solanum apodophyllum,,,,,,,
Harnieria kempeana,subshrub shrub,,,,,,
Galenia,,,,,,,
Aizoon pubescens,,,,,,,
Galenia pubescens,herb,prostrate,,perennial,,,
Gunniopsis papillata,,,,,,,
Trianthema oxycalyptra,,,,,,,
Zaleya galericulata,herb,prostrate spreading,,short_lived_perennial annual,,,
Amaranthus induratus,,,,,,,
Gomphrena breviflora,herb,,,,,,
Schinus,,,,,,,
Schinus molle,,,,,,,
Schinus molle,tree,,,,,,
Ptilotus chippendalei,,,,,,,
Ptilotus brachyanthus,,,,,,,
Ptilotus leucocoma,,,,,,,
Calotis xanthosioidea,,,,,,,
Centipeda pleiocephala,,,,,,,
Olearia arida,,,,,,,
Pluchea sp. Ormiston,,,,,,,
Senecio vulgaris,,,,,,,
Rhodanthe corymbiflora,,,,,,,
Heliotropium subreniforme,,,,,,,
Heliotropium supinum,herb,,,annual,,,dioecious
Atriplex crassipes,subshrub herb,erect decumbent,,short_lived_perennial annual,,,
Atriplex quadrivalvata,,,,,,,
Atriplex vesicaria,,,,,,,
Dissocarpus biflorus,,,,,,,
Polymeria sp. Western Tanami,,,,,,,
Swainsona disjuncta,,,,,,,
Swainsona purpurea,,,,,,,
Swainsona tenuis,,,,,,,
Swainsona stipularis,,,,,,,
Vigna lanceolata,climber_vine,twining,,annual perennial,,,
Frankenia muscosa,,,,,,,
Frankenia stuartii,,,,,,,
Fumaria parviflora,herb,decumbent,,annual,,,
Haloragis odontocarpa,herb,,,annual,,,
Juncus kraussii,,,,,,,
Wurmbea centralis,,,,,,,
Amyema gibberula,,,,,,,
Lysiana spathulata,,,,,,,
Hibiscus brachychlaenus,,,,,,,
Sida sp. Kathleen Springs,subshrub herb,prostrate,,perennial,,,
Sida petrophila,,,,,,,
Acacia ayersiana,shrub,dense,,,,,
Acacia sp. Indiana Station,,,,,,,
Acacia stipulosa,,,,,,,
Acacia synchronicia,,,,,,,
Acacia cuthbertsonii,,,,,,,
Acacia retivenea,,,,,,,
Eremophila forrestii,,,,,,,
Eremophila gilesii,shrub,,,,,,
Eremophila goodwinii,shrub,spindly,,,,,
Eremophila hughesii,,,,,,,
Eremophila hughesii,,,,,,,
Eremophila platythamnos,shrub,,,,,,
Eucalyptus coolabah,tree,,,,,,
Oenothera stricta,,,,,,,
Eragrostis olida,,,,,,,
Eragrostis crateriformis,,,,,,,
Eragrostis subtilis,,,,,,,
Eragrostis exigua,,,,,,,
Eragrostis sp. limestone,,,,,,,
Eragrostis infecunda,,,,,,,
Triodia brizoides,,,,,,,
Urochloa gilesii,,,,,,,
Yakirra australiensis,,,,,,,
Grevillea juncifolia,tree shrub,,,,,,
Grevillea refracta,,,,,,,
Grevillea refracta,,,,,,,
Hakea leucoptera,shrub,,,,,,
Dodonaea microzyga,shrub,,,,,,
Nicotiana rosulata,,,,,,,
Stackhousia sp. Mt Liebig,,,,,,,
Tamarix ramosissima,,,,,,,
Pimelea microcephala,shrub,,,,,,
Triumfetta deserticola,,,,,,,
Clerodendrum floribundum,,,,,,,
Verbena macrostachya,herb,,,perennial,,,
Zygophyllum aurantiacum,,,,,,,
Zygophyllum crassissimum,subshrub herb,erect spreading,,perennial,,,
Trophis,shrub climber,scrambling,,,,,dioecious
Trophis scandens,shrub,scrambling,,,,,
Trophis scandens,,,,,,,
Vallisneria annua,herb,stoloniferous,,annual,stolon,,
Macrothelypteris,,,,,rhizome,,
Macrothelypteris torresiana,,,,,rhizome,,
Typhonium johnsonianum,geophyte,,,,,,
Heliotropium parviantrum,,,,,,,
Heliotropium uniflorum,,,,,,,
Heliotropium cracens,,,,,,,
Heliotropium discorde,,,,,,,
Heliotropium pleiopterum,,,,short_lived_perennial annual,,,
Heliotropium paniculatum,,,,,,,
Phyllanthus erwinii,herb,spreading,,,,,
Phyllanthus oblanceolatus,subshrub herb,,,perennial,,,
Tephrosia sp. D Kimberley Flora,,,,,,,
Tephrosia virens,,,,,,,
Pluchea ferdinandi-muelleri,,,,,,,
Fimbristylis sieberiana,,,,,,,
Plectranthus scutellarioides,,,,,,,
Xyris cheumatophila,herb,,,perennial,,,
Xyris pusilla,,,,,,,
Hibbertia sphenandra,subshrub,,,,,,
Fimbristylis sp. Mowla Bluff,,,,,,,
Heliotropium chrysocarpum,,,,,,,
Acalypha pubiflora,,,,,,,
Acalypha pubiflora,,,,,,,
Pluchea dunlopii,,,,,,,
Khaya,,,,,,,
Khaya senegalensis,,,,,,,
Asystasia australasica,,,,,,,
Asystasia gangetica,,,,,,,
Blepharis,,,,,,,
Crossandra,,,,,,,
Crossandra infundibuliformis,,,,,,,
Dicliptera glabra,,,,,,,
Dicliptera miscella,,,,,,,
Graptophyllum thorogoodii,,,,,,,
Justicia,,,,,,,
Justicia carthagenensis,,,,,,,
Justicia procumbens,,,,,,,
Neuracanthus,,,,,,,
Odontonema strictum,,,,,,,
Peristrophe brassii,,,,,,,
Sanchezia,,,,,,,
Thunbergia grandiflora,,,,,,,
Adiantum formosum,,,,,,,
Carpobrotus aequilaterus,,,,,,,
Carpobrotus modestus,,,,,,,
Disphyma crassifolium,,,,,,,
Gunniopsis calcarea,,,,,,,
Gunniopsis glabra,,,,,,,
Gunniopsis kochii,,,,,,,
Gunniopsis rubra,,,,,,,
Gunniopsis tenuifolia,,,,,,,
Psilocaulon tenue,,,,,,,
Tetragonia implexicoma,,,,,,,
Tetragonia tetragonioides,,,,,,,
Trianthema cussackianum,,,,,,,
Trianthema kimberleyi,,,,,,,
Akania lucens,,,,,,,
Alangium villosum,,,,,,,
Alisma plantago-aquatica,,,,,,,
Alternanthera bettzickiana,,,,,,,
Alternanthera sessilis,,,,,,,
Alternanthera triandra,,,,,,,
Amaranthus cruentus,,,,,,,
Amaranthus graecizans,,,,,,,
Amaranthus muricatus,,,,,,,
Deeringia amaranthoides,,,,,,,
Gomphrena alba,,,,,,,
Gomphrena michellii,,,,,,,
Gomphrena pusilla,,,,,,,
Gomphrena sordida,,,,,,,
Gomphrena tenella,,,,,,,
Philoxerus vermicularis,,,,,,,
Ptilotus albidus,,,,,,,
Ptilotus appendiculatus,,,,,,,
Ptilotus atriplicifolius,,,,,,,
Ptilotus auriculifolius,,,,,,,
Ptilotus axillaris,,,,,,,
Ptilotus carinatus,,,,,,,
Ptilotus crispus,,,,,,,
Ptilotus crosslandii,,,,,,,
Ptilotus divaricatus,,,,,,,
Ptilotus drummondii,,,,,,,
Ptilotus gomphrenoides,,,,,,,
Ptilotus humilis,,,,,,,
Ptilotus lanatus,,,,,,,
Ptilotus maconochiei,,,,,,,
Ptilotus manglesii,,,,,,,
Ptilotus marduguru,,,,,,,
Ptilotus seminudus,,,,,,,
Ptilotus stipitatus,,,,,,,
Ptilotus stirlingii,,,,,,,
Ptilotus villosiflorus,,,,,,,
Nothoscordum inodorum,,,,,,,
Blepharocarya involucrigera,,,,,,,
Euroschinus falcatus,,,,,,,
Favolus emerici,,,,,,,
Pleiogynium timoriense,,,,,,,
Schinus terebinthifolius,,,,,,,
Cananga odorata,,,,,,,
Eupomatia laurina,,,,,,,
Heliotropium parviantrum,,,,,,,
Heliotropium cracens,,,,,,,
Heliotropium pleiopterum,,,,short_lived_perennial annual,,,
Phyllanthus erwinii,herb,spreading,,,,,
Phyllanthus oblanceolatus,subshrub herb,,,perennial,,,
Pluchea ferdinandi-muelleri,,,,,,,
Fimbristylis sieberiana,,,,,,,
Xyris cheumatophila,herb,,,perennial,,,
Pluchea dunlopii,,,,,,,
Miliusa horsfieldii,,,,,,,
Monoon longifolium,,,,,,,
Uvaria rufa,,,,,,,
Aciphylla glacialis,,,,,,,
Actinotus bellidioides,,,,,,,
Actinotus gibbonsii,,,,,,,
Actinotus helianthi,,,,,,,
Actinotus minor,,,,,,,
Apium prostratum,,,,,,,
Bupleurum semicompositum,,,,,,,
Damasonium minus,,,,,,,
Eryngium foetidum,,,,,,,
Eryngium plantagineum,,,,,,,
Eryngium rostratum,,,,,,,
Foeniculum vulgare,,,,,,,
Hydrocotyle acutiloba,,,,,,,
Hydrocotyle alata,,,,,,,
Hydrocotyle callicarpa,,,,,,,
Hydrocotyle capillaris,,,,,,,
Hydrocotyle diantha,,,,,,,
Hydrocotyle laxiflora,,,,,,,
Hydrocotyle medicaginoides,,,,,,,
Hydrocotyle muscosa,,,,,,,
Platysace ericoides,,,,,,,
Platysace heterophylla,,,,,,,
Platysace lanceolata,,,,,,,
Platysace linearifolia,,,,,,,
Platysace valida,,,,,,,
Trachymene anisocarpa,,,,,,,
Trachymene bivestita,,,,,,,
Trachymene coerulea,,,,,,,
Trachymene clivicola,,,,,,,
Trachymene cyanantha,,,,,,,
Trachymene cyanopetala,,,,,,,
Trachymene dendritica,,,,,,,
Trachymene dendrothrix,,,,,,,
Trachymene geraniifolia,,,,,,,
Trachymene hookeri,,,,,,,
Trachymene incisa,,,,,,,
Trachymene ornata,,,,,,,
Trachymene procumbens,,,,,,,
Trachymene tenuifolia,,,,,,,
Xanthosia atkinsonia,,,,,,,
Xanthosia fruticulosa,,,,,,,
Xanthosia pilosa,,,,,,,
Allamanda,,,,,,,
Allamanda cathartica,,,,,,,
Alstonia constricta,,,,,,,
Alstonia muelleriana,,,,,,,
Alstonia scholaris,,,,,,,
Alyxia buxifolia,,,,,,,
Alyxia grandis,,,,,,,
Alyxia orophila,,,,,,,
Carissa ovata,shrub,,,,,,
Cerbera inflata,,,,,,,
Cerbera odollam,,,,,,,
Melodinus acutiflorus,,,,,,,
Neisosperma oppositifolium,,,,,,,
Nerium oleander,,,,,,,
Parsonsia lanceolata,,,,,,,
Parsonsia lilacina,,,,,,,
Parsonsia straminea,,,,,,,
Parsonsia ventricosa,,,,,,,
Plumeria,,,,,,,
Strophanthus gratus,,,,,,,
Epipremnum pinnata,,,,,,,
Typhonium eliosurum,,,,,,,
Typhonium nudibaccatum,,,,,,,
Astrotricha,,,,,,,
Astrotricha asperifolia,,,,,,,
Astrotricha latifolia,,,,,,,
Astrotricha ledifolia,,,,,,,
Astrotricha longifolia,,,,,,,
Mackinlaya confusa,,,,,,,
Motherwellia haplosciadea,,,,,,,
Polyscias mollis,,,,,,,
Polyscias sambucifolia,,,,,,,
Polyscias wilmottii,,,,,,,
Calamus,,,,,,,
Calamus caryotoides,,,,,,,
Cocos,,,,,,,
Cocos nucifera,,,,,,,
Livistona decipiens,,,,,,,
Livistona eastonii,,,,,,,
Livistona muelleri,,,,,,,
Aristolochia chalmersii,,,,,,,
Aristolochia elegans,,,,,,,
Aristolochia tagala,,,,,,,
Araujia hortorum,,,,,,,
Ceropegia cumingiana,,,,,,,
Cryptostegia grandiflora,,,,,,,
Cynanchum ovalifolium,,,,,,,
Dischidia nummularia,,,,,,,
Gomphocarpus physocarpus,,,,,,,
Heterostemma acuminatum,,,,,,,
Hoya nicholsoniae,,,,,,,
Marsdenia cymulosa,,,,,,,
Marsdenia flavescens,,,,,,,
Marsdenia rostrata,,,,,,,
Secamone lineata,,,,,,,
Tylophora colorata,,,,,,,
Tylophora grandiflora,,,,,,,
Tylophora williamsii,,,,,,,
Lastreopsis,,,,,,,
Lastreopsis acuminata,,,,,,,
Lastreopsis microsora,,,,,,,
Lastreopsis rufescens,,,,,,,
Lastreopsis tinarooensis,,,,,,,
Asplenium attenuatum,,,,,,,
Asplenium bulbiferum,,,,,,,
Asplenium flabellifolium,,,,,,,
Asplenium laserpitiifolium,,,,,,,
Asplenium nidus,,,,,,,
Asplenium simplicifrons,,,,,,,
Achillea millefolium,,,,,,,
Ammobium alatum,,,,,,,
Angianthus brachypappus,,,,,,,
Angianthus burkittii,,,,,,,
Angianthus preissianus,,,,,,,
Angianthus strictus,,,,,,,
Angianthus tomentosus,,,,,,,
Anthemis nobilis,,,,,,,
Argyrantheum frutescens,,,,,,,
Basedowia tenerrima,,,,,,,
Brachyscome graminea,,,,,,,
Brachyscome lineariloba,,,,,,,
Brachyscome microcarpa,,,,,,,
Brachyscome rigidula,,,,,,,
Brachyscome trachycarpa,,,,,,,
Calocephalus brownii,,,,,,,
Calocephalus citreus,,,,,,,
Calocephalus lacteus,,,,,,,
Calocephalus sonderi,,,,,,,
Calomeria amaranthoides,,,,,,,
Calotis inermis,,,,,,,
Calotis lappulacea,,,,,,,
Calotis scapigera,,,,,,,
Riccia chrysocrinita,,,,,,,
Carduus,,,,,,,
Cassinia aculeata,,,,,,,
Cassinia arcuata,,,,,,,
Cassinia quinquefaria,,,,,,,
Celmisia asteliifolia,,,,,,,
Celmisia tomentella,,,,,,,
Centaurea melitensis,,,,,,,
Centaurea repens,,,,,,,
Centaurea solstitialis,,,,,,,
Cephalipterum drummondii,,,,,,,
Cephalosorus carpesioides,,,,,,,
Chrysanthemoides monilifera,,,,,,,
Chrysanthemum foeniculaceum,,,,,,,
Gnephosis drummondii,,,,,,,
Gnephosis tridens,,,,,,,
Gnephosis uniflora,,,,,,,
Cirsium vulgare,,,,,,,
Erigeron canadensis,,,,,,,
Cosmos,,,,,,,
Cosmos caudatus,,,,,,,
Cotula coronopifolia,,,,,,,
Craspedia pleiocephala,,,,,,,
Craspedia variabilis,,,,,,,
Crassocephalum crepidioides,,,,,,,
Cratystylis conocephala,,,,,,,
Cynara cardunculus,,,,,,,
Elachanthus,,,,,,,
Epaltes,,,,,,,
Epaltes cunninghamii,,,,,,,
Erigeron,,,,,,,
Erodiophyllum elderi,,,,,,,
Gnephosis angianthoides,,,,,,,
Gymnocoronis spilanthoides,,,,,,,
Hedypnois rhagadioloides,,,,,,,
Helichrysum acuminatum,,,,,,,
Helichrysum adenophorum,,,,,,,
Helichrysum baxteri,,,,,,,
Helichrysum elatum,,,,,,,
Helichrysum gracilescens,,,,,,,
Helichrysum leucopsideum,,,,,,,
Coronidium newcastlianum,,,,,,,
Helichrysum obtusifolium,,,,,,,
Helichrysum rutidolepis,,,,,,,
Helichrysum scorpioides,,,,,,,
Helichrysum semipapposum,,,,,,,
Helichrysum stirlingii,,,,,,,
Helichrysum tepperi,,,,,,,
Helipterum craspedioides,,,,,,,
Helipterum manglesii,,,,,,,
Humea elegans,,,,,,,
Hyalosperma glutinosum,,,,,,,
Hyalosperma glutinosum,,,,,,,
Hypochoeris microcephala,,,,,,,
Isoetopsis,,,,,,,
Isoetopsis graminifolia,,,,,,,
Lagenifera stipitata,,,,,,,
Leptorhynchos linearis,,,,,,,
Leptorhynchos panaetioides,,,,,,,
Leptorhynchos tenuifolius,,,,,,,
Leptorhynchos waitzia,,,,,,,
Leptorhynchos squamatus,,,,,,,
Leucochrysum molle,,,,,,,
Millotia inopinata,,,,,,,
Millotia myosotidifolia,,,,,,,
Minuria annua,,,,,,,
Myriocephalus rhizocephalus,,,,,,,
Olearia argophylla,,,,,,,
Olearia axillaris,,,,,,,
Olearia cassiniae,,,,,,,
Olearia ciliata,,,,,,,
Olearia decurrens,,,,,,,
Olearia elliptica,,,,,,,
Olearia erubescens,,,,,,,
Olearia floribunda,,,,,,,
Olearia glandulosa,,,,,,,
Olearia lepidophylla,,,,,,,
Olearia lirata,,,,,,,
Olearia muelleri,,,,,,,
Olearia phlogopappa,,,,,,,
Olearia pimeleoides,,,,,,,
Olearia plucheacea,,,,,,,
Olearia ramulosa,,,,,,,
Olearia tomentosa,,,,,,,
Olearia trifurcata,,,,,,,
Olearia viscidula,,,,,,,
Picris echioides,,,,,,,
Picris evae,,,,,,,
Picris hieracioides,,,,,,,
Pleuropappus phyllocalymmeus,,,,,,,
Pluchea baccharioides,,,,,,,
Podolepis arachnoidea,,,,,,,
Podolepis lessonii,,,,,,,
Podolepis robusta,,,,,,,
Podotheca wilsonii,,,,,,,
Pogonolepis stricta,,,,,,,
Praxelis clematidea,,,,,,,
Pterocaulon cylindrostachyum,,,,,,,
Pycnosorus thompsonianus,,,,,,,
Reichardia tingitana,,,,,,,
Rhodanthe anthemoides,,,,,,,
Rhodanthe diffusa,,,,,,,
Rhodanthe humboldtiana,,,,,,,
Rhodanthe polygalifolia,,,,,,,
Rhodanthe spicata,,,,,,,
Rhodanthe stuartiana,,,,,,,
Rhodanthe troedelii,,,,,,,
Senecio amygdalifolius,,,,,,,
Senecio gawlerensis,,,,,,,
Senecio madagascariensis,,,,,,,
Senecio picridioides,,,,,,,
Senecio pterophorus,,,,,,,
Senecio quadridentatus,,,,,,,
Senecio velleoides,,,,,,,
Sigesbeckia fugax,,,,,,,
Sigesbeckia orientalis,,,,,,,
Sigesbeckia orientalis,,,,,,,
Solenogyne dominii,,,,,,,
Solidago,,,,,,,
Streptoglossa tenuiflora,,,,,,,
Stuartina muelleri,,,,,,,
Taplinia saxatilis,,,,,,,
Trichanthodium exilis,,,,,,,
Urospermum picroides,,,,,,,
Vittadinia blackii,,,,,,,
Vittadinia cervicularis,,,,,,,
Vittadinia cuneata,,,,,,,
Vittadinia diffusa,,,,,,,
Vittadinia muelleri,,,,,,,
Waitzia aurea,,,,,,,
Apowollastonia longipes,,,,,,,
Apowollastonia spilanthoides,,,,,,,
Xanthium californicum,,,,,,,
Xanthium pungens,,,,,,,
Zinnia,,,,,,,
Zinnia peruviana,,,,,,,
Callipteris prolifera,,,,,,,
Avicennia eucalyptifolia,,,,,,,
Balanophora fungosa,,,,,,,
Jacaranda mimosifolia,,,,,,,
Millingtonia hortensis,,,,,,,
Pandorea pandorana,,,,,,,
Rademachera pinnata,,,,,,,
Saritaea magnifica,,,,,,,
Tabebuia,,,,,,,
Tabebuia aurea,,,,,,,
Tecoma stans,,,,,,,
Tecomaria,,,,,,,
Tecomaria capensis,,,,,,,
Blechnum cartilagineum,,,,,,,
Blechnum minus,,,,,,,
Blechnum nudum,,,,,,,
Blechnum patersonii,,,,,,,
Blechnum vulcanicum,,,,,,,
Blechnum wurunuran,,,,,,,
Doodia aspera,,,,,,,
Doodia media,,,,,,,
Chorisia speciosa,,,,,,,
Cordia myxa,,,,,,,
Ehretia acuminata,,,,,,,
Ehretia membranifolia,,,,,,,
Halgania andromedifolia,,,,,,,
Halgania gustafsenii,,,,,,,
Halgania integerrima,,,,,,,
Halgania stipitata,,,,,,,
Lithospermum arvense,,,,,,,
Myosotis australis,,,,,,,
Myosotis caespitosa,,,,,,,
Myosotis sylvatica,,,,,,,
Alyssum linifolium,,,,,,,
Arabidella eremigena,,,,,,,
Arabidella filifolia,,,,,,,
Barbarea verna,,,,,,,
Cakile edentula,,,,,,,
Cakile maritima,,,,,,,
Cardamine flexuosa,,,,,,,
Lepidium draba,,,,,,,
Coronopus squamatus,,,,,,,
Harmsiodoxa brevipes,,,,,,,
Lepidium fasciculatum,,,,,,,
Lepidium genistoides,,,,,,,
Lepidium leptopetalum,,,,,,,
Lepidium papillosum,,,,,,,
Lepidium pholidogynum,,,,,,,
Menkea crassa,,,,,,,
Pachymitus cardaminoides,,,,,,,
Raphanus raphanistrum,,,,,,,
Stenopetalum sphaerocarpum,,,,,,,
Garuga floribunda,,,,,,,
Garuga floribunda,,,,,,,
Afzelia,,,,,,,
Bauhinia acuminata,,,,,,,
Bauhinia carronii,,,,,,,
Bauhinia purpurea,,,,,,,
Bauhinia variegata,,,,,,,
Caesalpinia major,,,,,,,
Cassia brewsteri,,,,,,,
Cassia goniodes,,,,,,,
Cassia helmsii,,,,,,,
Cassia javanica,,,,,,,
Cassia nemophila,,,,,,,
Caesalpinia pulcherrima,,,,,,,
Labichea brassii,,,,,,,
Labichea buettneriana,,,,,,,
Labichea digitata,,,,,,,
Labichea nitida,,,,,,,
Labichea punctata,,,,,,,
Labichea lanceolata,,,,,,,
Bauhinia hookeri,,,,,,,
Mezoneuron scortechinii,,,,,,,
Petalostylis labicheoides,,,,,,,
Saraca thaipingensis,,,,,,,
Senna barclayana,,,,,,,
Senna gonioides,,,,,,,
Senna siamea,,,,,,,
Storckiella australiensis,,,,,,,
Calectasia cyanea,,,,,,,
Isotoma axillaris,,,,,,,
Lobelia alata,,,,,,,
Lobelia simplicicaulis,,,,,,,
Pratia,,,,,,,
Wahlenbergia fluminalis,,,,,,,
Wahlenbergia gloriosa,,,,,,,
Wahlenbergia planiflora,,,,,,,
Wahlenbergia stricta,,,,,,,
Apophyllum anomalum,,,,,,,
Cadaba capparoides,,,,,,,
Capparis canescens,,,,,,,
Capparis lucida,,,,,,,
Sambucus gaudichaudiana,,,,,,,
Polycarpaea brevianthera,,,,,,,
Polycarpaea parviflora,,,,,,,
Scleranthus diander,,,,,,,
Scleranthus pungens,,,,,,,
Silene gallica,,,,,,,
Allocasuarina helmsii,,,,,,,
Allocasuarina littoralis,,,,,,,
Casuarina campestris,,,,,,,
Casuarina cristata,,,,,,,
Casuarina distyla,,,,,,,
Casuarina equisetifolia,,,,,,,
Casuarina glauca,,,,,,,
Casuarina leuhmannii,,,,,,,
Casuarina littoralis,,,,,,,
Casuarina muellerana,,,,,,,
Casuarina obesa,,,,,,,
Apatophyllum constablei,,,,,,,
Denhamia celastroides,,,,,,,
Denhamia oleaster,,,,,,,
Denhamia pittosporoides,,,,,,,
Elaeodendron,,,,,,,
Elaeodendron australe,,,,,,,
Euonymus australiana,,,,,,,
Hypsophila dielsiana,,,,,,,
Hypsophila halleyana,,,,,,,
Denhamia bilocularis,,,,,,,
Denhamia disperma,,,,,,,
Denhamia fasciculiflora,,,,,,,
Perrottetia arborescens,,,,,,,
Psammomoya choretroides,,,,,,,
Atriplex acutibractea,,,,,,,
Atriplex aerdleyae,,,,,,,
Atriplex amnicola,,,,,,,
Atriplex cornigera,,,,,,,
Atriplex hastata,,,,,,,
Atriplex hymenotheca,,,,,,,
Atriplex macropterocarpa,,,,,,,
Atriplex obconica,,,,,,,
Atriplex paludosa,,,,,,,
Atriplex paludosum,,,,,,,
Atriplex papillata,,,,,,,
Atriplex prostrata,,,,,,,
Atriplex pumila,,,,,,,
Atriplex semibaccata,subshrub herb,prostrate decumbent,,perennial,,,
Atriplex semilunaris,,,,,,,
Atriplex sessilifolia,,,,,,,
Atriplex spinulosa,,,,,,,
Atriplex suberecta,,,,,,,
Bassia hyssopifolia,,,,,,,
Chenopodium auricomiforme,,,,,,,
Chenopodium carinatum,,,,,,,
Chenopodium crostatum,,,,,,,
Chenopodium curvispicatum,,,,,,,
Chenopodium glaucum,,,,,,,
Dysphania inflata,,,,,,,
Halosarcia,,,,,,,
Tecticornia fimbriata,,,,,,,
Tecticornia fontinalis,,,,,,,
Tecticornia leptoclada,,,,,,,
Tecticornia lylei,,,,,,,
Tecticornia pluriflora,,,,,,,
Hemichroa mesembryanthema,,,,,,,
Maireana amoena,,,,,,,
Maireana cheelii,,,,,,,
Maireana convexa,,,,,,,
Maireana decalvans,,,,,,,
Maireana diffusa,,,,,,,
Maireana erioclada,,,,,,,
Maireana glomerifolia,,,,,,,
Maireana melanocoma,,,,,,,
Maireana oppositifolia,,,,,,,
Maireana pentagona,,,,,,,
Maireana platycarpa,,,,,,,
Maireana radiata,,,,,,,
Maireana turbinata,,,,,,,
Malacocera albolanata,,,,,,,
Malacocera gracilis,,,,,,,
Osteocarpum acropterum,,,,,,,
Rhagodia candolleana,,,,,,,
Rhagodia crassifolia,,,,,,,
Rhagodia preissii,,,,,,,
Rhagodia ulicina,,,,,,,
Roycea spinescens,,,,,,,
Salcocornia blackiana,,,,,,,
Typhonium sp. Cox Peninsula,geophyte herb,,,annual perennial,,,
Sarcocornia quinqueflora,,,,,,,
Scleroblitum atriplicinum,,,,,,,
Sclerolaena alata,,,,,,,
Sclerolaena articulata,,,,,,,
Sclerolaena blackiana,,,,,,,
Acacia sp. China Wall,shrub,,,perennial,,,
Sclerolaena burbidgae,,,,,,,
Sclerolaena constricta,,,,,,,
Sclerolaena divaricata,,,,,,,
Sclerolaena drummondii,,,,,,,
Sclerolaena eurotioides,,,,,,,
Sclerolaena fimbriolata,,,,,,,
Sclerolaena fontinalis,,,,,,,
Sclerolaena hostilis,,,,,,,
Sclerolaena hyssopifolia,,,,,,,
Sclerolaena muricata,,,,,,,
Sclerolaena ramsayae,,,,,,,
Sclerolaena recurvicuspis,,,,,,,
Sclerolaena tatei,,,,,,,
Sclerolaena tricuspis,,,,,,,
Sclerolaena tridens,,,,,,,
Sclerolaena ventricosa,,,,,,,
Sclerostegia arbuscula,,,,,,,
Sclerostegia medullosa,,,,,,,
Sclerostegia moniliformis,,,,,,,
Stelligera endicaspinis,,,,,,,
Suaeda australis,,,,,,,
Suaeda maritima,,,,,,,
Tecticornia arborea,,,,,,,
Tecticornia uniflora,,,,,,,
Threlkeldia diffusa,,,,,,,
Calophyllum bicolor,,,,,,,
Garcinia brassii,,,,,,,
Garcinia hunsteinii,,,,,,,
Harungana madagascariensis,,,,,,,
Anogeissus leiocarpa,,,,,,,
Combretum,,,,,,,
Combretum trifoliatum,,,,,,,
Dansiea elliptica,,,,,,,
Macropteranthes fitzalanii,,,,,,,
Macropteranthes leiocaulis,,,,,,,
Macropteranthes montana,,,,,,,
Terminalia arenicola,,,,,,,
Terminalia bellirica,,,,,,,
Terminalia chillagoensis,,,,,,,
Terminalia complanata,,,,,,,
Terminalia cunninghamii,,,,,,,
Terminalia melanocarpa,,,,,,,
Terminalia petiolaris,,,,,,,
Terminalia porphyrocarpa,,,,,,,
Terminalia supranitifolia,,,,,,,
Aneilema acuminatum,,,,,,,
Aneilema papuanum,,,,,,,
Cartonema baileyi,,,,,,,
Rhoeo discolor,,,,,,,
Connarus conchocarpus,,,,,,,
Argyreia nervosa,,,,,,,
Calystegia sepium,,,,,,,
Hewittia malabarica,,,,,,,
Ipomoea antonschmidii,,,,,,,
Ipomoea batatas,,,,,,,
Ipomoea carnea,,,,,,,
Ipomoea littoralis,,,,,,,
Ipomoea purpurea,,,,,,,
Ipomoea saintronanensis,,,,,,,
Ipomoea trichosperma,,,,,,,
Lepistemon urceolatum,,,,,,,
Distimake quinquefolius,,,,,,,
Camonea umbellata,climber_twiner,,,perennial,,,
Operculina riedeliana,,,,,,,
Polymeria angusta,herb,prostrate,,,,,
Porana sericea,,,,,,,
Turbina corymbosa,,,,,,,
Crassula helmsii,,,,,,,
Benincasa hispida,,,,,,,
Zehneria cunninghamii,,,,,,,
Acsmithia davidsonii,,,,,,,
Andopetalum biglandulosum,,,,,,,
Caldcluvia australiensis,,,,,,,
Ceratopetalum apetalum,,,,,,,
Pullea stutzeri,,,,,,,
Schizomeria ovata,,,,,,,
Callitris columellaris,,,,,,,
Callitris endlicheri,,,,,,,
Callitris preissii,,,,,,,
Callitris verrucosa,,,,,,,
Cyathea,,,,,,,
Cyathea baileyana,,,,,,,
Cycas basaltica,,,,,,,
Cycas cairnsiana,,,,,,,
Cycas couttsiana,,,,,,,
Cycas furfuracea,,,,,,,
Cycas lane-poolei,,,,,,,
Cycas platyphylla,,,,,,,
Cycas revoluta,,,,,,,
Thalassodendron ciliatum,,,,,,,
Baumea acuta,,,,,,,
Baumea articulata,,,,,,,
Baumea gunnii,,,,,,,
Baumea juncea,,,,,,,
Baumea nuda,,,,,,,
Baumea teretifolia,,,,,,,
Bolboschoenus fluviatilis,,,,,,,
Carex alsophylla,,,,,,,
Carex appressa,,,,,,,
Carex bichenoviana,,,,,,,
Carex brunnea,,,,,,,
Carex demissa,,,,,,,
Carex dietrichiae,,,,,,,
Carex gunniana,,,,,,,
Carex horsfieldii,,,,,,,
Carex inversa,,,,,,,
Carex polyantha,,,,,,,
Carex pumila,,,,,,,
Carex rhytidocarpa,,,,,,,
Carex tereticaulis,,,,,,,
Caustis blakei,,,,,,,
Caustis flexuosa,,,,,,,
Caustis pentandra,,,,,,,
Caustis recurvata,,,,,,,
