species,Fruit.Type.Botany,Fruit.Type.Specific,Fruit.Type.Function,Adaptive.Trait,Fruit.Length (mm),Fruit.Diameter (mm),Seed.Length (mm),Seed.Diameter (mm),Flowering time
Anigozanthos gabrielae,dry,capsule,dry,,,,,,`9-10
Anigozanthos humilis,dry,capsule,dry,,,,,,`7-9
Anigozanthos kalbarriensis,dry,capsule,dry,,,,,,`8-9
Anigozanthos manglesii,dry,capsule,dry,,,,,,`8-11
Anigozanthos onycis,dry,capsule,dry,,,,,,`9-10
Anigozanthos preissii,dry,capsule,dry,,,,,,`10-11
Anigozanthos pulcherrimus,dry,capsule,dry,,,,,,`10-12
Anigozanthos rufus,dry,capsule,dry,,,,,,`9-12
Anigozanthos viridis,dry,capsule,dry,,,,,,`9-11
Anthobolus filifolius,fleshy,drupe,fleshy,,7,,,,
Anthobolus foveolatus,fleshy,drupe,fleshy,,7,,,,
Anthobolus leptomerioides,fleshy,drupe,fleshy,,7.5,,,,
Anthotium humile,dry,capsule,dry,,,,,,`12-1
Anthotium junciforme,dry,capsule,dry,,10,,,,`12-2
Anthotium rubriflorum,dry,capsule,dry,,8,,,,`11-12
Apatophyllum constablei,dry,capsule,dry,,4.5,2.5,2.75,2,
Apatophyllum olsenii,dry,capsule,dry,,7.25,3.5,4.5,2,
Aphananthe philippinensis,fleshy,drupe,fleshy,,7,,,,
Apodytes brachystylis,fleshy,drupe,fleshy,,13.5,,3,,
Archidendron grandiflorum,dry,pod,dry,,200,25,14,,
Archidendron hendersonii,dry,pod,dry,,110,15,11,,
Archidendron hirsutum,dry,pod,dry,,,10,8.5,6.5,
Archidendron kanisii,dry,pod,dry,,,,,,
Archidendron lovellae,dry,pod,dry,,90,20,,,
Archidendron lucyi,dry,pod,dry,,95,20,13,10,
Archidendron muellerianum,dry,pod,dry,,92.5,12,9.5,8.5,
Archidendron ramiflorum,dry,pod,dry,,80,20,12.5,7,
Archidendron vaillantii,dry,pod,dry,,75,15,10,5,
Archidendron whitei,dry,pod,dry,,80,13,9.25,6.25,
Archidendropsis basaltica,dry,pod,dry,,117.5,17.5,8.5,8,
Archidendropsis thozetiana,dry,pod,dry,,200,15,8,7.2,
Archidendropsis xanthoxylon,dry,pod,dry,,97.5,22.5,,11,
Aristolochia acuminata,dry,utricle,dry,,,,,,`11-6
Aristolochia chalmersii,dry,utricle,dry,,,,,,`2-4
Aristolochia holtzei,dry,utricle,dry,,,,,,`9-2
Aristolochia meridionalis,dry,utricle,dry,,,,,,
Aristolochia pubera,dry,utricle,dry,,,,,,
Aristolochia thozetii,dry,utricle,dry,,,,,,`1-2
Arnhemia cryptantha,dry,capsule,dry,,9.5,,7,,`2-5
Arnocrinum drummondii,dry,capsule,dry,,,,,,`9-12
Arnocrinum gracillimum,dry,capsule,dry,,,,,,`10-11
Arnocrinum preissii,dry,capsule,dry,,,,,,`10-1
Artabotrys carnosipetalus,,,,,,,,,`9-12
Arthropodium curvipes,dry,capsule,dry,,3,,,,`8-9
Arthropodium dyeri,dry,capsule,dry,,4,2.75,,,
Arthropodium milleflorum,dry,capsule,dry,,,4.5,,,`11-2
Arthropodium minus,dry,capsule,dry,,5,4,,,`8-12
Artocarpus glaucus,fleshy,syncarp,fleshy,,,3,,,
Arytera bifoliolata,dry,capsule,dry,,,,,,
Arytera dictyoneura,dry,capsule,fleshy,aril,,,,,
Arytera distylis,dry,capsule,fleshy,aril,,,,,
Arytera divaricata,dry,capsule,fleshy,aril,,,,,
Arytera foveolata,dry,capsule,dry,,,,,,
Arytera lautereriana,dry,capsule,fleshy,aril,,,,,
Arytera macrobotrys,dry,capsule,fleshy,aril,,,,,
Arytera microphylla,dry,capsule,dry,,,,,,
Arytera pauciflora,dry,capsule,fleshy,aril,,,,,
Astelia alpina,fleshy,berry,fleshy,,,,,,
Astelia australiana,fleshy,berry,fleshy,,8,,2.5,,`11-2
Astelia psychrocharis,fleshy,berry,fleshy,,13.5,,2,,
Atalaya angustifolia,dry,samara,dry,,3.5,,,,
Atalaya australiana,dry,samara,dry,,3.25,,,,
Atalaya calcicola,dry,samara,dry,,3.5,,,,
Atalaya hemiglauca,dry,samara,dry,,3,,,,
Atalaya multiflora,dry,samara,dry,,3.5,,,,
Atalaya rigida,dry,samara,dry,,3.75,,,,
Atalaya salicifolia,dry,samara,dry,,3,,,,
Atalaya sericopetala,dry,samara,dry,,3,,,,
Atalaya variifolia,dry,samara,dry,,5.5,,,,
Atherosperma moschatum,dry,achene,dry,,15,,,,
Athertonia diversifolia,,,,,,,,,`3-6
Atkinsonia ligustrina,fleshy,berry,fleshy,,,,,,
Australina pusilla,dry,achene,dry,,,,,,
Austrobaileya scandens,,,,,,,,,`8-9
Austromatthaea elegans,fleshy,drupe,fleshy,,18,12,,,`8-11
Austromuellera trinervia,dry,follicle,dry,,175,57.5,145,40,`11-1
Austromuellera valida,dry,follicle,dry,,125,50,105,47.5,`1-2
Banksia aculeata,dry,follicle,dry,,,,,,`2-3
Banksia aemula,dry,follicle,dry,,,,,,`3-6
Banksia aquilonia,dry,follicle,dry,,,,,,`3-6
Banksia ashbyi,dry,follicle,dry,,,,,,
Banksia attenuata,dry,follicle,dry,,,,,,`10-2
Banksia audax,dry,follicle,dry,,,,,,`11-1
Banksia baueri,dry,follicle,dry,,,,,,`5-7
Banksia baxteri,dry,follicle,dry,,,,,,`12-5
Banksia benthamiana,dry,follicle,dry,,,,,,`11-1
Banksia blechnifolia,dry,follicle,dry,,,,,,`9-11
Banksia brownii,dry,follicle,dry,,,,,,`4-7
Banksia burdettii,dry,follicle,dry,,,,,,`2-3
Banksia caleyi,dry,follicle,dry,,,,,,`10-12
Banksia candolleana,dry,follicle,dry,,,,,,`4-7
Banksia canei,dry,follicle,dry,,,,,,`1-6
Banksia chamaephyton,dry,follicle,dry,,,,,,`10-12
Banksia coccinea,dry,follicle,dry,,,,,,`6-1
Banksia conferta,dry,follicle,dry,,,,,,
Banksia cuneata,dry,follicle,dry,,,,,,`9-12
Banksia dentata,dry,follicle,dry,,,,,,`11-6
Banksia dryandroides,dry,follicle,dry,,,,,,`10-1
Banksia elderiana,dry,follicle,dry,,,,,,`1-3
Banksia elegans,dry,follicle,dry,,,,,,`10-11
Banksia epica,dry,follicle,dry,,,,,,`4-6
Banksia ericifolia,dry,follicle,dry,,,,,,
Banksia gardneri,dry,follicle,dry,,,,,,
Banksia goodii,dry,follicle,dry,,,,,,`11-12
Banksia grandis,dry,follicle,dry,,,,,,`10-1
Banksia grossa,dry,follicle,dry,,,,,,`3-9
Banksia hookeriana,dry,follicle,dry,,,,,,`4-10
Banksia ilicifolia,dry,follicle,dry,,,,,,
Banksia incana,dry,follicle,dry,,,,,,`11-3
Banksia integrifolia,dry,follicle,dry,,,,,,
Banksia laevigata,dry,follicle,dry,,,,,,
Banksia lanata,dry,follicle,dry,,,,,,`10-1
Banksia laricina,dry,follicle,dry,,,,,,`4-7
Banksia lemanniana,dry,follicle,dry,,,,,,`10-1
Banksia leptophylla,dry,follicle,dry,,,,,,
Banksia lindleyana,dry,follicle,dry,,,,,,`1-3
Banksia littoralis,dry,follicle,dry,,,,,,`3-7
Banksia lullfitzii,dry,follicle,dry,,,,,,`3-5
Banksia marginata,dry,follicle,dry,,,,,,`2-7
Banksia media,dry,follicle,dry,,,,,,`3-8
Banksia meisneri,dry,follicle,dry,,,,,,
Banksia menziesii,dry,follicle,dry,,,,,,`2-8
Banksia micrantha,dry,follicle,dry,,,,,,`1-5
Banksia nutans,dry,follicle,dry,,,,,,
Banksia oblongifolia,dry,follicle,dry,,,,,,`3-6
Banksia occidentalis,dry,follicle,dry,,,,,,`12-3
Banksia oligantha,dry,follicle,dry,,,,,,`10-11
Banksia oreophila,dry,follicle,dry,,,,,,`6-7
Banksia ornata,dry,follicle,dry,,,,,,
Banksia paludosa,dry,follicle,dry,,,,,,
Banksia petiolaris,dry,follicle,dry,,,,,,`10-12
Banksia pilostylis,dry,follicle,dry,,,,,,`10-1
Banksia plagiocarpa,dry,follicle,dry,,,,,,`2-7
Banksia praemorsa,dry,follicle,dry,,,,,,`8-11
Banksia prionotes,dry,follicle,dry,,,,,,`2-8
Banksia pulchella,dry,follicle,dry,,,,,,`1-12
Banksia quercifolia,dry,follicle,dry,,,,,,`4-7
Banksia repens,dry,follicle,dry,,,,,,`10-11
Banksia robur,dry,follicle,dry,,,,,,`1-7
Banksia saxicola,dry,follicle,dry,,,,,,`1-3
Banksia scabrella,dry,follicle,dry,,,,,,`9-1
Banksia sceptrum,dry,follicle,dry,,,,,,`12-1
Banksia seminuda,dry,follicle,dry,,,,,,`4-7
Banksia serrata,dry,follicle,dry,,,,,,`1-6
Banksia solandri,dry,follicle,dry,,,,,,`10-11
Banksia speciosa,dry,follicle,dry,,,,,,
Banksia sphaerocarpa,dry,follicle,dry,,,,,,
Banksia spinulosa,dry,follicle,dry,,,,,,
Banksia telmatiaea,dry,follicle,dry,,,,,,`5-8
Banksia tricuspis,dry,follicle,dry,,,,,,`3-7
Banksia verticillata,dry,follicle,dry,,,,,,`1-4
Banksia victoriae,dry,follicle,dry,,,,,,`1-2
Banksia violacea,dry,follicle,dry,,,,,,`11-2
Barklya syringifolia,dry,pod,dry,,37.5,12.5,,,`10-1
Batrachium trichophyllum,dry,achene,dry,,17.5,,,,`10-2
Bauhinia binata,dry,pod,dry,,110,32.5,11,6.5,`12-2
Bauhinia carronii,dry,pod,dry,,85,37.5,10,,`8-2
Bauhinia cunninghamii,dry,pod,dry,,140,46.5,10,,`5-10
Bauhinia gilva,dry,pod,dry,,80,30,13,,`8-11
Bauhinia hookeri,dry,pod,dry,,140,35,14.5,,`9-3
Bauhinia malabarica,dry,pod,dry,,225,15,4.5,,`12-4
Baxteria australis,dry,capsule,dry,,15,,,,
Beilschmiedia bancroftii,fleshy,drupe,fleshy,,,,,,`12-8
Beilschmiedia brunnea,fleshy,drupe,fleshy,,,,,,`12-2
Beilschmiedia castrisinensis,fleshy,drupe,fleshy,,,,,,`9-12
Beilschmiedia collina,fleshy,drupe,fleshy,,,,,,`11-12
Beilschmiedia elliptica,fleshy,drupe,fleshy,,,,,,`8-10
Beilschmiedia obtusifolia,fleshy,drupe,fleshy,,,,,,`10-6
Beilschmiedia oligandra,fleshy,drupe,fleshy,,,,,,`10-11
Beilschmiedia peninsularis,fleshy,drupe,fleshy,,,,,,`1-3
Beilschmiedia recurva,fleshy,drupe,fleshy,,,,,,`1-3
Beilschmiedia tooram,fleshy,drupe,fleshy,,,,,,`11-2
Beilschmiedia volckii,fleshy,drupe,fleshy,,,,,,`12-2
Bellendena montana,,,,,,,,,`12-2
Benthamina alyxifolia,fleshy,berry,fleshy,,,,,,
Blancoa canescens,dry,capsule,dry,,,,,,`6-8
Blandfordia cunninghamii,dry,capsule,dry,,90,,,,
Blandfordia grandiflora,dry,capsule,dry,,60,,,,
Blandfordia nobilis,dry,capsule,dry,,60,,,,
Blandfordia punicea,dry,capsule,dry,,55,,,,
Boehmeria macrophylla,dry,achene,dry,,2,,,,
Borya constricta,dry,capsule,dry,,,,,,
Borya jabirabela,dry,capsule,dry,,,,,,
Borya laciniata,dry,capsule,dry,,,,,,
Borya longiscapa,dry,capsule,dry,,,,,,
Borya mirabilis,dry,capsule,dry,,,,,,
Borya nitida,dry,capsule,dry,,,,,,
Borya scirpoidea,dry,capsule,dry,,,,,,`9-10
Borya septentrionalis,dry,capsule,dry,,,,,,
Borya sphaerocephala,dry,capsule,dry,,,,,,
Borya subulata,dry,capsule,dry,,,,,,
Brucea javanica,fleshy,drupe,fleshy,,7,,,,
Bruguiera cylindrica,fleshy,berry,fleshy,,,,,,
Bruguiera exaristata,fleshy,berry,fleshy,,,,,,
Bruguiera gymnorhiza,fleshy,berry,fleshy,,,,,,
Bruguiera parviflora,fleshy,berry,fleshy,,,,,,
Bruguiera sexangula,fleshy,berry,fleshy,,,,,,
Brunonia australis,dry,,dry,,,,,,
Bubbia queenslandiana,fleshy,berry,fleshy,,,,,,
Bubbia semecarpoides,fleshy,berry,fleshy,,,,,,
Bubbia whiteana,fleshy,berry,fleshy,,,,,,`12-3
Buchanania arborescens,fleshy,drupe,fleshy,,,,,,
Buchanania mangoides,fleshy,drupe,fleshy,,,,,,
Buchanania obovata,fleshy,drupe,fleshy,,13,,,,
Buckinghamia celsissima,dry,follicle,dry,,,,,,`1-4
Buckinghamia ferruginiflora,dry,follicle,dry,,,,,,`6-11
Bulbine alata,dry,capsule,dry,,6.5,,,,
Bulbine bulbosa,dry,capsule,dry,,5.5,,,,
Bulbine glauca,dry,capsule,dry,,5,,,,
Bulbine semibarbata,dry,capsule,dry,,3.25,,,,`7-12
Bulbine vagans,dry,capsule,dry,,4,,,,
Burchardia bairdiae,dry,capsule,dry,,,,,,`8-11
Burchardia monantha,dry,capsule,dry,,,,,,`9-11
Burchardia multiflora,dry,capsule,dry,,,,,,`7-9
Burchardia rosea,dry,capsule,dry,,,,,,`8-10
Burchardia umbellata,dry,capsule,dry,,,,,,`8-10
Caesalpinia bonduc,dry,pod,dry,,67.5,36.5,17.5,,`1-7
Caesalpinia crista,dry,pod,dry,,57.5,30,22.5,,`11-3
Caesalpinia erythrocarpa,dry,pod,dry,,47.5,27.5,,,`7-8
Caesalpinia hymenocarpa,dry,pod,dry,,100,27.5,13,,`2-3
Caesalpinia major,dry,pod,dry,,85,47.5,20,,`2
Caesalpinia nitens,dry,pod,dry,,,,,,
Caesalpinia robusta,dry,pod,dry,,70,50,,22,`8-9
Caesalpinia scortechinii,dry,pod,dry,,42.5,27.5,18,,`7-11
Caesalpinia subtropica,dry,pod,dry,,27.5,,,,`9-12
Caesalpinia traceyi,dry,pod,dry,,37.5,25,,,
Caesia alpina,dry,capsule,dry,,,,,,
Caesia calliantha,dry,capsule,dry,,,,,,
Caesia chlorantha,dry,capsule,dry,,,,,,
Caesia micrantha,dry,capsule,dry,,,,,,
Caesia occidentalis,dry,capsule,dry,,,,,,
Caesia parviflora,dry,capsule,dry,,,,,,
Caesia rigidifolia,dry,capsule,dry,,,,,,
Caesia setifera,dry,capsule,dry,,,,,,
Calectasia cyanea,dry,nut,dry,,,,,,`6-10
Calectasia grandiflora,dry,nut,dry,,,,,,`6-10
Calectasia intermedia,dry,nut,dry,,,,,,`9-10
Calostemma luteum,dry,capsule,dry,,,9.5,,,
Calostemma purpureum,dry,capsule,dry,,,8,,,
Campynema lineare,dry,capsule,dry,,15,,,,
Cananga odorata,fleshy,berry,fleshy,,11,,10,5.5,`9-5
Canarium australasicum,fleshy,drupe,fleshy,,,,,,
Canarium australianum,fleshy,drupe,fleshy,,,,,,
Canarium muelleri,fleshy,drupe,fleshy,,,,,,
Canarium vitiense,fleshy,drupe,fleshy,,,,,,
Cansjera leptostachya,fleshy,drupe,fleshy,,13,11,,,
Carallia brachiata,fleshy,berry,fleshy,,,7,,,
Cardiopteris moluccana,dry,samara,dry,,,,,,
Cardwellia sublimis,dry,follicle,dry,,,,,,
Carnarvonia araliifolia,dry,follicle,dry,,,,,,
Carronia multisepalea,fleshy,drupe,fleshy,,15,,,,`9-11
Carronia pedicellata,fleshy,drupe,fleshy,,13,,,,
Carronia protensa,fleshy,drupe,fleshy,,16.5,,,,`9-1
Cassia brewsteri,dry,pod,dry,,300,20,8,,
Cassia queenslandica,dry,pod,dry,,425,17.5,7,,
Cassine australis,fleshy,drupe,fleshy,,,,,,
Cassine melanocarpa,fleshy,drupe,fleshy,,,,,,
Cassytha aurea,fleshy,drupe,fleshy,,,,,,
Cassytha candida,fleshy,drupe,fleshy,,,,,,`1-12
Cassytha capillaris,fleshy,drupe,fleshy,,,,,,`1-12
Cassytha filiformis,fleshy,drupe,fleshy,,,,,,`1-12
Cassytha flava,fleshy,drupe,fleshy,,,,,,`1-12
Cassytha flindersii,fleshy,drupe,fleshy,,,,,,`4-12
Cassytha glabella,fleshy,drupe,fleshy,,,,,,`1-12
Cassytha melantha,fleshy,drupe,fleshy,,,,,,`6-10
Cassytha micrantha,fleshy,drupe,fleshy,,,,,,`12-2
Cassytha muelleri,fleshy,drupe,fleshy,,,,,,`1-12
Cassytha nodiflora,fleshy,drupe,fleshy,,,,,,`8-1
Cassytha paniculata,fleshy,drupe,fleshy,,,,,,`9-4
Cassytha pedicellosa,fleshy,drupe,fleshy,,,,,,
Cassytha peninsularis,fleshy,drupe,fleshy,,,,,,`10-2
Cassytha phaeolasia,fleshy,drupe,fleshy,,,,,,`9-3
Cassytha pomiformis,fleshy,drupe,fleshy,,,,,,`7-1
Cassytha pubescens,fleshy,drupe,fleshy,,,,,,`12-4
Cassytha racemosa,fleshy,drupe,fleshy,,,,,,
Cassytha rufa,fleshy,drupe,fleshy,,,,,,`1-12
Castanospora alphandi,dry,capsule,dry,,,,,,
Casuarina cristata,dry,samara,dry,,8.25,,,,
Casuarina cunninghamiana,dry,samara,dry,,3.5,,,,
Casuarina equisetifolia,dry,samara,dry,,7,,,,
Casuarina glauca,dry,samara,dry,,4.25,,,,
Casuarina obesa,dry,samara,dry,,,,,,
Casuarina pauper,dry,samara,dry,,6.25,,,,
Catalepidia heyana,,,,,,,,,`6-10
Cecarria obtusifolia,fleshy,berry,fleshy,,,,,,
Celastrus australis,dry,capsule,fleshy,aril,4.75,4.65,3.6,,
Celastrus subspicata,dry,capsule,fleshy,aril,7.25,7,5.25,,
Celtis paniculata,fleshy,drupe,fleshy,,9.5,,,,
Celtis philippensis,fleshy,drupe,fleshy,,11,,,,
Cenarrhenes nitida,fleshy,drupe,fleshy,,,12.5,,,`10-11
Ceratophyllum demersum,dry,nut,dry,,5,3.25,5,3.25,
Ceriops decandra,fleshy,drupe,fleshy,,,,,,
Ceriops tagal,fleshy,drupe,fleshy,,,,,,
Chamaecrista biddulphiana,dry,pod,dry,,35,3.75,,,
Chamaecrista concinna,dry,pod,dry,,33,2.75,,,
Chamaecrista deserti,dry,pod,dry,,30,3.25,,,
Chamaecrista exigua,dry,pod,dry,,35,3.5,,,
Chamaecrista grisea,dry,pod,dry,,25,2.5,,,
Chamaecrista longipes,dry,pod,dry,,30,3.25,,,
Chamaecrista maritima,dry,pod,dry,,50,4,,,
Chamaecrista mimosoides,dry,pod,dry,,40,4,,,
Chamaecrista moorei,dry,pod,dry,,30,3.5,,,
Chamaecrista nomame,dry,pod,dry,,60,4.5,,,
Chamaecrista symonii,dry,pod,dry,,30,4.5,,,
Chamaescilla corymbosa,dry,capsule,dry,,8,,1.7,,
Chamaescilla spiralis,dry,capsule,dry,,8,,1.15,,
Chamaexeros fimbriata,dry,capsule,dry,,,,,,`7-8
Chamaexeros macranthera,dry,capsule,dry,,,,,,`8-10
Chamaexeros serra,dry,capsule,dry,,,,,,`9-11
Chlorophytum laxum,dry,capsule,dry,,5,,,1.9,
Choretrum candollei,fleshy,drupe,fleshy,,4.5,,,,
Choretrum glomeratum,fleshy,drupe,fleshy,,4.5,,,,
Choretrum lateriflorum,fleshy,drupe,fleshy,,4.5,,,,
Choretrum pauciflorum,fleshy,drupe,fleshy,,4.5,,,,
Choretrum pritzelii,fleshy,drupe,fleshy,,5.5,,,,
Choretrum spicatum,fleshy,drupe,fleshy,,2.5,,,,
Cinnamomum baileyanum,fleshy,drupe,fleshy,,,,,,`3-5
Cinnamomum laubatii,fleshy,drupe,fleshy,,,,,,`2-6
Cinnamomum oliveri,fleshy,drupe,fleshy,,,,,,`10
Cinnamomum propinquum,fleshy,drupe,fleshy,,,,,,`10-11
Cinnamomum virens,fleshy,drupe,fleshy,,,,,,`2-7
Citronella moorei,fleshy,drupe,fleshy,,,,,,
Citronella smythii,fleshy,drupe,fleshy,,,,,,
Clematis aristata,dry,achene,dry,,6,2.75,,,`9-1
Clematis clitorioides,dry,achene,dry,,4.5,1.75,,,`8-1
Clematis decipiens,dry,achene,dry,,4.5,2.5,,,`7-10
Clematis delicata,dry,achene,dry,,5.75,1.6,,,`7-9
Clematis fawcettii,dry,achene,dry,,4,1,,,`9-11
Clematis gentianoides,dry,achene,dry,,4.5,2.15,,,`10-3
Clematis glycinoides,dry,achene,dry,,6,2.5,,,`8-11
Clematis leptophylla,dry,achene,dry,,4.25,2.5,,,`7-10
Clematis linearifolia,dry,achene,dry,,5,1.75,,,`8-10
Clematis microphylla,dry,achene,dry,,4.5,2.5,,,`7-10
Clematis pickeringii,dry,achene,dry,,6,1.35,,,`4-2
Clematis pubescens,dry,achene,dry,,5.75,2,,,`5-11
Combretum trifoliatum,dry,samara,dry,,,,,,
Conospermum acerosum,dry,nut,dry,,3,2.8,3,2.8,
Conospermum amoenum,dry,nut,dry,,1.875,2.25,1.875,2.25,
Conospermum boreale,dry,nut,dry,,,,,,
Conospermum brachyphyllum,dry,nut,dry,,,,,,`8-10
Conospermum bracteosum,dry,nut,dry,,3,2,3,2,`9-11
Conospermum brownii,dry,nut,dry,,2.45,2.4,2.45,2.4,`8-10
Conospermum burgessiorum,dry,nut,dry,,2.2,2.2,2.2,2.2,`9-12
Conospermum caeruleum,dry,nut,dry,,2.15,2.25,2.15,2.25,
Conospermum canaliculatum,dry,nut,dry,,2.25,2.125,2.25,2.125,
Conospermum capitatum,dry,nut,dry,,2.75,3,2.75,3,
Conospermum cinereum,dry,nut,dry,,2.45,2.3,2.45,2.3,`6-10
Conospermum coerulescens,dry,nut,dry,,2.4,2.1,2.4,2.1,
Conospermum crassinervium,dry,nut,dry,,2.75,2.375,2.75,2.375,`11-1
Conospermum croniniae,dry,nut,dry,,2,2.25,2,2.25,`9-10
Conospermum densiflorum,dry,nut,dry,,2.3,1.75,2.3,1.75,
Conospermum distichum,dry,nut,dry,,2.3,1.75,2.3,1.75,`8-11
Conospermum eatoniae,dry,nut,dry,,2,1.8,2,1.8,`8-10
Conospermum ellipticum,dry,nut,dry,,2.125,2.75,2.125,2.75,
Conospermum elongatum,dry,nut,dry,,,,,,`10
Conospermum ephedroides,dry,nut,dry,,1.75,1.6,1.75,1.6,`8-10
Conospermum ericifolium,dry,nut,dry,,2.5,2.575,2.5,2.575,
Conospermum filifolium,dry,nut,dry,,,,,,
Conospermum flexuosum,dry,nut,dry,,2.75,2.125,2.75,2.125,
Conospermum floribundum,dry,nut,dry,,,,,,`9-11
Conospermum galeatum,dry,nut,dry,,,,,,`8-9
Conospermum glumaceum,dry,nut,dry,,2.85,2.2,2.85,2.2,`9-11
Conospermum hookeri,dry,nut,dry,,2,2.125,2,2.125,
Conospermum huegelii,dry,nut,dry,,2.45,2.25,2.45,2.25,`7-10
Conospermum incurvum,dry,nut,dry,,,,,,`7-11
Conospermum leianthum,dry,nut,dry,,1.75,2,1.75,2,
Conospermum longifolium,dry,nut,dry,,2.55,2.25,2.55,2.25,
Conospermum microflorum,dry,nut,dry,,2.5,1.6,2.5,1.6,`9-10
Conospermum mitchellii,dry,nut,dry,,2,2.1,2,2.1,`7-12
Conospermum multispicatum,dry,nut,dry,,2.2,2.25,2.2,2.25,`8-10
Conospermum nervosum,dry,nut,dry,,2,2,2,2,`8-2
Conospermum paniculatum,dry,nut,dry,,1.5,1.25,1.5,1.25,`7-11
Conospermum patens,dry,nut,dry,,2.05,2.3,2.05,2.3,
Conospermum petiolare,dry,nut,dry,,2.5,3,2.5,3,`10-1
Conospermum polycephalum,dry,nut,dry,,2.25,2.625,2.25,2.625,`7-9
Conospermum quadripetalum,dry,nut,dry,,,,,,
Conospermum scaposum,dry,nut,dry,,2.35,1.9,2.35,1.9,
Conospermum sigmoideum,dry,nut,dry,,,,,,`8-9
Conospermum spectabile,dry,nut,dry,,,,,,`10-11
Conospermum sphacelatum,dry,nut,dry,,2,3,2,3,
Conospermum stoechadis,dry,nut,dry,,2.6,2.75,2.6,2.75,
Conospermum taxifolium,dry,nut,dry,,2.125,1.45,2.125,1.45,
Conospermum tenuifolium,dry,nut,dry,,2.1,1.7,2.1,1.7,
Conospermum teretifolium,dry,nut,dry,,3.25,2.25,3.25,2.25,`10-1
Conospermum toddii,dry,nut,dry,,2,1.5,2,1.5,
Conospermum triplinervium,dry,nut,dry,,2.5,2.5,2.5,2.5,`9-11
Conospermum undulatum,dry,nut,dry,,2.5,3,2.5,3,`6-10
Conospermum unilaterale,dry,nut,dry,,2.25,2.2,2.25,2.2,`8-10
Conospermum wycherleyi,dry,nut,dry,,3.1,2.625,3.2,2.625,
Conostylis aculeata,dry,capsule,dry,,,,,,`8-11
Conostylis albescens,dry,capsule,dry,,,,,,`8
Conostylis androstemma,dry,capsule,dry,,,,,,`5-8
Conostylis angustifolia,dry,capsule,dry,,,,,,`9-10
Conostylis argentea,dry,capsule,dry,,,,,,`7-8
Conostylis aurea,dry,capsule,dry,,,,,,`8-10
Conostylis bealiana,dry,capsule,dry,,,,,,`7-9
Conostylis bracteata,dry,capsule,dry,,,,,,`8-9
Conostylis breviscapa,dry,capsule,dry,,,,,,`8-1
Conostylis candicans,dry,capsule,dry,,,,,,`8-11
Conostylis canteriata,dry,capsule,dry,,,,,,`5-8
Conostylis caricina,dry,capsule,dry,,,,,,
Conostylis crassinerva,dry,capsule,dry,,,,,,
Conostylis deplexa,dry,capsule,dry,,,,,,`9-10
Conostylis dielsii,dry,capsule,dry,,,,,,
Conostylis drummondii,dry,capsule,dry,,,,,,`10-11
Conostylis festucacea,dry,capsule,dry,,,,,,`9-10
Conostylis hiemalis,dry,capsule,dry,,,,,,`6-8
Conostylis juncea,dry,capsule,dry,,,,,,`7-9
Conostylis latens,dry,capsule,dry,,,,,,`8-9
Conostylis laxiflora,dry,capsule,dry,,,,,,`10-11
Conostylis lepidospermoides,dry,capsule,dry,,,,,,`9-10
Conostylis micrantha,dry,capsule,dry,,,,,,`7-8
Conostylis misera,dry,capsule,dry,,,,,,`10-11
Conostylis neocymosa,dry,capsule,dry,,,,,,`7-9
Conostylis pauciflora,dry,capsule,dry,,,,,,`8-10
Conostylis petrophiloides,dry,capsule,dry,,,,,,`9-11
Conostylis phathyrantha,dry,capsule,dry,,,,,,`8-10
Conostylis prolifera,dry,capsule,dry,,,,,,`8-10
Conostylis pusilla,dry,capsule,dry,,,,,,`9-10
Conostylis resinosa,dry,capsule,dry,,,,,,`8-9
Conostylis robusta,dry,capsule,dry,,,,,,`8-9
Conostylis rogeri,dry,capsule,dry,,,,,,`9
Conostylis seminuda,dry,capsule,dry,,,,,,`9-10
Conostylis seorsiflora,dry,capsule,dry,,,,,,
Conostylis serrulata,dry,capsule,dry,,,,,,`8-10
Conostylis setigera,dry,capsule,dry,,,,,,
Conostylis setosa,dry,capsule,dry,,,,,,`9-11
Conostylis stylidioides,dry,capsule,dry,,,,,,`8-9
Conostylis teretifolia,dry,capsule,dry,,,,,,
Conostylis teretiuscula,dry,capsule,dry,,,,,,`7-9
Conostylis tomentosa,dry,capsule,dry,,,,,,`7-8
Conostylis vaginata,dry,capsule,dry,,,,,,`9-10
Conostylis villosa,dry,capsule,dry,,,,,,`9-10
Conostylis wonganensis,dry,capsule,dry,,,,,,`7-9
Coopernookia barbata,dry,capsule,dry,,6,,4.5,,`1-12
Coopernookia chisholmii,dry,capsule,dry,,5.5,,4.5,,`9-3
Coopernookia georgei,dry,capsule,dry,,10,,5,,
Coopernookia polygalacea,dry,capsule,dry,,5,,,,`8-11
Coopernookia scabridiuscula,dry,capsule,dry,,,,,,
Coopernookia strophiolata,dry,capsule,dry,,6,,3,,`9-12
Cordyline cannifolia,fleshy,berry,fleshy,,,,,,
Cordyline congesta,fleshy,berry,fleshy,,,,,,
Cordyline fruticosa,fleshy,berry,fleshy,,,,,,
Cordyline manners-suttoniae,fleshy,berry,fleshy,,,,,,
Cordyline murchisoniae,fleshy,berry,fleshy,,,,,,
Cordyline petiolaris,fleshy,berry,fleshy,,,,,,
Cordyline rubra,fleshy,berry,fleshy,,,,,,
