taxon_name,fire_response_LCR,fire_response_NL,seedlings_first_observed,first_flowering_resp,first_flowering_seed,first_flowering_unknown,first_fruiting_resp,first_fruiting_seed,first_fruiting_unknown,primary_juvenile_period,secondary_juvenile_period,page,peak_flowering_resp,peak_flowering_seed,peak_flowering_unknown,peak_fruiting_resp,peak_fruiting_seed,peak_fruiting_unknown,notes,advanced_seedlings,fire intensity,large_prop_flowering
Gompholobium grandiflorum,R,?k,,90w,,,125w,,,,c.2-3y(shd),22,,,,,,,,,,
Gompholobium latifolium,K,R,37w,,140w,,,154w,,c.3y(shd),,22,,,,,(prob.pk.pf.fruit.c.4-5y),,,,,
Hardenbergia violacea,R,pR,7w,31w,,,40w,,,,c.1y,22,(prob.pk.pf.flower.c.3-5y),,,,,,,,,
Hovea linearis (s.lat.),R,R,,31w,,,100w,,,,c.2y,22,,,,,,,,,,
Hovea longifolia,K,,30w,,190w,,,198w,,c.4y,,22,,,,,,,,,,
Kennedia rubicunda,?K/r,?K/r,6w,,35w,,,46w,,c.1y,,22,,,,,,,,,,
*Lotus angustissimus,pK,pK,27w,,37w,,,43w,,43w,,22,,,,,,,,,,
*Medicago arabica,pK,,,,38w,,,38w,,,,22,,,,,,,,,,
*Medicago polymorpha,pK,,,,33w,,,38w,,,,22,,,,,,,,,,
*Melilotus indicus,pK,pK,,,26w,,,38w,,,,22,,,,,,,,,,
Mirbelia rubiifolia,pK,K,17w,,141w,,,3-4y,,c.3-4y(shd),,22,,,,,,,,,,
Mirbelia speciosa subsp. speciosa,,,,,189w,,,,,,,22,,,,,,,,,,
Phyllota grandiflora,pR,R,,37w,,,,,,,,22,,,,,,,,,,
Phyllota phylicoides,R/k,R,63w,86w,,,,,,,,22,(prob.pk.pf.flower.c.4-5y),,,,,,,,,
Platylobium formosum,R,R,36w,,,36w,101w,,,,c.2y-(shd),22,(prob.pk.pf.flower.c.3-5y),,,,,,,,,87w
Podolobium ilicifolium,,K/R,35w,38w,,,,,,,,22,,,,,,,,,,
*Psoralea pinnata,pK,,12w,,92w,,,122w,,c.2-3y(shd),,22,,(prob.pk.pf.flower.c.4y),,,,,,,,
Pultenaea daphnoides,K,K,20w,,86w,,,150w,,c.3y(shd),,22,,(prob.pk.pf.flower.c.3-5y),,,,,,,,
Pultenaea flexilis,K,K,10w,,88w,,,,,,,22,,(poss.pk.pf.flower.c.5+y),,,,,,,,
Pultenaea mollis,?K,,97w-adv,,140w,,,154w,,c.3y(shd),,22,,(prob.pk.pf.flower.c.3-5y),,,,,,advanced seedlings,,
Pultenaea polifolia,,K,,,,,,,,,,22,,,,,,,,,,
Pultenaea retusa,pK,,,,86w,,,90w,,c.2y,,22,,,,,,,,,,
Pultenaea stipularis,K,K,21w,,90w,,,104w,,c.2-3y(shd),,22,,(prob.pk.pf.flower.c.3-5y),,,,,,,,
Pultenaea tuberculata,K,K,24w,,61w,,,,,,,22,,(prob.pk.pf.flower.c.5-6y),,,,,,,,c.2y
Pultenaea villosa,K,,26w,,,,,,,,,22,,,,,,,,,,
Sphaerolobium minus,,,,,,90w,,,,,,22,,,,,,,,,,
*Trifolium campestre,pK,,,,41w,,,43w,,,,22,,,,,,,,,,
*Trifolium cernuum,pK,,,,16w,,,38w,,,,22,,,,,,,,,,
*Trifolium dubium,pK,,,,43w,,,43w,,,,22,,,,,,,,,,
*Trifolium glomeratum,pK,,,,36w,,,,,,,22,,,,,,,,,,
*Trifolium repens,pK,,,,36w,,,,,,,22,,,,,,,,,,
*Vicia hirsuta,pK,,,,,,,,38w,,,22,,,,,,,,,,
*Vicia sativa,pK,?K,,,37w,,,37w,,,,22,,,,,,,,,,
*Vicia tetrasperma,pK,,11w,,33w,,,36w,,,,22,,,,,,,,,,
Viminaria juncea,K,pK,17w,,91w,,,100w,,c.2y(shd),,22,,(poss.pk.pf.flower.c.2-5y),,,,,,,,
*Wisteria ?sinensis,R,,,,,,,,,,,22,,,,,,,,,,
Mimosoideae,,,,,,,,,,,,22,,,,,,,,,,
*Acacia baileyana,pK,,44w-adv,,135w,,,198w,,c.3-4y,,22,,,,,,,,advanced seedlings,,
Acacia binervia,K,,124w-(adv),,142w,,,198w,,c.3-4y,,22,,,,,,,,advanced seedlings,,
Acacia echinula,,,,,,186w,,,,,,22,,,,,,,,,,
(*?)Acacia elata,?K,,,,,,,,,,,22,,,,,,,,,,
Acacia falcata,pK,,51w-adv,,,,,90w-grn c.2-3y,,,,22,,,,,,,,advanced seedlings,,
Acacia floribunda,R/k,k,,135w,,,,,,,,22,,,,,,,,,,
Acacia hispidula,pK,,,,61w,,,124w,,c.3y,,22,,,,,,,,,,
Acacia implexa,,R,,,,,,,,,,22,,,,,,,,,,
Acacia irrorata subsp. irrorata,,,,,153w,,,,,,,22,,,,,,,,,,
Acacia linifolia,K,K,9w,,56w,,,97w,,c.2-3y(shd),,22,,,,,(prob.pk.pf.fruit.c.4-6y),,,,,
Acacia longifolia subsp. longifolia,K,K,10w,,85w,,,149w,,c.3y(shd),,23,,(prob.pk.pf.flower.c.4-6y),,,,,,,,
Acacia longissima,K,,88w-adv,,153w,,,169w,,,,23,,,,,,,,advanced seedlings,,
Acacia myrtifolia,K,K,25w,,131w,,,149w,,c.3y(shd),,23,,,,,(prob.pk.pf.fruit.c.4y),,,,,
Acacia oxycedrus,K,R/k,17w,,136w,,,,,,,23,,,,,,,,,,
Acacia parramattensis,pK/r,,,,,,,,,,,23,,,,,,,,,,
Acacia parvipinnula,?K,,,,135w,,,,,,,23,,,,,,,,,,
*Acacia podalyriifolia,pK,K,36w,,124w,,,154w,,c.3y(shd),,23,,,,,,,,,,
*Acacia saligna,,R,21w,,,140w,,,145w(grn),,,23,,,,,,,,,,
Acacia schinoides,K,,51w,,154w,,,235w,,c.5y,,23,,,,,,,,,,
Acacia suaveolens,K,K,15w,,71w,,,97w,,c.2y(shd),,23,,(prob.pk.pf.flower.c.2-4y),,,,,,,,
Acacia terminalis,K,K,12w,,91w,,,149w,,c.3y(shd),,23,,(prob.pk.pf.flower.c.3-4y),,,,,,,,
Acacia ulicifolia,K,K,10w,,67w,,,101w,,c.2-3y(shd),,23,,(prob.pk.pf.flower.c.3-5y),,,,,,,,
*Paraserianthes lophantha subsp. lophantha,,,,,87w,,,163w,,c.3y(shd),,23,,,,,,,,,,
Fumariaceae,,,,,,,,,,,,23,,,,,,,,,,
*Fumaria capreolata subsp. capreolata,pK,,12w,,12w,,,12w,,,,23,,,,,,,,,,
*Fumaria ?officianalis,,,15w,,15w,,,15w,,,,23,,,,,,,,,,
Gentianaceae,,,,,,,,,,,,23,,,,,,,,,,
*Centaurium tenuiflorum,?K,,,,43w,,,,,,,23,,,,,,,,,,
Geraniaceae,,,,,,,,,,,,23,,,,,,,,,,
Geranium homeanum,R,,10w,19w,,,19w,,,,,23,,,,,,,,,,
Pelargonium inodorum,,,20w,,,35w,,,44w-(shd),,,23,,,(prob.pk.pf.flower.c.1y),,,,,,,
Goodeniaceae,,,,,,,,,,,,23,,,,,,,,,,
Dampiera purpurea,R,,33w,36w,,,49w,,,,c.1y-(shd),23,(prob.pk.pf.flower.c.2-3y),,,,,,,,,
Dampiera stricta,R,R,21w,31w,,,64w,,,,,23,(prob.pk.pf.flower.c.2-3y),,,,,,,,,
Goodenia bellidifolia,R,R,26w,31w,,,51w,,,,c.1y-(shd),23,,,,,,,,,,
Goodenia hederacea,R,,,39w,,,49w,,,,c.1y,23,,,,,,,,,,
Goodenia heterophylla,R,R,,20w,,,46w,,,,46w-(shd),23,(prob.pk.pf.flower.c.2-3y),,,,,,,,,
Goodenia ovata,K,K,20w,,143w,,,146w,,c.2-3y,,23,,,,,,,,,,
Goodenia paniculata,,pR,,,,10-20w,,,,,,23,,,,,,,,,,
Goodenia stelligera,,,,,,31w(1),,,,,,23,,,,,,,,,,
Scaevola ramosissima,R,R,,16w,,,51w,,,,c.1y,23,,,,,,,,,,
Velleia lyrata,,,,,,36w,,,51w-(shd),,,23,,,,,,,,,,
Haloragaceae,,,,,,,,,,,,23,,,,,,,,,,
Gonocarpus micranthus subsp. micranthus,pK,pK,12w,,43w,,,,,,,23,,,,,,,,,,
Gonocarpus salsoloides,,pK,17w,,,,,,,,,23,,,,,,,,,,
Gonocarpus teucrioides,K/r,K,10w,,94w,,,100w,,c.2y,,23,,(prob.pk.pf.flower.c.2-3y),,,,,,,,
Hamamelidaceae,,,,,,,,,,,,23,,,,,,,,,,
*Liquidambar styraciflua,R,,,,,,,,,,,23,,,,,,,,,,
Lamiaceae,,,,,,,,,,,,23,,,,,,,,,,
Hemigenia purpurea,pK,K,51w,,100w,,,104w,,c.2y,,23,,,,,,,,,,
Plectranthus parviflorus,pK,pK,15w,,49w,,,49w,,,,23,,,,,,,,,,
Prostanthera denticulata,,K,,,,,,,,,,23,,,,,,,,,,
Prostanthera linearis,K,K/r,,,150w,,,,,,,23,,,,,,,,,,
*Prunella vulgaris,?K,,19w,,51w,,,51w,,c.1y-(shd),,23,,,,,,,,,,
*Stachys arvensis,pK,,,,16w,,,23w,,23w-(shd),,24,,,,,,,,,,
Lauraceae,,,,,,,,,,,,24,,,,,,,,,,
Cassytha glabella,K,,33w,,61w,,,91w,,c.2-3y(ripe),,24,,(prob.pk.pf.flower.c.3-6y),,,,,,,,
Cassytha pubescens,K,,,,150w,,,191w,,c.3-4y,,24,,,,,(poss.pk.pf.fruit.c.5y),,,,,
*Cinnamomum camphora,R,R,,94w,,,,,,,,24,,,,,,,,,,
Endiandra sieberi,,R,,,,,,,,,,24,,,,,,,,,,
Lentibulariaceae,,,,,,,,,,,,24,,,,,,,,,,
Utricularia dichotoma,,?R,,,,32w,,,,,,24,,,,,,,,,,
Utricularia lateriflora,,?R,,,,32w,,,,,,24,,,,,,,,,,
Linaceae,,,,,,,,,,,,24,,,,,,,,,,
*Linum trigynum,?K,?K,,,38w,,,38w,,,,24,,,,,,,,,,
*Reinwardtia indica,pR,,,23w,,,,,,,,24,,,,,,,,,,
Lobeliaceae,,,,,,,,,,,,24,,,,,,,,,,
Lobelia alata,?R,,20w,,,49w,,,63w,,,24,,,(prob.pk.pf.flower.c.3y),,,,,,,
Lobelia dentata,,,,,,19w,,,49w-(shd),,,24,,,(prob.pk.pf.flower.c.1y),,,,,,,
Lobelia gracilis,,,,,,49w,,,67w,,,24,,,,,,,,,,
Pratia purpurascens,R,pR,,6w,,,15w,,,,15w-grn,24,,,,,,,,,,
Loganiaceae,,,,,,,,,,,,24,,,,,,,,,,
Logania albiflora,R,R,63w,87w,,,163w,c.4y(1),,,c.3y(shd),24,(poss.pk.pf.flower.c.4-6y),,,,,,,,,
Mitrasacme polymorpha,pK,K,37w,43w,c.1y,,,,,,,24,,(prob.pk.pf.flower.c.3y),,,,,,,,
Loranthaceae,,,,,,,,,,,,24,,,,,,,,,,
Amyema congener subsp. congener,K,,,,,,,,,,,24,,,,,,,The host of this mistletoe was also killed by the same fire.,,,
Muellerina eucalyptoides,R,,,,,,,,,,,24,,,,,,,(1)m.i.f One plant resprouted after low to medium intensity fire. The canopy of its host was not 100% scorched.,,moderate,
Malaceae,,,,,,,,,,,,24,,,,,,,,,,
*Cotoneaster ?franchetti,R,R,,,,,,,,,,24,,,,,,,,,,
*Cotoneaster glaucophyllus,R,,,,,,122w,,,,c.2-3y(ripe),24,,,,,,,,,,
*Eriobotrya japonica,,k,,,,,,,,,,24,,,,,,,,,,
*Pyracantha angustifolia,R,,,,,,122w,,,,c.2-3y(ripe),24,,,,,,,,,,
*Pyracantha crenulata,R,,,,,,125w,,,,c.2-3y(ripe),24,,,,,,,,,,
*Pyracantha fortuneana,R,,,,,,,,,,,24,,,,,,,,,,
Malvaceae,,,,,,,,,,,,24,,,,,,,,,,
Hibiscus diversifolius,,?K,?13w,,,,,,,,,24,,,,,,,,,,
*Malva parviflora,?K,,,,11w,,,11w,,,,24,,,,,,,,,,
*Modiola caroliniana,?K,,7w,,38w,,,50w,,c.1y-(shd),,24,,,,,,,,,,
*Pavonia hastata,pK,,9w,,,,,44w(1),,,,24,,,,,(poss.pk.pf.fruit.c.2+y),,,,,
*Sida rhombifolia,pK,,6w,,15w,,,28w,,28w-(shd),,24,,(poss.pk.pf.flower.c.3y),,,,,,,,
Meliaceae,,,,,,,,,,,,24,,,,,,,,,,
*Melia azedarach,R,,,,,,,,,,,24,,,,,,,,,,
Synoum glandulosum,R,R,,,,,,,,,,24,,,,,,,,,,
Menispermaceae,,,,,,,,,,,,24,,,,,,,,,,
Sarcopetalum harveyanum,R,R,,,,,,,,,,24,,,,,,,,,,
Stephania japonica var. discolor,R,R,9w(1),50w,,,,,,,,24,,,,,,,,,,
Menyanthaceae,,,,,,,,,,,,24,,,,,,,,,,
Villarsia exaltata,,pR,,20w,,,20w,,,,20w-(shd),24,,,,,,,,,,
Monimiaceae,,,,,,,,,,,,24,,,,,,,,,,
Wilkiea huegeliana,,?K,,,,,,,,,,24,,,,,,,,,,
Moraceae,,,,,,,,,,,,25,,,,,,,,,,
Ficus coronata,R,,,,,,,,,,,25,,,,,,,,,,
*Ficus pumila,?K,,,,,,,,,,,25,,,,,,,,,,
Ficus rubiginosa,R,R,,,,,140w,,,,,25,,,,,,,,,,
*Morus alba,R,R,,,,,44w,,,,c.1-2y,25,,,,,,,,,,
Myrsinaceae,,,,,,,,,,,,25,,,,,,,,,,
Aegiceras corniculatum,R/k,,,,,,,,,,,25,,,,,,,,,,
Rapanea variabilis (syn. Myrsine variabilis),R,R,39w,122w-buds,,,,,,,,25,,,,,,,,,,
Myrtaceae,,,,,,,,,,,,25,,,,,,,,,,
Acmena smithii,R,R,,,,,,,,,,25,,,,,,,,,,
Angophora bakeri,R,,67w,50w,,,61w,,,,61-67w(shd),25,,,,(poss.pk.pf.fruit.c.1-2y),,,,,,
Angophora costata,R,,35w,,,,,,,,,25,,,,,,,,,,
Angophora hispida,R,R,104w,32w,,,61w,,,,61w(shd),25,(prob.pk.pf.flower.c.1-2y),,,,,,,,,49w
Austromyrtus tenuifolia,R,R,,150w,,,163w-ri.,,,,c.3y,25,(poss.pk.pf.flower.c.3+y),,,,,,,,,
Babingtonia densifolia,K,K,61w-adv,,2y,,,164w,,c.3-4y(shd),,25,,,,,,,,advanced seedlings,,3y
Babingtonia pluriflora,R,,,,,,124w,,,,,25,,,,,,,,,,
Backhousia myrtifolia,R,,,,,,,,,,,25,,,,,,,,,,
Baeckea brevifolia,,R,,,,,,,,,,25,,,,,,,,,,
Baeckea diosmifolia,R,R,,46w,,,56w,,,,56w,25,,,,,,,,,,
Baeckea imbricata,K,K,,,,,,184w,,c.3-4y,,25,,,,,,,,,,
Baeckea linifolia,R,R,,161w,,,190w,,,,c.3-4y,25,,,,,,,,,,
Callistemon citrinus,R,R,,97w,,,,,,,,25,,,,,,,,,,
Callistemon linearis,R,R,,92w,,,144w,,,,c.3y,25,,,,,,,,,,
Calytrix tetragona,K,K,71w,,139w,,,,,c.?3-4y?,,,,(poss.pk.pf.flower.c.4+y),,,,,,,,
Calytrix tetragona,,r,,,,,,,,,,25,,,,,,,,,moderate,
Corymbia gummifera,R,,,,,,163w,,,,c.3+y,25,,,,,,,,,,
Darwinia biflora,K,,36w,,91w,,,,,,,25,,(poss.pk.pf.flower.c.5+y),,,,,,,,
Darwinia fascicularis var. fascicularis,K,K,31w,,139,,,,,,,25,,(poss.pk.pf.flower.c.5+y),,,,,,,,186w
Darwinia procera,,K,,,,,,,,,,25,,,,,,,,,,
Eucalyptus botryoides,,R,,,,,,,,,,25,,,,,,,,,,
Eucalyptus haemastoma,R,,75w,139w,,,177w,,,,c.3-4y,25,,,,,,,,,,
Eucalyptus luehmanniana,,R,,,,,,,,,,25,,,,,,,,,,
Eucalyptus obstans,,R,,,,,,,,,,25,,,,,,,,,,
Eucalyptus paniculata,R,,?85w-adv,,,,,,,,,25,,,,,,,,advanced seedlings,,
Eucalyptus pilularis,R,,?49w,,,,,,,,c.4-5y,25,,,,,,,,,,
Eucalyptus piperita,R,,?49w,,,,,,,,c.3-5y,25,,,,,,,,,,
Eucalyptus punctata,,R,,,,,,,,,,25,,,,,,,,,,
Eucalyptus racemosa,R,,,,,,,,,,,25,,,,,,,,,,
Eucalyptus resinifera,R,,,190w-buds,,,,,,,,25,,,,,,,,,,
Eucalyptus saligna,R,,,,,,,,,,,25,,,,,,,,,,
Eucalyptus umbra,,R,,,,,,,,,,25,,,,,,,,,,
Euryomyrtus ramosissima,pK,,,,139w,,,,,,,25,,,,,,,,,,
Kunzea ambigua,K,K,24w,,97w,,,100w,,c.2-4y,,25,,,,,,,,,,
Kunzea capitata,R,K/r,31w,91w,,,,,,,,25,,,,,,,,,,
Leptospermum arachnoides,R,R,,97w,,,124w,,,,c.2-3y,25,(prob.pk.pf.flower.c.2-3y),,,,,,,,,
Leptospermum grandifolium,R,R,,,,,,,,,,25,,,,,,,,,,
Leptospermum juniperinum,,R,,,,,,,,,,25,,,,,,,,,,
Leptospermum parvifolium,R,,,90w,,,108w,,,,c.3-4y(shd),26,,,,,,,,,,
Leptospermum polygalifolium,R,,,94w,,,143w,,,,c.3y,26,(prob.pk.pf.flower.c.4y),,,,,,,,,
Leptospermum squarrosum,K,K,22w,,169w,,,184w,,c.3-5y,,26,,,,,,,,,,
Leptospermum trinervium,,,,31w,,,,,,,,,,,,,,,,,,
Leptospermum trinervium,R,R,?126w,17w,,,37w-grn.,,,,c.2y(shd),26,(poss.pk.pf.flower.c.4y),,,,,,,,,
Melaleuca deanei,R,,,90w-m.i.f.,,,,,,,,26,,,,,,,,,moderate,
Melaleuca hypericifolia,k/r,,,,,,,,,,,26,,,,,,,,,,
Melaleuca linariifolia,R,R,6w,94w,,,,,,,,26,(prob.pk.pf.flower.c.4y),,,,,,,,,
Melaleuca nodosa,R,,,91w,,,100w,,,,c.2+y,26,,,,,,,,,,
Melaleuca styphelioides,,R,,,,,,,,,,26,,,,,,,,,,
Micromyrtus ciliata,pK,K,32w,,88w,,,,,,,26,,(prob.pk.pf.flower.c.4y),,,,,,,,
Syncarpia glomulifera,R,R,,,,,,,,,c.5y,26,,,,,,,,,,
Tristania neriifolia,,R,,,,,,,,,,26,,,,,,,,,,
Tristaniopsis collina,R,R,,154w,,,,,,,,26,,,,,,,,,,
Tristaniopsis laurina,R,R,,,,,124w,,,,c.2-3y(shd),26,,,,,,,,,,
Ochnaceae,,,,,,,,,,,,26,,,,,,,,,,
*Ochna serrulata,R,R,,,,,93w-grn,,,,,26,,,,,,,,,,
Olacaceae,,,,,,,,,,,,26,,,,,,,,,,
Olax stricta,?R,,,,,120w,,,198w,,,26,,,(poss.pk.pf.flower.c.4-5y),,,,,,,
Oleaceae,,,,,,,,,,,,26,,,,,,,,,,
*Jasminum polyanthum,?R,,,,,87w,,,,,,26,,,,,,,,,,
*Ligustrum lucidum,R,,44w,156w,,,,,,,,26,,,,,,,,,,
*Ligustrum sinense,R,R,39w,92w,,,122w,,,,c.2-3y,26,(poss.pk.pf.flower.c.5+y),,,,,,,,,
Notelaea longifolia,R,R,,,,,101w,,,,c.2y(ripe),26,,,,,,,,,,
Onagraceae,,,,,,,,,,,,26,,,,,,,,,,
Epilobium billardierianum var. cinereum,R,,,11w,,,11w-(shd),,,,,26,,,,,,,,,,
*Epilobium ?ciliatum,,,,,,38w,,,38w(green),,,26,,,,,,,,,,
*Ludwigia peruviana,R,,,,,,20w-grn,,,,,26,,,,,,,,,,
*Oenothera mollissima,,,,,,,,,39w(green),,,26,,,,,,,,,,
Oxalidaceae,,,,,,,,,,,,26,,,,,,,,,,
"Oxalis ""corniculata"" (s.lat.)",pR,,,,,10w,,,12w,,,26,,,,,,,,,,
*Oxalis debilis var. corymbosa,pR,,,,,19w,,,,,,26,,,,,,,,,,
*Oxalis incarnata,pR,,,,,12w,,,,,,26,,,,,,,,,,
*Oxalis latifolia,pR,,,,,8w,,,,,,26,,,,,,,,,,
*Oxalis pes-caprae,pR,,,,,26w,,,,,,26,,,,,,,,,,
Passifloraceae,,,,,,,,,,,,26,,,,,,,,,,
*Passiflora edulis,,,,,,,,,150w(grn),,,26,,,,,,,,,,
Passiflora herbertiana,pR,,,,,122w,,,122w(grn),,,26,,,(prob.pk.pf.flower.c.4y),,,,,,,
*Passiflora suberosa,,,,,,,,,262w(grn),,,26,,,,,,,,,,
Phytolaccaceae,,,,,,,,,,,,26,,,,,,,,,,
*Phytolacca octandra,,,7w,,15w,,,29w,,29w-ri,,26,,,,,,,,,,
Pittosporaceae,,,,,,,,,,,,26,,,,,,,,,,
Billardiera scandens,R,R,,38w,,,101w,,,,c.2y,26,(poss.pk.pf.flower.c.4-5y),,,,,,,,,
Bursaria spinosa,R,R,,51w,,,71w-(shd),,,,c.1-2y(shd),26,(poss.pk.pf.flower.c.5y),,,,,,,,,
Pittosporum revolutum,,,,88w,,,,,,,,,,,,,,,,,,
Pittosporum revolutum,R,R,,36w,,,41w-grn,,,,,26,(prob.pk.pf.flower.c.5y),,,,,,,,,
Pittosporum undulatum,k/r,,,,242w,,,262w,,5--y,,27,,,,,,,,,,
Rhytidosporum procumbens,?K,?r,,,,43w,,,43w,,,27,,,,,,(prob.pk.pf.fruit.c.3-4y),,,,
Plantaginaceae,,,,,,,,,,,,27,,,,,,,,,,
*Plantago lanceolata,R,pR,,10w,,,10w,,,,50w-(shd),27,,,,,,,,,,
*Plantago major,,,,,,50w,,,50w(grn),,,27,,,,,,,,,,
Polygalaceae,,,,,,,,,,,,27,,,,,,,,,,
Comesperma ericinum,pK,,,,87w,,,101w,,c.2y,,27,,(prob.pk.pf.flower.c.3-5y),,,,,,,,
Comesperma sphaerocarpum,pR,,,16w,,,16w(grn),,,,--1y,27,,,,,,,,,,
Comesperma volubile,?K,,,,,89w,,,,,,27,,,(prob.pk.pf.flower.c.3-5y),,,,,,,
*Polygala myrtifolia,,,,,142w,,,,,,,27,,,,,,,,,,
*Polygala virgata,K,,,,142w,,,142w,,c.2-3y,,27,,,,,,,,,,
Polygonaceae,,,,,,,,,,,,27,,,,,,,,,,
*Acetosa sagittata,R,,,,,,30w,,,,30w-(shd),27,,,,,,,,,,
*Acetosella vulgaris,,,,,,39w,,,39w(grn),,,27,,,,,,,,,,
*Fallopia convolvulus,,,,,,,,,17w,,,27,,,,,,,,,,
*Persicaria capitata,R,,,19w,,,,,,,,27,,,,,,,,,,
Persicaria decipiens,,,,,,20w,,,,,,27,,,,,,,,,,
Persicaria lapathifolia,,,,,,20w,,,20w,,,27,,,,,,,,,,
Persicaria strigosa,,,,,,20w,,,,,,27,,,,,,,,,,
Rumex brownii,R,,,9w,,,19w,,,,,27,,,,,,,,,,
*Rumex conglomeratus,,,,,,,,,50w,,,27,,,,,,,,,,
*Rumex crispus,R,,,,,41w,,,51w-(shd),,,27,,,,,,,,,,
Portulacaceae,,,,,,,,,,,,27,,,,,,,,,,
*Portulaca oleracea,,,,,,,,,15w(grn),,,27,,,,,,,,,,
Primulaceae,,,,,,,,,,,,27,,,,,,,,,,
*Anagallis arvensis,,,,,37w,,,50w,,,,27,,,,,,,,,,
*Primula malacoides,,,,,,38w,,,,,,27,,,,,,,,,,
Samolus repens,?K,,,,,49w,,,49w(grn),,,27,,,,,,,,,,
Proteaceae,,,,,,,,,,,,27,,,,,,,,,,
Banksia ericifolia,K,K,17w,,177w,,,234w,,c.4-5y-a few fruit,,27,,,,,,,,,,
Banksia integrifolia,,R/k,,,,,,,,,,27,,,,,,,,,,
Banksia marginata,K,K,21w,,169w,,,218w,,c.4-5y-a few fruit,,27,,(poss.pk.pf.flower.c.10+y),,,,,,,,
Banksia oblongifolia,R,R,17w,114w,,,234w,,,,c.4-5y- a few fruit,27,,,,,,,,,,
Banksia robur,,R,32w,,,,,,,,,27,,,,,,,,,,
Banksia serrata,R,,12w,108w,,,177w,,,,c.3-4y-a few fruit,27,,,,,,,,,,
Banksia spinulosa,R,,,122w,,,201w,,,,c.3-4y,27,,,,,,,,,,
Conospermum ericifolium,,K,,,91w,,,97w-(shd),,c.2y(shd),,27,,(prob.pk.pf.flower.c.3-5y),,,,,,,,
Conospermum longifolium subsp. angustifolium,,K,,,,,,,,,,27,,,,,,,,,,
Conospermum longifolium subsp. longifolium,R,R,,37w,,,42w,,,,c.1-2y,27,,,,,,,,,,
Grevillea buxifolia,K,K,9w,,86w,,,114w,,c.2-3y(shd),,27,,(prob.pk.pf.flower.c.4-6y),,,,,,,,
Grevillea linearifolia,K,K,30w,,87w,,,120w,,c.2-3y(shd),,27,,(poss.pk.pf.flower.c.5-6y),,,,,,,,
*Grevillea robusta,,,28w(1),,,,,,,,,27,,,,,,,,,,
Grevillea sericea,K,K,10w,,56w,,,114w,,c.2-3y(shd),,27,,(prob.pk.pf.flower.c.4-6y),,,,,,,,2y
Grevillea speciosa,K,K,,,136w,,,,,,,28,,(poss.pk.pf.flower.c.5y),,,,,,,,
Hakea dactyloides (s.str.),K,K,32w,,,,,c.6.5y,,c.6.5y-a few fruit,,28,,,,,,,,,,
Hakea gibbosa,K,K,30w,,129w,,,159w,,c.3-4y,,28,,,,,,,,,,
Hakea laevipes subsp. laevipes,R,R,,97w,,,200w,,,,c.4y,28,,,,,,,,,,
Hakea propinqua,K,K,21w,,124w,,,177w,,c.3-5y-a few fruit,,28,,,,,,,,,,
Hakea salicifolia,K,K,41w,,295w-buds,,,c.6.5y,,c.6.5y-a few fruit,,28,,,,,,,,,,
Hakea sericea,K,,24w,,129w,,,163w,,c.3-4y,,28,,,,,,,,,,
Hakea teretifolia,K,K,22w,,153w,,,184w,,c.3-5y,,28,,,,,,,,,,
Isopogon anemonifolius,R,,,90w,,,196w,,,,c.3-4y-a few fruit,28,,,,,,,,,,
Isopogon anethifolius,R/K,R/K,124w-adv,142w,?198w,,,242w,,c.4-5y-a few fruit,,28,,,,,,,,advanced seedlings,,
Lambertia formosa,R,,,71w,,,195w,,,,c.3-4y,28,,,,,,,,,,94w
Lomatia myricoides,R,R,,163w,,,184w,,,,c.3-4y(shd),28,,,,,,,,,,
Lomatia silaifolia,R,,104w(1),49w,,,63w-(shd),,,,c.1-2y(shd),28,(prob.pk.pf.flower.c.1y),,,,,,,,,
Persoonia lanceolata,K,K,,,108w,,,196w,,c.3-4y,,28,,,,,(poss.pk.pf.fruit.c.4-6y),,,,,
Persoonia laurina,R,,,101w,,,131w,,,,c.2-3y,28,,,,,,,,,,
Persoonia levis,R,R,64w(1),50w,,,100w,,,,c.2y-a few fruit,28,,,,,,,,,,
Persoonia linearis,R,R,140w-adv,108w,,,133w,,,,c.2-3y,28,,,,,,,,advanced seedlings,,
Persoonia pinifolia,K,K,124w-adv,,270w,,,295w,,c.5-6y-a few fruit,,28,,,,,,,,advanced seedlings,,
Petrophile pulchella,K,K,24w,,,,,191w,,c.3-5y-a few fruit,,28,,,,,,,,,,
Stenocarpus salignus,R,R,,154w,,,163w,,,,c.3-4y,28,,,,,,,,,,
Telopea speciosissima,R,,,c.1-2y,,,c.2-3y,,,,c.2-3y-a small pop.,28,,,,,,,,,,
Xylomelum pyriforme,R,R,133w-adv,39w,,,133w,,,,c.2-3y,28,,,,,,,,advanced seedlings,,
Ranunculaceae,,,,,,,,,,,,28,,,,,,,,,,
Clematis aristata,R,,,38w,,,,,,,,28,,,,,,,,,,
Ranunculus plebeius,?K,,,,,41w,,,,,,28,,,,,,,,,,
*Ranunculus repens,R,,,39w,,,44w-grn.,,,,c.1y,28,,,,,,,,,,
Rhamnaceae,,,,,,,,,,,,28,,,,,,,,,,
Cryptandra amara,pK,,,,71w,,,75w,,,,28,,(prob.pk.pf.flower.c.3-5y),,,,,,,,
Cryptandra ericoides,,K,,,64w,,,,,,,28,,,,,,,,,,
