SPECIES,growth form,plant longevity,extreme min height (m),min height (m),max height (m),extreme max height (m),flowering start (month),flowering finish (month),leaf type (compound/simple),leaf longevity (evergreen/deciduous)
Calothamnus oldfieldii,shrub,perennial assumed,,0.3,1.5,,7,11,,
Calothamnus pachystachyus,shrub,perennial assumed,,0.6,1.7,,8,10,,
Calothamnus phellosus,,,,,,,,,,
Calothamnus pinifolius,shrub,perennial assumed,,0.3,2,,7,1,,
Calothamnus planifolius,shrub,perennial assumed,,0.3,1.5,,9,11,,
Calothamnus preissii,shrub,perennial assumed,,0.15,0.4,,7,11,,
Calothamnus quadrifidus,shrub,perennial assumed,,0.9,2,,6,12,,
Calothamnus robustus,shrub,perennial assumed,,0.5,1.5,,2,11,,
Calothamnus roseus,shrub,perennial assumed,,,,,,,,
Calothamnus rupestris,shrub/tree,perennial assumed,,0.9,2,,7,12,,
Calothamnus sanguineus,shrub,perennial assumed,,0.2,2,,3,11,,
Calothamnus scabridus,,,,,,,,,,
Calothamnus schaueri,shrub,perennial assumed,,0.1,0.6,,8,12,,
Calothamnus superbus,shrub,perennial assumed,,1,2.5,,,,,
Calothamnus torulosus,shrub,perennial assumed,,0.15,0.4,,9,10,,
Calothamnus tuberosus,shrub,perennial assumed,,1.5,3,,9,4,,
Calothamnus validus,shrub,perennial assumed,,0.6,2,,7,11,,
Calothamnus villosus,shrub,perennial assumed,,0.3,1.5,,3,12,,
Calotis breviradiata,herb,,,,0.15,,JUN,OCT,,
Calotis breviseta,herb,perennial,,,0.3,,JAN,DEC,,
Calotis erinacea,herb,perennial,,0.15,0.8,,JUL,NOV,,
Calotis hispidula,herb,annual,,0.01,0.3,,MAY,OCT,,
Calotis lappulacea,herb,perennial,,,0.47,,MAY,JUN,,
Calotis latiuscula,herb,,,,0.5,,JUN,OCT,,
Calotis multicaulis,herb,annual,,0.06,0.5,,JUL,AUG,,
Calotis plumulifera,herb,annual,,0.06,0.3,0.5,MAY,OCT,,
Calotis porphyroglossa,herb,annual,,,0.4,,,,,
Calotis squamigera,herb,annual,,,0.21,,JUL,JUL,,
Calycopeplus collinus,shrub,perennial assumed,,0.5,2,,MAR,MAR,,
Calycopeplus marginatus,shrub,perennial assumed,,0.3,2,4,MAY,OCT,,
Calycopeplus oligandrus,shrub/tree,perennial assumed,,1.5,5,,,,,
Calycopeplus paucifolius,shrub,perennial assumed,,0.6,5,,SEP,DEC,,
Calystegia sepium,climber/herb,perennial,,,,,,,,
Calystegia soldanella,herb,perennial,,,,,OCT,DEC,,
Calytrix achaeta,shrub/tree,perennial assumed,,1,4,,1,8,,
Calytrix acutifolia,shrub,perennial assumed,,,2,,4,12,,
Calytrix amethystina,shrub,perennial assumed,,0.2,0.6,,7,12,,
Calytrix angulata,shrub,perennial assumed,,0.2,1,,8,1,,
Calytrix asperula,shrub,perennial assumed,,0.2,0.7,1,11,1,,
Calytrix aurea,shrub,perennial assumed,,0.2,1.3,2,10,11,,
Calytrix birdii,shrub,perennial assumed,,0.3,0.6,1.2,9,11,,
Calytrix brevifolia,shrub,perennial assumed,,0.3,2,,4,1,,
Calytrix breviseta,shrub,perennial assumed,,0.2,1,,8,11,,
Calytrix brownii,shrub,perennial assumed,,0.2,4,,3,8,,
Calytrix carinata,shrub,perennial assumed,,0.3,3,,3,10,,
Calytrix chrysantha,shrub,perennial assumed,,0.3,1.3,,12,2,,
Calytrix creswellii,shrub,perennial assumed,,0.25,1,,9,12,,
Calytrix decandra,shrub,perennial assumed,,0.1,0.7,1,8,12,,
Calytrix depressa,shrub,perennial assumed,,0.2,1,,9,11,,
Calytrix desolata,shrub,perennial assumed,,0.3,1.5,,3,10,,
Calytrix divergens,shrub,perennial assumed,,0.2,0.6,,5,10,,
Calytrix drummondii,shrub,perennial assumed,,0.5,1,,11,1,,
Calytrix duplistipulata,shrub,perennial assumed,,0.2,1,,3,11,,
Calytrix ecalycata,shrub,perennial assumed,,0.4,1.5,,8,11,,
Calytrix eneabbensis,shrub,perennial assumed,,0.3,1,,7,10,,
Calytrix erosipetala,shrub,perennial assumed,,0.3,0.7,,9,10,,
Calytrix exstipulata,shrub/tree,perennial assumed,,0.5,4.5,,3,9,,
Calytrix flavescens,shrub,perennial assumed,,0.3,0.8,,10,1,,
Calytrix formosa,shrub,perennial assumed,,0.3,0.8,,9,11,,
Calytrix fraseri,shrub,perennial assumed,,0.2,1,2,11,8,,
Calytrix glutinosa,shrub,perennial assumed,,0.2,1,,8,12,,
Calytrix gomphrenoides,shrub,perennial assumed,,,0.5,,1,5,,
Calytrix gracilis,shrub,perennial assumed,,0.2,1,,8,10,,
Calytrix gypsophila,shrub,perennial assumed,,,2,,ephemeral,ephemeral,,
Calytrix habrantha,shrub,perennial assumed,,0.2,1,,11,1,,
Calytrix harvestiana,shrub,perennial assumed,,0.3,0.7,,9,12,,
Calytrix hislopii,shrub,perennial assumed,,,,,,,,
Calytrix leschenaultii,shrub,perennial assumed,,0.15,1,,6,11,,
Calytrix merrelliana,shrub,perennial assumed,,0.1,0.25,,10,1,,
Calytrix nematoclada,shrub,perennial assumed,,0.15,0.5,1,9,12,,
Calytrix oldfieldii,shrub,perennial assumed,,0.35,1,,4,11,,
Calytrix oncophylla,shrub,perennial assumed,,0.4,0.8,,9,11,,
Calytrix parvivallis,shrub,perennial assumed,,0.25,0.5,,10,10,,
Calytrix patrickiae,shrub,perennial assumed,,,,,,,,
Calytrix paucicostata,shrub,perennial assumed,,0.5,1,2,9,10,,
Calytrix pimeleoides,shrub,perennial assumed,,0.5,1.6,,8,10,,
Calytrix platycheiridia,shrub,perennial assumed,,0.2,0.45,,10,10,,
Calytrix plumulosa,shrub,perennial assumed,,0.15,0.4,,10,11,,
Calytrix praecipua,shrub,perennial assumed,,0.3,0.7,,6,11,,
Calytrix pulchella,shrub,perennial assumed,,0.3,0.7,1,8,11,,
Calytrix purpurea,shrub,perennial assumed,,0.3,0.6,,9,12,,
Calytrix sagei,shrub,perennial assumed,,,,,,,,
Calytrix sapphirina,shrub,perennial assumed,,0.2,1,,8,11,,
Calytrix similis,shrub,perennial assumed,,0.2,0.7,,1,5,,
Calytrix simplex,shrub,perennial assumed,,0.15,0.5,,10,12,,
Calytrix strigosa,shrub,perennial assumed,,0.15,1.6,,8,11,,
Calytrix superba,shrub,perennial assumed,,0.2,1,,12,2,,
Calytrix sylvana,shrub,perennial assumed,,0.4,1,,8,11,,
Calytrix tenuiramea,shrub,perennial assumed,,0.3,1,,12,3,,
Calytrix tetragona,shrub,perennial assumed,,0.2,1.5,,8,10,,
Calytrix truncatifolia,shrub,perennial assumed,,0.4,1.6,,6,9,,
Calytrix uncinata,shrub,perennial assumed,,0.3,1,,8,11,,
Calytrix variabilis,shrub,perennial assumed,,0.3,1.5,,7,12,,
Calytrix verruculosa,shrub,perennial assumed,,0.4,0.75,,8,10,,
Calytrix violacea,shrub,perennial assumed,,0.15,0.45,,8,11,,
Calytrix viscida,shrub,perennial assumed,,,,,,,,
Calytrix warburtonensis,shrub,perennial assumed,,0.3,0.6,,3,10,,
Calytrix watsonii,shrub,perennial assumed,,,,,,,,
Camptostemon schultzii,shrub/tree,perennial assumed,,2,20,,NOV,APR,,
Canarium australianum,tree,perennial assumed,,3,20,,NOV,APR,,
Canscora diffusa,herb,annual,,0.1,0.3,0.6,APR,DEC,,
Cansjera leptostachya,climber/shrub,,,,6,,JUN,JUL,,
Capparis jacobsii,shrub/tree,perennial assumed,,1,6,,MAR,SEP,,
Capparis lasiantha,climber/shrub,,,0.5,4,,JUN,SEP,,
Capparis lucida,shrub,perennial assumed,,,12,,,,,
Capparis mitchellii,shrub/tree,perennial assumed,,,10,,,,,
Capparis quiniflora,shrub/tree,perennial assumed,,1,15,,MAY,SEP,,
Capparis sepiaria,climber/shrub,,,0.5,5,10,MAR,NOV,,
Capparis spinosa,shrub,perennial assumed,,0.3,3,,JAN,DEC,,
Capparis umbonata,shrub/tree,perennial assumed,,1,10,,JAN,SEP,,
Carallia brachiata,tree,perennial assumed,,3,20,,JUN,SEP,,
Cardamine paucijuga,herb,annual,,,0.4,,SEP,OCT,,
Carex appressa,herb,perennial,,0.5,2,,SEP,OCT,,
Carex fascicularis,graminoid,perennial,,0.6,1.5,,SEP,NOV,,
Carex inversa,graminoid,perennial,,0.3,0.75,,SEP,OCT,,
Carex pumila,graminoid,perennial,,,0.4,,NOV,FEB,,
Carex tereticaulis,graminoid,perennial,,,0.7,,SEP,OCT,,
Carpobrotus aequilaterus,herb,perennial,,0.1,2 long,,FEB,NOV,,
Carpobrotus modestus,herb,perennial,,0.05,1,,AUG,NOV,,
Carpobrotus rossii,herb,perennial,,,to 1m long,,JULY,SEPT,,
Carpobrotus virescens,herb,perennial,,0.1,0.3,,JUNE,JAN,,
Cartonema parviflorum,herb,perennial,,0.2,0.6,,MAR,JUN,,
Cartonema philydroides,herb,perennial,,0.1,0.5,,OCT,DEC,,
Cartonema spicatum,herb,perennial,,0.1,0.35,,JAN,JUL,,
Cassinia arcuata,shrub,perennial assumed,,,2,,JAN,APR,,
Cassytha aurea,climber/herb,perennial,,,,,JAN,DEC,,
Cassytha candida,climber/herb,perennial,,,,,MAY,JUN,,
Cassytha capillaris,climber/herb,perennial,,,,,JAN,DEC,,
Cassytha filiformis,climber/herb,perennial,,,,,JAN,DEC,,
Cassytha flava,climber/herb,perennial,,,,,JAN,DEC,,
Cassytha glabella,climber/herb,perennial,,,,,JAN,DEC,,
Cassytha melantha,climber/herb,perennial,,,,,JUL,NOV,,
Cassytha micrantha,climber/herb,perennial,,,,,DEC,MAY,,
Cassytha nodiflora,climber/herb,perennial,,,,,SEP,NOV,,
Cassytha pomiformis,climber/herb,perennial,,,,,JUL,JAN,,
Cassytha racemosa,climber/herb,perennial,,,,,JAN,DEC,,
Casuarina obesa,tree,perennial assumed,,1.5,10,,JAN,DEC,,
Casuarina pauper,tree,perennial assumed,,5,15,,,,,
Catacolea enodis,herb,perennial,,0.1,0.3,,,,,
Caustis dioica,graminoid,perennial,,0.15,0.7,,SEP,DEC,,
Caustis pentandra,graminoid,perennial,,,2.5,,OCT,NOV,,
Cayratia cardiophylla,climber,,,,,,AUG,FEB,,
Cayratia trifolia,climber,,,,20,,SEP,MAR,,
Centella asiatica,herb,perennial,,0.05,0.4,,AUG,APRIL,,
Centella asiatica,herb,perennial,,0.05,0.4,,AUG,APR,,
Centipeda borealis,herb,,,0.1,0.2,,,,,
Centipeda crateriformis,herb,annual,,0.05,0.18,,SEP,DEC,,
Centipeda cunninghamii,herb,perennial,,0.05,0.2,,SEP,DEC,,
Centipeda minima,herb,annual,,0.03,0.2,,MAY,OCT,,
Centipeda nidiformis,herb,,,0.04,0.06,,AUG,AUG,,
Centipeda pleiocephala,herb,annual,,,0.07,,APR,APR,,
Centipeda racemosa,herb,perennial,,,0.06,,APR,APR,,
Centipeda thespidioides,herb,annual,,0.05,0.2,,APR,NOV,,
Centranthera cochinchinensis,herb,annual,,0.1,0.4,0.55,APR,JUL,,
Centrolepis alepyroides,herb,annual,,0.015,0.06,,SEP,NOV,,
Centrolepis aristata,herb,annual,,0.02,0.2,,AUG,DEC,,
Centrolepis banksii,herb,annual,,0.02,0.12,,MAY,AUG,,
Centrolepis caespitosa,herb,annual,,,,,OCT,DEC,,
Centrolepis cephaloformis,herb,annual,,,0.01,,AUG,OCT,,
Centrolepis curta,herb,annual,,,,,MAY,AUG,,
Centrolepis drummondiana,herb,annual,,,0.12,,SEP,NOV,,
Centrolepis eremica,herb,annual,,0.01,0.04,,JUL,SEP,,
Centrolepis exserta,herb,annual,,0.02,0.15,,APR,AUG,,
Centrolepis fascicularis,herb,annual,,,,,OCT,OCT,,
Centrolepis glabra,herb,annual,,0.01,0.9,,SEP,NOV,,
Centrolepis humillima,herb,annual,,0.03,0.1,,SEP,NOV,,
Centrolepis inconspicua,herb,annual,,0.005,0.02,,AUG,OCT,,
Centrolepis mutica,herb,annual,,0.03,0.07,,NOV,DEC,,
Centrolepis pilosa,herb,annual,,0.025,0.9,,SEP,OCT,,
Centrolepis polygyna,herb,annual,,0.01,0.07,,JUL,DEC,,
Centrolepis strigosa,herb,annual,,0.01,0.11,,AUG,NOV,,
Cephalipterum drummondii,herb,annual,,0.025,0.05,0.45,JUL,OCT,,
Cephalosorus carpesioides,herb,annual,,0.06,0.3,,SEP,OCT,,
Cephalotus follicularis,herb,perennial,,,0.2,,DEC,APR,,
Ceratogyne obionoides,herb,annual,,0.03,0.1,,SEP,OCT,,
Ceratophyllum demersum,herb,perennial,,,,,,,,
Chaetanthus aristatus,herb,perennial,,0.2,1,,MAY,DEC,,
Chaetanthus leptocarpoides,herb,perennial,,0.2,0.4,,NOV,DEC,,
Chaetanthus tenellus,herb,perennial,,0.1,0.7,,SEP,NOV,,
Chamaescilla corymbosa,herb,perennial,,0.05,0.4,,JUL,DEC,,
Chamaescilla gibsonii,herb,,,,,,SEP,SEP,,
Chamaescilla spiralis,herb,perennial,,0.16,0.33,,SEP,OCT,,
Chamaescilla versicolor,herb,perennial,,0.15,0.4,,AUG,SEP,,
Chamaexeros fimbriata,herb,perennial,,0.15,0.7,,JUN,SEP,,
Chamaexeros longicaulis,herb,perennial,,0.05,0.5,,OCT,NOV,,
Chamaexeros macranthera,herb,perennial,,0.12,0.35,,AUG,OCT,,
Chamaexeros serra,herb,perennial,,,0.1,,AUG,OCT,,
Chamelaucium axillare,shrub,perennial assumed,,0.2,2.2,,9,12,,
Chamelaucium brevifolium,shrub,perennial assumed,,0.3,1.3,,9,11,,
Chamelaucium ciliatum,shrub,perennial assumed,,0.15,1.2,,all year,all year,,
Chamelaucium confertiflorum,shrub,perennial assumed,,0.3,1,,10,12,,
Chamelaucium drummondii,shrub,perennial assumed,,0.15,1,2,8,1,,
Chamelaucium gracile,shrub,perennial assumed,,,,,,,,
Chamelaucium heterandrum,shrub,perennial assumed,,,,,,,,
Chamelaucium marchantii,shrub,perennial assumed,,1,1.8,,10,10,,
Chamelaucium megalopetalum,shrub,perennial assumed,,0.25,1.4,2,5,12,,
Chamelaucium micranthum,shrub,perennial assumed,0.3,0.5,3,4,8,11,,
Chamelaucium pauciflorum,shrub,perennial assumed,,0.15,1.4,2,8,10,,
Chamelaucium uncinatum,shrub,perennial assumed,,0.5,4,,6,11,,
Chamelaucium virgatum,shrub,perennial assumed,,0.3,1.75,,8,1,,
Cheiranthera brevifolia,shrub,perennial assumed,,,0.2,,,,,
Cheiranthera filifolia,shrub,perennial assumed,,,1,,AUG,DEC,,
Cheiranthera parviflora,climber,,,,3,,SEP,JAN,,
Cheiranthera preissiana,climber/shrub,,,,2,,SEP,JAN,,
Cheiranthera simplicifolia (Cheiranthera simplicifolia (E.M.Benn.) L.Cayzer & Crisp ),shrub,perennial assumed,,,,,,,,
Cheyniana microphylla,shrub,perennial assumed,,,,,,,,
Cheyniana rhodella,shrub,perennial assumed,,,,,,,,
Chlaenosciadium gardneri,herb,perennial,,,,,OCT,JAN,,
Chloanthes coccinea,shrub,perennial assumed,,0.15,0.6,0.8,JUL,NOV,,
Chlorophytum laxum,herb,perennial,,0.3,0.6,,JAN,APR,,
Chondropyxis halophila,herb,annual,,0.01,0.07,,SEP,OCT,,
Chordifex abortivus,herb,perennial,,,0.5,,SEP,OCT,,
Chordifex amblycoleus,herb,perennial,,0.3,1,,SEP,OCT,,
Chordifex capillaceus,herb,perennial,,0.1,0.2,,OCT,OCT,,
Chordifex chaunocoleus,herb,perennial,,0.15,0.5,,SEP,SEP,,
Chordifex crispatus,herb,perennial,,0.2,0.5,,AUG,OCT,,
Chordifex gracilior,herb,perennial,,0.3,0.5,,SEP,DEC,,
Chordifex isomorphus,herb,perennial,,0.5,0.8,,MAR,MAY,,
Chordifex jacksonii,herb,perennial,,0.4,1,,,,,
Chordifex laxus,herb,perennial,,0.2,0.5,,OCT,DEC,,
Chordifex leucoblepharus,herb,perennial,,,0.4,,NOV,DEC,,
Chordifex microcodon,herb,perennial,,0.2,0.8,,MAY,AUG,,
Chordifex ornatus,herb,perennial,,,,,OCT,OCT,,
Chordifex reseminans,herb,,,0.6,0.9,,MAR,MAY,,
Chordifex sinuosus,herb,perennial,,0.25,0.4,,JUN,JUL,,
Chordifex sphacelatus,herb,perennial,0.05,0.1,0.3,,,,,
Chordifex stenandrus,herb,perennial,,0.3,0.65,,MAY,SEP,,
Choretrum glomeratum,shrub,perennial assumed,,0.3,2,,FEB,DEC,,
Choretrum lateriflorum,shrub,perennial assumed,,0.9,4.5,,NOV,FEB,,
Choretrum pritzelii,shrub,perennial assumed,,1,2.5,,OCT,APR,,
Chorilaena quercifolia,shrub/tree,perennial assumed,,0.5,5,,APR,JAN,,
Chorizandra cymbaria,graminoid,perennial,,0.4,1,,OCT,DEC,,
Chorizandra enodis,graminoid,perennial,,0.18,1,,JUL,NOV,,
Chorizandra multiarticulata,graminoid,perennial,,0.6,0.6,,AUG,SEP,,
Chrysitrix distigmatosa,graminoid,perennial,,0.6,0.6,,JUN,OCT,,
Chrysocephalum apiculatum,herb,perennial,,0.15,0.8,,JAN,DEC,,
Chrysocephalum eremaeum,herb,perennial,,0.2,0.6,,APR,OCT,,
Chrysocephalum pterochaetum,herb/shrub,perennial,,0.15,0.8,1,JAN,DEC,,
Chrysocephalum puteale,herb/shrub,perennial,,0.15,0.75,,MAR,NOV,,
Chthonocephalus muellerianus,herb,annual,,0.02,0.07,,SEP,SEP,,
Chthonocephalus multiceps,herb,annual,,0.01,0.1,,AUG,SEP,,
Chthonocephalus oldfieldianus,herb,annual,,,,,AUG,SEP,,
Chthonocephalus pseudevax,herb,annual,,,,,JUN,NOV,,
Chthonocephalus spathulatus,herb,annual,,,,,AUG,AUG,,
Chthonocephalus tomentellus,herb,annual,,,,,AUG,NOV,,
Chthonocephalus viscosus,herb,annual,,,,,JUL,OCT,,
Cissus adnata,climber/herb/shrub,,,,8,,JAN,MAR,,
Cissus reniformis,climber,,,,,,,,,
Cladium procerum,graminoid,perennial,,,2,,NOV,NOV,,
Claoxylon hillii,shrub/tree,perennial,,,10,,,,,
Clematicissus angustissima,climber/herb,,,,3,,JAN,MAY,,
Clematis delicata,,,,,,,JUL,SEP,,
Clematis linearifolia,climber,,,,,,JUL,OCT,,
Clematis pickeringii,climber,,,,,,,,,
Clematis pubescens,climber/shrub,,,,5,,MAY,NOV,,
Cleome cleomoides,herb,annual/perennial,,0.3,1,,JAN,JUN,,
Cleome kenneallyi,herb,perennial,,,0.6,,JAN,FEB,,
Cleome oxalidea,herb,annual,,0.05,0.15,0.3,JAN,SEP,,
Cleome tetrandra,herb,annual,,0.15,0.6,,JAN,JUL,,
Cleome uncifera,herb/shrub,perennial,,0.15,0.6,,MAR,NOV,,
Cleome viscosa,herb,annual/perennial,,0.15,1.5,,FEB,OCT,,
Clerodendrum floribundum,shrub/tree,perennial assumed,,0.6,8,,JAN,NOV,,
Clerodendrum heterophyllum,shrub,perennial assumed,,1,3,,,,,
Clerodendrum inerme,shrub,perennial assumed,,,2,,MAY,JUN,,
Clerodendrum tomentosum,shrub/tree,perennial assumed,,1.2,5,,JAN,SEP,,
Cochlospermum fraseri,shrub/tree,perennial assumed,,1,6,,MAR,AUG,,
Codonocarpus cotinifolius,shrub/tree,perennial assumed,,2,10,,APR,OCT,,
Coldenia procumbens,herb,annual,,0.15,0.6,,MAY,DEC,,
Coleanthera coelophylla,shrub,perennial assumed,,0.3,0.6,,SEP,NOV,,
Coleanthera myrtoides,shrub,perennial assumed,,0.3,1.5,,NOV,MAR,,
Coleocoma centaurea,herb,perennial,,,0.3,,,,,
Colubrina asiatica,shrub,perennial assumed,,,2,,,,,
Comesperma acerosum,herb/shrub,perennial,,0.25,0.5,0.8,SEP,DEC,,
Comesperma calcicola,herb,perennial,,,0.3,,OCT,JAN,,
Comesperma calymega,herb,perennial,,0.1,0.5,,AUG,JAN,,
Comesperma ciliatum,climber/shrub,,,,,,SEP,DEC,,
Comesperma confertum,shrub,perennial assumed,,0.2,1.2,,SEP,DEC,,
Comesperma drummondii,herb/shrub,perennial,,0.2,1.2,,AUG,NOV,,
Comesperma flavum,herb/shrub,perennial,,0.3,1,1.5,OCT,MAR,,
Comesperma griffinii,herb,annual/perennial,,,0.15,,OCT,OCT,,
Comesperma integerrimum,climber/shrub,,,0.3,8,,AUG,NOV,,
Comesperma lanceolatum,shrub,perennial assumed,,0.1,0.33,,NOV,NOV,,
Comesperma nudiusculum,shrub,perennial assumed,,0.3,1,,NOV,JAN,,
Comesperma pallidum,shrub,perennial assumed,,0.7,2,,MAY,AUG,,
Comesperma polygaloides,shrub,perennial assumed,,0.1,0.3,0.5,OCT,APR,,
Comesperma rhadinocarpum,herb,perennial,,,,,OCT,NOV,,
Comesperma scoparium,shrub,perennial assumed,,0.3,1.2,2,FEB,NOV,,
Comesperma secundum,shrub,perennial assumed,,0.5,1.5,,APR,JUL,,
Comesperma spinosum,shrub,perennial assumed,,0.1,0.6,0.9,SEP,NOV,,
Comesperma virgatum,shrub,perennial assumed,,0.3,1.6,,SEP,MAR,,
Comesperma viscidulum,shrub,perennial assumed,,,0.7,,,,,
Comesperma volubile,climber/herb,perennial,,0.15,2,5,JUN,NOV,,
Commelina ciliata,herb,annual/perennial,,,0.7,,MAR,AUG,,
Commelina ensifolia,herb,annual/perennial,,,0.3,,JAN,DEC,,
Commelina reticulata,herb,annual/perennial,,,,,APR,MAY,,
Commicarpus chinensis,climber/herb,perennial,,,0.5,,FEB,MAY,,
Conospermum acerosum,shrub,perennial assumed,,0.3,1.7,,JUL,NOV,,
Conospermum amoenum,shrub,perennial assumed,,0.3,1,,JUL,OCT,,
Conospermum boreale,shrub,perennial assumed,,0.8,1.8,,AUG,NOV,,
Conospermum brachyphyllum,shrub,perennial assumed,,0.45,1,,AUG,OCT,,
Conospermum bracteosum,shrub,perennial assumed,,0.3,1.1,,SEP,NOV,,
Conospermum brownii,shrub,perennial assumed,,0.25,1.2,,AUG,DEC,,
Conospermum caeruleum,shrub,perennial assumed,,0.1,1.2,,MAR,NOV,,
Conospermum canaliculatum,shrub,perennial assumed,,0.5,2,,JUL,DEC,,
Conospermum capitatum,shrub,perennial assumed,,0.15,0.5,,AUG,DEC,,
Conospermum cinereum,shrub,perennial assumed,,0.5,2.4,,SEP,DEC,,
Conospermum coerulescens,shrub,perennial assumed,,,1.2,,JUL,FEB,,
Conospermum crassinervium,shrub,perennial assumed,,0.6,1.5,,OCT,APR,,
Conospermum croniniae,shrub,perennial assumed,,0.3,0.9,,MAY,NOV,,
Conospermum densiflorum,shrub,perennial assumed,,0.3,1,,SEP,JAN,,
Conospermum distichum,shrub,perennial assumed,,0.3,1,1.3,AUG,DEC,,
Conospermum eatoniae,shrub,perennial assumed,,0.3,1,,AUG,OCT,,
Conospermum ephedroides,shrub,perennial assumed,,0.3,1,,AUG,OCT,,
Conospermum filifolium,shrub,perennial assumed,,0.2,1.5,,JUL,DEC,,
Conospermum flexuosum,shrub,perennial assumed,,0.2,1.5,,MAY,OCT,,
Conospermum floribundum,shrub,perennial assumed,,0.2,1,1.5,SEP,DEC,,
Conospermum galeatum,shrub,perennial assumed,,,0.9,,AUG,SEP,,
Conospermum glumaceum,shrub,perennial assumed,,0.5,1.7,,JUL,DEC,,
Conospermum huegelii,shrub,perennial assumed,,0.2,1,,JUL,OCT,,
Conospermum incurvum,shrub,perennial assumed,,0.4,1,,JUL,NOV,,
Conospermum leianthum,shrub,perennial assumed,,0.15,1.5,,SEP,DEC,,
Conospermum microflorum,shrub,perennial assumed,0.4,0.8,2,,SEP,OCT,,
Conospermum multispicatum,shrub,perennial assumed,,0.4,1.2,,SEP,DEC,,
Conospermum nervosum,shrub,perennial assumed,,0.3,0.6,1,MAY,FEB,,
Conospermum paniculatum,shrub,perennial assumed,,0.3,1.25,,JUL,NOV,,
Conospermum petiolare,shrub,perennial assumed,,0.3,1,,OCT,MAR,,
Conospermum polycephalum,shrub,perennial assumed,,0.3,0.75,1,JUL,SEP,,
Conospermum quadripetalum,shrub,perennial assumed,,0.3,1,,SEP,NOV,,
Conospermum scaposum,shrub,perennial assumed,,0.2,0.45,0.75,OCT,FEB,,
Conospermum sigmoideum (Conospermum sigmoideum E.M.Benn. ),shrub,perennial assumed,,0.2,0.5,,AUG,SEP,,
Conospermum spectabile,shrub,perennial assumed,,0.5,0.8,,OCT,NOV,,
Conospermum stoechadis,shrub,perennial assumed,,0.3,2,,JUL,DEC,,
Conospermum teretifolium,shrub,perennial assumed,,0.6,2,,AUG,JAN,,
Conospermum toddii,shrub,perennial assumed,,1.2,2,,JUL,OCT,,
Conospermum triplinervium,shrub/tree,perennial assumed,,0.5,4.5,,AUG,JAN,,
Conospermum undulatum (Conospermum undulatum Lindl.),shrub,perennial assumed,,0.6,2,,MAY,OCT,,
Conospermum unilaterale,shrub,perennial assumed,,0.3,1,,AUG,OCT,,
Conospermum wycherleyi,shrub,perennial assumed,,0.5,1.5,,JUL,NOV,,
Conostephium drummondii,shrub,perennial assumed,,0.3,1.5,,MAR,DEC,,
Conostephium magnum,shrub,perennial assumed,,,2,,JUL,SEP,,
Conostephium marchantiorum,shrub,perennial assumed,,0.4,1.8,,MAR,NOV,,
Conostephium minus,shrub,perennial assumed,,0.15,0.75,,AUG,OCT,,
Conostephium pendulum,shrub,perennial assumed,,0.15,0.7,1.5,MAR,OCT,,
Conostephium preissii,shrub,perennial assumed,,0.3,1.2,,JAN,DEC,,
Conostephium pungens,shrub,perennial assumed,,,1.5,,MAY,JUL,,
Conostephium roei,shrub,perennial assumed,,0.3,1.2,,AUG,OCT,,
Conostephium uncinatum,shrub,perennial assumed,,0.5,1.4,,,,,
Conostylis aculeata,herb,perennial,,0.06,0.5,0.6,AUG,NOV,,
Conostylis albescens,herb,perennial,,0.12,0.17,,AUG,AUG,,
Conostylis androstemma,herb,perennial,,0.1,0.3,,MAY,AUG,,
Conostylis angustifolia,herb,perennial,,0.12,0.4,,SEP,OCT,,
Conostylis argentea,herb,perennial,,0.07,0.25,,JUL,AUG,,
Conostylis aurea,herb,perennial,,0.15,0.4,,AUG,OCT,,
Conostylis bealiana,herb,perennial,,0.1,0.15,,JUL,SEP,,
Conostylis bracteata,herb,perennial,,0.2,0.45,,AUG,SEP,,
Conostylis breviscapa,herb,perennial,,0.11,0.33,,AUG,JAN,,
Conostylis candicans,herb,perennial,,0.05,0.4,,JUL,NOV,,
Conostylis canteriata,herb,perennial,,0.1,0.2,,MAY,AUG,,
Conostylis caricina,herb,perennial,,0.05,0.2,0.3,JUL,SEP,,
Conostylis deplexa,herb,perennial,,0.15,0.22,,SEP,OCT,,
Conostylis dielsii,herb,perennial,,0.07,0.33,,JUN,SEP,,
Conostylis drummondii,herb,perennial,,0.1,0.3,,OCT,NOV,,
Conostylis festucacea,herb,perennial,,0.13,0.4,,SEP,OCT,,
Conostylis hiemalis,herb,perennial,,0.1,0.2,,JUN,AUG,,
Conostylis juncea,herb,perennial,,0.1,0.4,,JUN,SEP,,
Conostylis latens,herb,perennial,,0.1,0.27,,AUG,SEP,,
Conostylis laxiflora,herb,perennial,,0.1,0.4,,OCT,NOV,,
Conostylis lepidospermoides,herb,perennial,,0.17,0.36,,SEP,OCT,,
Conostylis micrantha,herb,perennial,,0.13,0.24,,JUL,AUG,,
Conostylis misera,herb,perennial,,0.05,0.18,,OCT,NOV,,
Conostylis neocymosa,herb,perennial,,0.1,0.25,,JUL,SEP,,
Conostylis pauciflora,herb,perennial,,0.06,0.35,,AUG,OCT,,
Conostylis petrophiloides,herb,perennial,,0.15,0.3,,SEP,NOV,,
Conostylis phathyrantha,herb,perennial,,0.13,0.3,,AUG,OCT,,
Conostylis prolifera,herb,perennial,,0.01,0.2,,AUG,OCT,,
