Native species,plant_height_m,leaf_area_mm2,SLA_mm2_mg,seed_mass_mg,variance_seed_dimensions,seed_source,dispersal_mode,life-form,nutrient_uptake_strategy,clonal_spread,fire_response,dispersal syndrome source,nutrient update source,fire_response source,native_status,plant_growth_form
Avena fatua,1.5,916.4,40.3,4.55,0.2,collected for study,Epi,T,AM,N,S,,literature,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),introduced,
Briza maxima,0.57,871.4,56.32,1.3,0.127,collected for study,Anem,T,AM,N,S,,literature,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),introduced,
Briza minor,0.6,215.5,54.42,0.12,0.023,collected for study,Anem,T,AM,N,S,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),introduced,
Bromus diandrus,0.7,839.1,38.83,4.2,0.121,collected for study,Epi,T,AM,N,S,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),introduced,
Bromus rubens,0.4,292.4,31.77,3.7,,collected for study,Epi,T,None,N,S,,literature,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),introduced,
Cardamine hirsuta,0.32,134,47.82,0.07,0.149,collected for study,Mob,T,None,N,S,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),introduced,
Cardus tenuiflorus,1.33,3066.7,21.16,2.82,0.188,collected for study,Anem,T,AM,N,S,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),introduced,
Centaurium tenuiflorum,0.37,335.4,13.57,0.001,0.028,collected for study,Mob,T,AM,N,S,,literature,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),introduced,
Cerastium glomeratum,0.43,208.8,38.66,0.08,0.011,collected for study,Mob,T,None,N,S,,determined by Meers,Ecology of Sydney Flora database (Benson and McDougall,introduced,
Cirsium vulgare,1.4,6878.9,12.65,1.5,0.19,collected for study,Anem,T,AM,N,S,,determined by Meers,Ecology of Sydney Flora database (Benson and McDougall,introduced,
Conyza bonariensis,1.17,999.6,20.95,0.037,0.191,collected for study,Anem,T,AM,N,S,,determined by Meers,Ecology of Sydney Flora database (Benson and McDougall,introduced,
Dittrichia graveolens,0.65,116.5,34.18,0.16,0.153,collected for study,Anem,T,AM,N,S,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),introduced,
Erodium moschatum,0.4,417.1,21.65,1.47,0.16,collected for study,Epi,T,AM,N,S,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),introduced,
Galium aparine,1.35,46.4,45.49,9.81,0.017,collected for study,Epi,T,AM,N,S,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),introduced,
Galium muriale,0.12,8.3,78.3,0.08,0.035,collected for study,Mob,T,AM,N,S,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),introduced,
Gamochaeta purpurea,0.45,218.5,33.11,0.003,0.158,collected for study,Anem,T,AM,N,S,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),introduced,
Holcus lanatus,0.61,811.2,30.28,0.25,0.176,collected for study,Epi,HE,AM,C (rooting at nodes),R,,literature,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),introduced,
Hordeum vulgare,1,,,2.32,0.191,collected for study,Epi,T,AM,N,S,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),introduced,
Hypericum perforatum,0.9,78.5,32.82,0.12,0.139,collected for study,Mob,C,AM,C (rhizome),S,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),introduced,
Hypochoeris glabra,0.49,559.9,29.09,0.37,0.241,collected for study,Anem,T,AM,N,S,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),introduced,
Hypochoeris radicata,0.37,814.7,28.03,0.97,0.236,collected for study,Anem,HF,AM,N,R,,literature,Ecology of Sydney Flora database (Benson and McDougall,introduced,
Myosotis discolor,0.3,181.1,40.22,0.87,0.163,collected for study,Epi,T,AM,N,S,,literature,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),introduced,
Lactuca serriola,2,5115.3,43.87,0.12,0.122,collected for study,Anem,T,AM,N,S,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),introduced,
Linaria pelisseriana,0.7,28.7,44.84,0.15,0.062,collected for study,Mob,T,AM,N,S,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),introduced,
Petrorhagia dubia,0.55,191,32.91,0.18,0.046,collected for study,Bar,T,None,N,S,,literature,Ecology of Sydney Flora database (Benson and McDougall,introduced,
Pinus radiata,30,316.6,4.29,18.26,0.102,collected for study,Anem,P,ECM,N,S,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),introduced,
Poa annua,0.3,173.8,64.28,0.26,0.162,collected for study,Bar,T,AM,N,S,,literature,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),introduced,
Polycarpon tetraphyllum,0.15,50.3,46.92,0.024,0.063,collected for study,Mob,T,None,N,S,,determined by Meers,Ecology of Sydney Flora database (Benson and McDougall,introduced,
Prunus cerasifera,7,313.3,34.92,168.53,0.103,collected for study,End,P,AM,N,R,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),introduced,
Rosa rubiginosa,2.25,538.8,10.4,18.23,0.065,collected for study,End,P,AM,N,S,,literature,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),introduced,
Rubus fruiticosus spp. agg.,3,2574.3,9.44,2.52,0.065,collected for study,End,P,AM,C (rooting at stems),R,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),introduced,
Sisyrinchium spp. A,0.23,108.7,33.23,0.25,,collected for study,Mob,T,AM,N,S,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),introduced,
Solanum nigrum,0.9,340.5,18.2,0.94,0.183,collected for study,End,T,AM,N,S,,literature,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),introduced,
Sonchus asper,1.5,1519.1,31.22,0.44,0.137,collected for study,Anem,T,AM,N,S,,literature,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),introduced,
Sonchus oleraceus,1.23,2555,40.35,0.26,0.112,collected for study,Anem,T,AM,N,S,,determined by Meers,Ecology of Sydney Flora database (Benson and McDougall,introduced,
Spergula rubra,0.2,16.4,37.3,0.08,0.019,collected for study,Mob,T,None,N,S,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),introduced,
Stellaria media,0.28,43.3,59.23,0.32,0.01,collected for study,Bar,T,None,N,S,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),introduced,
"Taraxacum officinale spp. agg,",0.33,818.1,37.33,0.9,0.166,collected for study,Anem,HF,AM,N,S,,determined by Meers,Ecology of Sydney Flora database (Benson and McDougall,introduced,
Trifolium angustifolium,0.48,111.9,28.55,1.08,0.044,collected for study,Epi,T,NF + AM,N,S,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),introduced,
Trifolium arvense,0.4,119,38.86,0.16,0.028,collected for study,Anem,T,NF + AM,N,S,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),introduced,
Trifolium dubium,0.33,69.4,54.73,0.24,0.01,collected for study,Bar,T,NF + AM,N,S,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),introduced,
Trifolium glomeratum,0.05,131.6,38.79,0.31,0.039,collected for study,Bar,T,NF + AM,N,S,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),introduced,
Trifolium subterraeum,0.05,442.9,26.63,5.99,0.039,collected for study,Bar,T,NF + AM,N,S,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),introduced,
Verbascum virgatum,2,5339.1,10.47,0.2,0.023,collected for study,Mob,HP,AM,N,S,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),introduced,
Veronica arvensis,0.1,45.8,39.25,1.05,0.051,collected for study,Bar,T,AM,N,S,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),introduced,
Vicia sativa ssp. nigra,0.3,346.3,32.17,10.11,0.008,collected for study,Bar,T,NF + AM,N,S,,literature,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),introduced,
Vulpa bromoides,0.57,50,33.65,0.21,0.247,collected for study,Epi,T,AM,N,S,,literature,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),introduced,
