sample,tree,taxon,date_time,locality,locality_edited,longitude (deg),latitude (deg),collector,longitude_gda94,latitude_gda94,elevation (m),height_m,stem_density_g_per_ml,stem_mass_g,stem_volume_ml,bark_mass_g,sla_mm2_per_mg,leaf_area_cm2,leaf_mass_g,fruit_mass_mg,fruit_wall_width_mm,fruit_diameter_mm,fruit_height_mm,seed_mass_mg,seed_mass_total_mg,number_of_seeds,leaf_notes,seed_notes,max_height_m,notes
"BAX_mature, Glenelg RR_3_3_1_leaf","BAX_mature, Glenelg RR_3_leaf",Eucalyptus baxteri,2007-08-31T14:00:00Z,"mature, Glenelg RR",GGLE1,142.4398,-37.1515,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,3.330112721,20.68,0.621,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,
"BAX_mature, Glenelg RR_4_1_1_leaf","BAX_mature, Glenelg RR_4_leaf",Eucalyptus baxteri,2007-08-31T14:00:00Z,"mature, Glenelg RR",GGLE1,142.4398,-37.1515,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,4.658203125,23.85,0.512,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,
"BAX_mature, Glenelg RR_4_2_1_leaf","BAX_mature, Glenelg RR_4_leaf",Eucalyptus baxteri,2007-08-31T14:00:00Z,"mature, Glenelg RR",GGLE1,142.4398,-37.1515,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,4.750415973,28.55,0.601,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,
"BAX_mature, Glenelg RR_4_3_1_leaf","BAX_mature, Glenelg RR_4_leaf",Eucalyptus baxteri,2007-08-31T14:00:00Z,"mature, Glenelg RR",GGLE1,142.4398,-37.1515,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,4.689956332,32.22,0.687,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,
"BAX_mature, Glenelg RR_5_1_1_leaf","BAX_mature, Glenelg RR_5_leaf",Eucalyptus baxteri,2007-08-31T14:00:00Z,"mature, Glenelg RR",GGLE1,142.4398,-37.1515,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,3.784029038,41.7,1.102,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,
"BAX_mature, Glenelg RR_5_2_1_leaf","BAX_mature, Glenelg RR_5_leaf",Eucalyptus baxteri,2007-08-31T14:00:00Z,"mature, Glenelg RR",GGLE1,142.4398,-37.1515,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,3.690992018,32.37,0.877,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,
"BAX_mature, Glenelg RR_5_3_1_leaf","BAX_mature, Glenelg RR_5_leaf",Eucalyptus baxteri,2007-08-31T14:00:00Z,"mature, Glenelg RR",GGLE1,142.4398,-37.1515,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,3.388571429,29.65,0.875,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,
"BAX_mature, Glenelg RR_6_1_1_leaf","BAX_mature, Glenelg RR_6_leaf",Eucalyptus baxteri,2007-08-31T14:00:00Z,"mature, Glenelg RR",GGLE1,142.4398,-37.1515,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,4.135014837,27.87,0.674,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,
"BAX_mature, Glenelg RR_6_2_1_leaf","BAX_mature, Glenelg RR_6_leaf",Eucalyptus baxteri,2007-08-31T14:00:00Z,"mature, Glenelg RR",GGLE1,142.4398,-37.1515,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,4.062,20.31,0.5,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,
"BAX_mature, Glenelg RR_6_3_1_leaf","BAX_mature, Glenelg RR_6_leaf",Eucalyptus baxteri,2007-08-31T14:00:00Z,"mature, Glenelg RR",GGLE1,142.4398,-37.1515,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,3.864915572,20.6,0.533,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,
CAM_V V_1_1_1_leaf,CAM_V V_1_leaf,Eucalyptus camaldulensis subsp. camaldulensis,2007-08-31T14:00:00Z,V V,VV,142.4223,-37.2581,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,5.572192513,10.42,0.187,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,
CAM_V V_1_2_1_leaf,CAM_V V_1_leaf,Eucalyptus camaldulensis subsp. camaldulensis,2007-08-31T14:00:00Z,V V,VV,142.4223,-37.2581,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,6.251082251,14.44,0.231,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,
CAM_V V_1_3_1_leaf,CAM_V V_1_leaf,Eucalyptus camaldulensis subsp. camaldulensis,2007-08-31T14:00:00Z,V V,VV,142.4223,-37.2581,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,5.985,11.97,0.2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,
CAM_V V_2_1_1_leaf,CAM_V V_2_leaf,Eucalyptus camaldulensis subsp. camaldulensis,2007-08-31T14:00:00Z,V V,VV,142.4223,-37.2581,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,4.310483871,10.69,0.248,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,
CAM_V V_2_2_1_leaf,CAM_V V_2_leaf,Eucalyptus camaldulensis subsp. camaldulensis,2007-08-31T14:00:00Z,V V,VV,142.4223,-37.2581,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,4.32195122,8.86,0.205,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,
CAM_V V_2_3_1_leaf,CAM_V V_2_leaf,Eucalyptus camaldulensis subsp. camaldulensis,2007-08-31T14:00:00Z,V V,VV,142.4223,-37.2581,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,4.351145038,5.7,0.131,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,
CAM_V V_3_1_1_leaf,CAM_V V_3_leaf,Eucalyptus camaldulensis subsp. camaldulensis,2007-08-31T14:00:00Z,V V,VV,142.4223,-37.2581,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,6.784810127,10.72,0.158,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,
CAM_V V_3_2_1_leaf,CAM_V V_3_leaf,Eucalyptus camaldulensis subsp. camaldulensis,2007-08-31T14:00:00Z,V V,VV,142.4223,-37.2581,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,5.377142857,9.41,0.175,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,
CAM_V V_3_3_1_leaf,CAM_V V_3_leaf,Eucalyptus camaldulensis subsp. camaldulensis,2007-08-31T14:00:00Z,V V,VV,142.4223,-37.2581,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,6.03125,9.65,0.16,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,
CAM_V V_4_1_1_leaf,CAM_V V_4_leaf,Eucalyptus camaldulensis subsp. camaldulensis,2007-08-31T14:00:00Z,V V,VV,142.4223,-37.2581,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,4.06223176,18.93,0.466,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,
CAM_V V_4_2_1_leaf,CAM_V V_4_leaf,Eucalyptus camaldulensis subsp. camaldulensis,2007-08-31T14:00:00Z,V V,VV,142.4223,-37.2581,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,4.489051095,18.45,0.411,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,
CAM_V V_4_3_1_leaf,CAM_V V_4_leaf,Eucalyptus camaldulensis subsp. camaldulensis,2007-08-31T14:00:00Z,V V,VV,142.4223,-37.2581,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,4.13986014,17.76,0.429,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,
CAM_V V_5_1_1_leaf,CAM_V V_5_leaf,Eucalyptus camaldulensis subsp. camaldulensis,2007-08-31T14:00:00Z,V V,VV,142.4223,-37.2581,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,4.580645161,11.36,0.248,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,
CAM_V V_5_2_1_leaf,CAM_V V_5_leaf,Eucalyptus camaldulensis subsp. camaldulensis,2007-08-31T14:00:00Z,V V,VV,142.4223,-37.2581,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,4.694736842,13.38,0.285,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,
CAM_V V_5_3_1_leaf,CAM_V V_5_leaf,Eucalyptus camaldulensis subsp. camaldulensis,2007-08-31T14:00:00Z,V V,VV,142.4223,-37.2581,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,4.959349593,12.2,0.246,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,
CAM_V V_6_1_1_leaf,CAM_V V_6_leaf,Eucalyptus camaldulensis subsp. camaldulensis,2007-08-31T14:00:00Z,V V,VV,142.4223,-37.2581,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,4.300353357,12.17,0.283,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,
CAM_V V_6_2_1_leaf,CAM_V V_6_leaf,Eucalyptus camaldulensis subsp. camaldulensis,2007-08-31T14:00:00Z,V V,VV,142.4223,-37.2581,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,4.720379147,19.92,0.422,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,
CAM_V V_6_3_1_leaf,CAM_V V_6_leaf,Eucalyptus camaldulensis subsp. camaldulensis,2007-08-31T14:00:00Z,V V,VV,142.4223,-37.2581,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,4.473913043,10.29,0.23,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,
VER_M Gap_NA_1_1_leaf,NA,Eucalyptus verrucata,2007-08-31T14:00:00Z,M Gap,MGAP,142.4581,-37.4228,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,2.454656117,40.33,1.643,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,
VER_M Gap_NA_2_1_leaf,NA,Eucalyptus verrucata,2007-08-31T14:00:00Z,M Gap,MGAP,142.4581,-37.4228,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,2.374624173,39.49,1.663,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,
VER_M Gap_NA_3_1_leaf,NA,Eucalyptus verrucata,2007-08-31T14:00:00Z,M Gap,MGAP,142.4581,-37.4228,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,2.232648529,40.21,1.801,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,
VER_M Gap_NA_4_1_leaf,NA,Eucalyptus verrucata,2007-08-31T14:00:00Z,M Gap,MGAP,142.4581,-37.4228,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,2.180437424,35.89,1.646,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,
VER_M Gap_NA_5_1_leaf,NA,Eucalyptus verrucata,2007-08-31T14:00:00Z,M Gap,MGAP,142.4581,-37.4228,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,2.146272855,30.52,1.422,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,
VER_M Gap_3_6_1_leaf,VER_M Gap_3_leaf,Eucalyptus verrucata,2007-08-31T14:00:00Z,M Gap,MGAP,142.4581,-37.4228,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,2.212261721,42.94,1.941,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,
VER_M Gap_3_7_1_leaf,VER_M Gap_3_leaf,Eucalyptus verrucata,2007-08-31T14:00:00Z,M Gap,MGAP,142.4581,-37.4228,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,2.501948558,32.1,1.283,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,
VER_M Gap_NA_1_2_leaf,NA,Eucalyptus verrucata,2007-08-31T14:00:00Z,M Gap,MGAP,142.4581,-37.4228,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,2.109354414,16.01,0.759,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,
VER_M Gap_NA_2_2_leaf,NA,Eucalyptus verrucata,2007-08-31T14:00:00Z,M Gap,MGAP,142.4581,-37.4228,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,2.386352941,50.71,2.125,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,
VER_M Gap_NA_1_3_leaf,NA,Eucalyptus verrucata,2007-08-31T14:00:00Z,M Gap,MGAP,142.4581,-37.4228,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,2.978625954,19.51,0.655,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,
VER_M Gap_NA_2_3_leaf,NA,Eucalyptus verrucata,2007-08-31T14:00:00Z,M Gap,MGAP,142.4581,-37.4228,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,2.722713864,18.46,0.678,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,
VER_M Gap_NA_3_2_leaf,NA,Eucalyptus verrucata,2007-08-31T14:00:00Z,M Gap,MGAP,142.4581,-37.4228,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,2.740362812,48.34,1.764,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,
VER_M Gap_NA_8_1_leaf,NA,Eucalyptus verrucata,2007-08-31T14:00:00Z,M Gap,MGAP,142.4581,-37.4228,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,2.333859926,44.32,1.899,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,
VER_M Gap_NA_9_1_leaf,NA,Eucalyptus verrucata,2007-08-31T14:00:00Z,M Gap,MGAP,142.4581,-37.4228,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,2.258745476,37.45,1.658,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,
VER_M Gap_NA_10_1_leaf,NA,Eucalyptus verrucata,2007-08-31T14:00:00Z,M Gap,MGAP,142.4581,-37.4228,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,3.879943503,54.94,1.416,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,
OBL_M Gappost fire_1_1_1_leaf,OBL_M Gappost fire_1_leaf,Eucalyptus obliqua,2007-08-31T14:00:00Z,M Gappost fire,M Gappost fire,142.4448611,-37.26125,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,4.013175231,60.92,1.518,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,generic Grampians lat/lon
OBL_M Gappost fire_1_2_1_leaf,OBL_M Gappost fire_1_leaf,Eucalyptus obliqua,2007-08-31T14:00:00Z,M Gappost fire,M Gappost fire,142.4448611,-37.26125,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,5.335784314,21.77,0.408,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,generic Grampians lat/lon
OBL_M Gappost fire_1_3_1_leaf,OBL_M Gappost fire_1_leaf,Eucalyptus obliqua,2007-08-31T14:00:00Z,M Gappost fire,M Gappost fire,142.4448611,-37.26125,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,4.914354644,40.74,0.829,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,generic Grampians lat/lon
OBL_M Gappost fire_2_4_1_leaf,OBL_M Gappost fire_2_leaf,Eucalyptus obliqua,2007-08-31T14:00:00Z,M Gappost fire,M Gappost fire,142.4448611,-37.26125,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,3.878962536,53.84,1.388,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,generic Grampians lat/lon
OBL_M Gappost fire_2_5_1_leaf,OBL_M Gappost fire_2_leaf,Eucalyptus obliqua,2007-08-31T14:00:00Z,M Gappost fire,M Gappost fire,142.4448611,-37.26125,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,3.792219275,42.89,1.131,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,generic Grampians lat/lon
OBL_M Gappost fire_2_6_1_leaf,OBL_M Gappost fire_2_leaf,Eucalyptus obliqua,2007-08-31T14:00:00Z,M Gappost fire,M Gappost fire,142.4448611,-37.26125,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,4.419548872,29.39,0.665,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,generic Grampians lat/lon
OBL_M Gappost fire_3_7_1_leaf,OBL_M Gappost fire_3_leaf,Eucalyptus obliqua,2007-08-31T14:00:00Z,M Gappost fire,M Gappost fire,142.4448611,-37.26125,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,3.70718232,33.55,0.905,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,generic Grampians lat/lon
OBL_M Gappost fire_3_8_1_leaf,OBL_M Gappost fire_3_leaf,Eucalyptus obliqua,2007-08-31T14:00:00Z,M Gappost fire,M Gappost fire,142.4448611,-37.26125,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,3.782542113,24.7,0.653,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,generic Grampians lat/lon
OBL_M Gappost fire_3_9_1_leaf,OBL_M Gappost fire_3_leaf,Eucalyptus obliqua,2007-08-31T14:00:00Z,M Gappost fire,M Gappost fire,142.4448611,-37.26125,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,4.076320939,20.83,0.511,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,generic Grampians lat/lon
OBL_M Gappost fire_4_10_1_leaf,OBL_M Gappost fire_4_leaf,Eucalyptus obliqua,2007-08-31T14:00:00Z,M Gappost fire,M Gappost fire,142.4448611,-37.26125,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,4.4101069,45.38,1.029,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,generic Grampians lat/lon
OBL_M Gappost fire_4_11_1_leaf,OBL_M Gappost fire_4_leaf,Eucalyptus obliqua,2007-08-31T14:00:00Z,M Gappost fire,M Gappost fire,142.4448611,-37.26125,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,3.941375423,34.96,0.887,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,generic Grampians lat/lon
ALA_Reeds lookout_1_1_1_leaf,ALA_Reeds lookout_1_leaf,Eucalyptus alaticaulis,2007-08-31T14:00:00Z,Reeds lookout,Reeds lookout,142.447647,-37.148007,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,3.72705314,46.29,1.242,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,
ALA_Reeds lookout_1_2_1_leaf,ALA_Reeds lookout_1_leaf,Eucalyptus alaticaulis,2007-08-31T14:00:00Z,Reeds lookout,Reeds lookout,142.447647,-37.148007,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,3.384042553,31.81,0.94,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,
ALA_Reeds lookout_1_3_1_leaf,ALA_Reeds lookout_1_leaf,Eucalyptus alaticaulis,2007-08-31T14:00:00Z,Reeds lookout,Reeds lookout,142.447647,-37.148007,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,3.522633745,25.68,0.729,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,
ALA_Reeds lookout_2_1_1_leaf,ALA_Reeds lookout_2_leaf,Eucalyptus alaticaulis,2007-08-31T14:00:00Z,Reeds lookout,Reeds lookout,142.447647,-37.148007,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,2.821581197,26.41,0.936,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,
ALA_Reeds lookout_2_2_1_leaf,ALA_Reeds lookout_2_leaf,Eucalyptus alaticaulis,2007-08-31T14:00:00Z,Reeds lookout,Reeds lookout,142.447647,-37.148007,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,2.886977887,23.5,0.814,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,
ALA_Reeds lookout_2_3_1_leaf,ALA_Reeds lookout_2_leaf,Eucalyptus alaticaulis,2007-08-31T14:00:00Z,Reeds lookout,Reeds lookout,142.447647,-37.148007,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,2.980327869,18.18,0.61,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,
ALA_Reeds lookout_3_1_1_leaf,ALA_Reeds lookout_3_leaf,Eucalyptus alaticaulis,2007-08-31T14:00:00Z,Reeds lookout,Reeds lookout,142.447647,-37.148007,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,3.628409091,31.93,0.88,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,
ALA_Reeds lookout_3_2_1_leaf,ALA_Reeds lookout_3_leaf,Eucalyptus alaticaulis,2007-08-31T14:00:00Z,Reeds lookout,Reeds lookout,142.447647,-37.148007,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,3.628099174,30.73,0.847,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,
ALA_Reeds lookout_3_3_1_leaf,ALA_Reeds lookout_3_leaf,Eucalyptus alaticaulis,2007-08-31T14:00:00Z,Reeds lookout,Reeds lookout,142.447647,-37.148007,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,3.752631579,28.52,0.76,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,
ALA_Reeds lookout_4_1_1_leaf,ALA_Reeds lookout_4_leaf,Eucalyptus alaticaulis,2007-08-31T14:00:00Z,Reeds lookout,Reeds lookout,142.447647,-37.148007,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,4.182692308,43.5,1.04,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,
ALA_Reeds lookout_4_2_1_leaf,ALA_Reeds lookout_4_leaf,Eucalyptus alaticaulis,2007-08-31T14:00:00Z,Reeds lookout,Reeds lookout,142.447647,-37.148007,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,4.400175131,50.25,1.142,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,
ALA_Reeds lookout_4_3_1_leaf,ALA_Reeds lookout_4_leaf,Eucalyptus alaticaulis,2007-08-31T14:00:00Z,Reeds lookout,Reeds lookout,142.447647,-37.148007,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,4.428037383,47.38,1.07,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,
ALA_Reeds lookout_5_1_1_leaf,ALA_Reeds lookout_5_leaf,Eucalyptus alaticaulis,2007-08-31T14:00:00Z,Reeds lookout,Reeds lookout,142.447647,-37.148007,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,3.26028921,29.31,0.899,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,
ALA_Reeds lookout_5_2_1_leaf,ALA_Reeds lookout_5_leaf,Eucalyptus alaticaulis,2007-08-31T14:00:00Z,Reeds lookout,Reeds lookout,142.447647,-37.148007,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,3.138863841,34.81,1.109,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,
ALA_Reeds lookout_5_3_1_leaf,ALA_Reeds lookout_5_leaf,Eucalyptus alaticaulis,2007-08-31T14:00:00Z,Reeds lookout,Reeds lookout,142.447647,-37.148007,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,3.557459677,35.29,0.992,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,
ALA_Reeds lookout_6_1_1_leaf,ALA_Reeds lookout_6_leaf,Eucalyptus alaticaulis,2007-08-31T14:00:00Z,Reeds lookout,Reeds lookout,142.447647,-37.148007,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,4.44375,14.22,0.32,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,
ALA_Reeds lookout_6_2_1_leaf,ALA_Reeds lookout_6_leaf,Eucalyptus alaticaulis,2007-08-31T14:00:00Z,Reeds lookout,Reeds lookout,142.447647,-37.148007,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,4.19941349,28.64,0.682,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,
ALA_Reeds lookout_6_3_1_leaf,ALA_Reeds lookout_6_leaf,Eucalyptus alaticaulis,2007-08-31T14:00:00Z,Reeds lookout,Reeds lookout,142.447647,-37.148007,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,4.313109426,39.81,0.923,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,
OVA_Glenelg RR_1_1_1_leaf,OVA_Glenelg RR_1_leaf,Eucalyptus ovata var. ovata,2007-08-31T14:00:00Z,Glenelg RR,GGLE1,142.4398,-37.1515,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,3.56984127,22.49,0.63,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,
OVA_Glenelg RR_1_2_1_leaf,OVA_Glenelg RR_1_leaf,Eucalyptus ovata var. ovata,2007-08-31T14:00:00Z,Glenelg RR,GGLE1,142.4398,-37.1515,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,3.792682927,27.99,0.738,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,
OVA_Glenelg RR_1_3_1_leaf,OVA_Glenelg RR_1_leaf,Eucalyptus ovata var. ovata,2007-08-31T14:00:00Z,Glenelg RR,GGLE1,142.4398,-37.1515,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,3.537037037,30.56,0.864,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,
OVA_Glenelg RR_2_1_1_leaf,OVA_Glenelg RR_2_leaf,Eucalyptus ovata var. ovata,2007-08-31T14:00:00Z,Glenelg RR,GGLE1,142.4398,-37.1515,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,4.075740944,37.13,0.911,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,
OVA_Glenelg RR_2_2_1_leaf,OVA_Glenelg RR_2_leaf,Eucalyptus ovata var. ovata,2007-08-31T14:00:00Z,Glenelg RR,GGLE1,142.4398,-37.1515,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,4.256701031,41.29,0.97,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,
OVA_Glenelg RR_2_3_1_leaf,OVA_Glenelg RR_2_leaf,Eucalyptus ovata var. ovata,2007-08-31T14:00:00Z,Glenelg RR,GGLE1,142.4398,-37.1515,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,4.631467793,43.86,0.947,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,
OVA_Glenelg RR_3_1_1_leaf,OVA_Glenelg RR_3_leaf,Eucalyptus ovata var. ovata,2007-08-31T14:00:00Z,Glenelg RR,GGLE1,142.4398,-37.1515,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,4.220391349,40.98,0.971,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,
OVA_Glenelg RR_3_2_1_leaf,OVA_Glenelg RR_3_leaf,Eucalyptus ovata var. ovata,2007-08-31T14:00:00Z,Glenelg RR,GGLE1,142.4398,-37.1515,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,3.964735516,31.48,0.794,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,
OVA_Glenelg RR_3_3_1_leaf,OVA_Glenelg RR_3_leaf,Eucalyptus ovata var. ovata,2007-08-31T14:00:00Z,Glenelg RR,GGLE1,142.4398,-37.1515,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,3.542241379,41.09,1.16,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,
