locality_consistent,site corrected,longitude corrected,latitude corrected,time corrected,,longitude (deg),latitude (deg),elevation (m),notes,date_time,collector,
GWOND1,,,,,,142.5147,-37.1606,697,,2008-03-03T06:33:17Z,L.J. Pollock,
GWOND2,,,,,,142.5138,-37.1609,690,,2008-03-03T07:31:23Z,L.J. Pollock,
GWOND3,,,,,,142.5135,-37.1613,676,,2008-03-03T07:36:42Z,L.J. Pollock,
GWOND4,,,,,,142.5121,-37.1633,686,,2008-03-03T08:09:27Z,L.J. Pollock,
GZER1,,,,,,142.3688,-36.8855,393,,2008-07-08T00:36:46Z,L.J. Pollock,
GZER10,,,,,,142.373,-36.8872,272,,2008-07-08T03:09:30Z,L.J. Pollock,
GZER11,,,,,,142.3734,-36.8883,262,,2008-07-08T03:27:25Z,L.J. Pollock,
GZER12,,,,,,142.3729,-36.8892,254,,2008-07-08T03:41:17Z,L.J. Pollock,
GZER2,,,,,,142.369,-36.8852,380,,2008-07-08T01:01:24Z,L.J. Pollock,
GZER3,,,,,,142.3695,-36.8846,372,,2008-07-08T01:21:10Z,L.J. Pollock,
GZER4,,,,,,142.3701,-36.8845,353,,2008-07-08T01:38:20Z,L.J. Pollock,
GZER5,,,,,,142.3708,-36.8847,338,,2008-07-08T01:52:14Z,L.J. Pollock,
GZER6,,,,,,142.3716,-36.8848,317,,2008-07-08T02:04:38Z,L.J. Pollock,
GZER7,,,,,,142.3722,-36.8852,319,,2008-07-08T02:28:40Z,L.J. Pollock,
GZER8,,,,,,142.3726,-36.8858,302,,2008-07-08T02:40:50Z,L.J. Pollock,
GZER9,,,,,,142.3731,-36.8864,298,,2008-07-08T02:57:54Z,L.J. Pollock,
HAM1,GHAM1,142.5012,-37.2737,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,2008-03-31T13:00:00Z,L.J. Pollock,
HAM3,GHAM3,142.5001,-37.2738,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,2008-03-31T13:00:00Z,L.J. Pollock,
HAM5,GHAM5,142.498,-37.2739,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,2008-03-31T13:00:00Z,L.J. Pollock,
HEN1,GHEN1,142.4833,-37.3001,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,NA,L.J. Pollock,
HEN7,GHEN7,142.4931,-37.2802,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,2008-03-31T13:00:00Z,L.J. Pollock,
HG,HGAP,142.544549,-37.189412,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,NA,L.J. Pollock,
HGAP,HGAP,142.54455,-37.189413,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,NA,L.J. Pollock,
Highway up from rubidas,HGAP,142.544551,-37.189414,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,NA,L.J. Pollock,
HOR,GHOR1,142.4607,-37.2531,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,NA,L.J. Pollock,
HUM,GHUM1,142.3772,-37.3102,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,2008-06-30T14:00:00Z,L.J. Pollock,
HUM1,GHUM1,142.3772,-37.3102,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,2008-06-30T14:00:00Z,L.J. Pollock,
HUM10,GHUM10,142.3724,-37.3087,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,NA,L.J. Pollock,
HUM2,GHUM2,142.3766,-37.31,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,2008-07-31T14:00:00Z,L.J. Pollock,
HUM5,GHUM5,142.375,-37.3096,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,2008-06-30T14:00:00Z,L.J. Pollock,
HUM6,GHUM6,142.375,-37.3096,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,2008-06-30T14:00:00Z,L.J. Pollock,
humvaly,GHUM10,142.3724,-37.3087,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,2009-03-31T13:00:00Z,L.J. Pollock,
La... Gh..n,LaGhn,142.426446,-36.917014, ,,142.4448611,-37.26125,NA,generic Grampians lat/lon,2007-08-31T14:00:00Z,L.J. Pollock,
LAKE,,142.547808,-37.212438,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,NA,L.J. Pollock,
Lake1,,142.547808,-37.212438,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,2007-11-30T13:00:00Z,L.J. Pollock,
Lake2,,142.547808,-37.212438,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,2007-11-30T13:00:00Z,L.J. Pollock,
Lake3,,142.547808,-37.212438,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,2007-11-30T13:00:00Z,L.J. Pollock,
Lake4,,142.547808,-37.212438,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,2007-11-30T13:00:00Z,L.J. Pollock,
Lake5,,142.547808,-37.212438,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,2007-11-30T13:00:00Z,L.J. Pollock,
LANG stop2,,142.521443,-37.316286,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,NA,L.J. Pollock,
LBS1,GLSB1,142.4164,-37.2045,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,NA,L.J. Pollock,
LSB1,GLSB1,142.4164,-37.2045,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,2008-07-31T14:00:00Z,L.J. Pollock,
M GapIntermediate,,,,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,2007-08-31T14:00:00Z,L.J. Pollock,
M Gappost fire,,,,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,2007-08-31T14:00:00Z,L.J. Pollock,
MainRD,,,,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,2007-11-30T13:00:00Z,L.J. Pollock,
mature,,,,,, Glenelg RR,142.4448611,-37.26125,NA,generic Grampians lat/lon,2007-08-31T14:00:00Z,L.J. Pollock
MGAP,,142.4581,-37.4228,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,2007-08-31T14:00:00Z,L.J. Pollock,
MGAP B,,142.4581,-37.4228,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,NA,L.J. Pollock,
MGAP T1,,142.4581,-37.4228,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,NA,L.J. Pollock,
MGAPbottom,,142.4581,-37.4228,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,NA,L.J. Pollock,
MGN1,,,,,,142.459,-37.4224,549,,2007-12-05T01:58:26Z,L.J. Pollock,
MGN1 SM,MGN1,142.459,-37.4224,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,NA,L.J. Pollock,
MGN12,,142.4574,-37.4269,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,NA,L.J. Pollock,
MGN2,,,,,,142.4587,-37.4224,536,,2007-12-05T02:21:54Z,L.J. Pollock,
MGN3,,,,,,142.4581,-37.4228,505,,2007-12-05T03:04:01Z,L.J. Pollock,
MGN4,,,,,,142.4578,-37.4236,486,,2007-12-05T03:46:54Z,L.J. Pollock,
MGN5,,,,,,142.4577,-37.4244,438,,2007-12-05T04:25:09Z,L.J. Pollock,
MGN5 SM,MGN5,142.4577,-37.4244,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,NA,L.J. Pollock,
MGS1,,,,,,142.4574,-37.4269,484,,2007-12-04T03:08:06Z,L.J. Pollock,
MGS2,,,,,,142.4584,-37.4259,443,,2007-12-04T21:10:12Z,L.J. Pollock,
MGS3,,,,,,142.4574,-37.4621,450,,NA,L.J. Pollock,
MGS4,,,,,,142.4577,-37.4263,470,,2007-12-04T22:39:51Z,L.J. Pollock,
MGS5,,,,,,142.4574,-37.4269,475,,NA,L.J. Pollock,
MNT1,GMNT1,142.5191,-37.3285,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,2008-03-31T13:00:00Z,L.J. Pollock,
MOR1,GMOR1,142.4145,-37.1846,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,2008-03-31T13:00:00Z,L.J. Pollock,
MOR3,GMOR3,142.414,-37.1835,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,2008-03-31T13:00:00Z,L.J. Pollock,
MT Abrupt Stop 2,MTA2,142.3564,-37.5925,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,NA,L.J. Pollock,
MT DIF,,142.435565,-37.017898,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,NA,L.J. Pollock,
MT HOL,,142.381343,-36.887848,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,2008-03-31T13:00:00Z,L.J. Pollock,
MT HOL1,,142.381343,-36.887848,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,2008-03-31T13:00:00Z,L.J. Pollock,
MT HOL2,,142.381343,-36.887848,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,2008-03-31T13:00:00Z,L.J. Pollock,
MT HOL3,,142.381343,-36.887848,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,2008-03-31T13:00:00Z,L.J. Pollock,
MT HOL4,,142.381343,-36.887848,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,2008-03-31T13:00:00Z,L.J. Pollock,
MT HOL5,,142.381343,-36.887848,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,2008-03-31T13:00:00Z,L.J. Pollock,
MT LUB,,142.511743,-37.269657,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,NA,L.J. Pollock,
MT LUB summit,,142.511743,-37.269657,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,NA,L.J. Pollock,
MT THACK,,142.3295,-37.2916,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,NA,L.J. Pollock,
MT WIL,GMTW1,142.5984,-37.3086,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,NA,L.J. Pollock,
MT ZERO,,142.370096,-36.885586,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,2007-08-31T14:00:00Z,L.J. Pollock,
MT ZERO Trip 1,,142.370096,-36.885586,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,NA,L.J. Pollock,
MT_TH1,,142.3295,-37.2916,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,2007-11-30T13:00:00Z,L.J. Pollock,
MT_TH2,,142.3295,-37.2916,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,2007-11-30T13:00:00Z,L.J. Pollock,
MT_TH3,,142.3295,-37.2916,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,2007-11-30T13:00:00Z,L.J. Pollock,
MTA1,,,,,,142.3565,-37.5926,706,,2007-12-09T23:14:40Z,L.J. Pollock,
MTA2,,,,,,142.3564,-37.5925,705,,2007-12-09T23:42:04Z,L.J. Pollock,
MTA3,,,,,,142.3565,-37.5923,703,,2007-12-10T00:18:41Z,L.J. Pollock,
MTA4,,,,,,142.3565,-37.5923,700,,2007-12-10T00:54:17Z,L.J. Pollock,
MTABRUPT,MTA1,142.3565,-37.5926,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,NA,L.J. Pollock,
MTL1,,,,,,142.515423,-37.258482,899,,2007-12-10T23:07:31Z,L.J. Pollock,
MtLub_Stop2,,142.511743,-37.269657,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,2007-11-30T13:00:00Z,L.J. Pollock,
N of LANG,,142.521443,-37.316286,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,NA,L.J. Pollock,
NA,,,,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,2007-08-31T14:00:00Z,L.J. Pollock,
Phillip's Island Tk,,,,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,NA,L.J. Pollock,
PIN_0.5,,142.514331,-37.160098,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,2007-11-30T13:00:00Z,L.J. Pollock,
Q1,,,,,,142.44925,-37.42537,567,,2009-03-18T01:13:39Z,L.J. Pollock,
Q10,,,,,,142.4,-37.47222,306,,2009-03-18T02:41:06Z,L.J. Pollock,
Q11,,,,,,142.39085,-37.47837,284,,2009-03-18T02:48:02Z,L.J. Pollock,
Q12,,,,,,142.3858,-37.47935,248,,2009-03-18T02:52:39Z,L.J. Pollock,
Q13,,142.3858,-37.47935,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,NA,L.J. Pollock,
Q2,,,,,,142.43985,-37.42483,368,,2009-03-18T01:16:50Z,L.J. Pollock,
Q3,,,,,,142.42605,-37.42813,271,,2009-03-18T01:26:12Z,L.J. Pollock,
Q4,,,,,,142.42545,-37.43055,267,,2009-03-18T01:31:16Z,L.J. Pollock,
Q5,,,,,,142.42523,-37.4378,308,,2009-03-18T01:37:27Z,L.J. Pollock,
Q6,,,,,,142.42518,-37.44115,339,,2009-03-18T01:43:12Z,L.J. Pollock,
Q7,,,,,,142.42393,-37.44278,335,,2009-03-18T01:47:43Z,L.J. Pollock,
Q8,,,,,,142.42203,-37.44583,320,,2009-03-18T02:05:23Z,L.J. Pollock,
Q9,,,,,,142.42147,-37.44802,334,,2009-03-18T02:25:38Z,L.J. Pollock,
Reeds lookout,,142.447647,-37.148007,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,2007-08-31T14:00:00Z,L.J. Pollock,
Roc1,GROC1,142.4855,-37.014,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,2008-06-30T14:00:00Z,L.J. Pollock,
ROS,ROS1,142.5065,-37.197,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,NA,L.J. Pollock,
ROS1,,,,,,142.5065,-37.197,1004,,2009-03-16T04:17:15Z,L.J. Pollock,
ROS10,,,,,,142.4895,-37.1851,704,,2009-03-16T07:16:20Z,L.J. Pollock,
ROS2,,,,,,142.5045,-37.1956,966,,2009-03-16T04:54:05Z,L.J. Pollock,
ROS3,,,,,,142.5037,-37.1934,932,,2009-03-16T05:11:28Z,L.J. Pollock,
ROS5,,,,,,142.5038,-37.1925,925,,2009-03-16T05:27:05Z,L.J. Pollock,
ROS8,,,,,,142.4981,-37.1882,818,,2009-03-16T06:11:51Z,L.J. Pollock,
Rosea Ldg,,142.518972,-37.148174,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,NA,L.J. Pollock,
S25,,,,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,NA,L.J. Pollock,
site 21,,142.481762,-37.417372,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,2007-08-31T14:00:00Z,L.J. Pollock,
site 22,,142.481762,-37.417372,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,2007-08-31T14:00:00Z,L.J. Pollock,
site 23,,142.481762,-37.417372,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,2007-08-31T14:00:00Z,L.J. Pollock,
site 24,,142.481762,-37.417372,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,2007-08-31T14:00:00Z,L.J. Pollock,
site 25,,142.481762,-37.417372,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,2007-08-31T14:00:00Z,L.J. Pollock,
site 26,,142.481762,-37.417372,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,2007-08-31T14:00:00Z,L.J. Pollock,
site 27,,142.481762,-37.417372,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,2007-08-31T14:00:00Z,L.J. Pollock,
site 28,,142.481762,-37.417372,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,2007-08-31T14:00:00Z,L.J. Pollock,
Site M,,,,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,NA,L.J. Pollock,
STAP1,,,,,,142.3032,-37.3083,NA,,NA,L.J. Pollock,
STAP10,,,,,,142.3853,-36.8991,402,,2008-12-12T02:29:28Z,L.J. Pollock,
STAP11,,,,,,142.3854,-36.8976,347,,2008-12-12T02:44:29Z,L.J. Pollock,
STAP12,,,,,,142.3837,-36.8953,293,,2008-12-12T03:19:38Z,L.J. Pollock,
STAP13,,,,,,142.3837,-36.8953,NA,,NA,L.J. Pollock,
STAP14,,,,,,142.3837,-36.8953,NA,,NA,L.J. Pollock,
STAP15,,,,,,142.3827,-36.8946,300,,2008-12-12T04:01:53Z,L.J. Pollock,
STAP2,,,,,,142.3883,-36.8983,NA,,2008-12-12T00:10:38Z,L.J. Pollock,
STAP3,,,,,,142.388,-36.8988,NA,,2008-12-12T00:30:41Z,L.J. Pollock,
STAP4,,,,,,142.388,-36.8996,457,,2008-12-12T00:57:51Z,L.J. Pollock,
STAP5,,,,,,142.3872,-36.9001,457,,2008-12-12T01:05:20Z,L.J. Pollock,
STAP6,,,,,,142.3872,-36.9001,NA,,NA,L.J. Pollock,
STAP7,,,,,,142.3863,-36.9007,434,,2008-12-12T01:51:53Z,L.J. Pollock,
STAP8,,,,,,142.3862,-36.9,432,,2008-12-12T02:03:22Z,L.J. Pollock,
STAP9,,,,,,142.3855,-36.8998,414,,2008-12-12T02:14:43Z,L.J. Pollock,
STOP1,,,,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,NA,L.J. Pollock,
STOP11,,,,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,NA,L.J. Pollock,
STOP20,,,,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,NA,L.J. Pollock,
STOP3,,,,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,NA,L.J. Pollock,
T1,,,,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,NA,L.J. Pollock,
TBGecotone,,,,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,NA,L.J. Pollock,
TBGN1,,,,,,142.4965,-37.3557,524,,2007-12-05T23:01:32Z,L.J. Pollock,
TBGN2,,,,,,142.4965,-37.3559,512,,2007-12-05T23:35:03Z,L.J. Pollock,
TBGN3,,,,,,142.4959,-37.3564,479,,2007-12-06T00:19:22Z,L.J. Pollock,
TBGN4,,,,,,142.4958,-37.3567,476,,2007-12-06T00:51:56Z,L.J. Pollock,
TBGS1,,,,,,142.4958,-37.3567,530,,2007-12-06T02:29:43Z,L.J. Pollock,
TBGS2,,,,,,142.4942,-37.3589,506,,2007-12-06T02:52:21Z,L.J. Pollock,
TBGS3,,,,,,142.4947,-37.3575,468,,2007-12-06T03:17:28Z,L.J. Pollock,
THAK,,142.3295,-37.2916,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,NA,L.J. Pollock,
THAK1,,142.3295,-37.2916,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,2008-07-31T14:00:00Z,L.J. Pollock,
THAK2,,,,,,142.3295,-37.2916,916,,2008-12-09T23:20:42Z,L.J. Pollock,
THAK3,,,,,,142.3296,-37.2914,912,,2008-12-09T23:37:02Z,L.J. Pollock,
THAK4,,,,,,142.3297,-37.291,903,,2008-12-09T23:52:26Z,L.J. Pollock,
THAK5,,,,,,142.3295,-37.2911,892,,2008-12-10T00:07:37Z,L.J. Pollock,
THAK6,,,,,,142.3295,-37.2911,NA,,NA,L.J. Pollock,
THAK7,,,,,,142.3295,-37.2911,NA,,NA,L.J. Pollock,
THAK8,,,,,,142.3336,-37.2938,944,,2008-12-10T01:00:32Z,L.J. Pollock,
TOP,,,,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,2009-03-31T13:00:00Z,L.J. Pollock,
TOWER2,,,,,,142.478,-37.2005,664,,2009-02-22T22:50:44Z,L.J. Pollock,
TOWERHL,,,,,,142.4739,-37.1999,711,,2009-02-22T22:12:25Z,L.J. Pollock,
Trip1,,,,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,NA,L.J. Pollock,
VIC RANGE,,,,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,NA,L.J. Pollock,
VICA,GVICA,142.344792,-37.276878,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,2008-07-31T14:00:00Z,L.J. Pollock,
VICB,GVICA,142.344792,-37.276878,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,2008-07-31T14:00:00Z,L.J. Pollock,
VV,,142.4223,-37.2581,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,2007-08-31T14:00:00Z,L.J. Pollock,
VV1,,142.4223,-37.2581,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,NA,L.J. Pollock,
VVG3,,,,,,142.4223,-37.2581,230,,2008-05-07T00:19:36Z,L.J. Pollock,
VVG4,,,,,,142.4211,-37.2586,228,,2008-05-07T00:35:44Z,L.J. Pollock,
VVrd,,142.4211,-37.2586,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,2009-03-31T13:00:00Z,L.J. Pollock,
WIL2,GMTW1,142.5984,-37.3086,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,NA,L.J. Pollock,
WOND,GWOND1,142.5147,-37.1606,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,NA,L.J. Pollock,
WOND 0.5,GWOND1,142.5147,-37.1606,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,NA,L.J. Pollock,
WOND_S3 top of tree,GWOND1,142.5147,-37.1606,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,2007-11-30T13:00:00Z,L.J. Pollock,
WONDpinnacle,GWOND1,142.5147,-37.1606,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,NA,L.J. Pollock,
X2,,,,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,NA,L.J. Pollock,
xr,,,,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,NA,L.J. Pollock,
Z1,,,,,,142.4419,-37.1446,638,,2009-02-25T02:03:46Z,L.J. Pollock,
Z10,,,,,,142.4737,-37.3468,283,,2009-02-25T22:53:29Z,L.J. Pollock,
Z11,,,,,,142.4715,-37.3421,283,,2009-02-25T23:25:27Z,L.J. Pollock,
Z12,,,,,,142.453,-37.3201,258,,2009-02-25T23:52:56Z,L.J. Pollock,
Z13,,,,,,142.45,-37.3178,258,,2009-02-25T23:57:36Z,L.J. Pollock,
Z15,,,,,,142.4269,-37.2731,235,,2009-02-26T00:51:42Z,L.J. Pollock,
Z17,,,,,,142.4594,-37.2638,237,,2009-02-26T01:43:54Z,L.J. Pollock,
Z18,,,,,,142.4557,-37.2588,236,,2009-02-26T01:53:44Z,L.J. Pollock,
Z19,,,,,,142.4559,-37.2498,244,,2009-02-26T02:07:11Z,L.J. Pollock,
Z2,,,,,,142.4156,-37.1119,648,,2009-02-25T02:19:16Z,L.J. Pollock,
Z20,,,,,,142.4507,-37.2414,237,,2009-02-26T02:23:44Z,L.J. Pollock,
Z20a,,,,,,142.4507,-37.2414,237,,2009-02-26T02:22:47Z,L.J. Pollock,
Z21,,,,,,142.4304,-37.2138,232,,2009-02-26T02:40:53Z,L.J. Pollock,
Z22,,,,,,142.3731,-37.1826,234,,2009-02-26T03:12:09Z,L.J. Pollock,
Z23,,,,,,142.3661,-37.1832,230,,2009-02-26T03:19:47Z,L.J. Pollock,
Z24,,,,,,142.3457,-37.1948,222,,2009-02-26T03:27:03Z,L.J. Pollock,
Z25,,,,,,142.3398,-37.1733,226,,2009-02-26T03:37:45Z,L.J. Pollock,
Z26,,,,,,142.3433,-37.1714,229,,2009-02-26T03:39:44Z,L.J. Pollock,
Z27,,,,,,142.3517,-37.1706,234,,2009-02-26T03:41:42Z,L.J. Pollock,
Z28,,,,,,142.3609,-37.1748,237,,2009-02-26T03:43:43Z,L.J. Pollock,
Z29,,,,,,142.3683,-37.1783,235,,2009-02-26T03:45:52Z,L.J. Pollock,
Z3,,,,,,142.4166,-37.1265,462,,2009-02-25T02:41:13Z,L.J. Pollock,
Z30,,,,,,142.5086,-37.3735,331,,2009-02-26T22:25:44Z,L.J. Pollock,
Z31,,,,,,142.5164,-37.3726,331,,2009-02-26T22:39:11Z,L.J. Pollock,
Z32,,,,,,142.5282,-37.3729,343,,2009-02-26T23:00:47Z,L.J. Pollock,
Z33,,,,,,142.5472,-37.3802,363,,2009-02-26T23:05:32Z,L.J. Pollock,
Z34,,,,,,142.5731,-37.3644,541,,2009-02-26T23:25:07Z,L.J. Pollock,
Z35,,,,,,142.6009,-37.3576,599,,2009-02-27T00:39:22Z,L.J. Pollock,
Z36,,,,,,142.6048,-37.3578,601,,2009-02-27T00:41:53Z,L.J. Pollock,
Z37,,,,,,142.6084,-37.3578,580,,2009-02-27T00:44:42Z,L.J. Pollock,
Z38,,,,,,142.6086,-37.3528,495,,2009-02-27T00:48:44Z,L.J. Pollock,
Z39,,,,,,142.6295,-37.3457,430,,2009-02-27T01:02:21Z,L.J. Pollock,
Z4,,,,,,142.3666,-37.1275,378,,2009-02-25T03:11:40Z,L.J. Pollock,
Z40,,,,,,142.6335,-37.346,331,,2009-02-27T01:07:16Z,L.J. Pollock,
Z41,,,,,,142.6451,-37.34,327,,2009-02-27T01:10:25Z,L.J. Pollock,
Z5,,,,,,142.3819,-37.1524,257,,2009-02-25T03:33:50Z,L.J. Pollock,
Z5a,,,,,,142.3819,-37.1524,250,,NA,L.J. Pollock,
Z6,,,,,,142.3869,-37.1545,259,,2009-02-25T04:59:12Z,L.J. Pollock,
Z7,,,,,,142.3895,-37.1575,258,,2009-02-25T05:22:17Z,L.J. Pollock,
Z9,,,,,,142.4183,-37.1737,264,,2009-02-25T06:10:39Z,L.J. Pollock,
ZER6,,142.370096,-36.885586,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,2008-07-31T14:00:00Z,L.J. Pollock,
ZERO,,142.370096,-36.885586,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,NA,L.J. Pollock,
ZERO10,,142.370096,-36.885586,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,NA,L.J. Pollock,
ZEROT1,,142.370096,-36.885586,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,NA,L.J. Pollock,
