sample,tree,taxon,date_time,locality,locality_edited,longitude_gda94_edited,latitude_gda94_edited,collector,longitude_gda94,latitude_gda94,altitude_m,height_m,stem_density_g_per_ml,stem_mass_g,stem_volume_ml,bark_mass_g,sla_mm2_per_mg,leaf_area_cm2,leaf_mass_g,fruit_mass_mg,fruit_wall_width_mm,fruit_diameter_mm,fruit_height_mm,seed_mass_mg,seed_mass_total_mg,number_of_seeds,leaf_notes,seed_notes
SER_ROS2_1_height,SER_ROS2_1_height,Eucalyptus serraensis,2009-03-16T04:54:05Z,ROS2,ROS2,142.5045,-37.1956,L.J. Pollock,142.5045,-37.1956,966,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SER_ROS3_1_height,SER_ROS3_1_height,Eucalyptus serraensis,2009-03-16T05:11:28Z,ROS3,ROS3,142.5037,-37.1934,L.J. Pollock,142.5037,-37.1934,932,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SER_ROS5_1_height,SER_ROS5_1_height,Eucalyptus serraensis,2009-03-16T05:27:05Z,ROS5,ROS5,142.5038,-37.1925,L.J. Pollock,142.5038,-37.1925,925,12.13222021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SER_ROS8_1_height,SER_ROS8_1_height,Eucalyptus serraensis,2009-03-16T06:11:51Z,ROS8,ROS8,142.4981,-37.1882,L.J. Pollock,142.4981,-37.1882,818,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAX_ROS10_1_height,BAX_ROS10_1_height,Eucalyptus baxteri,2009-03-16T07:16:20Z,ROS10,ROS10,142.4895,-37.1851,L.J. Pollock,142.4895,-37.1851,704,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAX_A1_1_height,BAX_A1_1_height,Eucalyptus baxteri,2008-12-08T23:32:19Z,A1,A1,142.3598,-37.5901,L.J. Pollock,142.3598,-37.5901,126,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAX_A2_1_height,BAX_A2_1_height,Eucalyptus baxteri,2008-12-08T23:48:08Z,A2,A2,142.3599,-37.5903,L.J. Pollock,142.3599,-37.5903,451,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAX_A3_1_height,BAX_A3_1_height,Eucalyptus baxteri,2008-12-09T00:01:47Z,A3,A3,142.3595,-37.5897,L.J. Pollock,142.3595,-37.5897,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAX_A4_1_height,BAX_A4_1_height,Eucalyptus baxteri,2008-12-09T00:20:13Z,A4,A4,142.3592,-37.5888,L.J. Pollock,142.3592,-37.5888,0,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAX_A5_1_height,BAX_A5_1_height,Eucalyptus baxteri,2008-12-09T00:26:29Z,A5,A5,142.3592,-37.5888,L.J. Pollock,142.3592,-37.5888,0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAX_B1_1_height,BAX_B1_1_height,Eucalyptus baxteri,NA,B1,B1,142.3592,-37.5888,L.J. Pollock,142.3592,-37.5888,0,8.591790298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAX_B2_1_height,BAX_B2_1_height,Eucalyptus baxteri,2008-12-09T01:21:55Z,B2,B2,142.3651,-37.5668,L.J. Pollock,142.3651,-37.5668,403,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAX_B3_1_height,BAX_B3_1_height,Eucalyptus baxteri,2008-12-09T01:25:51Z,B3,B3,142.3643,-37.5666,L.J. Pollock,142.3643,-37.5666,398,5.645515056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAX_B4_1_height,BAX_B4_1_height,Eucalyptus baxteri,2008-12-09T01:32:21Z,B4,B4,142.3624,-37.566,L.J. Pollock,142.3624,-37.566,376,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAX_B5_1_height,BAX_B5_1_height,Eucalyptus baxteri,2008-12-09T01:37:19Z,B5,B5,142.3604,-37.5656,L.J. Pollock,142.3604,-37.5656,345,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAX_C1_1_height,BAX_C1_1_height,Eucalyptus baxteri,2008-12-09T02:08:56Z,C1,C1,142.415,-37.5009,L.J. Pollock,142.415,-37.5009,273,3.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAX_C2_1_height,BAX_C2_1_height,Eucalyptus baxteri,2008-12-09T02:17:47Z,C2,C2,142.4134,-37.5009,L.J. Pollock,142.4134,-37.5009,278,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAX_C3_1_height,BAX_C3_1_height,Eucalyptus baxteri,2008-12-09T02:21:50Z,C3,C3,142.4121,-37.5009,L.J. Pollock,142.4121,-37.5009,274,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAX_C4_1_height,BAX_C4_1_height,Eucalyptus baxteri,2008-12-09T02:27:51Z,C4,C4,142.4109,-37.5005,L.J. Pollock,142.4109,-37.5005,277,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAX_C5_1_height,BAX_C5_1_height,Eucalyptus baxteri,2008-12-09T02:34:19Z,C5,C5,142.4092,-37.4999,L.J. Pollock,142.4092,-37.4999,283,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VER_D1_1_height,VER_D1_1_height,Eucalyptus verrucata,2008-12-09T03:01:52Z,D1,D1,142.46,-37.4277,L.J. Pollock,142.46,-37.4277,412,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAX_D2_1_height,BAX_D2_1_height,Eucalyptus baxteri,2008-12-09T03:10:29Z,D2,D2,142.4605,-37.4321,L.J. Pollock,142.4605,-37.4321,413,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAX_D3_1_height,BAX_D3_1_height,Eucalyptus baxteri,2008-12-09T03:18:24Z,D3,D3,142.4592,-37.4331,L.J. Pollock,142.4592,-37.4331,336,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WIL_D3-5_1_height,WIL_D3-5_1_height,Eucalyptus falciformis,2008-12-09T03:36:18Z,D3-5,D3-5,142.4593,-37.4361,L.J. Pollock,142.4593,-37.4361,311,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WIL_D4_1_height,WIL_D4_1_height,Eucalyptus falciformis,NA,D4,D4,142.4593,-37.4361,L.J. Pollock,142.4593,-37.4361,0,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WIL_D5_1_height,WIL_D5_1_height,Eucalyptus falciformis,NA,D5,D5,142.4593,-37.4361,L.J. Pollock,142.4593,-37.4361,0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VER_E1_1_height,VER_E1_1_height,Eucalyptus verrucata,2008-12-09T05:23:42Z,E1,E1,142.4966,-37.3555,L.J. Pollock,142.4966,-37.3555,523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VER_E2_1_height,VER_E2_1_height,Eucalyptus verrucata,2008-12-09T05:33:06Z,E2,E2,142.4965,-37.3556,L.J. Pollock,142.4965,-37.3556,540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VER_E3_1_height,VER_E3_1_height,Eucalyptus verrucata,2008-12-09T05:37:42Z,E3,E3,142.4964,-37.3558,L.J. Pollock,142.4964,-37.3558,522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VER_E4_1_height,VER_E4_1_height,Eucalyptus verrucata,2008-12-09T05:44:07Z,E4,E4,142.4965,-37.3559,L.J. Pollock,142.4965,-37.3559,517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAX_E5_1_height,BAX_E5_1_height,Eucalyptus baxteri,2008-12-09T05:51:09Z,E5,E5,142.4964,-37.356,L.J. Pollock,142.4964,-37.356,504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAX_E63_1_height,BAX_E63_1_height,Eucalyptus baxteri,2008-12-09T05:56:12Z,E63,E63,142.496,-37.3564,L.J. Pollock,142.496,-37.3564,499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAX_E7_1_height,BAX_E7_1_height,Eucalyptus baxteri,2008-12-09T05:59:18Z,E7,E7,142.4957,-37.3569,L.J. Pollock,142.4957,-37.3569,482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAX_E8_1_height,BAX_E8_1_height,Eucalyptus baxteri,2008-12-09T06:02:27Z,E8,E8,142.4952,-37.3573,L.J. Pollock,142.4952,-37.3573,461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAX_F1_1_height,BAX_F1_1_height,Eucalyptus baxteri,2008-12-09T06:19:03Z,F1,F1,142.488,-37.3389,L.J. Pollock,142.488,-37.3389,450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAX_F2_1_height,BAX_F2_1_height,Eucalyptus baxteri,2008-12-09T06:24:35Z,F2,F2,142.4877,-37.3393,L.J. Pollock,142.4877,-37.3393,338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAX_F3_1_height,BAX_F3_1_height,Eucalyptus baxteri,2008-12-09T06:28:03Z,F3,F3,142.4877,-37.34,L.J. Pollock,142.4877,-37.34,337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAX_F4_1_height,BAX_F4_1_height,Eucalyptus baxteri,2008-12-09T06:30:30Z,F4,F4,142.4873,-37.3405,L.J. Pollock,142.4873,-37.3405,324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAX_F5_1_height,BAX_F5_1_height,Eucalyptus baxteri,2008-12-09T06:32:58Z,F5,F5,142.4871,-37.3412,L.J. Pollock,142.4871,-37.3412,328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAX_G1_1_height,BAX_G1_1_height,Eucalyptus baxteri,2008-12-09T06:46:17Z,G1,G1,142.4871,-37.3412,L.J. Pollock,142.4871,-37.3412,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAX_G2_1_height,BAX_G2_1_height,Eucalyptus baxteri,2008-12-09T06:48:25Z,G2,G2,142.4793,-37.3196,L.J. Pollock,142.4793,-37.3196,287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAX_G3_1_height,BAX_G3_1_height,Eucalyptus baxteri,2008-12-09T06:50:23Z,G3,G3,142.4794,-37.3202,L.J. Pollock,142.4794,-37.3202,290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAX_G4_1_height,BAX_G4_1_height,Eucalyptus baxteri,2008-12-09T06:51:43Z,G4,G4,142.4795,-37.3208,L.J. Pollock,142.4795,-37.3208,291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAX_G5_1_height,BAX_G5_1_height,Eucalyptus baxteri,2008-12-09T06:53:56Z,G5,G5,142.479,-37.3213,L.J. Pollock,142.479,-37.3213,288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAX_H1_1_height,BAX_H1_1_height,Eucalyptus baxteri,2008-12-09T07:08:06Z,H1,H1,142.4791,-37.319,L.J. Pollock,142.4791,-37.319,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAX_H2_1_height,BAX_H2_1_height,Eucalyptus baxteri,2008-12-09T07:10:09Z,H2,H2,142.4827,-37.3001,L.J. Pollock,142.4827,-37.3001,331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAX_H3_1_height,BAX_H3_1_height,Eucalyptus baxteri,2008-12-09T07:11:52Z,H3,H3,142.4835,-37.297,L.J. Pollock,142.4835,-37.297,331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAX_H4_1_height,BAX_H4_1_height,Eucalyptus baxteri,2008-12-09T07:13:37Z,H4,H4,142.4836,-37.2964,L.J. Pollock,142.4836,-37.2964,324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAX_H5_1_height,BAX_H5_1_height,Eucalyptus baxteri,2008-12-09T07:15:01Z,H5,H5,142.484,-37.2948,L.J. Pollock,142.484,-37.2948,324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAX_I1_1_height,BAX_I1_1_height,Eucalyptus baxteri,2008-12-09T07:38:54Z,I1,I1,142.4759,-37.2469,L.J. Pollock,142.4759,-37.2469,310,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAX_I2_1_height,BAX_I2_1_height,Eucalyptus baxteri,2008-12-09T07:40:34Z,I2,I2,142.475,-37.2457,L.J. Pollock,142.475,-37.2457,306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAX_I3_1_height,BAX_I3_1_height,Eucalyptus baxteri,2008-12-09T07:42:23Z,I3,I3,142.474,-37.2444,L.J. Pollock,142.474,-37.2444,306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAX_I4_1_height,BAX_I4_1_height,Eucalyptus baxteri,NA,I4,I4,142.474,-37.2444,L.J. Pollock,142.474,-37.2444,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAX_I5_1_height,BAX_I5_1_height,Eucalyptus baxteri,NA,I5,I5,142.474,-37.2444,L.J. Pollock,142.474,-37.2444,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAX_J1_1_height,BAX_J1_1_height,Eucalyptus baxteri,2008-12-09T08:13:14Z,J1,J1,142.4209,-37.1919,L.J. Pollock,142.4209,-37.1919,298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAX_J2_1_height,BAX_J2_1_height,Eucalyptus baxteri,NA,J2,J2,142.4209,-37.1919,L.J. Pollock,142.4209,-37.1919,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAX_J3_1_height,BAX_J3_1_height,Eucalyptus baxteri,2008-12-09T08:16:19Z,J3,J3,142.4207,-37.1921,L.J. Pollock,142.4207,-37.1921,304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAX_J4_1_height,BAX_J4_1_height,Eucalyptus baxteri,2008-12-09T08:18:38Z,J4,J4,142.4213,-37.193,L.J. Pollock,142.4213,-37.193,311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAX_J5_1_height,BAX_J5_1_height,Eucalyptus baxteri,2008-12-09T08:23:22Z,J5,J5,142.4209,-37.1933,L.J. Pollock,142.4209,-37.1933,306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAX_K1_1_height,BAX_K1_1_height,Eucalyptus baxteri,2008-12-09T08:46:27Z,K1,K1,142.4456,-37.1515,L.J. Pollock,142.4456,-37.1515,431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAX_K2_1_height,BAX_K2_1_height,Eucalyptus baxteri,NA,K2,K2,142.4456,-37.1515,L.J. Pollock,142.4456,-37.1515,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAX_K3_1_height,BAX_K3_1_height,Eucalyptus baxteri,2008-12-09T08:50:07Z,K3,K3,142.4468,-37.1518,L.J. Pollock,142.4468,-37.1518,438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAX_K4_1_height,BAX_K4_1_height,Eucalyptus baxteri,NA,K4,K4,142.4468,-37.1518,L.J. Pollock,142.4468,-37.1518,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAX_K5_1_height,BAX_K5_1_height,Eucalyptus baxteri,NA,K5,K5,142.4468,-37.1518,L.J. Pollock,142.4468,-37.1518,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAX_L1_1_height,BAX_L1_1_height,Eucalyptus baxteri,2008-12-09T21:55:43Z,L1,L1,142.3458,-37.2428,L.J. Pollock,142.3458,-37.2428,573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SER_BARK1_1_height,SER_BARK1_1_height,Eucalyptus serraensis,2008-12-10T21:41:28Z,BARK1,BARK1,142.5051,-37.1524,L.J. Pollock,142.5051,-37.1524,485,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SER_BARK2_1_height,SER_BARK2_1_height,Eucalyptus serraensis,2008-12-10T21:55:40Z,BARK2,BARK2,142.5064,-37.1531,L.J. Pollock,142.5064,-37.1531,498,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SER_BARK3_1_height,SER_BARK3_1_height,Eucalyptus serraensis,NA,BARK3,BARK3,142.5064,-37.1531,L.J. Pollock,142.5064,-37.1531,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SER_BARK4_1_height,SER_BARK4_1_height,Eucalyptus serraensis,2008-12-10T22:17:56Z,BARK4,BARK4,142.5045,-37.1517,L.J. Pollock,142.5045,-37.1517,486,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAM_DC1_1_height,CAM_DC1_1_height,Eucalyptus camaldulensis subsp. camaldulensis,2008-12-11T00:13:40Z,DC1,DC1,142.4113,-37.1779,L.J. Pollock,142.4113,-37.1779,251,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAX_N1_1_height,BAX_N1_1_height,Eucalyptus baxteri,2008-12-11T01:11:22Z,N1,N1,142.4409,-37.3032,L.J. Pollock,142.4409,-37.3032,258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAX_N2_1_height,BAX_N2_1_height,Eucalyptus baxteri,2008-12-11T01:27:08Z,N2,N2,142.4686,-37.332,L.J. Pollock,142.4686,-37.332,268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAB_DC2_1_height,SAB_DC2_1_height,Eucalyptus sabulosa,2008-12-11T01:33:37Z,DC2,DC2,142.4531,-37.3203,L.J. Pollock,142.4531,-37.3203,270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OBL_DC3_1_height,OBL_DC3_1_height,Eucalyptus obliqua,2008-12-11T01:51:03Z,DC3,DC3,142.4351,-37.2942,L.J. Pollock,142.4351,-37.2942,271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MEL_DC4_1_height,MEL_DC4_1_height,Eucalyptus melliodora,2008-12-11T02:11:49Z,DC4,DC4,142.4167,-37.2827,L.J. Pollock,142.4167,-37.2827,246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OBL_DC5_1_height,OBL_DC5_1_height,Eucalyptus obliqua,2008-12-11T02:19:10Z,DC5,DC5,142.4016,-37.2888,L.J. Pollock,142.4016,-37.2888,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAB_DC6_1_height,SAB_DC6_1_height,Eucalyptus sabulosa,2008-12-11T03:22:00Z,DC6,DC6,142.4269,-37.2731,L.J. Pollock,142.4269,-37.2731,229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAM_DC7_1_height,CAM_DC7_1_height,Eucalyptus camaldulensis subsp. camaldulensis,2008-12-11T03:49:59Z,DC7,DC7,142.4371,-37.277,L.J. Pollock,142.4371,-37.277,230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WIL_DC8_1_height,WIL_DC8_1_height,Eucalyptus falciformis,2008-12-11T05:21:26Z,DC8,DC8,142.4497,-37.237,L.J. Pollock,142.4497,-37.237,230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VIMcyg_DC9_1_height,VIMcyg_DC9_1_height,Eucalyptus viminalis subsp. cygnetensis,2008-12-11T05:56:08Z,DC9,DC9,142.4183,-37.1893,L.J. Pollock,142.4183,-37.1893,251,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VIMcyg_DC10_1_height,VIMcyg_DC10_1_height,Eucalyptus viminalis subsp. cygnetensis,2008-12-11T06:09:20Z,DC10,DC10,142.3943,-37.1769,L.J. Pollock,142.3943,-37.1769,252,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAX_O1_1_height,BAX_O1_1_height,Eucalyptus baxteri,2008-12-11T06:41:10Z,O1,O1,142.4794,-37.177,L.J. Pollock,142.4794,-37.177,686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ALA_DC11_1_height,ALA_DC11_1_height,Eucalyptus alaticaulis,2008-12-11T07:06:05Z,DC11,DC11,142.5085,-37.1835,L.J. Pollock,142.5085,-37.1835,514,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAX_P1_1_height,BAX_P1_1_height,Eucalyptus baxteri,2008-12-12T23:54:02Z,P1,P1,142.5533,-37.2593,L.J. Pollock,142.5533,-37.2593,345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SER_ROS1_1_height,SER_ROS1_1_height,Eucalyptus serraensis,2009-03-16T04:17:15Z,ROS1,ROS1,142.5065,-37.197,L.J. Pollock,142.5065,-37.197,1004,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SER_ROS4_1_height,SER_ROS4_1_height,Eucalyptus serraensis,2009-03-16T05:20:21Z,ROS4,ROS4,142.504,-37.1931,L.J. Pollock,142.504,-37.1931,925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SER_ROS6_1_height,SER_ROS6_1_height,Eucalyptus serraensis,2009-03-16T05:48:13Z,ROS6,ROS6,142.503,-37.1908,L.J. Pollock,142.503,-37.1908,930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SER_ROS7_1_height,SER_ROS7_1_height,Eucalyptus serraensis,2009-03-16T06:02:34Z,ROS7,ROS7,142.5,-37.1887,L.J. Pollock,142.5,-37.1887,852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAX_ROS9_1_height,BAX_ROS9_1_height,Eucalyptus baxteri,2009-03-16T07:03:36Z,ROS9,ROS9,142.4917,-37.186,L.J. Pollock,142.4917,-37.186,747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAX_ROS10_2_height,BAX_ROS10_2_height,Eucalyptus baxteri,2009-03-16T07:16:11Z,ROS10,ROS10,142.4895,-37.1851,L.J. Pollock,142.4895,-37.1851,701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARE_BLK1_1_height,ARE_BLK1_1_height,Eucalyptus arenacea,2009-03-17T02:00:00Z,BLK1,BLK1,142.4895,-37.1851,L.J. Pollock,142.4895,-37.1851,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARE_BLK5_1_height,ARE_BLK5_1_height,Eucalyptus arenacea,2009-03-17T02:50:00Z,BLK5,BLK5,142.4895,-37.1851,L.J. Pollock,142.4895,-37.1851,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARE_BLK6_1_height,ARE_BLK6_1_height,Eucalyptus arenacea,2009-03-17T03:15:00Z,BLK6,BLK6,142.4895,-37.1851,L.J. Pollock,142.4895,-37.1851,0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARE_BLK7_1_height,ARE_BLK7_1_height,Eucalyptus arenacea,NA,BLK7,BLK7,142.4895,-37.1851,L.J. Pollock,142.4895,-37.1851,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARE_BLK8_1_height,ARE_BLK8_1_height,Eucalyptus arenacea,NA,BLK8,BLK8,142.4895,-37.1851,L.J. Pollock,142.4895,-37.1851,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARE_BLK9_1_height,ARE_BLK9_1_height,Eucalyptus arenacea,NA,BLK9,BLK9,142.4895,-37.1851,L.J. Pollock,142.4895,-37.1851,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARE_BLK10_1_height,ARE_BLK10_1_height,Eucalyptus arenacea,NA,BLK10,BLK10,142.4895,-37.1851,L.J. Pollock,142.4895,-37.1851,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARE_BLK11_1_height,ARE_BLK11_1_height,Eucalyptus arenacea,NA,BLK11,BLK11,142.4895,-37.1851,L.J. Pollock,142.4895,-37.1851,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
