taxon_name,ParGenTax,ParTribeTax,ParSubfamTax,ParFamTax,ParOrdTax,ParCladeTax,reference,url,pollination,wind_water_animal_pollination,wind_pollination_explicitly_tested,pollination_text,pollination_data_source,syndrome_or_system,confidence_score,pollination_reward,nectar,scent,pollination_reward_text,pollination_reward_data_source,rank_scored_at,entered_by,entry_date
Lonicera japonica,Lonicera,NA,Caprifolioideae,Caprifoliaceae,Dipsacales,Campanulidae,"Miyake, T., & Yahara, T. (1998). Why does the flower of Lonicera japonica open at dusk? Canadian Journal of Botany, 76(10), 1806–1811. https://doi.org/10.1139/b98-119",http://cdnsciencepub.com/doi/abs/10.1139/b98-119,bee and moth,animal,no,"""We investigated contributions of diurnal pollinators and a nocturnal pollinator to pollen transfer in Lonicera japonica (Caprifoliaceae), whose flowers have traits typical of the hawkmoth-pollination syndrome. Diurnal bees, Tetralonia nipponensis and Lasioglossum sp., delivered more pollen grains than the nocturnal hawkmoth Theretra japonica per visit, suggesting that these bees were also effective pollinators...The hawkmoth-pollination syndrome is characterized by long-tubed, white or pale, sweetly scented flowers which open at dusk and have ample thin nectar (van der Pijl 1961; Wyatt 1983; Knudsen and Tollsten 1993)...The flowers of Lonicera ja- ponica have traits typical of hawkmoth-pollinated flowers and flowering over 2 days. During daytime, bees visit them to collect pollen and (or) nectar.""",explicit from the text (described as such),system,"5 - Pollination system but wind pollination not explicitly tested for, pollination rewards clear, pollination efficiency of different pollinators not explicitly tested but pollinators observed transporting pollen and effecting pollination",nectar and pollen,yes,yes,"""The hawkmoth-pollination syndrome is characterized by long-tubed, white or pale, sweetly scented flowers which open at dusk and have ample thin nectar...The flowers of Lonicera japonica have traits typical of hawkmoth-pollinated flowers and flowering over 2 days. During daytime, bees visit them to collect pollen and (or) nectar.""",explicit from the text (described as such),species,Ruby Stephens,7/4/2022
Diervilla sessilifolia,Diervilla,NA,Diervilloideae,Caprifoliaceae,Dipsacales,Campanulidae,iNaturalist. (2022). Diervilla sessilifolia. iNaturalist. https://www.inaturalist.org/taxa/161898-Diervilla-sessilifolia/browse_photos?term_id=12&term_value_id=13,https://www.inaturalist.org/taxa/161898-Diervilla-sessilifolia/browse_photos?term_id=12&term_value_id=13,insect,animal,no,,seen explicitly on the illustration,system,4 - Pollination system based on general observations of pollinator visitation and informed by syndrome,,,,,,species,Ruby Stephens,7/4/2022
Triplostegia glandulifera,Triplostegia,NA,Dipsacoideae,Caprifoliaceae,Dipsacales,Campanulidae,Kew Science. (2022). Triplostegia glandulifera Wall. ex DC. Plants of the World Online. https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:320460-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:320460-1,insect,animal,no,,guessed from the illustration,syndrome,"2 - Pollination syndrome based on interpretations of images or illustrations and text, and similar species, still relatively confident",,,,,,species,Ruby Stephens,7/4/2022
Dipelta yunnanensis,Dipelta,NA,Linnaeoideae,Caprifoliaceae,Dipsacales,Campanulidae,Kew Science. (2022). Dipelta yunnanensis Franch. Plants of the World Online. https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:148499-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:148499-1,insect,animal,no,"""Flowers single, peduncle to 20 mm long, thin and with a pair of narrow lanceolate bracts towards the middle Flowers fragrant, white to pink...Stamens 4, didynamous, inserted in lower third of the corolla tube and nearly as long as the corolla tube...Corolla lobes erect to spreading, 5 – 10 mm long Base of corolla tube saccate and containing the nectary, bulge inserted and protruding in between the abaxial sepals Corolla bilabiate, tube gradually expanding to the campanulate corolla mouth, 20 – 30 mm long; lower lip hirsute bearded with reticulate orange-yellow markings""",interpreted from the text,syndrome,"3 - Pollination syndrome but adaptations for animal pollination (nectar, scent, staminodes, sticky pollen) or else wind pollination (very reduced perianth, feathery stigma, exposed anthers with dry powdery pollen) or abiotic pollination clearly described",,,yes,"""Flowers fragrant""",explicit from the text (described as such),species,Ruby Stephens,7/4/2022
Morina longifolia,Morina,NA,Morinoideae,Caprifoliaceae,Dipsacales,Campanulidae,"Hofmann, U., & Bittrich, V. (2016). Morinaceae. In J. W. Kadereit & V. Bittrich (Eds.), Flowering Plants. Eudicots: Aquifoliales, Boraginales, Bruniales, Dipsacales, Escalloniales, Garryales, Paracryphiales, Solanales (except Convolvulaceae), Icacinaceae, Metteniusaceae, Vahliaceae (pp. 275–280). Springer International Publishing. https://doi.org/10.1007/978-3-319-28534-4_25",https://doi.org/10.1007/978-3-319-28534-4_25,moth,animal,no,"""The conspicuous abaxial nectary at the base of the corolla tube (normally abaxially gibbous here) is 3-lobed in Morina longifolia, contains xylem and phloem, and is densely covered with the nectar- secreting trichomes characteristic for the Dipsacales (Wagenitz and Laing 1984)....The showy white or pink to red, rarely yellow flowers of Acanthocalyx and Morina with a long, narrow corolla tube seem to be adapted to pollinators with a long tongue. The flowers of Morina longifolia open in the evening and are first white and may be visited by moths (Kerner 1898). They become red later.""",explicit from the text (described as such),syndrome,"3 - Pollination syndrome but adaptations for animal pollination (nectar, scent, staminodes, sticky pollen) or else wind pollination (very reduced perianth, feathery stigma, exposed anthers with dry powdery pollen) or abiotic pollination clearly described",nectar,yes,,"""The conspicuous abaxial nectary at the base of the corolla tube (normally abaxially gibbous here) is 3-lobed in Morina longifolia, contains xylem and phloem, and is densely covered with the nectar- secreting trichomes characteristic for the Dipsacales (Wagenitz and Laing 1984)""",interpreted from the text,species,Ruby Stephens,7/4/2022
Zabelia tyaihyonii,Zabelia,NA,NA,Caprifoliaceae,Dipsacales,Campanulidae,iNaturalist. (2022). Zabelia tyaihyoni. iNaturalist. https://www.inaturalist.org/taxa/928198-Zabelia-tyaihyoni,https://www.inaturalist.org/taxa/928198-Zabelia-tyaihyoni,insect,animal,no,"""Zabelia tyaihyonii, synonym Abelia mosanensis, known as the fragrant abelia, is a species of deciduous shrub in the honeysuckle family Caprifoliaceae. Growing up to 2 meters high and wide, it is hardier than many related species, surviving temperatures as low as −20 °C (−4 °F). The tubular blooms are pinkish-white and highly scented""",interpreted from the text,syndrome,"2 - Pollination syndrome based on interpretations of images or illustrations and text, and similar species, still relatively confident",,,yes,"""Zabelia tyaihyonii, synonym Abelia mosanensis, known as the fragrant abelia, is a species of deciduous shrub in the honeysuckle family Caprifoliaceae. Growing up to 2 meters high and wide, it is hardier than many related species, surviving temperatures as low as −20 °C (−4 °F). The tubular blooms are pinkish-white and highly scented""",explicit from the text (described as such),species,Ruby Stephens,7/4/2022
Valeriana officinalis,Valeriana,NA,Valerianoideae,Caprifoliaceae,Dipsacales,Campanulidae,"TRY- BiolFlor, The Ecological Flora Database",,insect,animal,no,"""bees, bumble bees, wasps, bombylides, syrphids…insects the rule…insect""",explicit from the text (described as such),syndrome,"2 - Pollination syndrome based on interpretations of images or illustrations and text, and similar species, still relatively confident",,,,,,species,Ruby Stephens,28/1/2022
Eremosyne pectinata,Eremosyne,NA,NA,Escalloniaceae,Escalloniales,Campanulidae,"Conran, J. G., & Macfarlane, T. D. (2016). Eremosynaceae. In J. W. Kadereit & V. Bittrich (Eds.), Flowering Plants. Eudicots: Aquifoliales, Boraginales, Bruniales, Dipsacales, Escalloniales, Garryales, Paracryphiales, Solanales (except Convolvulaceae), Icacinaceae, Metteniusaceae, Vahliaceae (pp. 179–183). Springer International Publishing. https://doi.org/10.1007/978-3-319-28534-4_13",https://doi.org/10.1007/978-3-319-28534-4_13,insect,animal,no,"""The flowers are visited by small bees (Halictidae and Anthophoridae), flies (Syrphidae, Bombyliidae, Muscidae) and beetles (Chrysomelidae: Hispinae and Curculionidae). The bees were seen collecting pollen actively, whereas the other visitors were in situ pollen feeders (Conran, unpubl. obs.).""",explicit from the text (described as such),system,"5 - Pollination system but wind pollination not explicitly tested for, pollination rewards clear, pollination efficiency of different pollinators not explicitly tested but pollinators observed transporting pollen and effecting pollination",pollen,,,"""The flowers are visited by small bees (Halictidae and Anthophoridae), flies (Syr- phidae, Bombyliidae, Muscidae) and beetles (Chrysomelidae: Hispinae and Curculionidae). The bees were seen collecting pollen actively, whereas the other visitors were in situ pollen feeders (Conran, unpubl. obs.).""",explicit from the text (described as such),species,Ruby Stephens,7/4/2022
Escallonia rubra,Escallonia,NA,NA,Escalloniaceae,Escalloniales,Campanulidae,"Aizen, M. A., & Rovere, A. E. (2010). Reproductive interactions mediated by flowering overlap in a temperate hummingbird–plant assemblage. Oikos, 119(4), 696–706. https://doi.org/10.1111/j.1600-0706.2009.17762.x",http://onlinelibrary.wiley.com/doi/abs/10.1111/j.1600-0706.2009.17762.x,bird,animal,no,"""Seven ornithophilous species, all woody, occur in the study area...the shrub Escallonia rubra (Escalloniaceae)...highly dependent on animal pollination for full seed set (Riveros 1991, Riveros et al. 1996, Rovere et al. 2006)highly dependent on animal pollination for full seed set (Riveros 1991, Riveros et al. 1996, Rovere et al. 2006). All seven species have tubular red or reddish corollas, typical of hummingbird-pollinated species. The southern-most hum- mingbird in the world, Sephanoides sephaniodes, is the main flower visitor and presumably their most effective pollinator, although insects also visit some of these species (Riveros 1991, Aizen et al. 2002). This hummingbird transports pollen of all the sampled species (Riveros 1991, Ruffini 1992, Smith-Ramírez 1993, Aizen et al. 2002), and mixed pollen loads are commonly found on a hummingbird ́s beak and head (Ruffini 1992, Fraga et al. 1997).""",explicit from the text (described as such),system,4 - Pollination system based on general observations of pollinator visitation and informed by syndrome,,,,,,species,Ruby Stephens,7/4/2022
Paracryphia alticola,Paracryphia,NA,NA,Paracryphiaceae,Paracryphiales,Campanulidae,"Dickison, W. C., & Lundberg, J. (2016). Paracryphiaceae. In J. W. Kadereit & V. Bittrich (Eds.), Flowering Plants. Eudicots: Aquifoliales, Boraginales, Bruniales, Dipsacales, Escalloniales, Garryales, Paracryphiales, Solanales (except Convolvulaceae), Icacinaceae, Metteniusaceae, Vahliaceae (pp. 281–285). Springer International Publishing. https://doi.org/10.1007/978-3-319-28534-4_26",https://doi.org/10.1007/978-3-319-28534-4_26,animal,animal,no,"""Flowers in axillary or terminal racemes or compound spikes, bisexual or unisexual (plants andromonoecious); perianth...with undifferentiated perianth of 4 caducous, decussate, concave, free, imbricate segments (Paracryphia); stamens...ca. 8 (Paracryphia) in a single whorl...The inflorescences of Paracryphia are basically paniculate, with the sessile flowers forming a terminal compound spike...In Paracryphia, both bisexual and male flowers occur in the same inflorescence, and the staminate flowers completely lack a gynoecium...Paracryphia has sometimes been described as having no perianth but a series of bracts and bracteoles subtending the androecium and gynoecium (Airy Shaw 1965). Other authors refer to the presence of imbricate, caducous perianth segments (Baker 1921; Bausch 1938; Dickison and Baas 1977).""",interpreted from the text,syndrome,"1 - Pollination syndrome based on interpretations of images or illustrations and text, and similar species, least confident",,,,,,species,Ruby Stephens,7/4/2022
Quintinia verdonii,Quintinia,NA,NA,Paracryphiaceae,Paracryphiales,Campanulidae,iNaturalist. (2022). Quintinia verdonii. iNaturalist. https://www.inaturalist.org/taxa/534014-Quintinia-verdonii/browse_photos?term_id=12&term_value_id=13,https://www.inaturalist.org/taxa/534014-Quintinia-verdonii/browse_photos?term_id=12&term_value_id=13,animal,animal,no,,guessed from the illustration,syndrome,"2 - Pollination syndrome based on interpretations of images or illustrations and text, and similar species, still relatively confident",,,,,,species,Ruby Stephens,7/4/2022
Elaeis guineensis,Elaeis,Cocoseae,Arecoideae,Arecaceae,Arecales,Commelinidae,"Tandon, R., Manohara, T. N., Nijalingappa, B. H. M., & Shivanna, K. R. (2001). Pollination and Pollen-pistil Interaction in Oil Palm, Elaeis guineensis. Annals of Botany, 87(6), 831–838. https://doi.org/10.1006/anbo.2001.1421",https://www.sciencedirect.com/science/article/pii/S0305736401914210,wind and insect,wind&animal,yes,"""Pollination is mediated by weevils as well as by the wind. Under natural conditions the pollination efficiency was 100%...To study pollen density in the air, glycerine-coated slides (N 􏰗 78) were exposed for 24 h on female inflorescences. An area in the plantation was selected in which a palm in the male phase was surrounded by rows of palms in the female phase...Temporal details of weevils visiting female flowers were recorded by continuous observations. The number of weevils visiting freshly opened bunches of female flowers was recorded from 0600 to 1800 h on 2 d...The movement of pollen in the air was limited to a distance of about 30 m from the pollen source...The three divergent stigmatic lobes and extensive papillate region on each lobe provide a large receptive area for the receipt of airborne pollen grains...Oil palm is anemophyllous as well as entomophyllous, although the latter is more prevalent and effective.""",explicit from the text (described as such),system,"6 - Pollination system, wind pollination explicitly tested for, pollination rewards clear, pollination efficiency of different pollinators tested",pollen,,yes,"""Pollen grains contain starch and constitute the major food source of weevils, which inhabit the male inflorescences in large numbers (2000±3000 per inflorescence) during the pollen shedding stage. The weevils actively forage in the region of freshly opened male  flowers in each spikelet. They do not visit the older parts of the male spikelets which have no pollen remaining...the intense fennel-like fragrance...freshly opened female flowers also emit a similar fennel-like fragrance""",explicit from the text (described as such),species,Ruby Stephens,24/1/2022
Iriartea deltoidea,Iriartea,Iriarteeae,Arecoideae,Arecaceae,Arecales,Commelinidae,"Knudsen, J. T., Tollsten, L., & Ervik, F. (2001). Flower Scent and Pollination in Selected Neotropical Palms. Plant Biology, 3(6), 642–653. https://doi.org/10.1055/s-2001-19366",http://onlinelibrary.wiley.com/doi/abs/10.1055/s-2001-19366,insect,animal,no,"[Table 3 shows I. del visited by Trigona sp., Appendix 3 shows rare visits by Diptera]",interpreted from the text,system,4 - Pollination system based on general observations of pollinator visitation and informed by syndrome,pollen,no,yes,"""Pollen is the only apparent reward in all species, but Prestoea schultzeana also secretes nectar...The inflorescences of all species emitted considerable amounts of scent chemicals...Linalool, having a characterisitc flowery odour, was typical of Prestoea schultzeana and Iriartea deltoidea""",,species,Ruby Stephens,24/1/2022
Calamus aruensis,Calamus,Calameae,Calamoideae,Arecaceae,Arecales,Commelinidae,"Zich, F. A., Hyland, B. P. M., Whiffin, T., & Kerrigan, R. A. (2020). Australian Tropical Rainforest Plants, Edition 8. https://apps.lucidcentral.org/rainforest/",https://apps.lucidcentral.org/rainforest/text/entities/calamus_aruensis.htm,insect,animal,no,"""Inflorescence to 2.7 m long, branched. Staminate flowers 2-3.2 x 1-1.5 mm in bud, opening to 2-4 mm wide; sepals 1-1.2 mm long, 0.8-1 mm wide, basally connate, lobes triangular, light green, glabrous; petals 1.8-2 mm x 0.9-1 mm, light green; stamens 1.8-2 mm long, anthers; pistillode present. Pistillate flowers 2-2.7 x 1-1.2 mm, green glabrous. Sterile staminate flowers also present.""",guessed from the illustration,syndrome,"1 - Pollination syndrome based on interpretations of images or illustrations and text, and similar species, least confident",,,,,,species,Ruby Stephens,25/1/2022
Eugeissona tristis,Eugeissona,Lepidocaryeae 1,Calamoideae,Arecaceae,Arecales,Commelinidae,"Wiens, F., Zitzmann, A., Lachance, M.-A., Yegles, M., Pragst, F., Wurst, F. M., Holst, D. von, Guan, S. L., & Spanagel, R. (2008). Chronic intake of fermented floral nectar by wild treeshrews. Proceedings of the National Academy of Sciences, 105(30), 10426–10431. https://doi.org/10.1073/pnas.0801628105",http://www.pnas.org/content/105/30/10426,small mammal and insect,animal,no,"""We found that the openly available nectar attracts a vast array of different animal species, mainly insects and tree-climbing mammals weighing <1 kg...To be effective pollinators, mammals have to transport pollen grains that stick to their body from one flower to the receptive female structures (stigmas) of another. Consistent with this requirement, we recorded mammals during the period when stigmas are receptive (see SI Text). Selective exclusion of animals the size of a 20-g mouse and larger from inflorescences during that period resulted in a statistically significant decline of 50% in fruit set (P 􏰇 0.048; one-tailed Wilcoxon test). Although visited by insects, the floral display of the palm does not resemble any insect flower syndrome. Instead, the bertam palm has sturdy structures, broad accessibility of floral rewards, and copious strong-smelling nectar in common with the plant species that have been found to be visited by nonflying mammals (20).""",explicit from the text (described as such),system,"5 - Pollination system but wind pollination not explicitly tested for, pollination rewards clear, pollination efficiency of different pollinators not explicitly tested but pollinators observed transporting pollen and effecting pollination",nectar and pollen,yes,yes,"""During visits, mammals move up and down an inflorescence and lick off available nectar or pollen...copious strong-smelling nectar""",explicit from the text (described as such),species,Ruby Stephens,25/1/2022
Ceroxylon quindiuense,Ceroxylon,Ceroxyleae,Ceroxyloideae,Arecaceae,Arecales,Commelinidae,"Kirejtshuk, G. A., & Couturier, G. (2009). Species of Mystropini (Coleoptera, Nitidulidae) Associated with Inflorescence of Palm Ceroxylon quindiuense (KARST.) H. WENDL. (Arecaceae) from Peru. Japanese Journal of Systematic Entomology, 15(1), 57–77.",https://www.semanticscholar.org/paper/Species-of-Mystropini-(Coleoptera%2C-Nitidulidae)-of-Kirejtshuk-Couturier/416490aee299db571a034a08f9a96a06d36c7283,beetle,animal,no,"""The paper presents an overview of species of the genus Mystrops MURRAY, 1864 collected on male inflorescence of the palm Ceroxylon quindiuense (KARST.) H. WENDL. (Arecaceae) in the Andes of Peru...The rather important pollinators of palms from the tribe Mystropini have long been unnamed...In many species of Neotropical palms, inflorescences attract a high number of different insects (HENDERSON, 1986). However, among them the most part is represented by beetles from the families Curculionidae and Nitidulidae. Once floral bractlets are opened (usually at the end of the afternoon), anthesis begins and thousands of adult insects are attracted by flower smell. The composition of species and groups of weevils and sap beetles varies in accordance with genus and species of palms. The insects have been collected in an inflorescence of the palm Ceroxylon quindiuense (KARST.) H. WENDL. (Arecaceae). Nitidulidae of the inflorescences of C. quindiuense have never been studied before. As a result, the authors have found five species, four of which are actually undescribed""",interpreted from the text,system,4 - Pollination system based on general observations of pollinator visitation and informed by syndrome,,,,,,species,Ruby Stephens,25/1/2022
Pseudophoenix vinifera,Pseudophoenix,Cyclospatheae,Ceroxyloideae,Arecaceae,Arecales,Commelinidae,"Zona, S. (2001). A revision of Pseudophoenix. PALMS-LAWRENCE-, 46, 19–38.",https://www.researchgate.net/publication/237250890_A_Revision_of_Pseudophoenix,bee,animal,no,"""Flowers in Pseudophoenix, while not detectably fragrant, are colorful, secrete nectar and attract numerous hymenoptera. By all appearances, they are bee-pollinated.""",explicit from the text (described as such),system,4 - Pollination system based on general observations of pollinator visitation and informed by syndrome,nectar,yes,no,"""Flowers in Pseudophoenix, while not detectably fragrant, are colorful, secrete nectar and attract numerous hymenoptera. By all appearances, they are bee-pollinated.""",explicit from the text (described as such),genus,Ruby Stephens,25/1/2022
Caryota mitis,Caryota,Caryoteae,Coryphoideae,Arecaceae,Arecales,Commelinidae,"Quek, Z. B. R., Chui, S. X., Lam, W. N., Fung, T. K., & Sivasothi, N. (2020). Autecology of the common fishtail palm, Caryota mitis (Arecaceae), in Singapore. Botany Letters, 167(2), 265–275. https://doi.org/10.1080/23818107.2020.1717612",https://doi.org/10.1080/23818107.2020.1717612,bee,animal,no,"""Silberbauer-Gottsberger (1990) noted that members of Caryota (including C. mitis) likely provide nectar and pollen for bees (Meliponinae) and beetles (Curculionidae and Nitidulidae), with bees as possibly the predominant pollinators...Potential pollinators of C. mitis observed to be foraging for pollen on the male flowers of C. mitis were either identified to the lowest possible taxonomic rank on site or were collected as specimens for identification...Anthesis of male flowers occurs over 2 days with approximately half of the flowers on inflorescence opening on each day, and flowers only last for 1 day (Figure S2). Eusocial bees (Insecta: Hymenoptera: Apidae) were frequent visitors to the male flowers of C. mitis: six out of the seven species of stingless bees in Singapore as of 2018 (Chui Shao Xiong, unpublished data), and the Asian honeybee Apis cerana were documented collecting pollen (Figure S4A-4C).""",interpreted from the text,system,4 - Pollination system based on general observations of pollinator visitation and informed by syndrome,,,,,,species,Ruby Stephens,25/1/2022
Phoenix dactylifera,Phoenix,Phoeniceae,Coryphoideae,Arecaceae,Arecales,Commelinidae,"Dransfield, J., & Uhl, N. W. (1998). Palmae. In K. Kubitzki (Ed.), Flowering Plants · Monocotyledons: Alismatanae and Commelinanae (except Gramineae) (pp. 306–389). Springer. https://doi.org/10.1007/978-3-662-03531-3_35",https://doi.org/10.1007/978-3-662-03531-3_35,wind and insect,wind&animal,no,"""It is only relatively recently (Uhl and Moore 1977) that the myth (Delpino 1870) that palms are wind-pollinated has been dispelled. During the past decade, it has been shown that many palms are insect-pollinated (Henderson 1986), or, even if primarily anemophilous, that entomophily occurs, as in Aiphanes (Listabarth 1992). True anemophily does indeed occur (e.g., in Thrinax) but even the date palm, Phoenix dactylifera, may in fact be secondarily anemophil- ous. Large quantities of pollen, a feature of the syndrome of wind pollination, seem, at least in some palms, to be an adaptation to predation by insects.""",explicit from the text (described as such),syndrome,"3 - Pollination syndrome but adaptations for animal pollination (nectar, scent, staminodes, sticky pollen) or else wind pollination (very reduced perianth, feathery stigma, exposed anthers with dry powdery pollen) or abiotic pollination clearly described",,,,,,species,Ruby Stephens,25/1/2022
Sabal minor,Sabal,Sabaleae,Coryphoideae,Arecaceae,Arecales,Commelinidae,"Ramp, P. F. (1989). Natural history of Sabal minor: Demography, population genetics and reproductive ecology [Ph.D., Tulane University]. http://www.proquest.com/docview/303805441/abstract/86314AC4894104PQ/1",http://www.proquest.com/docview/303805441/abstract/86314AC4894104PQ/1,insect,animal,no,"""The monosulcate pollen is small (approximately 43 microns long by 33 microns wide) and readily sticks to surfaces it comes in contact with. Three nectaries are located between the carpels approximately half way up the ovary…pollination is required for seed set in Sabal minor...Insects from the insect orders Orthoptera, Coleoptera, Diptera, Hymenoptera, Hemiptera, and Lepidoptera were collected from the inflorescences of Sabal minor. The overall floral visitation rates were low...wasps are the dominant pollinators in Sabal minor...Floral morphology is also consistent with the morphology of other wasp flowers""",explicit from the text (described as such),system,"5 - Pollination system but wind pollination not explicitly tested for, pollination rewards clear, pollination efficiency of different pollinators not explicitly tested but pollinators observed transporting pollen and effecting pollination",nectar and pollen,yes,yes,"""A faint scent is produced by these flowers…Flowers exude a small quantity of nectar into the hypanthium...This large bee gathers pollen in addition to nectar.""",explicit from the text (described as such),species,Ruby Stephens,25/1/2022
Nypa fruticans,Nypa,NA,Nypoideae,Arecaceae,Arecales,Commelinidae,"Straarup, M., Hoppe, L. E., Pooma, R., & Barfod, A. S. (2018). The role of beetles in the pollination of the mangrove palm Nypa fruticans. Nordic Journal of Botany, 36(9), e01967. https://doi.org/10.1111/njb.01967",http://onlinelibrary.wiley.com/doi/abs/10.1111/njb.01967,insect,animal,no,"""the inflorescences were visited by a wide variety of insect species. Ants were commonly observed on female flower heads, presumably collecting stigmatic fluid, however they were rarely spotted on male rachillae at anthe- sis. Among the beetle visitors, Epuraea sp. was clearly the most abundant one, mainly observed on male inflorescences during anthesis. This confirms that this morphotype is feed- ing on the copious amounts of pollen produced by the young male inflorescences (Roulston and Cane 2000). Although they carried relatively small amounts of pollen, individuals of Epuraea sp. were omnipresent. Those measured for pol- len loads were sampled from the female flower heads, which confírms their capability to transfer at least a small amount of pollen grains from male to female flowers. Pollen grains were mainly observed on the dorsal side of the Epuraea sp. bee- tles. Cillaeinid sp. were less frequently observed, but carried more pollen grains than the smaller Epuraea sp. Their feed- ing behavior was almost identical to that of Epuraea sp. We consider the more frequent species of nitidulid beetles capa- ble of assuring successful pollination. They show a remark- able resemblance to Epuraea sp. found by Mantequilla et al. (2016) in the nipa stands near Davao City, Philippines as shown in Fig. 4. Hoppe (2004) listed nitidulid beetles among the most frequent visitors to female flowers in the receptive phase. Both Hoppe (2004) and Mantequilla et al. (2016) reported pollen loads of nitidulid beetles to be low, however Hoppe (2004) noticed a rise in pollen load after onset of male anthesis...In contrast to several previous studies (Essig 1973, Fong 1987, Hoppe 2004, Mantequilla et al. 2016) we did not observe drosophilid visitors to the inflorescences in this study. Since Drosophila flies are almost omnipresent and highly generalist this is a surprise. We can only explain this by edge effects or perhaps the use of pesticides in the adjacent botanical garden...The role of wind as a contributor to pollination was unlikely according to Hoppe (2004). An adhesive tape test suggested that very few pollen grains were transferred to female inflorescences by wind. Essig (1973) also dismisses wind as a significant contributor to pollination due to the large, globular and sticky pollen grains.""",interpreted from the text,system,"5 - Pollination system but wind pollination not explicitly tested for, pollination rewards clear, pollination efficiency of different pollinators not explicitly tested but pollinators observed transporting pollen and effecting pollination",,,,"""The male inflorescences of nipa emitted a characteristic coumarin smell at anthesis, which was also reported by Hoppe (2004). Azuma et al. (2002) found the aromatic β-ionone in the scent emitted by N. fruticans during flowering, a compound which is otherwise known to attract Scarab beetles (family Scarabaeideae) (Donaldson et al. 1990)...",,species,Ruby Stephens,25/1/2022
Calectasia intermedia,Calectasia,NA,NA,Dasypogonaceae,Arecales,Commelinidae,"Barrett, R. L., & Dixon, K. W. (2001). A revision of the genus Calectasia (Calectasiaceae) with eight new species described from south-west Western Australia. Nuytsia, 13(41), 1–44.",https://www.researchgate.net/publication/234814283_A_revision_of_the_genus_Calectasia_Calectasiaceae_with_eight_new_species_described_from_south-west_Western_Australia,insect,animal,no,"""Calectasia species are buzz-pollinated (G. Keighery pers. comm.) as in Solanum (Solanaceae) (Symon 1981), some species of which bear a superficial resemblance to Calectasia. Anway (1969) found that pollen was apparently shed prior to anthesis and records germinating pollen grains in unopened flowers, concluding that Calectasia is normally self-pollinated. Anway also states that style length is such as to be level with the anther pores, however most specimens examined had styles exceeding the anthers, with only a few specimens of C. grandiflora being at the same height as the anther pores. There is an erroneous report in Brown et al. (1997)based on Woldendorp (1996) that pollination by the Honey Possum (Tarsipes rostratus) had been observed. Calectasia plants are not strong enough to support the weight of a Honey Possum and have no nectar to attract such a pollinator.""",explicit from the text (described as such),syndrome,"3 - Pollination syndrome but adaptations for animal pollination (nectar, scent, staminodes, sticky pollen) or else wind pollination (very reduced perianth, feathery stigma, exposed anthers with dry powdery pollen) or abiotic pollination clearly described",pollen,no,,"""Calectasia plants are not strong enough to support the weight of a Honey Possum and have no nectar to attract such a pollinator.""",explicit from the text (described as such),genus,Ruby Stephens,25/1/2022
Dasypogon bromeliifolius,Dasypogon,NA,NA,Dasypogonaceae,Arecales,Commelinidae,"Rudall, P. J., & Conran, J. G. (2012). Systematic Placement of Dasypogonaceae Among Commelinid Monocots: Evidence from Flowers and Fruits. The Botanical Review, 78(4), 398–415. https://doi.org/10.1007/s12229-012-9103-6",https://doi.org/10.1007/s12229-012-9103-6,insect,animal,no,"""The flowers in Dasypogon and Kingia are small and aggregated into dense long- stalked and “drumstick-like” heads (Fig. 2c, d, g and h). The flowers are relatively inconspicuous, unscented, and nectariferous. Pollination is unspecialized and carried out by a range of small insects, mostly bees, wasps, flies and beetles (Conran pers. obs.).""",explicit from the text (described as such),system,4 - Pollination system based on general observations of pollinator visitation and informed by syndrome,,yes,no,"""The flowers are relatively inconspicuous, unscented, and nectariferous. """,explicit from the text (described as such),genus,Ruby Stephens,25/1/2022
Cartonema philydroides,Cartonema,NA,NA,Commelinaceae,Commelinales,Commelinidae,"Western Australian Herbarium, B. and C. S. (2022). Florabase—The Western Australian Flora (State of Western Australia). Western Australian Herbarium, Biodiversity and Conservation Science, Department of Biodiversity, Conservation and Attractions. Retrieved 25 January 2022, from https://florabase.dpaw.wa.gov.au/browse/profile/22359",https://florabase.dpaw.wa.gov.au/browse/profile/22359,insect,animal,no,"""Fertile flowers hermaphrodite. Unisexual flowers absent. Plants hermaphrodite. Floral nectaries absent (nectaries lacking). Autogamous or entomophilous (but without nectar). Pollination mechanism unspecialized.""",explicit from the text (described as such),syndrome,"3 - Pollination syndrome but adaptations for animal pollination (nectar, scent, staminodes, sticky pollen) or else wind pollination (very reduced perianth, feathery stigma, exposed anthers with dry powdery pollen) or abiotic pollination clearly described",,no,,"""Floral nectaries absent (nectaries lacking). Autogamous or entomophilous (but without nectar)""",explicit from the text (described as such),genus,Ruby Stephens,25/1/2022
