spp_abbrev,Family,Genus,Species,Growth_form,Raunkiaer_life_form,Height,Clonality,Physical_defence,Photosynthetic pathway,Specific_leaf_area,Laminar_unit_area,Leaf_phenology,Wood_density,Nutrient_uptake_strategy,Dispersal_mode,Seed_mass,Resprouting_capacity,Pollination_syndrome,Fruit_type,Lifespan,Maximum_propagule_longevity,1.1,1.2,2.1,2.2,3.1,3.2,4.2,5.2,unique families,unique. genera
Darl_darl,Proteaceae,Darlingia,darlingiana  ,Tall tree,Phanerophyte,30,None,None,C3,,43500,,629,Hairy root clusters,Wind,200,Yes,Hymenoptera (bees),"Dry dehiscent or indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",Perennial,Short-lived (weeks),0,0,0,0,1,0,0,0,,Cissus
Davi_prur,Davidsoniaceae,Davidsonia,pruriens var. pruriens,Tall tree,Phanerophyte,18,None,None,C3,,44160,,786,Mycorrhizal ,Endozoochory,600,Yes,Wind,"Fleshy (berry, pome, pepo, etc.)",Perennial,Short persistent soil (1 to 5 years),0,0,0,0,1,0,0,0,Ranunculaceae,Aleurites
Deca_humi,Myrtaceae,Decaspermum,humile  ,Tall tree,Phanerophyte,30,None,None,C3,,1920,,669,Mycorrhizal ,Endozoochory,17,Yes,Beetles,"Fleshy (berry, pome, pepo, etc.)",Perennial,Short-lived (weeks),1,0,1,1,0,1,1,1,,Timonius
Dend_moro,Urticaceae,Dendrocnide,moroides  ,Shrub,Phanerophyte,4,None,Stinging or irritant hairs,C3,,50400,,241,Mycorrhizal ,Endozoochory,0.78,Yes,Wind,"Fleshy (berry, pome, pepo, etc.)",Perennial,Short persistent soil (1 to 5 years),0,1,0,1,1,1,0,0,,
Derr_Clau,Fabaceae,Derris,sp. (Claudie River L.J.Webb + 8348),Liana,Phanerophyte,NA,None,None,C3,,5850,,NA,Nitrogen fixer,Wind,66,Yes,Hymenoptera (bees),Dry dehiscent or indehsicent without attractant or wing,Perennial,Short-lived (weeks),0,1,0,0,0,0,0,0,,Litsea
Derr_Dain,Fabaceae,Derris,sp. (Daintree D.E.Boyland + 469),Liana,Phanerophyte,NA,None,None,C3,,3240,,NA,Nitrogen fixer,Wind,21,Yes,Hymenoptera (bees),Dry dehiscent or indehsicent without attractant or wing,Perennial,Short-lived (weeks),0,1,0,0,1,0,0,0,,Neolitsea
Dill_alat,Dilleniaceae,Dillenia,alata  ,Short tree,Phanerophyte,15,None,None,C3,,17940,,525,Mycorrhizal ,Endozoochory,21,Yes,Butterflies,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",Perennial,Short persistent soil (1 to 5 years),0,1,0,0,0,0,0,0,Rhamnaceae,Breynia
Dioc_hexa,Fabaceae,Dioclea,hexandra  ,Liana,Phanerophyte,NA,None,None,C3,,9660,,NA,Nitrogen fixer,Water,2000,Yes,Hymenoptera (bees),Dry dehiscent or indehsicent without attractant or wing,Perennial,Short-lived (weeks),0,0,0,0,0,0,1,0,,Barringtonia
Dipl_diet,Athyriaceae,Diplazium,dietrichianum  ,Long basal,Phanerophyte,4,Clonal belowground,None,C3,,18600,,NA,Mycorrhizal ,Wind,0.001,Yes,None,Spore,Perennial,Short-lived (weeks),0,1,0,0,0,0,0,0,Lecythidaceae,Canarium
Dipl_diph,Sapindaceae,Diploglottis,diphyllostegia  ,Tall tree,Phanerophyte,30,None,None,C3,,13110,,692,Mycorrhizal ,Endozoochory,87,Yes,Hymenoptera (bees),"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",Perennial,Short-lived (weeks),0,0,0,1,0,0,0,0,,
Dipl_palm,Cucurbitaceae,Diplocyclos,palmatus  ,Vine,Phanerophyte,NA,None,None,C3,,14280,,NA,Mycorrhizal ,Endozoochory,20,No,Hymenoptera (bees),"Fleshy (berry, pome, pepo, etc.)",Perennial,Short persistent soil (1 to 5 years),1,0,0,1,0,0,0,0,Pittosporaceae,Cordyline
Dyso_alli,Meliaceae,Dysoxylum,alliaceum  ,Tall tree,Phanerophyte,38,None,None,C3,,16500,,549,Mycorrhizal ,Endozoochory,3000,Yes,Beetles,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",Perennial,Short-lived (weeks),0,1,1,0,0,1,1,1,,Rhodomyrtus
Dyso_moll,Meliaceae,Dysoxylum,mollissimum ssp. molle,Tall tree,Phanerophyte,35,None,None,C3,,5760,,616,Mycorrhizal ,Endozoochory,130,Yes,Beetles,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",Perennial,Short-lived (weeks),1,1,1,0,0,0,0,0,,Syzygium
Dyso_oppo,Meliaceae,Dysoxylum,oppositifolium  ,Tall tree,Phanerophyte,30,None,None,C3,,10560,,717,Mycorrhizal ,Endozoochory,1000,Yes,Beetles,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",Perennial,Short-lived (weeks),0,1,0,0,1,0,0,0,,Arthropteris
Dyso_papu,Meliaceae,Dysoxylum,papuanum  ,Tall tree,Phanerophyte,40,None,None,C3,,3900,,605,Mycorrhizal ,Endozoochory,320,Yes,Beetles,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",Perennial,Short-lived (weeks),0,0,0,1,0,0,0,0,,Pisonia
Dyso_para,Meliaceae,Dysoxylum,parasiticum  ,Tall tree,Phanerophyte,27,None,None,C3,,12000,,601,Mycorrhizal ,Endozoochory,350,Yes,Beetles,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",Perennial,Short-lived (weeks),0,1,0,1,0,0,0,0,,Chionanthus
Dyso_pett,Meliaceae,Dysoxylum,pettigrewianum  ,Tall tree,Phanerophyte,35,None,None,C3,,12960,,709,Mycorrhizal ,Endozoochory,530,Yes,Beetles,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",Perennial,Short-lived (weeks),1,0,1,1,0,0,0,1,,Ludwigia
Ecli_pros,Asteraceae,Eclipta,prostrata  ,Erect leafy,Therophyte,1,None,None,C3,,1650,,NA,Mycorrhizal ,Passive,1.3,No,Hymenoptera (bees),"Dry dehiscent or indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",Annual,Long persistent in soil (more than 5 years),0,0,0,0,1,0,0,0,Icacinaceae,Stenochlaena
Elae_gran,Elaeocarpaceae,Elaeocarpus,grandis  ,Tall tree,Phanerophyte,35,None,None,C3,,4050,,413,Mycorrhizal ,Endozoochory,3300,Yes,Hymenoptera (bees),"fleshy (berry, pome, pepo, etc.)",Perennial,Long persistent in soil (more than 5 years),0,0,0,0,1,0,0,0,Selaginellaceae,Eupomatia
Elae_trif,Elaeagnaceae,Elaeagnus,triflora  ,Liana,Phanerophyte,NA,None,Spines or thorns,C3,,5400,,NA,Nitrogen fixer,Endozoochory,150,Yes,Hymenoptera (bees),"Fleshy (berry, pome, pepo, etc.)",Perennial,Intermediate (months to less than a year),1,1,1,1,0,1,1,0,Schizaeaceae,Mallotus
Eleu_rude,Asteraceae,Eleutheranthera,ruderalis  ,Erect leafy,Therophyte,1,None,None,C3,,1440,,NA,Mycorrhizal ,Wind,0.95,No,Hymenoptera (bees),"Dry dehiscent or indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",Annual,Long persistent in soil (more than 5 years),0,0,0,0,1,0,0,0,Lamiaceae,Cordia
Embe_caul,Myrsinaceae,Embelia,caulialata  ,Liana,Phanerophyte,NA,None,None,C3,,3510,,NA,Mycorrhizal ,Endozoochory,8.2,Yes,Butterflies,"Fleshy (berry, pome, pepo, etc.)",Perennial,Intermediate (months to less than a year),1,0,1,1,1,0,1,1,,Morinda
Endi_cowl,Lauraceae,Endiandra,cowleyana  ,Tall tree,Phanerophyte,30,None,None,C3,,2160,,613,Mycorrhizal ,Endozoochory,1000,Yes,Beetles,"Fleshy (berry, pome, pepo, etc.)",Perennial,Short-lived (weeks),1,1,1,1,1,1,0,0,,Trophis
Endi_hypo,Lauraceae,Endiandra,hypotephra  ,Tall tree,Phanerophyte,30,None,None,C3,,4620,,845,Mycorrhizal ,Endozoochory,9000,Yes,Beetles,"Fleshy (berry, pome, pepo, etc.)",Perennial,Short-lived (weeks),0,1,0,0,0,1,0,0,,Myristica
Enta_rhee,Mimosaceae,Entada,rheedii  ,Liana,Phanerophyte,NA,None,None,C3,,1824,,NA,Nitrogen fixer,Passive,8400,Yes,Hymenoptera (bees),Dry dehiscent or indehsicent without attractant or wing,Perennial,Intermediate (months to less than a year),1,0,1,0,0,0,0,0,,Platycerium
Epip_pinn,Araceae,Epipremnum,pinnatum  ,Vine,Phanerophyte,NA,None,None,C3,,240000,,NA,No obvious special uptake strategy,Endozoochory,18,No,Flies,"Fleshy (berry, pome, pepo, etc.)",Perennial,Short-lived (weeks),0,0,0,1,0,0,0,0,Cardiopteridaceae,Rhaphidophora
Eryc_cocc,Convolvulaceae,Erycibe,coccinea  ,Liana,Phanerophyte,NA,None,None,C3,,6930,,NA,Mycorrhizal ,Endozoochory,490,Yes,Hymenoptera (bees),"Fleshy (berry, pome, pepo, etc.)",Perennial,Short persistent soil (1 to 5 years),0,0,0,0,0,0,1,0,Passifloraceae,Davidsonia
Eupo_barb,Eupomatiaceae,Eupomatia,barbata  ,Shrub,Phanerophyte,1,None,None,C3,,10080,,687,No obvious special uptake strategy,Endozoochory,10,Yes,Beetles,"Fleshy (berry, pome, pepo, etc.)",Perennial,Intermediate (months to less than a year),0,0,0,0,1,0,0,0,,Clerodendrum
Eupo_laur,Eupomatiaceae,Eupomatia,laurina  ,Short tree,Phanerophyte,10,None,None,C3,,9000,,495,No obvious special uptake strategy,Endozoochory,7.5,Yes,Beetles,"Fleshy (berry, pome, pepo, etc.)",Perennial,Intermediate (months to less than a year),0,0,0,0,0,0,1,0,,Faradaya
Eust_lati,Philesiaceae,Eustrephus,latifolius  ,Vine,Phanerophyte,NA,None,None,C3,,3120,,NA,NA,Endozoochory,43,No,Hymenoptera (bees),"Fleshy (berry, pome, pepo, etc.)",Perennial,NA,0,0,0,1,1,1,0,1,,Commersonia
Fara_sple,Lamiaceae,Faradaya,splendida  ,Liana,Phanerophyte,NA,None,None,C3,,33930,,NA,Mycorrhizal ,Endozoochory,8800,Yes,Bat,"Fleshy (berry, pome, pepo, etc.)",Perennial,Short persistent soil (1 to 5 years),0,1,0,1,1,0,0,0,,Pachygone
Ficu_benj,Moraceae,Ficus,benjamina var. benjamina,Tall tree,Phanerophyte,20,None,None,C3,,4320,,533,Hairy root clusters,Endozoochory,0.30,Yes,Hymenoptera (bees),"Fleshy (berry, pome, pepo, etc.)",Perennial,Short persistent soil (1 to 5 years),0,0,1,1,0,0,0,0,,Clematis
Ficu_cong,Moraceae,Ficus,congesta var. congesta,Short tree,Phanerophyte,6,Clonal belowground,None,C3,,21000,,430,Mycorrhizal ,Endozoochory,0.32,Yes,Hymenoptera (bees),"Fleshy (berry, pome, pepo, etc.)",Perennial,Short persistent soil (1 to 5 years),0,1,0,0,0,0,0,0,,Alphitonia
Ficu_hisp,Moraceae,Ficus,hispida var. hispida,Short tree,Phanerophyte,13,None,None,C3,,42000,,519,Mycorrhizal ,Endozoochory,0.88,Yes,Hymenoptera (bees),"Fleshy (berry, pome, pepo, etc.)",Perennial,Short persistent soil (1 to 5 years),0,0,1,1,0,1,1,1,,Gouania
Ficu_lept,Moraceae,Ficus,leptoclada  ,Short tree,Phanerophyte,15,None,None,C3,,3780,,461,Mycorrhizal ,Endozoochory,0.21,Yes,Hymenoptera (bees),"Fleshy (berry, pome, pepo, etc.)",Perennial,Short persistent soil (1 to 5 years),0,0,0,0,0,1,0,0,,Rhamnella
Ficu_pant,Moraceae,Ficus,pantoniana var. pantoniana,Vine,Phanerophyte,NA,Clonal aboveground,None,C3,,5460,,NA,Mycorrhizal ,Endozoochory,0.88,No,Hymenoptera (bees),"Fleshy (berry, pome, pepo, etc.)",Perennial,Short persistent soil (1 to 5 years),0,0,0,0,1,0,1,0,,Sageretia
Ficu_race,Moraceae,Ficus,racemosa var. racemosa,Tall tree,Phanerophyte,35,None,None,C3,,10800,,333,Mycorrhizal ,Endozoochory,0.13,Yes,Hymenoptera (bees),"Fleshy (berry, pome, pepo, etc.)",Perennial,Short persistent soil (1 to 5 years),0,0,0,0,0,0,0,1,,Ventilago
Ficu_sept,Moraceae,Ficus,septica  ,Short tree,Phanerophyte,15,None,None,C3,,10500,,410,Mycorrhizal ,Endozoochory,0.21,Yes,Hymenoptera (bees),"Fleshy (berry, pome, pepo, etc.)",Perennial,Short persistent soil (1 to 5 years),0,0,0,1,0,0,0,1,,Carallia
Ficu_vari,Moraceae,Ficus,variegata var. variegata,Tall tree,Phanerophyte,30,None,None,C3,,24000,,276,Mycorrhizal ,Endozoochory,0.47,Yes,Hymenoptera (bees),"Fleshy (berry, pome, pepo, etc.)",Perennial,Short persistent soil (1 to 5 years),0,0,1,0,1,0,1,1,,Antirhea
Ficu_virg,Moraceae,Ficus,virgata var. virgata,Tall tree,Phanerophyte,30,None,None,C3,,19800,,513,Mycorrhizal ,Endozoochory,0.88,Yes,Hymenoptera (bees),"Fleshy (berry, pome, pepo, etc.)",Perennial,Short persistent soil (1 to 5 years),1,0,1,1,1,0,0,1,,Atractocarpus
Flag_indi,Flagellariaceae,Flagellaria,indica  ,Scrambler,Phanerophyte,2,Clonal belowground,None,C3,,6240,,NA,Mycorrhizal ,Endozoochory,57,Yes,Beetles,"Fleshy (berry, pome, pepo, etc.)",Perennial,NA,0,1,0,0,0,0,0,0,,Dysoxylum
Flin_bray,Rutaceae,Flindersia,brayleyana  ,Tall tree,Phanerophyte,35,None,None,C3,,10080,,477,Mycorrhizal ,Wind,54,Yes,Flies,"Dry dehiscent or indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",Perennial,Short-lived (weeks),0,0,0,0,1,0,0,0,,
Flin_scho,Rutaceae,Flindersia,schottiana  ,Tall tree,Phanerophyte,45,None,None,C3,,13728,,557,Mycorrhizal ,Wind,76,Yes,Flies,"Dry dehiscent or indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",Perennial,Short-lived (weeks),0,1,0,0,1,0,0,0,,
Gloc_harv,Euphorbiaceae,Glochidion,harveyanum var. harveyanum,Short tree,Phanerophyte,12,None,None,C3,,7980,,641,Mycorrhizal ,Endozoochory,11,Yes,Hymenoptera (bees),"Fleshy (berry, pome, pepo, etc.)",Perennial,Long persistent in soil (more than 5 years),0,0,0,0,0,0,1,1,Symplocaceae,Derris
Gloc_phil,Euphorbiaceae,Glochidion,philippicum  ,Tall tree,Phanerophyte,20,None,None,C3,,2400,,601,Mycorrhizal ,Endozoochory,5.6,Yes,Wind,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",Perennial,Short persistent soil (1 to 5 years),0,0,0,0,1,0,0,0,Thelypteridaceae,Dioclea
Gloc_sess,Euphorbiaceae,Glochidion,sessiliflorum var. pedicellatum,Short tree,Phanerophyte,15,None,None,C3,,1620,,643,Mycorrhizal ,Endozoochory,5,Yes,Wind,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",Perennial,Short persistent soil (1 to 5 years),0,0,0,0,0,0,0,1,Tiliaceae,Millettia
Gloc_suma,Euphorbiaceae,Glochidion,sumatranum  ,Tall tree,Phanerophyte,25,None,None,C3,,8100,,581,Mycorrhizal ,Endozoochory,4.3,Yes,Hymenoptera (bees),"Fleshy (berry, pome, pepo, etc.)",Perennial,Long persistent in soil (more than 5 years),0,0,0,0,0,1,0,0,Urticaceae,Mucuna
Glyc_trif,Rutaceae,Glycosmis,trifoliata  ,Short tree,Phanerophyte,8,None,None,C3,,6825,,500,Mycorrhizal ,Endozoochory,82,Yes,Hymenoptera (bees),"Fleshy (berry, pome, pepo, etc.)",Perennial,NA,0,1,1,1,0,1,1,0,,
Gomp_aust,Icacinaceae,Gomphandra,australiana  ,Tall tree,Phanerophyte,20,None,None,C3,,14400,,437,Mycorrhizal ,Endozoochory,830,Yes,Beetles,"Fleshy (berry, pome, pepo, etc.)",Perennial,Intermediate (months to less than a year),0,1,0,1,1,1,0,0,,Melia
Goss_myrs,Myrtaceae,Gossia,myrsinocarpa  ,Short tree,Phanerophyte,15,None,None,C3,,1728,,610,Mycorrhizal ,Endozoochory,50,Yes,Beetles,"Fleshy (berry, pome, pepo, etc.)",Perennial,Short-lived (weeks),0,1,0,0,1,1,0,0,,Acronychia
Goua_aust,Rhamnaceae,Gouania,australiana  ,Liana,Phanerophyte,NA,None,Spines or thorns,C3,,7200,,NA,Mycorrhizal ,Wind,0.78,Yes,Flies,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",Perennial,NA,0,1,0,0,0,0,0,0,,Alpinia
Grev_hill,Proteaceae,Grevillea,hilliana  ,Tall tree,Phanerophyte,30,None,None,C3,,8640,,793,Hairy root clusters,Wind,24,Yes,Hymenoptera (bees),"Dry dehiscent or indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",Perennial,Short-lived (weeks),0,1,0,1,1,0,0,0,,Tetrastigma
Guio_acut,Sapindaceae,Guioa,acutifolia  ,Tall tree,Phanerophyte,20,None,None,C3,,8400,,607,Mycorrhizal ,Endozoochory,54,Yes,Hymenoptera (bees),"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",Perennial,Short-lived (weeks),0,0,0,1,0,0,0,0,,
Gyno_Hinc,Rubiaceae,Gynochtodes,sp. (Hinchinbrook Island A.S.Thorsborne + 337),Vine,Phanerophyte,NA,None,None,C3,,7980,,NA,Mycorrhizal ,Endozoochory,20,Yes,Moths,"Fleshy (berry, pome, pepo, etc.)",Perennial,Intermediate (months to less than a year),0,1,0,0,1,0,1,0,,
Harp_rhyt,Sapindaceae,Harpullia,rhyticarpa  ,Short tree,Phanerophyte,6,None,None,C3,,15660,,494,Mycorrhizal ,Endozoochory,320,Yes,Hymenoptera (bees),"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",Perennial,Short-lived (weeks),0,1,1,0,1,1,0,1,,
Hedy_auri,Rubiaceae,Hedyotis,auricularia var. melanesica,Erect leafy,Chamaephyte,0.5,None,None,C3,,1452,,NA,Mycorrhizal ,Passive,0.86,No,Hymenoptera (bees),"Fleshy (berry, pome, pepo, etc.)",Perennial,NA,0,0,0,0,0,0,0,1,,
Heli_nort,Proteaceae,Helicia,nortoniana  ,Tall tree,Phanerophyte,20,None,None,C3,,9690,,837,Hairy root clusters,Endozoochory,23,Yes,Hymenoptera (bees),"Fleshy (berry, pome, pepo, etc.)",Perennial,Short-lived (weeks),0,1,1,1,0,1,0,1,,Vittaria
Helm_zeyl,Ophioglossaceae,Helminthostachys,zeylanica  ,Short basal,Chamaephyte,0.6,None,None,C3,,4200,,NA,Mycorrhizal ,Wind,0.001,Yes,None,Spore,Perennial,Short-lived (weeks),0,0,0,0,0,0,1,0,,Selaginella
Hibi_tili,Malvaceae,Hibiscus,tiliaceus  ,Short tree,Phanerophyte,12,Clonal aboveground,None,C3,,50400,,409,Mycorrhizal ,Passive,10,Yes,Butterflies,Dry dehiscent or indehsicent without attractant or wing,Perennial,NA,0,1,0,0,0,1,0,0,,Pilidiostigma
Hipp_barb,Celastraceae,Hippocratea,barbata  ,Liana,Phanerophyte,NA,None,Spines or thorns,C3,,4620,,NA,Mycorrhizal ,Wind,41.498,Yes,Hymenoptera (bees),"Dry indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",Perennial,Short-lived (weeks),0,0,0,0,1,0,1,1,Myrtaceae,Rourea
Homa_novo,Euphorbiaceae,Homalanthus,novoguineensis  ,Tall tree,Phanerophyte,25,None,None,C3,,31740,,269,Mycorrhizal ,Endozoochory,50,No,Wind,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",Perennial,Short persistent soil (1 to 5 years),0,1,0,0,0,0,0,0,Verbenaceae,Vigna
Horn_scot,Zingiberaceae,Hornstedtia,scottiana  ,Long basal,Phanerophyte,4,Clonal belowground,None,C3,,67200,,NA,Mycorrhizal ,Endozoochory,1.8,Yes,Hymenoptera (bees),"Fleshy (berry, pome, pepo, etc.)",Perennial,Short persistent soil (1 to 5 years),0,1,0,1,0,1,1,0,,
Hoya_aust,Asclepiadaceae,Hoya,australis ssp. tenuipes,Vine,Phanerophyte,NA,None,None,CAM,,10800,,NA,Mycorrhizal ,Wind,4.8,No,Hymenoptera (bees),"Dry dehiscent or indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",Perennial,NA,0,0,1,1,1,1,0,0,Elaeagnaceae,Cyanthillium
Hoya_pott,Asclepiadaceae,Hoya,pottsii  ,Vine,Phanerophyte,NA,None,None,CAM,,12600,,NA,Mycorrhizal ,Wind,4.8,No,Hymenoptera (bees),"Dry dehiscent or indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",Perennial,NA,0,1,0,1,1,0,0,0,Elaeocarpaceae,Eclipta
Hypo_nemo,Cyperaceae,Hypolytrum,nemorum  ,Tussock,Hemicryptophyte,1,Clonal belowground,None,C3,,8400,,NA,Hairy root clusters,Passive,0.82,Yes,Wind,Dry dehiscent or indehsicent without attractant or wing,Perennial,Intermediate (months to less than a year),1,0,1,0,1,0,1,0,Proteaceae,Sloanea
Hyps_decu,Menispermaceae,Hypserpa,decumbens  ,Liana,Phanerophyte,NA,None,None,C3,,12765,,NA,Mycorrhizal ,Endozoochory,190,Yes,Beetles,"Fleshy (berry, pome, pepo, etc.)",Perennial,Intermediate (months to less than a year),0,0,0,0,1,0,1,1,,Pandanus
Hyps_laur,Menispermaceae,Hypserpa,laurina  ,Liana,Phanerophyte,NA,None,None,C3,,9000,,NA,Mycorrhizal ,Endozoochory,190,Yes,Beetles,"Fleshy (berry, pome, pepo, etc.)",Perennial,Intermediate (months to less than a year),0,0,0,0,1,0,0,0,,Passiflora
Hypt_capi,Lamiaceae,Hyptis,capitata  ,Erect leafy,Phanerophyte,2,None,None,C3,,7680,,NA,Mycorrhizal ,Endozoochory,0.78,Yes,Hymenoptera (bees),"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",Perennial,NA,0,0,0,0,0,1,0,0,,Pycnarrhena
Ichn_frut,Apocynaceae,Ichnocarpus,frutescens  ,Liana,Phanerophyte,NA,None,None,C3,,4095,,NA,Mycorrhizal ,Wind,27,Yes,Flies,"Fleshy (berry, pome, pepo, etc.)",Perennial,Intermediate (months to less than a year),0,0,0,0,0,0,0,1,Asteraceae,Parsonsia
Ilex_arnh,Aquifoliaceae,Ilex,arnhemensis ssp. ferdinandi,Tall tree,Phanerophyte,25,None,None,C3,,4455,,429,Mycorrhizal ,Endozoochory,NA,Yes,Flies,"Fleshy (berry, pome, pepo, etc.)",Perennial,Short persistent soil (1 to 5 years),0,0,0,0,0,0,0,1,Capparidaceae,Pothos
Ipom_tril,Convolvulaceae,Ipomoea,triloba  ,Vine,Phanerophyte,NA,None,None,C3,,8280,,NA,Mycorrhizal ,Passive,3.3,No,Hymenoptera (bees),Dry dehiscent or indehsicent without attractant or wing,Perennial,Short persistent soil (1 to 5 years),0,0,0,0,1,0,0,0,Philesiaceae,Dillenia
Ixor_timo,Rubiaceae,Ixora,timorensis  ,Short tree,Phanerophyte,10,None,None,C3,,12540,,700,Mycorrhizal ,Endozoochory,18,Yes,Moths,"Fleshy (berry, pome, pepo, etc.)",Perennial,Intermediate (months to less than a year),0,1,0,0,0,0,0,0,,
Lasi_stri,Rubiaceae,Lasianthus,strigosus  ,Shrub,Phanerophyte,3,None,None,C3,,5700,,700,Mycorrhizal ,Endozoochory,6.6,Yes,Flies,"Fleshy (berry, pome, pepo, etc.)",Perennial,Intermediate (months to less than a year),0,0,0,0,1,1,0,0,,
Leea_indi,Leeaceae,Leea,indica  ,Shrub,Phanerophyte,4,None,None,C3,,12960,,NA,Mycorrhizal ,Endozoochory,35,Yes,Flies,"Fleshy (berry, pome, pepo, etc.)",Perennial,Intermediate (months to less than a year),1,0,0,1,1,0,0,1,,Decaspermum
Lepi_hope,Zamiaceae,Lepidozamia,hopei  ,Tall tree,Phanerophyte,18,None,None,C3,,7200,,379,Nitrogen fixer,Endozoochory,24000,Yes,Beetles,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",Perennial,Short persistent soil (1 to 5 years),1,0,0,0,0,0,0,0,,
Licu_rams,Arecaceae,Licuala,ramsayi  ,Tall tree,Phanerophyte,20,None,None,C3,,1920000,,529,Mycorrhizal ,Endozoochory,70,No,Beetles,"Fleshy (berry, pome, pepo, etc.)",Perennial,Intermediate (months to less than a year),1,0,1,1,0,1,0,0,Dracaenaceae,Chromolaena
Lits_bind,Lauraceae,Litsea,bindoniana  ,Tall tree,Phanerophyte,30,None,None,C3,,29700,,413,Mycorrhizal ,Endozoochory,290,Yes,Beetles,"Fleshy (berry, pome, pepo, etc.)",Perennial,Short-lived (weeks),0,1,0,0,0,0,0,0,,Ardisia
Lits_leef,Lauraceae,Litsea,leefeana  ,Tall tree,Phanerophyte,30,None,None,C3,,11685,,421,Mycorrhizal ,Endozoochory,600,Yes,Beetles,"Fleshy (berry, pome, pepo, etc.)",Perennial,Short-lived (weeks),0,0,0,0,1,0,1,0,,Embelia
Loph_suav,Myrtaceae,Lophostemon,suaveolens  ,Tall tree,Phanerophyte,20,None,None,C3,,6630,,717,Mycorrhizal ,Endozoochory,0.74,Yes,Beetles,"Fleshy (berry, pome, pepo, etc.)",Perennial,Short-lived (weeks),0,1,0,1,0,1,0,0,,Flindersia
Ludw_octo,Onagraceae,Ludwigia,octovalvis  ,Shrub,Phanerophyte,4,None,None,C3,,3600,,NA,Mycorrhizal ,Passive,0.45,Yes,Hymenoptera (bees),Dry dehiscent or indehsicent without attractant or wing,Perennial,NA,0,1,0,0,1,0,0,1,,Lygodium
Lygo_reti,Schizaeaceae,Lygodium,reticulatum  ,Scrambler,Phanerophyte,NA,Clonal aboveground,None,C3,,1680,,NA,Mycorrhizal ,Wind,0.001,Yes,None,Spore,Perennial,Short-lived (weeks),1,0,0,1,1,0,0,0,,
Maca_inam,Euphorbiaceae,Macaranga,inamoena  ,Short tree,Phanerophyte,10,Clonal aboveground,None,C3,,9450,,461,Mycorrhizal ,Endozoochory,26,Yes,Wind,Dry dehiscent or indehsicent without attractant or wing,Perennial,Short persistent soil (1 to 5 years),0,0,0,0,1,0,0,0,Vitaceae,Casearia
Maca_invo,Euphorbiaceae,Macaranga,involucrata var. mallotoides,Short tree,Phanerophyte,15,Clonal aboveground,None,C3,,31020,,443,Mycorrhizal ,Endozoochory,33,Yes,Wind,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",Perennial,Short persistent soil (1 to 5 years),0,0,0,0,1,0,0,0,Vittariaceae,Scolopia
Maca_poly,Euphorbiaceae,Macaranga,polyadenia  ,Tall tree,Phanerophyte,28,None,None,C3,,20160,,464,Mycorrhizal ,Endozoochory,26,Yes,Wind,Dry dehiscent or indehsicent without attractant or wing,Perennial,Short persistent soil (1 to 5 years),0,1,0,0,0,0,0,0,Xanthophyllaceae,Flagellaria
Maca_tana,Euphorbiaceae,Macaranga,tanarius  ,Tall tree,Phanerophyte,28,None,None,C3,,133500,,461,Mycorrhizal ,Endozoochory,18,Yes,Wind,Dry dehiscent or indehsicent without attractant or wing,Perennial,Short persistent soil (1 to 5 years),1,0,1,1,0,0,0,1,Zamiaceae,Gomphandra
