sort,Species Code,Spp_Name,L.A (CM^2) ,Sheath (cm^2),Leaf Mass (g),Sheath mass (g),LMA (g/m^2),SLA(cm2/g)
219,Stapul4,Stackhousia pulvinaris (yellow in bogs),0.55,,0.004,,72.7,
220,Stapul5,Stackhousia pulvinaris (yellow in bogs),0.54,,0.0054,,100,
447,Stepun1,Stellaria pungens,0.46,,0.003,,65.2,
448,Stepun2,Stellaria pungens,0.71,,0.0047,,66.2,
449,Stepun3,Stellaria pungens,0.7,,0.0039,,55.7,
450,Stepun4,Stellaria pungens,0.81,,0.0054,,66.7,
451,Stepun5,Stellaria pungens,0.76,,0.0055,,72.4,
120,Stygra1,Stylidium graminifolium,13.16,,0.1549,,117.7,
121,Stygra2,Stylidium graminifolium,10.75,,0.1079,,100.4,
122,Stygra3,Stylidium graminifolium,11.1,,0.1659,,149.5,
123,Stygra4,Stylidium graminifolium,20.55,,0.2241,,109.1,
124,Stygra5,Stylidium graminifolium,16.38,,0.1721,,105.1,
429,Tasxer1,Tasmannia xerophylla,8.35,,0.1772,,212.2,
430,Tasxer2,Tasmannia xerophylla,7.76,,0.1505,,193.9,
431,Tasxer3,Tasmannia xerophylla,5.54,,0.1278,,230.7,
432,Tasxer4,Tasmannia xerophylla,5.22,,0.1036,,198.5,
433,Tasxer5,Tasmannia xerophylla,5.59,,0.1005,,179.8,
114,Trahum1,Trachymene humilis,10.12,,0.0774,,76.5,
115,Trahum2,Trachymene humilis,6.87,,0.0501,,72.9,
116,Trahum3,Trachymene humilis,6.51,,0.0487,,74.8,
117,Trahum4,Trachymene humilis,7.6,,0.0589,,77.5,
118,Trahum5,Trachymene humilis,18.48,,0.1423,,77,
132,Viobet1,Viola betonicifolia,14.85,,0.09,,60.6,
133,Viobet2,Viola betonicifolia,16.33,,0.1017,,62.3,
134,Viobet3,Viola betonicifolia,18.93,,0.125,,66,
135,Viobet4,Viola betonicifolia,10.17,,0.0745,,73.3,
136,Viobet5,Viola betonicifolia,12.65,,0.0776,,61.3,
252,Xersub1,Xerochrysum subundulatum,12.09,,0.1261,,104.3,
253,Xersub2,Xerochrysum subundulatum,9.18,,0.0774,,84.3,
254,Xersub3,Xerochrysum subundulatum,9.82,,0.1034,,105.3,
255,Xersub4,Xerochrysum subundulatum,8.88,,0.0699,,78.7,
256,Xersub5,Xerochrysum subundulatum,7.99,,0.0792,,99.1,
