Species,Conservation Code,Fire response,Primary Juvenile Period (months),Primary Juvenile Period -value 1,juvenile period value type 1,Primary Juvenile Period -value 2,juvenile period value type 2
Regelia cymbifolia,P4,,,,,,
Rhacocarpus rehmannianus var. webbianus,R,Cryptogram,,,,,
Rhizanthella gardneri,R,GEO,,,,,
Ricinocarpos pilifer,P2,OSS,,,,,
Ricinocarpos trichophorus,R,OSS,,,,,
Rinzia affinis,P4,,,,,,
Rinzia longifolia,P1,,,,,,
Rulingia apella,P1,,,,,,
Rumex drummondii,P4,,,,,,
Sarcocornia globosa,P3,,,,,,
Scaevola archeriana,P1,,,,,,
Scaevola macrophylla,R,OSS,,,,,
Scaevola paludosa,P2,,,,,,
Scaevola tortuosa,P1,,,,,,
Schizaea rupestris,P2,Comb-fern,,,,,
Schoenus benthamii,P3,,,,,,
Schoenus natans,P4,,,,,,
Schoenus sp. Grassy (E. Gude & J. Harvey 250),P2,,,,,,
Schoenus sp. Grey Rhizome (K.L. Wilson 2922),P1,,,,,,
Schoenus sp. Mt Barker (G.J. Keighery 9679),P1,,,,,,
Schoenus sp. Stirling (G.J. Keighery 3427),P2,,,,,,
Selliera radicans,P2,,,,,,
Senecio gilbertii,P1,,,,,,
Sowerbaea multicaulis,P4,GEO,,,,,
Sphaerolobium benetectum,P1,,,,,,
Sphaerolobium validum,P3,,,,,,
Sphagnum novozelandicum,P2,Moss,,,,,
Spyridium glaucum,P4,OSS,,,,,
Spyridium mucronatum ssp. multiflorum,P2,,,,,,
Spyridium mucronatum ssp. recurvum,P3,,,,,,
Spyridium oligocephalum,P3,OSS,,,,,
Spyridium spadiceum,P2,,,,,,
Stachystemon vinosus,P4,OSS,,,,,
Stenanthemum bremerense,P3,,,,,,
Stenanthemum cristatum,P2,,,,,,
Stenanthemum pumilum ssp. pumilum,P3,OSS?,,,,,
Stenanthemum sublineare,P2,,,,,,
Stylidium articulatum,P2,OSS,,,,,
Stylidium bellum,P2,OSS,,,,,
Stylidium clavatum,P3,OSS,,,,,
Stylidium corymbosum var.. proliferum,P2,OSS,,,,,
Stylidium daphne,P2,OSS,,,,,
Stylidium diplectroglossum,P1,OSS,,,,,
Stylidium falcatum,P1,OSS,,,,,
Stylidium glandulosum,P3,OSS,,,,,
Stylidium gloeophyllum,P3,OSS,,,,,
Stylidium lepidum,P3,OSS,,,,,
Stylidium plantagineum,P4,RS,,,,,
Stylidium pseudohirsutum,P3,OSS,,,,,
Stylidium pulviniforme,P3,OSS,,,,,
Stylidium rhipidium,P3,OSS,,,,,
Stylidium rosulatum,P2,OSS,,,,,
Stylidium sejunctum,P2,OSS,,,,,
Stylidium sp. Bluff Knoll (S. Barrett s.n. 8/11/1994),P2,OSS,,,,,
Stylidium tylosum,P1,OSS,,,,,
Synaphea bifurcata,P3,,,,,,
Synaphea decumbens,P3,,,,,,
Synaphea hians,P3,,,,,,
Synaphea incurva,P1,,,,,,
Synaphea platyphylla,P3,,,,,,
Synaphea preissii,P3,,,,,,
Tecticornia entrichoma,P4,,,,,,
Tecticornia indefessa,P2,,,,,,
Tecticornia uniflora,P4,,,,,,
Tetratheca applanata,P1,,,,,,
Tetratheca pilata,P1,,,,,,
Tetratheca sp. Kent River (B.G. Hammersley 1791),P1,,,,,,
Thelymitra psammophila,R,GEO,,,,,
Thomasia dielsii,P1,,,,,,
Thomasia multiflora,P1,,,,,,
Thomasia purpurea x solanacea,P1,,,,,,
Thomasia pygmaea,P3,,,,,,
Thomasia quercifolia,P2,,,,,,
Thomasia solanacea,P3,?RS,,,,,
Thomasia sp. Toolbrunup (G.J. Keighery 9895),P3,RS,,,,,
Thysanotus baueri,P1,GEO?,,,,,
Thysanotus brachiatus,P2,GEO?,,,,,
Thysanotus brachyantherus,P2,GEO?,,,,,
Thysanotus brevifolius,P2,GEO?,,,,,
Thysanotus gageoides,P3,GEO?,,,,,
Thysanotus glaucus,P4,GEO?,,,,,
Thysanotus isantherus,P3,GEO?,,,,,
Thysanotus parviflorus,P2,GEO?,,,,,
Thysanotus tenuis,P3,GEO?,,,,,
Torrendia grandis,P2,,,,,,
Torrendia inculta,P2,,,,,,
Trachymene anisocarpa var.. trichocarpa,P3,OSS,,,,,
Trachymene croniniana,P3,OSS,,,,,
Tribonanthes purpurea,R,GEO,,,,,
Tribonanthes sp. Lake Muir (G.J. Keighery & N. Gibson 2134),P3,,,,,,
Triglochin protuberans,P3,,,,,,
Triglochin stowardii,P3,,,,,,
Trithuria australis,P2,OSS,,,,,
Trymalium litorale,P1,OSS,,,,,
Trymalium myrtillus ssp. pungens,P1,,,,,,
Tyrbastes glaucescens,P4,OSS,,,,,
Usnea pulvinata,P1,Lichen,,,,,
Velleia exigua,P2,,,,,,
Verticordia apecta,R,RS,,,,,
Verticordia brevifolia ssp. brevifolia,P3,RS,,,,,
Verticordia brevifolia ssp. stirlingensis,P2,RS,,,,,
Verticordia coronata,P3,RS,,,,,
Verticordia fimbrilepis ssp. australis,R,RS/OSS,,,,,
Verticordia huegelii var.. tridens,P3,RS/OSS,,,,,
Verticordia integra,P4,OSS,,,,,
Verticordia longistylis,P3,OSS,,,,,
Verticordia sieberi var.. pachyphylla,P1,OSS?,,,,,
Verticordia verticordina,P3,OSS,,,,,
Verticordia vicinella,P4,OSS?,,,,,
Villarsia marchantii,P4,,,,,,
Villarsia submersa,P4,,,,,,
Warnstorfia fluitans,P1,MOSS,,,,,
Wurmbea sp. Cranbrook (A.R. Annels 3819),P2,,,,,,
Xanthoparmelia sargentii,P1,Lichen,,,,,
Xanthoparmelia subimitatrix,P1,Lichen,,,,,
Xanthorrhoea brevistyla,P4,,,,,,
Xanthosia collina,P3,OSS,,,,,
Xanthosia eichleri,P3,,,,,,
Xanthosia peduncularis,P3,,,,,,
