Chronosequence stage,Plot,Latitude,Longitude,Easting,Northing,Cation exchange capacity (cmolc/kg),pH-CaCl2,Soil total N (g/kg),Soil carbonates content (%),Soil total P (mg/kg),Species (with common names),Species,Family,Leaf ash (% DW),Leaf total phenols (GAE g/kg DW),Leaf Si (g/kg DW),Leaf Ca (g/kg DW),Leaf Fe (mg/kg DW),Leaf K (g/kg DW),Leaf Mg (g/kg DW),Leaf Mn (mg/kg DW),Leaf P (g/kg DW),latitude (deg),longitude (deg)
Stage 2,Q.M.8,"30deg 13' 34.8"" S","115deg 1' 6.2"" E",309294,6654474,13.4,7.83,1.1,76.3,374.8,Melaleuca systena,Melaleuca systena,Myrtaceae,4.73,57.39,0.21,7.5,58.18,7.84,4.51,7.27,1.84,-30.22611111,115.0183889
Stage 2,Q.M.8,"30deg 13' 34.8"" S","115deg 1' 6.2"" E",309294,6654474,13.4,7.83,1.1,76.3,374.8,Desmocladus asper,Desmocladus asper,Restionaceae,3.64,47.27,3.97,4.5,80.46,10.96,1.55,13.41,0.28,-30.22611111,115.0183889
Stage 2,Q.M.8,"30deg 13' 34.8"" S","115deg 1' 6.2"" E",309294,6654474,13.4,7.83,1.1,76.3,374.8,"Stenanthemum notiale subsp, notiale",Stenanthemum notiale subsp. notiale,Rhamnaceae,7.25,53.39,0.32,17.6,86.27,14.06,1.66,5.88,0.94,-30.22611111,115.0183889
Stage 2,Q.M.8,"30deg 13' 34.8"" S","115deg 1' 6.2"" E",309294,6654474,13.4,7.83,1.1,76.3,374.8,Opercularia spermacocea,Opercularia spermacocea,Rubiaceae,14.87,50.56,0.14,35.3,48.33,8.03,7.47,3.72,1.02,-30.22611111,115.0183889
Stage 3,Q.O.14,"30deg 14' 26.2"" S","115deg 4' 0.9"" E",313992,6652972,11.36,7.72,0.7,18.9,168.38,Acanthocarpus preissii,Acanthocarpus preissii,Asparagaceae,4.52,47.55,0.13,9.5,96.05,11.45,1.68,5.65,0.7,-30.24055556,115.0669167
Stage 3,Q.O.14,"30deg 14' 26.2"" S","115deg 4' 0.9"" E",313992,6652972,11.36,7.72,0.7,18.9,168.38,Lomandra maritima,Lomandra maritima,Asparagaceae,4.41,40.97,0.2,11.2,44.15,12.28,1.04,5.76,0.45,-30.24055556,115.0669167
Stage 3,Q.O.14,"30deg 14' 26.2"" S","115deg 4' 0.9"" E",313992,6652972,11.36,7.72,0.7,18.9,168.38,Lepidosperma calcicola,Lepidosperma calcicola,Cyperaceae,4.03,46.92,7.05,4.5,42.12,13.46,0.57,38.46,0.26,-30.24055556,115.0669167
Stage 3,Q.O.14,"30deg 14' 26.2"" S","115deg 4' 0.9"" E",313992,6652972,11.36,7.72,0.7,18.9,168.38,Acacia lasiocarpa,Acacia lasiocarpa,Fabaceae,4.2,53.22,0.65,11.2,70,8.62,1.74,8,0.48,-30.24055556,115.0669167
Stage 3,Q.O.14,"30deg 14' 26.2"" S","115deg 4' 0.9"" E",313992,6652972,11.36,7.72,0.7,18.9,168.38,"Scaevola thesioides subsp, thesioides",Scaevola thesioides subsp. thesioides,Goodeniaceae,12.57,53.01,0.25,28.1,65.87,20.16,4.29,9.98,0.81,-30.24055556,115.0669167
Stage 3,Q.O.14,"30deg 14' 26.2"" S","115deg 4' 0.9"" E",313992,6652972,11.36,7.72,0.7,18.9,168.38,"Conostylis candicans subsp, calcicola",Conostylis candicans subsp. calcicola,Haemodoraceae,5.82,49.86,6.4,11.4,49.09,11.84,1.28,129.09,0.34,-30.24055556,115.0669167
Stage 3,Q.O.14,"30deg 14' 26.2"" S","115deg 4' 0.9"" E",313992,6652972,11.36,7.72,0.7,18.9,168.38,Melaleuca systena,Melaleuca systena,Myrtaceae,5.28,65.65,0.17,12.6,58.71,8.49,3.86,7.83,0.68,-30.24055556,115.0669167
Stage 3,Q.O.14,"30deg 14' 26.2"" S","115deg 4' 0.9"" E",313992,6652972,11.36,7.72,0.7,18.9,168.38,Austrostipa flavescens,Austrostipa flavescens,Poaceae,6.59,54.47,9.63,8.2,60.08,13.6,1.3,9.69,0.52,-30.24055556,115.0669167
Stage 3,Q.O.14,"30deg 14' 26.2"" S","115deg 4' 0.9"" E",313992,6652972,11.36,7.72,0.7,18.9,168.38,Desmocladus asper,Desmocladus asper,Restionaceae,3.73,51.32,5.56,4.4,83.96,11.46,1.63,24.25,0.35,-30.24055556,115.0669167
Stage 3,Q.O.14,"30deg 14' 26.2"" S","115deg 4' 0.9"" E",313992,6652972,11.36,7.72,0.7,18.9,168.38,"Stenanthemum notiale subsp, notiale",Stenanthemum notiale subsp. notiale,Rhamnaceae,11.31,58.33,0.42,34.5,79.37,12.44,1.58,23.81,0.69,-30.24055556,115.0669167
Stage 3,Q.O.14,"30deg 14' 26.2"" S","115deg 4' 0.9"" E",313992,6652972,11.36,7.72,0.7,18.9,168.38,Opercularia spermacocea,Opercularia spermacocea,Rubiaceae,14.37,46.43,0.67,36,68.97,12.26,5.36,22.99,0.7,-30.24055556,115.0669167
Stage 3,Q.O.15,"30deg 14' 26.2"" S","115deg 3' 51.5"" E",313741,6652968,12.81,7.8,0.9,39.1,269.73,Lomandra maritima,Lomandra maritima,Asparagaceae,4.78,37.67,0.08,9.6,41.83,14.36,1.89,1.99,0.73,-30.24055556,115.0643056
Stage 3,Q.O.15,"30deg 14' 26.2"" S","115deg 3' 51.5"" E",313741,6652968,12.81,7.8,0.9,39.1,269.73,Lepidosperma calcicola,Lepidosperma calcicola,Cyperaceae,2.96,42.63,4.35,3.5,55.34,12.47,0.72,27.67,0.25,-30.24055556,115.0643056
Stage 3,Q.O.15,"30deg 14' 26.2"" S","115deg 3' 51.5"" E",313741,6652968,12.81,7.8,0.9,39.1,269.73,Beyeria cinerea,Beyeria cinerea,Euphorbiaceae,11.33,46.2,0.5,32.4,81.51,13.3,1.94,3.98,0.81,-30.24055556,115.0643056
Stage 3,Q.O.15,"30deg 14' 26.2"" S","115deg 3' 51.5"" E",313741,6652968,12.81,7.8,0.9,39.1,269.73,Acacia lasiocarpa,Acacia lasiocarpa,Fabaceae,5.19,52.2,1.01,12.4,55.77,10.31,2.15,5.77,0.55,-30.24055556,115.0643056
Stage 3,Q.O.15,"30deg 14' 26.2"" S","115deg 3' 51.5"" E",313741,6652968,12.81,7.8,0.9,39.1,269.73,Acacia rostellifera (Summer-scented Wattle),Acacia rostellifera,Fabaceae,11.29,47.9,0.15,31.9,50.18,10,2.17,7.17,0.95,-30.24055556,115.0643056
Stage 3,Q.O.15,"30deg 14' 26.2"" S","115deg 3' 51.5"" E",313741,6652968,12.81,7.8,0.9,39.1,269.73,"Conostylis candicans subsp, calcicola",Conostylis candicans subsp. calcicola,Haemodoraceae,4.18,45.34,2.95,8.6,55.78,10.5,1.47,63.75,0.36,-30.24055556,115.0643056
Stage 3,Q.O.15,"30deg 14' 26.2"" S","115deg 3' 51.5"" E",313741,6652968,12.81,7.8,0.9,39.1,269.73,Melaleuca systena,Melaleuca systena,Myrtaceae,7.78,49.47,0.36,17.6,79.77,8.77,6.17,3.89,1.79,-30.24055556,115.0643056
Stage 3,Q.O.15,"30deg 14' 26.2"" S","115deg 3' 51.5"" E",313741,6652968,12.81,7.8,0.9,39.1,269.73,Phyllanthus calycinus,Phyllanthus calycinus,Phyllanthaceae,9.38,48.06,0.1,23.1,46.9,11.61,3.08,24.39,0.77,-30.24055556,115.0643056
Stage 3,Q.O.15,"30deg 14' 26.2"" S","115deg 3' 51.5"" E",313741,6652968,12.81,7.8,0.9,39.1,269.73,Austrostipa flavescens,Austrostipa flavescens,Poaceae,5.4,44.17,7.34,9.2,76.35,11.1,1.26,7.45,0.56,-30.24055556,115.0643056
Stage 3,Q.O.15,"30deg 14' 26.2"" S","115deg 3' 51.5"" E",313741,6652968,12.81,7.8,0.9,39.1,269.73,Desmocladus asper,Desmocladus asper,Restionaceae,3.39,40.57,3.87,3.6,65.87,11.76,1.15,11.98,0.27,-30.24055556,115.0643056
Stage 3,Q.O.15,"30deg 14' 26.2"" S","115deg 3' 51.5"" E",313741,6652968,12.81,7.8,0.9,39.1,269.73,"Stenanthemum notiale subsp, notiale",Stenanthemum notiale subsp. notiale,Rhamnaceae,6.95,43.69,0.3,17.2,77.22,13.36,1.95,9.65,0.7,-30.24055556,115.0643056
Stage 3,Q.O.15,"30deg 14' 26.2"" S","115deg 3' 51.5"" E",313741,6652968,12.81,7.8,0.9,39.1,269.73,Opercularia spermacocea,Opercularia spermacocea,Rubiaceae,12.38,42.45,0.29,6.6,57.88,10.9,5.99,5.99,1.23,-30.24055556,115.0643056
Stage 3,Q.O.17,"30deg 12' 49.2"" S","115deg 3' 50.0"" E",313650,6655953,10.09,7.84,0.7,19.4,169.54,Acanthocarpus preissii,Acanthocarpus preissii,Asparagaceae,4.6,37.38,0.14,8.2,74,15.54,1.21,4,0.8,-30.21361111,115.0638889
Stage 3,Q.O.17,"30deg 12' 49.2"" S","115deg 3' 50.0"" E",313650,6655953,10.09,7.84,0.7,19.4,169.54,Lomandra maritima,Lomandra maritima,Asparagaceae,3.89,36.65,0.11,8.5,53.1,10.76,1.24,3.54,0.67,-30.21361111,115.0638889
Stage 3,Q.O.17,"30deg 12' 49.2"" S","115deg 3' 50.0"" E",313650,6655953,10.09,7.84,0.7,19.4,169.54,Lepidosperma calcicola,Lepidosperma calcicola,Cyperaceae,5.14,42.31,7.71,6,41.5,13.16,0.78,21.74,0.37,-30.21361111,115.0638889
Stage 3,Q.O.17,"30deg 12' 49.2"" S","115deg 3' 50.0"" E",313650,6655953,10.09,7.84,0.7,19.4,169.54,Schoenus grandiflorus (Large Flowered Bogrush),Schoenus grandiflorus,Cyperaceae,5.48,44.93,4.07,9.2,88.06,14.44,0.85,15.66,0.59,-30.21361111,115.0638889
Stage 3,Q.O.17,"30deg 12' 49.2"" S","115deg 3' 50.0"" E",313650,6655953,10.09,7.84,0.7,19.4,169.54,Leucopogon insularis,Leucopogon insularis,Ericaceae,4.62,47.33,0.39,13.8,76.92,7.23,1.76,7.69,0.4,-30.21361111,115.0638889
Stage 3,Q.O.17,"30deg 12' 49.2"" S","115deg 3' 50.0"" E",313650,6655953,10.09,7.84,0.7,19.4,169.54,Beyeria cinerea,Beyeria cinerea,Euphorbiaceae,14.26,49.58,0.4,41.6,89.11,11.96,3.5,3.96,0.64,-30.21361111,115.0638889
Stage 3,Q.O.17,"30deg 12' 49.2"" S","115deg 3' 50.0"" E",313650,6655953,10.09,7.84,0.7,19.4,169.54,Acacia lasiocarpa,Acacia lasiocarpa,Fabaceae,3.7,50.62,0.66,10.2,76.02,10.35,1.68,5.85,0.71,-30.21361111,115.0638889
Stage 3,Q.O.17,"30deg 12' 49.2"" S","115deg 3' 50.0"" E",313650,6655953,10.09,7.84,0.7,19.4,169.54,"Conostylis candicans subsp, calcicola",Conostylis candicans subsp. calcicola,Haemodoraceae,5.88,42.34,2.66,6.5,125.24,22.2,1.31,39.85,0.42,-30.21361111,115.0638889
Stage 3,Q.O.17,"30deg 12' 49.2"" S","115deg 3' 50.0"" E",313650,6655953,10.09,7.84,0.7,19.4,169.54,Melaleuca systena,Melaleuca systena,Myrtaceae,5.59,48.23,0.41,12.8,103.79,8.74,6.81,7.98,1.06,-30.21361111,115.0638889
Stage 3,Q.O.17,"30deg 12' 49.2"" S","115deg 3' 50.0"" E",313650,6655953,10.09,7.84,0.7,19.4,169.54,Desmocladus asper,Desmocladus asper,Restionaceae,4.98,39.56,6.87,5.9,105.58,10.64,1.7,27.89,0.41,-30.21361111,115.0638889
Stage 3,Q.O.17,"30deg 12' 49.2"" S","115deg 3' 50.0"" E",313650,6655953,10.09,7.84,0.7,19.4,169.54,"Stenanthemum notiale subsp, notiale",Stenanthemum notiale subsp. notiale,Rhamnaceae,11.57,40.99,0.45,35.1,105.88,12.35,3.24,3.92,0.57,-30.21361111,115.0638889
Stage 3,Q.O.24,"30deg 16' 15.2"" S","115deg 4' 14.9"" E",314424,6649622,11.78,7.72,0.7,24.5,214.53,Lomandra maritima,Lomandra maritima,Asparagaceae,4.2,41.51,0.1,8.7,82,13.36,1.16,6,0.43,-30.27083333,115.0708056
Stage 3,Q.O.24,"30deg 16' 15.2"" S","115deg 4' 14.9"" E",314424,6649622,11.78,7.72,0.7,24.5,214.53,Lepidosperma calcicola,Lepidosperma calcicola,Cyperaceae,4.18,45.27,9.7,4.2,87.45,10.51,0.76,26.62,0.17,-30.27083333,115.0708056
Stage 3,Q.O.24,"30deg 16' 15.2"" S","115deg 4' 14.9"" E",314424,6649622,11.78,7.72,0.7,24.5,214.53,Acacia lasiocarpa,Acacia lasiocarpa,Fabaceae,4.08,50.06,0.47,9.3,89.32,8.56,1.4,7.77,0.44,-30.27083333,115.0708056
Stage 3,Q.O.24,"30deg 16' 15.2"" S","115deg 4' 14.9"" E",314424,6649622,11.78,7.72,0.7,24.5,214.53,"Conostylis candicans subsp, calcicola",Conostylis candicans subsp. calcicola,Haemodoraceae,4.2,46.01,1.86,6.1,74,15,1.13,102,0.35,-30.27083333,115.0708056
Stage 3,Q.O.24,"30deg 16' 15.2"" S","115deg 4' 14.9"" E",314424,6649622,11.78,7.72,0.7,24.5,214.53,Melaleuca systena,Melaleuca systena,Myrtaceae,6.48,52.4,0.48,13.7,111.98,7.8,4.89,9.82,0.39,-30.27083333,115.0708056
Stage 3,Q.O.24,"30deg 16' 15.2"" S","115deg 4' 14.9"" E",314424,6649622,11.78,7.72,0.7,24.5,214.53,Austrostipa flavescens,Austrostipa flavescens,Poaceae,6.98,45.16,7.33,11.1,114.34,13.6,1.57,9.69,0.46,-30.27083333,115.0708056
Stage 3,Q.O.24,"30deg 16' 15.2"" S","115deg 4' 14.9"" E",314424,6649622,11.78,7.72,0.7,24.5,214.53,Desmocladus asper,Desmocladus asper,Restionaceae,3.17,44.47,4.76,3.7,117.06,8.06,1.29,13.89,0.18,-30.27083333,115.0708056
Stage 3,Q.O.24,"30deg 16' 15.2"" S","115deg 4' 14.9"" E",314424,6649622,11.78,7.72,0.7,24.5,214.53,"Stenanthemum notiale subsp, notiale",Stenanthemum notiale subsp. notiale,Rhamnaceae,9.54,49.12,0.44,25.8,129.22,11.19,2.52,7.95,0.47,-30.27083333,115.0708056
Stage 3,Q.O.5,"30deg 13' 32.4"" S","115deg 3' 53.6"" E",313769,6654625,8.32,7.88,0.6,26.2,206.42,Acanthocarpus preissii,Acanthocarpus preissii,Asparagaceae,5.18,41.94,0.26,7.2,107.57,12.83,1.26,5.98,0.85,-30.22555556,115.0648889
Stage 3,Q.O.5,"30deg 13' 32.4"" S","115deg 3' 53.6"" E",313769,6654625,8.32,7.88,0.6,26.2,206.42,Lomandra maritima,Lomandra maritima,Asparagaceae,3.86,40.28,0.11,8.1,36.68,11.99,1.22,3.86,0.56,-30.22555556,115.0648889
Stage 3,Q.O.5,"30deg 13' 32.4"" S","115deg 3' 53.6"" E",313769,6654625,8.32,7.88,0.6,26.2,206.42,Lepidosperma calcicola,Lepidosperma calcicola,Cyperaceae,3.32,42.89,6.21,4.1,29.67,10.79,0.8,15.71,0.22,-30.22555556,115.0648889
Stage 3,Q.O.5,"30deg 13' 32.4"" S","115deg 3' 53.6"" E",313769,6654625,8.32,7.88,0.6,26.2,206.42,Beyeria cinerea,Beyeria cinerea,Euphorbiaceae,13.29,43.18,0.36,40.9,71.43,11.09,3.77,9.92,0.71,-30.22555556,115.0648889
Stage 3,Q.O.5,"30deg 13' 32.4"" S","115deg 3' 53.6"" E",313769,6654625,8.32,7.88,0.6,26.2,206.42,Acacia lasiocarpa,Acacia lasiocarpa,Fabaceae,5.04,47.37,0.46,13.6,60.08,10.12,2.31,5.81,0.55,-30.22555556,115.0648889
Stage 3,Q.O.5,"30deg 13' 32.4"" S","115deg 3' 53.6"" E",313769,6654625,8.32,7.88,0.6,26.2,206.42,Acacia rostellifera (Summer-scented Wattle),Acacia rostellifera,Fabaceae,11.53,46.83,0.27,28,73.56,13.84,1.8,3.98,0.99,-30.22555556,115.0648889
Stage 3,Q.O.5,"30deg 13' 32.4"" S","115deg 3' 53.6"" E",313769,6654625,8.32,7.88,0.6,26.2,206.42,"Conostylis candicans subsp, calcicola",Conostylis candicans subsp. calcicola,Haemodoraceae,4.6,45.86,3.4,7.9,64,15.16,1.4,74,0.43,-30.22555556,115.0648889
Stage 3,Q.O.5,"30deg 13' 32.4"" S","115deg 3' 53.6"" E",313769,6654625,8.32,7.88,0.6,26.2,206.42,Rytidosperma occidentale,Rytidosperma occidentale,Poaceae,6,42.09,7.78,7.5,98,20.2,1.64,10,0.54,-30.22555556,115.0648889
Stage 3,Q.O.5,"30deg 13' 32.4"" S","115deg 3' 53.6"" E",313769,6654625,8.32,7.88,0.6,26.2,206.42,Desmocladus asper,Desmocladus asper,Restionaceae,4.52,40.22,7.03,5.3,72.69,11.43,1.73,21.61,0.27,-30.22555556,115.0648889
Stage 3,Q.O.5,"30deg 13' 32.4"" S","115deg 3' 53.6"" E",313769,6654625,8.32,7.88,0.6,26.2,206.42,Cryptandra pungens,Cryptandra pungens,Rhamnaceae,9.34,43.03,0.37,25.5,71.98,11.21,4.16,17.51,0.7,-30.22555556,115.0648889
Stage 3,Q.O.5,"30deg 13' 32.4"" S","115deg 3' 53.6"" E",313769,6654625,8.32,7.88,0.6,26.2,206.42,"Stenanthemum notiale subsp, notiale",Stenanthemum notiale subsp. notiale,Rhamnaceae,10.72,53.92,0.39,6.3,,8.03,2.77,17.54,0.42,-30.22555556,115.0648889
Stage 3,Q.O.5,"30deg 13' 32.4"" S","115deg 3' 53.6"" E",313769,6654625,8.32,7.88,0.6,26.2,206.42,Opercularia spermacocea,Opercularia spermacocea,Rubiaceae,15.19,44.88,0.43,39.4,51.28,11.54,5.7,5.92,0.92,-30.22555556,115.0648889
Stage 4,S.W.14,"30deg 4' 57.5"" S","115deg 3' 8.9"" E",312303,6670458,3.04,5.82,0.2,0,20.44,Lepidosperma costale,Lepidosperma costale,Cyperaceae,4.43,38.77,9.67,2.4,40.46,16.47,0.65,38.54,0.27,-30.0825,115.0524722
Stage 4,S.W.14,"30deg 4' 57.5"" S","115deg 3' 8.9"" E",312303,6670458,3.04,5.82,0.2,0,20.44,Mesomelaena pseudostygia,Mesomelaena pseudostygia,Cyperaceae,10.68,39.27,33.79,7.5,33.01,9.92,0.37,31.07,0.2,-30.0825,115.0524722
Stage 4,S.W.14,"30deg 4' 57.5"" S","115deg 3' 8.9"" E",312303,6670458,3.04,5.82,0.2,0,20.44,Hibbertia hypericoides (Yellow Buttercups),Hibbertia hypericoides,Dilleniaceae,5.95,51.57,7.18,9.9,55.56,10.77,2.16,9.92,0.31,-30.0825,115.0524722
Stage 4,S.W.14,"30deg 4' 57.5"" S","115deg 3' 8.9"" E",312303,6670458,3.04,5.82,0.2,0,20.44,Andersonia heterophylla,Andersonia heterophylla,Ericaceae,2.65,44.18,0.2,6.7,60.61,8.35,0.68,32.2,0.45,-30.0825,115.0524722
Stage 4,S.W.14,"30deg 4' 57.5"" S","115deg 3' 8.9"" E",312303,6670458,3.04,5.82,0.2,0,20.44,Gastrolobium linearifolium,Gastrolobium linearifolium,Fabaceae,2.51,40.17,0.2,3.2,54.16,12.75,1.25,5.8,0.31,-30.0825,115.0524722
Stage 4,S.W.14,"30deg 4' 57.5"" S","115deg 3' 8.9"" E",312303,6670458,3.04,5.82,0.2,0,20.44,Labichea cassioides,Labichea cassioides,Fabaceae,4.69,47,3.75,7.8,74.22,13.34,1.95,23.44,0.69,-30.0825,115.0524722
Stage 4,S.W.14,"30deg 4' 57.5"" S","115deg 3' 8.9"" E",312303,6670458,3.04,5.82,0.2,0,20.44,Scaevola canescens (Grey Scaevola),Scaevola canescens,Goodeniaceae,10.74,43.31,0.58,22.4,111.11,13.56,2.91,11.11,0.36,-30.0825,115.0524722
Stage 4,S.W.14,"30deg 4' 57.5"" S","115deg 3' 8.9"" E",312303,6670458,3.04,5.82,0.2,0,20.44,"Conostylis candicans subsp, calcicola",Conostylis candicans subsp. calcicola,Haemodoraceae,3.81,42.85,3.39,4.4,83.81,15.89,0.8,32.38,0.23,-30.0825,115.0524722
Stage 4,S.W.14,"30deg 4' 57.5"" S","115deg 3' 8.9"" E",312303,6670458,3.04,5.82,0.2,0,20.44,Melaleuca leuropoma,Melaleuca leuropoma,Myrtaceae,6.62,47.29,0.2,16,69.85,10.26,4.52,23.9,0.79,-30.0825,115.0524722
Stage 4,S.W.14,"30deg 4' 57.5"" S","115deg 3' 8.9"" E",312303,6670458,3.04,5.82,0.2,0,20.44,Scholtzia umbellifera,Scholtzia umbellifera,Myrtaceae,5.11,60.06,0.34,13,56.97,11.59,1.93,15.72,0.37,-30.0825,115.0524722
Stage 4,S.W.14,"30deg 4' 57.5"" S","115deg 3' 8.9"" E",312303,6670458,3.04,5.82,0.2,0,20.44,"Banksia leptophylla var, melletica",Banksia leptophylla var. melletica,Proteaceae,2.64,40.9,1.03,3.2,60.26,7.93,0.94,41.43,0.49,-30.0825,115.0524722
Stage 4,S.W.14,"30deg 4' 57.5"" S","115deg 3' 8.9"" E",312303,6670458,3.04,5.82,0.2,0,20.44,Hakea incrassata (Marble Hakea),Hakea incrassata,Proteaceae,4.11,44.03,0.27,7.1,39.25,10.49,1.56,9.35,0.28,-30.0825,115.0524722
Stage 4,S.W.14,"30deg 4' 57.5"" S","115deg 3' 8.9"" E",312303,6670458,3.04,5.82,0.2,0,20.44,Hakea lissocarpha (Honey Bush),Hakea lissocarpha,Proteaceae,4.66,43.61,0.4,8.7,54.1,10.11,3.88,20.52,0.32,-30.0825,115.0524722
Stage 4,S.W.14,"30deg 4' 57.5"" S","115deg 3' 8.9"" E",312303,6670458,3.04,5.82,0.2,0,20.44,Desmocladus asper,Desmocladus asper,Restionaceae,3.54,40.36,6.15,2.2,108.06,13.48,0.56,43.22,0.16,-30.0825,115.0524722
Stage 4,S.W.14,"30deg 4' 57.5"" S","115deg 3' 8.9"" E",312303,6670458,3.04,5.82,0.2,0,20.44,Lepidobolus preissianus,Lepidobolus preissianus,Restionaceae,3.16,35.95,5.63,3.3,29.74,10.24,0.84,53.9,0.18,-30.0825,115.0524722
Stage 4,S.W.17,"30deg 13' 43.1"" S","115deg 4' 6.6"" E",314122,6654301,2.99,5.73,0.2,0,17.74,Lepidosperma calcicola,Lepidosperma calcicola,Cyperaceae,5.03,37.01,8.49,3.6,57.73,17.3,0.68,65.18,0.33,-30.22861111,115.0685
Stage 4,S.W.17,"30deg 13' 43.1"" S","115deg 4' 6.6"" E",314122,6654301,2.99,5.73,0.2,0,17.74,Mesomelaena pseudostygia,Mesomelaena pseudostygia,Cyperaceae,12.03,39.99,43,9.7,41.42,7.4,0.99,21.7,0.17,-30.22861111,115.0685
Stage 4,S.W.17,"30deg 13' 43.1"" S","115deg 4' 6.6"" E",314122,6654301,2.99,5.73,0.2,0,17.74,Schoenus brevisetis,Schoenus brevisetis,Cyperaceae,5.34,42.64,12.53,3.6,71.15,8.91,0.73,17.79,0.29,-30.22861111,115.0685
Stage 4,S.W.17,"30deg 13' 43.1"" S","115deg 4' 6.6"" E",314122,6654301,2.99,5.73,0.2,0,17.74,Beyeria cinerea,Beyeria cinerea,Euphorbiaceae,8.6,46.95,0.32,22.6,110,13.7,2.66,12,0.52,-30.22861111,115.0685
Stage 4,S.W.17,"30deg 13' 43.1"" S","115deg 4' 6.6"" E",314122,6654301,2.99,5.73,0.2,0,17.74,Acacia lasiocarpa,Acacia lasiocarpa,Fabaceae,3.72,44.06,1.36,7.9,68.49,12.21,1.01,17.61,0.51,-30.22861111,115.0685
Stage 4,S.W.17,"30deg 13' 43.1"" S","115deg 4' 6.6"" E",314122,6654301,2.99,5.73,0.2,0,17.74,Gompholobium tomentosum (Hairy Yellow Pea),Gompholobium tomentosum,Fabaceae,3.2,39.49,0.36,6,76,9.9,1.3,12,0.45,-30.22861111,115.0685
Stage 4,S.W.17,"30deg 13' 43.1"" S","115deg 4' 6.6"" E",314122,6654301,2.99,5.73,0.2,0,17.74,Labichea cassioides,Labichea cassioides,Fabaceae,4.28,42.14,3.5,6.3,73.93,12.61,1.61,11.67,0.55,-30.22861111,115.0685
Stage 4,S.W.17,"30deg 13' 43.1"" S","115deg 4' 6.6"" E",314122,6654301,2.99,5.73,0.2,0,17.74,"Conostylis candicans subsp, candicans",Conostylis candicans subsp. candicans,Haemodoraceae,4.17,40.73,3.23,6.8,91.27,13.81,1.12,53.57,0.39,-30.22861111,115.0685
Stage 4,S.W.17,"30deg 13' 43.1"" S","115deg 4' 6.6"" E",314122,6654301,2.99,5.73,0.2,0,17.74,"Calothamnus quadrifidus subsp, quadrifidus",Calothamnus quadrifidus subsp. quadrifidus,Myrtaceae,4.39,43.31,0.17,9.2,47.9,8.68,3.09,9.98,0.82,-30.22861111,115.0685
Stage 4,S.W.17,"30deg 13' 43.1"" S","115deg 4' 6.6"" E",314122,6654301,2.99,5.73,0.2,0,17.74,Calytrix strigosa,Calytrix strigosa,Myrtaceae,4.8,53.41,0.36,10.2,72.94,10.83,1.79,7.68,0.41,-30.22861111,115.0685
Stage 4,S.W.17,"30deg 13' 43.1"" S","115deg 4' 6.6"" E",314122,6654301,2.99,5.73,0.2,0,17.74,Melaleuca systena,Melaleuca systena,Myrtaceae,3.59,52.43,0.4,6.4,95.81,8.22,2.83,17.96,0.43,-30.22861111,115.0685
Stage 4,S.W.17,"30deg 13' 43.1"" S","115deg 4' 6.6"" E",314122,6654301,2.99,5.73,0.2,0,17.74,"Banksia leptophylla var, melletica",Banksia leptophylla var. melletica,Proteaceae,4.17,51.83,5.54,5.9,117.65,7.29,1.57,111.95,0.42,-30.22861111,115.0685
Stage 4,S.W.17,"30deg 13' 43.1"" S","115deg 4' 6.6"" E",314122,6654301,2.99,5.73,0.2,0,17.74,"Banksia sessilis var, cygnorum",Banksia sessilis var. cygnorum,Proteaceae,2.39,39.83,0.58,4.2,113.55,7.67,1.05,161.35,0.3,-30.22861111,115.0685
Stage 4,S.W.17,"30deg 13' 43.1"" S","115deg 4' 6.6"" E",314122,6654301,2.99,5.73,0.2,0,17.74,Desmocladus asper,Desmocladus asper,Restionaceae,4.37,36.4,8.69,2.6,147.54,11.79,0.61,83.79,0.24,-30.22861111,115.0685
Stage 4,S.W.17,"30deg 13' 43.1"" S","115deg 4' 6.6"" E",314122,6654301,2.99,5.73,0.2,0,17.74,"Stenanthemum notiale subsp, notiale",Stenanthemum notiale subsp. notiale,Rhamnaceae,5.11,48.1,0.37,10.8,88.41,12.71,1.35,9.82,0.62,-30.22861111,115.0685
Stage 4,S.W.34,"30deg 1' 39.3"" S","115deg 2' 20.0"" E",310889,6676538,4.21,6.07,0.1,0,12.83,Lomandra maritima,Lomandra maritima,Asparagaceae,3.46,55.39,0.19,6.6,74.68,10.73,0.83,5.46,0.38,-30.0275,115.0388889
Stage 4,S.W.34,"30deg 1' 39.3"" S","115deg 2' 20.0"" E",310889,6676538,4.21,6.07,0.1,0,12.83,Mesomelaena pseudostygia,Mesomelaena pseudostygia,Cyperaceae,4.07,39.88,8.83,3.6,81.42,10.78,0.81,15.93,0.35,-30.0275,115.0388889
Stage 4,S.W.34,"30deg 1' 39.3"" S","115deg 2' 20.0"" E",310889,6676538,4.21,6.07,0.1,0,12.83,Schoenus brevisetis,Schoenus brevisetis,Cyperaceae,10.65,41.63,5.42,0.8,39.45,,0.11,3.94,,-30.0275,115.0388889
Stage 4,S.W.34,"30deg 1' 39.3"" S","115deg 2' 20.0"" E",310889,6676538,4.21,6.07,0.1,0,12.83,Hibbertia hypericoides (Yellow Buttercups),Hibbertia hypericoides,Dilleniaceae,6.75,49.7,5.99,8.2,52.92,10.36,1.93,12.77,0.29,-30.0275,115.0388889
