Genus_Species,family,Photosynthetic.pathway (confirmed using data from literature or TERN stable isotope analysis),Photosyntehtic.pathway (inferred from lineage),Photosynthetic pathway (combined),Source,Justification for inference based on lineage,Notes 
Corymbia_calophylla,Myrtaceae,C3,,C3,TRY,,
Corymbia_candida,Myrtaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Corymbia_confertiflora,Myrtaceae,C3,,C3,TRY,,
Corymbia_dallachiana,Myrtaceae,C3,,C3,TRY,,
Corymbia_deserticola,Myrtaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Corymbia_dichromophloia,Myrtaceae,C3,,C3,TRY,,
Corymbia_drysdalensis,Myrtaceae,C3,,C3,TRY,,
Corymbia_ferruginea,Myrtaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Corymbia_flavescens,Myrtaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Corymbia_foelscheana,Myrtaceae,C3,,C3,TRY,,
Corymbia_grandifolia,Myrtaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Corymbia_greeniana,Myrtaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Corymbia_gummifera,Myrtaceae,C3,,C3,TRY,,
Corymbia_hamersleyana,Myrtaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Corymbia_opaca,Myrtaceae,C3,,C3,TRY,,
Corymbia_pocillum,Myrtaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Corymbia_polycarpa,Myrtaceae,C3,,C3,TRY,,
Corymbia_porrecta,Myrtaceae,C3,,C3,TRY,,
Corymbia_ptychocarpa,Myrtaceae,C3,,C3,TRY,,
Corymbia_setosa,Myrtaceae,C3,,C3,TRY,,
Corymbia_terminalis,Myrtaceae,C3,,C3,TRY,,
Corynotheca_micrantha,Funariaceae,U,C3,C3,Sage 2016 (and references therein),Moss;No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Cotula_australis,Asteraceae,C3,,C3,TERN SIA,,
Cotula_cotuloides,Asteraceae,U,C3,C3,Photosynthetic Pathway of other species in genus; Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,Photosynthetic Pathway of other species in genus; No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Crassula_colligata,Crassulaceae,U,CAM,CAM,Watson and Dallwitz 1992 onwards; Thiede and Eggli 2007 ,Known CAM lineage ,
Crassula_colorata,Crassulaceae,CAM,,CAM,TRY,,
Crassula_decumbens,Crassulaceae,CAM,,CAM,TRY,,
Crassula_extrorsa,Crassulaceae,U,CAM,CAM,Watson and Dallwitz 1992 onwards; Thiede and Eggli 2007,Known CAM lineage ,
Cratystylis_conocephala,Asteraceae,C3,,C3,TRY,,
Cressa_australis,Convolvulaceae,C3,,C3,TERN SIA,,CAM confirmed in this genus (Watson and Dallwitz 1992); more detailed physiological testing could help provide more detail 
Crotalaria_cunninghamii,Fabaceae,C3,,C3,TRY,,
Crotalaria_dissitiflora,Fabaceae,C3,,C3,TRY,,
Crotalaria_eremaea,Fabaceae,C3,,C3,TERN SIA,,
Crotalaria_juncea,Fabaceae,C3,,C3,TRY,,
Crotalaria_medicaginea,Fabaceae,C3,,C3,TRY,,
Crotalaria_montana,Fabaceae,C3,,C3,TRY,,
Crotalaria_novae-hollandiae,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Crotalaria_ramosissima,Fabaceae,C3,,C3,TRY,,
Crotalaria_smithiana,Fabaceae,C3,,C3,TERN SIA,,
Croton_arnhemicus,Euphorbiaceae,C3,,C3,TRY,,
Cryptandra_amara,Rhamnaceae,C3,,C3,TRY,,
Cryptandra_apetala,Rhamnaceae,U,C3,C3,Sage 2016 (and references therein),No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Cryptandra_crispula,Rhamnaceae,U,C3,C3,Sage 2016 (and references therein),No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Cryptandra_minutifolia,Rhamnaceae,U,C3,C3,Sage 2016 (and references therein),No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Cryptandra_polyclada,Rhamnaceae,U,C3,C3,Sage 2016 (and references therein),No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Cryptandra_tomentosa,Rhamnaceae,U,C3,C3,Sage 2016 (and references therein),No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Cryptandra_wilsonii,Rhamnaceae,U,C3,C3,Sage 2016 (and references therein),No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Cryptostegia_grandiflora,Apocynaceae,C3,,C3,TERN SIA,,"C3 and CAM are in this family, numerous genera untested; further testing of anatomy justified as isotope values may not be comprehensive  "
Cucumis_argenteus,Cucurbitaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4/CAM species in this lineage; Other known species in this lineage (genus) are almost exclusviely C3,
Cucumis_melo,Cucurbitaceae,C3,,C3,TRY,,
Cucumis_picrocarpus,Cucurbitaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4/CAM species in this lineage; Other known species in this lineage (genus) are almost exclusviely C3,
Cullen_australasicum,Fabaceae,C3,,C3,TRY,,
Cullen_badocanum,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Cullen_cinereum,Fabaceae,C3,,C3,TRY,,
Cullen_discolor,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Cullen_graveolens,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Cullen_patens,Fabaceae,C3,,C3,TRY,,
Cupaniopsis_anacardioides,Sapindaceae,C3,,C3,TRY,,
Cuphonotus_humistratus,Brassicaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,"No evidence of a C4 species in this lineage; Most other known species in this lineage (genus) are C3, C3_C4 intermediacy only found in Moricandia ",
Cuscuta_planiflora,Convolvulaceae,C3,,C3,TRY,,
Cuscuta_victoriana,Convolvulaceae,C3,,C3,TRY,,
Cyanthillium_cinereum,Asteraceae,C3,,C3,TERN SIA,,
Cycas_armstrongii,Cycadaceae,C3,,C3,TRY,,
Cymbopogon_ambiguus,Poaceae,C4,,C4,TERN SIA,,
Cymbopogon_bombycinus,Poaceae,C4,,C4,TERN SIA,,
Cymbopogon_obtectus,Poaceae,C4,,C4,TRY,,
Cynanchum_viminale,Apocynaceae,U,CAM,CAM,Holtum et al. 2016 ,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Cynodon_convergens,Poaceae,C4,,C4,TERN SIA,,
Cynodon_dactylon,Poaceae,C4,,C4,TRY,,
Cynosurus_echinatus,Poaceae,C3,,C3,TRY,,
Cyperus_alterniflorus,Cyperaceae,C3,,C3,Besnard et al. 2009,,
Cyperus_astartodes,Cyperaceae,C4,,C4,Bruhl and Wilson 2007,,
Cyperus_betchei,Cyperaceae,C4,,C4,TERN SIA,,
Cyperus_bifax,Cyperaceae,C4,,C4,TRY,,
Cyperus_conicus,Cyperaceae,C4,,C4,TRY,,
Cyperus_decompositus,Cyperaceae,C4,,C4,TRY,,
Cyperus_fulvus,Cyperaceae,C4,,C4,TERN SIA,,
Cyperus_gilesii,Cyperaceae,C4,,C4,TRY,,
Cyperus_gymnocaulos,Cyperaceae,C3,,C3,TRY,,
Cyperus_holoschoenus,Cyperaceae,C4,,C4,TRY,,
Cyperus_iria,Cyperaceae,C4,,C4,TRY,,
Cyperus_nervulosus,Cyperaceae,C3,,C3,TERN SIA,,
Cyperus_pulchellus,Cyperaceae,C3,,C3,TRY,,
Cyperus_sexflorus,Cyperaceae,C4,,C4,TERN SIA,,
Cyperus_squarrosus,Cyperaceae,C4,,C4,TRY,,
Cyperus_vaginatus,Cyperaceae,C3,,C3,TRY,,
Cyperus_victoriensis,Cyperaceae,C4,,C4,TRY,,
Dactylis_glomerata,Poaceae,C3,,C3,TRY,,
Dactyloctenium_radulans,Poaceae,C4,,C4,TRY,,
Dampiera_altissima,Goodeniaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Dampiera_candicans,Goodeniaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Dampiera_cinerea,Goodeniaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Dampiera_dysantha,Goodeniaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Dampiera_lavandulacea,Goodeniaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Dampiera_lindleyi,Goodeniaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Dampiera_linearis,Goodeniaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Dampiera_pedunculata,Goodeniaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Dampiera_purpurea,Goodeniaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Dampiera_spicigera,Goodeniaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Dampiera_stenostachya,Goodeniaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Dampiera_stricta,Goodeniaceae,C3,,C3,TRY,,
Dasypogon_bromeliifolius,Dasypogonaceae,C3,,C3,TRY,,
Daucus_glochidiatus,Apiaceae,C3,,C3,TRY,,
Daviesia_alata,Fabaceae,C3,,C3,TRY,,
Daviesia_argillacea,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Daviesia_brachyphylla,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Daviesia_hakeoides,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Daviesia_incrassata,Fabaceae,C3,,C3,TRY,,
Daviesia_latifolia,Fabaceae,C3,,C3,TRY,,
Daviesia_leptophylla,Fabaceae,C3,,C3,TRY,,
Daviesia_sarissa,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Daviesia_ulicifolia,Fabaceae,C3,,C3,TRY,,
Dendrophthoe_vitellina,Loranthaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards; Ting (1989),No evidence of C4 or CAM,
Denhamia_cunninghamii,Celastraceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Denhamia_obscura,Celastraceae,C3,,C3,TRY,,
Denhamia_oleaster,Celastraceae,C3,,C3,TRY,,
Desmocladus_asper,Restionaceae,U,C3,C3,Sage 2016 (and references therein),No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Desmocladus_fasciculatus,Restionaceae,U,C3,C3,Sage 2016 (and references therein),No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Desmocladus_flexuosus,Restionaceae,C3,,C3,TERN SIA,,
Desmocladus_lateriflorus,Restionaceae,U,C3,C3,Sage 2016 (and references therein),No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Desmocladus_laxiflorus,Restionaceae,U,C3,C3,Sage 2016 (and references therein),No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Desmodium_brachypodum,Fabaceae,C3,,C3,TRY,,
Desmodium_campylocaulon,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Desmodium_filiforme,Fabaceae,C3,,C3,TRY,,
Desmodium_muelleri,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Desmodium_pullenii,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Dianella_brevicaulis,Hemerocallidaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Dianella_revoluta,Hemerocallidaceae,C3,,C3,TRY,,
Dichanthium_annulatum,Poaceae,C4,,C4,TRY,,
Dichanthium_aristatum,Poaceae,C4,,C4,TRY,,
Dichanthium_fecundum,Poaceae,C4,,C4,TRY,,
Dichanthium_sericeum,Poaceae,C4,,C4,TRY,,
Dichelachne_crinita,Poaceae,C3,,C3,TERN SIA,,
Dichelachne_hirtella,Poaceae,U,C3,C3,Photosynthetic Pathway of other species in genus; Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,Photosynthetic Pathway of other species in genus ,
Dichelachne_micrantha,Poaceae,C3,,C3,TERN SIA,,
Dichondra_repens,Convolvulaceae,C3,,C3,TRY,,
Dicranoloma_menziesii,Dicanaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,Moss; No evidence of a C4 species in this lineage,
Dicrastylis_cordifolia,Lamiaceae,U,C3,C3,Photosynthetic Pathway of other species in genus; Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Dicrastylis_costelloi,Lamiaceae,C3,,C3,TERN SIA,,
Dicrastylis_fulva,Lamiaceae,U,,C3,Photosynthetic Pathway of other species in genus; Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Dicrastylis_lewellinii,Lamiaceae,U,,C3,Photosynthetic Pathway of other species in genus; Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Digitaria_ammophila,Poaceae,C4,,C4,TERN SIA,,
Digitaria_bicornis,Poaceae,C4,,C4,TRY,,
Digitaria_brownii,Poaceae,C4,,C4,TRY,,
Digitaria_divaricatissima,Poaceae,C4,,C4,TRY,,
Digitaria_gibbosa,Poaceae,C4,,C4,TERN SIA,,
Digitaria_longiflora,Poaceae,C4,,C4,TRY,,
Digitaria_papposa,Poaceae,C4,,C4,TRY,,
Dillwynia_hispida,Fabaceae,C3,,C3,TRY,,
Dillwynia_retorta,Fabaceae,C3,,C3,TRY,,
Dimeria_ornithopoda,Poaceae,C4,,C4,TERN SIA,,
Dinebra_neesii,Poaceae,C4,,C4,TERN SIA,,
Diospyros_humilis,Ebenaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,Tree; No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Diplachne_fusca,Poaceae,C4,,C4,TRY,,
Disphyma_crassifolium,Aizoaceae,CAM,,CAM,Holtum et al. 2016 ,,
Dissocarpus_biflorus,Chenopodiaceae,C3,,C3,Pate et al 1998;TERN SIA,,
Dissocarpus_fontinalis,Chenopodiaceae,C3,,C3,TERN SIA,,
Dissocarpus_paradoxus,Chenopodiaceae,C3,,C3,TRY,,
Dodonaea_physocarpa,Sapindaceae,C3,,C3,TERN SIA,,
Dodonaea_viscosa,Sapindaceae,C3,,C3,TERN SIA,,Pate et al 1998
Dolichandrone_filiformis,Bignoniaceae,C3,,C3,TRY,,
Dolichandrone_heterophylla,Bignoniaceae,C3,,C3,TRY,,
Drosera_andersoniana,Droseraceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,Carnivorous plants are C3; No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Drosera_androsacea,Droseraceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,Carnivorous plants are C3; No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Drosera_arcturi,Droseraceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,Carnivorous plants are C3; No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Drosera_auriculata,Droseraceae,C3,,C3,TRY,,
Drosera_bulbosa,Droseraceae,C3,,C3,TRY,,
Drosera_derbyensis,Droseraceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,Carnivorous plants are C3; No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Drosera_erythrorhiza,Droseraceae,C3,,C3,TRY,,
Drosera_glanduligera,Droseraceae,C3,,C3,TRY,,
Drosera_hirsuta,Droseraceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,Carnivorous plants are C3; No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Drosera_huegelii,Droseraceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,Carnivorous plants are C3; No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Drosera_indica,Droseraceae,C3,,C3,TRY,,
Drosera_lanata,Droseraceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,Carnivorous plants are C3; No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Drosera_menziesii,Droseraceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,Carnivorous plants are C3; No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Drosera_moorei,Droseraceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,Carnivorous plants are C3; No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Drosera_pallida,Droseraceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,Carnivorous plants are C3; No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Drosera_peltata,Droseraceae,C3,,C3,TRY,,
Drosera_petiolaris,Droseraceae,C3,,C3,TRY,,
Drosera_prostrata,Droseraceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,Carnivorous plants are C3; No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Drosera_stolonifera,Droseraceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,Carnivorous plants are C3; No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Drosera_subhirtella,Droseraceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,Carnivorous plants are C3; No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Drosera_whittakeri,Droseraceae,C3,,C3,TERN SIA,,
Drummondita_hassellii,Rutaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (family) are C3,
Duma_coccoloboides,Polygonaceae,C3,,C3,TERN SIA,,
Duma_florulenta,Polygonaceae,C3,,C3,TERN SIA,,
Dysphania_cristata,Chenopodiaceae,C3,,C3,TERN SIA,,
Dysphania_kalpari,Chenopodiaceae,C3,,C3,Pate et al 1998,,
Dysphania_melanocarpa,Chenopodiaceae,C3,,C3,TERN SIA,,
Dysphania_rhadinostachya,Chenopodiaceae,C3,,C3,TERN SIA,,
Dysphania_truncata,Chenopodiaceae,C3,,C3,TERN SIA,,
Ecdeiocolea_monostachya,Ecdeiocoleaceae,U,C3,C3,Photosynthetic Pathway of other species in genus; Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,Photosynthetic Pathway of other species in genus,
Echinochloa_colona,Poaceae,C4,,C4,TRY,,
Echium_plantagineum,Boraginaceae,C3,,C3,TRY,,
Ectrosia_gulliveri,Poaceae,C4,,C4,TRY,,
Ectrosia_leporina,Poaceae,C4,,C4,TRY,,
Ectrosia_scabrida,Poaceae,C4,,C4,TRY,,
Ehretia_saligna,Boraginaceae,C3,,C3,TERN SIA,,
Ehrharta_longiflora,Poaceae,C3,,C3,TRY,,
Einadia_hastata,Chenopodiaceae,C3,,C3,TRY,,
Einadia_nutans,Chenopodiaceae,C3,,C3,TRY,,
Elaeocarpus_reticulatus,Elaeocarpaceae,C3,,C3,TRY,,
Eleocharis_acuta,Cyperaceae,C3,,C3,TRY,,
Eleocharis_caespitosissima,Cyperaceae,C4,,C4,Bruhl and Wilson 2007,,
Eleocharis_pallens,Cyperaceae,C3,,C3,TRY,,
Empodisma_minus,Restionaceae,C3,,C3,TRY,,
Enchylaena_lanata,Chenopodiaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Enchylaena_tomentosa,Chenopodiaceae,C3,,C3,TRY,,
Enekbatus_cristatus,Myrtaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (family) are C3,
Enekbatus_cryptandroides,Myrtaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (family) are C3,
Enekbatus_eremaeus,Myrtaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (family) are C3,
Enneapogon_avenaceus,Poaceae,C4,,C4,TRY,,
Enneapogon_caerulescens,Poaceae,C4,,C4,TRY,,
Enneapogon_clelandii,Poaceae,C4,,C4,TRY,,
Enneapogon_cylindricus,Poaceae,C4,,C4,TRY,,
Enneapogon_gracilis,Poaceae,C4,,C4,TRY,,
Enneapogon_intermedius,Poaceae,C4,,C4,TRY,,
Enneapogon_lindleyanus,Poaceae,C4,,C4,TRY,,
Enneapogon_nigricans,Poaceae,C4,,C4,TRY,,
Enneapogon_polyphyllus,Poaceae,C4,,C4,TRY,,
Enneapogon_purpurascens,Poaceae,C4,,C4,TRY,,
Enneapogon_robustissimus,Poaceae,C4,,C4,TRY,,
Enteropogon_acicularis,Poaceae,C4,,C4,TRY,,
Enteropogon_minutus,Poaceae,C4,,C4,TRY,,
Enteropogon_ramosus,Poaceae,C4,,C4,TRY,,
Entolasia_stricta,Poaceae,C3,,C3,TRY,,
Epacris_browniae,Ericaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Epacris_celata,Ericaceae,C3,,C3,TRY,,
Epacris_glacialis,Ericaceae,C3,,C3,TRY,,
Epacris_gunnii,Ericaceae,C3,,C3,TRY,,
Epacris_microphylla,Ericaceae,C3,,C3,TRY,,
Epacris_paludosa,Ericaceae,C3,,C3,TRY,,
Epacris_pulchella,Ericaceae,C3,,C3,TRY,,
Epilobium_gunnianum,Onagraceae,C3,,C3,TRY,,
Epilobium_hirtigerum,Onagraceae,C3,,C3,TRY,,
Eragrostis_barrelieri,Poaceae,C4,,C4,TRY,,
Eragrostis_basedowii,Poaceae,C4,,C4,TERN SIA,,
Eragrostis_cilianensis,Poaceae,C4,,C4,TRY,,
Eragrostis_concinna,Poaceae,C4,,C4,TERN SIA,,
Eragrostis_cumingii,Poaceae,C4,,C4,TRY,,
Eragrostis_curvula,Poaceae,C4,,C4,TRY,,
Eragrostis_desertorum,Poaceae,C4,,C4,TERN SIA,,
Eragrostis_dielsii,Poaceae,C4,,C4,TRY,,Also found in Pate et al 1998
Eragrostis_elongata,Poaceae,C4,,C4,TRY,,
Eragrostis_eriopoda,Poaceae,C4,,C4,TRY,,
Eragrostis_falcata,Poaceae,C4,,C4,TRY,,
Eragrostis_fallax,Poaceae,C4,,C4,TRY,,
Eragrostis_lacunaria,Poaceae,C4,,C4,TRY,,
Eragrostis_laniflora,Poaceae,C4,,C4,TERN SIA,,
Eragrostis_leptocarpa,Poaceae,C4,,C4,TRY,,
Eragrostis_parviflora,Poaceae,C4,,C4,TRY,,
Eragrostis_pergracilis,Poaceae,C4,,C4,TERN SIA,,
Eragrostis_pilosa,Poaceae,C4,,C4,TRY,,
Eragrostis_schultzii,Poaceae,C4,,C4,TERN SIA,,
Eragrostis_setifolia,Poaceae,C4,,C4,TRY,,
Eragrostis_speciosa,Poaceae,C4,,C4,TRY,,
Eragrostis_stagnalis,Poaceae,C4,,C4,TERN SIA,,
Eragrostis_tenellula,Poaceae,C4,,C4,TERN SIA,,
Eragrostis_xerophila,Poaceae,C3,,C3,TERN SIA,,
Eremaea_ebracteata,Myrtaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Eremaea_pauciflora,Myrtaceae,C3,,C3,TRY,,
Eremophea_spinosa,Chenopodiaceae,C3,,C3,TERN SIA,,
Eremophila_alternifolia,Scrophulariaceae,U,C3,C3,Photosynthesis of other species in this genus;Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,Photosynthesis of other species in this genus,
Eremophila_bignoniiflora,Scrophulariaceae,C3,,C3,TRY,,
Eremophila_bowmanii,Scrophulariaceae,C3,,C3,TRY,Pate et al 1998,
Eremophila_caperata,Scrophulariaceae,U,C3,C3,Photosynthesis of other species in this genus;Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,Photosynthesis of other species in this genus,
Eremophila_cordatisepala,Scrophulariaceae,C3,,C3,TERN SIA,,
Eremophila_cuneifolia,Scrophulariaceae,C3,,C3,TERN SIA,,
Eremophila_dempsteri,Scrophulariaceae,C3,,C3,TERN SIA,,
Eremophila_deserti,Scrophulariaceae,C3,,C3,TRY,,
Eremophila_drummondii,Scrophulariaceae,U,C3,C3,Photosynthesis of other species in this genus;Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,Photosynthesis of other species in this genus,
