Current Scientific Name,Species Code,Legal Status,Exotic,2010 Update,Notes on Name / Synonym as used in source reference,Family,Group,Life form,Fireresponse,Comments on regeneration,Resprout location,Seed storage,Seed dispersal mechanism,Seed dispersal distance,Seed weight / size,Seed viability,Dormancy,Germination cue,Fecundity,Seed predation,Post-fire recruitment,Establishment,Post-fire flowering,Flowering time,flowering_time_edited,fruiting_time_edited,Primary juvenile period,Secondary juvenile period,Seed set,Seed-bank developed,Fire tolerance,Life span,Seed-bank longevity,"""Maturity"" (from source)","""Extinction"" (from source)","""Rec. min fire interval"" (from source)","""Rec. max fire interval"" (from source)",NC,CC,SC,NT,CT,ST,NWS,CWS,SWS,NWP,SWP,NFWP,SFWP,Distribution: extra NSW,Vegetation,Rainforest,Wet Sclerophyll Forest (Shrubby),Wet Sclerophyll Forest (Grassy),Grassy Woodland,Grassland,Dry Sclerophyll Forest (Shrub/Grass),Dry Sclerophyll Forest (Shrubby),Heathland,Alpine Complex,Freshwater Wetland,Forested Wetlands,Saline Wetland,Semi-arid Woodland,Arid & Semi-arid Shrubland,NFRR data,Additional fire response data,Other data,VA group,Sensitivity: frequent,Sensitivity: infrequent,Minimum maturity,Maximum maturity,Lifespan > than,Lifespan < than,Lifespan + seed-bank,VA Data,Establishment Data,Maturity Data,Lifespan Data,Lifespan 2 Data,Seedbank Data,time_to_flowering_min,time_to_flowering_max,time_to_flowering_mean,peak_flowering_min,peak_flowering_max,peak_flowering_mean,time_to_fruiting_min,time_to_fruiting_max,time_to_fruiting_mean
Asplenium polyodon,8037,NA,NA,NA,NA,Aspleniaceae,F,F,S,NA,NA,transient,wind,NA,NA,NA,probably no dormancy mechanism,NA,NA,NA,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,-,-,-,-,-,-,-,Q,RF,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8CE,III-R41,1; R41,CR,1,3,NA,NA,NA,NA,NA,1,1,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Asplenium trichomanes,9259,NA,NA,NA,NA,Aspleniaceae,F,F,S,NA,NA,NA,wind,NA,NA,NA,probably no dormancy mechanism,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15-40?,NA,NA,NA,NA,NA,1,-,-,1,1,1,-,1,-,-,-,-,-,V T SA WA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,8CE,NA,1,C,1,4,NA,NA,15,40,40,2,4,4,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Astelia alpina var. novae-hollandiae,7534,NA,NA,n,NA,Asteliaceae,M,H,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,1,-,-,-,-,-,-,-,V,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,V,4,4,NA,NA,NA,NA,NA,2,4,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Astelia psychrocharis,3526,NA,NA,n,NA,Asteliaceae,M,H,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,1,-,-,-,-,-,-,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,V,4,4,NA,NA,NA,NA,NA,2,4,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aster subulatus,1280,NA,*,NA,NA,Asteraceae,D,S,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,-,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8W 8WA,NA,NA,E,5,5,NA,NA,NA,NA,NA,5,4,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Asterolasia asteriscophora subsp. asteriscophora,12190,NA,NA,n,NA,Rutaceae,D,S,S,NA,NA,soil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,spring,Sep-Nov,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,1,-,1,-,-,-,-,-,-,-,V,SF,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,II-134,NA,GI,1,1,4,NA,NA,NA,NA,2,2,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Asterolasia correifolia,5728,NA,NA,n,NA,Rutaceae,D,S,S,NA,basal buds,soil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,spring,Sep-Nov,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,-,1,-,-,-,-,-,NA,WSF,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,II-135,NA,GI,1,1,4,NA,NA,NA,NA,2,2,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Asterolasia elegans,8851,E1,NA,c,NA,Rutaceae,D,S,S,NA,NA,persistent soil,NA,NA,NA,NA,variable (50-100%),heat 70-110,NA,NA,"only a few seedlings between fires, best recruitment after moderate to high intensity fire",I,NA,"spring, Jul-Sep",Jul-Nov,NA,NA,NA,NA,NA,NA,NA,>2,NA,NA,NA,NA,-,1,-,-,-,-,-,-,-,-,-,-,-,-,WSF,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,II-R26,R26; 126,GI,1,1,NA,NA,NA,NA,NA,1,1,4,4,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Asterolasia trymalioides,5730,NA,NA,NA,NA,Rutaceae,D,S,S,NA,NA,persistent soil,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,early summer,Dec,NA,5?,NA,NA,NA,NA,50? (58) / >40 (80),NA,NA,NA,NA,NA,-,-,1,-,-,1,-,-,-,-,-,-,-,V,alpine-H snowgum-F,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,II-58,58; 80,GI,1,1,5,5,40,50,50,1,1,2,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Astroloma humifusum,2584,NA,NA,NA,NA,Epacridaceae,D,S,R,Vegetative response at 71% of sites (78),lignotuber,NA,NA,NA,NA,NA,NA,NA,NA,NA,present at 43% of sites,NA,NA,all year,all year,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,-,1,1,1,1,1,-,1,-,-,T SA,OF W grassy H,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,5W 9VE 9C 5WO 9E 9CH 9WA,V-38c; IX-39; IX-78,1; 10; 48; 78,V,4,4,2,NA,NA,NA,NA,1,4,1,4,5,4,NA,NA,2,NA,NA,NA,NA,NA,NA
Astroloma pinifolium,2585,NA,NA,NA,NA,Epacridaceae,D,S,S,NA,NA,persistent soil,a-vertebrate,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,Mar-Oct,Mar-Oct,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,NA,1,1,1,-,1,1,-,-,-,-,-,-,-,V T,H W,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,2E 2BW,II-38c; VIII-39,9; 38; 55,GI,1,1,NA,NA,NA,NA,75,1,1,4,4,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Astrotricha crassifolia,1200,V,NA,NA,NA,Araliaceae,D,S,R,NA,rootstock & root suckers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,spring,Sep-Nov,NA,NA,NA,NA,NA,NA,indefinite?,NA,NA,NA,NA,NA,1,1,-,-,-,-,-,-,-,-,-,-,-,-,DSW,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,4BM 5BM,NA,1,V,4,4,NA,NA,I,NA,100,1,4,4,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Astrotricha latifolia,1202,NA,NA,NA,NA,Araliaceae,D,S,S,NA,NA,persistent soil,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,late spring-summer,Nov-Feb,NA,5,NA,6,10,NA,<10?,NA,NA,NA,NA,NA,1,1,1,1,1,-,-,-,-,-,-,-,-,Q,WSF,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8BM,II-35,1; 35,GI,1,1,5,6,NA,10,20,1,1,1,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Astrotricha ledifolia,1203,NA,NA,NA,NA,Araliaceae,D,S,R,Post-fire abundance decrease (P),rootstock,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,I,NA,Nov-Jan,Nov-Jan,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,1,1,-,-,1,-,-,-,-,V,DSF W,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,5P 9PU,NA,1; P,VI,2,1,2,NA,NA,NA,NA,1,1,1,4,5,4,NA,NA,2,NA,NA,NA,NA,NA,NA
Astrotricha linearis,1204,NA,NA,NA,NA,Araliaceae,D,S,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oct-Dec,Oct-Dec,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-,1,-,1,-,-,1,-,-,-,-,-,V,H DSW,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,8CE,NA,NA,G,1,4,NA,NA,NA,NA,NA,2,4,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Astrotricha longifolia,1205,NA,NA,c,NA,Araliaceae,D,S,R,NA,basal,persistent soil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sprin-summer,Sep-Feb,NA,3-Feb,NA,NA,NA,NA,indefinite,NA,NA,NA,NA,NA,1,1,-,1,1,1,1,1,-,1,1,-,-,Q,DSF DSW,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,2F 9B 5BM,IX-100; V-134,1,VG,4,4,NA,NA,I,NA,110,1,4,4,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Astrotricha roddii,9015,E1,NA,n,NA,Araliaceae,D,S,R,NA,basal buds,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oct-Nov,Oct-Nov,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,1,-,-,1,-,-,-,-,-,-,Q,DSW,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,V-134,NA,VI,2,1,NA,NA,NA,NA,NA,1,4,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atalaya hemiglauca,6365,NA,NA,NA,NA,Sapindaceae,D,sT,R,NA,NA,NA,NA,NA,12-29 sd/g,NA,hard seed coat,a-heat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-,1,-,-,1,1,1,-,Q SA WA NT,OF,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,1,9PL,NA,"93a,b",VI,2,1,NA,NA,NA,NA,NA,1,2,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atherosperma moschatum,3910,NA,NA,NA,NA,Monimiaceae,D,S or T,Rs,High mortality after WF in RF (HR),basal,NA,NA,NA,NA,poor,NA,after ripening,NA,NA,1-4 seedlings/m2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,1,1,1,-,-,-,-,-,-,-,V T,RF (Temp),1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9BK 5GB 8HR 9HL 8BK(1),NA,93a; HR,V,4,4,NA,NA,NA,NA,NA,3,4,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atkinsonia ligustrina,3611,NA,NA,NA,NA,Loranthaceae,D,S,R,NA,NA,persistent soil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,spring-summer,Sep-Feb,NA,3-5?,NA,NA,NA,NA,20?,NA,NA,NA,8,NA,-,1,-,-,1,-,-,-,-,-,-,-,-,-,OF OW H,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,9BD,IX-1; IX-66; II-71?,71,VG,4,4,3,8,20,NA,>30,1,4,2,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atriplex elachophylla,2050,NA,NA,NA,NA,Chenopodiaceae,D,H,R,NA,NA,NA,NA,NA,NA,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,annual,NA,NA,NA,NA,NA,-,-,-,-,-,-,-,-,-,-,-,1,-,-,Mulga,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9PL,NA,93b,A,5,5,NA,NA,NA,NA,NA,5,4,4,2,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atriplex semibaccata,2070,NA,NA,n,subsp. unspecified,Chenopodiaceae,D,S,S,Mortality 100% (133),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,Q V WA SA NT,exotic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,VIII-133,NA,C,1,4,NA,NA,NA,NA,NA,2,4,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atriplex stipitata,2073,NA,NA,n,subsp. unspecified,Chenopodiaceae,D,S,S,Mortality 100% (133),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-,-,-,-,1,1,1,1,V WA SA,Mallee W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,VIII-133,NA,C,1,4,NA,NA,NA,NA,NA,2,4,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atriplex vesicaria,2078,NA,NA,NA,subsp. unspecified,Chenopodiaceae,D,S,S,Mortality 100% (HG),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20-30,short,NA,NA,NA,NA,-,-,-,-,-,-,-,-,1,1,1,1,1,Q V NT SA WA,Saltbush BlackBox Coolibah Mulga Belah Bluebush Mallee communities,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,1,1,8HG,NA,90; HG,C,1,4,NA,NA,20,30,30,2,4,4,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Australopyrum pectinatum,7710,NA,NA,NA,NA,Poaceae,M,H,S,NA,NA,transient,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,NA,summer,Dec-Feb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,1,-,1,-,-,-,-,-,-,-,V T,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,VIII-R35,R35,CT,1,3,NA,NA,NA,NA,NA,1,1,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Australopyrum velutinum,7840,NA,NA,NA,NA,Poaceae,M,H,R,NA,basal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,spring-summer,Sep-Feb,NA,1,NA,NA,NA,NA,5?,NA,NA,NA,NA,NA,-,-,-,-,-,1,-,1,-,-,-,-,-,V,OF G,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,V-58,9; 58,V,4,4,1,NA,5,NA,NA,1,4,1,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Austrocynoglossum latifolium,8667,NA,NA,NA,Cynoglossum latifolium,Boraginaceae,D,H,S,NA,NA,persistent soil,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,Oct-May,Oct-May,NA,NA,NA,NA,NA,NA,<5,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,-,-,-,-,-,Q V,WSF RF margins,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8M,NA,CT,GI,1,1,NA,NA,NA,5,15,1,1,4,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Austrofestuca littoralis,6594,NA,NA,NA,NA,Poaceae,M,H,R,NA,basal,NA,wind,NA,NA,NA,NA,NA,NA,NA,NA,seedlings shade intolerant,NA,spring-summer,Sep-Feb,NA,5-Jan,NA,NA,NA,NA,<5,NA,NA,NA,NA,NA,1,1,1,-,-,-,-,-,-,-,-,-,-,V T SA,coastal sand dunes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,V-96,96,VI,2,1,1,5,NA,5,NA,1,1,1,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Austromyrtus dulcis,3979,NA,NA,NA,NA,Myrtaceae,D,S,S,"killed by crown fire, resprouts after partail burn (96)",NA,NA,wind,NA,berry 5-6 mm diam,NA,NA,NA,NA,NA,NA,seedlings shade intolerant,NA,spring-summer,Sep-Feb,NA,5-Jan,NA,NA,NA,NA,30-May,NA,NA,NA,NA,NA,1,-,-,-,-,-,-,-,-,-,-,-,-,Q,H DSF,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,VIII-96,"56, 96",CI,1,1,1,5,5,30,30,2,1,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Austromyrtus tenuifolia,3982,NA,NA,c,NA,Myrtaceae,D,S,R,NA,basal,a-persistent soil,bird,NA,NA,NA,hard seed coat,a-heat,NA,NA,NA,NA,NA,summer,Dec-Feb,NA,NA,3,NA,NA,NA,25-50?,NA,NA,NA,NA,NA,-,1,-,-,-,-,-,-,-,-,-,-,-,-,WSF riparian-S,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,V-1,1; 138,VDI,2,2,NA,NA,25,50,80,1,2,4,3,1,2,NA,NA,3,NA,NA,NA,NA,NA,NA
Austrostipa bigeniculata,10386,NA,NA,NA,Stipa bigeniculata,Poaceae,M,H,R,NA,NA,NA,a-adhesion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,spring-summer,Sep-Feb,NA,NA,<1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,1,-,1,1,1,1,1,1,1,-,-,V T,W OF,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,IX-11; IX-79,11; 54; 79,U,4,4,1,NA,NA,NA,NA,1,4,2,4,5,4,NA,1,NA,NA,NA,NA,NA,NA,NA
Austrostipa elegantissima,10367,NA,NA,NA,Stipa elegantissima,Poaceae,M,H,S/R,NA,NA,persistent soil,NA,NA,56-76 sd/g,NA,NA,NA,NA,NA,NA,NA,NA,in response to rain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,1,-,-,1,1,1,1,1,1,1,1,1,V SA WA,various,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9BA 2PH,NA,93b,G,1,4,NA,NA,NA,NA,NA,3,4,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Austrostipa gibbosa,10385,NA,NA,NA,Stipa gibbosa,Poaceae,M,H,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,spring-summer,Sep-Feb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-,-,-,1,-,1,-,-,V SA,OW G,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,9CE,NA,NA,V,4,4,NA,NA,NA,NA,NA,1,4,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Austrostipa mollis,10393,NA,NA,NA,Stipa mollis,Poaceae,M,H,Rs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,"spring-summer, or in response to rain",Sep-Feb,NA,NA,short,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,-,1,1,-,1,-,1,V T SA WA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9WO,V-38c; VIII-78,38; 78,U,4,4,2,NA,NA,NA,NA,3,4,2,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Austrostipa nitida,10375,NA,NA,NA,Stipa nitida,Poaceae,M,H,Rs,Vegetative response at 50% of sites (78),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,present at 50% of sites,NA,NA,in response to rain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,1,-,-,-,-,1,1,1,1,1,1,1,Q V SA WA NT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,9C,IX&VIII-78,78,V,4,4,NA,NA,NA,NA,NA,3,4,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Austrostipa nivicola,9960,NA,NA,NA,NA,Poaceae,M,H,S/R,Resprouter and seeder in subalpine treeless plain (120),basal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,NA,summer,Dec-Feb,NA,1,NA,NA,NA,NA,10?,NA,NA,NA,NA,NA,-,-,-,-,-,1,-,-,-,-,-,-,-,V,alpine-G subalpine-G,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,V-58; VIII&IX-120,9; 58,VT,3,3,1,NA,10,NA,>10,1,1,1,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Austrostipa pubescens,9603,NA,NA,c,Stipa pubescens,Poaceae,M,H,R,NA,NA,persistent soil,NA,wide,NA,NA,NA,NA,NA,NA,NA,NA,NA,spring,Sep-Nov,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,-,-,-,-,-,-,-,Q,W H,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,IXb-4; IXb-5,9; 138,VD,4,4,NA,NA,NA,NA,NA,1,4,4,4,5,4,NA,NA,1,NA,NA,NA,NA,NA,NA
Austrostipa pubinodis,10400,NA,NA,NA,Stipa pubinodis,Poaceae,M,H,R,NA,NA,persistent soil,NA,wide,NA,NA,NA,NA,NA,NA,NA,NA,NA,spring-summer,Sep-Feb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,1,-,-,1,-,-,-,-,-,-,-,V T SA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,IXb-3,9,VD,4,4,NA,NA,NA,NA,NA,1,4,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Austrostipa rudis,10396,NA,NA,NA,subsp. unspecified,Poaceae,M,H,R,NA,NA,NA,a-adhesion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,1,1,1,1,1,-,1,-,-,-,-,-,Q V T,W,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IX-79,54; 79,U,4,4,1,NA,NA,NA,NA,1,4,2,4,5,4,NA,1,NA,NA,NA,NA,NA,NA,NA
Austrostipa rudis subsp. nervosa,10398,NA,NA,NA,NA,Poaceae,M,H,R,NA,rhizome,NA,a-adhesion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,spring-summer,Sep-Feb,NA,NA,1,NA,NA,NA,common at 20 yo site,NA,NA,NA,NA,NA,1,1,1,1,1,1,-,-,-,-,-,-,-,Q V,W,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,IV-38b; IV-105,54; 105,U,4,4,1,NA,20,NA,>20,1,4,1,3,3,4,NA,NA,1,NA,NA,NA,NA,NA,NA
Austrostipa semibarbata,10394,NA,NA,NA,Stipa semibarbata,Poaceae,M,H,R,NA,rhizome,NA,NA,wide,NA,NA,NA,NA,NA,NA,NA,NA,NA,spring-summer,Sep-Feb,NA,NA,1,NA,NA,NA,>25,NA,NA,NA,NA,NA,-,-,1,-,1,1,-,-,-,-,-,-,-,V T SA WA,SF H,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,4W 9C 9MO 9WO 4WA,IX-9; IX-83,9; 10; 33; 48,UD,4,3,1,NA,25,NA,>25,1,4,1,3,3,2,NA,NA,1,NA,NA,NA,NA,NA,NA
Austrostipa setacea,10382,NA,NA,NA,Stipa setacea,Poaceae,M,H,R,NA,basal,persistent soil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,most of year,all year,NA,NA,<1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,-,1,1,1,1,1,1,1,1,-,-,V SA WA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,9CE,Vb-38d; IX-74?; IX-79,79,UG,4,4,1,NA,NA,NA,NA,1,4,2,4,5,4,NA,1,NA,NA,NA,NA,NA,NA,NA
Austrostipa tuckeri,10368,NA,NA,NA,Stipa tuckeri,Poaceae,M,H,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,in response to rain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-,1,1,-,1,1,-,-,SA WA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9CE,NA,NA,V,4,4,NA,NA,NA,NA,NA,1,4,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Avena fatua,4780,NA,*,NA,NA,Poaceae,M,H,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,annual,NA,NA,NA,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,-,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8C,NA,NA,E,5,5,NA,NA,NA,NA,NA,5,4,4,2,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Avicennia marina subsp. australasica,10427,NA,NA,NA,NA,Avicenniaceae,D,sT or S,S/R,"Variable response, some plants resprout some killed (1)",basal,NA,water,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,all year,all year,NA,5,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,1,1,1,-,-,-,-,-,-,-,-,-,-,Q V SA WA NT,CF CS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,8BX 5BX,NA,1,G,1,4,5,NA,100,NA,>110,3,4,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
