taxon_name,unit,original_name,observation_id,leaf_length_minimum,leaf_length_maximum,leaf_width_minimum,leaf_width_maximum,leaf_entity,leaf remove,plant_height_maximum,height_entity,height notes,seed_height_minimum,seed_height_maximum,seed_length_minimum,seed_length_maximum,seed_width_minimum,seed_width_maximum,leaf,seed_entity,seed notes,seed,form,,
Ptilotus fusiformis,m,Ptilotus fusiformis,510,,,,,,,0.6,,good,,,,,,,"leaves linear, 12-60 mm long, 0.5-1.5 mm wide, acute.",,,,"perennial herb to 6o cm high, vegetative parts usually glabrous.",,
Sesuvium portulacastrum,m,Sesuvium portulacastrum,540,,,,,,,,,remove - spreading & number not reported,,,,,,,"leaves opposite, linear, lanceolate or oblanceolate, fleshy, 25-70 x 5-15 mm, apex blunt, base connate.",,,"seeds several, pea-shaped, 1.5 mm diameter, smooth, black.","spreading or prostrate perennial herb, succulent, glabrous;",,
Uraria lagopodioides,m,Uraria lagopodioides,613,,,,,,,,,remove - spreading & number not reported,,,,,,,"leaves 1 or 3-foliolate; rachis 9-65 mm long; leaflets variable, from oblong to orbicular, lanceolate or oblanceolate, 20-105 mm long, 8-62 mm wide, l/w 1.4-3.5, scabrous above, softly hairy below, prominently reticulately veined below, base rounded or cordate, apex variable, usually mucronate; basal leaflets much smaller than the terminal. cladode of pod circa 4 mm long, 3 mm wide.",,,"seeds olivaceous, circa 3 mm long, 2 mm wide.","semi erect to prostrate. vegetative parts densely covered with patent white, hyaline or ferruginous simple, long and short hairs and hooked hairs.",,
Uraria sp. Litchfield (C.R.Dunlop 5220),m,Uraria Litchfield,614,,,,,,,,,remove - spreading & number not reported,,,,,,,,,,,,,
Abrus precatorius,mm,Abrus precatorius,001,,,,,,,,,,4.5,6,,,,,"leaves paripinnate; rachis 40-106 mm long, stipels minute; leaflets in 12-19 pairs, discolorous, oblong or oblong-ovate, 7-24 mm long, 3-8 mm wide, l/w 1.3-3.4.",,good,"seeds 3-4, oblique in pod, separated by papery septa, red and black (rarely all black), ellipsoid, 6-9 mm long, 4.5-6 mm wide.",a deciduous perennial vine with twining stems. glabrate with sparse adpressed white simple hairs throughout.,,
Acacia alleniana,mm,Acacia alleniana,002,,,,,,,,,,,,,,,2.5,"phyllodes straight, linear, quadrangular, 120-200 mm long, 0.6-1 mm wide, l/w 150-200, punctulate and/or slightly tuberculate, flaccid, glabrous, veins obscure, apex pungent or subulate, mucro oblique or hooked. glands inconspicuous or absent.",,flattened,"seeds longitudinal in pod, brown, flattened oblong, 5-6 mm long, 2.5 mm wide.","erect shrub or rarely a small tree, 2-4 m high.",,
Acacia conspersa,mm,Acacia conspersa,005,,,,,,,,,,,,,,,,"phyllodes twisted, narrowly elliptic to elliptic, 45-110 mm long, 5-28 mm wide, l/w 2.7-13, viscid.",,"remove, flattened","seeds longitudinal in pod, brown, faintly mottled, flattened oblong, 4-5 mm long, 2-3 mm wide.","erect shrub or spindly tree, 2-7.5 m high, slightly mealy or hoary.",,
Acacia difficilis,mm,Acacia difficilis,006,,,,,,,,,,2.7,3.7,,,,,"phyllodes curved, dimidiate, broadest a middle or falcate-dimidiate, 55-200 mm long, 15-35(51) mm wide, l/w 2.6-7.6, glabrous or densely tomentose, hairs hyaline, longitudinal veins numerous and closely spaced, 3(4) more prominent, anastomoses sparse or absent, base attenuate and oblique, apex acute or obtuse and asymmetric, mucro oblique. glands 1, at pulvinus.",,good,"seeds longitudinal in pod, black, slightly flattened oblong, 5-9 mm long, 2.7-3.7 mm wide","erect shrub or tree, 2.5-9 m high.",,
Acacia dimidiata,mm,Acacia dimidiata,007,,,,,,,,,,,,,,,,"phyllodes twisted, narrowly elliptic to elliptic, 45-110 mm long, 5-28 mm wide, l/w 2.7-13, viscid.",,"remove, flattened","seeds longitudinal in pod, black, flattened oblong, 5.5-8 mm long, 3.5-4 mm wide.","erect shrub or small tree, 2-4 m high.",,
Acacia gonocarpa,mm,Acacia gonocarpa,010,,,,,,,,,,2.2,2.5,,,2.2,2.5,"phyllodes straight, linear, 12-125 mm long, (0.6)1-5 mm wide, l/w 9.3-33.3(116), glabrous, primary veins 1, secondary veins parallel and widely spaced, not anastomosing or only sparsely so in broader phyllodes, apex acute, mucro straight, oblique or slightly hooked. glands inconspicuous, 1, at pulvinus.",,good,"seeds oblique in pod, brown, narrowly oblong to ellipsoid, 5 mm long, 2.2-2.5 mmwide.","erect shrub, 0.5-2(3) m high.",,
Acacia helicophylla,mm,Acacia helicophylla,011,,,,,,,,,,,,,,,,"phyllodes twisted, narrowly elliptic to elliptic, 45-110 mm long, 5-28 mm wide, l/w 2.7-13, viscid.",,"remove, flattened","seeds + longitudinal to oblique in pod, brown, flattened ellipsoid or rhomboid, 5-5.5 mm long, 4 mm wide.","erect spindly shrub, 2-4 m high, viscid.",,
Acacia hemignosta,mm,Acacia hemignosta,012,,,,,,,,,,5.5,6.5,,,,,"phyllodes straight or slightly curved, dimidiate or oblanceolate, narrowly to rarely broadly spathulate, 40-135 mm long, 5.5-35 mm wide, l/w 2.8-20, pruinose, glabrous, primary veins 3, secondary veins obscure, reticulate, base attenuate, apex obtuse. glands 1, near base.",,good,"seeds brown, discoid, 5.5-6.5 mm long, 5.5-6.5 mm wide.","erect shrub or small tree, 2-5(7) m high, glaucous or pruinose.",,
Acacia holosericea,mm,Acacia holosericea,013,,,,,,,,,,2,3,,,,,"phyllodes straight, elliptic or dimidiate, broadest about middle, 100-225 mm long, 20-50(60) mm wide, l/w 3.5-6, usually densely sericeous or rarely glabrous, hairs hyaline, primary veins 3(4), concurrent with lower margin near base, secondary veins oblique or penniveined, reticulate, base attenuate, apex acute to obtuse, mucro straight. glands prominent, 2, near mucro and near base.",,good,"seeds longitudinal in pod, dark brown to black, oblong, 4-5 mm long, 2-3 mm wide.","erect shrub, 2-5 m high.",,
Acacia humifusa,mm,Acacia humifusa,014,,,,,,,,,,,3,,,,,"phyllodes straight, dimidiate, broadest towards base, 25-76 mm long, 15-52 mm wide, l/w 1.2-2.3, densely tomentose, hairs erect, hyaline, primary veins 3(4), concurrent with lower margin near base, secondary veins oblique or penniveined, reticulate, base asymmetrical or oblique, apex acute to obtuse, mucro straight. glands prominent, 1, at pulvinus.",,good,"seeds longitudinal in pod, black, oblong to cylindrical, 6.5 mm long, 3 mm wide.","spreading shrub, 0.3-2 m high.",,
Acacia latescens,mm,Acacia latescens,015,,,,,,,,,,,,,,,,"phyllodes curved, linear to narrowly oblanceolate, 80-260 mm long, 4-18 mm wide, l/w 7.3-60, glabrous, primary veins 2, rarely 1 or 3, secondary veins oblique or penniveined, reticulate, base attenuate, apex acute. glands 3, scattered along dorsal margin and at pulvinus.",,"remove, flattened","seeds oblique in pod, dark brown to black, flattened ellipsoid, 9-10 mm long, 5-7 mm wide.","erect tree, 4-9 m high.",,
Acacia leptocarpa,mm,Acacia leptocarpa,016,,,,,,,,,,,,,,,,"phyllodes curved, linear to narrowly oblanceolate, 80-260 mm long, 4-18 mm wide, l/w 7.3-60, glabrous, primary veins 2, rarely 1 or 3, secondary veins oblique or penniveined, reticulate, base attenuate, apex acute. glands 3, scattered along dorsal margin and at pulvinus.",,"remove, flattened","seeds longitudinal in pod, black, flattened oblong, 3.5-5 mm long, 2-3 mm wide.","tree, 5-15 m high.",,
Acacia mimula,mm,Acacia mimula,018,,,,,,,,,,7,9,,,,,"phyllodes curved, elliptic to oblanceolate, 70-180 mm long, 7-35 mm wide, l/w 4.5-10, glabrous, primary veins 2-3, secondary veins oblique or penniveined, reticulate, base attenuate, apex obtuse. glands 4-5, scattered along dorsal margin to near base.",,good,"seeds transverse in pod, brown, broadly ellipsoid, 10 mm long, 7-9 mm wide.","erect tree, to 7 m high.",,
Acacia mountfordiae,mm,Acacia mountfordiae,019,,,,,,,,,,3,4,,,,,"phyllodes straight or rarely curved, dimidiate, 16-49 mm long, 6-20 mm wide, l/w 1.6-2.8(4.3), sometimes pruinose, glabrous or densely hairy, hairs erect, yellow to golden, primary veins 2-3, scarcely visible, secondary veins obscure, closely reticulate, base attenuate, apex obtuse and asymmetric, mucro oblique, caducous. glands 1, near base.",,good,"seeds oblique in pod, olivaceous, angular oblong, 4-5.5 mm long, 3-4 mm wide.","erect shrub, 2-4 m high, sometimes pruinose.",,
Acacia multisiliqua,mm,Acacia multisiliqua,020,,,,,,,,,,,,,,,,"phyllodes curved, linear to narrowly oblanceolate, 80-260 mm long, 4-18 mm wide, l/w 7.3-60, glabrous, primary veins 2, rarely 1 or 3, secondary veins oblique or penniveined, reticulate, base attenuate, apex acute. glands 3, scattered along dorsal margin and at pulvinus.",,"remove, flattened","seeds longitudinal in pod, brown, flattened oblong or ellipsoid, 3.5-5 mm long, 2-3 mm wide.","erect shrub or prostrate in exposed coastal situations, to 2.5 m high.",,
Acacia nuperrima,mm,Acacia nuperrima,021,,,,,,,,,,,,,,,,"phyllodes curved, linear to narrowly oblanceolate, 80-260 mm long, 4-18 mm wide, l/w 7.3-60, glabrous, primary veins 2, rarely 1 or 3, secondary veins oblique or penniveined, reticulate, base attenuate, apex acute. glands 3, scattered along dorsal margin and at pulvinus.",,"remove, flattened","seeds oblique in pod, brown, flattened oblong, 4.5-5 mm long, 1.7-2.2 mm wide.","spreading shrub, to 1 m high, scurfy resinous or mealy.",,
Acacia oligoneura,mm,Acacia oligoneura,022,,,,,,,,,,2,2.5,,,,,"phyllodes straight or slightly curved, narrowly oblanceolate, 110-137(190) mm long, 12.5-20 mm wide, l/w 7.3-10.8.",,good,"seeds oblique in pod, brown, narrowly ellipsoid or oblong, 5-5.5 mm long, 2-2.5 mm wide.","open shrub, 1-1.5 m high, thin stems arising from woody rootstock after fire.",,
Acacia oncinocarpa,mm,Acacia oncinocarpa,023,,,,,,,,,,2,3.5,,,,,"phyllodes straight or curved, narrowly elliptic to elliptic, 58-110 mm long, (4)7-29 mm wide, l/w 3-9.3(20), glabrous, primary veins 3 but sometimes obscure, secondary veins parallel and widely spaced, anastomoses absent or very sparsely anastomosing, base attenuate, apex acute to obtuse, mucro straight or hooked. glands 1, at pulvinus.",,good,"seeds oblique in pod, brown, oblong to ellipsoid, 4-6 mm long, 2-3.5 mm wide.","spreading shrub or tree, 1.5-4 m high.",,
Vachellia pallidifolia,mm,Acacia pallidifolia,025,,,,,,,,,,,,,,,,,,"remove, flattened; and duplicates","seeds longitudinal in pod, pale brown, discoid, 9 mm long, 8.5 mm wide.","tree, 4-6 m high.",,
Acacia pellita,mm,Acacia pellita,026,,,,,,,,,,3,4,,,,,"phyllodes straight, broadly elliptic, 70-180 mm long, 25-70 mm wide, l/w 2.1-4, densely tomentose, hairs erect, hyaline, primary veins 3, concurrent with lower margin near base, secondary veins oblique or penniveined, reticulate, base oblique, apex acute to obtuse, mucro straight. glands prominent, 2, near mucro and at pulvinus.",,good,"seeds longitudinal in pod, brown, broadly oblong, 4.5-5 mm long, 3-4 mm wide.","erect shrub or slender tree, 2-8 m high.",,
Acacia platycarpa,mm,Acacia platycarpa,027,,,,,,,,,,,,,,,,"phyllodes curved, linear to narrowly oblanceolate, 80-260 mm long, 4-18 mm wide, l/w 7.3-60, glabrous, primary veins 2, rarely 1 or 3, secondary veins oblique or penniveined, reticulate, base attenuate, apex acute. glands 3, scattered along dorsal margin and at pulvinus.",,"remove, flattened","seeds transverse in pod, brown, flattened ellipsoid, 8-9 mm long, 6-7 mm wide.","shrub or slender tree, 3-8 m high, usually pruinose.",,
Acacia plectocarpa,mm,Acacia plectocarpa,028,,,,,,,,,,2.5,3.7,,,,,"phyllodes straight or curved, narrowly elliptic to linear, 120-195 mm long, 4.5-13 mm wide, l/w 12-31, glabrous, primary veins 1 with 2 prominent secondary veins, secondary veins parallel and closely spaced, not anastomosing, base attenuate, apex acute, mucro oblique or straight. glands 1, at pulvinus.",,good,"seeds transverse in pod, black, discoid to ellipsoid, 4-4.2 mm long, 2.5-3.7 mm wide.","tall shrub or small tree, 3-7 m high.",,
Acacia praelongata,mm,Acacia praelongata,029,,,,,,,,,,,,,,,,"phyllodes curved, linear to narrowly oblanceolate, 80-260 mm long, 4-18 mm wide, l/w 7.3-60, glabrous, primary veins 2, rarely 1 or 3, secondary veins oblique or penniveined, reticulate, base attenuate, apex acute. glands 3, scattered along dorsal margin and at pulvinus.",,"remove, flattened","seeds longitudinal in pod, brown, discoid, 5.5-7 mm long, 5.5-7 mm wide.","tree, 3-8 m high.",,
Acacia praetermissa,mm,Acacia praetermissa,030,,,,,,,,,,,,6,,4,,"phyllodes straight or curved, narrowly oblanceolate or elliptic or linear, 110-150 mm long, 3-12(18) mm wide, l/w 8.3-45, glabrous, primary veins 1 but with several secondary veins almost as prominent, secondary veins parallel and widely spaced. sparsely anastomosing, base attenuate, apex acute to obtuse, mucro straight or oblique, circa 1.5 mm long. glands 1, near base.",,"remove, flattened","seeds oblique in pod, olivaceous, sub-discoid, 6 mm long, 4 mm wide.","erect shrub, 0.5-1.2 m high.",,
Acacia tolmerensis,mm,Acacia tolmerensis,031,,,,,,,,,,,,,,,,"phyllodes curved, linear to narrowly oblanceolate, 80-260 mm long, 4-18 mm wide, l/w 7.3-60, glabrous, primary veins 2, rarely 1 or 3, secondary veins oblique or penniveined, reticulate, base attenuate, apex acute. glands 3, scattered along dorsal margin and at pulvinus.",,"remove, flattened","seeds transverse in pod, brown, flattened ellipsoid, 8-10 mm long, 7-7.5 mm wide",shrub.,,
Acacia torulosa,mm,Acacia torulosa,032,,,,,,,,,,,,,,,,"phyllodes curved, linear to narrowly oblanceolate, 80-260 mm long, 4-18 mm wide, l/w 7.3-60, glabrous, primary veins 2, rarely 1 or 3, secondary veins oblique or penniveined, reticulate, base attenuate, apex acute. glands 3, scattered along dorsal margin and at pulvinus.",,"remove, flattened","seeds longitudinal in pod, black, oblong, 5-7.5 mm long, 3-4.7 mm wide.","shrub to slender tree, 2-8 m high.",,
Acacia umbellata,mm,Acacia umbellata,033,,,,,,,,,,,,,,,,"phyllodes curved, linear to narrowly oblanceolate, 80-260 mm long, 4-18 mm wide, l/w 7.3-60, glabrous, primary veins 2, rarely 1 or 3, secondary veins oblique or penniveined, reticulate, base attenuate, apex acute. glands 3, scattered along dorsal margin and at pulvinus.",,"remove, flattened","seeds longitudinal in pod, black, oblong, 3.5-5 mm long, 2-2.5 mm wide.","erect shrub or rarely a tree, 1-3(5) m high.",,
Aeschynomene aspera,mm,Aeschynomene aspera,041,,,,,,,,,,,,,,,,"leaves sensitive to touch, rachis 37-215 mm long; leaflets in 20-54 pairs, narrowly oblong or obovate-oblong, 4-14 mm long, 1.5-3.5 mm wide, l/w 2.6-5, with 1 main nerve, apex obtuse or truncate. cladode 3-5, corky, with muricate margins, smooth or rugose in the centre.",,"remove height, shape not given","seeds dark brown, shiny, 7-8 mm long, 4-5 mm wide;",shrub to 2 m tall;,,
Aeschynomene indica,mm,Aeschynomene indica,042,,,,,,,,,,,,4,,3,,"all parts except leaf surfaces and flowers sparsely to densely hairy,often viscid. leaf rachis 5-14.5 cm long; leaflets in 19-40 pairs, oblong, 2.5-9 mm long, 1-2.6 mm wide, l:w 2-4.8, punctulate above and below, with 1 main nerve; margins entire or sparsely serrulate; teeth tipped with hairs; apex obtuse or emarginate.",,"remove height, shape not given","seeds dark brown to black, circa 4 mm long, 3 mm wide;",shrub to 1.5 m tall.,,
Albizia canescens,mm,Albizia canescens,043,,,,,,,,,,,,8.5,8.5,8.5,8.5,"leaf rachis closely tomentose, (15)70-230 mm long with 1-5 pairs of pinnae; petiolar gland oblong, jugary glands absent, interjugary glands usually present; pinnae 40-155 mm long, 2-7 pairs of leaflets per pinnae; leaflets asymmetrically elliptic, 32-44 mm long, 14-35 mm wide, slightly discolorous, sericeous when young becoming sparsely so with age.",,"remove, flattened","seeds discoid, brown, circa 8.5 mm diam",tree 7-10 m high.,,
Albizia lebbeck,mm,Albizia lebbeck,044,,,,,,,,,,,,9,,7,7,"leaf rachis glabrous or tomentose, 48-205 mm long with (1)2-3(6) pairs of pinnae; petiolar gland circular to oblong, 1-2 mm long, jugary and interjugary glands absent, small glands at nodes of terminal 4 pairs of leaflets; pinnae 25-150 mm long, (2)6-12 pairs of leaflets per pinnae; leaflets asymmetrically ovate, oblong or obovate, 18-37 mm long, 9-14 mm wide.",,"remove, flattened","seeds discoid, pale brown, 9 mm long, 7 mm wide","tree 5-10(15) m high, deciduous.",,
Alysicarpus schomburgkii,mm,Alysicarpus glumaceus,048,,,,,,,,,,1.2,1.8,,,,,"leaf rachis 2-4 mm long; leaflets elliptic at base of plant, grading to linear-lanceolate at apex, (11)32-150 mm long, 2-7 mm wide, l/w (1.5)5-33(52), base rounded to subcordate, apex acute to obtuse. cladode 1-5, 1.6-2.2 mm long.",,good,"seeds yellow-brown, elliptic to rhomboidal, 1.2-2 mm long, 1.2-1.8 mm wide.","an erect or occasionally procumbent annual herb to 1 m tall. vegetative parts glabrate with minute hooked and long adpressed simple hairs on the under sides of the leaves, glabrous above.",,
Alysicarpus muelleri,mm,Alysicarpus rugosus,050,,,,,,,,,,1.8,2,,,,,"leaf rachis 3-6 mm long; leaflets narrowly elliptic, lanceolate or rarely linear, 21-77(118) mm long, 2.5-16(23) mm wide, l/w 2.1-16, base rounded to subcordate, apex acute to obtuse. cladode 1-5, 2.5-3 mm long.",,good,"seeds olivaceous, yellow-brown or red-brown, ellipsoid to oblong, 2.5-3.8 mm long, 1.8-2 mm wide.","an erect or occasionally procumbent annual herb to 1(2) m tall. most parts with minute hooked and strigose simple hairs, the inflorescence also with resinous colleters, leaves often glabrous above, pods with minute hooked hairs and colleters.",,
Austrodolichos errabundus,mm,Austrodolichos errabundus,071,,,,,,,,,,,,,,,,"leaves sensitive to touch, rachis 37-215 mm long; leaflets in 20-54 pairs, narrowly oblong or obovate-oblong, 4-14 mm long, 1.5-3.5 mm wide, l/w 2.6-5, with 1 main nerve, apex obtuse or truncate. cladode 3-5, corky, with muricate margins, smooth or rugose in the centre.",,"remove height, shape not given","seeds 9-10, mottled grey, 4.5-5 mm long, 3-3.5 mm wide, caruncle circa 2/3 length of seed.",a slender twining vine.,,
Bergia pedicellaris,mm,Bergia pedicellaris,076,,,,,,,,,,0.1,0.15,0.25,,0.1,0.15,"leaves elliptic to narrowly elliptic, 1-3.5 cm long, 0.3-1.1 cm wide, with glandular hairs at base and on midvein; margins serrate; midvein prominent;",,good,"seeds ellipsoidal or slightly curved, circa 0.3 mm long, smooth, shiny, brown.","annual herbs, spreading to erect and to 30 cm tall, glabrous or with long glandular hairs.",,
Bergia pusilla,mm,Bergia pusilla,077,,,,,,,,,,0.1,0.1,0.3,,0.1,,"leaves narrow-elliptic to elliptic, 3-9 mm long, 1.5-2.5 mm wide, veins obscure, margin entire or occasionally prominent, prominent brown apical gland, acute.",,good,"seeds ellipsoid, circa 0.3 mm long, 0.1 mm wide, smooth to faintly alveolate, shiny, pale yellow-brown.","annual, erect to 6 cm high, glabrous.",,
Berrya javanica,mm,Berrya javanica,078,,,,,,,,,,4,5,,,,,"leaves with petiole (1.2) 2.4-5.2 (11) cm long, mealy with scattered white and ferruginous stellate hairs; lamina discolorous, elliptic, ovate or oblong-obovate, 6.7-18 cm long, 4-10.5 cm wide, 1.5-2.1 times as long as wide, almost glabrous with sparse sessile stellate hairs, undersurface with minute reddish scales and scattered stellate hairs on veins, domatia present, base cordate, with margins of lobes often overlapping, 5-nerved, margin entire, apex obtuse to rounded;",,good,"seeds enclosed in a glossy, pale brown to stramineous, striate, brittle, exotesta, hoary with dark brown striae, ellipsoid to obovoid, 6-7 mm long, 4-5 mm wide, surface minutely areolate with spongy tissue.",tree to 12 m tall;,,
Byblis aquatica,mm,Byblis aquatica,088,,,,,,,,,,0.8,,,,0.8,,"leaves terete, 3-6.5 cm long, apically blunt or with a swelling.",,good,"seeds 1-1.2 mm long, circa 0.8 mm diam., dark brown or black, with conspicuous longitudinal channels, transverse walls absent or barely formed.","annual herb with a weak stem circa 10-35 cm long, with a general indumentum of viscid, stalked glandular hairs.",,
Cajanus acutifolius,mm,Cajanus acutifolius,091,,,,,,,,,,,,,,,,"leaf rachis to basal leaflets 13-46 mm, 20-64 mm overall; stipels obscure; leaflets ovate to lanceolate or elliptic, 24-65 mm long, 9-25 mm wide, l/w 1.5-4.6, base cuneate or rounded, apex acuminate to acute.",,"remove height, flattened","seeds 1-4, oblique in pod, mottled red-brown, obovoid, flattened, 4-4.5 mm long, 3-3.5 mm wide; caruncle circa 2 mm wide, cleft;",an erect shrub to 1.5 m tall with aromatic grey- green foliage.,,
Cajanus marmoratus,mm,Cajanus marmoratus,094,,,,,,,,,,4.5,4.5,,,,,"leaf rachis to basal leaflets 12-105 mm, 20-130 mm overall; stipels setaceous, to 5 mm long; leaflets shortly pilose to glabrate, vesicular glands sometimes present on undersurface, base cuneate or rounded, apex obtuse to truncate; basal leaflets obovate, 20-65 mm long, 15-50 mm wide, l/w 0.8-1.5; terminal leaflet typically rhomboidal to suborbicular, also obdeltoid or broadly elliptic, 20-105 mm long, 30-85 mm wide, l/w 0.7-1.5.",,good,"seeds (1)2-4(7), transverse in pod, mottled red-brown, globular, 4-4.5 mm long, circa 4.5 mm wide; caruncle 3-3.5 mm wide, u-shaped.",a slender prostrate vine with annual stems and perennial roots.,,
Canavalia cathartica,mm,Canavalia cathartica,107,,,,,,,,,,,,15,,11,11,"leaf rachis to basal leaflets 45-95 mm, 65-120 mm overall; stipelsnot seen; leaflets with broadly cuneate to rounded base, apex rounded, often shortly acuminate; basal leaflets slightly asymmetric, obovate or transverselyelliptic, 65-97 mm long, 51-97 mm wide, l/w 0.9- 1.1, terminal leaflet orbicular to obovate, 70-107 mm long, 55-109 mm wide, l/w 0.9-1.2. inflorescenceto 400 mm long.",,"remove height, shape not given","seeds 5, brown, circa 15 mm long, 11 mmwide;","a prostrate or climbing vine, glabrate throughout.",,
Cassytha candida,mm,Cassytha candida,115,,,,,,,,,,4.5,5,4.5,5,4.5,5,"leaves ovate, circa 1-1.8 mm long, ciliate.",,good,seed globular.,vine;,,
Cathormion umbellatum,mm,Cathormium umbellatum,120,,,,,,,,,,10,10,12,12,10,10,"leaf rachis 1.1-9.3 cm long with 1-3 pairs of pinnae; circular glands at junction of pinnae; pinnae 2-10 cm long; leaflets 3-7 pairs per pinnae, asymmetrically obovate to elliptic, 21-43 mm long, 9-27 mm wide, discolorous, shiny-glabrous above, dull-glabrous or hairy below.",,good,"seeds dark brown, broadly oblong, circa 12 mm long, 10 mm wide.","shrubs to trees, 3.5-10 m tall with dense canopy.",,
Cathormion umbellatum,mm,Cathormium umbellatum,120,,,,,,,,,,,,,,,,,,duplicate remove,"seeds dark brown, broadly oblong, circa 12 mm long, 10 mm wide.","shrubs to trees, 3.5â€“10 m tall with dense canopy.",,
Claoxylon tenerifolium,mm,Claoxylon tenerifolium,130,,,,,,,,,,3,,3,,3,,"leaves alternate; petioles purplish when dry, 13-133 mm long, below junction of blade sparsely tomentose and often with 2-4 minute yellowish s glands on the dorsal surface; blades discolorous, ovate, elliptic or obovate, 116-223 mm long, 62-130 mm wide, l/b 1.5-2.2, glabrescent, scaberulous, veins turning purple when dry, base attenuate, truncate, margin crenate, with a m gland in the sinus between lobes, each mucro with a vein leading to it, apex acuminate, obtuse or acute.",,good,"seeds globose, white, circa 3 mm long, ecarunculate.",a shrub or small tree to 10 m tall;,,
Arivela cleomoides,mm,Cleome cleomoides,133,,,,,,,,,,1.5,1.5,2,,1.5,,,,good,,,,
Areocleome oxalidea,mm,Cleome oxalidea,139,,,,,,,,,,1,1,,,1,1,,,good,,,,
Clitoria australis,mm,Clitoria australis,143,,,,,,,,,,4,5,,,,,"leaves pinnately 3-foliolate or 1-foliolate, rachis to basal leaflets 0-40 mm, 20-63 mm overall; stipels subulate, 3-4 mm long; leaflets elliptic, elliptic-oblong or obovate; basal leaflets 40-58 mm long, 19-35 mm wide, l/w 2-2.6; terminal leaflet 49-87 mm long, 23-52 mm wide, l/w 1.4-2.2.",,good,"seeds 3-6, dark red-brown, oblong-ellipsoid, slightly flattened, 5-6 mm long, 4-5 mm wide.","a shrub to 1 m, often with twining stems. vegetative parts pubescent except for the upper surfaces of the leaves.",,
Corchorus capsularis,mm,Corchorus capsularis,149,,,,,,,,,,1.4,1.9,,,,,"leaves with petiole 0.5-3.5 cm long; lamina lanceolate, 3.5-10.5 cm long, 1.3-4 cm wide, hairy above, base rounded to shallowly cordate, 5-7-nerved, auricles filiform, 4-8 mm long, margins serrate, apex acute to long acuminate;",,good,"seeds dark red-brown, angular, obovoid, 2-2.6 mm long, 1.4-1.9 mm wide.","erect annual or occasionally short-lived perennial shrub to 2 m tall, developing adventitious roots on submerged parts of the stem.",,
Crotalaria alata,mm,Crotalaria alata,152,,,,,,,,,,3,3,,,3,,"leaves simple, slightly discolorous, oblong, linear-oblong, narrowly elliptic or oblanceolate, 12-49 mm long, 1.5-16 mm wide, l/w 2-9, base rounded or cuneate, margins recurved, apex obtuse to rounded.",,good,"seeds circa 15, yellow to pale brown, cordiform, 3-4 mm long, circa 3 mm wide; caruncle minute.","an erect annual shrub to 0.5 m tall. pilose throughout with white to ferruginous simple hairs, sometimes with slightly thickened bases.",,
Crotalaria brevis,mm,Crotalaria brevis,153,,,,,,,,,,,,,,,,"leaves simple; petioles circa 1 mm long; blades slightly discolorous, narrowly lanceolate, narrowly elliptic, linear, elliptic or rarely oblanceolate, 5-22 mm long, 2-5.5 mm wide, l/w 2-6, base cuneate or rounded, apex acute to rounded, mucro minute.",,"remove height, flattened","seeds 10-18, pale yellow, brown or olivaceous, cordiform, 1.7-2.5 mm long, 1.6-2.5 mm wide.",an erect or prostrate multistemmed subshrub to 30 cm with annual stems and a perennial rootstock. all vegetative parts and calyx with long adpressed or occasionally patent white to ferruginous hairs.,,
Crotalaria calycina,mm,Crotalaria calycina,154,,,,,,,,,,2,2,,,2,,"leaves simple; petioles 1-3 mm long; blades discolorous, narrowly lanceolate, linear or narrowly elliptic, 35-165 mm long, 4-22 mm wide, l/w 6-20, base rounded, apex acute.",,good,"seeds pale yellow, triangular, 2.3-3 mm long, circa 2 mm wide; caruncle minute.",an erect annual shrub to 1 m tall.,,
Crotalaria medicaginea,mm,Crotalaria medicaginea,155,,,,,,,,,,,,,,,,"leaves digitately 3-foliolate; rachis 1.5-11 mm long; leaflets slightly discolorous, linear or cuneate, 3-40 mm long, 1-6 mm wide, l/w 2-30, base cuneate, apex emarginate, or obtuse to truncate. basal leaflets slightly shorter.",,"remove height, shape not given","seeds 1-2, olivaceous to pale brown, reniform, 2-2.8 mm long, 1.5-3.5 mm wide.",an erect annual shrub to 0.7 m tall. all vegetative parts and calyx with adpressed hyaline to yellow short simple hairs.,,
Crotalaria medicaginea,mm,Crotalaria medicaginea,155,,,,,,,,,,,,,,,,"leaves 3-foliolate, leaflets obovate to oblanceolate, 3-40 mm long, 1-6 mm wide, l/w 2-30, base cuneate, apex emarginate, or obtuse to truncate.",,"remove height, shape not given",,"erect annual shrub to 0.7 m tall, main root yellowish when fresh. indumentum usually sparse.",,
Crotalaria montana,mm,Crotalaria montana,156,,,,,,,,,,,,,,,,"leaves simple; petioles circa 1 mm long; blades slightly discolorous, linear, narrowly elliptic or oblanceolate, 18-80 mm long, 2-7(11) mm wide, l/w 4-13.5, base cuneate or rounded, apex obtuse to rounded.",,"remove height, flattened","seeds 8-12, pale yellow, brown or olivaceous, cordiform to reniform, 1.5-2.5 mm long, 1.5-2 mm wide.","an erect annual shrub to 1 m tall. all vegetative parts and calyx with adpressed or patent white, hyaline or slightly ferruginous simple hairs.",,
