IDmerg1,ID_all,species_name,species_abb,site_name,site_details,siteold,site_data_old,spp_old,SLA_cm2_g_new,leaf_area_mm2_new,PSIpd,PSImd,Kh,Ks,Kl,LL,Gs,Amass,Aarea,RD_MASS,leaf_N_mass_new,leaf_P_mass_new,Cmass,leaf_N_area_g_m2_new,leaf_P_area_g_m2_new,max_ht,ci,ca_ci,wue,Aarea_gs,trans,trans_es,d15N,d13C,max_height_m,SPo,TLP,H2OTLP,symH2O,elast_mod,shootH20,ci_ca,SWCsap,SWCstem,SWCbark,BarkThick,n(bark),Wshear(Jm01),Toughness(Jm-2),leaf thickness
146,170,Acacia havilandiorum,acahav,Round Hill mallee,loRloP,RHM,wnsw_loP,Acahav,3.81,115.48,-3.29,-4.2,NA,NA,NA,1.75,123,30.6,12,8.9,1.46,0.046,48.93,3.83,0.121,4,175,197,4.32,0.097,2.77,221.7,-2.1767,-26.759,4,-2.77,-3.56,82.89,77.99,16.56,51.97,0.005076142,40.001,47.92,64.831,1.06944,9,0.51,562,0.89
148,172,Acacia wilhelmiana,acawil,Round Hill mallee,loRloP,RHM,wnsw_loP,Acawil,6.24,25.48,-3.23,-3.58,NA,NA,NA,1.01,60,52.8,8.2,11.6,1.89,0.073,52.65,3.03,0.117,2.3,135,248,5.49,0.137,1.49,107.2,-1.5733,-27.4745,2.3,-2.24,-3.17,78.05,75.58,10.29,52.19,0.004032258,47.257,54.548,78.507,0.68611,9,0.21,586,0.37
149,173,Bertya cunninghamii,bercun,Round Hill mallee,loRloP,RHM,wnsw_loP,Bercun,5.91,18.24,-3.23,-4.21,4.39E-06,0.24,5.81E-04,1.34,75,41.1,7.1,10.3,1.91,0.085,50.01,3.23,0.144,2.1,213,166,3.97,0.095,1.79,134.4,-3.3446,-26.2771,2.1,-2.33,-3.36,74.98,82.13,9.93,52.06,0.006024096,52.446,59.768,79.727,0.81,10,0.11,248,0.45
150,174,Beyeria opaca,beyopa,Round Hill mallee,loRloP,RHM,wnsw_loP,beyopa,6.27,28.8,NA,NA,1.36E-06,0.0709,2.50E-04,1.23,56,36.5,5.7,9.3,1.72,0.075,54.31,2.75,0.12,0.7,183,185,3.76,0.102,1.52,101.3,-2.6572,-25.7657,0.7,NA,NA,NA,NA,NA,NA,0.005405405,53.942,65.631,99.131,0.905,10,0.2,574,0.35
151,175,Bossiaea walkeri,boswal,Round Hill mallee,loRloP,RHM,wnsw_loP,Boswal,3.15,320.69,-4,-4.12,NA,NA,NA,4.73,162,28.5,11.1,6.7,1.21,0.038,48.51,3.86,0.121,2,229,135,3.04,0.069,3.66,291.4,-3.9581,-26.3706,2,-2.39,-3.32,81.31,63.95,23.39,43.38,0.007407407,46.507,49.678,56.202,1.32,10,3.78,6097,0.61
152,176,Brachychiton populneus,brapop,Round Hill mallee,loRloP,RHM,wnsw_loP,Brapop,8.02,1263.52,-1,-1.29,NA,NA,NA,1.1,68,50.6,7.4,4.7,1.55,0.083,49.85,1.93,0.103,7,169,192,4.69,0.108,1.57,122.9,-0.4134,-24.2879,7,-2.01,-3.01,85.52,43.64,14.44,53.96,0.005208333,113.622,131.538,141.192,2.73611,9,0.38,1600,0.24
153,177,Callitris glaucophylla,calgla,Round Hill mallee,loRloP,RHM,wnsw_loP,CalGla_m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.08,0.057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
155,179,Cassinia laevis,caslae,Round Hill mallee,loRloP,RHM,wnsw_loP,Caslae,7.71,13.88,-2.83,-4.34,4.56E-06,0.292,3.73E-04,0.83,57,49.6,6.9,12.9,1.85,0.104,52,2.4,0.135,2.4,173,200,4.64,0.121,1.48,102.4,-2.317,-30.3447,2.4,-2.04,-3.2,65.87,93.86,6.08,62.18,0.005,63.557,76.117,108.298,0.8425,10,0.12,400,0.31
157,181,Eremophila deserti,eredes,Round Hill mallee,loRloP,RHM,wnsw_loP,Eredes,4.59,134.02,-3.99,-4.66,NA,NA,NA,2.42,92,46.4,9.1,6.4,1.59,0.089,48.38,3.48,0.194,1.2,189,182,3.99,0.099,2.28,165.9,-2.9086,-26.2546,1.15,-2.43,-3.17,80.55,83.48,11.92,65.83,0.005494505,44.259,63.782,124.827,0.97,10,0.34,437,0.75
158,182,Eremophila glabra,eregla,Round Hill mallee,loRloP,RHM,wnsw_loP,Eregla,6.42,111.54,-4.28,-5.05,2.14E-06,0.293,3.09E-04,1.32,142,69.3,11.9,11.5,1.83,0.102,49.1,2.86,0.159,1.7,214,155,3.51,0.084,3.39,255,-2.1602,-26.294,1.7,-2.15,-3.11,73.6,85.33,8.08,62.43,0.006451613,48.956,71.622,138.006,0.9825,10,0.25,661,0.37
160,184,Eucalyptus dumosa,eucdum,Round Hill mallee,loRloP,RHM,wnsw_loP,Eucdum,3.31,1226.54,-3.69,-4.1,NA,NA,NA,2.49,135,38.3,13.4,3.7,0.91,0.049,53.07,2.74,0.148,6,170,178,4.56,0.1,2.95,242.6,-1.8981,-24.6626,6,-2.76,-4.11,73.6,79.07,11.57,49.51,0.005617978,52.452,72.274,114.417,1.1475,10,0.98,1804,0.54
161,185,Eucalyptus socialis,eucsoc,Round Hill mallee,loRloP,RHM,wnsw_loP,Eucsoc,3.51,1143.52,-3.13,-3.69,3.39E-06,0.442,1.48E-04,2.39,172,51.2,16.2,4.8,1.22,0.061,53.11,3.47,0.174,8.3,169,168,4.84,0.094,3.35,310.3,-2.6888,-25.8966,8.3,-2.91,-4.13,80.24,66.65,14.25,47.33,0.005952381,56.663,80.443,144.739,0.985,10,1.04,1982,0.52
162,186,Eutaxia microphylla,eutmic,Round Hill mallee,loRloP,RHM,wnsw_loP,Eutmic,11.26,NA,NA,NA,NA,NA,NA,0.97,322,92.7,10.3,14.9,1.89,0.078,48.58,1.68,0.069,0.7,293,81,1.66,0.032,6.19,579.6,-2.9755,-26.6691,0.65,NA,NA,NA,NA,NA,NA,0.012345679,,,,,,,,
163,187,Grevillea anethifolia,greane,Round Hill mallee,loRloP,RHM,wnsw_loP,greane,NA,NA,NA,NA,NA,NA,NA,NA,40,36.2,5.2,10.5,NA,NA,49.86,NA,NA,NA,137,227,4.53,0.131,1.16,71.9,-0.9113,-25.9871,NA,NA,NA,NA,NA,NA,NA,0.004405286,,,,,,,,
165,189,Melaleuca uncinata,melunc,Round Hill mallee,loRloP,RHM,wnsw_loP,MelUnc_m,4.12,47.21,-2.82,-4.22,8.08E-06,0.216,0.00129,1.32,136,36.1,11.2,9.2,1.15,0.078,51.97,2.8,0.189,3.1,225,147,3.34,0.082,3.34,244.9,-3.2815,-26.7744,3.1,-3.46,-4.65,79.9,82.18,17.82,44.7,0.006802721,49.67,60.664,74.16,1.025,10,0.55,795,0.69
166,190,Micromyrtus sessilis,micses,Round Hill mallee,loRloP,RHM,wnsw_loP,Micses,NA,NA,NA,NA,NA,NA,NA,NA,51,24,5.1,6.8,NA,NA,54.03,NA,NA,NA,213,161,3.61,0.099,1.41,91.9,-2.9693,-28.1449,NA,NA,NA,NA,NA,NA,NA,0.00621118,,,,,,,,
168,192,Olearia decurrens,oledec,Round Hill mallee,loRloP,RHM,wnsw_loP,Oledec,6.44,28.65,-3.12,-4.78,NA,NA,NA,0.94,92,78.3,10.3,12.2,1.72,0.085,48.81,2.67,0.132,1.8,181,193,4.66,0.112,2.21,166.2,-1.1322,-28.7279,1.8,-2.01,-2.52,84.04,79.86,11.84,65.35,0.005181347,52.697,68.241,98.227,1.2125,10,0.14,403,0.34
169,193,Olearia pimelioides,olepim,Round Hill mallee,loRloP,RHM,wnsw_loP,Olepim,9.71,8.27,-3.06,-4.81,6.58E-07,0.0901,8.74E-05,0.76,95,65.6,7.7,13.9,2.33,0.11,48.96,2.4,0.113,1.2,230,145,3.27,0.081,2.37,171.9,-1.7359,-28.441,1.2,-1.72,-2.73,67.87,86.56,5.68,60.95,0.006896552,,,,,,0.1,348,0.28
170,194,Philotheca difformis,phidif,Round Hill mallee,loRloP,RHM,wnsw_loP,Phidif,5.63,5.42,-2.99,-3.8,NA,NA,NA,2.27,93,39.1,9.6,9.8,1.37,0.063,48.45,2.44,0.112,1.8,191,177,4.4,0.103,2.19,167.8,-2.5125,-25.5626,1.8,-1.86,-3.15,66.24,83.2,5.11,58.55,0.005649718,44.624,65.458,135.615,0.935,10,0.23,376,0.67
171,195,Santalum acuminatum,sanacu,Round Hill mallee,loRloP,RHM,wnsw_loP,Sanacu,3.2,766.88,-3.12,-4.6,NA,NA,NA,1.44,130,20.6,7.4,3.9,1,0.064,46.81,3.12,0.2,6,258,108,2.71,0.057,2.73,233.8,-3.937,-27.299,6,-2.97,-3.82,83.03,78.3,18.86,66.24,0.009259259,56.21,81.081,123.206,1.5975,10,0.58,733,0.79
173,197,Triodia scariosa,trisca,Round Hill mallee,loRloP,RHM,wnsw_loP,TriSca,4.07,NA,NA,NA,NA,NA,NA,NA,82,34.4,13,8.2,NA,NA,45.5,2.16,NA,NA,97,273,6.59,0.159,1.98,148,-2.2391,-13.8396,NA,NA,NA,NA,NA,NA,NA,0.003663004,,,,,,,,
,,Acacia doratoxylon,acador,Round Hill mallee,loRloP,RHM,wnsw_loP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.831,56.412,87.853,1.025,10,,,
