species_name,genus,species,intr rank,longevity,GF,leaf longevity,max height (m),glacous,leaf type,leaf shape,leaf length (mm),leaf width (mm),seed shape,seed length (mm),seed diameter (mm),seed depth (mm),flowering time,fruiting,dispersal appendage,aquatic,succulent
Glinus orygioides,GLINUS,orygioides,,perennial,herb,e,,,s,obovate,Jul-20,Mar-13,reniform,1-1.2,,,,,,,
Glinus sessiliflorus,GLINUS,sessiliflorus,,annual,herb,,,,s,elliptic,Jan-15,0.8-5,reniform,0.33-0.4,,,jun-dec,,,,
Macarthuria vertex,MACARTHURIA,vertex,,perennial,subshrub,e,2,,s,linear-oblanceolate,55,5,comma shaped,1.5-2,,,all year,all year,,,
Mollugo cerviana,MOLLUGO,cerviana,,ephemeral,herb,,0.18,,s,linear,May-15,0.2-1,reniform,0.35-0.4,,,dec-may,dec-may,,,
Mollugo molluginis,MOLLUGO,molluginis,,perennial,herb,e,0.2,,s,linear,15-45,1-2.5,reniform,1-1.2,,,jan-oct,jan-oct,,,
Antiaris toxicaria var. macrophylla,ANTIARIS,toxicaria,var. macrophylla,perennial,tree,d,28,,s,ovate,40-210,30-80,,,,,jul-mar,jul-mar,,,
Artocarpus glaucus,ARTOCARPUS,glaucus,,perennial,tree,e,26,,s,ovate,50-250,30-80,,,,,jan-oct,may-nov,,,
Fatoua villosa,FATOUA,villosa,,,herb,e,1,,s,ovate,Aug-48,Jun-40,,,,,jun-may,jun-may,,,
Horsfieldia australiana,HORSFIELDIA,australiana,,perennial,tree,e,20,,s,elliptic,60-250,28-80,,,,,aug-nov,aug-feb,,,
Myristica insipida var. insipida,MYRISTICA,insipida,var. insipida,perennial,tree,e,20,,s,ovate,50-200,20-70,ellipsoid,20-25,,,all year,all year,,,
Myristica lancifolia subsp. australiana,MYRISTICA,lancifolia,subsp. australiana,perennial,tree,e,20,,s,ovate,50-240,20-80,ellipsoid,17-20,,,feb-jun,may-nov,aril,,
Ficus aculeata var. aculeata,FICUS,aculeata,var. aculeata,perennial,tree,e,15,,s,ovate,19-149,14-96,,,,,,,,,
Ficus aculeata var. indecora,FICUS,aculeata,var. indecora,perennial,tree,e,15,,s,ovate,17-182,13-81,,,,,,,,,
Ficus adenosperma,FICUS,adenosperma,,perennial,tree,e,10,,s,ovate,27-136,15-68,,,,,,,,,
Ficus atricha,FICUS,atricha,,perennial,tree,e,10,,s,ovate,16-54,8-111,,,,,,,,,
Ficus benjamina,FICUS,benjamina,,perennial,tree,e,15,,s,lanceolate,36-125,16-51,,,,,,,,,
Ficus brachypoda,FICUS,brachypoda,,perennial,tree,e,10,,s,ovate,19-126,Jun-69,,,,,,,,,
Ficus carpentariensis,FICUS,carpentariensis,,perennial,tree,e,12,,s,elliptic,42-188,16-65,,,,,,,,,
Ficus cerasicarpa,FICUS,cerasicarpa,,perennial,tree,e,13,,s,elliptic,27-124,14-73,,,,,,,,,
Ficus congesta,FICUS,congesta,,perennial,tree,e,8,,s,elliptic,80-271,39-132,,,,,,,,,
Ficus coronulata,FICUS,coronulata,,perennial,tree,e,15,,s,elliptic,50-333,12-105,,,,,,,,,
Ficus henneana,FICUS,henneana,,perennial,tree,e,10,,s,ovate,42-151,18-88,,,,,,,,,
Ficus hispida,FICUS,hispida,,perennial,tree,e,13,,s,elliptic,87-340,37-150,,,,,,,,,
Ficus lilliputiana,FICUS,lilliputiana,,perennial,shrub,e,0.45,,s,obovate,Aug-67,Jun-41,,,,,,,,,
Ficus platypoda,FICUS,platypoda,,perennial,tree,e,10,,s,ovate,53-167,31-133,,,,,,,,,
Ficus racemosa,FICUS,racemosa,,perennial,tree,e,30,,s,ovate,43-247,19-110,,,,,,,,,
Ficus scobina,FICUS,scobina,,perennial,tree,e,8,,s,obovate,25-212,10-120,,,,,,,,,
Ficus subpuberula,FICUS,subpuberula,,perennial,tree,e,13,,s,ovate,27-143,Nov-68,,,,,,,,,
Ficus tinctoria,FICUS,tinctoria,,perennial,tree,e,15,,s,elliptic,23-171,Oct-74,,,,,,,,,
Ficus virens,FICUS,virens,,perennial,tree,e,32,,s,elliptic,35-189,18-102,,,,,,,,,
Trophis scandens,TROPHIS,scandens,,perennial,vine,e,,,s,ovate,30-155,17-80,,,,,sep-may,nov-may,,,
Adenia heterophylla subsp. australis,ADENIA,heterophylla,subsp. australis,perennial,liana,e,,,s,ovate,3.5-21,2.5-18,subcircular,7-Aug,7-Aug,7-Aug,all year,all year,,,
Aegialitis annulata,AEGIALITIS,annulata,,perennial,shrub,e,3,,s,elliptic,3-8.5,2-Jul,,,,,,,,,
Plumbago zeylanica,PLUMBAGO,zeylanica,,perennial,shrub,e,1,,s,ovate,Oct-90,Jun-60,,,,,feb-jun,mar-aug,,,
Boerhavia albiflora,BOERHAVIA,albiflora,,perennial,herb,e,,,s,ovate,62,42,,,,,ay,ay,,,
Boerhavia burbidgeana,BOERHAVIA,burbidgeana,,perennial,herb,e,,,s,lanceolate,40,19,,,,,oct-may,oct-may,,,
Boerhavia coccinea,BOERHAVIA,coccinea,,perennial,herb,e,,,s,lanceolate,55,28,,,,,ay,ay,,,
Boerhavia gardneri,BOERHAVIA,gardneri,,perennial,herb,e,,,s,ovate,35,20,,,,,dec-may,dec-may,,,
Pisonia aculeata,PISONIA,aculeata,,perennial,liana,e,,,s,elliptic,100,70,,,,,may-aug,aug-dec,,,
Suriana maritima,SURIANA,maritima,,perennial,shrub,e,2,,s,oblanceolate,Nov-36,1.8-5,,,,,feb-sep,apr-oct,,,
Berrya javanica,BERRYA,javanica,,perennial,tree,e,12,,s,elliptic,67-180,40-105,ellipsoid,6-Jul,4-May,4-May,apr-may,jun-oct,,,
Corchorus aestuans,CORCHORUS,aestuans,,annual,herb,,1,,s,ovate,17-80,Jul-40,rhombic,1.5,,,feb-jun,feb-jun,,,
Corchorus fascicularis,CORCHORUS,fascicularis,,annual,herb,,0.2,,s,lanceolate,Oct-50,Apr-14,cylindrical,1-Feb,,,feb-jun,feb-jun,,,
Corchorus capsularis,CORCHORUS,capsularis,,perennial,shrub,e,2,,s,lanceolate,35-105,13-40,obovoid,2-2.6,1.4-1.9,1.4-1.9,mar-jun,apr-jul,,,
Grewia breviflora,GREWIA,breviflora,,perennial,shrub,d,10,,s,lanceolate,27-181,17-101,,,,,nov-feb,nov-apr,drupe,,
Grewia mesomischa,GREWIA,mesomischa,,perennial,shrub,e,1.5,,s,elliptic,42-165,23-108,,,,,dec-feb,apr-jun,drupe,,
Grewia orbifolia,GREWIA,orbifolia,,perennial,shrub,d,2,,s,ovate,Oct-58,Oct-64,,,,,feb,feb-jul,drupe,,
Grewia oxyphylla,GREWIA,oxyphylla,,perennial,liana,d,,,s,ovate,40-130,25-73,,,,,nov-jul,may-nov,drupe,,
Grewia retusifolia,GREWIA,retusifolia,,perennial,shrub,e,1,,s,lanceolate,36-145,18-58,,,,,dec-feb,apr-jul,drupe,,
Schoutenia ovata,SCHOUTENIA,ovata,,perennial,tree,d,10,,s,elliptic,35-98,17-50,,,,,feb-mar,may,,,
Triumfetta albida,TRIUMFETTA,albida,,perennial,shrub,e,1.5,y,s,lanceolate,33-106,19-64,,,,,feb-jun,mar-jun,,,
Triumfetta aquila,TRIUMFETTA,aquila,,perennial,shrub,e,1,,s,ovate,30-100,18-63,,,,,mar-jun,june,,,
Triumfetta cinerea,TRIUMFETTA,cinerea,,perennial,shrub,e,1.5,,s,lanceolate,35-115,Dec-22,,,,,feb-apr,mar-jul,,,
Triumfetta repens,TRIUMFETTA,repens,,perennial,subshrub,e,,,s,ovate,16-47,15-45,,,,,mar-jul,june,,,
Triumfetta rhomboidea,TRIUMFETTA,rhomboidea,,annual,shrub,e,1.5,,s,ovate,24-90,5-104,,,,,feb-may,feb-aug,,,
Triumfetta sylvicola,TRIUMFETTA,sylvicola,,perennial,shrub,e,1.5,,s,ovate,21-115,13-60,,,,,feb-apr,mar-sept,,,
Muehlenbeckia Mt Brockman (L.A. Craven 2357),MUEHLENBECKIA,Mt Brockman (L.A. Craven 2357),,perennial,shrub,e,2,,s,ovate,18-83,Sep-55,,,,,dec-jul,dec-jul,,,
Muehlenbeckia arnhemica,MUEHLENBECKIA,arnhemica,,perennial,shrub,e,2,,s,ovate,18-83,Sep-55,,,,,dec-jul,dec-jul,,,
Persicaria attenuata,PERSICARIA,attenuata,,perennial,herb,e,1,,s,ovate,50-200,15-45,,,,,ay,ay,,,
Persicaria barbata,PERSICARIA,barbata,,perennial,herb,e,1,,s,elliptic,50-150,Oct-30,,,,,mar-nov,mar-nov,,,
Persicaria dichotoma,PERSICARIA,dichotoma,,,herb,e,,,s,ovate,60-125,15-22,,,,,apr,apr,,,
Persicaria orientalis,PERSICARIA,orientalis,,annual,herb,e,2,,s,ovate,60-240,35-85,,,,,mar-nov,mar-nov,,,
Piper macropiper,PIPER,macropiper,,perennial,vine,e,,,s,ovate,40-200,25-135,,,,,,,,,
Clematis pickeringii,CLEMATIS,pickeringii,,perennial,liana,e,,,c,ovate,40-125,20-80,,,,,feb,feb,,,
Celtis paniculata,CELTIS,paniculata,,perennial,tree,e,10,y,s,ovate,48-88,12.5-35,,,,,jan-aug,jan-aug,drupe,,
Celtis philippensis,CELTIS,philippensis,,perennial,tree,e,15,y,s,elliptic,13-173,9-100,,,,,ay,ay,drupe,,
Trema tomentosa,TREMA,tomentosa,,perennial,tree,e,6,,s,ovate,10-148,Jun-56,,,,,ay,ay,drupe,,
Nelumbo nucifera,NELUMBO,nucifera,,perennial,,e,,,s,orbicular,18-70,18-70,,,,,mar-dec,jun-dec,,,
Auranticarpa melanosperma,AURANTICARPA,melanosperma,,perennial,tree,e,10,,s,elliptic,57-140,Oct-53,,,,,jan-sep,jan-oct,,,
Bursaria incana,BURSARIA,incana,,perennial,tree,e,8,,s,oblanceolate,Jul-83,Jan-19,,,,,feb-apr,apr-sep,,,
Pittosporum angustifolium,PITTOSPORUM,angustifolium,,perennial,tree,e,10,,s,linear,42-120,Jun-14,,,,,may-sep,mar-dec,,,
Pittosporum ferrugineum subsp. ferrugineum,PITTOSPORUM,ferrugineum,subsp. ferrugineum,perennial,tree,e,10,,s,oblanceolate,40-138,15-51,angular,3-May,2.3-3.6,,may-oct,aug-oct,,,
Pittosporum moluccanum,PITTOSPORUM,moluccanum,,perennial,tree,e,7,,s,oblanceolate,67-145,25-54,,,,,may-aug,mar-aug,,,
Mimusops elengi,MIMUSOPS,elengi,,perennial,tree,e,13,,s,elliptic,35-140,20-60,ellipsoid,Nov-14,7-9.5,4.5-7,oct-mar,feb-jul,,,
Pouteria arnhemica,POUTERIA,arnhemica,,perennial,tree,e,10,,s,ovate,30-170,30-115,ellipsoid,Oct-14,7-Aug,4-May,sep-feb,mar-aug,,,
Pouteria richardii,POUTERIA,richardii,,perennial,tree,e,20,,s,elliptic,45-230,15-80,fusiform,Nov-13,,,ay,ay,,,
Pouteria sericea,POUTERIA,sericea,,perennial,shrub,e,15,,s,ovate,20-150,14-65,ellipsoid,14-19,Oct-13,Oct-13,apr-jul,apr-jul,,,
Hybanthus enneaspermus,HYBANTHUS,enneaspermus,,annual,herb,,0.6,,s,linear,Oct-70,0.5-5.5,ovoid,1.9-2.5,1.1-1.35,1.1-1.35,ay,ay,,,
Melastoma affine,MELASTOMA,affine,,perennial,shrub,e,7,,s,elliptic,40-130,Oct-75,,,,,ay,ay,,,
Memecylon pauciflorum,MEMECYLON,pauciflorum,,perennial,shrub,e,5,,s,elliptic,24-70,Oct-30,,,,,nov-feb,nov-may,,,
Osbeckia australiana,OSBECKIA,australiana,,perennial,shrub,e,2,,s,linear,15-60,Feb-13,,,,,ay,ay,,,
amyema benthamii,amyema,benthamii,,perennial,parasite,,,,s,elliptic,25-85,16-40,,,,,jun-feb,jun-oct,,,
amyema bifurcata,amyema,bifurcata,,perennial,parasite,,,,s,lanceolate,70-260,Jul-19,,,,,ay,ay,,,
amyema haematodes,amyema,haematodes,,perennial,parasite,,,,s,ovate,41-95,21-47,,,,,jul-jan,,,,
amyema mackayensis subsp. cycnei-sinus,amyema,mackayensis,subsp. cycnei-sinus,perennial,parasite,,,,s,elliptic,20-58,Oct-41,,,,,jan-aug,apr-oct,,,
amyema miquelii,amyema,miquelii,,perennial,parasite,,,,s,lanceolate,40-180,Aug-27,,,,,feb-nov,feb-nov,,,
amyema sanguinea,amyema,sanguinea,,perennial,parasite,,,,s,elliptic,50-200,Aug-52,,,,,oct-jan,feb-may,,,
amyema villiflora,amyema,villiflora,,perennial,parasite,,,,s,orbicular,26-92,Aug-42,,,,,nov-jun,jan-sep,,,
Decaisnina signata,DECAISNINA,signata,,perennial,parasite,,,,s,lanceolate,40-175,15-65,,,,,ay,ay,,,
Dendrophthoe glabrescens,DENDROPHTHOE,glabrescens,,perennial,parasite,,,,s,lanceolate,40-135,15-50,,,,,feb-oct,jan-jul,,,
Dendrophthoe odontocalyx,DENDROPHTHOE,odontocalyx,,perennial,parasite,,,,s,elliptic,43-140,May-47,,,,,ay,jul-nov,,,
Diplatia furcata,DIPLATIA,furcata,,perennial,parasite,,,,s,spathulate,30-100,Apr-20,,,,,apr-sep,jan-apr,,,
Viscum articulatum,VISCUM,articulatum,,perennial,parasite,,,,,,,,,,,,apr-aug,apr-aug,,,
Viscum whitei subsp. flexicaule,VISCUM,whitei,subsp. flexicaule,perennial,parasite,,,,s,oblanceolate,26-45,5-Oct,,,,,,,,,
Cassine melanocarpa,CASSINE,melanocarpa,,perennial,shrub,e,6,,s,obovate,50-130,22-90,,,,,,,drupe,,
Denhamia obscura,DENHAMIA,obscura,,perennial,tree,e,9,,s,elliptic,50-120,Sep-38,,5-Jun,,,jun-sep,may-dec,aril,,
Maytenus ferdinandi,MAYTENUS,ferdinandi,,perennial,tree,d,8,,s,elliptic,40-100,20-50,,,,,nov-jan,dec-mar,aril,,
Acacia alleniana,ACACIA,alleniana,,perennial,shrub,e,4,,s,linear,120-200,0.6-1,oblong,5-Jun,2.5,2.5,feb-apr,mar-oct,,,
Acacia aulacocarpa,ACACIA,aulacocarpa,,perennial,tree,e,10,,s,falcate,55-185,Sep-35,oblong,5-Jun,3-3.5,3-3.5,feb-jun,aug-nov,,,
Acacia auriculiformis,ACACIA,auriculiformis,,perennial,tree,e,20,,s,falcate,95-220,Dec-52,discoidal,4-May,,,feb-jul,jul-oct,,,
Acacia conspersa,ACACIA,conspersa,,perennial,shrub,e,7.5,,s,elliptic,32-130,4-Aug,oblong,4-May,2-Mar,2-Mar,apr-oct,sep-oct,,,
Acacia difficilis,ACACIA,difficilis,,perennial,shrub,e,9,,s,falcate,55-200,15-51,oblong,5-Sep,2.7-3.7,2.7-3.7,jun-sep,aug-oct,,,
Acacia dimidiata,ACACIA,dimidiata,,perennial,shrub,e,4,,s,,37-155,16-95,oblong,5.5-8,3.5-4,3.5-4,mar-jul,aug-oct,,,
Acacia farnesiana,ACACIA,farnesiana,,perennial,shrub,e,4,,c,oblong,5.5-10,2-3.2,ellipsoid,6-Sep,4.5-5.5,4.5-5.5,jun-aug,nov-dec,,,
Acacia gonocarpa,ACACIA,gonocarpa,,perennial,shrub,e,3,,s,linear,12-125,0.6-5,oblong,5,2.2-2.5,2.2-2.5,ay,ay,,,
Acacia helicophylla,ACACIA,helicophylla,,perennial,shrub,e,4,,s,elliptic,45-110,May-28,ellipsoid,5-5.5,4,4,mar-aug,apr-dec,,,
Acacia hemignosta,ACACIA,hemignosta,,perennial,shrub,e,7,,s,oblanceolate,40-135,5.5-35,discoidal,5.5-6.5,5.5-6.5,5.5-6.5,may-oct,jun-nov,,,
Acacia holosericea,ACACIA,holosericea,,perennial,shrub,e,5,,s,elliptic,100-225,20-60,oblong,4-May,2-Mar,2-Mar,jun-sep,ay,,,
Acacia humifusa,ACACIA,humifusa,,perennial,shrub,e,2,,s,,25-76,15-52,oblong,6.5,3,3,ay,mar-jul,,,
Acacia latescens,ACACIA,latescens,,perennial,tree,e,9,,s,linear,80-260,Apr-18,ellipsoid,9-Oct,5-Jul,5-Jul,apr-jul,aug-jan,,,
Acacia leptocarpa,ACACIA,leptocarpa,,perennial,tree,e,15,,s,elliptic,115-270,Jul-55,oblong,3.5-5,2-Mar,2-Mar,may-oct,sep-nov,,,
Acacia mangium,ACACIA,mangium,,perennial,tree,e,10,,s,,115-185,23-64,,,,,,,,,
Acacia mimula,ACACIA,mimula,,perennial,tree,e,7,,s,elliptic,70-180,Jul-35,ellipsoid,10,7-Sep,7-Sep,apr-jun,aug-sep,,,
Acacia mountfordiae,ACACIA,mountfordiae,,perennial,shrub,e,4,,s,,16-49,Jun-20,oblong,4-5.5,3-Apr,3-Apr,jun-oct,oct,,,
Acacia multisiliqua,ACACIA,multisiliqua,,perennial,shrub,e,2.5,,s,elliptic,20-82,2.5-12,ellipsoid,3.5-5,2-Mar,2-Mar,ay,mar-nov,,,
Acacia nuperrima,ACACIA,nuperrima,,perennial,shrub,e,1,,s,elliptic,Jun-24,1-Mar,oblong,4.5-5,1.7-2.2,1.7-2.2,feb-dec,feb-aug,,,
Acacia oligoneura,ACACIA,oligoneura,,perennial,shrub,e,1.5,,s,oblanceolate,110-190,12.5-20,ellipsoid,5-5..5,2-2.5,2-2.5,jan-may,dec,,,
Acacia oncinocarpa,ACACIA,oncinocarpa,,perennial,shrub,e,4,,s,elliptic,58-110,Apr-29,oblong,4-Jun,2-3.5,2-3.5,mar-aug,jul-oct,,,
Acacia pachyphloia,ACACIA,pachyphloia,,perennial,tree,e,10,,c,elliptic,May-28,2-Jul,oblong,12,9-Oct,9-Oct,ay,jun-jul,,,
Acacia pallidifolia,ACACIA,pallidifolia,,perennial,tree,e,6,,c,lanceolate,Jun-14,1-Apr,discoidal,9,8.5,8.5,sep-oct,nov,,,
Acacia pellita,ACACIA,pellita,,perennial,shrub,e,8,,s,elliptic,70-180,25-70,oblong,4.5-5,3-Apr,3-Apr,ay,ay,,,
Acacia platycarpa,ACACIA,platycarpa,,perennial,shrub,e,8,,s,,52-190,Oct-67,ellipsoid,8-Sep,6-Jul,6-Jul,nov-mar,may-sep,,,
Acacia plectocarpa,ACACIA,plectocarpa,,perennial,shrub,e,7,,s,spathulate,120-195,4.5-13,discoidal,4-4.2,2.5-3.7,2.5-3.7,may-jul,jul-nov,,,
Acacia praelongata,ACACIA,praelongata,,perennial,tree,e,8,,s,linear,120-205,1-2.5,discoidal,5.5-7,5.5-7,5.5-7,may-sep,jun-sep,,,
Acacia praetermissa,ACACIA,praetermissa,,perennial,shrub,e,1.2,,s,oblanceolate,110-150,Mar-18,discoidal,6,4,4,mar-sept,jul-aug,,,
Acacia tolmerensis,ACACIA,tolmerensis,,perennial,shrub,e,,,s,,110-245,50-88,ellipsoid,8-Oct,7-7.5,7-7.5,nov-feb,may,,,
Acacia torulosa,ACACIA,torulosa,,perennial,shrub,e,8,,s,elliptic,85-205,4-Dec,oblong,5-7.5,3-4.7,3-4.7,may-jul,aug-nov,,,
Acacia umbellata,ACACIA,umbellata,,perennial,shrub,e,5,,s,elliptic,50-130,Oct-39,oblong,3.5-5,2-2.5,2-2.5,jan-jun,jun-oct,,,
Acacia Douglas R.,ACACIA,Douglas R.,,perennial,tree,e,7,,c,linear,1.7-2,0.7-0.9,oblong,12,9,9,oct,jun-aug,,,
Adenanthera pavonina,ADENANTHERA,pavonina,,perennial,tree,e,20,,c,elliptic,15-50,Aug-25,discoidal,8-Oct,8-Oct,8-Oct,jan-feb,ay,,,
Albizia canescens,ALBIZIA,canescens,,perennial,tree,e,10,,c,elliptic,32-44,14-35,discoidal,8.5,8.5,8.5,sep,jun-oct,,,
Albizia lebbeck,ALBIZIA,lebbeck,,perennial,tree,d,15,,c,ovate,18-37,Sep-14,discoidal,9,7,7,sep-oct,jan-sep,,,
Cathormium umbellatum,CATHORMIUM,umbellatum,,perennial,shrub,e,10,,c,obovate,21-43,Sep-27,oblong,12,10,10,aug-nov,ay,,,
Entada rheedii,ENTADA,rheedii,,perennial,liana,e,,,c,elliptic,32-55,17-27,discoidal,40,40,20,apr,ay,,,
Neptunia major,NEPTUNIA,major,,annual,shrub,,2,,c,linear,6-Nov,1.5-2,obovoid,4,3-Apr,3-Apr,,jan-jun,,,
Neptunia ‘Darwin’,NEPTUNIA,‘Darwin’,,perennial,shrub,,0.5,,c,linear,4-Jul,1-Feb,discoidal,3.5,3.5,3.5,ay,jan-apr,,,
Lumnitzera littorea,LUMNITZERA,littorea,,perennial,tree,e,13,,s,,40-110,Jul-22,,,,,jun-dec,jul-aug,,,
Lumnitzera racemosa,LUMNITZERA,racemosa,,perennial,tree,e,7,,s,,20-82,Oct-25,,,,,ay,nov-mar,,,
Terminalia canescens,TERMINALIA,canescens,,perennial,tree,e,8,,s,elliptic,28-75,May-35,,,,,nov-feb,mar-sept,,,
Terminalia carpentariae,TERMINALIA,carpentariae,,perennial,tree,d,6,,s,elliptic,50-160,38-107,,,,,oct-dec,sep-nov,,,
Terminalia catappa,TERMINALIA,catappa,,perennial,tree,d,15,,s,obovate,140-260,106-145,,,,,oct-feb,dec-jan,,,
Terminalia erythrocarpa,TERMINALIA,erythrocarpa,,perennial,tree,e,6,,s,elliptic,90-225,26-60,,,,,oct-jan,jan-jun,,,
Terminalia ferdinandiana,TERMINALIA,ferdinandiana,,perennial,tree,d,7,,s,elliptic,110-330,87-235,,,,,oct-dec,apr-jun,,,
Terminalia grandiflora,TERMINALIA,grandiflora,,perennial,tree,d,14,,s,elliptic,40-130,Jun-16,,,,,jul-oct,dec-feb,,,
Terminalia latipes,TERMINALIA,latipes,,perennial,tree,d,10,,s,elliptic,77-200,56-140,,,,,sep-oct,sep-oct,,,
Terminalia microcarpa,TERMINALIA,microcarpa,,perennial,tree,d,30,,s,obovate,40-160,15-70,,,,,sep-nov,nov,,,
Terminalia platyphylla,TERMINALIA,platyphylla,,perennial,tree,d,10,,s,elliptic,74-195,40-125,,,,,oct-feb,may-sep,,,
Terminalia platyptera,TERMINALIA,platyptera,,perennial,tree,d,10,,s,elliptic,35-95,14-40,,,,,nov-jan,apr-sep,,,
Terminalia pterocarya,TERMINALIA,pterocarya,,perennial,tree,e,5,,s,elliptic,22-75,Oct-50,,,,,dec-mar,mar-jul,,,
Terminalia volucris,TERMINALIA,volucris,,perennial,tree,d,7,,s,elliptic,21-110,15-62,,,,,aug-dec,oct-jan,,,
Salacia chinensis,SALACIA,chinensis,,perennial,liana,d,,,s,elliptic,40-150,20-80,,,,,jul-oct,oct-dec,,,
Stackhousia intermedia,STACKHOUSIA,intermedia,,annual,,e,0.8,,s,linear,Oct-50,0.4-2,,,,,jan-may,jan-may,,,
Ilex arnhemensis,ILEX,arnhemensis,,perennial,tree,e,22,,s,elliptic,53-140,22-67,,,,,jun-oct,jun-oct,,,
Abrus precatorius,ABRUS,precatorius,,perennial,vine,d,,,c,oblong,Jul-24,3-Aug,ellipsoid,6-Sep,4.5-6,4.5-6,feb-may,may-sep,,,
Aeschynomene aspera,AESCHYNOMENE,aspera,,perennial,shrub,e,2,,c,oblong,Apr-14,1.5-3.5,,7-Aug,4-May,4-May,feb-may,feb-may,,,
Aeschynomene indica,AESCHYNOMENE,indica,,perennial,shrub,e,1.5,,c,oblong,2.5-9,1-2.6,,4,3,3,feb-jun,feb-jun,,,
Alysicarpus glumaceus,ALYSICARPUS,glumaceus,,annual,herb,,1,,c,elliptic,11-150,2-Jul,ellipsoid,1.2-2,1.2-1.8,1.2-1.8,feb-jul,feb-jul,,,
Alysicarpus longifolius,ALYSICARPUS,longifolius,,perennial,shrub,e,2,,c,linear,38-130,2.5-9,,,,,dec-apr,dec-apr,,,
Alysicarpus rugosus,ALYSICARPUS,rugosus,,annual,herb,,2,,c,linear,21-118,2.5-23,ellipsoid,2.5-3.8,1.8-2,1.8-2,mar-aug,mar-aug,,,
Austrodolichos errabundus,AUSTRODOLICHOS,errabundus,,perennial,vine,e,,,c,ovate,20-44,May-25,,4.5-5,3-3.5,3-3.5,jan-mar,mar-may,,,
Austrodolichos ‘Kakadu’,AUSTRODOLICHOS,‘Kakadu’,,perennial,vine,e,,,c,ovate,50,May-25,,4.5-5,3-3.5,3-3.5,,,,,
Bossiaea bossiaeoides,BOSSIAEA,bossiaeoides,,perennial,shrub,e,2,,,cladode,,15-55,ellipsoid,4,2.5,2.5,AY,ay,,,
Cajanus acutifolius,CAJANUS,acutifolius,,perennial,shrub,e,1.5,,c,ovate,24-65,Sep-25,obovoid,4-4.5,3-3.5,3-3.5,jan-jul,mar-aug,,,
Cajanus marmoratus,CAJANUS,marmoratus,,perennial,vine,e,,,c,obovate,20-65,15-50,globular,4-4.5,4.5,4.5,jan-sep,mar-sep,,,
Cajanus eticulatus,CAJANUS,eticulatus,,perennial,shrub,e,,,c,ovate,40-75,24-52,oblong,3.5-4,2.5-3,2.5-3,mar-sep,jan-sep,,,
Cajanus scarabaeoides var. pedunculatus,CAJANUS,scarabaeoides,var. pedunculatus,perennial,vine,e,,,c,obovate,Sep-30,14-40,oblong,4-May,3-Apr,3-Apr,jan-may,mar-sep,,,
Canavalia cathartica,CANAVALIA,cathartica,,perennial,vine,e,,,c,obovate,65-97,51-97,,15,11,11,may-jul,jul-sep,,,
Cajanus papuana,CAJANUS,papuana,,perennial,vine,e,,,c,,37-120,51-97,,13-17,8-Dec,8-Dec,jan-sep,jan-sep,,,
Cajanus rosea,CAJANUS,rosea,,perennial,vine,e,,,c,,35-100,20-70,,14-15,10-Dec,10-Dec,feb-oct,apr-sep,,,
Cajanus maritima,CAJANUS,maritima,,perennial,vine,e,,,c,,35-100,20-70,,14-15,10-Dec,10-Dec,feb-oct,apr-sep,,,
Christia australasica,CHRISTIA,australasica,,perennial,vine,e,,,c,orbicular,8.5-14,8.5-14,,,,,feb-jun,feb-jun,,,
Clitoria australis,CLITORIA,australis,,perennial,shrub,e,1,,c,elliptic,40-58,19-35,ellipsoid,5-Jun,4-May,4-May,nov-may,mar-may,,,
Crotalaria alata,CROTALARIA,alata,,annual,shrub,,0.5,,s,oblong,Dec-49,1.5-16,cordiform,3-Apr,3,3,feb-apr,mar-jun,,,
Crotalaria brevis,CROTALARIA,brevis,,perennial,subshrub,e,0.3,,s,lanceolate,May-22,2-5.5,cordiform,1.7-2.5,1.6-2.5,1.6-2.5,dec-jul,jan-jul,,,
Crotalaria calycina,CROTALARIA,calycina,,annual,shrub,,1,,s,lanceolate,35-165,Apr-22,triangular,2.3-3,2,2,jan-jun,feb-jul,,,
Crotalaria medicaginea,CROTALARIA,medicaginea,,annual,shrub,,0.7,,s,linear,Mar-40,1-Jun,reniform,2-2.8,1.5-3.5,1.5-3.5,jan-jul,jan-jul,,,
Crotalaria montana,CROTALARIA,montana,,annual,shrub,,1,,s,linear,18-80,2-Nov,cordiform,1.5-2.5,1.5-2,1.5-2,jan-may,jan-jul,,,
Crotalaria novae-hollandiae,CROTALARIA,novae-hollandiae,,perennial,shrub,e,1,,s,obovate,31-110,Nov-55,cordiform,3.5-6,3-May,3-May,jan-jul,jan-jul,,,
Crotalaria quinquefolia,CROTALARIA,quinquefolia,,annual,herb,,1,,c,linear,25-95,3-Aug,cordiform,4.5,3.5,,dec-sep,feb-nov,,,
Crotalaria verrucosa,CROTALARIA,verrucosa,,perennial,herb,e,1,,s,obovate,45-175,15-100,reniform,4.5-5,3.5-4,,feb-aug,mar-aug,,,
Cyclocarpa stellaris,CYCLOCARPA,stellaris,,annual,herb,e,0.3,,c,obovate,5-8.5,2-2.7,triangular,0.7-1.2,0.7-1,,mar-apr,apr-may,,,
Dalbergia candenatensis,DALBERGIA,candenatensis,,perennial,vine,e,,,c,obovate,15-52,Nov-34,,,,,,,,,
Daviesia reclinata,DAVIESIA,reclinata,,perennial,shrub,e,2,,s,oblanceolate,40-140,1-Aug,,4.1-4.5,2.5-2.7,,ay,ay,,,
