species,herbarium voucher,native to,voucher location,lat,long,alt,leaf type,stomatal distribution,habitat,woodiness,habit,Guard cell length,Total vein density (mm/mm2),leaf mass per unit area gm-2,total stomatal density (mm-2),adaxial stomatal density (mm-2),abaxial stomatal density (mm-2),dense hairs covering the stomata,tightly revolute leaves (1=linear leaves with revolute margins appressed to either midrib or other margin,deep longitudinal grooves etc (n=none;g=grooves;(g) grooves but stomata not restricted to grooves),Banksia-type pits,hakea-type pits,telopea-type papillae,lamina thickness (microns),epidermal width (microns),palisade width (microns),epidermal cell density,stomatal index,leaf area (cm2),adult leaf type,juvenile leaf type,leaf form,adaxial hypodermis,adaxial cuticle thickness (microns),ad papillae5,ad trichomes,ab hypo,ab cut thick,bundle sheath extensions,lignified margins,sclereids at vein endings,sclereids protruding from bundle sheaths,bundle sheaths 1= large parenchyma-like cells; 3=bundles sheaths surrounded by sclereids; 4= bundles embedded in a lignified core,crystals in mesophyll,hypodermal structures (0=no specialised structure; 1 = lignified adaxial hypodermis; 2 = lignified abaxial hypodermis; 3 = hypodermis of extension of bundle sheath extensions; 4=Orites milliganii upper type; 5 = Orites milliganii lower type; 6 = ideosclereids extending under adaxial hypodermis),compound midribs,ideosclereids (0=absent; 1=ordinary; 2= branched; 3=asterosclereids; 4=osteosclereids;5=dense clusters of sclereids),clade,group,veg type,"stomatal distribution (amphistomatic, hypostomatic or unevenly amphistomatic [=""functionally hypostomatic"")",site_name,leaf_lamina_division,leaf_compoundness,leaf_margin,leaf_shape
Hakea myrtoides,NA,swWA,NA,NA,NA,NA,flat entire,amphistomatic,"woodlands, heathlands",woody,perennial,NA,NA,NA,NA,NA,NA,n,n,n,0,1,0,NA,NA,NA,NA,NA,NA,flat entire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,B2,ulicina,open,amphi,"woodlands, heathlands in swWA", entire,simple,entire,flat
Hakea petiolaris,NA,swWA,NA,NA,NA,NA,flat entire,amphistomatic,woodlands,woody,perennial,38.17,NA,NA,NA,NA,NA,n,n,n,0,1,0,NA,NA,NA,NA,NA,NA,flat entire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,B2,petiolaris,open,amphi,woodlands in swWA, entire,simple,entire,flat
Hakea stenocarpa,NA,swWA,NA,NA,NA,NA,flat entire,amphistomatic,heathlands,woody,perennial,32.14,NA,NA,NA,NA,NA,n,n,n,0,1,0,NA,NA,NA,NA,NA,NA,flat entire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,B2,ulicina,open,amphi,heathlands in swWA, entire,simple,entire,flat
Hakea prostrata,NA,swWA,NA,NA,NA,NA,flat toothed,amphistomatic,"heathlands, woodlands",woody,perennial,37.7,NA,NA,NA,NA,NA,n,n,n,0,1,0,NA,NA,NA,NA,NA,NA,flat toothed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A1,prostrata,open,amphi,"heathlands, woodlands in swWA",toothed,simple,toothed,flat
Hakea strumosa,NA,swWA,NA,NA,NA,NA,simple entire papillose,amphistomatic,heathlands,woody,perennial,45.15,NA,NA,NA,NA,NA,n,n,n,0,1,0,NA,NA,NA,NA,NA,NA,simple entire papillose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A1,strumosa,open,terete,heathlands in swWA,entire,simple,entire,NA
Lambertia echinata,NA,swWA,NA,NA,NA,NA,"simple, 3-5 prickly lobed",hypostomatic,heath,woody,perennial,35.41,NA,NA,NA,NA,NA,n,n,n,0,0,0,395,NA,NA,NA,NA,NA,"simple, 3-5 prickly lobed",NA,hypostomatic,0,4,1,0,0,3,1,0,0,0,2,0,0,1,2,NA,NA,open,hypo,heath in swWA,lobed,simple,lobed,NA
Grevillea amplexans,NA,swWA,NA,NA,NA,NA,"simple, auriculate, toothed",hypostomatic,heathland,woody,perennial,30.35,NA,NA,NA,NA,NA,n,n,n,0,0,0,NA,NA,NA,NA,NA,NA,"simple, auriculate, toothed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,hypo,heathland in swWA,toothed,simple,toothed,auriculate
Banksia bipinnatifida,NA,swWA,NA,NA,NA,NA,"simple, bipinnatipartite",hypostomatic,"shrublands, most 600-800mm, up to 1000mm",woody,perennial,27.7,NA,NA,NA,NA,NA,y,n,n,1,0,0,NA,NA,NA,NA,NA,NA,"simple, bipinnatipartite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,hypo,"shrublands, most 600-800mm, up to 1000mm in swWA",bipinnatipartite,simple,lobed,NA
Banksia biterax,NA,swWA,NA,NA,NA,NA,"simple, deeply pinnatifid",hypostomatic,"shrublands, 800-1000mm",woody,perennial,29.6,NA,NA,NA,NA,NA,y,n,n,1,0,0,NA,NA,NA,NA,NA,NA,"simple, deeply pinnatifid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,hypo,"shrublands, 800-1000mm in swWA",deeply_pinnatifid,simple,lobed,NA
Banksia mucronulata,NA,swWA,NA,NA,NA,NA,"simple, deeply pinnatifid",hypostomatic,"shrublands, 600-800mm",woody,perennial,27.6,NA,NA,NA,NA,NA,y,n,n,1,0,0,NA,NA,NA,NA,NA,NA,"simple, deeply pinnatifid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,hypo,"shrublands, 600-800mm in swWA",deeply_pinnatifid,simple,lobed,NA
Banksia pteridifolia,NA,swWA,NA,NA,NA,NA,"simple, deeply pinnatipartite",hypostomatic,"shrublands, 350-650mm",woody,perennial,29.3,NA,NA,NA,NA,NA,y,n,n,1,0,0,NA,NA,NA,NA,NA,NA,"simple, deeply pinnatipartite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,hypo,"shrublands, 350-650mm in swWA",deeply_pinnatipartite,simple,lobed,NA
Banksia acanthopoda,NA,swWA,NA,NA,NA,NA,"simple, deeply toothed",hypostomatic,"shrublands, 400-500mm",woody,perennial,NA,NA,NA,NA,NA,NA,y,n,n,1,0,0,NA,NA,NA,NA,NA,NA,"simple, deeply toothed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,hypo,"shrublands, 400-500mm in swWA",deeply_toothed,simple,toothed,NA
Banksia ashbyi,NA,swWA,NA,NA,NA,NA,"simple, deeply toothed",hypostomatic,"shrublands, 25-350mm",woody,perennial,32.6,NA,NA,NA,NA,NA,y,n,n,1,0,0,NA,NA,NA,NA,NA,NA,"simple, deeply toothed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,hypo,"shrublands, 25-350mm in swWA",deeply_toothed,simple,toothed,NA
Banksia concinna,NA,swWA,NA,NA,NA,NA,"simple, deeply toothed",hypostomatic,"shrublands, 500-600mm",woody,perennial,30,NA,NA,NA,NA,NA,y,n,n,1,0,0,NA,NA,NA,NA,NA,NA,"simple, deeply toothed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,hypo,"shrublands, 500-600mm in swWA",deeply_toothed,simple,toothed,NA
Banksia cuneata,NA,swWA,NA,NA,NA,NA,"simple, deeply toothed",hypostomatic,"woodland, shrubland, 400mm",woody,perennial,28.7,NA,NA,NA,NA,NA,y,n,n,1,0,0,NA,NA,NA,NA,NA,NA,"simple, deeply toothed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,hypo,"woodland, shrubland, 400mm in swWA",deeply_toothed,simple,toothed,NA
Banksia elegans,NA,swWA,NA,NA,NA,NA,"simple, deeply toothed",hypostomatic,"woodland, shrubland, 500-600mm",woody,perennial,29.9,NA,NA,NA,NA,NA,y,n,n,1,0,0,NA,NA,NA,NA,NA,NA,"simple, deeply toothed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,hypo,"woodland, shrubland, 500-600mm in swWA",deeply_toothed,simple,toothed,NA
Banksia hewardiana,NA,swWA,NA,NA,NA,NA,"simple, deeply toothed",hypostomatic,"shrublands, 500-600mm",woody,perennial,30.8,NA,NA,NA,NA,NA,y,n,n,1,0,0,NA,NA,NA,NA,NA,NA,"simple, deeply toothed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,hypo,"shrublands, 500-600mm in swWA",deeply_toothed,simple,toothed,NA
Banksia hookeriana,NA,swWA,NA,NA,NA,NA,"simple, deeply toothed",hypostomatic,"shrublands, 600mm",woody,perennial,30,NA,NA,NA,NA,NA,y,n,n,1,0,0,NA,NA,NA,NA,NA,NA,"simple, deeply toothed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,hypo,"shrublands, 600mm in swWA",deeply_toothed,simple,toothed,NA
Banksia prionotes,NA,swWA,NA,NA,NA,NA,"simple, deeply toothed",hypostomatic,"shrublands, low woodland, 300-900mm",woody,perennial,NA,NA,NA,NA,NA,NA,y,n,n,1,0,0,NA,NA,NA,NA,NA,NA,"simple, deeply toothed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,hypo,"shrublands, low woodland, 300-900mm in swWA",deeply_toothed,simple,toothed,NA
Banksia proteoides,NA,swWA,NA,NA,NA,NA,"simple, deeply toothed",hypostomatic,"shrublands, 450-550mm",woody,perennial,31.7,NA,NA,NA,NA,NA,y,n,n,1,0,0,NA,NA,NA,NA,NA,NA,"simple, deeply toothed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,hypo,"shrublands, 450-550mm in swWA",deeply_toothed,simple,toothed,NA
Banksia serra,NA,swWA,NA,NA,NA,NA,"simple, deeply toothed",hypostomatic,"shrublands, 800-1000mm",woody,perennial,35.6,NA,NA,NA,NA,NA,y,n,n,1,0,0,NA,NA,NA,NA,NA,NA,"simple, deeply toothed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,hypo,"shrublands, 800-1000mm in swWA",deeply_toothed,simple,toothed,NA
Banksia stuposa,NA,swWA,NA,NA,NA,NA,"simple, deeply toothed",hypostomatic,"shrublands, 400-500mm",woody,perennial,27.4,NA,NA,NA,NA,NA,y,n,n,1,0,0,NA,NA,NA,NA,NA,NA,"simple, deeply toothed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,hypo,"shrublands, 400-500mm in swWA",deeply_toothed,simple,toothed,NA
Banksia undata,NA,swWA,NA,NA,NA,NA,"simple, deeply toothed",hypostomatic,"shrublands, 600-800mm",woody,perennial,30.5,NA,NA,NA,NA,NA,y,n,n,1,0,0,NA,NA,NA,NA,NA,NA,"simple, deeply toothed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,hypo,"shrublands, 600-800mm in swWA",deeply_toothed,simple,toothed,NA
Banksia victoriae,NA,swWA,NA,NA,NA,NA,"simple, deeply toothed",hypostomatic,"shrublands, 350mm",woody,perennial,29.2,NA,NA,NA,NA,NA,y,n,n,1,0,0,NA,NA,NA,NA,NA,NA,"simple, deeply toothed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,hypo,"shrublands, 350mm in swWA",deeply_toothed,simple,toothed,NA
Banksia densa,NA,swWA,NA,NA,NA,NA,"simple, deeply toothed to pinnatifid",hypostomatic,"shrublands, 300-600mm",woody,perennial,32.4,NA,NA,NA,NA,NA,y,n,n,1,0,0,NA,NA,NA,NA,NA,NA,"simple, deeply toothed to pinnatifid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,hypo,"shrublands, 300-600mm in swWA",deeply_toothed pinnatifid,simple,toothed,NA
Grevillea asparagoides,NA,swWA,NA,NA,NA,NA,"simple, divaricately tripartite to pinnatipartite",hypostomatic,heathland,woody,perennial,NA,NA,NA,NA,NA,NA,y,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"simple, divaricately tripartite to pinnatipartite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,hypo,heathland in swWA,tripartite trichotomously_divided,simple,lobed,NA
Grevillea dielsiana,NA,swWA,NA,NA,NA,NA,"simple, divaricately tri-sect, each lobe tri-sect",amphistomatic,heathland,woody,perennial,37.19,NA,NA,NA,NA,NA,y,n,n,0,0,0,NA,NA,NA,NA,NA,NA,"simple, divaricately tri-sect, each lobe tri-sect",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,amphi,heathland in swWA,trichotomously_divided,simple,lobed,NA
Banksia subulata,NA,swWA,NA,NA,NA,NA,"simple, entire",hypostomatic,"heathlands, 450-550mm",woody,perennial,27.8,NA,NA,NA,NA,NA,y,n,n,1,0,0,NA,NA,NA,NA,NA,NA,"simple, entire",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,hypo,"heathlands, 450-550mm in swWA",entire,simple,entire,NA
Grevillea depauperata,NA,swWA,NA,NA,NA,NA,"simple, entire",hypostomatic,open woodlands,woody,perennial,32.18,NA,NA,NA,NA,NA,y,n,n,0,0,0,NA,NA,NA,NA,NA,NA,"simple, entire",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,hypo,open woodlands in swWA,entire,simple,entire,NA
Grevillea disjuncta,NA,swWA,NA,NA,NA,NA,"simple, entire",hypostomatic,"heathlands, open woodland",woody,perennial,NA,NA,NA,NA,NA,NA,y,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"simple, entire",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,hypo,"heathlands, open woodland in swWA",entire,simple,entire,NA
Grevillea granulosa,NA,swWA,NA,NA,NA,NA,"simple, entire",hypostomatic,open woodland,woody,perennial,NA,NA,NA,NA,NA,NA,y,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"simple, entire",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,hypo,open woodland in swWA,entire,simple,entire,NA
Grevillea haplantha,NA,swWA,NA,NA,NA,NA,"simple, entire",hypostomatic,"open woodland, heath",woody,perennial,NA,NA,NA,NA,NA,NA,y,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"simple, entire",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,hypo,"open woodland, heath in swWA",entire,simple,entire,NA
Grevillea integrifolia,NA,swWA,NA,NA,NA,NA,"simple, entire",hypostomatic,heathlands,woody,perennial,31.63,NA,NA,NA,NA,NA,y,n,n,0,0,0,NA,NA,NA,NA,NA,NA,"simple, entire",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,hypo,heathlands in swWA,entire,simple,entire,NA
Lambertia inermis,HO528968,swWA,"Cultivated National Botanic Gardens, Australian Capital Territory",35� 17' S,149� 07' E,NA,"simple, entire",hypostomatic,heath to low woodland,woody,perennial,43.1,10.38907766,260.83,124.6882683,NA,95.64156947,n,n,n,0,0,0,244.25,34.0548619,19.72,931.6197323,9.308791608,0.78,"simple, entire",NA,hypostomatic,0,9,0,1,0,1,0,0,0,0,3,0,0,0,2,NA,NA,open,hypo,heath to low woodland in swWA,entire,simple,entire,NA
Lambertia multiflora,NA,swWA,NA,NA,NA,NA,"simple, entire",hypostomatic,heath to dry woodland,woody,perennial,39.78,NA,NA,NA,NA,NA,y,n,n,0,0,0,NA,NA,NA,NA,NA,NA,"simple, entire",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,hypo,heath to dry woodland in swWA,entire,simple,entire,NA
Lambertia orbifolia,NA,swWA,NA,NA,NA,NA,"simple, entire",hypostomatic,dry woodland,woody,perennial,NA,NA,NA,NA,NA,NA,n,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"simple, entire",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,hypo,dry woodland in swWA,entire,simple,entire,NA
Lambertia ilicifolia,NA,swWA,NA,NA,NA,NA,"simple, entire to prickly bilobed",hypostomatic,heath,woody,perennial,40.15,NA,NA,NA,NA,NA,y,n,n,0,0,1,NA,NA,NA,NA,NA,NA,"simple, entire to prickly bilobed",NA,hypostomatic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,hypo,heath in swWA,entire bipartite,simple,entire lobed,NA
Xylomelum occidentale,NA,swWA,NA,NA,NA,NA,"simple, entire to toothed",amphistomatic,dry woodlands,woody,perennial,45.34,NA,NA,NA,NA,NA,n,n,n,0,0,0,NA,NA,NA,NA,NA,NA,"simple, entire to toothed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,amphi,dry woodlands in swWA,entire toothed,simple,entire toothed,NA
Grevillea diversifolia,NA,swWA,NA,NA,NA,NA,"simple, entire, or apically 2-3fid or partite",hypostomatic,"heathlands, open woodland",woody,perennial,26.64,NA,NA,NA,NA,NA,n/y,n,n,0,0,0,NA,NA,NA,NA,NA,NA,"simple, entire, or apically 2-3fid or partite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,hypo,"heathlands, open woodland in swWA",entire lobed pinnate,simple,entire,NA
Grevillea concinna,NA,swWA,NA,NA,NA,NA,"simple, entire, rarely multipartite",hypostomatic,heathland,woody,perennial,NA,NA,NA,NA,NA,NA,y,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"simple, entire, rarely multipartite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,hypo,heathland in swWA,entire lobed,simple,entire,NA
Grevillea commutata,NA,swWA,NA,NA,NA,NA,"simple, entire, sometimes lobed",hypostomatic,heathland,woody,perennial,38.12,NA,NA,NA,NA,NA,y,n,n,0,0,0,NA,NA,NA,NA,NA,NA,"simple, entire, sometimes lobed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,hypo,heathland in swWA,entire lobed,simple,entire lobed,NA
Banksia baxteri,NA,swWA,NA,NA,NA,NA,"simple, lobes cut to midvein",hypostomatic,"heathland, 500-700mm",woody,perennial,31.4,NA,NA,NA,NA,NA,y,n,n,1,0,0,NA,NA,NA,NA,NA,NA,"simple, lobes cut to midvein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,hypo,"heathland, 500-700mm in swWA",lobed_to_midvein,simple,lobed,NA
Banksia candolleana,NA,swWA,NA,NA,NA,NA,"simple, lobes cut to midvein",hypostomatic,"heathlands, 600-700mm",woody,perennial,24.5,NA,NA,NA,NA,NA,y,n,n,1,0,0,NA,NA,NA,NA,NA,NA,"simple, lobes cut to midvein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,hypo,"heathlands, 600-700mm in swWA",lobed_to_midvein,simple,lobed,NA
Banksia nivea,NA,swWA,NA,NA,NA,NA,"simple, lobes cut to midvein",hypostomatic,"shrublands, 400-1000mm",woody,perennial,28.7,NA,NA,NA,NA,NA,y,n,n,1,0,0,NA,NA,NA,NA,NA,NA,"simple, lobes cut to midvein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,hypo,"shrublands, 400-1000mm in swWA",lobed_to_midvein,simple,lobed,NA
Banksia speciosa,NA,swWA,NA,NA,NA,NA,"simple, lobes cut to midvein",hypostomatic,"heathland, woodland, 400-500mm",woody,perennial,27.9,NA,NA,NA,NA,NA,y,n,n,1,0,0,NA,NA,NA,NA,NA,NA,"simple, lobes cut to midvein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,hypo,"heathland, woodland, 400-500mm in swWA",lobed_to_midvein,simple,lobed,NA
Banksia cynaroides,NA,swWA,NA,NA,NA,NA,"simple, pinnatifid",hypostomatic,"shrublands, 400-500mm",woody,perennial,29.2,NA,NA,NA,NA,NA,y,n,n,1,0,0,NA,NA,NA,NA,NA,NA,"simple, pinnatifid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,hypo,"shrublands, 400-500mm in swWA",pinnatifid,simple,lobed,NA
Banksia epimicta,NA,swWA,NA,NA,NA,NA,"simple, pinnatifid",hypostomatic,"shrublands, 350-400mm",woody,perennial,NA,NA,NA,NA,NA,NA,y,n,n,1,0,0,NA,NA,NA,NA,NA,NA,"simple, pinnatifid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,hypo,"shrublands, 350-400mm in swWA",pinnatifid,simple,lobed,NA
Banksia kippistiana,NA,swWA,NA,NA,NA,NA,"simple, pinnatifid",hypostomatic,"shrublands, 500-600mm",woody,perennial,36.8,NA,NA,NA,NA,NA,y,n,n,1,0,0,NA,NA,NA,NA,NA,NA,"simple, pinnatifid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,hypo,"shrublands, 500-600mm in swWA",pinnatifid,simple,lobed,NA
Banksia obtusa,NA,swWA,NA,NA,NA,NA,"simple, pinnatifid",hypostomatic,"shrublands, 500-600mm",woody,perennial,33.3,NA,NA,NA,NA,NA,y,n,n,1,0,0,NA,NA,NA,NA,NA,NA,"simple, pinnatifid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,hypo,"shrublands, 500-600mm in swWA",pinnatifid,simple,lobed,NA
Banksia vestita,NA,swWA,NA,NA,NA,NA,"simple, pinnatifid",hypostomatic,"shrublands, 350-600mm",woody,perennial,32.6,NA,NA,NA,NA,NA,y,n,n,1,0,0,NA,NA,NA,NA,NA,NA,"simple, pinnatifid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,hypo,"shrublands, 350-600mm in swWA",pinnatifid,simple,lobed,NA
Banksia rufa,NA,swWA,NA,NA,NA,NA,"simple, pinnatifid or pinnatipartite",hypostomatic,"shrublands, 350-400mm",woody,perennial,30.4,NA,NA,NA,NA,NA,y,n,n,1,0,0,NA,NA,NA,NA,NA,NA,"simple, pinnatifid or pinnatipartite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,hypo,"shrublands, 350-400mm in swWA",pinnatifid pinnatipartite,simple,lobed,NA
Banksia tenuis,NA,swWA,NA,NA,NA,NA,"simple, pinnatifid or toothed to entire",hypostomatic,"shrublands, 500-600mm",woody,perennial,26.7,NA,NA,NA,NA,NA,y,n,n,1,0,0,NA,NA,NA,NA,NA,NA,"simple, pinnatifid or toothed to entire",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,hypo,"shrublands, 500-600mm in swWA",pinnatifid toothed entire,simple,entire lobed toothed,NA
Banksia plumosa,NA,swWA,NA,NA,NA,NA,"simple, pinnatifid to pinnatipartite",hypostomatic,"shrublands, 500-600mm",woody,perennial,27.3,NA,NA,NA,NA,NA,y,n,n,1,0,0,NA,NA,NA,NA,NA,NA,"simple, pinnatifid to pinnatipartite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,hypo,"shrublands, 500-600mm in swWA",pinnatifid pinnatipartite,simple,lobed,NA
Banksia drummondii,NA,swWA,NA,NA,NA,NA,"simple, pinnatifid to pinnatisect",hypostomatic,"shrublands, 400-550mm",woody,perennial,31.4,NA,NA,NA,NA,NA,y,n,n,1,0,0,NA,NA,NA,NA,NA,NA,"simple, pinnatifid to pinnatisect",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,hypo,"shrublands, 400-550mm in swWA",pinnatifid pinnatisect,simple,lobed,NA
Banksia arctotidis,NA,swWA,NA,NA,NA,NA,"simple, pinnatipartite",hypostomatic,"shrublands, 400-800mm",woody,perennial,28.5,NA,NA,NA,NA,NA,y,n,n,1,0,0,NA,NA,NA,NA,NA,NA,"simple, pinnatipartite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,hypo,"shrublands, 400-800mm in swWA",pinnatipartite,simple,lobed,NA
Banksia aurantia,NA,swWA,NA,NA,NA,NA,"simple, pinnatipartite",hypostomatic,"shrublands, 500-600mm",woody,perennial,NA,NA,NA,NA,NA,NA,y,n,n,1,0,0,NA,NA,NA,NA,NA,NA,"simple, pinnatipartite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,hypo,"shrublands, 500-600mm in swWA",pinnatipartite,simple,lobed,NA
Banksia borealis,NA,swWA,NA,NA,NA,NA,"simple, pinnatipartite",hypostomatic,"heathland, woodland, 350-500mm",woody,perennial,NA,NA,NA,NA,NA,NA,y,n,n,1,0,0,NA,NA,NA,NA,NA,NA,"simple, pinnatipartite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,hypo,"heathland, woodland, 350-500mm in swWA",pinnatipartite,simple,lobed,NA
Banksia cirsioides,NA,swWA,NA,NA,NA,NA,"simple, pinnatipartite",hypostomatic,"shrublands, 400-500mm",woody,perennial,31,NA,NA,NA,NA,NA,y,n,n,1,0,0,NA,NA,NA,NA,NA,NA,"simple, pinnatipartite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,hypo,"shrublands, 400-500mm in swWA",pinnatipartite,simple,lobed,NA
Banksia nobilis,NA,swWA,NA,NA,NA,NA,"simple, pinnatipartite",hypostomatic,"shrublands, 400-500mm",woody,perennial,26.7,NA,NA,NA,NA,NA,y,n,n,1,0,0,NA,NA,NA,NA,NA,NA,"simple, pinnatipartite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,hypo,"shrublands, 400-500mm in swWA",pinnatipartite,simple,lobed,NA
