sample,tree,taxon,locality,collector,sla_mm2_per_mg,leaf_area_cm2,leaf_mass_g,fruit_mass_mg,fruit_mass_total_mg,number_of_fruits,seed_mass_mg,seed_mass_total_mg,number_of_seeds
E. largiflorens_Dodgeshuns Rd_1_6_leaf,E. largiflorens_Dodgeshuns Rd_1_leaf,Eucalyptus largiflorens,Dodgeshuns Rd,L.J. Pollock,4.21212121212121,4.17,0.099,NA,NA,NA,NA,NA,NA
E. largiflorens_Dodgeshuns Rd_2_1_leaf,E. largiflorens_Dodgeshuns Rd_2_leaf,Eucalyptus largiflorens,Dodgeshuns Rd,L.J. Pollock,2.86717267552182,15.11,0.527,NA,NA,NA,NA,NA,NA
E. largiflorens_Dodgeshuns Rd_2_2_leaf,E. largiflorens_Dodgeshuns Rd_2_leaf,Eucalyptus largiflorens,Dodgeshuns Rd,L.J. Pollock,3.16019417475728,26.04,0.824,NA,NA,NA,NA,NA,NA
E. largiflorens_Dodgeshuns Rd_2_3_leaf,E. largiflorens_Dodgeshuns Rd_2_leaf,Eucalyptus largiflorens,Dodgeshuns Rd,L.J. Pollock,3.51776649746193,13.86,0.394,NA,NA,NA,NA,NA,NA
E. largiflorens_Dodgeshuns Rd_2_4_leaf,E. largiflorens_Dodgeshuns Rd_2_leaf,Eucalyptus largiflorens,Dodgeshuns Rd,L.J. Pollock,3.73883161512027,10.88,0.291,NA,NA,NA,NA,NA,NA
E. largiflorens_Dodgeshuns Rd_2_5_leaf,E. largiflorens_Dodgeshuns Rd_2_leaf,Eucalyptus largiflorens,Dodgeshuns Rd,L.J. Pollock,3.83850931677019,6.18,0.161,NA,NA,NA,NA,NA,NA
E. largiflorens_Dodgeshuns Rd_2_6_leaf,E. largiflorens_Dodgeshuns Rd_2_leaf,Eucalyptus largiflorens,Dodgeshuns Rd,L.J. Pollock,3.94814814814815,5.33,0.135,NA,NA,NA,NA,NA,NA
E. largiflorens_Dodgeshuns Rd_3_1_leaf,E. largiflorens_Dodgeshuns Rd_3_leaf,Eucalyptus largiflorens,Dodgeshuns Rd,L.J. Pollock,2.83464566929134,7.2,0.254,NA,NA,NA,NA,NA,NA
E. largiflorens_Dodgeshuns Rd_3_2_leaf,E. largiflorens_Dodgeshuns Rd_3_leaf,Eucalyptus largiflorens,Dodgeshuns Rd,L.J. Pollock,3.1568,19.73,0.625,NA,NA,NA,NA,NA,NA
E. largiflorens_Dodgeshuns Rd_3_3_leaf,E. largiflorens_Dodgeshuns Rd_3_leaf,Eucalyptus largiflorens,Dodgeshuns Rd,L.J. Pollock,3.32151898734177,13.12,0.395,NA,NA,NA,NA,NA,NA
E. largiflorens_Dodgeshuns Rd_3_4_leaf,E. largiflorens_Dodgeshuns Rd_3_leaf,Eucalyptus largiflorens,Dodgeshuns Rd,L.J. Pollock,3.6195652173913,6.66,0.184,NA,NA,NA,NA,NA,NA
E. largiflorens_Dodgeshuns Rd_3_5_leaf,E. largiflorens_Dodgeshuns Rd_3_leaf,Eucalyptus largiflorens,Dodgeshuns Rd,L.J. Pollock,3.64081632653061,8.92,0.245,NA,NA,NA,NA,NA,NA
E. largiflorens_Dodgeshuns Rd_3_6_leaf,E. largiflorens_Dodgeshuns Rd_3_leaf,Eucalyptus largiflorens,Dodgeshuns Rd,L.J. Pollock,3.70992366412214,9.72,0.262,NA,NA,NA,NA,NA,NA
E. largiflorens_Hattah_1_1_fruit,E. largiflorens_Hattah_1_fruit,Eucalyptus largiflorens,Hattah,L.J. Pollock,NA,NA,NA,33.4,167,5,NA,NA,NA
E. largiflorens_Hattah_1_1_leaf,E. largiflorens_Hattah_1_leaf,Eucalyptus largiflorens,Hattah,L.J. Pollock,3.11836734693878,7.64,0.245,NA,NA,NA,NA,NA,NA
E. largiflorens_Hattah_1_2_leaf,E. largiflorens_Hattah_1_leaf,Eucalyptus largiflorens,Hattah,L.J. Pollock,3.68776371308017,8.74,0.237,NA,NA,NA,NA,NA,NA
E. largiflorens_Hattah_2_1_fruit,E. largiflorens_Hattah_2_fruit,Eucalyptus largiflorens,Hattah,L.J. Pollock,NA,NA,NA,35.2,176,5,NA,NA,NA
E. leptophylla_Hattah_1_1_leaf,E. leptophylla_Hattah_1_leaf,Eucalyptus leptophylla,Hattah,L.J. Pollock,3.06024096385542,2.54,0.083,NA,NA,NA,NA,NA,NA
E. leptophylla_Hattah_1_2_leaf,E. leptophylla_Hattah_1_leaf,Eucalyptus leptophylla,Hattah,L.J. Pollock,3.22,3.22,0.1,NA,NA,NA,NA,NA,NA
E. leptophylla_Hattah_1_3_leaf,E. leptophylla_Hattah_1_leaf,Eucalyptus leptophylla,Hattah,L.J. Pollock,3.37974683544304,2.67,0.079,NA,NA,NA,NA,NA,NA
E. leptophylla_Hattah_1_4_leaf,E. leptophylla_Hattah_1_leaf,Eucalyptus leptophylla,Hattah,L.J. Pollock,3.546875,2.27,0.064,NA,NA,NA,NA,NA,NA
E. leptophylla_Hattah_1_5_leaf,E. leptophylla_Hattah_1_leaf,Eucalyptus leptophylla,Hattah,L.J. Pollock,3.8936170212766,1.83,0.047,NA,NA,NA,NA,NA,NA
E. leptophylla_Hattah_1_6_leaf,E. leptophylla_Hattah_1_leaf,Eucalyptus leptophylla,Hattah,L.J. Pollock,3.98360655737705,2.43,0.061,NA,NA,NA,NA,NA,NA
E. leptophylla_Hattah_2_1_leaf,E. leptophylla_Hattah_2_leaf,Eucalyptus leptophylla,Hattah,L.J. Pollock,2.95604395604396,2.69,0.091,NA,NA,NA,NA,NA,NA
E. leptophylla_Hattah_2_2_leaf,E. leptophylla_Hattah_2_leaf,Eucalyptus leptophylla,Hattah,L.J. Pollock,3.05882352941176,1.56,0.051,NA,NA,NA,NA,NA,NA
E. leptophylla_Hattah_2_3_leaf,E. leptophylla_Hattah_2_leaf,Eucalyptus leptophylla,Hattah,L.J. Pollock,3.375,2.43,0.072,NA,NA,NA,NA,NA,NA
E. leptophylla_Hattah_3_1_leaf,E. leptophylla_Hattah_3_leaf,Eucalyptus leptophylla,Hattah,L.J. Pollock,2.82352941176471,2.88,0.102,NA,NA,NA,NA,NA,NA
E. leptophylla_Hattah_3_2_leaf,E. leptophylla_Hattah_3_leaf,Eucalyptus leptophylla,Hattah,L.J. Pollock,3.38823529411765,2.88,0.085,NA,NA,NA,NA,NA,NA
E. leptophylla_Hattah_3_3_leaf,E. leptophylla_Hattah_3_leaf,Eucalyptus leptophylla,Hattah,L.J. Pollock,3.42857142857143,3.12,0.091,NA,NA,NA,NA,NA,NA
E. leptophylla_Hattah_4_1_leaf,E. leptophylla_Hattah_4_leaf,Eucalyptus leptophylla,Hattah,L.J. Pollock,2.89655172413793,3.36,0.116,NA,NA,NA,NA,NA,NA
E. leptophylla_Hattah_4_2_leaf,E. leptophylla_Hattah_4_leaf,Eucalyptus leptophylla,Hattah,L.J. Pollock,3.08547008547009,3.61,0.117,NA,NA,NA,NA,NA,NA
E. leptophylla_Hattah_4_3_leaf,E. leptophylla_Hattah_4_leaf,Eucalyptus leptophylla,Hattah,L.J. Pollock,3.08823529411765,3.15,0.102,NA,NA,NA,NA,NA,NA
E. leptophylla_Hattah_5_1_leaf,E. leptophylla_Hattah_5_leaf,Eucalyptus leptophylla,Hattah,L.J. Pollock,2.82203389830509,3.33,0.118,NA,NA,NA,NA,NA,NA
E. leptophylla_Hattah_5_2_leaf,E. leptophylla_Hattah_5_leaf,Eucalyptus leptophylla,Hattah,L.J. Pollock,2.96,3.7,0.125,NA,NA,NA,NA,NA,NA
E. leptophylla_Hattah_5_3_leaf,E. leptophylla_Hattah_5_leaf,Eucalyptus leptophylla,Hattah,L.J. Pollock,3.22222222222222,4.06,0.126,NA,NA,NA,NA,NA,NA
E. leptophylla_Little Desert N_1_1_fruit,E. leptophylla_Little Desert N_1_fruit,Eucalyptus leptophylla,Little Desert N,L.J. Pollock,NA,NA,NA,37.25,149,4,NA,NA,NA
E. leptophylla_Little Desert N_1_1_leaf,E. leptophylla_Little Desert N_1_leaf,Eucalyptus leptophylla,Little Desert N,L.J. Pollock,2.73770491803279,1.67,0.061,NA,NA,NA,NA,NA,NA
E. leptophylla_Little Desert N_1_2_leaf,E. leptophylla_Little Desert N_1_leaf,Eucalyptus leptophylla,Little Desert N,L.J. Pollock,3.04301075268817,2.83,0.093,NA,NA,NA,NA,NA,NA
E. leptophylla_Little Desert N_1_3_leaf,E. leptophylla_Little Desert N_1_leaf,Eucalyptus leptophylla,Little Desert N,L.J. Pollock,3.16049382716049,2.56,0.081,NA,NA,NA,NA,NA,NA
E. leptophylla_Little Desert N_2_1_leaf,E. leptophylla_Little Desert N_2_leaf,Eucalyptus leptophylla,Little Desert N,L.J. Pollock,3.12173913043478,3.59,0.115,NA,NA,NA,NA,NA,NA
E. leptophylla_Little Desert N_2_2_leaf,E. leptophylla_Little Desert N_2_leaf,Eucalyptus leptophylla,Little Desert N,L.J. Pollock,3.22727272727273,1.42,0.044,NA,NA,NA,NA,NA,NA
E. leptophylla_Little Desert N_2_3_leaf,E. leptophylla_Little Desert N_2_leaf,Eucalyptus leptophylla,Little Desert N,L.J. Pollock,3.30645161290323,2.05,0.062,NA,NA,NA,NA,NA,NA
E. leptophylla_Little Desert N_3_1_leaf,E. leptophylla_Little Desert N_3_leaf,Eucalyptus leptophylla,Little Desert N,L.J. Pollock,3.01282051282051,2.35,0.078,NA,NA,NA,NA,NA,NA
E. leptophylla_Little Desert N_3_2_leaf,E. leptophylla_Little Desert N_3_leaf,Eucalyptus leptophylla,Little Desert N,L.J. Pollock,3.47058823529412,2.36,0.068,NA,NA,NA,NA,NA,NA
E. leptophylla_Little Desert N_3_3_leaf,E. leptophylla_Little Desert N_3_leaf,Eucalyptus leptophylla,Little Desert N,L.J. Pollock,4.02272727272727,1.77,0.044,NA,NA,NA,NA,NA,NA
E. leptophylla_Old Growth_1_1_leaf,E. leptophylla_Old Growth_1_leaf,Eucalyptus leptophylla,Old Growth,L.J. Pollock,2.83333333333333,2.55,0.09,NA,NA,NA,NA,NA,NA
E. leptophylla_Old Growth_1_2_leaf,E. leptophylla_Old Growth_1_leaf,Eucalyptus leptophylla,Old Growth,L.J. Pollock,2.93243243243243,2.17,0.074,NA,NA,NA,NA,NA,NA
E. leptophylla_Old Growth_1_3_leaf,E. leptophylla_Old Growth_1_leaf,Eucalyptus leptophylla,Old Growth,L.J. Pollock,3.31034482758621,2.88,0.087,NA,NA,NA,NA,NA,NA
E. leptophylla_Old Growth_2_1_leaf,E. leptophylla_Old Growth_2_leaf,Eucalyptus leptophylla,Old Growth,L.J. Pollock,3.02752293577982,3.3,0.109,NA,NA,NA,NA,NA,NA
E. leptophylla_Old Growth_2_2_leaf,E. leptophylla_Old Growth_2_leaf,Eucalyptus leptophylla,Old Growth,L.J. Pollock,3.18681318681319,2.9,0.091,NA,NA,NA,NA,NA,NA
E. leptophylla_Old Growth_2_3_leaf,E. leptophylla_Old Growth_2_leaf,Eucalyptus leptophylla,Old Growth,L.J. Pollock,3.60714285714286,2.02,0.056,NA,NA,NA,NA,NA,NA
E. leptophylla_Old Growth_3_1_leaf,E. leptophylla_Old Growth_3_leaf,Eucalyptus leptophylla,Old Growth,L.J. Pollock,2.92957746478873,4.16,0.142,NA,NA,NA,NA,NA,NA
E. leptophylla_Old Growth_3_2_leaf,E. leptophylla_Old Growth_3_leaf,Eucalyptus leptophylla,Old Growth,L.J. Pollock,3.03614457831325,2.52,0.083,NA,NA,NA,NA,NA,NA
E. leptophylla_Old Growth_3_3_leaf,E. leptophylla_Old Growth_3_leaf,Eucalyptus leptophylla,Old Growth,L.J. Pollock,3.1031746031746,3.91,0.126,NA,NA,NA,NA,NA,NA
E. microcarpa_Mitre Rock_1_1_fruit,E. microcarpa_Mitre Rock_1_fruit,Eucalyptus microcarpa,Mitre Rock,L.J. Pollock,NA,NA,NA,21.4,107,5,NA,NA,NA
E. microcarpa_Mitre Rock_1_1_leaf,E. microcarpa_Mitre Rock_1_leaf,Eucalyptus microcarpa,Mitre Rock,L.J. Pollock,3.60635696821516,14.75,0.409,NA,NA,NA,NA,NA,NA
E. microcarpa_Mitre Rock_1_2_leaf,E. microcarpa_Mitre Rock_1_leaf,Eucalyptus microcarpa,Mitre Rock,L.J. Pollock,3.89891696750903,10.8,0.277,NA,NA,NA,NA,NA,NA
E. microcarpa_Mitre Rock_1_3_leaf,E. microcarpa_Mitre Rock_1_leaf,Eucalyptus microcarpa,Mitre Rock,L.J. Pollock,4.6271186440678,8.19,0.177,NA,NA,NA,NA,NA,NA
E. microcarpa_Mitre Rock_2_1_fruit,E. microcarpa_Mitre Rock_2_fruit,Eucalyptus microcarpa,Mitre Rock,L.J. Pollock,NA,NA,NA,20.6,103,5,NA,NA,NA
E. microcarpa_Mitre Rock_2_1_leaf,E. microcarpa_Mitre Rock_2_leaf,Eucalyptus microcarpa,Mitre Rock,L.J. Pollock,4,9.68,0.242,NA,NA,NA,NA,NA,NA
E. microcarpa_Mitre Rock_2_2_leaf,E. microcarpa_Mitre Rock_2_leaf,Eucalyptus microcarpa,Mitre Rock,L.J. Pollock,4.27513227513228,8.08,0.189,NA,NA,NA,NA,NA,NA
E. microcarpa_Mitre Rock_2_3_leaf,E. microcarpa_Mitre Rock_2_leaf,Eucalyptus microcarpa,Mitre Rock,L.J. Pollock,4.47572815533981,9.22,0.206,NA,NA,NA,NA,NA,NA
E. microcarpa_Mitre Rock_3_1_leaf,E. microcarpa_Mitre Rock_3_leaf,Eucalyptus microcarpa,Mitre Rock,L.J. Pollock,3.33986928104575,10.22,0.306,NA,NA,NA,NA,NA,NA
E. microcarpa_Mitre Rock_3_2_leaf,E. microcarpa_Mitre Rock_3_leaf,Eucalyptus microcarpa,Mitre Rock,L.J. Pollock,4.05479452054795,5.92,0.146,NA,NA,NA,NA,NA,NA
E. microcarpa_Mitre Rock_3_3_leaf,E. microcarpa_Mitre Rock_3_leaf,Eucalyptus microcarpa,Mitre Rock,L.J. Pollock,4.24203821656051,6.66,0.157,NA,NA,NA,NA,NA,NA
E. odorata_Werners Rd_1_1_fruit,E. odorata_Werners Rd_1_fruit,Eucalyptus silvestris,Werners Rd,L.J. Pollock,NA,NA,NA,44.4,222,5,0.4,8,20
E. odorata_Werners Rd_1_1_leaf,E. odorata_Werners Rd_1_leaf,Eucalyptus silvestris,Werners Rd,L.J. Pollock,3.5979381443299,6.98,0.194,NA,NA,NA,NA,NA,NA
E. odorata_Werners Rd_1_2_fruit,E. odorata_Werners Rd_1_fruit,Eucalyptus silvestris,Werners Rd,L.J. Pollock,NA,NA,NA,46,230,5,NA,NA,NA
E. odorata_Werners Rd_1_2_leaf,E. odorata_Werners Rd_1_leaf,Eucalyptus silvestris,Werners Rd,L.J. Pollock,3.65317919075145,6.32,0.173,NA,NA,NA,NA,NA,NA
E. odorata_Werners Rd_1_3_leaf,E. odorata_Werners Rd_1_leaf,Eucalyptus silvestris,Werners Rd,L.J. Pollock,4.00409836065574,9.77,0.244,NA,NA,NA,NA,NA,NA
E. odorata_Werners Rd_1_4_leaf,E. odorata_Werners Rd_1_leaf,Eucalyptus silvestris,Werners Rd,L.J. Pollock,4.04210526315789,11.52,0.285,NA,NA,NA,NA,NA,NA
E. odorata_Werners Rd_1_5_leaf,E. odorata_Werners Rd_1_leaf,Eucalyptus silvestris,Werners Rd,L.J. Pollock,4.05150214592275,9.44,0.233,NA,NA,NA,NA,NA,NA
E. odorata_Werners Rd_1_6_leaf,E. odorata_Werners Rd_1_leaf,Eucalyptus silvestris,Werners Rd,L.J. Pollock,4.11231884057971,11.35,0.276,NA,NA,NA,NA,NA,NA
E. odorata_Werners Rd_2_1_leaf,E. odorata_Werners Rd_2_leaf,Eucalyptus silvestris,Werners Rd,L.J. Pollock,3.67283950617284,5.95,0.162,NA,NA,NA,NA,NA,NA
E. odorata_Werners Rd_2_2_leaf,E. odorata_Werners Rd_2_leaf,Eucalyptus silvestris,Werners Rd,L.J. Pollock,3.72844827586207,8.65,0.232,NA,NA,NA,NA,NA,NA
E. odorata_Werners Rd_2_3_leaf,E. odorata_Werners Rd_2_leaf,Eucalyptus silvestris,Werners Rd,L.J. Pollock,3.96309963099631,10.74,0.271,NA,NA,NA,NA,NA,NA
E. odorata_Werners Rd_2_4_leaf,E. odorata_Werners Rd_2_leaf,Eucalyptus silvestris,Werners Rd,L.J. Pollock,3.97160883280757,12.59,0.317,NA,NA,NA,NA,NA,NA
E. odorata_Werners Rd_2_5_leaf,E. odorata_Werners Rd_2_leaf,Eucalyptus silvestris,Werners Rd,L.J. Pollock,3.98660714285714,8.93,0.224,NA,NA,NA,NA,NA,NA
E. odorata_Werners Rd_2_6_leaf,E. odorata_Werners Rd_2_leaf,Eucalyptus silvestris,Werners Rd,L.J. Pollock,4.06508875739645,6.87,0.169,NA,NA,NA,NA,NA,NA
E. odorata_Werners Rd_3_1_leaf,E. odorata_Werners Rd_3_leaf,Eucalyptus silvestris,Werners Rd,L.J. Pollock,3.8202614379085,11.69,0.306,NA,NA,NA,NA,NA,NA
E. odorata_Werners Rd_3_2_leaf,E. odorata_Werners Rd_3_leaf,Eucalyptus silvestris,Werners Rd,L.J. Pollock,4.025,8.05,0.2,NA,NA,NA,NA,NA,NA
E. odorata_Werners Rd_3_3_leaf,E. odorata_Werners Rd_3_leaf,Eucalyptus silvestris,Werners Rd,L.J. Pollock,4.03472222222222,5.81,0.144,NA,NA,NA,NA,NA,NA
E. odorata_Werners Rd_3_4_leaf,E. odorata_Werners Rd_3_leaf,Eucalyptus silvestris,Werners Rd,L.J. Pollock,4.10138248847926,8.9,0.217,NA,NA,NA,NA,NA,NA
E. odorata_Werners Rd_3_5_leaf,E. odorata_Werners Rd_3_leaf,Eucalyptus silvestris,Werners Rd,L.J. Pollock,4.26851851851852,9.22,0.216,NA,NA,NA,NA,NA,NA
E. odorata_Werners Rd_3_6_leaf,E. odorata_Werners Rd_3_leaf,Eucalyptus silvestris,Werners Rd,L.J. Pollock,4.51461988304094,7.72,0.171,NA,NA,NA,NA,NA,NA
E. odorata_Werners Rd_4_1_leaf,E. odorata_Werners Rd_4_leaf,Eucalyptus silvestris,Werners Rd,L.J. Pollock,3.80078125,9.73,0.256,NA,NA,NA,NA,NA,NA
E. odorata_Werners Rd_4_2_leaf,E. odorata_Werners Rd_4_leaf,Eucalyptus silvestris,Werners Rd,L.J. Pollock,4.01075268817204,11.19,0.279,NA,NA,NA,NA,NA,NA
E. odorata_Werners Rd_4_3_leaf,E. odorata_Werners Rd_4_leaf,Eucalyptus silvestris,Werners Rd,L.J. Pollock,4.24358974358974,6.62,0.156,NA,NA,NA,NA,NA,NA
E. odorata_Werners Rd_5_1_leaf,E. odorata_Werners Rd_5_leaf,Eucalyptus silvestris,Werners Rd,L.J. Pollock,3.56132075471698,7.55,0.212,NA,NA,NA,NA,NA,NA
E. odorata_Werners Rd_5_2_leaf,E. odorata_Werners Rd_5_leaf,Eucalyptus silvestris,Werners Rd,L.J. Pollock,4.10160427807487,7.67,0.187,NA,NA,NA,NA,NA,NA
E. odorata_Werners Rd_5_3_leaf,E. odorata_Werners Rd_5_leaf,Eucalyptus silvestris,Werners Rd,L.J. Pollock,4.16078431372549,10.61,0.255,NA,NA,NA,NA,NA,NA
E. oleosa_M08501_1_1_leaf,E. oleosa_M08501_1_leaf,Eucalyptus oleosa subsp. oleosa,M08501,L.J. Pollock,2.93081761006289,4.66,0.159,NA,NA,NA,NA,NA,NA
E. oleosa_M08501_1_2_leaf,E. oleosa_M08501_1_leaf,Eucalyptus oleosa subsp. oleosa,M08501,L.J. Pollock,2.95652173913044,2.72,0.092,NA,NA,NA,NA,NA,NA
E. oleosa_M08501_1_3_leaf,E. oleosa_M08501_1_leaf,Eucalyptus oleosa subsp. oleosa,M08501,L.J. Pollock,2.97765363128492,5.33,0.179,NA,NA,NA,NA,NA,NA
E. oleosa_No label_1_1_leaf,E. oleosa_No label_1_leaf,Eucalyptus oleosa subsp. oleosa,No label,L.J. Pollock,2.53083109919571,9.44,0.373,NA,NA,NA,NA,NA,NA
E. oleosa_No label_1_2_leaf,E. oleosa_No label_1_leaf,Eucalyptus oleosa subsp. oleosa,No label,L.J. Pollock,2.56310679611651,10.56,0.412,NA,NA,NA,NA,NA,NA
E. oleosa_No label_1_3_leaf,E. oleosa_No label_1_leaf,Eucalyptus oleosa subsp. oleosa,No label,L.J. Pollock,2.79430379746835,8.83,0.316,NA,NA,NA,NA,NA,NA
E. oleosa_No label_2_1_leaf,E. oleosa_No label_2_leaf,Eucalyptus oleosa subsp. oleosa,No label,L.J. Pollock,2.15228426395939,8.48,0.394,NA,NA,NA,NA,NA,NA
E. oleosa_No label_2_2_leaf,E. oleosa_No label_2_leaf,Eucalyptus oleosa subsp. oleosa,No label,L.J. Pollock,2.78611111111111,10.03,0.36,NA,NA,NA,NA,NA,NA
E. oleosa_No label_2_3_leaf,E. oleosa_No label_2_leaf,Eucalyptus oleosa subsp. oleosa,No label,L.J. Pollock,2.83544303797468,6.72,0.237,NA,NA,NA,NA,NA,NA
E. oleosa_No label_3_1_leaf,E. oleosa_No label_3_leaf,Eucalyptus oleosa subsp. oleosa,No label,L.J. Pollock,2.27142857142857,7.95,0.35,NA,NA,NA,NA,NA,NA
E. oleosa_No label_3_2_leaf,E. oleosa_No label_3_leaf,Eucalyptus oleosa subsp. oleosa,No label,L.J. Pollock,2.55510204081633,6.26,0.245,NA,NA,NA,NA,NA,NA
E. oleosa_No label_3_3_leaf,E. oleosa_No label_3_leaf,Eucalyptus oleosa subsp. oleosa,No label,L.J. Pollock,2.67951807228916,11.12,0.415,NA,NA,NA,NA,NA,NA
E. oleosa_Old Growth_1_1_leaf,E. oleosa_Old Growth_1_leaf,Eucalyptus oleosa subsp. oleosa,Old Growth,L.J. Pollock,2.905,5.81,0.2,NA,NA,NA,NA,NA,NA
E. oleosa_Old Growth_1_2_leaf,E. oleosa_Old Growth_1_leaf,Eucalyptus oleosa subsp. oleosa,Old Growth,L.J. Pollock,2.90510948905109,3.98,0.137,NA,NA,NA,NA,NA,NA
E. oleosa_Old Growth_1_3_leaf,E. oleosa_Old Growth_1_leaf,Eucalyptus oleosa subsp. oleosa,Old Growth,L.J. Pollock,3.02836879432624,4.27,0.141,NA,NA,NA,NA,NA,NA
E. oleosa_Shearer Quarters_1_1_fruit,E. oleosa_Shearer Quarters_1_fruit,Eucalyptus oleosa subsp. oleosa,Shearer Quarters,L.J. Pollock,NA,NA,NA,27.6,138,5,0.3,3,10
E. oleosa_Shearer Quarters_1_1_leaf,E. oleosa_Shearer Quarters_1_leaf,Eucalyptus oleosa subsp. oleosa,Shearer Quarters,L.J. Pollock,2.49473684210526,2.37,0.095,NA,NA,NA,NA,NA,NA
E. oleosa_Shearer Quarters_1_2_leaf,E. oleosa_Shearer Quarters_1_leaf,Eucalyptus oleosa subsp. oleosa,Shearer Quarters,L.J. Pollock,2.55970149253731,3.43,0.134,NA,NA,NA,NA,NA,NA
E. oleosa_Shearer Quarters_1_3_leaf,E. oleosa_Shearer Quarters_1_leaf,Eucalyptus oleosa subsp. oleosa,Shearer Quarters,L.J. Pollock,2.69230769230769,3.85,0.143,NA,NA,NA,NA,NA,NA
E. oleosa_Shearer Quarters_2_1_leaf,E. oleosa_Shearer Quarters_2_leaf,Eucalyptus oleosa subsp. oleosa,Shearer Quarters,L.J. Pollock,2.46575342465753,3.6,0.146,NA,NA,NA,NA,NA,NA
E. oleosa_Shearer Quarters_2_2_leaf,E. oleosa_Shearer Quarters_2_leaf,Eucalyptus oleosa subsp. oleosa,Shearer Quarters,L.J. Pollock,2.54945054945055,2.32,0.091,NA,NA,NA,NA,NA,NA
E. oleosa_Shearer Quarters_2_3_leaf,E. oleosa_Shearer Quarters_2_leaf,Eucalyptus oleosa subsp. oleosa,Shearer Quarters,L.J. Pollock,2.88235294117647,1.47,0.051,NA,NA,NA,NA,NA,NA
E. oleosa_Shearer Quarters_3_1_leaf,E. oleosa_Shearer Quarters_3_leaf,Eucalyptus oleosa subsp. oleosa,Shearer Quarters,L.J. Pollock,2.45161290322581,3.04,0.124,NA,NA,NA,NA,NA,NA
E. oleosa_Shearer Quarters_3_2_leaf,E. oleosa_Shearer Quarters_3_leaf,Eucalyptus oleosa subsp. oleosa,Shearer Quarters,L.J. Pollock,2.56934306569343,3.52,0.137,NA,NA,NA,NA,NA,NA
E. oleosa_Shearer Quarters_3_3_leaf,E. oleosa_Shearer Quarters_3_leaf,Eucalyptus oleosa subsp. oleosa,Shearer Quarters,L.J. Pollock,2.64492753623188,3.65,0.138,NA,NA,NA,NA,NA,NA
E. phenax_Murrayville S Rd_1_1_fruit,E. phenax_Murrayville S Rd_1_fruit,Eucalyptus phenax subsp. phenax,Murrayville S Rd,L.J. Pollock,NA,NA,NA,73.6,368,5,0.4,2,5
E. porosa_Boinka FFG_1_1_leaf,E. porosa_Boinka FFG_1_leaf,Eucalyptus porosa,Boinka FFG,L.J. Pollock,3.4344262295082,4.19,0.122,NA,NA,NA,NA,NA,NA
E. porosa_Boinka FFG_1_2_leaf,E. porosa_Boinka FFG_1_leaf,Eucalyptus porosa,Boinka FFG,L.J. Pollock,3.89130434782609,1.79,0.046,NA,NA,NA,NA,NA,NA
E. porosa_Boinka FFG_1_3_leaf,E. porosa_Boinka FFG_1_leaf,Eucalyptus porosa,Boinka FFG,L.J. Pollock,3.97979797979798,3.94,0.099,NA,NA,NA,NA,NA,NA
E. porosa_Boinka FFG_2_1_leaf,E. porosa_Boinka FFG_2_leaf,Eucalyptus porosa,Boinka FFG,L.J. Pollock,2.97959183673469,2.92,0.098,NA,NA,NA,NA,NA,NA
E. porosa_Boinka FFG_2_2_leaf,E. porosa_Boinka FFG_2_leaf,Eucalyptus porosa,Boinka FFG,L.J. Pollock,3.34905660377358,3.55,0.106,NA,NA,NA,NA,NA,NA
E. porosa_Boinka FFG_2_3_leaf,E. porosa_Boinka FFG_2_leaf,Eucalyptus porosa,Boinka FFG,L.J. Pollock,3.68253968253968,2.32,0.063,NA,NA,NA,NA,NA,NA
E. porosa_Boinka FFG_3_1_leaf,E. porosa_Boinka FFG_3_leaf,Eucalyptus porosa,Boinka FFG,L.J. Pollock,3.11486486486487,4.61,0.148,NA,NA,NA,NA,NA,NA
E. porosa_Boinka FFG_3_2_leaf,E. porosa_Boinka FFG_3_leaf,Eucalyptus porosa,Boinka FFG,L.J. Pollock,3.13592233009709,3.23,0.103,NA,NA,NA,NA,NA,NA
E. porosa_Boinka FFG_3_3_leaf,E. porosa_Boinka FFG_3_leaf,Eucalyptus porosa,Boinka FFG,L.J. Pollock,3.25503355704698,4.85,0.149,NA,NA,NA,NA,NA,NA
E. porosa_Boinka FFG_4_1_leaf,E. porosa_Boinka FFG_4_leaf,Eucalyptus porosa,Boinka FFG,L.J. Pollock,3.18226600985222,6.46,0.203,NA,NA,NA,NA,NA,NA
E. porosa_Boinka FFG_4_2_leaf,E. porosa_Boinka FFG_4_leaf,Eucalyptus porosa,Boinka FFG,L.J. Pollock,3.29530201342282,4.91,0.149,NA,NA,NA,NA,NA,NA
E. porosa_Boinka FFG_4_3_leaf,E. porosa_Boinka FFG_4_leaf,Eucalyptus porosa,Boinka FFG,L.J. Pollock,3.50806451612903,4.35,0.124,NA,NA,NA,NA,NA,NA
E. porosa_Boinka FFG_5_1_leaf,E. porosa_Boinka FFG_5_leaf,Eucalyptus porosa,Boinka FFG,L.J. Pollock,3.09821428571429,3.47,0.112,NA,NA,NA,NA,NA,NA
E. porosa_Boinka FFG_5_2_leaf,E. porosa_Boinka FFG_5_leaf,Eucalyptus porosa,Boinka FFG,L.J. Pollock,3.18840579710145,2.2,0.069,NA,NA,NA,NA,NA,NA
