Species,family,Photosynthetic.pathway (confirmed using data from literature or TERN stable isotope analysis),Photosyntehtic.pathway (inferred from lineage),Photosynthetic pathway (combined),Source,Justification for inference based on lineage,Notes,longitude (deg),latitude (deg),site_name
Conostylis aculeata,Haemodoraceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Conostylis argentea,Haemodoraceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Conostylis juncea,Haemodoraceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Conostylis pusilla,Haemodoraceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Conostylis setigera,Haemodoraceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Convolvulus angustissimus,Convolvulaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Convolvulus clementii,Convolvulaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Convolvulus eyreanus,Convolvulaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Convolvulus recurvatus,Convolvulaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Convolvulus remotus,Convolvulaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Corchorus crozophorifolius,Malvaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Corchorus lasiocarpus,Malvaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Corchorus olitorius,Malvaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Corchorus sericeus,Malvaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Corchorus sidoides,Malvaceae,C3,NA,C3,TERN SIA,NA,NA,137.1006028,-17.89627778,site_at_-17.896_deg_lat_137.101_deg_long
Corchorus tectus,Malvaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Corchorus tridens,Malvaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Coronidium scorpioides,Asteraceae,C3,NA,C3,TERN SIA,NA,NA,150.0272222,-33.22035,site_at_-33.22_deg_lat_150.027_deg_long
Correa aemula,Rutaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (family) are C3,NA,NA,NA,no site data
Corymbia aspera,Myrtaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Corymbia bella,Myrtaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Corymbia bleeseri,Myrtaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Corymbia brachycarpa,Myrtaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Corymbia cadophora,Myrtaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Corymbia calophylla,Myrtaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Corymbia candida,Myrtaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Corymbia confertiflora,Myrtaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Corymbia dallachiana,Myrtaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Corymbia deserticola,Myrtaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Corymbia dichromophloia,Myrtaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Corymbia drysdalensis,Myrtaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Corymbia ferruginea,Myrtaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Corymbia flavescens,Myrtaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Corymbia foelscheana,Myrtaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Corymbia grandifolia,Myrtaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Corymbia greeniana,Myrtaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Corymbia gummifera,Myrtaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Corymbia hamersleyana,Myrtaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Corymbia opaca,Myrtaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Corymbia pocillum,Myrtaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Corymbia polycarpa,Myrtaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Corymbia porrecta,Myrtaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Corymbia ptychocarpa,Myrtaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Corymbia setosa,Myrtaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Corymbia terminalis,Myrtaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Corynotheca micrantha,Funariaceae,U,C3,C3,Sage 2016 (and references therein),Moss;No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Cotula australis,Asteraceae,C3,NA,C3,TERN SIA,NA,NA,140.7584778,-34.08334167,site_at_-34.083_deg_lat_140.758_deg_long
Cotula cotuloides,Asteraceae,U,C3,C3,Photosynthetic Pathway of other species in genus; Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,Photosynthetic Pathway of other species in genus; No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Crassula colligata,Crassulaceae,U,CAM,CAM,Watson and Dallwitz 1992 onwards; Thiede and Eggli 2007,Known CAM lineage,NA,NA,NA,no site data
Crassula colorata,Crassulaceae,CAM,NA,CAM,TRY,NA,NA,NA,NA,no site data
Crassula decumbens,Crassulaceae,CAM,NA,CAM,TRY,NA,NA,NA,NA,no site data
Crassula extrorsa,Crassulaceae,U,CAM,CAM,Watson and Dallwitz 1992 onwards; Thiede and Eggli 2007,Known CAM lineage,NA,NA,NA,no site data
Cratystylis conocephala,Asteraceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Cressa australis,Convolvulaceae,C3,NA,C3,TERN SIA,NA,CAM confirmed in this genus (Watson and Dallwitz 1992); more detailed physiological testing could help provide more detail,140.960225,-17.01355833,site_at_-17.014_deg_lat_140.96_deg_long
Cressa australis,Convolvulaceae,C3,NA,C3,TERN SIA,NA,CAM confirmed in this genus (Watson and Dallwitz 1992); more detailed physiological testing could help provide more detail,140.960225,-17.01355833,site_at_-17.014_deg_lat_140.96_deg_long
Crotalaria cunninghamii,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Crotalaria dissitiflora,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Crotalaria eremaea,Fabaceae,C3,NA,C3,TERN SIA,NA,NA,133.612075,-22.29108056,site_at_-22.291_deg_lat_133.612_deg_long
Crotalaria juncea,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Crotalaria medicaginea,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Crotalaria montana,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Crotalaria novae-hollandiae,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Crotalaria ramosissima,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Crotalaria smithiana,Fabaceae,C3,NA,C3,TERN SIA,NA,NA,135.7046278,-26.35025278,site_at_-26.35_deg_lat_135.705_deg_long
Croton arnhemicus,Euphorbiaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Cryptandra amara,Rhamnaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Cryptandra apetala,Rhamnaceae,U,C3,C3,Sage 2016 (and references therein),No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Cryptandra crispula,Rhamnaceae,U,C3,C3,Sage 2016 (and references therein),No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Cryptandra minutifolia,Rhamnaceae,U,C3,C3,Sage 2016 (and references therein),No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Cryptandra polyclada,Rhamnaceae,U,C3,C3,Sage 2016 (and references therein),No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Cryptandra tomentosa,Rhamnaceae,U,C3,C3,Sage 2016 (and references therein),No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Cryptandra wilsonii,Rhamnaceae,U,C3,C3,Sage 2016 (and references therein),No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Cryptostegia grandiflora,Apocynaceae,C3,NA,C3,TERN SIA,NA,"C3 and CAM are in this family, numerous genera untested; further testing of anatomy justified as isotope values may not be comprehensive",140.9937028,-17.00219167,site_at_-17.002_deg_lat_140.994_deg_long
Cucumis argenteus,Cucurbitaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4/CAM species in this lineage; Other known species in this lineage (genus) are almost exclusviely C3,NA,NA,NA,no site data
Cucumis melo,Cucurbitaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Cucumis picrocarpus,Cucurbitaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4/CAM species in this lineage; Other known species in this lineage (genus) are almost exclusviely C3,NA,NA,NA,no site data
Cullen australasicum,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Cullen badocanum,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Cullen cinereum,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Cullen discolor,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Cullen graveolens,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Cullen patens,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Cupaniopsis anacardioides,Sapindaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Cuphonotus humistratus,Brassicaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,"No evidence of a C4 species in this lineage; Most other known species in this lineage (genus) are C3, C3_C4 intermediacy only found in Moricandia",NA,NA,NA,no site data
Cuscuta planiflora,Convolvulaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Cuscuta victoriana,Convolvulaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Cyanthillium cinereum,Asteraceae,C3,NA,C3,TERN SIA,NA,NA,133.0477889,-14.90864444,site_at_-14.909_deg_lat_133.048_deg_long
Cycas armstrongii,Cycadaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Cymbopogon ambiguus,Poaceae,C4,NA,C4,TERN SIA,NA,NA,NA,NA,no site data
Cymbopogon bombycinus,Poaceae,C4,NA,C4,TERN SIA,NA,NA,137.0692639,-18.90550556,site_at_-18.906_deg_lat_137.069_deg_long
Cymbopogon obtectus,Poaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Cynanchum viminale,Apocynaceae,U,CAM,CAM,Holtum et al. 2016,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Cynodon convergens,Poaceae,C4,NA,C4,TERN SIA,NA,NA,117.1698361,-21.39493056,site_at_-21.395_deg_lat_117.17_deg_long
Cynodon dactylon,Poaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Cynosurus echinatus,Poaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Cyperus alterniflorus,Cyperaceae,C3,NA,C3,Besnard et al. 2009,NA,NA,NA,NA,no site data
Cyperus astartodes,Cyperaceae,C4,NA,C4,Bruhl and Wilson 2007,NA,NA,NA,NA,no site data
Cyperus betchei,Cyperaceae,C4,NA,C4,TERN SIA,NA,NA,140.9937028,-17.00219167,site_at_-17.002_deg_lat_140.994_deg_long
Cyperus bifax,Cyperaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Cyperus conicus,Cyperaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Cyperus decompositus,Cyperaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Cyperus fulvus,Cyperaceae,C4,NA,C4,TERN SIA,NA,NA,141.8342833,-19.91485278,site_at_-19.915_deg_lat_141.834_deg_long
Cyperus gilesii,Cyperaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Cyperus gymnocaulos,Cyperaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Cyperus holoschoenus,Cyperaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Cyperus iria,Cyperaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Cyperus nervulosus,Cyperaceae,C3,NA,C3,TERN SIA,NA,NA,133.6845444,-18.08004167,site_at_-18.08_deg_lat_133.685_deg_long
Cyperus pulchellus,Cyperaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Cyperus sexflorus,Cyperaceae,C4,NA,C4,TERN SIA,NA,NA,128.0233278,-16.00626111,site_at_-16.006_deg_lat_128.023_deg_long
Cyperus squarrosus,Cyperaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Cyperus vaginatus,Cyperaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Cyperus victoriensis,Cyperaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Dactylis glomerata,Poaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Dactyloctenium radulans,Poaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Dampiera altissima,Goodeniaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Dampiera candicans,Goodeniaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Dampiera cinerea,Goodeniaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Dampiera dysantha,Goodeniaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Dampiera lavandulacea,Goodeniaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Dampiera lindleyi,Goodeniaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Dampiera linearis,Goodeniaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Dampiera pedunculata,Goodeniaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Dampiera purpurea,Goodeniaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Dampiera spicigera,Goodeniaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Dampiera stenostachya,Goodeniaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Dampiera stricta,Goodeniaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Dasypogon bromeliifolius,Dasypogonaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Daucus glochidiatus,Apiaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Daviesia alata,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Daviesia argillacea,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Daviesia brachyphylla,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Daviesia hakeoides,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Daviesia incrassata,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Daviesia latifolia,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Daviesia leptophylla,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Daviesia sarissa,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Daviesia ulicifolia,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Dendrophthoe vitellina,Loranthaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards; Ting (1989),No evidence of C4 or CAM,NA,NA,NA,no site data
Denhamia cunninghamii,Celastraceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Denhamia obscura,Celastraceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Denhamia oleaster,Celastraceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Desmocladus asper,Restionaceae,U,C3,C3,Sage 2016 (and references therein),No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Desmocladus fasciculatus,Restionaceae,U,C3,C3,Sage 2016 (and references therein),No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Desmocladus flexuosus,Restionaceae,C3,NA,C3,TERN SIA,NA,NA,115.9023917,-32.34424722,site_at_-32.344_deg_lat_115.902_deg_long
Desmocladus lateriflorus,Restionaceae,U,C3,C3,Sage 2016 (and references therein),No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Desmocladus laxiflorus,Restionaceae,U,C3,C3,Sage 2016 (and references therein),No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Desmodium brachypodum,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Desmodium campylocaulon,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Desmodium filiforme,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Desmodium muelleri,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Desmodium pullenii,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Dianella brevicaulis,Hemerocallidaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Dianella revoluta,Hemerocallidaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Dichanthium annulatum,Poaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Dichanthium aristatum,Poaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Dichanthium fecundum,Poaceae,C4,NA,C4,TRY,NA,NA,137.0692639,-18.90550556,site_at_-18.906_deg_lat_137.069_deg_long
Dichanthium sericeum,Poaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Dichelachne crinita,Poaceae,C3,NA,C3,TERN SIA,NA,NA,138.6038099,-33.9141962,site_at_-33.914_deg_lat_138.604_deg_long
Dichelachne hirtella,Poaceae,U,C3,C3,Photosynthetic Pathway of other species in genus; Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,Photosynthetic Pathway of other species in genus,NA,NA,NA,no site data
Dichelachne micrantha,Poaceae,C3,NA,C3,TERN SIA,NA,NA,139.3396917,-30.343475,site_at_-30.343_deg_lat_139.34_deg_long
Dichondra repens,Convolvulaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Dicranoloma menziesii,Dicanaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,Moss; No evidence of a C4 species in this lineage,NA,NA,NA,no site data
Dicrastylis cordifolia,Lamiaceae,U,C3,C3,Photosynthetic Pathway of other species in genus; Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Dicrastylis costelloi,Lamiaceae,C3,NA,C3,TERN SIA,NA,NA,136.3070278,-25.30979167,site_at_-25.31_deg_lat_136.307_deg_long
Dicrastylis fulva,Lamiaceae,U,NA,C3,Photosynthetic Pathway of other species in genus; Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Dicrastylis lewellinii,Lamiaceae,U,NA,C3,Photosynthetic Pathway of other species in genus; Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Digitaria ammophila,Poaceae,C4,NA,C4,TERN SIA,NA,NA,144.22415,-19.5525,site_at_-19.552_deg_lat_144.224_deg_long
Digitaria bicornis,Poaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Digitaria brownii,Poaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Digitaria divaricatissima,Poaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Digitaria gibbosa,Poaceae,C4,NA,C4,TERN SIA,NA,NA,132.3403361,-12.739225,site_at_-12.739_deg_lat_132.34_deg_long
Digitaria longiflora,Poaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Digitaria papposa,Poaceae,C4,NA,C4,TRY,NA,NA,137.1211417,-18.653191669999998,site_at_-18.653_deg_lat_137.121_deg_long
Dillwynia hispida,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Dillwynia retorta,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Dimeria ornithopoda,Poaceae,C4,NA,C4,TERN SIA,NA,NA,137.1579611,-17.35489722,site_at_-17.355_deg_lat_137.158_deg_long
Dinebra neesii,Poaceae,C4,NA,C4,TERN SIA,NA,NA,135.4090222,-15.5381,site_at_-15.538_deg_lat_135.409_deg_long
Diospyros humilis,Ebenaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,Tree; No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Diplachne fusca,Poaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Disphyma crassifolium,Aizoaceae,CAM,NA,CAM,Holtum et al. 2016,NA,NA,NA,NA,no site data
Dissocarpus biflorus,Chenopodiaceae,C3,NA,C3,Pate et al 1998;TERN SIA,NA,NA,NA,NA,no site data
Dissocarpus fontinalis,Chenopodiaceae,C3,NA,C3,TERN SIA,NA,NA,NA,NA,no site data
Dissocarpus paradoxus,Chenopodiaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Dodonaea physocarpa,Sapindaceae,C3,NA,C3,TERN SIA,NA,NA,137.011625,-17.89590833,site_at_-17.896_deg_lat_137.012_deg_long
Dodonaea viscosa,Sapindaceae,C3,NA,C3,TERN SIA,NA,Pate et al 1998,NA,NA,no site data
Dolichandrone filiformis,Bignoniaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Dolichandrone heterophylla,Bignoniaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
