species,herbarium voucher,native to,voucher location,lat,long,alt,leaf type,stomatal distribution,habitat,woodiness,habit,Guard cell length,Total vein density (mm/mm2),leaf mass per unit area gm-2,total stomatal density (mm-2),adaxial stomatal density (mm-2),adaxial stomatal density (mm-2),dense hairs covering the stomata,tightly revolute leaves (1=linear leaves with revolute margins appressed to either midrib or other margin,deep longitudinal grooves etc (n=none;g=grooves;(g) grooves but stomata not restricted to grooves),Banksia-type pits,hakea-type pits,telopea-type papillae,lamina thickness (microns),epidermal width (microns),palisade width (microns),epidermal cell density,stomatal index,leaf area (cm2),adult leaf type,juvenile leaf type,leaf form,adaxial hypodermis,adaxial cuticle thickness (microns),ad papillae5,ad trichomes,ab hypo,ab cut thick,bundle sheath extensions,lignified margins,sclereids at vein endings,sclereids protruding from bundle sheaths,bundle sheaths 1= large parenchyma-like cells; 3=bundles sheaths surrounded by sclereids; 4= bundles embedded in a lignified core,crystals in mesophyll,hypodermal structures (0=no specialised structure; 1 = lignified adaxial hypodermis; 2 = lignified abaxial hypodermis; 3 = hypodermis of extension of bundle sheath extensions; 4=Orites milliganii upper type; 5 = Orites milliganii lower type; 6 = ideosclereids extending under adaxial hypodermis),compound midribs,ideosclereids (0=absent; 1=ordinary; 2= branched; 3=asterosclereids; 4=osteosclereids;5=dense clusters of sclereids),clade,group,veg type,"stomatal distribution (amphistomatic, hypostomatic or unevenly amphistomatic [=""functionally hypostomatic"")"
Lomatia fraseri,,"NSW, Vic",,,,,,hypostomatic,"sclerophyll forest, woodland",woody,perennial,27.4,,,,,,y,n,n,0,0,0,304,,,,,,,,hypostomatic,0,9,0,0,0,2,1,0,0,1,0,0,0,0,2,,,open,hypo
Lomatia ilicifolia,,"NSW, Vic",,,,,,hypostomatic,"sclerophyll forest, woodland",woody,perennial,28.1,,,,,,n,n,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,open,hypo
Lomatia myricoides,,"NSW, Vic",,,,,,hypostomatic,"sclerophyll forest, woodland",woody,perennial,33.4,,,,,,n,n,n,0,0,0,335,,,,,,,,hypostomatic,0,12,0,0,0,6,1,0,0,1,0,0,0,0,2,,,open,hypo
Grevillea angulata,,NT,,,,,pinnatifid or deeply toothed,amphistomatic,open woodlands,woody,perennial,31.55,,,,,,n,n,n,0,0,0,,,,,,,pinnatifid or deeply toothed,,,,,,,,,,,,,,,,,,,,open,amphi
Helicia australasica,HO529246,"NT, Qld, PNG","cultivated, CSIRO Arboretum, Atherton",17° 15' S,145° 29' E,,"simple, toothed",hypostomatic,rainforest,woody,perennial,22.95,8.129346645,113.958,231.43,,231.43,n,n,n,0,0,0,241.2,22.089318,18.746,,,28.16,"simple, toothed",,hypostomatic,0,4,0,0,0,1,0,0,0,0,3,1,0,1,0,,,closed,hypo
Persoonia falcata,,"nth WA, NT, Qld",,,,,"simple, entire",amphistomatic,usually woodland,woody,perennial,75.35585714,,,,,,n,n,n,0,0,0,528,,,,,,"simple, entire",,simple entire,0,9.8,1,0,0,8.2,0,0,0,0,0,0,0,0,0,,,open,amphi
Grevillea dimidiata,,"nwWA, NT",,,,,"simple, entire",amphistomatic,open woodlands,woody,perennial,33.81,,,,,,y,n,n,0,0,0,,,,,,,"simple, entire",,,,,,,,,,,,,,,,,,,,open,amphi
Bleasdalea papuana,,PNG,,,,,,hypostomatic,rainforest,woody,perennial,28.02,,,,,,n,n,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,closed,hypo
Petrophile canescens,HO528977,"Qld, NSW","Wentworth Falls, Blue Mountains",-33.698555,150.367545,1000,simple pinnately divided,amphistomatic,heath to dry sclerophyll,woody,perennial,36,,230.3,,,,n,n,n,0,0,0,,,,,,2.4375,simple pinnately divided,,,,,,,,,,,,,,,,,,,,open,terete
Adenanthos terminalis,,"SA, Vic",,,,,"simple, deeply segmented",amphistomatic,heath to woodland,woody,perennial,34.1,,,,,,n,n,n,0,0,0,,,,,,,"simple, deeply segmented",,,,,,,,,,,,,,,,,,,,open,subterete
Conospermum patens,,"SA, Vic",,,,,"simple, entire",amphistomatic,heathland to woodland,woody,perennial,30.94,,,,,,n,n,n,0,0,0,,,,,,,"simple, entire",,,,,,,,,,,,,,,,,,,,open,amphi
Hakea mitchellii,,"SA, Vic",,,,,"subterete, linear, trigonous",amphistomatic,dry heathlands,woody,perennial,37.51,,,,,,n,n,n,0,1,0,,,,,,,"subterete, linear, trigonous",,,,,,,,,,,,,,,,,,B2,ulicina,open,terete
Hakea rostrata,,"SA, Vic",,,,,terete,amphistomatic,sclerophyll woodlands,woody,perennial,48.46,,,,,,n,n,n,0,1,0,,,,,,,terete,,,,,,,,,,,,,,,,,,A2,rostrata,open,terete
Hakea rugosa,,"SA, Vic",,,,,terete,amphistomatic,heathlands,woody,perennial,27.6,,,,,,n,n,n,0,1,0,,,,,,,terete,,,,,,,,,,,,,,,,,,A2,rostrata,open,terete
Banksia ornata,,"SA, Vic",,,,,,hypostomatic,"heathland, woodland, 400-700mm",woody,perennial,27.8,,,,,,y,n,n,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,open,hypo
Grevillea lavandulacea,,"SA, Vic ",,,,,"simple, entire",hypostomatic,"open woodlands, heath",woody,perennial,32.1,,,,,,y,n,n,0,0,0,,,,,,,"simple, entire",,,,,,,,,,,,,,,,,,,,open,hypo
Grevillea ilicifolia,,"SA, Vic, NSW",,,,,"simple, entire to multilobed",hypostomatic,heathlands,woody,perennial,28.11,,,,,,y,n,n,0,0,0,,,,,,,"simple, entire to multilobed",,,,,,,,,,,,,,,,,,,,open,hypo
Banksia marginata,HO528931,"SA, Vic, NSW, Tas",Chimney Pot Hill Road,-42.918062,147.284374,330,,hypostomatic,"sclerophyll woodland, montane heath, 400-1000mm",woody,perennial,30,,204.6,,,,y,n,n,0,0,0,325,,,,,1.4887,,,hypostomatic,1,7,0,0,0,3,1,0,0,0,3,0,"1,3",1,0,,,open,hypo
Isopogon ceratophyllus,HO528967,"SA, Vic, Tas","Cultivated.  University of Tasmania Latitude: 42° 54’ 20” S, longitude: 147° 19’ 55” E. ","42° 54' 20"" S","147° 19' 55"" E. ",,pinnatisect,amphistomatic,"heath, dry to wet sclerophyll",woody,perennial,38,,358.11,,,131.3267552,n,n,n,0,0,0,645,,,807.4820757,13.98844964,4.6075,pinnatisect,,amphistomatic,0,14,0,0,0,7,0,0,0,0,1,0,0,0,1,,,open,amphi
Hakea nodosa,,"SA, Vic, Tas",,,,,terete to flat,amphistomatic,swampy heathlands,woody,perennial,44.58,,,,,,n,n,n,0,1,0,,,,,,,terete to flat,,,,,,,,,,,,,,,,,,A1,nodosa,open,terete
Persoonia juniperina,HO528980,"SA,Vic, NSW, Tas","Mt Freycinet, below summit",-42.213883,148.302402,540,"simple, entire",amphistomatic,dry sclerophyll- to heath,woody,perennial,74.3,,235.3,,,,n,n,n,0,0,0,707,,,,,0.091534,"simple, entire",,amphistomatic,0,5,1,0,0,5,0,0,0,0,1,0,0,0,0,,,open,amphi
Persoonia brevifolia,,"se NSW, NE Vic",,,,,"simple, entire",hypostomatic,dry to wet sclerophyll,woody,perennial,,,,,,,n,n,,,,,,,,,,,"simple, entire",,,,,,,,,,,,,,,,,,,,open,hypo
Persoonia confertiflora,,"se NSW, Vic",,,,,"simple, entire",hypostomatic,dry woodland to wet sclerophyll,woody,perennial,66.1,,,,,,n,n,n,0,0,0,,,,,,,"simple, entire",,,,,,,,,,,,,,,,,,,,open,hypo
Petrophile shirleyae,,se Qld,,,,,simple 2-3 pinnate,amphistomatic,heathland to woodland,woody,perennial,43.4,,,,,107.6642768,n,n,n,0,0,0,,,,663.7325193,13.96064999,,simple 2-3 pinnate,,,,,,,,,,,,,,,,,,,,open,terete
Conospermum taxifolium,,se Qld to Vic,,,,,"simple, entire",amphistomatic,heathland to woodland,woody,perennial,26.3,,,,,93.6146802,n,n,n,0,0,0,,,,522.2013204,15.21826341,,"simple, entire",,,,,,,,,,,,,,,,,,,,open,amphi
Persoonia sericea,,"se Qld, ne NSW",,,,,"simple, entire",amphistomatic,woodland to dry sclerophyll,woody,perennial,62.1,,,,,,n,n,n,0,0,0,,,,,,,"simple, entire",,,,,,,,,,,,,,,,,,,,open,amphi
Telopea mongaensis,,seNSW ,,,,,,hypostomatic,"wet sclerophyll forest, rainforest",woody,perennial,,,,,,,n,n,n,0,0,0,,,,,,,,,hypostomatic,0,7,0,0,0,6,0,0,0,0,1,0,0,0,0,,,open,hypo
Hakea ulicina,,"seNSW, Vic, Tas",,,,,linear flat or trigonous,amphistomatic,"sclerophyll woodlands, heath",woody,perennial,46.05,,,,,,n,n,n,0,1,0,,,,,,,linear flat or trigonous,,,,,,,,,,,,,,,,,,B2,ulicina,open,amphi
Triunia robusta,,seQld,,,,,"simple,entire to toothed",hypostomatic,rainforest,woody,perennial,29.65,,,,,,n,n,n,0,0,0,,,,,,,"simple,entire to toothed",,,,,,,,,,,,,,,,,,,,closed,hypo
Macadamia jansenii,,seQld,,,,,,hypostomatic,rainforest,woody,perennial,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,closed,hypo
Macadamia ternifolia,,seQld,,,,,,hypostomatic,rainforest,woody,perennial,24.69,,,,,,n,n,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,closed,hypo
Helicia glabriflora,,"seQld, eNSW",,,,,"simple, entire or rare teeth",hypostomatic,rainforest,woody,perennial,28.93466667,,,,,,n,n,n,0,0,0,,,,,,,"simple, entire or rare teeth",,hypostomatic,0,5,0,0,0,2,0,0,0,0,3,1,0,1,0,,,closed,hypo
Banksia aemula,,"seQld, eNSW",,,,,,hypostomatic,"woodland, shrubland, 800-1200mm",woody,perennial,30.1,,,,,,y,n,n,1,0,0,310,37.6,,,,,,,hypostomatic,1,5,0,0,1,2,1,0,0,0,3,0,"1,2,3",2,0,,,open,hypo
Hakea eriantha,,"seQld, eNsw, eVic",,,,,entire,amphistomatic,wet sclerophyll forest,woody,perennial,40.37,,,,,,n,n,n,0,1,0,,,,,,,entire,,,,,,,,,,,,,,,,,,A2,eriantha,open,amphi
Hakea salicifolia,,"seQld, neNSW",,,,,flat entire,amphistomatic,"wet sclerophyll, open woodlands",woody,perennial,40.61,,153.5300663,,,,n,n,n,0,1,0,,,,,,7.9092,flat entire,,unevenly amphi,,,,,,,,,,,,,,,,,,open,uneven amphi
Orites excelsus,,"seQld, neNSW",,,,,"lobed, toothed",hypostomatic,rainforest,woody,perennial,23.05,,,,,,n,n,n,0,0,0,305,,,,,,"lobed, toothed",,hypostomatic,0,10,0,0,0,7,0,0,0,0,3,0,0,2,0,,,closed,hypo
Grevillea robusta,,"seQld, neNSW",,,,,"simple, deeply dissected",hypostomatic,"rainforests, sclerophyll",woody,perennial,27.62,,,,,,y,n,n,0,0,0,220,22.5,,,,,"simple, deeply dissected",,hypostomatic,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,,,closed,hypo
Triunia youngiana,,"seQld, neNSW",,,,,"simple,toothed",hypostomatic,rainforest,woody,perennial,30.77,,,,,235.5616433,n,n,n,0,0,0,,,,1284.076627,13.79310345,,"simple,toothed",,,,,,,,,,,,,,,,,,,,closed,hypo
Alloxylon pinnatum,HO528958,"seQld, neNSW","Cultivated. Royal Botanic Gardens, Sydney","33° 52'  30"" S","151° 12' 3"" E.",,,hypostomatic,rainforest,woody,perennial,45.7,4.8298,140.4721012,98.2,,98.2,n,n,n,0,0,0,312.5,31.50980136,20.726,,,9.84181192,,,hypostomatic,0,12,0,0,0,8,0,0,0,0,1,0,0,0,2,,,closed,hypo
Hicksbeachia pinnatifolia,,"seQld, neNSW",,,,,,hypostomatic,rainforest,woody,perennial,35.82,,,,,101.1570952,n,n,n,0,0,0,,,,,,,,,hypostomatic,0,3,0,0,0,1,0,0,0,0,3,0,0,2,0,,,closed,hypo
Strangea linearis,,"seQld, neNSW",,,,,,amphistomatic,"shrublands, heath, woodland",woody,perennial,61.4,,,,,57.38151014,n,n,n,0,0,0,776,,,367.9515392,13.47314468,,"simple,entire",,amphistomatic,1,13,0,0,0,6,0,0,0,0,4,0,6,0,4,,,open,amphi
Hakea sericea,,"seQld, NSW",,,,,terete,amphistomatic,"dry sclerophyll, heathlands",woody,perennial,50.44,,,,,,n,n,n,0,1,0,,,,,,,terete,,,,,,,,,,,,,,,,,,A1,sericea,open,terete
Banksia conferta,,"seQld, NSW",,,,,,hypostomatic,"sclerophyll scrub, 1000-1500mm",woody,perennial,31.1,,,,,,y,n,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,open,hypo
Banksia oblongifolia,,"seQld, NSW",,,,,,hypostomatic,"swampy woodlands, 800-1200mm",woody,perennial,34.2,,,,,,y,n,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,open,hypo
Lomatia arborescens,,"seQld, NSW",,,,,,hypostomatic,rainforest,woody,perennial,28.3,,,,,,n,n,n,0,0,0,352,,,,,,,,hypostomatic,0,3,0,0,0,1.5,1,0,0,1,0,0,0,0,2,,,closed,hypo
Lomatia silaifolia,,"seQld, NSW",,,,,,hypostomatic,"sclerophyll forest, woodland",woody,perennial,28.2,,,,,,y,n,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,open,hypo
Banksia serrata,,"seQld, NSW, Vic, Tas",,,,,,hypostomatic,"woodland, shrubland, 800-1200mm",woody,perennial,34.4,,,,,,y,n,n,1,0,0,,,,,,,,,hypostomatic,,,,,,,,,,,,,,,,,,open,hypo
Grevillea aquifolium,,"seSA, Vic",,,,,"simple, usually pinnatifid, toothed",hypostomatic,"open woodland, mallee, heath",woody,perennial,26.91,,,,,,y,n,n,0,0,0,,,,,,,"simple, usually pinnatifid, toothed",,,,,,,,,,,,,,,,,,,,open,hypo
Synaphea floribunda,,sw WA,,,,,entire or rarely 2-3 dentate near apex,amphistomatic,woodland and forest,woody,perennial,26.68,,,,,,n,n,n,0,0,0,,,,,,,entire or rarely 2-3 dentate near apex,,,,,,,,,,,,,,,,,,,,open,amphi
Synaphea flabelliformis,,sw WA,,,,,flabelliform ,amphistomatic,heathland to woodland,woody,perennial,24.24,,,,,,n,n,n,0,0,0,,,,,,,flabelliform ,,,,,,,,,,,,,,,,,,,,open,amphi
Isopogon divergens,,sw WA,,,,,pinnate to bipinnate,amphistomatic,heath,woody,perennial,,,,,,,n,n,,,,,,,,,,,pinnate to bipinnate,,,,,,,,,,,,,,,,,,,,open,subterete
Synaphea decorticans,,sw WA,,,,,pinnatipartite,amphistomatic,woodland,woody,perennial,33.42,,,,,,y,n,n,0,0,0,,,,,,,pinnatipartite,,,,,,,,,,,,,,,,,,,,open,amphi
Isopogon latifolius,,sw WA,,,,,simple,amphistomatic,heath to woodland,woody,perennial,37.7,,,,,,n,n,n,0,0,0,,,,,,,simple,,,,,,,,,,,,,,,,,,,,open,amphi
Isopogon polycephalus,,sw WA,,,,,simple,amphistomatic,heath,woody,perennial,,,,,,,n,n,,,,,,,,,,,simple,,,,,,,,,,,,,,,,,,,,open,amphi
Isopogon sphaerocephalus,,sw WA,,,,,simple,amphistomatic,heath to woodland,woody,perennial,,,,,,,n,n,,,,,,,,,,,simple,,,,,,,,,,,,,,,,,,,,open,amphi
Petrophile drummondii,,sw WA,,,,,simple 2-3 divided pinnate,amphistomatic,heath,woody,perennial,42.3,,,,,,n,n,n,0,0,0,,,,,,,simple 2-3 divided pinnate,,,,,,,,,,,,,,,,,,,,open,terete
Petrophile fastigiata,,sw WA,,,,,simple 2-3 divided pinnate,amphistomatic,heath to woodland,woody,perennial,,,,,,,n,n,,,,,,,,,,,simple 2-3 divided pinnate,,,,,,,,,,,,,,,,,,,,open,terete
Petrophile heterophylla,,sw WA,,,,,simple 2-3 lobed or entire,amphistomatic,heath to woodland,woody,perennial,46.8,,,,,,n,n,n,0,0,0,,,,,,,simple 2-3 lobed or entire,,,,,,,,,,,,,,,,,,,,open,amphi
Petrophile circinata,,sw WA,,,,,simple 2-3 pinnate,amphistomatic,heath to woodland,woody,perennial,33.9,,,,,,n,n,n,0,0,0,,,,,,,simple 2-3 pinnate,,,,,,,,,,,,,,,,,,,,open,terete
Petrophile diversifolia,,sw WA,,,,,simple 2-3 pinnate,amphistomatic,heath to woodland,woody,perennial,39.3,,,,,,n,n,n,0,0,0,,,,,,,simple 2-3 pinnate,,,,,,,,,,,,,,,,,,,,open,amphi
Petrophile rigida,,sw WA,,,,,simple bi or tripinnate,amphistomatic,heath,woody,perennial,,,,,,,n,n,,,,,,,,,,,simple bi or tripinnate,,,,,,,,,,,,,,,,,,,,open,terete
Petrophile serruriae,,sw WA,,,,,simple bi or tripinnate,amphistomatic,heath to woodland,woody,perennial,39.5,,,,,,n,n,n,0,0,0,,,,,,,simple bi or tripinnate,,,,,,,,,,,,,,,,,,,,open,terete
Petrophile divaricata,,sw WA,,,,,simple bipinnate,amphistomatic,heath to woodland,woody,perennial,36.3,,,,,,n,n,n,0,0,0,,,,,,,simple bipinnate,,,,,,,,,,,,,,,,,,,,open,terete
Synaphea reticulata,,sw WA,,,,,"simple cuneate, usually tri-lobed",amphistomatic,(often wet) heathland to woodland,woody,perennial,32.7,,,,,,y,n,n,0,0,0,,,,,,,"simple cuneate, usually tri-lobed",,,,,,,,,,,,,,,,,,,,open,amphi
Petrophile biloba,,sw WA,,,,,simple deeply 3-lobed,amphistomatic,heath to woodland,woody,perennial,,,,,,,n,n,n,0,0,0,,,,,,,simple deeply 3-lobed,,amphistomatic,0,7,0,0,0,8,0,0,0,0,4,1,0,0,0,,,open,amphi
Petrophile seminuda,,sw WA,,,,,simple divided,amphistomatic,heath to woodland,woody,perennial,41.4,,,,,,n,n,n,0,0,0,,,,,,,simple divided,,,,,,,,,,,,,,,,,,,,open,terete
Synaphea favosa,,sw WA,,,,,simple entire or few-dentate to lobed,amphistomatic,heathland,woody,perennial,38,,,,,,n,n,n,0,0,0,,,,,,,simple entire or few-dentate to lobed,,,,,,,,,,,,,,,,,,,,open,amphi
Petrophile incurvata,,sw WA,,,,,simple entire or with 2-5 pungent lobes,amphistomatic,heath,woody,perennial,52.8,,,,,,n,n,n,0,0,0,,,,,,,simple entire or with 2-5 pungent lobes,,,,,,,,,,,,,,,,,,,,open,amphi
Isopogon baxteri,,sw WA,,,,,simple often 3-lobed,amphistomatic,heath to woodland,woody,perennial,,,,,,,n,n,,,,,,,,,,,simple often 3-lobed,,,,,,,,,,,,,,,,,,,,open,amphi
Isopogon teretifolius,,sw WA,,,,,simple or 1-3 times bifid,amphistomatic,heath to woodland,woody,perennial,32.8,,,,,,n,n,n,0,0,0,,,,,,,simple or 1-3 times bifid,,,,,,,,,,,,,,,,,,,,open,subterete
Petrophile striata,HO529004,sw WA,"Lesmurdie Scarp, Kalamunda",-31.983333,116.033333,,simple pinnate or bipinnate,amphistomatic,heath to woodland,woody,perennial,46.4,,247.9878132,,,,n,n,n,0,0,0,445,,,,,1.750086,simple pinnate or bipinnate,,amphistomatic,0,9,0,0,0,9,0,0,0,0,4,1,0,0,0,,,open,amphi
Petrophile macrostachya,,sw WA,,,,,simple pinnate to tri pinnatifid,amphistomatic,heathland to woodland,woody,perennial,41.4,,,,,,n,n,n,0,0,0,,,,,,,simple pinnate to tri pinnatifid,,,,,,,,,,,,,,,,,,,,open,amphi
Petrophile squamata,,sw WA,,,,,simple primarily 3-lobed,amphistomatic,heathland to woodland,woody,perennial,41.8,,,,,,n,n,n,0,0,0,,,,,,,simple primarily 3-lobed,,,,,,,,,,,,,,,,,,,,open,amphi
Petrophile ericifolia,,sw WA,,,,,"simple simple, terete",amphistomatic,heath to woodland,woody,perennial,42.3,,,,,,n,n,n,0,0,0,,,,,,,"simple simple, terete",,,,,,,,,,,,,,,,,,,,open,terete
Synaphea polymorpha,,sw WA,,,,,simple tripartite,amphistomatic,heathland to woodland,woody,perennial,44.6,,,,,,n,n,n,0,0,0,,,,,,,simple tripartite,,,,,,,,,,,,,,,,,,,,open,amphi
Synaphea preissii,,sw WA,,,,,simple tripartite,amphistomatic,heathland to woodland,woody,perennial,36.9,,,,,,n,n,n,0,0,0,,,,,,,simple tripartite,,,,,,,,,,,,,,,,,,,,open,amphi
Synaphea petiolaris,HO529008,sw WA,"Lesmurdie Scarp, Kalamunda",-31.983333,116.033333,,simple usually pinnatipartite,amphistomatic,heathland to woodland,woody,perennial,45.9,5.914423709,168.937,94.64991363,46.73339486,47.91651878,n,n,n,0,0,0,396.25,50.40516421,21.523,,,14.4935,simple usually pinnatipartite,,amphistomatic,0,10,1,0,0,10,1,0,0,0,3,0,0,0,0,,,open,amphi
Synaphea pinnata,,sw WA,,,,,simple usually pinnatipartite,essentially hypostomatic (shows very rare stomata upper surface),woodland,woody,perennial,26.1,,,,,,n,n,n,0,0,1,,,,,,,simple usually pinnatipartite,,,,,,,,,,,,,,,,,,,,open,uneven amphi
Isopogon adenanthoides,,sw WA,,,,,simple usually trifid,amphistomatic,heath,woody,perennial,,,,,,,n,n,,,,,,,,,,,simple usually trifid,,,,,,,,,,,,,,,,,,,,open,subterete
Synaphea spinulosa,NSW435507,sw WA,"Western side of Brand Highway, 13.4 km north of Reagan's Ford.",-30.7819444,115.5711111,,simple widely tripartite,amphistomatic,heathland to woodland,woody,perennial,46.01,5.679418801,243.823,139.6086226,72.7621211,66.8465015,n,n,n,0,0,0,392.5,46.12968932,22.752,,,24.5998362,simple widely tripartite,,amphistomatic,1,16,0,0,1,17,1,0,0,0,3,0,"1,2",0,0,,,open,amphi
Adenanthos cuneatus,,sw WA,,,,,"simple, cuneate",amphistomatic,heath,woody,perennial,32.1,,,,,,y,n,n,0,0,0,,,,,,,"simple, cuneate",,,,,,,,,,,,,,,,,,,,open,amphi
Adenanthos argyreus,,sw WA,,,,,"simple, deeply segmented",amphistomatic,heath,woody,perennial,27.6,,,,,,y,n,n,0,0,0,,,,,,,"simple, deeply segmented",,,,,,,,,,,,,,,,,,5,,open,amphi
Adenanthos cygnorum,,sw WA,,,,,"simple, deeply segmented",amphistomatic,heath,woody,perennial,,,,,,,n,n,,,,,,,,,,,"simple, deeply segmented",,,,,,,,,,,,,,,,,,,,open,subterete
Adenanthos drummondii,,sw WA,,,,,"simple, deeply segmented",amphistomatic,heath,woody,perennial,26.4,,,,,,n,n,n,0,0,0,,,,,,,"simple, deeply segmented",,,,,,,,,,,,,,,,,,,,open,subterete
Adenanthos forrestii,,sw WA,,,,,"simple, deeply segmented",amphistomatic,heath,woody,perennial,26.3,,,,,,y,n,n,0,0,0,,,,,,,"simple, deeply segmented",,,,,,,,,,,,,,,,,,,,open,amphi
Adenanthos meisneri,,sw WA,,,,,"simple, deeply segmented",amphistomatic,heath to woodland,woody,perennial,30.8,,,,,,n,n,n,0,0,0,,,,,,,"simple, deeply segmented",,,,,,,,,,,,,,,,,,,,open,subterete
Adenanthos sericeus,HO528943,sw WA,cultivated Adelaide Botanic Gardens,34° 54' S,138° 35' E,,"simple, deeply segmented",amphistomatic,heath,woody,perennial,35.4,,87.8,,,,n,n,n,0,0,0,545,28.24,21.6,,,3.05,"simple, deeply segmented",,subterete,0,2,0,0,0,2,0,0,0,0,1,1,0,0,0,,,open,subterete
Franklandia fucifolia,NSW199618,sw WA,1.4 km E of Lucky Bay t/o on road to Rossiter Bay.,-33.98,122.25,,"simple, dichotomously divided",amphistomatic,heath to woodland,woody,perennial,32,,516.5578587,,,,n,n,n,0,1,1,1253,,,,,6.398121613,"simple, dichotomously divided",,terete,1,15,1,0,1,15,0,0,0,0,4,0,2,0,4,,,open,terete
Franklandia triaristata,,sw WA,,,,,"simple, dichotomously divided",amphistomatic,heath to woodland,woody,perennial,,,,,,,n,n,,,,,,,,,,,"simple, dichotomously divided",,,,,,,,,,,,,,,,,,,,open,terete
Stirlingia latifolia,NSW509309,sw WA,3 km E of Brand Highway on the Lancelin-Mogumber road.,-31.07,115.67,,"simple, dichotomously divided",amphistomatic,heathland to woodland,woody,perennial,32.6,,311.7713774,,,119.495516,n,n,n,0,0,0,521,,,848.8914129,12.3515223,96.76962733,"simple, dichotomously divided",,amphistomatic,0,11,1,0,0,?,0,0,0,0,4,0,0,0,0,,,open,amphi
Stirlingia simplex,,sw WA,,,,,"simple, dichotomously divided",amphistomatic,heathland to woodland,woody,perennial,35,,,,,,n,n,n,0,0,0,,,,,,,"simple, dichotomously divided",,,,,,,,,,,,,,,,,,,,open,terete
Acidonia microcarpa,NSW202161,sw WA,1.7 km east of Bow Bridge on South Western Highway.,-34.97,117,,"simple, entire",amphistomatic,swamp heath,woody,perennial,98.9,n/a,172.7,,,,n,n,n,0,0,0,975,55.39,33.65,,,1.2046,"simple, terete",,terete,0,4,0,0,0,4,0,0,0,0,1,0,0,0,0,269,,open,terete
Adenanthos barbiger,,sw WA,,,,,"simple, entire",amphistomatic,woodland,woody,perennial,38.1,,,,,,n,n,n,0,0,0,485,42.94,21.36,,,,"simple, entire",,amphistomatic,0,18,1,0,0,18,0,0,0,0,2,0,0,0,1,269,,open,amphi
Adenanthos detmoldii,,sw WA,,,,,"simple, entire",amphistomatic,"wet, sandy flats",woody,perennial,37.2,,,,,,n,n,n,0,0,0,,,,,,,"simple, entire",,,,,,,,,,,,,,,,,,,,open,amphi
Adenanthos obovatus,,sw WA,,,,,"simple, entire",amphistomatic,heath to woodland,woody,perennial,35.4,,,,,,n,n,n,0,0,0,,,,,,,"simple, entire",,,,,,,,,,,,,,,,,,,,open,amphi
Adenanthos venosus,,sw WA,,,,,"simple, entire",amphistomatic,rocky heath,woody,perennial,36.6,,,,,,n,n,n,0,0,0,,,,,,,"simple, entire",,,,,,,,,,,,,,,,,,,,open,amphi
Conospermum acerosum,,sw WA,,,,,"simple, entire",amphistomatic,heathland to woodland,woody,perennial,,,,,,,n,n,,,,,,,,,,,"simple, entire",,,,,,,,,,,,,,,,,,,,open,terete
Conospermum amoenum,,sw WA,,,,,"simple, entire",amphistomatic,heathland,woody,perennial,,,,,,,n,n,,,,,,,,,,,"simple, entire",,,,,,,,,,,,,,,,,,,,open,amphi
Conospermum brachyphyllum,,sw WA,,,,,"simple, entire",amphistomatic,heathland to woodland,woody,perennial,,,,,,,n,n,,,,,,,,,,,"simple, entire",,,,,,,,,,,,,,,,,,,,open,terete
Conospermum brownii,,sw WA,,,,,"simple, entire",amphistomatic,heathland,woody,perennial,,,,,,,n,n,,,,,,,,,,,"simple, entire",,,,,,,,,,,,,,,,,,,,open,amphi
Conospermum caeruleum,,sw WA,,,,,"simple, entire",amphistomatic,(often wet) heathland to woodland,woody,perennial,34.3,,,,,,n,n,n,0,0,0,,,,,,,"simple, entire",,,,,,,,,,,,,,,,,,,,open,amphi
Conospermum distichum,,sw WA,,,,,"simple, entire",amphistomatic,heathland to woodland,woody,perennial,28.8,,,,,,n,n,n,0,0,0,,,,,,,"simple, entire",,,,,,,,,,,,,,,,,,,,open,terete
Conospermum flexuosum,,sw WA,,,,,"simple, entire",amphistomatic,(often wet) heathland to woodland,woody,perennial,28.79,,,,,,n,n,n,0,0,0,,,,,,,"simple, entire",,,,,,,,,,,,,,,,,,,,open,amphi
Conospermum glumaceum,,sw WA,,,,,"simple, entire",amphistomatic,heathland to woodland,woody,perennial,,,,,,,n,n,,,,,,,,,,,"simple, entire",,,,,,,,,,,,,,,,,,,,open,amphi
Conospermum leianthum,,sw WA,,,,,"simple, entire",amphistomatic,heathland,woody,perennial,,,,,,,n,n,,,,,,,,,,,"simple, entire",,,,,,,,,,,,,,,,,,,,open,subterete
Conospermum nervosum,,sw WA,,,,,"simple, entire",amphistomatic,heathland to woodland,woody,perennial,38.58,,,,,,n,n,n,0,0,0,,,,,,,"simple, entire",,,,,,,,,,,,,,,,,,,,open,amphi
