taxon_name,original_name,family
Asparagus virgatus,Asparagus virgatus,Asparagaceae
Asphodelus fistulosus,Asphodelus fistulosus,Asphodelaceae
Asplenium bulbiferum,Asplenium bulbiferum,Aspleniaceae
Asplenium obtusatum,Asplenium obtusatum,Aspleniaceae
Astrotricha cordata,Astrotricha cordata,Araliaceae
Astrotricha crassifolia,Astrotricha crassifolia,Araliaceae
Astrotricha floccosa,Astrotricha floccosa,Araliaceae
Astrotricha latifolia,Astrotricha latifolia,Araliaceae
Astrotricha ledifolia,Astrotricha ledifolia,Araliaceae
Astrotricha linearis,Astrotricha linearis,Araliaceae
Astrotricha longifolia,Astrotricha longifolia,Araliaceae
Astrotricha obovata,Astrotricha obovata,Araliaceae
Astrotricha roddii,Astrotricha roddii,Araliaceae
Astrotricha asperifolia,Astrotricha sp. B sensu Harden (1992),Araliaceae
Poa billardierei,Austrofestuca littoralis,Poaceae
Avicennia marina,Avicennia marina,Acanthaceae
Baeckea crassifolia,Baeckea crassifolia,Myrtaceae
Baumea articulata,Baumea articulata,Cyperaceae
Baumea gunnii,Baumea gunnii,Cyperaceae
Berula erecta,Berula erecta,Apiaceae
Billardiera longiflora,Billardiera longiflora,Pittosporaceae
Boronia bipinnata,Boronia bipinnata,Rutaceae
Brachyscome basaltica,Brachyscome basaltica,Asteraceae
Roebuckiella ciliocarpa,Brachyscome ciliocarpa,Asteraceae
Brachyscome dichromosomatica,Brachyscome dichromosomatica,Asteraceae
Brachyscome goniocarpa,Brachyscome goniocarpa,Asteraceae
Brachyscome tenuiscapa,Brachyscome tenuiscapa,Asteraceae
Brunoniella australis,Brunoniella australis,Acanthaceae
Brunoniella pumilio,Brunoniella pumilio,Acanthaceae
Bulbine alata,Bulbine alata,Asphodelaceae
Bulbine bulbosa,Bulbine bulbosa,Asphodelaceae
Bulbine glauca,Bulbine glauca,Asphodelaceae
Bulbine semibarbata,Bulbine semibarbata,Asphodelaceae
Bulbine vagans,Bulbine vagans,Asphodelaceae
Bupleurum lancifolium,Bupleurum lancifolium,Apiaceae
Caladenia flavovirens,Caladenia flavovirens,Orchidaceae
Caladenia iridescens,Caladenia iridescens,Orchidaceae
Caladenia footeana,Caladenia sp. B sensu Harden (1993),Orchidaceae
Caladenia chapmanii,Caladenia sp. C sensu Harden (1993),Orchidaceae
Calamus muelleri,Calamus muelleri,Arecaceae
Calandrinia sp. Nerriga (I.R.H.Telford 8677),Calandrinia sp. A sensu Harden (1990),Portulacaceae
Callerya australis,Callerya australis,Fabaceae
Callerya megasperma,Callerya megasperma,Fabaceae
Calostemma purpureum,Calostemma purpureum,Amaryllidaceae
Cyclophyllum coprosmoides,Canthium coprosmoides,Rubiaceae
Carissa ovata,Carissa ovata,Apocynaceae
Carpobrotus aequilaterus,Carpobrotus aequilaterus,Aizoaceae
Carpobrotus edulis,Carpobrotus edulis,Aizoaceae
Carpobrotus glaucescens,Carpobrotus glaucescens,Aizoaceae
Cassia brewsteri,Cassia brewsteri,Fabaceae
Cassinia x adunca,Cassinia adunca,Asteraceae
Cassinia arcuata,Cassinia arcuata,Asteraceae
Cassytha racemosa,Cassytha racemosa,Lauraceae
Catharanthus roseus,Catharanthus roseus,Apocynaceae
Celmisia asteliifolia,Celmisia asteliifolia,Asteraceae
Cenchrus sp. A,Cenchrus species A,Poaceae
Centaurea nigra,Centaurea sp. B sensu Murray (1992),Asteraceae
Centella asiatica,Centella asiatica,Apiaceae
Centella cordifolia,Centella cordifolia,Apiaceae
Cephalaralia cephalobotrys,Cephalaralia cephalobotrys,Araliaceae
Cheirostylis ovata,Cheirostylis ovata,Orchidaceae
Gentianella diemensis,Chionogentias diemensis,Gentianaceae
Chlorophytum comosum,Chlorophytum comosum,Asparagaceae
Cyclospermum leptophyllum,Ciclospermum leptophyllum,Apiaceae
Centaurea benedicta,Cnicus benedictus,Asteraceae
Colocasia esculenta,Colocasia esculenta,Araceae
Conium maculatum,Conium maculatum,Apiaceae
Cordyline congesta,Cordyline congesta,Asparagaceae
Cordyline petiolaris,Cordyline petiolaris,Asparagaceae
Cordyline rubra,Cordyline rubra,Asparagaceae
Cordyline stricta,Cordyline stricta,Asparagaceae
Corokia whiteana,Corokia whiteana,Argophyllaceae
Corynotheca micrantha,Corynotheca micrantha,Hemerocallidaceae
Crinum flaccidum,Crinum flaccidum,Amaryllidaceae
Crinum pedunculatum,Crinum pedunculatum,Amaryllidaceae
Cryptandra sp. A,Cryptandra sp. A sensu Harden (1990),Rhamnaceae
Cucumis myriocarpus,Cucumis myriocarpus,Cucurbitaceae
Vincetoxicum carnosum,Cynanchum carnosum,Apocynaceae
Cynanchum elegans,Cynanchum elegans,Apocynaceae
Cynanchum floribundum,Cynanchum floribundum,Apocynaceae
Cyperus latzii,Cyperus species A,Cyperaceae
Damasonium minus,Damasonium minus,Alismataceae
Daucus carota,Daucus carota,Apiaceae
Daucus glochidiatus,Daucus glochidiatus,Apiaceae
Deeringia amaranthoides,Deeringia amaranthoides,Amaranthaceae
Deeringia arborescens,Deeringia arborescens,Amaranthaceae
Dendrobium speciosum,Dendrobium speciosum,Orchidaceae
Dentella pulvinata,Dentella pulvinata,Rubiaceae
Desmodium rhytidophyllum,Desmodium rhytidophyllum,Fabaceae
Desmodium varians,Desmodium varians,Fabaceae
Arthropodium fimbriatum,Dichopogon fimbriatus,Asparagaceae
Arthropodium sp. Albury (A.D.J.Piesse 9),Dichopogon sp. A sensu Harden (1993),Asparagaceae
Arthropodium strictum,Dichopogon strictus,Asparagaceae
Dichosciadium ranunculaceum,Dichosciadium ranunculaceum,Apiaceae
Diplaspis hydrocotyle,Diplaspis hydrocotyle,Apiaceae
Dipteracanthus australasicus,Dipteracanthus australasicus,Acanthaceae
Disphyma crassifolium,Disphyma crassifolium,Aizoaceae
Diuris corymbosa,Diuris corymbosa,Orchidaceae
Diuris x nebulosa,Diuris nebulosa,Orchidaceae
Drymophila cyanocarpa,Drymophila cyanocarpa,Luzuriagaceae
Drymophila moorei,Drymophila moorei,Luzuriagaceae
Enydra fluctuans,Enydra fluctuans,Asteraceae
Erodium cygnorum,Erodium cygnorum,Geraniaceae
Eryngium expansum,Eryngium expansum,Apiaceae
Eryngium maritimum,Eryngium maritimum,Apiaceae
Eryngium ovinum,Eryngium ovinum,Apiaceae
Eryngium paludosum,Eryngium paludosum,Apiaceae
Eryngium pandanifolium,Eryngium pandanifolium,Apiaceae
Eryngium vesiculosum,Eryngium vesiculosum,Apiaceae
Euphorbia tannensis,Euphorbia tannensis,Euphorbiaceae
Euroschinus falcata,Euroschinus falcata,Anacardiaceae
Eustrephus latifolius,Eustrephus latifolius,Asparagaceae
Foeniculum vulgare,Foeniculum vulgare,Apiaceae
Frankenia sp. A,Frankenia sp. A sensu Harden (1990),Frankeniaceae
Froelichia gracilis,Froelichia gracilis,Amaranthaceae
Furcraea foetida,Furcraea foetida,Asparagaceae
Aizoon pubescens,Galenia pubescens,Aizoaceae
Galium migrans,Galium migrans,Rubiaceae
Geranium sessiliflorum,Geranium sessiliflorum,Geraniaceae
Gingidia algens,Gingidia algens,Apiaceae
Gingidia harveyana,Gingidia harveyana,Apiaceae
Gingidia rupicola,Gingidia montana,Apiaceae
Gomphocarpus fruticosus,Gomphocarpus fruticosus,Apocynaceae
Gomphocarpus physocarpus,Gomphocarpus physocarpus,Apocynaceae
Gomphrena celosioides,Gomphrena celosioides,Amaranthaceae
Notogrammitis angustifolia,Grammitis poeppigiana,Polypodiaceae
Guilleminea densa,Guilleminea densa,Amaranthaceae
Gunniopsis papillata,Gunniopsis papillata,Aizoaceae
Gunniopsis quadrifida,Gunniopsis quadrifida,Aizoaceae
Gunniopsis septifraga,Gunniopsis septifraga,Aizoaceae
Gymnostachys anceps,Gymnostachys anceps,Araceae
Cassinia ozothamnoides,Haeckeria ozothamnoides,Asteraceae
Hakea trineura,Hakea trineura,Proteaceae
Harnieria hygrophiloides,Harnieria hygrophiloides,Acanthaceae
Hedera helix,Hedera helix,Araliaceae
Coronidium adenophorum,Helichrysum adenophorum,Asteraceae
Coronidium rupicola,Helichrysum collinum,Asteraceae
Heterozostera tasmanica,Heterozostera tasmanica,Zosteraceae
Hibbertia sericea,Hibbertia sericea,Dilleniaceae
Hibbertia serpyllifolia,Hibbertia serpyllifolia,Dilleniaceae
Walwhalleya proluta,Homopholis proluta,Poaceae
Hoya australis,Hoya australis,Apocynaceae
Hoya australis subsp. australis,Hoya oligotricha,Apocynaceae
Hydrocotyle algida,Hydrocotyle algida,Araliaceae
Hydrocotyle bonariensis,Hydrocotyle bonariensis,Araliaceae
Hydrocotyle callicarpa,Hydrocotyle callicarpa,Araliaceae
Hydrocotyle foveolata,Hydrocotyle foveolata,Araliaceae
Hydrocotyle geraniifolia,Hydrocotyle geraniifolia,Araliaceae
Hydrocotyle laxiflora,Hydrocotyle laxiflora,Araliaceae
Hydrocotyle pedicellosa,Hydrocotyle pedicellosa,Araliaceae
Hydrocotyle sibthorpioides,Hydrocotyle peduncularis,Araliaceae
Hydrocotyle trachycarpa,Hydrocotyle trachycarpa,Araliaceae
Hydrocotyle tripartita,Hydrocotyle tripartita,Araliaceae
Hydrocotyle verticillata,Hydrocotyle verticillata,Araliaceae
Hygrophila angustifolia,Hygrophila angustifolia,Acanthaceae
Hymenocallis caribaea,Hymenocallis caribaea,Amaryllidaceae
Hypoestes floribunda,Hypoestes floribunda,Acanthaceae
Ilex aquifolium,Ilex aquifolium,Aquifoliaceae
Ipheion uniflorum,Ipheion uniflorum,Alliaceae
Ipomoea pes-caprae,Ipomoea pes-caprae,Convolvulaceae
Isoglossa eranthemoides,Isoglossa eranthemoides,Acanthaceae
Lobelia douglasiana,Isotoma armstrongii,Campanulaceae
Jasminum dallachii,Jasminum dallachii,Oleaceae
Seringia hookeriana,Keraudrenia integrifolia,Malvaceae
Lachnagrostis billardierei,Lachnagrostis billardierei,Poaceae
Lampranthus multiradiatus,Lampranthus multiradiatus,Aizoaceae
Lampranthus tegens,Lampranthus tegens,Aizoaceae
Lavatera trimestris,Lavatera trimestris,Malvaceae
Laxmannia compacta,Laxmannia compacta,Asparagaceae
Laxmannia gracilis,Laxmannia gracilis,Asparagaceae
Laxmannia orientalis,Laxmannia orientalis,Asparagaceae
Leionema sp. Colo River (P.H.Weston 2423),"Leionema sp. 'Hungryway Creek' (Lemberg, NSW69237)",Rutaceae
Lemna disperma,Lemna disperma,Araceae
Lepidium sp. B,Lepidium sp. B sensu Harden (1990),Brassicaceae
Leucojum aestivum,Leucojum aestivum,Amaryllidaceae
Lilaeopsis polyantha,Lilaeopsis polyantha,Apiaceae
Linospadix monostachyos,Linospadix monostachya,Arecaceae
Livistona australis,Livistona australis,Arecaceae
Lomandra bracteata,Lomandra bracteata,Asparagaceae
Lomandra brevis,Lomandra brevis,Asparagaceae
Lomandra collina,Lomandra collina,Asparagaceae
Lomandra confertifolia,Lomandra confertifolia,Asparagaceae
Lomandra cylindrica,Lomandra cylindrica,Asparagaceae
Lomandra effusa,Lomandra effusa,Asparagaceae
Lomandra elongata,Lomandra elongata,Asparagaceae
Lomandra filiformis,Lomandra filiformis,Asparagaceae
Lomandra fluviatilis,Lomandra fluviatilis,Asparagaceae
Lomandra glauca,Lomandra glauca,Asparagaceae
Lomandra gracilis,Lomandra gracilis,Asparagaceae
Lomandra hystrix,Lomandra hystrix,Asparagaceae
Lomandra laxa,Lomandra laxa,Asparagaceae
Lomandra leucocephala,Lomandra leucocephala,Asparagaceae
Lomandra longifolia,Lomandra longifolia,Asparagaceae
Lomandra micrantha,Lomandra micrantha,Asparagaceae
Lomandra montana,Lomandra montana,Asparagaceae
Lomandra multiflora,Lomandra multiflora,Asparagaceae
Lomandra obliqua,Lomandra obliqua,Asparagaceae
Lomandra patens,Lomandra patens,Asparagaceae
Lomandra spicata,Lomandra spicata,Asparagaceae
Malus x [Malus x domestica; NHNSW_2014_2],Malus x domestica,Rosaceae
Malva weinmanniana,Malva australiana,Malvaceae
Mandevilla laxa,Mandevilla laxa,Apocynaceae
Mangifera indica,Mangifera indica,Anacardiaceae
Leichhardtia australis,Marsdenia australis,Apocynaceae
Leichhardtia flavescens,Marsdenia flavescens,Apocynaceae
Leichhardtia fraseri,Marsdenia fraseri,Apocynaceae
Leichhardtia liisae,Marsdenia liisae,Apocynaceae
Leichhardtia lloydii,Marsdenia lloydii,Apocynaceae
Leichhardtia longiloba,Marsdenia longiloba,Apocynaceae
Gymnema pleiadenium,Marsdenia pleiadenia,Apocynaceae
Leichhardtia rostrata,Marsdenia rostrata,Apocynaceae
Leichhardtia suaveolens,Marsdenia suaveolens,Apocynaceae
Leichhardtia viridiflora,Marsdenia viridiflora,Apocynaceae
Meiogyne stenopetala,Meiogyne stenopetala,Annonaceae
Wollastonia biflora,Melanthera biflora,Asteraceae
Melodinus acutiflorus,Melodinus acutiflorus,Apocynaceae
Melodinus australis,Melodinus australis,Apocynaceae
Melodinus acutiflorus,Melodinus guilfoylei,Apocynaceae
Mentha x [Mentha x spicata; NHNSW_2014_2],Mentha x spicata,Lamiaceae
Mesembryanthemum aitonis,Mesembryanthemum aitonis,Aizoaceae
Mesembryanthemum crystallinum,Mesembryanthemum crystallinum,Aizoaceae
Mesembryanthemum nodiflorum,Mesembryanthemum nodiflorum,Aizoaceae
Cleretum papulosum,Micropterum papulosum,Aizoaceae
Microstegium nudum,Microstegium nudum,Poaceae
Mirbelia oxylobioides,Mirbelia oxylobioides,Fabaceae
Phyllangium paradoxum,Mitrasacme paradoxa,Loganiaceae
Monopsis debilis,Monopsis simplex,Campanulaceae
Montanoa bipinnatifida,Montanoa bipinnatifida,Asteraceae
Muscari armeniacum,Muscari armeniacum,Asparagaceae
Narcissus pseudonarcissus,Narcissus pseudonarcissus,Amaryllidaceae
Neisosperma poweri,Neisosperma poweri,Apocynaceae
Nerium oleander,Nerium oleander,Apocynaceae
Nothoscordum borbonicum,Nothoscordum borbonicum,Alliaceae
Nyssanthes diffusa,Nyssanthes diffusa,Amaranthaceae
Nyssanthes erecta,Nyssanthes erecta,Amaranthaceae
Ochrosia moorei,Ochrosia moorei,Apocynaceae
Olearia sp. Rhizomatica (I.R.Telford 11549),Olearia rhizomatica,Asteraceae
Olearia stellulata,Olearia stellulata,Asteraceae
Opuntia puberula,Opuntia tenuispina,Cactaceae
Oreomyrrhis argentea,Oreomyrrhis argentea,Apiaceae
Oreomyrrhis brevipes,Oreomyrrhis brevipes,Apiaceae
Oreomyrrhis ciliata,Oreomyrrhis ciliata,Apiaceae
Oreomyrrhis eriopoda,Oreomyrrhis eriopoda,Apiaceae
Oreomyrrhis pulvinifica,Oreomyrrhis pulvinifica,Apiaceae
Albuca bracteata,Ornithogalum longebracteatum,Asparagaceae
Ornithogalum pyramidale,Ornithogalum pyramidale,Asparagaceae
Ornithogalum umbellatum,Ornithogalum umbellatum,Asparagaceae
Oschatzia cuneifolia,Oschatzia cuneifolia,Apiaceae
Ozothamnus hookeri,Ozothamnus hookeri,Asteraceae
Papillilabium beckleri,Papillilabium beckleri,Orchidaceae
Pappochroma pappocromum,Pappochroma uniflora,Asteraceae
Aristolochia laheyana,Pararistolochia laheyana,Aristolochiaceae
Aristolochia praevenosa,Pararistolochia praevenosa,Aristolochiaceae
Parsonsia brownii,Parsonsia brownii,Apocynaceae
Parsonsia dorrigoensis,Parsonsia dorrigoensis,Apocynaceae
Parsonsia eucalyptophylla,Parsonsia eucalyptophylla,Apocynaceae
Parsonsia fulva,Parsonsia fulva,Apocynaceae
Parsonsia induplicata,Parsonsia induplicata,Apocynaceae
Parsonsia lanceolata,Parsonsia lanceolata,Apocynaceae
Parsonsia lilacina,Parsonsia lilacina,Apocynaceae
Parsonsia longipetiolata,Parsonsia longipetiolata,Apocynaceae
Parsonsia purpurascens,Parsonsia purpurascens,Apocynaceae
Parsonsia rotata,Parsonsia rotata,Apocynaceae
Parsonsia straminea,Parsonsia straminea,Apocynaceae
Parsonsia tenuis,Parsonsia tenuis,Apocynaceae
Parsonsia velutina,Parsonsia velutina,Apocynaceae
Parsonsia ventricosa,Parsonsia ventricosa,Apocynaceae
Paspalum virgatum,Paspalum wettsteinii,Poaceae
Pastinaca sativa,Pastinaca sativa,Apiaceae
Patersonia sericea,Patersonia sericea,Iridaceae
Molineriella minuta,Periballia minuta,Poaceae
Persoonia sp. [Persoonia nigrescens; NHNSW_2014_2],Persoonia nigrescens,Proteaceae
Phaius tankervilliae,Phaius tankervilliae,Orchidaceae
Physalis minima,Physalis minima,Solanaceae
Physalis crassifolia var. versicolor,Physalis viscosa,Solanaceae
Piper hederaceum,Piper novae-hollandiae,Piperaceae
Pistia stratiotes,Pistia stratiotes,Araceae
Platysace clelandii,Platysace clelandii,Apiaceae
Platysace ericoides,Platysace ericoides,Apiaceae
Platysace lanceolata,Platysace lanceolata,Apiaceae
Platysace linearifolia,Platysace linearifolia,Apiaceae
Platysace heterophylla var. heterophylla,Platysace sp. A sensu Powell & Hastings (1992),Apiaceae
Platysace stephensonii,Platysace stephensonii,Apiaceae
Platyzoma microphyllum,Platyzoma microphyllum,Pteridaceae
Pleogyne australis,Pleogyne australis,Menispermaceae
Pluchea tetranthera,Pluchea tetranthera,Asteraceae
Huberantha nitidissima,Polyalthia nitidissima,Annonaceae
Polygonum patulum,Polygonum patulum,Polygonaceae
Polyscias elegans,Polyscias elegans,Araliaceae
Polyscias murrayi,Polyscias murrayi,Araliaceae
Polyscias sambucifolia,Polyscias sambucifolia,Araliaceae
Duperreya commixta,Porana commixta,Convolvulaceae
Pothos longipes,Pothos longipes,Araceae
Prasophyllum alpinum,Prasophyllum alpinum,Orchidaceae
Prasophyllum morganii,Prasophyllum morganii,Orchidaceae
Proiphys cunninghamii,Proiphys cunninghamii,Amaryllidaceae
Prostanthera ammophila,Prostanthera sp. A sensu Conn (1992),Lamiaceae
Prostanthera althoferi subsp. longifolia,Prostanthera sp. B sensu Conn (1992),Lamiaceae
Prostanthera spinosa,Prostanthera spinosa,Lamiaceae
Pseuderanthemum variabile,Pseuderanthemum variabile,Acanthaceae
Mesembryanthemum granulicaule,Psilocaulon tenue,Aizoaceae
Pterostylis alata,Pterostylis alata,Orchidaceae
Pterostylis dubia,Pterostylis dubia,Orchidaceae
Pterostylis furcata,Pterostylis furcata,Orchidaceae
Pterostylis sp. Botany Bay (A.Bishop J221/1-13),Pterostylis sp. 'Botany Bay; (Bishop J2211-13),Orchidaceae
Pterostylis sp. B Flora of New South Wales (D.L.Jones 3900 et al.),Pterostylis sp. B sensu Harden (1993),Orchidaceae
Pterostylis x conoglossa,Pterostylis x conoglossa,Orchidaceae
Pterostylis x furcillata,Pterostylis x furcillata,Orchidaceae
Ptilotus sessilifolius,Ptilotus atriplicifolius,Amaranthaceae
Ptilotus erubescens,Ptilotus erubescens,Amaranthaceae
Ptilotus exaltatus,Ptilotus exaltatus,Amaranthaceae
Ptilotus extenuatus,Ptilotus extenuatus,Amaranthaceae
Ptilotus gaudichaudii,Ptilotus gaudichaudii,Amaranthaceae
Ptilotus indivisus,Ptilotus indivisus,Amaranthaceae
Ptilotus latifolius,Ptilotus latifolius,Amaranthaceae
Ptilotus leucocoma,Ptilotus leucocoma,Amaranthaceae
Ptilotus macrocephalus,Ptilotus macrocephalus,Amaranthaceae
Ptilotus nobilis,Ptilotus nobilis,Amaranthaceae
Ptilotus obovatus,Ptilotus obovatus,Amaranthaceae
Ptilotus parvifolius,Ptilotus parvifolius,Amaranthaceae
Ptilotus polystachyus,Ptilotus polystachyus,Amaranthaceae
Ptilotus semilanatus,Ptilotus semilanatus,Amaranthaceae
Ptilotus seminudus,Ptilotus seminudus,Amaranthaceae
Ptilotus spathulatus,Ptilotus spathulatus,Amaranthaceae
Aenictophyton anomalum,Ptychosema anomalum,Fabaceae
Pultenaea sp. Liverpool Range (L.A.S.Johnson 963),Pultenaea sp. 'Liverpool Range' (Johnson 963),Fabaceae
Pultenaea subternata,Pultenaea subternata,Fabaceae
Uvaria leichhardtii,Rauwenhoffia leichhardtii,Annonaceae
Rhaphidospora bonneyana,Rhaphidospora bonneyana,Acanthaceae
Rhodosphaera rhodanthema,Rhodosphaera rhodanthema,Anacardiaceae
Vincetoxicum lineare,Rhyncharrhena linearis,Apocynaceae
Rostellularia adscendens,Rostellularia adscendens,Acanthaceae
Rostellularia obtusa,Rostellularia obtusa,Acanthaceae
Rubus pyramidalis,Rubus pyramidalis,Rosaceae
Rubus radula,Rubus radula,Rosaceae
Siloxerus multiflorus,Rutidosis multiflora,Asteraceae
Sagittaria calycina var. calycina,Sagittaria montevidensis,Alismataceae
Sagittaria platyphylla,Sagittaria platyphylla,Alismataceae
Salix sp. [Salix sp._hybrid; NHNSW_2014_2],Salix sp._hybrid,Salicaceae
Salvinia sp. [Salvinia molesta; NHNSW_2014_2],Salvinia molesta,Hydrocharitaceae
Sambucus australasica,Sambucus australasica,Viburnaceae
Sambucus gaudichaudiana,Sambucus gaudichaudiana,Viburnaceae
Sambucus nigra,Sambucus nigra,Viburnaceae
Dracaena trifasciata,Sansevieria trifasciata,Asparagaceae
Sarcochilus olivaceus,Sarcochilus olivaceus,Orchidaceae
Cynanchum viminale subsp. australe,Sarcostemma australe,Apocynaceae
Sarcozona praecox,Sarcozona praecox,Aizoaceae
Scandix pecten-veneris,Scandix pecten-veneris,Apiaceae
Heptapleurum actinophyllum,Schefflera actinophylla,Araliaceae
Schinus molle var. areira,Schinus areira,Anacardiaceae
Schistotylus purpuratus,Schistotylus purpuratus,Orchidaceae
Azorella fragosea,Schizeilema fragoseum,Apiaceae
Schoenus paludosus,Schoenus paludosus,Cyperaceae
Secamone elliptica,Secamone elliptica,Apocynaceae
Senecio depressicola,Senecio lautus,Asteraceae
Senecio murrayanus,Senecio murrayanus,Asteraceae
Senecio picridioides,Senecio picridioides,Asteraceae
Senecio hispidissimus,Senecio sp. C sensu Harden (1992),Asteraceae
Senna corymbosa,Senna corymbosa,Fabaceae
Sesuvium portulacastrum,Sesuvium portulacastrum,Aizoaceae
Sida sp. Musselbrook (M.B.Thomas+ MRS437),Sida filiformis,Malvaceae
Malvella leprosa,Sida leprosa,Malvaceae
Silene latifolia subsp. alba,Silene pratensis,Caryophyllaceae
Solanum adenophorum,Solanum adenophorum,Solanaceae
Solanum furfuraceum,Solanum furfuraceum,Solanaceae
Solanum tetrathecum,Solanum tetrathecum,Solanaceae
Solidago canadensis,Solidago canadensis,Asteraceae
Sowerbaea juncea,Sowerbaea juncea,Asparagaceae
Spiranthes sinensis,Spiranthes sinensis,Orchidaceae
Spirodela polyrhiza,Spirodela polyrhiza,Araceae
Landoltia punctata,Spirodela punctata,Araceae
Sporobolus diandrus,Sporobolus diander,Poaceae
Styphelia sp. [Styphelia sp. A sensu Harden (1992); NHNSW_2014_2],Styphelia sp. A sensu Harden (1992),Ericaceae
Styphelia sp. [Styphelia sp. B sensu Harden (1992); NHNSW_2014_2],Styphelia sp. B sensu Harden (1992),Ericaceae
Tabernaemontana pandacaqui,Tabernaemontana pandacaqui,Apocynaceae
Tetragonia decumbens,Tetragonia decumbens,Aizoaceae
Tetragonia eremaea,Tetragonia eremaea,Aizoaceae
Tetragonia microptera,Tetragonia microptera,Aizoaceae
Tetragonia tetragonoides,Tetragonia tetragonioides,Aizoaceae
Tetrapanax papyrifer,Tetrapanax papyrifer,Araliaceae
Tetraria capillaris,Tetraria capillaris,Cyperaceae
Thelymitra rubra,Thelymitra rubra,Orchidaceae
Cascabela thevetia,Thevetia peruviana,Apocynaceae
Thinopyrum elongatum,Thinopyrum elongatum,Poaceae
Leichhardtia racemosa,Thozetia racemosa,Apocynaceae
Thunbergia alata,Thunbergia alata,Acanthaceae
Thysanotus baueri,Thysanotus baueri,Asparagaceae
Thysanotus juncifolius,Thysanotus juncifolius,Asparagaceae
Thysanotus patersonii,Thysanotus patersonii,Asparagaceae
Thysanotus tuberosus,Thysanotus tuberosus,Asparagaceae
Thysanotus virgatus,Thysanotus virgatus,Asparagaceae
Torilis nodosa,Torilis nodosa,Apiaceae
Toxicodendron succedaneum,Toxicodendron succedaneum,Anacardiaceae
Trachymene anisocarpa,Trachymene anisocarpa,Araliaceae
Trachymene cyanopetala,Trachymene cyanopetala,Araliaceae
Trachymene glaucifolia,Trachymene glaucifolia,Araliaceae
Trachymene humilis,Trachymene humilis,Araliaceae
Trachymene incisa,Trachymene incisa,Araliaceae
Trachymene ochracea,Trachymene ochracea,Araliaceae
Trachymene ornata,Trachymene ornata,Araliaceae
Trachymene procumbens,Trachymene procumbens,Araliaceae
Trachymene scapigera,Trachymene scapigera,Araliaceae
Trianthema portulacastrum,Trianthema portulacastrum,Aizoaceae
Trianthema triquetrum,Trianthema triquetra,Aizoaceae
Triglochin calcitrapa,Triglochin calcitrapum,Juncaginaceae
Triglochin centrocarpa,Triglochin centrocarpum,Juncaginaceae
Oxypetalum coeruleum,Tweedia coerulea,Apocynaceae
Vincetoxicum barbatum,Tylophora barbata,Apocynaceae
Vincetoxicum polyanthum,Tylophora benthamii,Apocynaceae
Vincetoxicum grandiflorum,Tylophora grandiflora,Apocynaceae
Vincetoxicum forsteri,Tylophora linearis,Apocynaceae
Vincetoxicum paniculatum,Tylophora paniculata,Apocynaceae
Vincetoxicum woollsii,Tylophora woollsii,Apocynaceae
Typhonium brownii,Typhonium brownii,Araceae
Typhonium eliosurum,Typhonium eliosurum,Araceae
Trachymene ceratocarpa,Uldinia ceratocarpa,Araliaceae
Carex sp. Flaccida (S.T.Blake 7398),Uncinia flaccida,Cyperaceae
Utricularia monanthos,Utricularia monanthos,Lentibulariaceae
Viburnum suspensum,Viburnum suspensum,Viburnaceae
Vinca major,Vinca major,Apocynaceae
Westringia sp. [Westringia species A; NHNSW_2014_2],Westringia species A,Lamiaceae
Wilsonia humilis,Wilsonia humilis,Convolvulaceae
Wolffia angusta,Wolffia angusta,Araceae
Wolffia australiana,Wolffia australiana,Araceae
Wolffia globosa,Wolffia globosa,Araceae
Xanthosia atkinsoniana,Xanthosia atkinsoniana,Apiaceae
Xanthosia dissecta,Xanthosia dissecta,Apiaceae
Xanthosia pilosa,Xanthosia pilosa,Apiaceae
Xanthosia tridentata,Xanthosia tridentata,Apiaceae
Xerothamnella parvifolia,Xerothamnella parvifolia,Acanthaceae
Yucca aloifolia,Yucca aloifolia,Asparagaceae
Zaleya galericulata,Zaleya galericulata,Aizoaceae
Zantedeschia aethiopica,Zantedeschia aethiopica,Araceae
Hippeastrum zephyranthum,Zephyranthes candida,Amaryllidaceae
Alyxia spicata,Alyxia spicata,Apocynaceae
Alyxia stellata,Alyxia stellata,Apocynaceae
Austrosteenisia blackii var. astipella,Austrosteenisia blackii var. astipella,Fabaceae
Calamus australis,Calamus australis,Arecaceae
Calamus caryotoides,Calamus caryotoides,Arecaceae
Cansjera leptostachya,Cansjera leptostachya,Opiliaceae
Capparis lucida,Capparis lucida,Capparaceae
Capparis sepiaria,Capparis sepiaria,Capparaceae
Cissus cardiophylla,Cissus cardiophylla,Vitaceae
Cissus hastata,Cissus hastata,Vitaceae
Cissus repens,Cissus repens,Vitaceae
Clematis pubescens,Clematis aristata var. longisepala,Ranunculaceae
Clematis pubescens,Clematis aristata var. occidentalis,Ranunculaceae
Coelospermum paniculatum var. paniculatum,Coelospermum paniculatum var. paniculatum,Rubiaceae
Coelospermum paniculatum var. syncarpum,Coelospermum paniculatum var. syncarpum,Rubiaceae
Colubrina asiatica,Colubrina asiatica,Rhamnaceae
Colubrina asiatica var. asiatica,Colubrina asiatica var. asiatica,Rhamnaceae
Connarus conchocarpus,Connarus conchocarpus,Connaraceae
Connarus conchocarpus subsp. conchocarpus,Connarus conchocarpus subsp. conchocarpus,Connaraceae
Derris sp. Daintree (D.E.Boyland+ 469),Derris sp. Daintree,Fabaceae
