Species,Long,Lat,log_LA.SA,Sample,basis_of_record,entity_type,value_type,Height,Alpha,MI,References,location_name,source_id
Eucalyptus globulus ,149.0166667,-37.58333333,3.274905479,trunk sample,captive_cultivated,individual,raw,,0.694352336,0.68376656,Forrester et al. 2010_2,lat_-37.58_lon_149.02,Forrester_2010_2
Eucalyptus globulus ,149.0166667,-37.58333333,3.282329497,trunk sample,captive_cultivated,individual,raw,,0.71471003,0.939638996,Forrester et al. 2010_2,lat_-37.58_lon_149.02,Forrester_2010_2
Eucalyptus globulus ,149.0166667,-37.58333333,3.281498311,trunk sample,captive_cultivated,individual,raw,,0.71471003,0.939638996,Forrester et al. 2010_2,lat_-37.58_lon_149.02,Forrester_2010_2
Eucalyptus globulus ,149.0166667,-37.58333333,3.279840697,trunk sample,captive_cultivated,individual,raw,,0.71471003,0.939638996,Forrester et al. 2010_2,lat_-37.58_lon_149.02,Forrester_2010_2
Eucalyptus grandis,152.6,-27.08333333,4.333482019,trunk sample,captive_cultivated,individual,raw,4.4,0.432088415,0.44284443,Kalma et al. 1998,lat_-27.08_lon_152.6,Kalma_1998
Eucalyptus grandis,152.083333,-26,4.440093375,trunk sample,captive_cultivated,individual,raw,11.93,0.346189104,0.328957769,Kalma et al. 1998,lat_-26_lon_152.08,Kalma_1998
Aegiceras corniculatum,151.0166667,-33.06666667,2.987162775,branch sample,field,individual,raw,,0.606287558,0.633914947,McClenahan et al. 2004,lat_-33.07_lon_151.02,McClenahan_2004
Aegiceras corniculatum,151.0166667,-33.06666667,3.202040356,branch sample,field,individual,raw,,0.469392524,0.445503832,McClenahan et al. 2004,lat_-33.07_lon_151.02,McClenahan_2004
Angophora hispida,151.0166667,-33.06666667,2.8569852,branch sample,field,individual,raw,,0.606287558,0.633914947,McClenahan et al. 2004,lat_-33.07_lon_151.02,McClenahan_2004
Angophora hispida,151.0166667,-33.06666667,3.600326279,branch sample,field,individual,raw,,0.469392524,0.445503832,McClenahan et al. 2004,lat_-33.07_lon_151.02,McClenahan_2004
Angophora hispida,151.0166667,-34.01666667,3.186419011,branch sample,field,individual,raw,,0.607075589,0.714565082,McClenahan et al. 2004,lat_-34.02_lon_151.02,McClenahan_2004
Angophora hispida,151.0166667,-34.01666667,3.690369833,branch sample,field,individual,raw,,0.491459449,0.517691884,McClenahan et al. 2004,lat_-34.02_lon_151.02,McClenahan_2004
Avicennia marina,151.0166667,-33.06666667,2.970616222,branch sample,field,individual,raw,,0.606287558,0.633914947,McClenahan et al. 2004,lat_-33.07_lon_151.02,McClenahan_2004
Avicennia marina,151.0166667,-33.06666667,3.209714836,branch sample,field,individual,raw,,0.469392524,0.445503832,McClenahan et al. 2004,lat_-33.07_lon_151.02,McClenahan_2004
"Avicennia marina,  Aegiceras corniculatum",151.0166667,-33.06666667,2.978810701,branch sample,field,individual,raw,,0.606287558,0.633914947,McClenahan et al. 2004,lat_-33.07_lon_151.02,McClenahan_2004
"Avicennia marina,  Aegiceras corniculatum",151.0166667,-33.06666667,3.205511953,branch sample,field,individual,raw,,0.469392524,0.445503832,McClenahan et al. 2004,lat_-33.07_lon_151.02,McClenahan_2004
Banksia integrifolia,151.0166667,-33.06666667,3.087777943,branch sample,field,individual,raw,,0.606287558,0.633914947,McClenahan et al. 2004,lat_-33.07_lon_151.02,McClenahan_2004
Banksia integrifolia,151.0166667,-33.06666667,3.289036881,branch sample,field,individual,raw,,0.469392524,0.445503832,McClenahan et al. 2004,lat_-33.07_lon_151.02,McClenahan_2004
"Banksia integrifolia, Cissus hypoglauca, Glochidion ferdinandi",151.0166667,-33.06666667,3.14327111,branch sample,field,individual,raw,,0.606287558,0.633914947,McClenahan et al. 2004,lat_-33.07_lon_151.02,McClenahan_2004
"Banksia integrifolia, Cissus hypoglauca, Glochidion ferdinandi",151.0166667,-33.06666667,3.380906669,branch sample,field,individual,raw,,0.469392524,0.445503832,McClenahan et al. 2004,lat_-33.07_lon_151.02,McClenahan_2004
Banksia oblongifolia,151.0166667,-33.06666667,2.847711656,branch sample,field,individual,raw,,0.606287558,0.633914947,McClenahan et al. 2004,lat_-33.07_lon_151.02,McClenahan_2004
Banksia oblongifolia,151.0166667,-33.06666667,3.224025669,branch sample,field,individual,raw,,0.469392524,0.445503832,McClenahan et al. 2004,lat_-33.07_lon_151.02,McClenahan_2004
Banksia oblongifolia,151.0166667,-34.01666667,2.995678626,branch sample,field,individual,raw,,0.607075589,0.714565082,McClenahan et al. 2004,lat_-34.02_lon_151.02,McClenahan_2004
Banksia oblongifolia,151.0166667,-34.01666667,3.143875556,branch sample,field,individual,raw,,0.491459449,0.517691884,McClenahan et al. 2004,lat_-34.02_lon_151.02,McClenahan_2004
"Banksia oblongifolia, Angophora hispida, Persoonia lanceolata",151.0166667,-34.01666667,2.974694135,branch sample,field,individual,raw,,0.607075589,0.714565082,McClenahan et al. 2004,lat_-34.02_lon_151.02,McClenahan_2004
"Banksia oblongifolia, Angophora hispida, Persoonia lanceolata",151.0166667,-34.01666667,3.312471039,branch sample,field,individual,raw,,0.491459449,0.517691884,McClenahan et al. 2004,lat_-34.02_lon_151.02,McClenahan_2004
Cissus hypoglauca,151.0166667,-33.06666667,3.000869459,branch sample,field,individual,raw,,0.606287558,0.633914947,McClenahan et al. 2004,lat_-33.07_lon_151.02,McClenahan_2004
Cissus hypoglauca,151.0166667,-33.06666667,3.412289035,branch sample,field,individual,raw,,0.469392524,0.445503832,McClenahan et al. 2004,lat_-33.07_lon_151.02,McClenahan_2004
Eucalyptus haemostoma ,151.0166667,-33.06666667,2.690369833,branch sample,field,individual,raw,,0.606287558,0.633914947,McClenahan et al. 2004,lat_-33.07_lon_151.02,McClenahan_2004
Eucalyptus haemostoma ,151.0166667,-33.06666667,3.493494968,branch sample,field,individual,raw,,0.469392524,0.445503832,McClenahan et al. 2004,lat_-33.07_lon_151.02,McClenahan_2004
"Eucalyptus haemostoma, Angophora hispida; Banksia oblongifolia",151.0166667,-33.06666667,2.790484985,branch sample,field,individual,raw,,0.606287558,0.633914947,McClenahan et al. 2004,lat_-33.07_lon_151.02,McClenahan_2004
"Eucalyptus haemostoma, Angophora hispida; Banksia oblongifolia",151.0166667,-33.06666667,3.410050399,branch sample,field,individual,raw,,0.469392524,0.445503832,McClenahan et al. 2004,lat_-33.07_lon_151.02,McClenahan_2004
Glochidion ferdinandi,151.0166667,-33.06666667,3.46470588,branch sample,field,individual,raw,,0.606287558,0.633914947,McClenahan et al. 2004,lat_-33.07_lon_151.02,McClenahan_2004
Glochidion ferdinandi,151.0166667,-33.06666667,3.458420756,branch sample,field,individual,raw,,0.469392524,0.445503832,McClenahan et al. 2004,lat_-33.07_lon_151.02,McClenahan_2004
Persoonia lanceolata,151.0166667,-34.01666667,2.818156412,branch sample,field,individual,raw,,0.607075589,0.714565082,McClenahan et al. 2004,lat_-34.02_lon_151.02,McClenahan_2004
Persoonia lanceolata,151.0166667,-34.01666667,3.269217724,branch sample,field,individual,raw,,0.491459449,0.517691884,McClenahan et al. 2004,lat_-34.02_lon_151.02,McClenahan_2004
Eucalyptus nitens ,147.0166667,-43.3,4.37161107,trunk sample,captive_cultivated,individual,raw,,0.880326165,1.491752231,Medhurst et al. 1999,lat_-43.3_lon_147.02,Medhurst_1999
Eucalyptus nitens ,147.2833333,-41.01666667,4.764471553,trunk sample,captive_cultivated,individual,raw,,0.652600945,0.849138132,Medhurst et al. 1999,lat_-41.02_lon_147.28,Medhurst_1999
Eucalyptus nitens ,146.9,-43.35,4.403402904,trunk sample,captive_cultivated,individual,raw,,0.924214489,1.923458692,Medhurst et al. 1999,lat_-43.35_lon_146.9,Medhurst_1999
Eucalyptus nitens ,146.9,-43.35,4.311580178,trunk sample,captive_cultivated,individual,raw,,0.924214489,1.923458692,Medhurst et al. 1999,lat_-43.35_lon_146.9,Medhurst_1999
Eucalyptus nitens ,146.9,-43.35,4.655607726,trunk sample,captive_cultivated,individual,raw,,0.924214489,1.923458692,Medhurst et al. 1999,lat_-43.35_lon_146.9,Medhurst_1999
Eucalyptus nitens ,146.9,-43.35,4.415668776,trunk sample,captive_cultivated,individual,raw,,0.924214489,1.923458692,Medhurst et al. 1999,lat_-43.35_lon_146.9,Medhurst_1999
Eucalyptus nitens ,147.2666667,-41.2,4.552841969,trunk sample,captive_cultivated,individual,raw,,0.771794329,1.299883909,Medhurst et al. 1999,lat_-41.2_lon_147.27,Medhurst_1999
Eucalyptus nitens ,147.2666667,-41.2,4.458420756,trunk sample,captive_cultivated,individual,raw,,0.728730507,1.095233483,Medhurst et al. 1999,lat_-41.2_lon_147.27,Medhurst_1999
Eucalyptus nitens ,147.2833333,-41.01666667,3.540607512,trunk sample,captive_cultivated,individual,raw,,0.652600945,0.849138132,Medhurst et al. 1999,lat_-41.02_lon_147.28,Medhurst_1999
Eucalyptus nitens ,147.2833333,-41.01666667,3.694648631,trunk sample,captive_cultivated,individual,raw,,0.652600945,0.849138132,Medhurst et al. 1999,lat_-41.02_lon_147.28,Medhurst_1999
Eucalyptus nitens ,147.6,-42.81666667,4.109020403,trunk sample,captive_cultivated,individual,raw,,,,Medhurst et al. 1999,lat_-42.82_lon_147.6,Medhurst_1999
Eucalyptus nitens ,147.6,-42.81666667,3.661543506,trunk sample,captive_cultivated,individual,raw,,,,Medhurst et al. 1999,lat_-42.82_lon_147.6,Medhurst_1999
Eucalyptus nitens ,147.6,-42.81666667,4.393618635,trunk sample,captive_cultivated,individual,raw,,,,Medhurst et al. 1999,lat_-42.82_lon_147.6,Medhurst_1999
Eucalyptus nitens ,147.6,-42.81666667,3.8569852,trunk sample,captive_cultivated,individual,raw,,,,Medhurst et al. 1999,lat_-42.82_lon_147.6,Medhurst_1999
Eucalyptus nitens ,148.1,-41.08333333,3.692503962,trunk sample,captive_cultivated,individual,raw,,0.720743135,0.738208361,Medhust and Beadle 2002,lat_-41.08_lon_148.1,Medhust_2002
Eucalyptus nitens ,148.1,-41.08333333,3.530177984,trunk sample,captive_cultivated,individual,raw,,0.720743135,0.738208361,Medhust and Beadle 2002,lat_-41.08_lon_148.1,Medhust_2002
Eucalyptus nitens ,148.1,-41.08333333,3.586700236,branch sample,captive_cultivated,individual,raw,,0.720743135,0.738208361,Medhust and Beadle 2002,lat_-41.08_lon_148.1,Medhust_2002
Eucalyptus nitens ,148.1,-41.08333333,3.742321425,branch sample,captive_cultivated,individual,raw,,0.720743135,0.738208361,Medhust and Beadle 2002,lat_-41.08_lon_148.1,Medhust_2002
Eucalyptus nitens ,148.1,-41.08333333,3.772113295,branch sample,captive_cultivated,individual,raw,,0.720743135,0.738208361,Medhust and Beadle 2002,lat_-41.08_lon_148.1,Medhust_2002
Eucalyptus delegatensis ,148.05,-35.7,3.596879479,trunk sample,captive_cultivated,individual,raw,20.57,0.699264626,0.962446826,Mokany et al. 2003,lat_-35.7_lon_148.05,Mokany_2003
Eucalyptus delegatensis ,148.05,-35.7,3.575118363,trunk sample,captive_cultivated,individual,raw,15.744,0.699264626,0.962446826,Mokany et al. 2003,lat_-35.7_lon_148.05,Mokany_2003
Eucalyptus camaldulensis ,145,-36.41666667,3.521433504,trunk sample,captive_cultivated,individual,raw,,0.294298504,0.256430967,Morris and Collopy 1999,lat_-36.42_lon_145,Morris_1999
Eucalyptus camaldulensis ,145,-36.41666667,3.581494542,trunk sample,captive_cultivated,individual,raw,,0.294298504,0.256430967,Morris and Collopy 1999,lat_-36.42_lon_145,Morris_1999
Acacia aneura ,133.85,-21.9,3.187086643,branch sample,field,individual,raw,,0.120397749,0.161140748,OGrady et al. 2009,lat_-21.9_lon_133.85,OGrady_2009
Acacia aneura ,133.85,-21.9,2.841637508,branch sample,field,individual,raw,,0.120397749,0.161140748,OGrady et al. 2009,lat_-21.9_lon_133.85,OGrady_2009
Acacia aneura ,133.3166667,-22.03333333,3.229147988,branch sample,field,individual,raw,,0.162591617,0.203492923,OGrady et al. 2009,lat_-22.03_lon_133.32,OGrady_2009
Acacia aneura ,133.3166667,-22.03333333,3.008773924,branch sample,field,individual,raw,,0.162591617,0.203492923,OGrady et al. 2009,lat_-22.03_lon_133.32,OGrady_2009
Corymbia opaca ,133.85,-21.9,3.920818754,branch sample,field,individual,raw,,0.120397749,0.161140748,OGrady et al. 2009,lat_-21.9_lon_133.85,OGrady_2009
Corymbia opaca ,133.85,-21.9,3.455931956,branch sample,field,individual,raw,,0.120397749,0.161140748,OGrady et al. 2009,lat_-21.9_lon_133.85,OGrady_2009
Eucalyptus camaldulensis ,133.3166667,-22.03333333,3.657577319,branch sample,field,individual,raw,,0.162591617,0.203492923,OGrady et al. 2009,lat_-22.03_lon_133.32,OGrady_2009
Eucalyptus camaldulensis ,133.3166667,-22.03333333,3.537602002,branch sample,field,individual,raw,,0.162591617,0.203492923,OGrady et al. 2009,lat_-22.03_lon_133.32,OGrady_2009
Eucalyptus victrix ,133.85,-21.9,3.721246399,branch sample,field,individual,raw,,0.120397749,0.161140748,OGrady et al. 2009,lat_-21.9_lon_133.85,OGrady_2009
Eucalyptus victrix ,133.85,-21.9,3.585026652,branch sample,field,individual,raw,,0.120397749,0.161140748,OGrady et al. 2009,lat_-21.9_lon_133.85,OGrady_2009
Eucalyptus nitens,146.1166667,-41.3,3.563837353,trunk sample,captive_cultivated,individual,raw,,0.828535907,1.115362354,Pinkard and Neilsen 2003,lat_-41.3_lon_146.12,Pinkard_2003
Eucalyptus nitens,146.1166667,-41.3,3.412289035,trunk sample,captive_cultivated,individual,raw,,0.828535907,1.115362354,Pinkard and Neilsen 2003,lat_-41.3_lon_146.12,Pinkard_2003
Eucalyptus miniata,130.8833333,-12.41666667,3.53165267,branch sample,field,individual,raw,,0.515299991,1.154080633,Prior and Eamus 2000,lat_-12.42_lon_130.88,Prior_2000
Eucalyptus miniata,130.8833333,-12.41666667,3.462180905,branch sample,field,individual,raw,,0.515299991,1.154080633,Prior and Eamus 2000,lat_-12.42_lon_130.88,Prior_2000
Eucalyptus tetrodonta,130.8833333,-12.41666667,3.772113295,branch sample,field,individual,raw,,0.508395329,0.795919936,Prior and Eamus 2000,lat_-12.42_lon_130.88,Prior_2000
Eucalyptus tetrodonta,130.8833333,-12.41666667,3.756961951,branch sample,field,individual,raw,,0.515299991,1.154080633,Prior and Eamus 2000,lat_-12.42_lon_130.88,Prior_2000
Eucalyptus tetrodonta ,130.8833333,-12.41666667,3.790484985,branch sample,field,individual,raw,,0.515299991,1.154080633,Prior and Eamus 2000,lat_-12.42_lon_130.88,Prior_2000
Eucalyptus sieberi,149.5833333,-37.48333333,4.019088062,trunk sample,captive_cultivated,individual,raw,,0.613226559,0.640062187,Roberts et al. 2001,lat_-37.48_lon_149.58,Roberts_2001
Eucalyptus sieberi,149.5833333,-37.48333333,3.681936665,trunk sample,captive_cultivated,individual,raw,,0.613226559,0.640062187,Roberts et al. 2001,lat_-37.48_lon_149.58,Roberts_2001
Eucalyptus sieberi,149.5833333,-37.48333333,3.567030709,trunk sample,captive_cultivated,individual,raw,,0.613226559,0.640062187,Roberts et al. 2001,lat_-37.48_lon_149.58,Roberts_2001
Eucalyptus sieberi,149.5833333,-37.48333333,3.136082623,trunk sample,captive_cultivated,individual,raw,,0.613226559,0.640062187,Roberts et al. 2001,lat_-37.48_lon_149.58,Roberts_2001
Eucalyptus sieberi,149.5833333,-37.48333333,4.153044675,trunk sample,captive_cultivated,individual,raw,,0.613226559,0.640062187,Roberts et al. 2001,lat_-37.48_lon_149.58,Roberts_2001
Eucalyptus sieberi,149.5833333,-37.48333333,3.896196279,trunk sample,captive_cultivated,individual,raw,,0.613226559,0.640062187,Roberts et al. 2001,lat_-37.48_lon_149.58,Roberts_2001
Eucalyptus sieberi,149.5833333,-37.48333333,3.508638306,trunk sample,captive_cultivated,individual,raw,,0.613226559,0.640062187,Roberts et al. 2001,lat_-37.48_lon_149.58,Roberts_2001
Angophora bakeri,150.7827778,-33.66166667,3.663540266,branch sample,field,population,mean,,0.380894932,0.365226339,Taylor and Eamus 2008,lat_-33.66_lon_150.78,Taylor_2008
Angophora costata,151.3163889,-33.19083333,3.681936665,branch sample,field,population,mean,,0.610481531,0.640630752,Taylor and Eamus 2008,lat_-33.19_lon_151.32,Taylor_2008
Angophora hispida,151.0594444,-34.09805556,3.896196279,branch sample,field,population,mean,,0.478613796,0.558563823,Taylor and Eamus 2008,lat_-34.1_lon_151.06,Taylor_2008
Callitris glaucophylla    ,146.9336111,-32.8125,3.274905479,branch sample,field,population,mean,,0.161094786,0.153946491,Taylor and Eamus 2008,lat_-32.81_lon_146.93,Taylor_2008
Eucalyptus haemostoma ,151.0594444,-34.09805556,3.823908741,branch sample,field,population,mean,,0.478613796,0.558563823,Taylor and Eamus 2008,lat_-34.1_lon_151.06,Taylor_2008
Eucalyptus haemostoma ,151.3163889,-33.19083333,3.815308569,branch sample,field,population,mean,,0.610481531,0.640630752,Taylor and Eamus 2008,lat_-33.19_lon_151.32,Taylor_2008
Eucalyptus populnea,146.9336111,-32.8125,3.623423043,branch sample,field,population,mean,,0.161094786,0.153946491,Taylor and Eamus 2008,lat_-32.81_lon_146.93,Taylor_2008
Eucalyptus sclerophylla,150.7827778,-33.66166667,3.761953897,branch sample,field,population,mean,,0.380894932,0.365226339,Taylor and Eamus 2008,lat_-33.66_lon_150.78,Taylor_2008
Pinus radiata,145.4333333,-37.78333333,3.381951903,trunk sample,captive_cultivated,individual,raw,23.98,0.768430322,0.8155644,Teskey and Sheriff 1996,lat_-37.78_lon_145.43,Teskey_1996
Acacia dealbata,145.6333333,-37.56666667,3.262807357,trunk sample,captive_cultivated,individual,raw,,0.851647206,1.683425684,Vertessy et al. 1995 ,lat_-37.57_lon_145.63,Vertessy_1995 
Eucalyptus regnans,145.6333333,-37.56666667,3.428291168,trunk sample,captive_cultivated,individual,raw,,0.851647206,1.683425684,Vertessy et al. 1995 ,lat_-37.57_lon_145.63,Vertessy_1995 
Eucalyptus regnans ,145.6333333,-37.56666667,3.614393726,trunk sample,field,individual,raw,65,0.782777041,1.502855334,Vertessy et al. 1997,lat_-37.57_lon_145.63,Vertessy_1997
Eucalyptus regnans ,145.6333333,-37.56666667,3.576754126,trunk sample,field,individual,raw,55.23,0.782777041,1.502855334,Vertessy et al. 1997,lat_-37.57_lon_145.63,Vertessy_1997
Eucalyptus regnans ,145.6333333,-37.56666667,3.28567024,trunk sample,field,individual,raw,,0.691779595,0.744471025,Vertessy et al. 2001,lat_-37.57_lon_145.63,Vertessy_2001
Pomaderris aspera ,145.6333333,-37.56666667,3.567030709,trunk sample,field,individual,raw,,0.691779595,0.744471025,Vertessy et al. 2001,lat_-37.57_lon_145.63,Vertessy_2001
Acacia colletioides ,146.15,-32.96666667,2.14691047,branch sample,field,population,mean,,0.325303584,0.384224694,Westoby and Wright 2003,lat_-32.97_lon_146.15,Westoby_2003
Acacia havilandii ,146.15,-32.96666667,2.431798276,branch sample,field,population,mean,,0.325303584,0.384224694,Westoby and Wright 2003,lat_-32.97_lon_146.15,Westoby_2003
Acacia wilhelmiana ,146.15,-32.96666667,2.482804102,branch sample,field,population,mean,,0.325303584,0.384224694,Westoby and Wright 2003,lat_-32.97_lon_146.15,Westoby_2003
Bertya cunninghamii ,146.15,-32.96666667,2.223298816,branch sample,field,population,mean,,0.325303584,0.384224694,Westoby and Wright 2003,lat_-32.97_lon_146.15,Westoby_2003
Beyeria opaca ,146.15,-32.96666667,2.536107011,branch sample,field,population,mean,,0.325303584,0.384224694,Westoby and Wright 2003,lat_-32.97_lon_146.15,Westoby_2003
Cassinia laevis ,146.15,-32.96666667,2.847711656,branch sample,field,population,mean,,0.325303584,0.384224694,Westoby and Wright 2003,lat_-32.97_lon_146.15,Westoby_2003
Eremophila deserti ,146.15,-32.96666667,3.101823517,branch sample,field,population,mean,,0.325303584,0.384224694,Westoby and Wright 2003,lat_-32.97_lon_146.15,Westoby_2003
Eucalyptus dumosa ,146.15,-32.96666667,3.251811973,branch sample,field,population,mean,,0.325303584,0.384224694,Westoby and Wright 2003,lat_-32.97_lon_146.15,Westoby_2003
Eucalyptus socialis ,146.15,-32.96666667,3.222573178,branch sample,field,population,mean,,0.325303584,0.384224694,Westoby and Wright 2003,lat_-32.97_lon_146.15,Westoby_2003
Eutaxia microphylla ,146.15,-32.96666667,2.42365865,branch sample,field,population,mean,,0.325303584,0.384224694,Westoby and Wright 2003,lat_-32.97_lon_146.15,Westoby_2003
Olearia oswaldii ,146.15,-32.96666667,2.591760035,branch sample,field,population,mean,,0.325303584,0.384224694,Westoby and Wright 2003,lat_-32.97_lon_146.15,Westoby_2003
Olearia pimelioides ,146.15,-32.96666667,2.563837353,branch sample,field,population,mean,,0.325303584,0.384224694,Westoby and Wright 2003,lat_-32.97_lon_146.15,Westoby_2003
Philotheca difformis ,146.15,-32.96666667,2.086186148,branch sample,field,population,mean,,0.325303584,0.384224694,Westoby and Wright 2003,lat_-32.97_lon_146.15,Westoby_2003
Santalum acuminatum ,146.15,-32.96666667,2.876148359,branch sample,field,population,mean,,0.325303584,0.384224694,Westoby and Wright 2003,lat_-32.97_lon_146.15,Westoby_2003
Acacia myrtifolia ,151.1430556,-33.69388889,3.022733788,branch sample,field,population,mean,,0.747593238,1.093308227,Westoby and Wright 2003,lat_-33.69_lon_151.14,Westoby_2003
Acacia suaveolens ,151.1430556,-33.69388889,3.061980903,branch sample,field,population,mean,,0.747593238,1.093308227,Westoby and Wright 2003,lat_-33.69_lon_151.14,Westoby_2003
Angophora hispida ,151.1430556,-33.69388889,3.301899454,branch sample,field,population,mean,,0.747593238,1.093308227,Westoby and Wright 2003,lat_-33.69_lon_151.14,Westoby_2003
Baeckea brevifolia,151.1430556,-33.69388889,2.295849483,branch sample,field,population,mean,,0.747593238,1.093308227,Westoby and Wright 2003,lat_-33.69_lon_151.14,Westoby_2003
Banksia oblongifolia ,151.1430556,-33.69388889,3.199282922,branch sample,field,population,mean,,0.747593238,1.093308227,Westoby and Wright 2003,lat_-33.69_lon_151.14,Westoby_2003
Banksia spinulosa,151.1430556,-33.69388889,3.205511953,branch sample,field,population,mean,,0.747593238,1.093308227,Westoby and Wright 2003,lat_-33.69_lon_151.14,Westoby_2003
Boronia pinnata,151.1430556,-33.69388889,3.120330794,branch sample,field,population,mean,,0.747593238,1.093308227,Westoby and Wright 2003,lat_-33.69_lon_151.14,Westoby_2003
Bossiaea obcordata ,151.1430556,-33.69388889,2.698970004,branch sample,field,population,mean,,0.747593238,1.093308227,Westoby and Wright 2003,lat_-33.69_lon_151.14,Westoby_2003
Corymbia gummifera ,151.1430556,-33.69388889,3.259637311,branch sample,field,population,mean,,0.747593238,1.093308227,Westoby and Wright 2003,lat_-33.69_lon_151.14,Westoby_2003
Dillwynia retorta,151.1430556,-33.69388889,3.022733788,branch sample,field,population,mean,,0.747593238,1.093308227,Westoby and Wright 2003,lat_-33.69_lon_151.14,Westoby_2003
Epacris microphylla ,151.1430556,-33.69388889,3.056011125,branch sample,field,population,mean,,0.747593238,1.093308227,Westoby and Wright 2003,lat_-33.69_lon_151.14,Westoby_2003
Epacris pulchella ,151.1430556,-33.69388889,2.744727495,branch sample,field,population,mean,,0.747593238,1.093308227,Westoby and Wright 2003,lat_-33.69_lon_151.14,Westoby_2003
Eucalyptus capitellata ,151.1430556,-33.69388889,3.4225082,branch sample,field,population,mean,,0.747593238,1.093308227,Westoby and Wright 2003,lat_-33.69_lon_151.14,Westoby_2003
Eucalyptus haemostoma ,151.1430556,-33.69388889,3.312471039,branch sample,field,population,mean,,0.747593238,1.093308227,Westoby and Wright 2003,lat_-33.69_lon_151.14,Westoby_2003
Gompholobium glabratum ,151.1430556,-33.69388889,2.723538196,branch sample,field,population,mean,,0.747593238,1.093308227,Westoby and Wright 2003,lat_-33.69_lon_151.14,Westoby_2003
Grevillea speciosa ,151.1430556,-33.69388889,2.950781977,branch sample,field,population,mean,,0.747593238,1.093308227,Westoby and Wright 2003,lat_-33.69_lon_151.14,Westoby_2003
Hakea dactyloides,151.1430556,-33.69388889,3.256490235,branch sample,field,population,mean,,0.747593238,1.093308227,Westoby and Wright 2003,lat_-33.69_lon_151.14,Westoby_2003
Hakea teretifolia ,151.1430556,-33.69388889,2.835647144,branch sample,field,population,mean,,0.747593238,1.093308227,Westoby and Wright 2003,lat_-33.69_lon_151.14,Westoby_2003
Hibbertia bracteata ,151.1430556,-33.69388889,3.087246696,branch sample,field,population,mean,,0.747593238,1.093308227,Westoby and Wright 2003,lat_-33.69_lon_151.14,Westoby_2003
Isopogon anemonifolius ,151.1430556,-33.69388889,3.020907099,branch sample,field,population,mean,,0.747593238,1.093308227,Westoby and Wright 2003,lat_-33.69_lon_151.14,Westoby_2003
Lambertia formosa ,151.1430556,-33.69388889,2.89279003,branch sample,field,population,mean,,0.747593238,1.093308227,Westoby and Wright 2003,lat_-33.69_lon_151.14,Westoby_2003
Leptospermum squarrosum,151.1430556,-33.69388889,3.003488328,branch sample,field,population,mean,,0.747593238,1.093308227,Westoby and Wright 2003,lat_-33.69_lon_151.14,Westoby_2003
Leptospermum trinervium ,151.1430556,-33.69388889,2.995678626,branch sample,field,population,mean,,0.747593238,1.093308227,Westoby and Wright 2003,lat_-33.69_lon_151.14,Westoby_2003
Leucopogon esquamatus ,151.1430556,-33.69388889,2.886056648,branch sample,field,population,mean,,0.747593238,1.093308227,Westoby and Wright 2003,lat_-33.69_lon_151.14,Westoby_2003
Leucopogon microphyllus ,151.1430556,-33.69388889,2.379863945,branch sample,field,population,mean,,0.747593238,1.093308227,Westoby and Wright 2003,lat_-33.69_lon_151.14,Westoby_2003
Micrantheum ericoides ,151.1430556,-33.69388889,3.055024092,branch sample,field,population,mean,,0.747593238,1.093308227,Westoby and Wright 2003,lat_-33.69_lon_151.14,Westoby_2003
Persoonia levis ,151.1430556,-33.69388889,3.416801226,branch sample,field,population,mean,,0.747593238,1.093308227,Westoby and Wright 2003,lat_-33.69_lon_151.14,Westoby_2003
Persoonia pinifolia ,151.1430556,-33.69388889,3.397940009,branch sample,field,population,mean,,0.747593238,1.093308227,Westoby and Wright 2003,lat_-33.69_lon_151.14,Westoby_2003
Petrophile pulchella ,151.1430556,-33.69388889,3.276544328,branch sample,field,population,mean,,0.747593238,1.093308227,Westoby and Wright 2003,lat_-33.69_lon_151.14,Westoby_2003
Phyllanthus hirtellus ,151.1430556,-33.69388889,2.482804102,branch sample,field,population,mean,,0.747593238,1.093308227,Westoby and Wright 2003,lat_-33.69_lon_151.14,Westoby_2003
Phyllota phylicoides ,151.1430556,-33.69388889,2.93930216,branch sample,field,population,mean,,0.747593238,1.093308227,Westoby and Wright 2003,lat_-33.69_lon_151.14,Westoby_2003
Pultenaea elliptica,151.1430556,-33.69388889,3.363512104,branch sample,field,population,mean,,0.747593238,1.093308227,Westoby and Wright 2003,lat_-33.69_lon_151.14,Westoby_2003
Pultenaea stipularis ,151.1430556,-33.69388889,3.083019953,branch sample,field,population,mean,,0.747593238,1.093308227,Westoby and Wright 2003,lat_-33.69_lon_151.14,Westoby_2003
Acacia doratoxylon ,146.15,-32.96666667,3.595166283,branch sample,field,population,mean,,0.325303584,0.384224694,Westoby and Wright 2003,lat_-32.97_lon_146.15,Westoby_2003
Brachychiton populneus ,146.15,-32.96666667,3.1837587,branch sample,field,population,mean,,0.325303584,0.384224694,Westoby and Wright 2003,lat_-32.97_lon_146.15,Westoby_2003
Dodonaea viscosa spathulata ,146.15,-32.96666667,3.319664487,branch sample,field,population,mean,,0.325303584,0.384224694,Westoby and Wright 2003,lat_-32.97_lon_146.15,Westoby_2003
Eremophila glabra ,146.15,-32.96666667,2.89279003,branch sample,field,population,mean,,0.325303584,0.384224694,Westoby and Wright 2003,lat_-32.97_lon_146.15,Westoby_2003
